'bai'guo'dong 白果冻
'han'dai'fu'che'hua'xiang'zhuan 汉代斧车画像砖
'han'dai'pai'you'tao'lia 汉代俳优陶俩
'han'dai'qi'chui'hua'xiang'zhuan 汉代骑吹画像砖
'han'dai'wan'jian'yan'wu'hua'xiang'zhuan 汉代丸剑宴舞画像砖
'han'dai'xiao'che'hua'xiang'zhuan 汉代小车画像砖
'han'dai'yong 汉代俑
'han'dai'yue'wu'za'ji'tao'yong 汉代乐舞杂技陶俑
'han'hua'xiang'shi'diao'ke'ji'fa 汉画像石雕刻技法
'han'hua'xiang'zhuan'mu 汉画像砖墓
'han'shi'jing'hua'xiang'zhuan 汉市井画像砖
'he'mu'du'wen'hua'gu'bi 河姆渡文化骨匕
'he'mu'du'wen'hua'gu'ya'qi 河姆渡文化骨牙器
'he'mu'du'wen'hua'mu'diao'yu 河姆渡文化木雕鱼
'he'mu'du'wen'hua'niao'xing'ya'diao 河姆渡文化鸟形牙雕
'he'mu'du'wen'hua'shuang'niao'zhao'yang'wen'ya'diao 河姆渡文化双鸟朝阳纹牙雕
'he'tao'mian'ren 核桃面人
'he'zhou'zhuan'diao 河州砖雕
'hong'shan'wen'hua'nv'shen'cai'su'tou'xiang 红山文化女神彩塑头像
'hong'tian'shi 红田石
'hou'chai'tan 猴柴磹
'hou'ma'dong'qi'jian'su'jin'mu'zhuan'diao 侯马董玘坚傃金墓砖雕
'hu'zhuang'ni 护桩泥
'hua'xiang'zhuan 画像砖
'hua'xiang'zhuan'zhi'zuo'gong'yi 画像砖制作工艺
'hua'yan'si'liao'dai'cai'su 华严寺辽代彩塑
'hua'zhuan 花砖
'huang'dong 黄冻
'huang'yang'mu'diao 黄杨木雕
'hui'shan'cai'su'pei'se 惠山彩塑配色
'hui'shan'cai'su'shang'cai'ji'fa 惠山彩塑上彩技法
'hui'shan'cai'su'wen'yang'yun'yong 惠山彩塑纹样运用
'hui'shan'er'tong'shua'huo'sheng'chan'gong'yi 惠山儿童耍货生产工艺
'hui'shan'ni'ren 惠山泥人
'hui'shan'shou'nie'xi'wen'sheng'chan'gong'yi 惠山手捏戏文生产工艺
'hui'zhou'zhuan'diao 徽州砖雕
'huo'qu'bing'mu'shi'diao 霍去病墓石雕
'ji'xue'shi 鸡血石
'jian'chuan'shi'zhong'shan'shi'ku 剑川石钟山石窟
'jiang'nan'liu'qing'zhu'ke 江南留青竹刻
'jin'ci'song'su 晋祠宋塑
'jin'mu'diao 金木雕
'jin'tong'fo'zao'xiang 金铜佛造像
'jing'chuang 经幢
'ju'hua'shi'diao 菊花石雕
'kong'fu'zhuan 空腹砖
'kong'qing 空青
'kong'xin'zhuan 空心砖
'kong'zhuan 空砖
'kuang'zhuan 圹砖
'la'xiang 蜡像
'lan'hua'dong 蓝花冻
'lan'tian'shui'lu'an'bi'su'fo'xiang'gu'shi 蓝田水陆庵壁塑佛像故事
'lan'zhou'ke'hui'hu'lu 兰州刻绘葫芦
'lao'ling'shi 老岭石
'le'xian 勒线
'liao'dai'mu'dan'wen'hua'zhuan 辽代牡丹纹花砖
'liao'dai'shi'yi'mian'guan'yin'ni'su 辽代十一面观音泥塑
'liao'qi'diao'ke 料器雕刻
'liu'ping'shi 柳坪石
'liu'qing'zhu'ke 留青竹刻
'long'men'feng'xian'si 龙门奉先寺
'long'men'kan'jing'si 龙门看经寺
'long'men'wan'fo'dong 龙门万佛洞
'long'men'yao'fang'dong 龙门药方洞
'long'yan'mu'diao 龙眼木雕
'lu'gou'qiao'shi'shi 芦沟桥石狮
'lu'mu'ge 鹿目格
'lu'wen'wa'dang 鹿纹瓦当
'lu'yin 芦荫
'luo'bei 螺杯
'luo'dian'diao 螺钿雕
'ma'nao'dong 玛瑙冻
'mai'ji'shan'ni'su'pu'sa 麦积山泥塑菩萨
'mei'hua'bei 梅花碑
'mei'jing 煤精
'mei'jing'diao'ke 煤精雕刻
'mi'cui'liao 迷翠寮
'mian'ren 面人
'mian'su 面塑
'ming'dai'cai'su'er'shi'si'le'nv'xiang 明代彩塑二十四乐女像
'ming'dai'ci'su'da'mo'du'hai'xiang 明代瓷塑达摩渡海像
'ming'dai'ci'su'guan'yin'xiang 明代瓷塑观音像
'ming'dai'da'xing'xi'jiao'bei 明代大型犀角杯
'ming'dai'yong 明代俑
'ming'shi'ba'xue'shi'mu'diao 明十八学士木雕
'ming'xiao'ling'shi'diao 明孝陵石雕
'mo'yin'pin'qian'hua'xiang'zhuan 模印拼嵌画像砖
'mu'bei 墓碑
'mu'biao 墓表
'mu'diao 木雕
'mu'jie 墓碣
'nan'chao'liang'dai'ling'mu'shi'ke 南朝梁代陵墓石刻
'nan'chao'ling'mu'shi'ke 南朝陵墓石刻
'nan'chao'qi'dai'ling'mu'shi'ke 南朝齐代陵墓石刻
'nan'chao'song'dai'ling'mu'shi'ke 南朝宋代陵墓石刻
'ni'gu'lou 尼姑楼
'ni'ren'zhang 泥人张
'ni'su 泥塑
'nie'duan'xiang'shou 捏段镶手
'nie'xiang 捏相
'niu'jiao'dong 牛角冻
'ou'su 瓯塑
'pi'diao 皮雕
'qi'jiang'shi 旗降石
'qi'xia'shan'shi'ke 栖霞山石刻
'qian'ling'shi'diao 乾陵石雕
'qin'dai'bing'ma'yong 秦代兵马俑
'qin'dai'bing'ma'yong'su'zao'gong'yi 秦代兵马俑塑造工艺
'qin'dai'dong'wu'wen'wa'dang 秦代动物纹瓦当
'qin'dai'feng'wen'zhuan 秦代凤纹砖
'qin'dai'ji'zuo'tao'yong 秦代跽坐陶俑
'qin'dai'long'wen'zhuan 秦代龙纹砖
'qin'dai'tao'yong 秦代陶俑
'qin'dai'zhi'wu'wen'wa'dang 秦代植物纹瓦当
'qin'han'wa'dang'tu'an 秦汉瓦当图案
'qin'han'wa'dang'wen'zi 秦汉瓦当文字
'qin'yun'wen'wa'dang 秦云纹瓦当
'qin'zhuan 琴砖
'qin'zhuan 秦砖
'qing'dai'ci'su'zhong'kui'zui'jiu'xiang 清代瓷塑钟馗醉酒像
'qing'dai'mu'niu'tu'zhu'ke'bi'tong 清代牧牛图竹刻笔筒
'qing'dai'tao'su'ji'gong'xiang 清代陶塑济公像
'qing'long'wen'wa'dang 青龙纹瓦当
'qing'tian'dong 青田冻
'qing'tian'shi 青田石
'qing'tian'shi'diao 青田石雕
'ren'shou'yu'shen'ci'yong 人首鱼身瓷俑
'ruan'mu'diao'hua 软木雕画
'shan'shan'gan'hui'guan'zhuan 山陕甘会馆砖
'shang'dai'gu'zhi'pin'zhi'zuo 商代骨制品制作
'shang'dai'hu'wen'da'shi'qing 商代虎纹大石磬
'shang'dai'ni'su'ren'xiang 商代泥塑人像
'shang'dai'shi'diao'hu'shou'ren'shen'xiang 商代石雕虎首人身像
'shang'dai'shi'diao'ren'xiang'can'jian 商代石雕人像残件
'shang'dai'shi'diao'zuo'shi'ren'xiang 商代石雕坐食人像
'shang'dai'xiang'ya'bei 商代象牙杯
'shang'zhou'gu'qi 商周骨器
'shao'lin'si'ming'da'mo'mian'bi'tu'shi'ke 少林寺明达摩面壁图石刻
'shao'lin'si'ming'da'mo'yi'wei'du'jiang'tu'shi'ke 少林寺明达摩一苇渡江图石刻
'she'pao 蛇匏
'sheng'xiao'ci'yong 生肖瓷俑
'shi'bei 石碑
'shi'ke'xian'hua 石刻线画
'shi'ren'shi'shou 石人石兽
'shi'shi 石狮
'shi'shi'zi 石狮子
'shou'shan'shi 寿山石
'shou'shan'shi'diao 寿山石雕
'shu'gen'diao 树根雕
'shuang'lin'si'cai'su 双林寺彩塑
'shui'hua'shi 水花石
'shui'jing'dong 水晶冻
'shui'mo'shi 水墨石
'shui'quan'shi'ku 水泉石窟
'shun'ling'shi'diao 顺陵石雕
'si'ping'shi 寺坪石
'song'dai'ding'dou'sai'zhuan'diao 宋代丁都赛砖雕
'song'dai'ni'ren 宋代泥人
'song'dai'tao'nie'su'xiang 宋代陶捏塑像
'song'yuan'ming'qing'wa'dang 宋元明清瓦当
'su'xiang 塑像
'su'zhen 塑真
'su'zhou'ni'su 苏州泥塑
'su'zhou'nie'xiang 苏州捏像
'su'zhou'zhuan'diao 苏州砖雕
'sui'tang'wa'dang 隋唐瓦当
'tai'zuo 台座
'tang'dai'cai'hui'you'tao'nv'qi'yong 唐代彩绘釉陶女骑俑
'tang'dai'diao'zhu'ren'wu'hua'niao'fang'chi'ba 唐代雕竹人物花鸟纺尺八
'tang'dai'zai'wu'luo'tuo'hua'xiang'zhuan 唐代载物骆驼画像砖
'tang'shi'yi'mian'guan'yin'shi'xiang 唐十一面观音石像
'tang'su 唐塑
'tao'hua'dong 桃花冻
'tao'hua'shi 桃花石
'tao'ke 陶刻
'ti'di 剔地
'ti'e 题额
'tian'huang'shi 田黄石
'tian'jin'zhuan'diao 天津砖雕
'tian'lan'dong 天蓝冻
'tie'huang 贴簧
'tie'ying'bi 铁影壁
'ting'zhang'zhuan 亭长砖
'tong'jie'yin'fo 铜接引佛
'tu'fan'shi'ke'xiang 吐蕃石刻像
'tu'niu 土牛
'tu'ou 土偶
'tu'zhi 土稚
'tuo'shan'shi'ku 驼山石窟
'wa'dang 瓦当
'wa'dang 瓦挡
'wa'dang'wen 瓦当文
'wa'tou 瓦头
'wang'tian'hou 望天犼
'wei'diao 微雕
'wei'jin'nan'bei'chao'wa'dang 魏晋南北朝瓦当
'wei'tai'he'zao'xiang 魏太和造像
'wei'zi'wa'dang 卫字瓦当
'wen'zhu 文竹
'weng'zhong 翁仲
'xi'an'bei'lin 西安碑林
'xi'jin'nan'bei'chao'yong 西晋南北朝俑
'xi'zang'fo'jiao'mo'zhi'xiao'ni'xiang 西藏佛教模制小泥像
'xi'zhou'gu'qi'zhi'zuo'gong'yi 西周骨器制作工艺
'xi'zhou'zhi'zhan'guo'wa'dang 西周至战国瓦当
'xian'di'shen'ke 陷地深刻
'xian'ke 线刻
'xiang'shi 相石
'xiang'tang'shan'shi'ku 响堂山石窟
'xiang'ya 象牙
'xiang'ya'diao'ke 象牙雕刻
'xiao'ji'mu'shi'ke 萧绩墓石刻
'xiao'jing'mu'shi'ke 萧景墓石刻
'xiao'xiu'mu'shi'ke 萧秀墓石刻
'xing'jiu'shi 醒酒石
'xiong'jing'diao'ke 雄精雕刻
'xiu'zhuan 修砖
'xu'mi'shan'shi'ku 须弥山石窟
'xuan'wu'wen'wa'dang 玄武纹瓦当
'ya'diao'da'guan'yuan 牙雕大观园
'yang'jia'wan'han'mu'qi'bing'yong 杨家湾汉墓骑兵俑
'yang'wen'sha'di 阳纹砂地
'ye'bei 椰杯
'ye'diao 椰雕
'ye'diao'bei 椰雕杯
'ye'la'shi 叶蜡石
'ye'piao 椰瓢
'ye'zhu 椰珠
'yi'he'yuan'tong'niu 颐和园铜牛
'yi'she'shou'huo'hua'zhuan'xiang 弋射收获画砖像
'yin'duan'xiang'shou 印段镶手
'ying'bei 瘿杯
'ying'ran'bei 瘿柟杯
'yong'ling'shi'ke 永陵石刻
'yong'shou'jia'fu'wa'dang 永受嘉福瓦当
'you'ni'cai'su 油泥彩塑
'you'ni'su 油泥塑
'yu'nao'dong 鱼脑冻
'yu'yan 玉眼
'yu'yang'qian'qiu'wa'dang 羽阳千秋瓦当
'yuan'dai'ying'qing'ci'su'guan'yin 元代影青瓷塑观音
'yuan'dai'za'ju'tao'lia 元代杂剧陶俩
'yuan'shuang'feng'qi'lin'shi'diao 元双凤麒麟石雕
'yun'hui'shi 云灰石
'yun'nan'zhao'tong'chu'tu'han'hua'xiang'zhuan 云南昭通出土汉画像砖
'zao'xiang 造像
'zao'xiang'bei 造像碑
'zhan'guo'fu'diao'shi'ban 战国浮雕石板
'zhan'guo'ke'hua'shi'ban 战国刻花石板
'zhan'tan'mu'diao'mi'le'da'fo 旃檀木雕弥勒大佛
'zhao'ling'liu'jun 昭陵六骏
'zhao'zhou'qiao'pan'long'lan'ban'fu'diao 赵州桥蟠龙栏板浮雕
'zheng'yu'he'cai'su 郑于鹤彩塑
'zhong'zi'wa'dang 冢字瓦当
'zhu'gen'diao 竹根雕
'zhu'huang 竹簧
'zhu'ke 竹刻
'zhu'ke'di'wen 竹刻地纹
'zhu'lin'qi'xian'hua'xiang'zhuan 竹林七贤画像砖
'zhu'que'wen'wa'dang 朱雀纹瓦当
'zhu'tong'diao'su 铸铜雕塑
'zhuan'diao 砖雕
'zhuan'diao'diao'zao 砖雕雕凿
'zhuan'diao'kan'guang 砖雕刊光
'zhuan'diao'miao'ke'yang'gao 砖雕描刻样稿
'zhuan'diao'mo'guang 砖雕磨光
'zhuan'diao'shang'jiang'tie'yang 砖雕上浆贴样
'zhuan'diao'tie'jin 砖雕贴金
'zhuan'diao'xiu'bu 砖雕修补
'zhuan'diao'zhuang'zhi'shua'jiang 砖雕装置刷浆
'zhuan'e 篆额
'zhuang'cang 装藏
'zi'jin'an'cai'su 紫金庵彩塑
'zi'zhong'tan'jing'diao'ke 资中炭精雕刻
