'a'he'he 阿呵呵
'di'ren'tui'bu'li'tou'kan 底人退步里头看
'di'shang'fan'piao 地上翻瓢
'di'shi'bu'xu'shuo 底事不须说
'di'shi'han'feng'ren'zhu'jia 底事罕逢人著价
'di'wu'hu 地无户
'di'yao'liu'zhen 地摇六震
'di'yi'mo'jiang'lai 第一莫将来
'dian'de'he'cheng'ren'yan'kai 点得合城人眼开
'dian'guang'shi'huo'yi'nan'zhui 电光石火亦难追
'dian'tou'mi'le'jie'fen'shen 点头弥勒解分身
'dian'yi'bei'cha'xiang'yi'dao 点一杯茶向伊道
'diao'fa'wu'di'gan'da'mo'guo'jiang 掉发武帝赶达磨过江
'diao'jin'cang'bo'yue'yi'gou 钓尽沧波月一钩
'diao'liang'yan'yu 雕梁燕语
'ding'an 定庵
'ding'jian'suo'qi'liao'tian'jia 定尖索起辽天价
'ding'zui'tie'she 钉嘴铁舌
'dong'cun'wang'lao'ye'shao'qian 东村王老夜烧钱
'dong'er'jing 动而静
'dong'jing'qu'liu 动静去留
'dong'le'chun 冬了春
'dong'li'shang'ju'hua 东篱赏菊花
'dong'nan'xing'cuo'bei'dou 动南星蹉北斗
'dong'shan'bu'ceng'dao 洞山不曾到
'dong'shan'sheng'jiang'bu'gai'la 洞山生姜不改辣
'dong'shan'tie'jun'xian 东山铁馂馅
'dong'shan'wa'gu'ge 东山瓦鼓歌
'dong'shan'wu'wei'jun'chen 洞山五位君臣
'dong'tu'xiao'shi'jia 东土小释迦
'dong'wu'wang'dong 动无妄动
'dong'xi'yong'shen'shuang'shu'ye 冻膝拥深霜树叶
'dong'zhi'xiang'cui 冬至相催
'dong'zhu'xi'zhang 东拄西掌
'du'bu'qian'kun 独步乾坤
'du'chang'jin'qing'nian'que 肚肠尽情拈却
'du'fu'qi'lv'you'chun'tu 杜甫骑驴游春图
'du'gu'biao 独孤标
'du'ji'mai'ge'you'ci'chi 肚饥买个油糍吃
'du'ji'xu'chi'fan 肚饥须吃饭
'du'juan'ti'chu'xie 杜鹃啼出血
'du'juan'ti'yue 杜鹃啼月
'du'kan'deng'zhi'yan'lian 度龛灯之焰联
'du'lou'ku'yan'zai'huo 髑髅枯眼再活
'du'neng'gang'shang 独能岗上
'du'sheng'mo'shi'lian'zhou'wen 度生莫恃莲舟稳
'du'xing'wu'lv 独行无侣
'duan'duan'chu'bu'de 短短出不得
'duan'sheng'rong'fan 锻圣鎔凡
'duan'xian'xu'shi'luan'jiao'xu 断弦须是鸾胶续
'duan'yuan'ti'qie 断猿啼切
'dui'dao'ming'ji 碓捣明玑
'dui'dui'he'chi'qian'jun'zhong 堆堆何翅千钧重
'dui'mian'qian'li 对面千里
'dui'yue'le'can'jing 对月了残经
'dun'niao'bu'li'ke 钝鸟不离窠
'dun'zhi'qi'lu'zhi'niao 钝置栖芦之鸟
'duo'qing'si'gu'ren 多情似故人
'duo'qu'huang'mei'wu'di'bo 夺取黄梅无底钵
'duo'shao'ren'jiao'mang'shou'luan 多少人脚忙手乱
'duo'xie'chun'feng'zhu'yi'chui 多谢春风著意吹
'duo'xu'shao'shi 多虚少实
'duo'yin'xian'shi'chang'wu'ming 多因闲事长无明
'duo'zai'ping'chang 堕在平常
'e'lang'kuang'feng'zi'zhu'mang 恶浪狂风自著忙
'e'sheng'nan'yan 恶声难掩
'e'ye'wu'duo 恶业无多
'er'jin'gong'jin'niu'tou'lan 而今功尽牛头懒
'er'jin'gui'he'jin'cheng'xian 而今龟鹤尽成仙
'er'ju'bu'she 二俱不涉
'er'long'yan'an'bu'long'zhong 耳聋眼暗步龙钟
'er'men'yuan'zhao 耳门圆照
'er'sun'zhi'li 儿孙之力
'er'wu'jiu'du'xiang 而无救度想
'er'wu'lun 耳无轮
'er'yu'zhu'yin'sheng 而於诸音声
'er'yue'chu'wu 二月初五
'er'yue'shi'wu 二月十五
'er'yun'gou'yue'diao'qing'jin 饵云钩月钓清津
'er'zu'zan 二祖赞
'fa'er'bu'er 法尔不尔
'fa'hua'gao'di'shen'qian 法华高低深浅
'fa'sui'fa'xing 法随法行
'fa'xing'ru'shi 法性如是
'fa'yong'ye'lian'qian'duan'kun 发用也连乾断坤
'fa'zhuang'sui'chu'jian'li 法幢随处建立
'fan'cheng'tu'zhe 翻成途辙
'fan'fan'duan'ru'wu'liang'qing 泛泛端如五两轻
'fan'shen'ta'duan'lai'shi'lu 翻身踏断来时路
'fan'shen'you'lu 翻身有路
'fan'shi'zhi'zhe 凡侍之者
'fan'suo'you'xiang 凡所有相
'fang'bian'zhi'hui 方便智慧
'fang'niu'gui'ma'qun'wu'xi 放牛归马群务息
'fang'qu'shou'lai'ke'ke'yuan 放去收来颗颗圆
'fang'xia'bu'dai 放下布袋
'fei'bu'fei 非不非
'fei'er'mu'zhi'suo'dao 非耳目之所到
'fei'heng'mie'zu 非横灭族
'fei'jing'xiu 非精修
'fei'wei'yi'xi'huan 非惟一夕欢
'fei'xian'fei'hui 非显非晦
'fei'xie'dai 非懈怠
'fei'xin'yi'zhi'suo'ji 非心意之所及
'fei'xue'ting'qian 飞雪亭前
'fei'you'fei'wu 非有非无
'fen'e'quan'tou 奋恶拳头
'fen'fen'huang'zhen'piao'ting'ji 纷纷黄圳飘庭际
'fen'fu'shi'xi'lao'zi 分付石溪老子
'fen'ming'jian'le'jin'nian'shi 分明见了今年事
'fen'ming'sai'duan'gan'quan'yan 分明塞断甘泉眼
'fen'ming'yin'ban'tuo'jiang'lai 分明印板脱将来
'fen'ming'zhao'po'qu'gan'dan 分明照破渠肝胆
'fen'sao'dui'tou'shi'de'lai 粪埽堆头拾得来
'fen'shen'li'wu 分身利物
'fen'shen'shi'fang'sha 分身十方刹
'feng'chu'zi'you'chong'xiao'zhi 凤雏自有冲霄志
'feng'cong'hu 风从虎
'feng'ding'hua'you'luo 风定花犹落
'feng'gan'han'shan'shi'de'tu'zan 丰干寒山拾得图赞
'feng'guang'ju'mai'jin 风光俱买尽
'feng'hao'nu'tao 风号怒涛
'feng'hu'wu'yu 风乎舞雩
'feng'juan'mu'yun'gui'bi'zhang 风卷暮云归碧嶂
'feng'qian'tai'du 风前态度
'feng'qian'yue'xia'ji'cuan'mei 风前月下几攒眉
'feng'ren'bu'de'cuo'ju 逢人不得错举
'feng'ren'wen'zhu'wu'jia'shi 逢人问著吾家事
'feng'seng'he'zhang 逢僧合掌
'feng'sheng'wan'he 风生万壑
'feng'xi'xi 风细细
'feng'xiao'xiao 风萧萧
'feng'xiao'xiao'xi'ye'han 风萧萧兮夜寒
'feng'yan'wang'duan'xi'hong'ying'ming'ming 风烟望断兮鸿影冥冥
'fo'fo'shi'he'wu 佛佛是何物
'fo'mie'er'qian'you'yu'zai 佛灭二千有余载
'fo'ye'bu'shi 佛也不识
'fo'zu'sheng'yuan'jia 佛祖生冤家
'fo'zu'ying'wu'qi'kou'chu 佛祖应无启口处
'fu'shi'he'wu 复是何物
'fu'tu'yi'gu'yu'shan'tui 浮屠瘞骨玉山颓
