'chen'shi'dao'shi'san'zi 陈师道示三子
'chen'shi'dao'tian'jia 陈师道田家
'chen'shu'guo'jiang'bei 趁熟过江北
'chen'tan'ying'xiong'gua 沉叹英雄寡
'chen'xin'yi'pian'ci'zhen'shi 臣心一片磁针石
'chen'xing'shi'zhan'shang 晨兴视毡上
'chen'yu'yi'chun'han 陈与义春寒
'chen'yu'yi'deng'yue'yang'lou 陈与义登岳阳楼
'chen'yu'yi'mu'dan 陈与义牡丹
'chen'yu'yi'qing'ming 陈与义清明
'chen'yu'yi'shang'chun 陈与义伤春
'chen'yu'yi'xiang'yi'dao'zhong 陈与义襄邑道中
'chen'yu'yi'yu'qing 陈与义雨晴
'chen'yu'yi'zao'hang 陈与义早行
'chen'yu'yi'zhong'mu'dao'zhong 陈与义中牟道中
'chen'zao'ti'zhao'xiu'cai'bi 陈造题赵秀才壁
'chen'zao'tian'jia'yao 陈造田家谣
'cheng'guo'ren'min'ban'yi'fei 城郭人民半已非
'cheng'guo'yi'shi'fei 城郭一时非
'cheng'li'ren'jia'wei'jue'qiu 城里人家未觉秋
'cheng'men'zai'wang'lai'lu'chang 城门在望来路长
'cheng'nan'bai'xing'duo'wei'yu 城南百姓多为鱼
'cheng'ru'guan'zhong'chong'wei'zhi 秤入官中充微值
'cheng'shang'xie'yang'hua'jiao'ai 城上斜阳画角哀
'cheng'shang'zhuo'jing'qi 城上卓旌旗
'cheng'shu'chi 成书痴
'cheng'wai'yu'huai'yi'ban'huang 城外榆槐已半黄
'cheng'xian'zhuang'jun'ru 城陷撞军入
'cheng'xiang'ci'qian'chun'ri'mu 丞相祠前春日暮
'cheng'zhong'qi'shi'nong'geng'hao 城中岂识农耕好
'cheng'zhong'wei'sheng'you'chun'guang 城中未省有春光
'cheng'zhong'xiao'shu'kong'wu'ren 城中萧疏空无人
'cheng'zhong'yan'shu'lv'bo'man 城中烟树绿波漫
'chi'bian'chui'liu'yao'zhi'huo 池边垂柳腰支活
'chi'cun'bu'liu'dan'xiang'si 尺寸不留但箱笥
'chi'gui'kong'can'liao'dong'shi 持归空惭辽东豕
'chi'huo'tou'tong'zhu'sheng'shi 齿豁头童祝圣时
'chi'lan'qiao'wai'lv'xi'xie 赤栏桥外绿溪斜
'chi'liu'geng'ai'wu'lu'jin 迟留更爱吾庐近
'chi'tang'shui'man'wa'cheng'shi 池塘水满蛙成市
'chi'tu'bu'neng'gui 尺土不能归
'chi'tu'geng'chi'zha 驰突更叱咤
'chi'zhu'wu'suo'xie 驰逐无所挟
'chong'chong'wei'bo'shi'ping'shan 重重帏箔施屏山
'chong'fu'li'bu'yi 充腹理不疑
'chong'jian'quan'nong'wen 重见劝农文
'chong'wei'wan'jian'ji 重围万箭急
'chong'ye'chui'men'shui'jiao'hu 冲夜搥门谁叫呼
'chou'fen'tu'man'xiong 愁愤徒满胸
'chou'qi'bian'jiu'yu 愁气变久雨
'chou'si'wei'si'ci'he'shi 愁死未死此何时
'chu'chu'bu'dai'shi 出处不待时
'chu'chu'fu'yun'jiang'yu'xing 处处浮云将雨行
'chu'chu'ju'bing'shi 处处聚兵时
'chu'chu'xu'tang'wang'yan'kuan 处处虚堂望眼宽
'chu'guai'shang'dou'wen'zhan'ma 初怪上都闻战马
'chu'huang'fan'jue'tian'chao'ji 锄荒饭蕨填朝饥
'chu'jiu'cheng'xu'she 杵臼成虚设
'chu'ling'tong'shui'chu 出岭同谁出
'chu'men'sao'shou'chuang'ping'sheng 出门搔首怆平生
'chu'men'zong'bu'guan 出门纵步观
