'ai'ye'qing 艾叶青
'sai'lu'tie'hua'bao 赛鹿铁花豹
'shan'dian'bai'long'ju 闪电白龙驹
'shan'dian'huang'long'ju 闪电黄龙驹
'shan'dian'qiu'long'ju 闪电虬龙驹
'shan'dian'wu'long'ju 闪电乌龙驹
'shan'dian'ying'zhao'ju 闪电鹰爪驹
'shan'dian'zhui'feng'ju 闪电追风驹
'shan'hou'xue 山后雪
'shi'hou'shou 狮吼兽
'shi'zi'hua 狮子花
'shuang'jiao'qi'lin'shou 双角麒麟兽
'si'bu'xiang 四不象
'ta'xue'hong'zong'shou 踏雪红鬃兽
'ta'xue'huo'long'ju 踏雪火龙驹
'ta'xue'yan'zhi'ma 踏雪胭脂马
'ta'xue'zhui'feng'ma 踏雪追风马
'tang'he'ju 汤合驹
'tao'hong'ma'jin'yan'yu'hua'qiu 桃红马金眼玉花虬
'teng'yun'ma 腾云马
'ti'xue'wu'zhui'ma 踢雪乌骓马
'ti'xue'yu'shi'zi 蹄血玉狮子
'tie'jia'zao'liu'ju 铁甲枣骝驹
'tie'jiao'zao'liu'ju 铁脚枣骝驹
'tie'li'hua 铁梨花
'tie'li'qing 铁骊青
'tie'qing'ma 铁青马
'tie'tou'jin'yan'long 铁头金眼龙
'tie'tui'zao'liu'ju 铁腿枣骝驹
'tie'xue'zao'hong'ma 铁血枣红马
'tie'ye'qing 铁叶青
'tie'zong'ma 铁鬃马
'tou'gu'long 透骨龙
'tou'gu'shou 透骨兽
'tou'gu'wu'long'zhui 透骨乌龙骓
'tou'gu'yin'long'ju 透骨银龙驹
'wan'li'xue'hua'bai 万里雪花白
'wan'li'yan'yun'shou 万里烟云兽
'wan'li'yan'yun'zhao 万里烟云罩
'wan'li'yi'zhan'deng 万里一盏灯
'wan'li'zhui'feng'qi'lin'yan'hai'shou 万里追风麒麟烟海兽
'wu'dian'ban'bao'ju 五点斑豹驹
'wu'dian'hua'ban'bao 五靛花斑豹
'wu'duo'kui'hua'shou 五朵葵花兽
'wu'hua'bao 乌花豹
'wu'hua'jin'qian'ma 五花金钱马
'wu'hua'ju 五花驹
'wu'hua'zhui'feng'ma 五花追风马
'wu'long'xue'zhao'ju 乌龙雪爪驹
'wu'long'zhui'feng'ju 乌龙追风驹
'wu'se'ban'bao'tie'hua'liu 五色斑豹铁骅骝
'wu'xie'zhi 乌獬豸
'wu'yun'bao 乌云豹
'wu'zhui'sai'feng'ju 乌骓赛风驹
'xiang'pi'lai'qi'lin 象皮癞麒麟
'xue'hua'yin'zong'ma 雪花银鬃马
'xue'li'bai 雪里白
'xue'li'hong 雪里红
'xue'li'zhan 雪里站
'xue'li'zuan 雪里钻
'xue'qi'ju 雪骐驹
'xue'ti'qing'cong'ma 雪蹄青骢马
'xue'ti'wu'zhui'ma 雪蹄乌骓马
'xue'zhong'shuang 雪中霜
'yan'yun'shou 烟云兽
'yan'zhi'hong 胭脂红
'yi'zhang'hei 一丈黑
'yi'zhang'xue 一丈雪
'yi'zi'ban'lei'yu'qi'lin 一字板肋玉麒麟
'yi'zi'mo'jiao'lai'qi'lin 一字墨角癞麒麟
'yi'zi'mo'qi'lin 一字墨麒麟
'yin'gou'ma 银钩马
'yin'he'ju 银河驹
'yin'se'quan'hua'ma 银色拳花马
'yin'ti'jin'zong'hu'lei'bao 银蹄金鬃呼雷豹
'yin'xian'tang'he'ju 银线汤合驹
'yin'xie'zhi 银獬豸
'yin'xue'bao 银雪豹
'yin'yun'bao 银云豹
'yin'zong'ma 银鬃马
'yin'zong'shou 银鬃兽
'yu'bai'ju 玉白驹
'yu'cong'ma 玉骢马
'yu'ding'ban'lei'mo'yun'diao 玉顶扳肋墨云雕
'yu'ding'hong 玉顶红
'yu'ding'huo'long'ju 玉顶火龙驹
'yu'ding'ji 玉顶骥
'yu'ding'wu'zhui'ma 玉顶乌骓马
'yu'ding'xi'liang'ju 玉顶西凉驹
'yu'hua'cong 玉花骢
'yu'mian'zi'hua'liu 玉面紫骅骝
'yu'shi'zi 玉狮子
'yu'xue'qi'lin'ju 玉雪麒麟驹
'yue'zhao'qian'li'bai 月照千里白
'yun'xia'shou 云霞兽
'zao'hong'ma 枣红马
'zao'liao'ma 皂缭马
'zao'liu'ma 枣骝马
'zhao'ye'hong 照夜红
'zhao'ye'shi'zi'ma 照夜狮子马
'zhao'ye'shi'zi'qian'li'xue 照夜狮子千里雪
'zhao'ye'yu'shi'zi 照夜玉狮子
'zhao'ye'yu'suan'ni 照夜玉狻猊
'zhua'di'hu 抓地虎
'zhui'feng'bai'dian'wan'li'long'ju'ma 追风白点万里龙驹马
'zhui'feng'bai'wei'ju 追风白尾驹
'zhui'feng'biao 追风骠
'zhui'feng'gan'dian'bai'long'ju 追风赶电白龙驹
'zhui'feng'he'hua'bao 追风荷花豹
'zhui'feng'hu'lei'bao 追风呼雷豹
'zhui'feng'ju'hua'ma 追风菊花马
'zhui'feng'shan'dian'mei'hua'shou 追风闪电梅花兽
'zhui'feng'yu'shi'zi 追风玉狮子
'zhui'feng'zhu'ri'qian'li'wu'zhui'ma 追风逐日千里乌骓马
'zhui'ri'sai'feng'ju 追日赛风驹
'zi'dian'pen'yun'shou 紫电喷云兽
'zi'hua'liu 紫骅骝
'zi'liu'ju 紫骝驹
'zi'yan'liu 紫燕骝
