'men'dou 门斗
'men'lang 门廊
'men'ting 门厅
'men'zhen'bu 门诊部
'min'yong'jian'zhu 民用建筑
'min'yong'jian'zhu'she'ji'shu'yu'biao'zhun 民用建筑设计术语标准
'min'zheng'jian'zhu 民政建筑
'ming'gou 明沟
'mo'shu 模数
'mu'qiang 幕墙
'nei'bao'wen 内保温
'nong'ye'jian'zhu 农业建筑
'nuan'tong'gong'cheng 暖通工程
'nv'er'qiang 女儿墙
'pai'chu'suo 派出所
'pai'shui'xi'tong 排水系统
'pai'yan'xi'tong 排烟系统
'pao'mo'mie'huo'xi'tong 泡沫灭火系统
'ping'mian'tu 平面图
'ping'tai 平台
'po'dao 坡道
'pou'mian'tu 剖面图
'qi'che'lv'guan 汽车旅馆
'qi'ju'shi 起居室
'qi'ju'ting 起居厅
'qi'lou 骑楼
'qi'mi'xing 气密性
'qi'ti'mie'huo'xi'tong 气体灭火系统
'qian'shi 前室
'qiang'qun 墙裙
'qing'gui'zhan 轻轨站
'qing'zhen'si 清真寺
'qun'fang 裙房
're'shen'chang'di 热身场地
're'shui'gong'ying'xi'tong 热水供应系统
're'zu 热阻
'ren'fang'she'ji 人防设计
'rong'ji'lv 容积率
'san'shui 散水
'shang'ye'jian'zhu 商业建筑
'shang'ye'jie 商业街
'shang'zhu'lou 商住楼
'shao'er'huo'dong'zhong'xin 少儿活动中心
'shao'nian'gong 少年宫
'she'bei'ceng 设备层
'she'bei'yong'fang 设备用房
'she'ji'he'tong 设计合同
'she'ji'qian'qi'gong'zuo 设计前期工作
'she'ji'ren'wu'shu 设计任务书
'she'ji'wen'jian 设计文件
'she'ji'yi'ju 设计依据
'shi'gong'tu'she'ji 施工图设计
'shi'gong'tu'yu'suan 施工图预算
'shi'nei'jing'gao 室内净高
'shi'nei'wai'gao'cha 室内外高差
'shi'tang 食堂
'shi'xian'she'ji 视线设计
'shi'xun'lou 实训楼
'shi'yan'jiao'shi 实验教室
'shi'yan'yong'fang 实验用房
'shi'yong'mian'ji 使用面积
'shi'yong'mian'ji'xi'shu 使用面积系数
'shou'shu'bu 手术部
'shu'xiang'bu'zhi'tu 竖向布置图
'shui'bo'ji 水簸箕
'shui'pen'wu'mie'huo'xi'tong 水喷雾灭火系统
'si'fa'jian'zhu 司法建筑
'su'she 宿舍
'ta'shi'zhu'zhai 塔式住宅
'tai'jie 台阶
'tai'yang'neng'fan'she'lv 太阳能反射率
'tai'yang'neng'tou'guo'lv 太阳能透过率
'tao'xing 套型
'te'cang'shu'ku 特藏书库
'te'shu'jiao'yu'xue'xiao 特殊教育学校
'ti'jiao 踢脚
'ti'jing 梯井
'ti'yu'chang 体育场
'ti'yu'guan 体育馆
'ti'yu'jian'zhu 体育建筑
'tian'chuang 天窗
'tian'gou 天沟
'tian'jing 天井
'tiao'shui'chi 跳水池
'tiao'yan 挑檐
'tie'lu'ke'yun'zhan 铁路客运站
'ting'che'chang 停车场
'ting'yuan 庭院
'tong'feng 通风
