'ao'tu'ya'xian 凹凸压线
'hui'di'bai'ban 灰底白板
'jia'dang 夹档
'jia'xian 夹线
'jian'dui'jian 尖对尖
'jian'dui'ping 尖对平
'jiao'ding 胶钉
'jiao'yin 胶印
'jiao'yin'ban 胶印版
'jiao'yin'you'mo 胶印油墨
'jie'she 接舌
'jin'zhi'chang'kuan 进纸长宽
'jin'zhi'fang'xiang 进纸方向
'jing'mian'ji 净面积
'jing'zhuang'shu 精装书
'juan'fu'mo 卷覆膜
'juan'tong'zhi 卷筒纸
'ka'zhi 卡纸
'kai'cao 开槽
'kai'cao'ji 开槽机
'kai'pian'chang 开片长
'kai'pian'chang'kuan 开片长宽
'kai'pian'kuan 开片宽
'kai'shu 开数
'kang'ya 抗压
'kang'ya'qiang'du 抗压强度
'kang'ya'xi'shu 抗压系数
'ke'zhong 克重
'kong'xing 孔型
'la'gui 拉规
'leng'lv 楞率
'leng'xing 楞型
'liang'pian'cheng'xing 两片成型
'lin'mo 淋膜
'lin'mo'zhi 淋膜纸
'ma'duo 码垛
'mao'mian'ji 毛面积
'mao'zhong 毛重
'men'fu 门幅
'mo'qie 模切
'mo'qie'ban 模切版
'mu'ju 模具
'mu'qie'ji 模切机
'mu'tiao'xiang 木条箱
'mu'tuo'pan 木托盘
'nai'po 耐破
'nai'po'qiang'du 耐破强度
'nai'po'xi'shu 耐破系数
'nei'wen 内文
'nei'ye 内页
'niu'pi'zhi 牛皮纸
'pai'cheng 排程
'pai'cheng'biao 排程表
'pen'ma 喷码
'pin'ban 拼版
'pin'che 拼车
'pin'dan 拼单
'ping'fang'zhong 平方重
'ping'kou 平口
'ping'ya'ping 平压平
'ping'zhang'zhi 平张纸
'ping'zheng'du 平整度
'pou'shu 剖数
'qi'ji 起脊
'qiang'du 强度
'qie'shu 切书
'qie'shu 切数
'qing'fei 清废
'qu'fei 去废
'sha'guan'zhi 纱管纸
'shang'feng'mian 上封面
'shang'shu'ke 上书壳
'shang'tuo'pan 上托盘
'sheng'chan'dan 生产单
'sheng'chan'gong'dan 生产工单
'sheng'chan'tong'zhi'dan 生产通知单
'shou'juan 收卷
'shou'shu 手数
'shu'tie 书帖
'shuang'dao 双刀
'shuang'pian'cheng'xing 双片成型
'shui'yin 水印
'shui'yin'ban 水印版
'shui'yin'you'mo 水印油墨
'si'pian'cheng'xing 四片成型
'si'xiang 丝向
'tang'jin'ban 烫金版
'tang'jin'ji 烫金机
'tang'yin'ban 烫银版
'ti'fei 剔废
'tian'di'gai 天地盖
'tian'gai 天盖
'tian'tou'gui'ju 天头规矩
'tie'biao 贴标
'tie'she 贴舌
'ting'guan 听罐
'tong'ban'ka 铜版卡
'tou'liao'liang 投料量
'tuo'pan'ji 托盘机
'tuo'shao 拖梢
'wa'leng'ban 瓦楞板
'wa'leng'gun 瓦楞辊
'wa'leng'ji 瓦楞机
'wa'leng'zhi 瓦楞纸
'wa'leng'zhi'ban 瓦楞纸板
'wa'xian 瓦线
'wang'wen'gun 网纹辊
'xi'shu 系数
'xiang'xing 箱型
'xiao'pian 小片
'xiu'bian 修边
'xiu'bian'lv 修边率
'yang'gao 样稿
'yao'feng 腰封
'yao'gai 摇盖
'yao'kou 咬口
'yi'pian'cheng'xing 一片成型
'yin'ban 印版
'yin'liang 印量
'yin'shua'gun 印刷辊
'yin'shua'ji 印刷机
'yin'zhang 印张
'yin'zhang'chang 印张长
'yin'zhang'kuan 印张宽
'yong'zhi 用纸
'you'mo 油墨
'yu'yin 预印
'yu'yin'ban 预印版
'yu'yin'ji 预印机
'yu'yin'tao'tong 预印套筒
'yuan'mo 圆模
'yuan'ya'yuan 圆压圆
'yuan'zhi 原纸
'zai'sheng'zhi 再生纸
'zhan'xiang'ji 粘箱机
'zhan'xiang'ru'jiao 粘箱乳胶
'zhen'zhu'mian 珍珠棉
'zheng'du'zhi 正度纸
'zheng'pin'shu 正品数
'zhi'ban 纸板
'zhi'ban'chang'kuan 纸板长宽
'zhi'bei 纸杯
'zhi'guan 纸管
'zhi'guan 纸罐
'zhi'hu'jiao 纸护角
'zhi'jiang'mo'su 纸浆模塑
'zhi'jiao'ji 制胶机
'zhi'juan 纸卷
'zhi'juan'wu'liu 纸卷物流
'zhi'mo 纸模
'zhi'pan 纸盘
'zhi'wan 纸碗
'zhi'zhang 纸张
'zhi'zhi 纸质
'zhi'zhi'dai'ma 纸质代码
'zhong'wa 重瓦
'zhong'xing'bao'zhuang 重型包装
'zhuan'se 专色
'zhuang'zhen 装帧
'zhui'su 追溯
'zi'dong'jie'zhi 自动接纸
'zi'dong'jie'zhi'ji 自动接纸机
'zi'dong'tie'biao'ji 自动贴标机
