'an'dao 暗刀
'he'dan'jing 核弹井
'hong'cao'zuo 宏操作
'hong'qiu 红球
'hong'wu 红雾
'hong'xue 红血
'hong'zhen'hao 洪榛浩
'hu'dun 护盾
'huang'hou'jian'su 皇后减速
'huang'jin'gou 黄金狗
'huang'jin'jie'shuo'zu'he 黄金解说组合
'huang'yu'dang 黄鱼党
'huo'bing 火兵
'huo'pen 火喷
'ji'jia 机甲
'ji'jia'ju'ren 机甲巨人
'ji'qi'ren 机器人
'ji'qiang'bing 机枪兵
'ji'qu'qi 汲取器
'ji'xian'bao'bing'liu 极限爆兵流
'ji'xie'gong'chang 机械工厂
'jia'qi 架起
'jian'shang 溅伤
'jian'she'gong'ji 溅射攻击
'jian'xiao'ta 尖啸塔
'jiang'min 姜民
'jie'lue'zhe 劫略者
'jie'suo 解锁
'jin'hua'qiang 进化腔
'jin'jia 金甲
'jin'jia'chong 金甲虫
'jing'hua 净化
'jing'lian'chang 精炼厂
'jing'shen'kong'zhi 精神控制
'jing'zhi'li'chang 静止力场
'ju'xian'zhuang 聚贤庄
'ju'zhen'kong'tou 矩阵空投
'ju'zhen'mai'lei 矩阵埋雷
'ju'zhen'shan'dian 矩阵闪电
'jun'tan 菌毯
'ka'li'gan 卡利甘
'ke'ji'qiu 科技球
'ke'ji'shu 科技树
'ke'long'cao'zuo 克隆操作
'ke'xue'qiu 科学球
'keng'dao'chao 坑道巢
'keng'dao'ru'chong 坑道蠕虫
'kong'he'liu 恐吓流
'kong'jiang'cang 空降仓
'kuai'su'jian'zao 快速建造
'kuang'gou 狂狗
'kuang'qu 矿区
'kuang're'zhe 狂热者
'lei'che 雷车
'lei'che'chan'rao 雷车缠绕
'lei'che'sao'rao 雷车骚扰
'lei'che'shuai'wei 雷车甩尾
'lei'she'jian 镭射舰
'lei'shen 雷神
'lei'shou 雷兽
'lei'shou'ku 雷兽窟
'li'yun'lie 李允烈
'li'zi'pao 离子炮
'lian'lu 炼炉
'liang'gong'liang'fang 两攻两防
'liao'tian'liu 聊天流
'lin'yao'huan 林遥焕
'ling'zhu 领主
'ling'zhu'shi'ye 领主视野
'ling'zhu'su'du 领主速度
'ling'zhu'yun'shu 领主运输
'long'qi 龙骑
'long'qi'fang 龙骑房
'long'qi'she'cheng 龙骑射程
'long'qi'shi 龙骑士
'long'qi'wu 龙骑舞
'luo'xuan'ta 螺旋塔
'ma'ta'bai'tuo 马塔拜托
'ma'ta'hui'xuan 马塔回旋
'ma'zai'yun 马在允
'mai'di 埋地
'mai'lei 埋雷
'man'gong'man'fang 满攻满防
'man'shou'liu 慢手流
'man'tou 慢投
'man'tou'qian'fu 馒头潜伏
'mian'gong'ji 面攻击
'mo'ri'zhi'zheng'guan 末日执政官
'mu'chao 母巢
'mu'chao'zhi'zhan 母巢之战
'nai'li'hui'fu 耐力恢复
'neng'liang'chang 能量场
'neng'liang'lei'da 能量雷达
'neng'liang'sheng'ji 能量升级
'nv'wu'shen 女武神
'nv'yao'zhan'ji 女妖战机
'pai'xie'tui'jin 排泄推进
'pen'huo'bing 喷火兵
'piao'bing'ying 飘兵营
'piao'ji'di 飘基地
'piao'jian'zhu 飘建筑
'pin'kuang'di'tu 贫矿地图
'pu'tong'gong'ji 普通攻击
'qi'kuang 气矿
'qi'pian'liu 欺骗流
'qian'fu'zhe 潜伏者
'qian'xing 潜行
'qiang'bing 枪兵
'quan'bing'kong'tou 全兵空投
'ren'zu 人族
'ren'zu'da'jian 人族大舰
'ren'zu'huang'di 人族皇帝
'ren'zu'tan'ke 人族坦克
'ren'zu'tian'wang 人族天王
'ru'chong'sui'dao 蠕虫隧道
'sa'er'na'jia'zu 萨尔纳迦族
'san'fang 三防
'san'gong 三攻
'san'gong'san'fang 三攻三防
'san'kuang 三矿
'sha'jia'bang 沙家帮
'sha'nong'min 杀农民
'shan'dian 闪电
'shan'dian'bing 闪电兵
'shen'shang'xian 肾上腺
'shen'zu 神族
'shen'zu'hang'mu 神族航母
'shen'zu'mu'jian 神族母舰
'sheng'dian 圣殿
'sheng'fang 升防
'sheng'gong 升攻
'sheng'gong'fang 升攻防
'sheng'ji'fu'jian 升级附件
'sheng'ji'hu'dun 升级护盾
'sheng'ji'long'qi'she'cheng 升级龙骑射程
'sheng'ji'neng'liang 升级能量
'sheng'ji'she'cheng 升级射程
'sheng'ji'shi'ye 升级视野
'sheng'ji'xing'fen'ji 升级兴奋剂
'sheng'jia 升甲
'sheng'liang'fang 升两防
'sheng'liang'gong 升两攻
'sheng'san'fang 升三防
'sheng'san'gong 升三攻
'sheng'she'cheng 升射程
'sheng'su'du 升速度
'sheng'tang'dang'an'guan 圣堂档案馆
'sheng'tang'wu'shi 圣堂武士
'sheng'yi'fang 升一防
'sheng'yi'gong 升一攻
'shi'da'he'xin'jing'zheng'li 十大核心竞争力
'shi'kong'zha'dan 时空炸弹
'shi'luo'de'shen'miao 失落的神庙
'shou'chao'zhu'mu 兽巢主母
'shou'ge'zhe 收割者
'shou'hu'zhe 守护者
'shou'su 手速
'shou'xue 兽穴
'shuang'bing'ying'ke'ji 双兵营科技
'shuang'sheng'gong'fang 双升攻防
'shuang'xian'cao'zuo 双线操作
'shuang'xian'kong'tou 双线空投
'shui'jing'kuang 水晶矿
'shun'yi 瞬移
'si'ti'gong'si 四踢公司
'su'shuang'kuang 速双矿
'su'zhu 宿主
'sui'xing'guang'shu 碎星光束
'suo'ding 锁定
'tan'ke'zhen 坦克阵
'ti'su 提速
'tian'kong'yu'zhou'liu 天空宇宙流
'tiao'ling 跳蛉
'ting'qi 停气
'tou'du'cang 偷渡仓
'tou'kuang 偷矿
'tu'jiu'che 秃鹫车
'tun'shi'zhe 吞噬者
'tuo'ba'liu 拖把流
'wa'ge'lei 瓦格雷
'wa'jue'sui'dao 挖掘隧道
'wan'mei'ren'zu 完美人族
'wei'cao 微操
'wei'cao'zuo 微操作
'wei'jing 维京
'wei'suo'liu 猥琐流
'wo'men'xian'zai'you'shi'hen'da 我们现在优势很大
'wu'ran 污染
'xi'mo 吸魔
'xiang'ta 象塔
'xiang'wei'leng'jing 相位棱镜
'xiao'di'tu 小地图
'xiao'fei'ji 小飞机
'xiao'gou'bian'fei'long 小狗变飞龙
'xiao'gou'jia'fei'long 小狗加飞龙
'xiao'xing'dan'wei 小型单位
'xie'zi'ta 蝎子塔
'xin'ling'feng'bao 心灵风暴
'xing'ji'zheng'ba 星际争霸
'xing'ji'zheng'ba'er 星际争霸二
'xing'jie'zhi'men 星界之门
'xiu'ru'liu 羞辱流
'xu'zhi'xiu 徐智秀
'xu'zhi'xun 徐智勋
'xue'chi 血池
'xue'wu 血雾
'xue'zhou 血咒
'xun'luo'gong'ji 巡逻攻击
'yan'zi'liu 燕子流
'ye'bing'ying 野兵营
'ye'jian'zhu 野建筑
'ye'man'bu'luo 野蛮部落
'ye'man'qiu'zhang 野蛮酋长
'ye'zhong'gong 野重工
'yi'bo'liu 一波流
'yi'gong'yi'fang 一攻一防
'yi'shi'liu 意识流
'yi'wu'bing 医务兵
'yin'dao 隐刀
'yin'fei 隐飞
'yin'lei 引雷
'yin'xing'li'chang 隐形立场
'you'bu 诱捕
'you'ling'bing 幽灵兵
'you'ling'zhan'ji 幽灵战机
'you'mu'zhe 游牧者
'yuan'cheng'dan'wei 远程单位
'yuan'cheng'gong'ji 远程攻击
'yuan'zi'dan'bing 原子弹兵
'zhan'wang 战网
'zhang'lang'xue 蟑螂穴
'zhao'nong'min 召农民
'zhen'dang'bo 震荡波
'zhen'dang'gong'ji 震荡攻击
'zhi'di'zhan 殖地站
'zhi'di'zhong'liu 殖地肿瘤
'zhi'hui'zhong'xin 指挥中心
'zhi'mang 致盲
'zhi'ti 殖体
'zhi'zhu'lei 蜘蛛雷
'zhong'cai'zhe 仲裁者
'zhong'xing'dan'wei 中型单位
'zhu'ji'di 主基地
'zhu'kong'ji'di 主控基地
'zhu'kuang 主矿
'zhu'zai 主宰
'zhuan'ye'jiu'shi'wang'dao 专业就是王道
'zhui'zong'zhe 追踪者
'zi'bao'chong 自爆虫
'zi'bao'ren 自爆人
'zi'sha'fei'ji 自杀飞机
'zi'sha'wen 自杀蚊
'zuan'di 钻地
