'an'fa 按法
'qia'jing'wei 掐精威
'qia'ren'zhong 掐人中
'qia'rou'si'heng'wen 掐揉四横纹
'qia'rou'ying'xiang 掐揉迎香
'qia'rou'you'duan'zheng 掐揉右端正
'qia'rou'zuo'duan'zheng 掐揉左端正
'qia'shan'gen 掐山根
'qia'yin'tang 掐印堂
'qian'zhen'shun'yun 乾震顺运
'qiao'gong 桥弓
'qing'da'chang 清大肠
'qing'fa 清法
'qing'tian'he'shui 清天河水
'qing'wei'jing 清胃经
'qing'xiao'chang 清小肠
'qu'chi 曲池
'qu'sha'fa 取痧法
'qu'tian'he'shui 取天河水
'que'pen 缺盆
'ren'zhong 人中
'rou'er'hou'gao'gu 揉耳后高骨
'rou'er'shan'men 揉二扇门
'rou'er'yao'tou 揉耳摇头
'rou'fa 揉法
'rou'fu 揉腹
'rou'gen'gong 揉艮宫
'rou'ji 揉脊
'rou'ru'gen 揉乳根
'rou'shan'zhong 揉膻中
'rou'tai'yang 揉太阳
'rou'tian'tu 揉天突
'rou'xin 揉囟
'rou'yin'tang 揉印堂
'ru'gen 乳根
'ru'pang 乳旁
'san'guan 三关
'san'yin'jiao 三阴交
'shan'gen 山根
'shan'zhong 膻中
'shao'shang 少商
'shen'ding 肾顶
'shen'jing 肾经
'shen'que 神阙
'shen'wen 肾纹
'shen'yu 肾俞
'shi'xuan 十宣
'shou'yin'yang 手阴阳
'shuang'feng'zhan'chi 双凤展翅
'shuang'long'bai'wei 双龙摆尾
'shui'di'lao'ming'yue 水底捞明月
'shui'huo'ji'ji 水火既济
'shun'yun'nei'ba'gua 顺运内八卦
'si'bai 四白
'si'heng'wen 四横纹
'su'fei'fa 肃肺法
'tai'xi 太溪
'tai'yang 太阳
'tian'he'shui 天河水
'tian'men 天门
'tian'men'ru'hu'kou 天门入虎口
'tian'shu 天枢
'tian'tu 天突
'tian'zhu'gu 天柱骨
'tiao'da'chang 调大肠
'tiao'wu'jing 调五经
'tiao'wu'zang 调五脏
'tou'mian'si'da'shou'fa 头面四大手法
'tu'fa 吐法
'tui'ban'men 推板门
'tui'cuan'zhu 推攒竹
'tui'fa 推法
'tui'fu 推腹
'tui'ji 推脊
'tui'ji'men 推箕门
'tui'kan'gong 推坎宫
'tui'qiao'gong 推桥弓
'tui'shang'qi'jie'gu 推上七节骨
'tui'shang'san'guan 推上三关
'tui'si'heng'wen 推四横纹
'tui'tian'he'shui 推天河水
'tui'tian'zhu'gu 推天柱骨
'tui'xia'liu'fu 退下六腑
'tui'xia'qi'jie'gu 推下七节骨
'tui'xin 推囟
'wai'ba'gua 外八卦
'wai'lao'gong 外劳宫
'wei'jing 胃经
'wei'ling 威灵
'wei'zhong 委中
'wen'fa 温法
'wen'yun'yuan'yang 温熨元阳
'wu'bei'shu'xue 五背俞穴
'wu'jing'xue 五经穴
'wu'zhi'jie 五指节
'xi'yan 膝眼
'xia'fa 下法
'xia'tui'shan'zhong 下推膻中
'xiao'chang 小肠
'xiao'fa 消法
'xiao'heng'wen 小横纹
'xiao'tian'xin 小天心
'xie'lei 胁肋
'xin'jing 心经
'xin'men 囟门
'xin'men'tui'na'fa 囟门推拿法
'xin'yu 心俞
'xuan'ji 璇玑
'xuan'tui'fa 旋推法
'xue'hai 血海
'xun'dui'shun'yun 巽兑顺运
'xun'kan'shun'yun 巽坎顺运
'ya'men 哑门
'yang'chi 阳池
'yao'fa 摇法
'yao'yi'wo'feng 摇一窝风
'yao'yue'dou'zhou 摇月斗肘
'yi'wo'feng 一窝风
'yin'chi 阴池
'yin'tang 印堂
'ying'xiang 迎香
'yong'quan 涌泉
'you'duan'zheng 右端正
'yuan'hou'zhai'guo 猿猴摘果
'yun'fa 运法
'yun'nei'ba'gua 运内八卦
'yun'shui'ru'tu 运水入土
'yun'tai'yang 运太阳
'yun'tu'ru'shui 运土入水
'zhang'xiao'heng'wen 掌小横纹
'zhen'an'jing'ming 振按睛明
'zhen'fa 振法
'zhen'fu 振腹
'zhen'ji 振脊
'zhen'nao'men 振脑门
'zhen'xin 振囟
'zhen'yin'tang 振印堂
'zhi'tui'fa 直推法
'zhong'wan 中脘
'zhuo'ji 啄脊
'zong'jin 总筋
'zong'shou'fa 总收法
'zu'san'li 足三里
'zuo'duan'zheng 左端正
