'a'si'mo'de'wu'si 阿丝磨德乌丝
'xia'fei 夏妃
'xia'wa 夏娃
'xia'wei'shi'jie 下位世界
'xiang'tian 乡田
'xiang'tian'jun'lang 乡田俊朗
'xiao'an 小安
'xiao'ci'mu 小此木
'xiao'ci'mu'tie'lang 小此木铁郎
'xie'si'ta 谢丝塔
'xiong'ze 熊泽
'xiong'ze'qian'dai 熊泽千代
'xiong'ze'qing'ji 熊泽鲭吉
'xiong'ze'qiu 熊泽秋
'xiu'ji 秀吉
'xu'gui 叙诡
'xu'mo'si 须磨寺
'xu'mo'si'xia 须磨寺霞
'xu'shu'xing'gui'ji 叙述性诡计
'xue'ding'e'de'mao 薛定谔的猫
'yao'po'du'qi'qu'si'ru'he 咬破肚脐去死如何
'yao'qiu'fu'shu 要求复述
'yi'dai'bei 一代贝
'yi'dou'qun'dao 伊豆群岛
'ying'tai'lang 樱太郎
'you'dai'gong 右代宫
'you'dai'gong'cang'jiu 右代宫藏臼
'you'dai'gong'hui'yu 右代宫绘羽
'you'dai'gong'jin'zang 右代宫金藏
'you'dai'gong'li'yu 右代宫理御
'you'dai'gong'liu'fu'fu 右代宫留弗夫
'you'dai'gong'lou'zuo 右代宫楼座
'you'dai'gong'ming'ri'meng 右代宫明日梦
'you'dai'gong'mo'li'sha 右代宫魔理沙
'you'dai'gong'rang'zhi 右代宫让治
'you'dai'gong'wu'jiang 右代宫雾江
'you'dai'gong'xia'fei 右代宫夏妃
'you'dai'gong'xiu'ji 右代宫秀吉
'you'dai'gong'yuan'shou 右代宫缘寿
'you'dai'gong'zhan'ren 右代宫战人
'you'dai'gong'zhen'li'ya 右代宫真里亚
'you'dai'gong'zhu'zhi'xiang 右代宫朱志香
'you'xian'de'mo'nv 有限的魔女
'yuan'chu'de'mo'nv 原初的魔女
'yuan'ci 源次
'yuan'shou 缘寿
'yuan'xiao'shuo 元小说
'yuan'you'xi 元游戏
'zhan'ren 战人
'zhen'li'ya 真里亚
'zhen'shi'de'mo'nv 真实的魔女
'zhen'tan'shi'jiao 侦探视角
'zhi'fang 志方
'zhi'fang'jing'zi 志方晶子
'zhi'xing'qiang'jian'zhe 知性强奸者
'zhu'zhi'xiang 朱志香
'zi'zi 紫字
