'fan'fu'die'qun 泛覆叠群
'fan'han'shu 反函数
'fan'jiao'huan 反交换
'fan'ju'zhen'dai'shu 泛矩阵代数
'fan'she'bi 反射壁
'fan'shu 范数
'fan'tong'tai 泛同态
'fan'xing'zhi 泛性质
'fan'yan'zhong'xin 反演中心
'fan'zi'tong'gou 反自同构
'fang'she'chao'ping'mian 仿射超平面
'fang'she'gai'xing 仿射概形
'fang'she'qun 仿射群
'fang'she'zuo'biao 仿射坐标
'fang'she'zuo'biao'huan 仿射坐标环
'fang'xiang'bi 方向比
'fei'ben'yuan'qun 非本原群
'fei'biao'zhun'fen'xi 非标准分析
'fei'biao'zhun'liang'ci 非标准量词
'fei'fu'tu'han'shu'de'ji'han 非负凸函数的极函
'fei'hun'he'li'xiang 非混合理想
'fei'jian 非减
'fei'jiao'huan'huan 非交换环
'fei'jiao'huan'qun 非交换群
'fei'jiao'huan'zheng'huan 非交换整环
'fei'qi'ci'de'heng'fen'jie 非齐次的横分解
'fei'qi'xing'zong'ti 非齐性总体
'fei'qi'yi'shuang'xian'xing'xing 非奇异双线性型
'fei'qiang'zhan'xing'you'xian'quan 非强占型优先权
'fei'ting'fen'jie 菲廷分解
'fei'tong'yu 非同余
'fei'tu'er'ci'gui'hua 非凸二次规划
'fei'xian'xing'xue'ding'e'fang'cheng 非线性薛定谔方程
'fei'xian'xing'zhen'dong 非线性振动
'fei'yong'han'shu 费用函数
'fei'zheng'ze'wang'ge 非正则网格
'fen'bu'fa 分步法
'fen'chai'han'shu 分拆函数
'fen'ci'li'xiang 分次理想
'fen'hua'ge 分划格
'fen'kuai 分块
'fen'kuai'dui'jiao'ju'zhen 分块对角矩阵
'fen'lei'kong'jian 分类空间
'fen'li'dian 分离点
'fen'li'tai'she 分离态射
'fen'li'xing'gong'li 分离性公理
'fen'lie'li'dai'shu 分裂李代数
'fen'lie'yin'zi'zu 分裂因子组
'fen'mu 分母
'fen'pei'ge 分配格
'fen'pi'shi'yan'fa 分批试验法
'fen'shi'yu 分式域
'fen'shu'ci'dao'shu 分数次导数
'fen'shu'zhi'shu 分数指数
'fen'yuan'dan'wei 分圆单位
'fen'yuan'duo'xiang'shi 分圆多项式
'fen'zu'ma 分组码
'feng'du 峰度
'feng'fu'chu'zi 丰富除子
'feng'fu'ke'ni'ceng 丰富可逆层
'fou'ding'ci 否定词
'fu'bian'cha 负变差
'fu'dan'lian'tong'jie'xi'li'qun 复单连通解析李群
'fu'die'kong'jian 覆叠空间
'fu'duo'xiang'fen'bu 负多项分布
'fu'fan'huan'yuan'de'pu 赋范环元的谱
'fu'fen'xi 复分析
'fu'gai'de'jie 覆盖的阶
'fu'hao 负号
'fu'hao'cha 符号差
'fu'hao'ji'suan 符号计算
'fu'he 复合
'fu'he'ju'zhen 复合矩阵
'fu'he'xin'pu'sen'gong'shi 复合辛普森公式
