'an'jie 按揭
'qi'ta'huo'bi'zi'jin 其他货币资金
'qi'ta'shou'yi'he'kui'sun 其它收益和亏损
'qi'ta'ye'wu'shou'ru 其他业务收入
'qi'ta'ye'wu'zhi'chu 其他业务支出
'qi'ta'ying'fu'kuan 其他应付款
'qi'ta'ying'jiao'kuan 其他应交款
'qi'ta'ying'shou'kuan 其他应收款
'qi'ye'he'bing 企业合并
'qi'ye'jian'bing 企业兼并
'qi'ye'nei'bu'ze'ren 企业内部责任
'qi'ye'suo'de'shui 企业所得税
'qi'yun'dian'jiao'huo 起运点交货
'qian'qi'tiao'zheng'shu 前期调整数
'qian'tou'bao'xiao'shang 牵头包销商
'qiang'mao'zi 抢帽子
'qing'suan 清算
'quan'yi'bi'lv 权益比率
'quan'yi'fa 权益法
'quan'yi'tou'zi 权益投资
'quan'ze'fa'sheng'zhi'kuai'ji 权责发生制会计
'que'ren'shou'yi'huo'sun'shi 确认收益或损失
're'men'gu 热门股
're'qian 热钱
'ren'gou'qi'quan 认购期权
'ren'gu'quan'zheng 认股权证
'ren'gu'zheng 认股证
'ren'li'zi'yuan 人力资源
'rong'zi'gang'gan'jing'zi'chan'shou'yi'lv 融资杠杆净资产收益率
'rong'zi'huo'dong 融资活动
'rong'zi'neng'li 融资能力
'san'hu 散户
'shang'hao 商号
'shang'pin'jin'xiao'cha'jia 商品进销差价
'shang'pin'pan'cun 商品盘存
'shang'shi'gong'si 上市公司
'shang'shi'gu'piao 上市股票
'shang'ye'piao'ju 商业票据
'shang'yu 商誉
'she'hao 折耗
'she'xiao'bai'fen'bi'fa 赊销百分比法
'shen'ji 审计
'shen'ji'bao'gao 审计报告
'shen'ji'wei'yuan'hui 审计委员会
'shen'ji'yi'jian 审计意见
'sheng'chan'cheng'ben 生产成本
'sheng'chan'neng'li 生产能力
'sheng'chan'xiao'lv 生产效率
'shi'chang'fen'e 市场份额
'shi'chang'jia'ge 市场价格
'shi'duo 实多
'shi'ji'li'lv 实际利率
'shi'ji'li'xi'fa 实际利息法
'shi'jia 市价
'shi'jia'pan 市价盘
'shi'jia'yu'zhang'mian'zhi'bi'lv 市价与账面值比率
'shi'jiao'zi'ben 实缴资本
'shi'shou'zi'ben 实收资本
'shi'wu'chen'jiu 实物陈旧
'shi'ying'lv 市盈率
'shi'yong'nian'xian 使用年限
'shi'zhi 市值
'shou'ci'gong'kai'zhao'gu 首次公开招股
'shou'gou 收购
'shou'gou'hou'fei'yong 收购后费用
'shou'pan 收盘
'shou'pan'jia 收盘价
'shou'quan'gu'ben 授权股本
'shou'ru'que'ren 收入确认
'shou'tuo'dai'xiao'shang'pin 受托代销商品
'shou'yi 收益
'shou'yi'zhi'liang 收益质量
'shu'chu'shi'chang 输出市场
'shu'hui 赎回
'shuang'bei'yu'e'di'jian'fa 双倍余额递减法
'shuang'chong'zheng'shui 双重征税
'shui'hou'jing'e 税后净额
'shui'kuan'di'kou 税款抵扣
'shui'lv 税率
'shui'piao 税票
'shui'wu'kuai'ji 税务会计
'shui'wu'shen'bao 税务申报
'shui'zhong 税种
'si'duo'tou 死多头
'si'kong'tou 死空头
'si'ren'gong'si 私人公司
'song'hong'gu 送红股
'su'dong'bi'lv 速动比率
'sui'gu 碎股
'sun'yi'biao 损益表
'suo'de'shui 所得税
'suo'de'shui'qi'nei'fen'tan 所得税期内分摊
'suo'you'zhe'quan'yi 所有者权益
'ta'kong 踏空
'tai'jiao 抬轿
'tan'bao 摊薄
'tan'bao'hou'mei'gu'ying'li 摊薄后每股盈利
'tan'bao'zheng'quan 摊薄证券
'tan'xiao 摊销
'tao'deng 套戥
'tao'deng'zhe 套戥者
'tao'lao 套牢
'tao'qi'bao'zhi 套期保值
'ti'qian'shu'hui'tiao'kuan 提前赎回条款
'tian'quan 填权
'tiao'kong 跳空
'tiao'shui 跳水
'tie'quan 贴权
'tie'xian'lv 贴现率
'ting'ban 停板
'tong'huo'peng'zhang 通货膨胀
'tou'ji'zhe 投机者
'tou'ru'shi'chang 投入市场
'tou'zi'chan'sheng'de'xian'jin'liu'liang 投资产生的现金流量
'tou'zi'hui'bao'lv 投资回报率
'tou'zi'huo'dong 投资活动
'tou'zi'shou'yi 投资收益
'tou'zi'yin'hang 投资银行
'tou'zi'zu'he 投资组合
'tu'di'zeng'zhi'shui 土地增值税
'tui'gu 退股
'tui'xiu'hou'cheng'ben 退休后成本
'tuo'guan'ren 托管人
'wai'bu'rong'zi 外部融资
'wai'pan 外盘
'wei'bi 委比
'wei'chi'an'jin 维持按金
'wei'huo'shou'ru 未获收入
'wei'ping'cang'he'yue 未平仓合约
'wei'qing'zhang'hu 未清账户
'wei'que'ren'rong'zi'fei'yong 未确认融资费用
'wei'shi'xian'shou'ru'huo'sun'shi 未实现收入或损失
'wei'tuo'dai'kuan 委托贷款
'wei'tuo'dai'xiao'shang'pin 委托代销商品
'wei'tuo'jia'gong'wu'zi 委托加工物资
'wei'wan'cheng'zhi'ling 未完成指令
'wei'xiu'fei'yong 维修费用
'wei'yue 违约
'wen'hua'ti'yu'ye 文化体育业
'wen'jian 稳健
'wu'bao'liu'yi'jian 无保留意见
'wu'dan'bao'piao'ju 无担保票据
'wu'feng'xian'hui'bao 无风险回报
'wu'liao'pan'cun 物料盘存
'wu'xing'zi'chan 无形资产
'wu'xing'zi'chan'jian'zhi'zhun'bei 无形资产减值准备
'wu'zi'cai'gou 物资采购
'xi'pan 洗盘
'xian'dao'zhi'biao 先导指标
'xian'huo'shi'chang 现货市场
'xian'jin 现金
'xian'jin'deng'jia'wu 现金等价物
'xian'jin'guan'li 现金管理
'xian'jin'liu 现金流
'xian'jin'liu'liang'biao 现金流量表
'xian'jin'liu'liang'fa 现金流量法
'xian'jin'xian'chu'fa 先进先出法
'xian'jin'xiang'mu 现金项目
'xian'jin'zhe'kou 现金折扣
'xian'shou 现手
'xian'xing'cheng'ben 现行成本
'xian'zhi 现值
'xiao'fei'shui 消费税
'xiao'gui'mo'na'shui'ren 小规模纳税人
'xiao'huo'cheng'ben 销货成本
'xiao'shou'bu'dong'chan 销售不动产
'xiao'shou'jing'e 销售净额
'xiao'shou'li'run'lv 销售利润率
'xiao'shou'tui'hui 销售退回
'xiao'shou'zeng'zhang 销售增长
'xin'yong'cheng'du 信用程度
'xin'yong'ping'ji 信用评级
'xin'yong'tiao'jian 信用条件
'xin'yong'xian'e 信用限额
'xing'shi'jia 行使价
'xing'zheng'hua'fei 行政花费
'xiong'shi 熊市
'yang'lao'jin 养老金
'yi'ban'kuai'ji'yuan'ze 一般会计原则
'yi'ban'na'shui'ren 一般纳税人
'yi'gui'huan'tou'zi 已归还投资
'yi'jia'fa'xing 溢价发行
'yi'jiu'huan'xin 以旧换新
'yi'qian'nian'du'sun'yi'tiao'zheng 以前年度损益调整
'yi'shi'xian'shou'yi'huo'sun'shi 已实现收益或损失
'yi'shou 一手
'yin'die 阴跌
'yin'hang'cun'kuan 银行存款
'yin'hang'dui'zhang'dan 银行对账单
'yin'hua'shui 印花税
'ying'fu'di'ya'kuan 应付抵押款
'ying'fu'fu'li'fei 应付福利费
'ying'fu'gong'zi 应付工资
'ying'fu'gu'li 应付股利
'ying'fu'kuan'xiang 应付款项
'ying'fu'piao'ju 应付票据
'ying'fu'shui'jin 应付税金
'ying'fu'zhai'quan 应付债券
'ying'fu'zhai'quan'yi'jia 应付债券溢价
'ying'fu'zhai'quan'zhe'jia 应付债券折价
'ying'fu'zhang'kuan 应付账款
'ying'fu'zhang'kuan'zhou'zhuan 应付账款周转
'ying'ji'xiang'mu 应计项目
'ying'li 盈利
'ying'li'neng'li 盈利能力
'ying'shou'bu'tie'kuan 应收补贴款
'ying'shou'gu'li 应收股利
'ying'shou'li'xi 应收利息
'ying'shou'piao'ju 应收票据
'ying'shou'zhang'kuan 应收账款
'ying'shou'zhang'kuan'zhou'zhuan 应收账款周转
'ying'shui'shou'ru 应税收入
'ying'ye'fei'yong 营业费用
'ying'ye'mao'li 营业毛利
'ying'ye'ri 营业日
'ying'ye'shou'ru 营业收入
'ying'ye'shou'yi 营业收益
'ying'ye'shui 营业税
'ying'ye'wai'shou'ru 营业外收入
'ying'ye'wai'xiang'mu 营业外项目
'ying'ye'wai'zhi'chu 营业外支出
'ying'ye'zhou'qi 营业周期
'ying'yu'gong'ji 盈余公积
'ying'yun'zi'jin 营运资金
'yong'jin 佣金
'yong'xu'fa 永续法
'you'dan'bao'piao'ju 有担保票据
'you'duo 诱多
'you'hui'li'lv 优惠利率
'you'jia'zheng'quan 有价证券
'you'kong 诱空
'you'xian'gu 优先股
'you'xian'gu'quan 优先股权
'you'zheng'tong'xin'ye 邮政通信业
'yu'fu'kuan 预付款
'yu'fu'zhang'kuan 预付账款
'yu'ji'fu'zhai 预计负债
'yu'shou'zhang'kuan 预收账款
'yu'ti'fei'yong 预提费用
'yuan'cai'liao 原材料
'yuan'shi'cheng'ben 原始成本
'yue'shu'xing'gui'ding 约束性规定
'yun'fei'yi'fu 运费已付
'zai'chou'zi 再筹资
'zai'jian'gong'cheng 在建工程
'zai'jian'gong'cheng'jian'zhi'zhun'bei 在建工程减值准备
'zai'tu'shang'pin 在途商品
'zai'tu'yun'shu 在途运输
'zeng'zhi'shui 增值税
'zhai'quan 债券
'zhai'quan'qi'yue 债券契约
'zhai'quan'ren 债权人
'zhai'quan'xing'tou'zi 债权性投资
'zhai'wu 债务
'zhai'wu'qi'yue 债务契约
'zhai'wu'qing'chang 债务清偿
'zhan'cang 斩仓
'zhang'ling'fen'xi'biao 账龄分析表
'zhang'mian'jia'zhi 账面价值
'zhang'mian'li'run 账面利润
'zhang'mian'shou'yi 账面收益
'zhang'mian'sun'shi 账面损失
'zhang'ting 涨停
'zhao'gu'shuo'ming'shu 招股说明书
'zhe'jiu 折旧
'zhe'jiu'fei'yong 折旧费用
'zhe'jiu'xi'shu 折旧系数
'zhe'kou'lv 折扣率
'zheng'fu'kuai'ji 政府会计
'zheng'quan 证券
'zheng'quan'ji'qi'huo 证券及期货
'zhi'jie'zhu'xiao'fa 直接注销法
'zhi'shi 止蚀
'zhi'shi'pan 止蚀盘
'zhi'xian'fa 直线法
'zhi'zao'fei'yong 制造费用
'zhi'zao'gong'si 制造公司
'zhi'zhuan 止赚
'zhi'zhuan'pan 止赚盘
'zhong'qi'guo'ku'quan 中期国库券
'zhong'yao'xing 重要性
'zhou'zhuan'zi'jin 周转资金
'zhu'ce'gu'fen 注册股份
'zhu'ce'kuai'ji'shi 注册会计师
'zhu'yao'jing'ban'ren 主要经办人
'zhu'ying'ye'wu'cheng'ben 主营业务成本
'zhu'ying'ye'wu'shou'ru 主营业务收入
'zhu'ying'ye'wu'shui'jin'ji'fu'jia 主营业务税金及附加
'zhuan'li 专利
'zhuan'pei'gu 转配股
'zhuan'rang'wu'xing'zi'chan 转让无形资产
'zhuan'xiang'ying'fu'kuan 专项应付款
'zhuan'zeng'gu 转增股
'zhui'bu'an'jin 追补按金
'zhun'bei'cheng'ben 准备成本
'zhun'bei'ye'wu'bu'men 准备业务部门
'zi'ben'bi'lv 资本比率
'zi'ben'fu'zhai 资本负债
'zi'ben'gong'ji 资本公积
'zi'ben'hua 资本化
'zi'ben'jie'gou 资本结构
'zi'ben'jie'gou'gang'gan 资本结构杠杆
'zi'ben'jing'zhi 资本净值
'zi'ben'shi'zhi 资本市值
'zi'ben'zu'lin 资本租赁
'zi'chan 资产
'zi'chan'bao'chou'lv 资产报酬率
'zi'chan'bao'fei 资产报废
'zi'chan'fu'zhai'biao 资产负债表
'zi'chan'fu'zhai'biao'wai'rong'zi 资产负债表外融资
'zi'chan'jing'zhi 资产净值
'zi'chan'qing'li 资产清理
'zi'chan'zhe'jiu'fan'wei 资产折旧范围
'zi'chan'zhou'zhuan'lv 资产周转率
'zi'gong'si 子公司
'zi'jin'cheng'ben 资金成本
'zi'ran'zi'yuan'cheng'ben 自然资源成本
'zi'zhi'ban'cheng'pin 自制半成品
'zu'zhi'xing'shi 组织形式
'zui'hou'jiao'yi'ri 最后交易日
'zuo'jiao 坐轿
'zuo'ye'bi'lv 作业比率
'zuo'ye'fang'fa 作业方法
