'a'zi'fu'chuang'qi 阿姊扶床泣
'bu'xu'geng'shang'xin'ting'wang 不须更上新亭望
'bu'yao'ren'kua'yan'se'hao 不要人夸颜色好
'bu'yin'song'ke'dong'cheng'qu 不因送客东城去
'bu'zhan'fang'zun'kai'kou'xiao 不展芳尊开口笑
'bu'zhi'he'xian'ren'jian'meng 不知何限人间梦
'bu'zhi'ming'jing'li 不知明镜里
'bu'zhi'shui'fang'hu'yan'ru 不知谁放呼延入
'bu'zhi'song'wai'shui'qiao'yue 不知松外谁敲月
'bu'zhi'yang'liu'zai'shui'jia 不知杨柳在谁家
'bu'zuo'ren'jian'nao'she'feng 不作人间脑麝风
'cai'fang'yi'you'jiang'nan'yi 采芳亦有江南意
'cai'qi'jin'ri'die'lai'duo 菜畦今日蝶来多
'cai'sang'zuo'can'si 采桑作蚕丝
'cai'yun'yi'bang'zhen'ru'mu 彩云依傍真如墓
'can'jiang'chi'shou'fen'san'xi 惭将赤手分三席
'can'mo'hu'chui'chu'yu'guan'qing 惨模糊吹出玉关情
'can'xue'lou'tai'shi'wan'qing 残雪楼台试晚晴
'cang'xu'yang'he'yi'zui'shen 藏蓄阳和意最深
'ce'zhang'ji'jing'guo 策杖几经过
'ceng'xiang'cang'liu'zhuan'nu'jing 曾向沧流剸怒鲸
'ceng'zhu'ming'shan'ao'qi'xian 曾住名山傲七贤
'chang'an'wu'fu'li'ren'xing 长安无复丽人行
'chang'duan'huai'gen'meng'bu'hui 肠断槐根梦不回
'chang'gan'qiu'lao'luo'chao'chu 长干秋老落潮初
'chang'men'xi'qu'shi'yang'guan 阊门西去是阳关
'chang'shui'ta'qian'you'qi'shu 长水塔前有奇树
'chang'song'zhong'sheng'jiao'ke'mian 长送钟声搅客眠
'chang'tu'zhi'shi'shui'lian'tian 长途只是水连天
'chang'yi'qian'chao'li'ji'qiu 长忆前朝李蓟丘
'chen'xian'zhang'chun'zhong'za'xing'qi'er 陈献章春中杂兴其二
'chen'xian'zhang'she'zhong'qi'si 陈献章社中其四
'chen'xian'zhang'xi'qing 陈献章喜晴
'chen'zi'long'dian'jiang'chun'chun'ri'feng'yu'you'gan 陈子龙点绛唇春日风雨有感
'chen'zi'long'du'yi'shui 陈子龙渡易水
'chen'zi'long'su'zhong'qing'chun'you 陈子龙诉衷情春游
'cheng'ren'wan'shi'bi 成仁万事毕
'cheng'tou'yi'pian'xi'shan'yue 城头一片西山月
'cheng'xue'chu'xiao'ji'cai'sheng 城雪初消荠菜生
'chi'chu'xi'chi'mu 踟蹰惜迟暮
'chi'fei'zi 敕飞字
'chi'qu'he'ri'wei'sheng'ping 驰驱何日慰升平
'chi'shang'lao'mei'zhi 池上老梅枝
'chou'bai'shuang'qin'yi'ye'tou 愁白双禽一夜头
'chou'chang'chun'feng'jiu'ci'bi 惆怅春风旧词笔
'chou'chang'tian'ya'you'li'bie 惆怅天涯又离别
'chou'hen'bu'zhi'shu 愁恨不知数
'chou'sha'jiang'tou'dai'du'ren 愁杀江头待渡人
'chou'yuan'ti'hua 仇远题画
'chou'yuan'yan'huai 仇远言怀
'chou'yun'di'suo'heng'yang'lu 愁云低锁衡阳路
'chu'chu'cuo'fan'nao'ru'shi 矗矗醝帆闹如市
'chu'qiao'san'mian'qing'shan'rao 出桥三面青山绕
'chu'wang'gong'wai'qian'tiao'liu 楚王宫外千条柳
'chuan'jing'bai'yun'qi 川净白云起
'chuan'tou'li'yu'chui'lang'hua 船头鲤鱼吹浪花
'chui'ji'yu'hang'huo 炊击渔航火
'chui'liu'yin'yin'fu'shui'liu 垂柳阴阴拂水流
'chun'dao'ren'jian'ren'si'yu 春到人间人似玉
'chun'feng'bu'wen'mao'zhai'xiao 春风不问茅斋小
'chun'feng'chui'liu'liu'si'huang 春风吹柳柳丝黄
'chun'feng'jiang'shang'lu 春风江上路
'chun'feng'men'xiang'yu'wu'hua 春风门巷欲无花
'chun'guang'yi'dao'xiao'hun'chu 春光已到销魂处
'chun'han'ce'ce'yan'zhong'men 春寒恻恻掩重门
'chun'jiang'tong'zai'yan 春江同在眼
'chun'kong'ai'ai'mu'yun'di 春空霭霭暮云低
'chun'se'dou'cong'yu'li'guo 春色都从雨里过
'chun'se'man'yuan'hua'sheng'jin 春色满园花胜锦
'chun'wu'zhu 春无主
'chun'xing'ci'di'kai 春星次第开
'chun'zai'ye'ren'bei'jiu'zhong 春在野人杯酒中
'ci'gu'hua'bai'xiao'ru'ping 茨菰花白小如萍
'ci'hua'bu'zai'qian'hua 此花不在铅华
'ci'qu'qing'feng'xiao'jue'wei 此去清风笑蕨薇
'ci'qu'xu'shui'tong 此趣许谁同
'ci'shen'he'shu 此身何属
'ci'shi'chun'lai'di'yi'sheng 此是春来第一声
'ci'tong'hua'kai'shan'yu'qing 刺桐花开山雨晴
'ci'xin'yuan'bu'wei'mei'hua 此心元不为梅花
'cong'lai'wan'shi'xian'gao'ge 从来万事嫌高格
'cu'hao'wei'tuo'feng'sha'qi 粗豪未脱风沙气
'cui'jiao'ting'xia'kan'liu'quan 翠蛟亭下看流泉
'cui'ke'ning'ren'fu'wei'ke 催科宁忍复为苛
'cun'chang'qian'jie 寸肠千结
'da'bu'ru'qian'sa'lei'shi 大不如前洒泪时
'da'di'hua'nian'dang'le'shi 大抵华年当乐事
'da'sha'yi'bu'zhi 大厦已不支
'dai'biao'yuan'gan'jiu'ge'zhe 戴表元感旧歌者
'dai'biao'yuan'hu'zhou 戴表元湖州
'dai'biao'yuan'mao'zhai 戴表元茅斋
'dai'li'you'fan'ku'bao'ke 待理犹繁苦抱疴
'dan'cheng'jia'zhu'gu'yun'zhou 但称家住古云州
'dan'huang'shan'nai'ou'si'feng 淡黄衫耐藕丝风
'dan'jian'gu'hong'ying 但见孤鸿影
'dan'yuan'cang'sheng'ju'bao'nuan 但愿苍生俱饱暖
'dang'shi'zi'pa'zhong'yuan'fu 当时自怕中原复
'dao'lai'wan'jie'can'song'bai 到来晚节惭松柏
'dao'le'shui'fei'shui'shi 到了谁非谁是
'de'li'ye'shang'lu 的历叶上露
'deng'gao'yu'qiong'qian'li'mu 登高欲穷千里目
'deng'qian'dan'ai'jiu'bei'pin 灯前但爱酒杯频
'deng'qian'kan'feng'qie 灯前看封箧
'deng'qian'mei'zhu'er'xiu'ku 灯前每嘱儿休哭
'deng'shao'yue'xia'yue'ru'yin 灯烧月下月如银
'di'di'chen'jiang'di 滴滴沉江底
'dian'hai'feng'duo'bu'qi'sha 滇海风多不起沙
'die'die'qiu'feng'die'die'shan 叠叠秋风叠叠山
'die'fen'dou'yi'xiang 蝶粉斗遗香
'die'shan'chi'si'wen'shan'zao 叠山迟死文山早
'ding'yi'yuan'lai'sheng'cheng'li 鼎彝元赖生成力
'dong'dang'xi'piao'bu'zhi'chu 东荡西飘不知处
'dong'feng'chui'luo'zhan'chen'sha 东风吹落战尘沙
'dong'feng'guan'shi'chui'hong'qu 东风惯是吹红去
'dong'hai'fan'ran'ren'gu'yuan 东海翻然认故园
'dong'hua'you'cao'jie'liang'yuan 洞花幽草结良缘
'dong'jun'wu'ji'zhu'can'hong 东君无计驻残红
'dong'qi'chang'fang'li'ying'qiu'han'shan'tu 董其昌仿李营丘寒山图
'dong'ting'gui'xing 洞庭归兴
'dong'yuan'xi'dai'gu 东原西埭鼓
'dou'fu'chun'feng'ma'er 都付春风马耳
'dou'fu'xiao'tan'zhong 都付笑谈中
'du'juan'ti'chu 杜鹃啼处
'du'shui'fu'du'shui 渡水复渡水
'du'xiang'xin'ting'hui'lei'bie 独向新亭挥泪别
'du'yi'lan'gan'kan'shu'yin 独倚阑干看树阴
'du'you'liu'ying'yu'fei'xu 独有流莺与飞絮
'duan'meng'jing'hui 短梦惊回
'duo'duo'hua'kai'dan'mo'hen 朵朵花开淡墨痕
'duo'shao'zheng'ren'ma'shang'kan 多少征人马上看
'duo'shi'heng'ge'ma'shang'xing 多是横戈马上行
'er'san'zhi'ji'zhi'bi 二三知己知彼
'er'zai'huai'zhi'bei 儿在淮之北
'fan'peng'ming'yue'ji'hui'man 范梈明月几回满
'fan'peng'shang'yuan'ri 范梈上元日
'fan'peng'you'nan'tai'min'yue'wang'miao 范梈游南台闽粤王庙
'fan'shuang'jin'shi'xin'tou'xue 繁霜尽是心头血
'fang'cao'ping'sha 芳草平沙
'fang'chuan'zhi'dao'bai'hua'zhou 放船直到百花洲
'fang'hui'bi'hu 方回闭户
'fang'hui'chun'wan'za'xing'shi'er'shou'qi'yi 方回春晚杂兴十二首其一
'fang'hui'san'tian'zhu'dao'zhong 方回三天竺道中
'fang'si'bu'ke'ji 芳思不可极
'fang'xiao'ru'jue'ming'ci 方孝孺绝命词
'fang'xiao'ru'shu'shi 方孝孺书事
'fang'xiao'ru'tan'shi'er'shou'qi'er 方孝孺谈诗二首其二
'fang'xiao'ru'tan'shi'er'shou'qi'yi 方孝孺谈诗二首其一
'fei'di'sheng'ge'sai'she'shen 沸地笙歌赛社神
'fei'guo'shan'qian'yu'yi'li 飞过山前雨一犁
'fei'ru'hua'lian'kong're'hen 飞入画帘空惹恨
'fei'shang'ling'long'xue 飞上玲珑雪
'fei'xiang'luo'ren'jian 飞响落人间
'fen'fen'ji'wu'yi'ming'hong 纷纷鸡鹜一冥鸿
'fen'gu'sui'shen'hun'bu'pa 粉骨碎身浑不怕
'feng'bo'yu 风波狱
'feng'hui'yi'jing'rou'lan'qian 风回一镜揉蓝浅
'feng'luo'ping'sha'dao 风落平沙稻
'feng'meng'long'fu'gui 冯梦龙富贵
'feng'meng'zhen'hu'zhong'qu'qi'yi 冯梦祯湖中曲其一
'feng'qi'yu 逢其欲
'feng'ri'zui'hua'hua'zui'niao 风日醉花花醉鸟
'feng'shan'shu'xiang'lai 风善树香来
'feng'xiao'qing'wu'ti 冯小青无题
'feng'ye'lu'hua'an'hua'chuan 枫叶芦花暗画船
'feng'yun'yi'ju'dao'tian'guan 风云一举到天关
'feng'zha'nuan 风乍暖
'fu'chu'qing'he'ji 复楚情何极
'fu'gui'ben'wu'gen 富贵本无根
'fu'rong'se'jin'yu'lin'lao 芙蓉涩尽鱼鳞老
'fu'shi'can'bei 拂拭残碑
'fu'shi'cong'cong'ru'ci 浮世匆匆如此
'fu'sui'ping'bei'fu'zheng'man 甫随平北复征蛮
'fu'yun'zai'shan'shan'yu'xing 浮云载山山欲行
'fu'zhen'san'xun'bu'zheng'guan 伏枕三旬不整冠
'fu'zi'wu'neng'xian'bu'de 抚字无能先布德
'gan'wei'dan'xin'jie'yi'zhi 敢为丹心借一枝
'gan'xiang'qing'tian'wen'ming'yue 敢向青天问明月
'gang'dao'fan'nan'jian'geng'nan 刚道繁难简更难
'gao'ge'yi'qu 高歌一曲
'gao'huai'zi'yin'huang'yang'xue 高怀眦饮黄羊血
'gao'ming'mu'chun'ji'shi 高明暮春即事
'gao'ming'xi'qing 高明喜晴
'gao'qi'chun'mu'xi'yuan 高启春暮西园
'gao'qi'de'jia'shu 高启得家书
'gao'qi'tian'jia'ye'chong 高启田家夜舂
'gao'qi'xun'hu'yin'jun 高启寻胡隐君
'gao'si'lei'feng'ta'ji'ceng 高似雷峰塔几层
'gao'su'chou'jia'guo 缟素酬家国
'ge'chuan'jue'si'sheng 戈船决死生
'ge'he'jian'feng'huo 隔河见烽火
'ge'qi'chu 歌起处
'ge'wei'dao'liang'fei'bu'qi 各为稻粱飞不起
'ge'xi'yan'yu'wei'fen'ming 隔溪烟雨未分明
'geng'wu'chou'chu'ke'chou'ren 更无愁处可愁人
'geng'you'mei'hua'man'lu'xiang 更有梅花满路香
'geng'yu'yi'hua'jin'zhen'bang 更欲移花近枕傍
'gong'che'you'ji'xi'nian'qing 公车犹记昔年情
'gong'kui'qiang'gan'ling 贡奎枪竿岭
'gong'yu'ce'zhen'huan'ru'he 公余侧枕唤如何
'gu'an'ye'shi'pei 酤安野市醅
'gu'chen'yu'ci'wang'chen'luan 孤臣于此望宸銮
'gu'guo'piao'ling'shi'yi'fei 故国飘零事已非
'gu'guo'wang'sun'lu 故国王孙路
'gu'jin'duo'shao'shi 古今多少事
'gu'lu'huang'tai'bi 古路荒苔碧
'gu'ren'he'ri'feng 故人何日逢
'gu'ren'qing'yuan'zhi'duo'shao 故人情怨知多少
'gu'xian'yi'jiang'ci 古县依江次
'gu'ying'bo'chang'men 顾瑛泊阊门
'gu'ying'bo'chui'hong'qiao'kou'zhan 顾瑛泊垂虹桥口占
'gu'ying'fa'chang'men 顾瑛发阊门
'gu'zhou'ye'bo'dong'you'ke 孤舟夜泊东游客
'guai'jian'xi'tong'chu'men'wang 怪见溪童出门望
'guan'cao'jin'ri'xian 官曹今日闲
'guan'he'chun'shui'lv'you'you 官河春水绿悠悠
'guan'kan'qiu'yue'chun'feng 惯看秋月春风
'guan'shen'ling'qian'gu'bian 管甚陵迁谷变
'guan'yun'shi'ci'shi'shi 贯云石辞世诗
'guan'yun'shi'si'qin 贯云石思亲
'guan'yun'shi'ti'lu'shan'tai'ping'gong 贯云石题庐山太平宫
'gui'qi'yin'sen'bi'shu'cong 鬼气阴森碧树丛
'gun'gun'chang'jiang'dong'shi'shui 滚滚长江东逝水
'guo'chi'you'wei'xue 国耻犹未雪
'guo'jia'er'zi'ru'xiang'wen 过家儿子如相问
'guo'ling'qiao'fu'nen'zao 过岭樵夫恁早
'guo'que'chun'guang'zong'bu'zhi 过却春光总不知
'guo'shou'shui'lian'miao'ji'duo 国手谁怜妙剂多
'guo'tian'xi'su'jiao'shan'shang'fang 郭天锡宿焦山上方
'guo'wang'jia'po'yu'he'zhi 国亡家破欲何之
'hai'jiao'diao'long'ren'yao'yao 海角钓龙人杳杳
'hai'men'feng'ji'yan'hang'pian 海门风急雁行偏
'hai'tang'yin'zhu'du'chun'xiao 海棠银烛度春宵
'hai'tian'ming'yue'yi'ban'yuan 海天明月一般圆
'han'bo'ta'ying'jian'zhong'liu 涵波塔影见中流
'han'gong'lu 汉宫露
'han'gu'jin'ren'chang'duo'lei 函谷金人长堕泪
'han'tu'xi'kan'bai'ri'hun 汉土西看白日昏
'han'yang'cheng'shu'luan'wu'ti 汉阳城树乱乌啼
'han'zhi'dui'jin'shui'jing'yan 寒枝堆尽水精盐
'hao'ge'yao'wang'yi'mang'ran 浩歌遥望意茫然
'hao'huai'kai'chu'mo'kong'guo 好怀开处莫空过
'hao'jie'qi'tun'bai'feng'sui 豪杰气吞白凤髓
'hao'jing'wei'ying'yue'dai'yan 好景惟应月带烟
'hao'si'bing'zhou'hua'jian'dao 好似并州花剪刀
'hao'si'zhou'jia'qi'sui'er 好似周家七岁儿
'hao'tai'gu'fang'ya'su'zi 皓态孤芳压俗姿
'he'hua'niao'niao'jian'gu'pu 荷花袅袅间菰蒲
'he'jing'ming'zhu'jiang'ru'chao'qi'yi 何景明诸将入朝其一
'he'nian'jin'xie 何年金屑
'he'ren'chui'di'qiu'feng'wai 何人吹笛秋风外
'he'shi'gu'chen'jing'xi'ji 何事孤臣竟息机
'he'shi'hai'dao'ci 何时还到此
'he'shi'xi'feng'neng'dian'zhui 何事西风能点缀
'hei'mao'jian'er'huang'hao'qiu 黑帽健儿黄貉裘
'hen'nan'bei'huang'tu'xiao'xie 恨南北黄图消歇
'hen'sha'chang'jiang'bu'xiang'xi 恨杀长江不向西
'heng'cui'zhang 横翠嶂
'heng'dao'da'hai'ye'man'man 横刀大海夜漫漫
'hong'chen'bu'dao'ren'jian'wu 红尘不到人间屋
'hong'chen'rao 红尘扰
'hong'lu'zhao'po'ye'chen'chen 洪炉照破夜沉沉
'hong'xing'yuan'lin'yu'guo'hua 红杏园林雨过花
'hou'lai'he'ku 后来何酷
'hou'nei'kan'deng'ji'wang'nian 后内看灯记往年
'hu'bian'ceng'ji'ta'hua'xing 湖边曾记踏花行
'hu'die'shang'ren'yi 蝴蝶上人衣
'hu'feng'bu'duan'jie'chang'an 胡烽不断接长安
'hu'he'yuan'yang 湖合鸳鸯
'hu'hua'ling'xia'da'liu'ying 护花铃下打流莺
'hu'jia'qian'gu'hen 胡笳千古恨
'hu'nan'shan'se'cui'ru'jiao 湖南山色翠如浇
'hu'wai'can'zhong'wei'liao 湖外残钟未了
'hu'wen'sheng'shi'pi'yi'zuo 忽闻盛事披衣坐
'hu'ying'yao'jian'gui'lai'wan 呼鹰腰箭归来晚
'hua'jie'qing'tui'shi'yi'qian 花界倾颓事已迁
'hua'wei'yi'xi'xue 化为一溪雪
'hua'yue'ying'wei'bu 华月映微步
'hua'zhi'shui'ken'xian'chun'lao 花枝谁肯先春老
'hua'zuo'lao'long'sun 化作老龙孙
'huai'ye'yin'yin'fu'duan'qiang 槐叶阴阴覆短墙
'huai'zhu'yin'sen 槐竹阴森
'huan'qi'shan'seng'kan'yue'ming 唤起山僧看月明
'huang'cun'jin'ri'wu'che'ma 荒村尽日无车马
'huang'gong'wang'ci'suo'he'zhu'suo'shi'feng'jian'qi'yi 黄公望次所和竹所诗奉柬其一
'huang'gong'wang'ti'hua 黄公望题画
'huang'he'lou'qian'ri'yu'di 黄鹤楼前日欲低
'huang'li'zhi'jian'hao'zhi'ti 黄鹂只拣好枝啼
'hui'jiang'yu'zhai'ban'can'sheng 悔将馀债伴残生
'hui'qin'ru 徽钦辱
'hui'shou'xi'shan'yue'you'xie 回首西山月又斜
'hui'xiang'bo'jian'feng 回翔波间风
'hun'meng'chang'fei'rao 魂梦长飞绕
'ji'de'zhong'he'men'wai'lu 记得中和门外路
'ji'du'he'xiang'yan 几度和香咽
'ji'du'mu'yun'shou 几度暮云收
'ji'du'xi'yang'hong 几度夕阳红
'ji'duan'fu'chang 击短扶长
'ji'fan'hun'xiao 几番昏晓
'ji'fan'kong'zuo'bei'chou'fu 几番空作悲愁赋
'ji'fan'yan'wu 几番烟雾
'ji'fan'yan'yu 几番烟雨
'ji'gu'fen'xiang'sai'tu'shen 击鼓焚香赛土神
'ji'jia'tong'zhu'shui'yun'xiang 几家同住水云乡
'ji'lang'qing'zhou'ji'ruo'feng 激浪轻舟疾若风
'ji'li'qiu'jiang'yu'huo'xi 寂历秋江渔火稀
'ji'nian'bu'jian'ling'bo'bu 几年不见凌波步
'ji'ren'ceng'du'bao'yan'shu 几人曾读报燕书
'ji'sheng'xu'ru'ting 寄声徐孺亭
'ji'shi'cai'de'he'huan'pao 几时裁得合欢袍
'ji'tou'sa'qing'lei 矶头洒清泪
'jia'di'duo'huang'zhi 甲第多荒址
'jia'han'yan 架寒烟
'jia'shu'shi'wu'xing 家书十五行
'jia'zai'chun'bo'men'wai'ju 家在春波门外居
'jia'zai'wu'hu'dong 家在五湖东
'jian'chen'de'ji'xi 奸臣得计兮
'jian'lai'hun'si'lv'chuang'qian 见来浑似绿窗前
'jian'shui'wan'wan'rao'jun'cheng 涧水弯弯绕郡城
'jian'shuo'cheng'bian'liu'ban'ku 见说城边柳半枯
'jian'xun'ceng'deng'zai'jing'hua 兼旬蹭蹬在京华
'jiang'chou'bu'qu'jiang'ren'qu 将愁不去将人去
'jiang'hua'bian'yue'xiao'ping'sheng 江花边月笑平生
'jiang'jun'lie'qi'hai 将军猎骑还
'jiang'lou'hong'ban'ji'chui'sheng 绛楼红板伎吹笙
'jiang'nan'hui'shou'jian'jing'qi 江南回首见旌旗
'jiang'nan'wei'you'guan'yi'wu 江南惟有管夷吾
'jiang'nan'xin'zi'le 江南信自乐
'jiang'nuan'bo'guang'ying'ri'guang 江暖波光映日光
'jiang'qi'cu 疆圻蹙
'jiang'shan'wang'qi'kong'qian'jie 江山王气空千劫
'jiang'shang'shu'feng'qing 江上数峰青
'jiang'shang'xin'shi'hao 江上新诗好
'jiang'shui'san'qian'li 江水三千里
'jiao'ju'duan'bu'e 郊居端不恶
'jiao'lu'ye'lin'guan 骄虏夜临关
'jiao'men'shen'xiang'shao'ren'xing 角门深巷少人行
'jiao'ping'hong'shu'wei 郊平红树微
'jiao'shan'si'li'wan'zhong'ming 焦山寺里晚钟鸣
'jie'ren'ting'guan'kan'li'hua 借人亭馆看梨花
'jie'xi'si'he'ou'yang'nan'yang'yue'ye'si 揭傒斯和欧阳南阳月夜思
'jie'xi'si'heng'shan'xian'xiao'du 揭傒斯衡山县晓渡
'jie'zhou'nan'zheng'ji'shi'sheng 介胄南征虮虱生
'jin'an'bei'le'huan'ming'wa 金鞍被了唤名娃
'jin'an'qu'qu'bu'si'gui 金鞍去去不思归
'jin'ao'bei'shang'yu'lan'tian 金鳌背上郁蓝天
'jin'cong'qin'li'de 尽从勤里得
'jin'deng'sa'sa'ye'chao'han 金灯飒飒夜潮寒
'jin'hou'chao'ju'yi'jue'kuan 今后巢居亦觉宽
'jin'li'mao'she'fan'hua'li 槿篱茅舍繁花里
'jin'ren'wei'shi'kun'lun'pai 今人未识昆仑派
'jin'ri'bu'liu'sheng'si'xiang 今日不留生死相
'jin'ri'chao'ting'li'jian'guan 今日朝廷立谏官
'jin'ri'deng'tai'diao'wang'zhu 今日登台吊望诸
'jin'ri'you'nan'guan 今日又南冠
'jin'shan'wan'he'dou'sheng'qing 金山万壑斗声清
'jin'ya'xiang'can'huo'shang'wen 金鸭香残火尚温
'jin'yue'jie'yun'qi 近岳皆云气
'jin'zhao'ye'shi'wei'guan'ri 今朝也是为官日
'jing'dong'nan'hua'meng'li'ren 惊动南华梦里人
'jing'dui'huang'guan'yu 静对黄冠语
'jing'jian'piao'xiao'cui'xiu'yi'lang'gan 惊见飘萧翠袖倚琅玕
'jing'kan'lei'yu'xi 惊看雷雨夕
'jing'qiu'wei'de'gui 经秋未得归
'jiu'lan'fen'shou'zeng'shu'sheng 酒阑分手赠书生
'jiu'shi'wang'xie'jian'ying'xi 旧时王谢见应稀
'jiu'shi'yue'se'you'shui'ge 旧时月色有谁歌
'jiu'you'xin'meng'duan 旧游新梦断
'jiu'yuan'ren'bu'fan 九原人不返
'ju'an'gui'qu'ye 据鞍归去也
'ju'mu'luan'shan'chong'die 举目乱山重叠
'juan'bei'kai'chuang'dui'xiao'qing 卷被开窗对晓晴
'juan'pa'ma'gu'yu'xian'xiang 绢帕麻菇与线香
'jue'huo'ran'hui'chun'hao'hao 爝火燃回春浩浩
'jun'kan'xiao'xiao'zhi'shu'ye 君看萧萧只数叶
'kai'dang'chu 慨当初
'kai'hua'bu'yu'wo'shang'liang 开花不与我商量
'kan'dao'shu'yin'yuan 看到树阴圆
'kan'de'chun'guang'dao'mu'dan 看得春光到牡丹
'kan'hen'geng'kan'bei 堪恨更堪悲
'kan'hua'hai'kan'hua 看花还看花
'ke'jiu'si'mo'zhu 柯九思墨竹
'ke'jiu'si'tui'zhi'zeng'yue 柯九思退直赠月
'ke'li'bu'gan'jia'jie'guo 客里不甘佳节过
'ke'lian'jin'ye'guan'ting'yue 可怜今夜官亭月
'ke'lian'shi'qu'yan'nan'shu 可怜事去言难赎
'ke'lian'wu'chu'song'jing'qing 可怜无处送荆卿
'ke'nai'yu'bian'liu'bu'zhu 可奈玉鞭留不住
'ke'qu'zhu'liu'hu'yue'bai 客去主留湖月白
'ke'ren'liang'ye'he 可人良夜何
'ke'si'dang'shi 可似当时
'ke'xi'yi'chuan'he'shu 可惜一川禾黍
'ken'ba'xu'mei'fu'ci'sheng 肯把须眉负此生
