'bei'ge 贝格
'nei'tiao'jiao'yuan'she'jing'tou 内调焦远摄镜头
'nei'xiang'hui'xing'xiang'cha 内向彗形像差
'nei'ying'xiang'xiao'ying 内影像效应
'nei'zhi'lv'jing'jing'tou 内置滤镜镜头
'nei'zhi'lv'se'jing 内置滤色镜
'nei'zhi'shan'guang'deng 内置闪光灯
'pi'zi'fa'qu'lv 匹兹伐曲率
'pi'zi'fa'ren'xiang'jing'tou 匹兹伐人像镜头
'pian'ji 片基
'pian'ji'dao'dian'xing 片基导电性
'pian'ji'guang'xue'mi'du 片基光学密度
'pian'ji'hou'du 片基厚度
'pian'ji'hui'fen 片基灰份
'pian'ji'ji'xie'xing'neng 片基机械性能
'pian'ji'tou'ming'du 片基透明度
'pian'ji'xi'shui'liang 片基吸水量
'qi'dong'kuai'men 气动快门
'qi'ti'xian'ying 气体显影
'qian'zheng'qiu'cha 欠正球差
'qie'ru'qie'chu 切入切出
'qie'xiang'fen'bian'lv 切向分辨率
'qie'xiang'xiang'san 切向像散
'qu'ji'xi'tong 区级系统
'ren'xiang'jing'tou 人像镜头
'ren'xiang'she'ying 人像摄影
'ren'xiang'yin'xiang'zhi 人像印相纸
'ri'ben'guang'xue'gong'si 日本光学公司
'ri'ben'xie'zhen'xie'hui 日本写真协会
'ri'guang'deng'guang'tong'yong'pian 日光灯光通用片
'ri'guang'hui'hua 日光绘画
'ri'guang'xing'cai'se'pian 日光型彩色片
'ru'she'dian 入射点
'ru'she'guang 入射光
'ru'she'guang'tong 入射光瞳
'ru'she'jiao 入射角
'ru'she'shi'ce'guang'biao 入射式测光表
'san'ci'ji'zhi 三刺激值
'san'cu'suan'xian'wei'su'zhi 三醋酸纤维素酯
'san'cu'suan'xian'wei'su'zhi'pian'ji 三醋酸纤维素酯片基
'san'dan'yin'duo'li'qin 三氮吲哚唎嗪
'san'di'fa'cai'se'pian 三底法彩色片
'san'di'fa'cai'se'she'ying 三底法彩色摄影
'san'gan'chun 三甘醇
'san'jiao'guang 三角光
'san'jiao'jia 三脚架
'san'jiao'xing'gou'tu 三角形构图
'san'lin'suan'na 三磷酸钠
'san'lv'hua'tai 三氯化钛
'san'qiang'san'yi'ji'an 三羟三乙基胺
'san'se'lv'se'jing 三色滤色镜
'san'xiang'qi'beng'xi'guan 三向气泵吸管
'san'yi'an 三乙胺
'san'yu'xian'ying 三浴显影
'san'yuan'se'lv'se'jing 三原色滤色镜
'shan'nai'jia 山萘钾
'shan'nai'na 山萘钠
'shang'guang 上光
'shi'bei'wei'dao'du 十倍微倒度
'shi'zi'jing 十字镜
'shi'zi'xing'gou'tu 十字形构图
'shuang'hua'qing 双花青
'shuang'zhe'she 双折射
'tai'yang'neng'zhao'xiang'ji 太阳能照相机
'tian'sai'jing'tou 天塞镜头
'tian'wen'she'ying'jing'tou 天文摄影镜头
'tu'men'quan 土门拳
'wan'ci'shan'guang'deng 万次闪光灯
'wan'neng'hou'men 万能后门
'wan'neng'qu'jing'qi 万能取景器
'wan'neng'tiao'zhao'xiang'zhi 万能调照相纸
'wan'yong'shi'zhi 万用试纸
'wei'bo'fei'qi'na'ding'lv 韦伯菲契那定律
'wei'ji'wu'de 韦季伍德
'wei'si'dun 韦斯顿
'wei'si'dun'ce'guang'biao 韦斯顿测光表
'wei'si'dun'gan'guang'du 韦斯顿感光度
'wei'xing'she'ying 卫星摄影
'wu'ji'jian'mo'ji 无机坚膜剂
'wu'ji'xian'ying'ji 无机显影剂
'wu'jiao'tou'jing'zu 无焦透镜组
'wu'leng'jing 五棱镜
'wu'lv'ben'fen 五氯苯酚
'wu'lv'ben'fen'na 五氯苯酚钠
'wu'se'cheng'se'ji 无色成色剂
'wu'se'pian 无色片
'wu'sheng'ying'pian 无声影片
'wu'shui'ya'liu'suan'na 无水亚硫酸钠
'wu'shui'yi'chun 无水乙醇
'wu'tou'ying'she'ying 无投影摄影
'wu'xian'yuan 无限远
'wu'yang'hua'er'fan 五氧化二钒
'wu'yin'sheng'dai 无银声带
'xiao'su'da 小苏打
'xiao'xing'dian'zi'shan'guang'deng 小型电子闪光灯
'xiao'xing'yuan'she'jing'tou 小型远摄镜头
'xiao'xing'zhao'xiang'ji 小型照相机
'yi'bu'cheng'xiang'zhao'xiang'ji 一步成像照相机
'yi'bu'she'ying 一步摄影
'yi'chun 乙醇
'yi'chun'na 乙醇钠
'yi'ci'bao'guang 一次曝光
'yi'er'an 乙二胺
'yi'er'an'si'yi'suan 乙二胺四乙酸
'yi'er'an'si'yi'suan'er'na 乙二胺四乙酸二钠
'yi'er'chun 乙二醇
'yi'er'quan 乙二醛
'yi'er'suan 乙二酸
'yi'er'suan 已二酸
'yi'ji'xian'wei'su 乙基纤维素
'yi'mi 乙醚
'yi'shu'she'ying 艺术摄影
'yi'suan'yu 乙酸浴
'you'jin'shi'mi'si 尤金史密斯
'yun'ran'ji 匀染剂
'yun'tai 云台
'yun'xing'ban 云形斑
'zhong'chang'jiao'ju'yuan'she'jing'tou 中长焦距远摄镜头
'zhong'cheng'bian'jiao'jing'tou 中程变焦镜头
'zhong'cheng'yuan'she'jing'tou 中程远摄镜头
'zhong'guang'jiao'jing'tou 中广角镜头
'zhong'guo'gan'guang'yan'jiu'hui 中国感光研究会
'zhong'guo'she'ying 中国摄影
'zhong'guo'she'ying'jia'xie'hui 中国摄影家协会
'zhong'guo'she'ying'xue'hui 中国摄影学会
'zhong'guo'zan'xing'biao'zhun'gan'guang'du 中国暂行标准感光度
'zhong'he'hui 中和灰
'zhong'he'ji 中和剂
'zhong'hui'ban'ce'guang'fa 中灰板测光法
'zhong'hui'lv'jing 中灰滤镜
'zhong'jian'fu'pian 中间负片
'zhong'jian'se'lv 中间色律
'zhong'jian'shi'jue 中间视觉
'zhong'jian'shui'xi 中间水洗
'zhong'jian'tiao 中间调
'zhong'jing 中景
'zhong'su'pian 中速片
'zhong'su'shan'guang'pao 中速闪光泡
'zhong'tu'bao'guang 中途曝光
'zhong'tu'bao'guang'die'fang 中途曝光叠放
'zhong'xin'zhong'dian'ce'guang 中心重点测光
'zhong'xin'zhong'dian'ping'jun'ce'guang 中心重点平均测光
'zhong'xing'ding'ying'ye 中性定影液
'zhong'xing'fa'ru'ji 中性法乳剂
'zhong'xing'hui'ka 中性灰卡
'zhong'xing'xian'ying'ye 中性显影液
'zhong'xing'zhao'xiang'ji 中型照相机
'zhong'xing'zhi 中性纸
'zhong'yang'shi'zi'dui'jiao'ping 中央十字对焦屏
'zhuan'ti'zhao'pian 专题照片
'zhuan'ye'shan'guang'deng 专业闪光灯
'zi'mu'shan'guang'deng 子母闪光灯
