'a'lian'gao'xiu 阿连高秀
'dan'jiang'ming'ding'chou'jia'jie 但将酩酊酬佳节
'dan'jin'feng'wei 丹禁风微
'dan'mu'duan'luo'hua'liu'shui 但目断落花流水
'dan'shan'lu'wen 丹山路稳
'dan'ting'yang'guan'di'san'ju 但听阳关第三句
'dan'yue'xiao'shou'can'yun 淡月晓收残晕
'dan'zai'luo'yi 弹在罗衣
'dang'shi'ren'ren 当使人人
'dang'tu'yi'zhao'jian'jia'wai 当涂舣棹蒹葭外
'dao'chu'liao'ren'zui 到处撩人醉
'dao'chu'yu'shui'fen'fu 到处与谁分付
'dao'de'chun'lai'jun'que'qu 到得春来君却去
'dao'de'yi 到得意
'dao'de'zhi'he'ji 道得之何济
'dao'xiang'chen 捣香尘
'de'guo'kou'er'ma 得过口儿嘛
'de'kai'mei'chu'qie'kai'mei 得开眉处且开眉
'de'yi'xu'duo'shi 得意许多时
'deng'gao'ren'jian 登高人健
'deng'hua'ze'shen'zhi 灯花则甚知
'deng'qian'xie'le'shu'wu'shu 灯前写了书无数
'deng'xian'ku'li'you'lei'lei 等闲枯李又累累
'deng'xian'shi'de'yi'zhong'bao 等闲拾得衣中宝
'deng'xie'ming'mei'meng 灯斜明媚瞢
'deng'yan'yan 灯焰焰
'di'ge'peng'shui 递歌彭水
'di'huai'xi'ta'hong'xue 低徊细踏红靴
'di'jiao'tian'ya 地角天涯
'di'si'yang'guan'yun'bu'du 第四阳关云不度
'di'tai'ying'dian'wan'nian'zhi 帝台应点万年枝
'di'zai'ceng'lou 笛在层楼
'di'zhu'zhai'jin'dao'gao'zhu 低株摘尽到高株
'dian'dian'xin'ru'sui 点点心如碎
'dian'jiang'chun'ji'ri'wu'shu 点绛唇几日无书
'dian'jiang'chun'luo'dai'shuang'chui 点绛唇罗带双垂
'dian'jiang'chun'zhuo'jiu'huang'hua 点绛唇浊酒黄花
'dian'jin'bin'bian'lv 点尽鬓边绿
'die'lian'hua 蝶恋花
'ding'feng'bo 定风波
'ding'feng'bo'ci'zuo'cang'yun 定风波次左藏韵
'ding'men'xu'geng'xia'jin'zhui 顶门须更下金椎
'dong'feng'chui'liu'ri'chu'chang 东风吹柳日初长
'dong'jun'wei'shi'lei'ting'shou 东君未试雷霆手
'dong'jun'xing'ci'yu 东君幸赐与
'dong'ling'he'shi 东龄何事
'dong'shan'xiao'ji'xie'si'zhu 东山小妓携丝竹
'dong'xian'ge'yue'zhong'dan'gui 洞仙歌月中丹桂
'dong'zhe'ni'ying'duo'cun'gui 冻着你影亸村鬼
'dou'an'jin 都谙尽
'dou'dun'nen'shao'xi'duo'chen 斗顿恁少喜多嗔
'dou'ru'chun'wei'chang 都濡春味长
'dou'shuo'yu'ming'yue'kong'chuang 都说与明月空床
'dou'sou'le'bai'bing'xiao'mo 抖擞了百病销磨
'dou'yuan'zi'you'li'hen'gu 都缘自有离恨故
'du'fei'ou'wu'xi'guang 独飞鸥舞溪光
'du'gui'men'guan 度鬼门关
'du'juan'sheng'luan'shui'ru'huan 杜鹃声乱水如环
'du'lei'chui'ru'yu 独泪垂如雨
'du'qing'xian 独清闲
'du'shui'chuan'yun'xin'yi'xu 渡水穿云心已许
'du'yi'lan'shi 独倚阑时
'du'yu'cui'ren 杜宇催人
'duan'chang'ren 断肠人
'duan'di'chang'ge'du'yi'lou 短笛长歌独倚楼
'duan'di'jun'en'nan'fu 端的君恩难负
'duan'ge'yi'wu'xiao'hong'shang 短歌宜舞小红裳
'duan'hong'ji'yu 断虹霁雨
'duan'song'chun'se 断送春色
'duan'song'yi'sheng'wei'you 断送一生唯有
'duan'ting'jue'jiang'kong'chang'wang 短艇绝江空怅望
'dui'feng'ting'yue'lu 对风庭月露
'dui'ge'dui'wu 对歌对舞
'dui'jing'hai'xiao'shou 对景还销瘦
'dui'jing're'qi'chou'men 对景惹起愁闷
'dui'yi'shui'ming'fei'bu'du 对易水明妃不渡
'dui'zhao'yun'ai'dai 对朝云叆叇
'dui'zhen'zhe'shui'hun'bu'gu 对朕者谁浑不顾
'dui'zun'qian'shang'ke'zou'mei 对尊前上客邹枚
'dun'leng'tan'xi 顿冷谈席
'duo'qing'yi'gan 多情易感
'duo'yu'hen 多于恨
'e'mei'xin'zuo'shi'fen'yan 娥眉新作十分妍
'e'you'zen'sheng'e 恶又怎生恶
'er'jin'mu'xia 而今目下
'er'nv'cheng'wei 儿女成围
'er'nv'chuan'bei'xiong'di'hui 儿女传杯兄弟会
'fan'luan'sun'xin'qu 烦乱损心曲
'fang'cao'qian'qian'ying'bu 芳草芊芊迎步
'fang'ding'sheng 方鼎盛
'fang'gui'yuan'bi 方圭圆璧
'fang'jiu'zai'ying'che 芳酒载盈车
'fang'meng'xing 方猛省
'fang'shi'gui'shi'chang'duan'chu 方士归时肠断处
'fang'yi'zheng'pai'huai 芳意正徘徊
'fei'chao'can 废朝餐
'fei'cui'jin'long'si'zhen'ou 翡翠金笼思珍偶
'fei'hua'man'man 飞花漫漫
'fei'qi'ya 飞骑轧
'fei'que'tai'qian'yun'cui'e 飞鹊台前晕翠蛾
'fei'wei'jin'ri'han'tang'yu 霏微尽日寒塘雨
'fei'xuan'miao 非玄妙
'fen'fu'cheng'bo'yu'lan'chang 分付澄波与烂肠
'fen'fu'chu'xiang'wang 分付楚襄王
'fen'fu'shui'jia 分付谁家
'fen'he'chang'xiang'ban 分合常相半
'fen'lei'xing'xing 粉泪行行
'fen'lei'yi'hang'hang 粉泪一行行
'fen'mian'bu'xu'ge'shan'yan 粉面不须歌扇掩
'fen'ming'wang'que'lai'shi'lu 分明忘却来时路
'fen'yuan'xiu 分远岫
'feng'chen'li 风尘里
'feng'hou'wan'li 封侯万里
'feng'jin'jia'diao'qiu 风劲戛貂裘
'feng'kai'bing'mian'yu'wen'zhou 风开冰面鱼纹皱
'feng'li'niao'yu'zhi 风力嫋萸枝
'feng'li'qu'han 风力驱寒
'feng'liu'gao'hui 风流高会
'feng'liu'jin'ma'ke 风流金马客
'feng'liu'xian'tai'shou 风流贤太守
'feng'luo'mao 风落帽
'feng'pai'qun'yu'sen'xiang'jiu 峰排群玉森相就
'feng'qian'heng'di'xie'chui'yu 风前横笛斜吹雨
'feng'qing'ye 风清夜
'feng'qing'you'pai'gu'ren'jian 风情犹拍古人肩
'feng're'xiang'xu'die're'yi 蜂惹香须蝶惹衣
'feng'ri'sun'hua'zhi 风日损花枝
'feng'wu'tuan'tuan'bing 凤舞团团饼
'fu'gua'chen'li 浮瓜沉李
'fu'gui'yu'xun'tian 富贵欲熏天
'fu'jin'hui 拂金徽
'fu'jing'chuan'yu'mu'da 副靖传语木大
'fu'lao'pian'yi'nian'xiao 扶老偏宜年小
'fu'shi'fen'jin'ye 负十分金叶
'fu'tou'bu'qi'hai'tui'yu 扶头不起还颓玉
'fu'wo'mei'tou 拂我眉头
'fu'yu'bang'ren'leng'yan'kan 付与傍人冷眼看
'fu'yu'bei'zhong'lv 付与杯中绿
'fu'yun'jing'lang 拂云惊浪
'fu'zhang'lao'ren'xin'wei'lao 扶杖老人心未老
'fu'zuo'ru'si'guan 复作如斯观
'gan'jiu'bing 甘酒病
'gan'lu'lai'cong'xian'zhang 甘露来从仙掌
'gan'tang'shao'song 甘棠少讼
'gang'bu'ken'xiang'sui 刚不肯相随
'gao'hui 高会
'gao'yang'yin'xing'lan 高阳饮兴阑
'gao'zhu'bie'shi'min'xi'yang 高株别是闽溪样
'ge'ai'jin'he 割爱金荷
'ge'ba'jiu'lan'shi 歌罢酒阑时
'ge'ban'shui'jia'jiao'xiao'huan 歌板谁家教小鬟
'ge'cheng'jin'ye'ye'ying'zhi 隔城今夜也应知
'ge'fan'wu'juan'zhu'cheng'bi 歌烦舞倦朱成碧
'ge'ge'jiao'cheng'bai'sui'ren 个个教成百岁人
'ge'guan'shan 隔关山
'ge'huan'zui'yong 歌鬟醉拥
'ge'lan'xuan'shao'jiang'la 歌阑旋烧绛蜡
'ge'li'sheng'cui 个里声催
'ge'lou'jiu'pei 歌楼酒旆
'ge'shang'yu'si'hen'ze'ge 鬲上与厮噷则个
'ge'tiao'tai 歌调态
'ge'ting'tan'ban'wu'ting'luan 歌停檀板舞停鸾
'ge'wu'lan'shan'tui'wan'zhuang 歌舞阑珊退晚妆
'ge'wu'zi'ye'sheng 歌无子夜声
'ge'ye'zi'gui'sheng'an'du 隔叶子规声暗度
'ge'you'an'shen'chu 各有安身处
'ge'zhu'di'shui'qing'yuan 歌珠滴水清圆
'ge'zi'shu'ying'zhi'du'shi 各自输赢只赌是
'ge'zi'xiang'si'shou 各自相思瘦
'geng'ba'zhu'yu'zi'xi'kan 更把茱萸仔细看
'geng'bei'yang'niang'cui'xiu 更被养娘催绣
'geng'bu'pa 更不怕
'geng'jing'luo'wa'ling'bo 更惊罗袜凌波
'geng'liu'shi'sha 更留时霎
'geng'lou'zi'an'mo'le 更漏子庵摩勒
'geng'lou'zi'ti'yao'rao 更漏子体妖娆
'geng'mai'jiang'yu'shuang'guan'liu 更买江鱼双贯柳
'geng'mo'wen'ying'lao'hua'xie 更莫问莺老花谢
'geng'qi'qu'tuan'yuan 更乞取团圆
'geng'qing'chun'bi 更倾春碧
'geng'shuo'shen'guan'bu'rong'zhen 更说甚官不容针
'geng'xun'he'chu'wu'chou'di 更寻何处无愁地
'geng'yi'tian'ding'xiao'xiao 更忆添丁小小
'geng'you'xie'er'de'chu'luo 更有些儿得处啰
'geng'zhi'qing'ming'feng'yu'ye 更值清明风雨夜
'geng'zuo'shen 更作甚
'gong'gong'yang'luo'wa'sheng'chen 弓弓样罗袜生尘
'gong'he'shang'ling'yan 功合上凌烟
'gong'jun'shang'lue'lao'sheng'ya 共君商略老生涯
'gong'ming'fu'gui'jiu'han'hui 功名富贵久寒灰
'gong'ren 共人
'gong'wu'xue'ge'chen 共舞雪歌尘
'gong'yi'fang'chi'niu'ai'nv 共一访痴牛騃女
'gong'zuo'ge'zhu'shan'huo'ji 共作个住山活计
'gu'a'mu'jiao'su'zhu'qun 顾阿母教窣珠裙
'gu'di'xiang'cui'qing'ye 鼓笛相催清夜
'gu'er'li'qie'da'yi'he 鼓儿里且打一和
'gu'fu'han'quan'jin'hong'zhou 辜负寒泉浸红皱
'gu'gu'zhao'ren 故故招人
'gu'guo'jia'ren 故国佳人
'gu'lian'di'yi'quan'xiang 谷帘第一泉香
'gu'mie'zhu 故灭烛
'gu'ren'fen'shang'tu'xin'gan 故人坟上土新干
'gu'ren'jin'song'jing'qi'mu 故人近送旌旗暮
'gu'ren'wan'li 故人万里
'gu'shu'tang'qian'yu'han'mo 姑熟堂前馀翰墨
'gu'xiang'gui'lu'wu'yin'de 故乡归路无因得
'gu'ying'qie'pai'huai 顾影且徘徊
'guan'bu'jie 管不解
'guan'hui'wei 管回味
'guan'ling'jiang'shan 管领江山
'guan'mao'xie'qi'ci'zui'qu 冠帽斜欹辞醉去
'guan'mei'zha'chuan'xiao'xi 官梅乍传消息
'guan'ren'xian'di 管人闲底
'guan'xian'cui'di 管弦催滴
'guang'jiong'jiong 光炯炯
'gui'hong'qu 归鸿去
'gui'lai'cang'zai'jia'sha'ying 归来藏在袈裟影
'gui'lai'dui'ying 归来对影
'gui'lai'qu 归来去
'gui'lai'wan 归来晚
'gui'lai'wei 归来未
'gui'men'guan'jin'shu'jiang'qian 鬼门关近蜀江前
'gui'na'ren'sha 鬼那人唦
'gui'niao'si'shao'jing'zui 归嫋丝梢竞醉
'gui'qu 归去
'gui'qu'hou 归去后
'gui'qu'lai 归去来
'gui'shi'mo'dai'xing'hua'fei 归时莫待杏花飞
'gui'shi'ren'yi'lan 归时人倚阑
'gui'tian'le'ling'yin'tiao'de 归田乐令引调得
'gui'tian'le'yin'dui'jing'hai'xiao'shou 归田乐引对景还销瘦
'gui'tian'le'yin'mu'yu'meng'jie'qi 归田乐引暮雨濛阶砌
'gui'ying'fu'shu 桂影扶疏
'gui'zhong'yu'tian'yang'bai'shi 归种玉田秧白石
'guo'da'ceng'ming'wo 郭大曾名我
'guo'shi'dang'shi'zuo'fu'ren 果是当时作赋人
'hai'jiao'fang'fei'liu'bu'zhu 海角芳菲留不住
'hai'lai 还来
'hai'qing'dong'san'xia'ci'yuan 还倾动三峡词源
'hai'xiang'meng'zhong'lai 还向梦中来
'hai'you'qing'guang'tong'ci'hui 还有清光同此会
'hai'zai 咍哉
'han'dan'yi'zhen'shui'you'le 邯郸一枕谁忧乐
'han'guang'ling'luan 寒光零乱
'han'jia'meng'teng'zui 汗浃瞢腾醉
'han'jia'qi'li'sheng'fei'jiang 汉家戚里生飞将
'han'lin'ben'shi'shen'xian'zhe 翰林本是神仙谪
'han'mo'wen'zhang'xin'hui'que 翰墨文章新讳却
'han'tian'zi 汉天子
'han'ting'zhu 撼庭竹
'hao'bian'hui'fan'qu 好便回帆去
'hao'ge'fo'tang'fo'bu'sheng 好个佛堂佛不圣
'hao'nv'er'chun'qu'ji'shi'hai 好女儿春去几时还
'hao'nv'er'fen'lei'yi'hang'hang 好女儿粉泪一行行
'hao'nv'er'xiao'yuan'yi'zhi'mei 好女儿小院一枝梅
'hao'qi'zhan'hong'ni 浩气展虹蜺
'hao'sha'ren 好杀人
'hao'shi'jin'bu'jian'pian'shi'sha 好事近不见片时霎
'hao'shi'jin'tang'ci 好事近汤词
'hao'shi'jin'yi'nong'xing'xin'xian 好事近一弄醒心弦
'hao'shi'ru'he'you'shang'wei 好事如何犹尚未
'hao'yu'gan 号馀甘
'he'bi'xiang 何必向
'he'chu'ge'lou 何处歌楼
'he'chu'nan'wang'jiu 何处难忘酒
'he'chu'qian'zhong'jun 何处黔中郡
