'a'lian'gao'xiu 阿连高秀
'hua'an'can'zhu 花暗残烛
'hua'bing'deng'xian'shou'e 花病等闲瘦恶
'hua'chu'xi'lou'yi'qiu 画出西楼一秋
'hua'dai'yu'bing'ji'xiang'tou 花带雨冰肌相透
'hua'di'ying'sheng'nen 花底莺声嫩
'hua'gu'cui'chun 画鼓催春
'hua'ji'sen'sen'zhen'ba'man 画戟森森镇八蛮
'hua'ji'yi'chun 画戟移春
'hua'lian'shi'ri'wu'qiu'yan 画帘十日无秋燕
'hua'ping'jin'bo'shan 画屏金博山
'hua'ping'yun'suo'xiao'xiang 画屏云锁潇湘
'hua'se'zhi'zhi'zheng'hao 花色枝枝争好
'hua'shang'mi'yan'piao'jin 花上密烟飘尽
'hua'tang'gao'hui'jiu'lan'shan 画堂高会酒阑珊
'hua'tang'xi'pan'you'chi'tang 画堂西畔有池塘
'hua'ting'chuan'shang'xun'ren'du 华亭船上寻人渡
'hua'wai'huang'li'neng'mi'yu 花外黄鹂能密语
'hua'wu'ying'feng'piao'miao 花雾萦风缥缈
'hua'xiang'lao'ren'tou'shang'xiao 花向老人头上笑
'hua'xin'qing'han'luo'qi'tou 花信轻寒罗绮透
'hua'xu'peng'dao 华胥蓬岛
'hua'zhi'shou 花枝瘦
'hua'zuo'lv'yin'huai'xia 化作绿阴槐夏
'hua'zuo'yuan'shan'chang 画作远山长
'hua'zuo'yuan'shan'lin'bi'shui 画作远山临碧水
'huai'lv'di'chuang'an 槐绿低窗暗
'huan'e'nuo 鬟婀娜
'huan'ji'jiao'wu'li 欢极娇无力
'huan'qu'gui'lai'tong'zhu 唤取归来同住
'huan'shen'que'cheng'chou 欢甚却成愁
'huan'xiao'zun'qian'yue'zhao'zhi 欢笑尊前月照之
'huan'yi'wei'lan 欢意未阑
'huang'chen'che'ma'dao 黄尘车马道
'huang'hua'bai'fa'xiang'qian'wan 黄花白发相牵挽
'huang'hua'dang'hu 黄花当户
'huang'jin'han'bo'chun'feng'shou 黄金捍拨春风手
'huang'ju'man'dong'li 黄菊满东篱
'huang'ju'qi'wu'mao 黄菊欹乌帽
'huang'ju'zhi'tou'sheng'xiao'han 黄菊枝头生晓寒
'huang'liang'chui'wei'shu 黄粱炊未熟
'huang'yun'ku'zhu'ti'gui'qu 黄云苦竹啼归去
'hui'pan'qian'ri'xiao'zun'qian 会拚千日笑尊前
'hui'wen'ji'shang'zi'zong'heng 回纹机上字纵横
'hui'wu'ji'qian'li'zhui'sui 悔无计千里追随
'hui'xu'zui'dao 会须醉倒
'hui'yan'xiao'an'qing 回雁晓岸清
'hui'zhu'yao'ling'wan'wan 回祝尧龄万万
'hun'meng'zhen'xiang'sui'zhe 魂梦镇相随着
'huo'qian'yi'bei'zheng'chun'chang 火前一焙争春长
'ji'chu'hao'de'xie 济楚好得些
'ji'chu'lei'hen'liu'zui'xiu 几处泪痕留醉袖
'ji'de'shi'lai'gao'miao 寄得诗来高妙
'ji'de'tong'chao'tui 记得同朝退
'ji'du'zhong'qiu'jian'yue'lai 几度中秋见月来
'ji'fang'qi 即芳期
'ji'hui'de'yan'hai'mi'zhao 几回得眼还迷照
'ji'hui'xiao'kou'neng'kai 几回笑口能开
'ji'mo'jiu'xing'ren'san'hou 寂寞酒醒人散后
'ji'mo'wu'xing'lu 寂莫无行路
'ji'mo'yan'zhu'men 寂寞掩朱门
'ji'mu'ping'sha'qian'li 极目平沙千里
'ji'mu'song 极目送
'ji'mu'wei'lan'xie'zhao 极目危阑斜照
'ji'qu'jiang'zhou'si'ma 记取江州司马
'ji'qu'meng'yan 记取盟言
'ji'qu'sheng'ge 几曲笙歌
'ji'ren'bai'fa'shang'hua'dian 几人白发上华颠
'ji'ri'wu'shu 几日无书
'ji'tan'cui'juan'jin'he 急檀催卷金荷
'ji'xiang'lao'zi'qin'nian'chu 吉祥老子亲拈出
'ji'xie'shou 记携手
'ji'yu'dong'fei'yan 寄语东飞雁
'ji'zhi'chong'yang'tian'ye'ji 及至重阳天也霁
'ji'zhi'er'jin'xiang'jian'le 及至而今相见了
'ji'zhi'xiang'feng'you'yi'jiu 及至相逢又依旧
'jia'ci'yi'lun'yu 驾此一轮玉
'jia'dao'jing'qi'lian'fu'duan 夹道旌旗联复断
'jia'gu'sheng'fan 笳鼓声繁
'jia'li'le'tian 家里乐天
'jia'rao'lai'hou 假饶来后
'jia'ren'bie'hou'yin'chen'qiao 佳人别后音尘悄
'jia'ren'he'shi'qing'xiang'xi 佳人何事轻相戏
'jia'wan'li 家万里
'jia'zai'yue'ming'sheng'chu'zhu 家在月明生处住
'jia'zhong'bai'shi'lang 家中白侍郎
'jian'cao'shan'hua'guang'zhao'zuo 涧草山花光照座
'jian'fan'qi'man'ou'yin'su 渐泛起满瓯银粟
'jian'gu'chui 渐鼓吹
'jian'lai'bian'jue'qing'yu'wo 见来便觉情于我
'jian'lai'liang'liang'ning'ning'di 见来两两宁宁地
'jian'lai'xing'dai'e'lian'yi 见来行待恶怜伊
'jian'lao'xian'han'ren'wei'zhi 渐老先寒人未知
'jian'mian'zan'shi'hai'bu'jian 见面暂时还不见
'jian'shuai'weng'gu'yin'jue'dao 见衰翁孤吟绝倒
'jian'shuo'na'si'pi'bie're 见说那厮脾鳖热
'jian'wan'qing'ru'jiu 见晚情如旧
'jian'wo 见我
'jian'wo'wei'shuai'rong'yi'qu 见我未衰容易去
'jian'zi'mu'lan'hua'cang'ya'wan'ren 减字木兰花苍崖万仞
'jian'zi'mu'lan'hua'chang'nian'ye'yu 减字木兰花常年夜雨
'jian'zi'mu'lan'hua'ju'tou'wu'yu 减字木兰花举头无语
'jian'zi'mu'lan'hua'nong'yin'zhou'yu 减字木兰花浓阴骤雨
'jian'zi'mu'lan'hua'shi'jun'na'li 减字木兰花使君那里
'jian'zi'mu'lan'hua'shi'weng'cai'ren 减字木兰花诗翁才刃
'jian'zi'mu'lan'hua'wu'shan'gu'xian 减字木兰花巫山古县
'jian'zi'mu'lan'hua'xi'da 减字木兰花戏答
'jian'zi'mu'lan'hua'xiang'wang'meng'li 减字木兰花襄王梦里
'jian'zi'mu'lan'hua'yu'han'zheng'ling 减字木兰花馀寒争令
'jian'zi'mu'lan'hua'zhong'qiu'duo'yu 减字木兰花中秋多雨
'jian'zi'mu'lan'hua'zhong'qiu'wu'yu 减字木兰花中秋无雨
'jian'zi'mu'lan'hua'zhong'xiao'wang'mei 减字木兰花终宵忘寐
'jiang'cheng'zi 江城子
'jiang'cheng'zi'yi'bie 江城子忆别
'jiang'chun'shui'kai'tuo'chou'bian 降春睡开拓愁边
'jiang'dong'lu 江东路
'jiang'lan'zhu 江阑住
'jiang'lei'ru'yuan'qin 将泪入鸳衾
'jiang'nan'jiang'bei 江南江北
'jiang'nan'jiang'bei'shui'yun'lian 江南江北水云连
'jiang'nan'yi'yan'heng'qiu'shui 江南一雁横秋水
'jiang'nan'ying'zhao 江南鹰爪
'jiang'ou'yuan'shui 江鸥远水
'jiang'sha'long'xia'yue'jin'an 绛纱笼下跃金鞍
'jiang'sha'nang 绛纱囊
'jiang'shan'ru'you'dai 江山如有待
'jiang'shan'yi'jiu'yun'heng'bi 江山依旧云横碧
'jiang'shan'yi'jiu'yun'kong'bi 江山依旧云空碧
'jiang'shan'yuan 江山远
'jiang'shang'yi'fan'chou 江上一帆愁
'jiang'shui'xi'tou'ge'yan'shu 江水西头隔烟树
'jiang'tou'an'zhe'chang'lu'du 江头暗折长芦渡
'jiao'gong'xiu'zui'gong'dan'mo 教公休醉公但莫
'jiao'gu'ling 教孤令
'jiao'ren'chang'shou'hua'qian'zui 教人长寿花前醉
'jiao'ren'jian'le 教人见了
'jiao'ren'mei'ri'si'liang 教人每日思量
'jiao'ren'zhi'shi'yi 教人直是疑
'jiao'shu'fen'yi'shen 交疏分已深
'jiao'xiang'jiu 教相就
'jiao'xue'nan'er'bai'xie 娇学男儿拜谢
'jie'bao'se 借宝瑟
'jie'chen'fan 解尘烦
'jie'de'gu'ling'xin'yan'jing 接得古灵心眼净
'jie'huan'mu 皆欢慕
'jie'liu'lian'jia'ke 解留连佳客
'jie'qian'shou'chong'cha 借纤手重插
'jie'qian'shuang'hu'zhi 解遣双壶至
'jie'qu'feng'chou'die'bu'zhi 节去蜂愁蝶不知
'jie'tou'jiu'jian'min'sheng'yue 街头酒贱民声乐
'jie'wen'ben'shi'shui 借问本师谁
'jie'wen'niu'shan'xi'ma 借问牛山系马
'jin'an'yao'niao 金鞍騕褭
'jin'chi'cui'zhi'pi'pa'chuang 近池催置琵琶床
'jin'dao'jiao'xin'jian'chuan'shi 尽道教心坚穿石
'jin'dao'qian'nan 尽道黔南
'jin'hou'shui'yun'ren'yu'xiao 今后水云人欲晓
'jin'hu'nan'shan'ming'shui'xiu 尽湖南山明水秀
'jin'jue'qu'tian'wu'ji'chi 近觉去天无几尺
'jin'lin'zheng'zai'shen'chu 金鳞政在深处
'jin'long'suo'ding 金笼锁定
'jin'lv'zhe'gu'ban 金缕鹧鸪斑
'jin'nian'feng'yu 今年风雨
'jin'nian'xie'jin'qu'nian'zhi 今年歇尽去年枝
'jin'ou'xue'lang'fan 金瓯雪浪翻
'jin'qu'ti'jing 金渠体净
'jin'rong'yu 尽荣遇
'jin'shu'shi'ren'dao 尽属诗人道
'jin'wei'shui'xing'chi'tai 今为谁姓池台
'jin'wo'shuai'rong'hua'bin 近我衰容华鬓
'jin'xi'qing'hui'bu'zu 今夕清辉不足
'jin'xiao'li 今宵里
'jin'xiao'wu'shui'jiu'xing'shi 今宵无睡酒醒时
'jin'xiu'you'yu'xiang 襟袖有馀香
'jin'yan'xie'zhuang'jia 金雁斜妆颊
'jin'ye'tian'kai 今夜天开
'jin'ye'yue'ming'jiang'shang'jiu'chu'xing 今夜月明江上酒初醒
'jin'ye'yun'kai 今夜云开
'jin'yuan'shuang'lu 锦鸳霜鹭
'jin'zhi'bu'de'lei 禁止不得泪
'jin'zui'qu'you'dai'chong'lai 尽醉去犹待重来
'jin'zuo'ding 金作鼎
'jing'chui'yuan'qu 惊吹怨曲
'jing'li'nian'hua 镜里拈花
'jing'li'zhu'yan 镜里朱颜
'jing'qiu'kong 净秋空
'jing'sao'he'xi 静扫河西
'jing'tun'zhou'ji 鲸吞舟辑
'jing'yu'cuo'ren'yue'chen'gou 惊鱼错认月沉钩
'jing'zhong'ying'de'xiao'shou 镜中赢得消瘦
'jing'zhuang'ying'ma 靓妆迎马
'jiu'cao'kong'di'zhen'zhu 酒槽空滴真珠
'jiu'jiao'xin'gui'yin'shu'jue 旧交新贵音书绝
'jiu'lan'chuan'wan'wu'hong'shang 酒阑传碗舞红裳
'jiu'lan'ming'you'xian'wei'xi 酒阑命友闲为戏
'jiu'lian'ge'mi 酒恋歌迷
'jiu'mian'hong'lin'qie'xi'chui 酒面红鳞惬细吹
'jiu'wei'duo'yu'lei 酒味多于泪
'jiu'wei'jin'qiu'si'qu'qiu 酒味今秋似去秋
'jiu'xiang'huang'hua'yu'zui'shui 酒向黄花欲醉谁
'jiu'xun'xun 酒醺醺
'jiu'zhuan'dan'sha'jiu 九转丹砂就
'ju'hua'xu'cha'man'tou'gui 菊花须插满头归
'ju'kan'can 菊堪餐
'ju'tou'wu'yu 举头无语
'ju'tou'yu'wen'xi'lai'yan 举头欲问西来燕
'ju'yan'qian'yan'ding 据眼前言定
'jue'jing'wei'meng'wu'gai'yi 掘井为盟无改移
'jun'jia'sheng'yu'gu'wu'shuang 君家声誉古无双
'jun'kan 君看
'jun'shi'xiu'se'yu'yuan'cong 君诗秀色雨园葱
'jun'si'cheng'xi'tao'li 君似成蹊桃李
'jun'xing'dao'zi'zhi 君行到自知
'jun'xu'shi 君须是
'jun'zhi'fou 君知否
'kan'ai'nan'qin 堪爱难亲
'kan'bei 堪悲
'kan'bu'zu 看不足
'kan'cheng'xing'si'gou 看承幸厮勾
'kan'hua'hui'cha'ci 看花回茶词
'kan'ji'feng'guang'mu 看即风光暮
'kan'ji'ru'long'bian'hua 看即如龙变化
'kan'ji'suo'chuang'pi'zhao 看即锁窗批诏
'kan'ren'qiao'cui 看人憔悴
'kan'ting 堪听
'kan'zai'ce'xun'ming 看再策勋名
'kan'zhu'yan'lv'bin 看朱颜绿鬓
'ke'guan'meng'hui'feng'yu'xiao 客馆梦回风雨晓
'ke'lian'fei'cui'sui'ji'zou 可怜翡翠随鸡走
'ke'shi'lu'chen'ying'jun'de 可是陆沉英俊地
'ken'luo'shei'ren'hou 肯落谁人后
'kong'na'ren'zhi'hou 恐那人知后
'kong'nen'e'lian'yi 空恁恶怜伊
'kong'shou'sun 空瘦损
'kong'wu'ba'sui'feng'fei'qu 恐舞罢随风飞去
'kou'bu'neng'yan 口不能言
'ku'dan'tong'gan'shui'geng'you 苦淡同甘谁更有
'ku'huan'chou'sheng 苦唤愁生
'ku'sha'ren'zao'shui'tiao'xi 苦杀人遭谁调戏
'ku'sun'yan'er 哭损眼儿
'kuang'dang'nian'ding'ji 况当年定计
'kuang'lou'zhuan'tong'hu 况漏转铜壶
'kuang'shi'fen'zhou'jue'sheng'lai 况是焚舟决胜来
'kuang'zuo'shang'yu'lin'jin'ma 况坐上玉麟金马
'la'yue'wang'zhou'po'shang'di 腊月望州坡上地
'lai'de'qing'xiang'yan'yu'mian 赖得清湘燕玉面
'lai'nian'zhi'shang'bao'lei'lei 来年枝上报累累
'lai'you'bin'peng'zai 赖有宾朋在
'lan'man'zhui'dian'duo'lv 烂熳坠钿堕履
'lan'wei'pei 兰委佩
'lan'xi'su'xiong'luo'dai 懒系酥胸罗带
'lao'du'yan'liu'qing'shi'jian 老杜淹留情始见
'lao'fu'bu'chu'chang'peng'hao 老夫不出长蓬蒿
'lao'fu'wei'bian'shu'fang 老夫唯便疏放
'lao'lai'yi'shi'shao'shi'huan 老来亦失少时欢
'lao'qi'xue'yin'ban'qing'tan 老妻学饮伴清谈
'lao'qu'wen'zhang'wu'qi'wei 老去文章无气味
'lao'zi'ping'sheng 老子平生
'le'shi'shang'xin'yi'san 乐事赏心易散
'lei'jin'you'yi'xiang'quan 泪巾犹裛香泉
'lei'xiu'dan 泪休弹
'lei'zhu'bu'yong'luo'jin'yi 泪珠不用罗巾裛
'lei'zhu'qing'liu 泪珠轻溜
'li'chou'nan'zi'zhi 离愁难自制
'li'dao'xie'feng'xi'yu'chui 立到斜风细雨吹
'li'gou'san'cun'wu'sheng'lu 离钩三寸无生路
'li'hua'yi'zhi'chun'dai'yu 梨花一枝春带雨
'li'hua'yu'lei'qing 梨花与泪倾
'li'jia'hong'shen 荔颊红深
'li'lian'hong'shen 荔脸红深
'li'ting'yan'shi'zai'zun'qian'tan'xiao 离亭燕十载尊前谈笑
'li'ting'yu'qu'ge'sheng'yan 离亭欲去歌声咽
'li'xia'he'fang'ye'zheng'guan 李下何妨也整冠
'li'xue'luan'xi'yuan 梨雪乱西园
'li'zao'zhi'fan 梨枣枝繁
'li'zhi 荔枝
'li'zhi'tan'shang'liu'qian'qi 荔枝滩上留千骑
'li'zhuang'chi 理妆迟
'li'zi'qin'pan 荔子亲攀
'lian'ai'lin'yun'xuan'man 练霭鳞云旋满
'lian'bo'dang'xiong'zhu 敛拨当胸住
'lian'mu'chong'chong'yin'yun'tou 帘幕重重音韵透
'liang'chen'mei'jing 良辰美景
'liang'chen'mei'jing'nan'de 良辰美景难得
'liang'dian'yao'shan'xin'hen 两点遥山新恨
'liang'hang'fu'rong'lei'bu'gan 两行芙蓉泪不干
'liang'qi 良期
'liang'qing'ge'zi'ken 两情各自肯
'liang'tian'qi 凉天气
'liang'tong'xin'qiao'xiao'mei'pin 两同心巧笑眉颦
'liang'tong'xin'qiu'shui'yao'cen 两同心秋水遥岑
'liang'tong'xin'yi'xiao'qian'jin 两同心一笑千金
'liang'zhou 梁州
'liao'dao'tu'weng'tong'diao 潦倒秃翁同调
'liao'liao'le 了了了
'lin'qiang'kai'bi'tao 邻墙开碧桃
'lin'shang'ma'shi'fen'fu 临上马时分付
'lin'shui'yao'tao 临水夭桃
'lin'xia'you'gu'fang 林下有孤芳
'lin'xia'yuan'chui'kui'di'yan 林下猿垂窥涤砚
'ling'li'xing'xing 灵利惺惺
'ling'qun'xian'xing'zhui 领群仙行缀
'ling'xiao'tai'shang'qing'qing'mai 凌歊台上青青麦
'ling'yun'he'po'tao'hua'xiao 灵云合破桃花笑
'liu'an'wei'liang'chui'can'jiu 柳岸微凉吹残酒
'liu'hong'zhao'yan'ming 榴红照眼明
'liu'lang'hen 刘郎恨
'liu'ren'shu'wei'huan 流人殊未还
'liu'shui're'chen'ai 流水惹尘埃
'liu'weng'fu'shi'shui 刘翁复是谁
'liu'ye'sui'ge'zhou 柳叶随歌皱
'long'bei'tou'gang'chun'zao 龙焙头纲春早
'long'shan'luo'mao'qian'nian'shi 龙山落帽千年事
'lou'jian'yi'zhuan'tian'ji'mo 漏渐移转添寂寞
'lou'tai'deng'huo'ming'zhu'cui 楼台灯火明珠翠
'lu'di'qing'han 露滴轻寒
'lu'hua'yuan 露花圆
'lu'jing'ping'dou'xiang'fei'pu 露井瓶窦响飞瀑
'lu'jiu'qian'bei 虏酒千杯
'luan'zhai'huang'hua'cha'man'tou 乱摘黄花插满头
'lue'wei'qing'ge'zhu'bai'yun 略为清歌驻白云
'lun'gan'zhong'heng'yu'di'chui 纶竿重横玉低垂
'lun'wen'si'jian'lao'mi'ming 论文思见老弥明
'luo'bi'tian'qing'zhuang 落笔添清壮
'luo'dai'shuang'chui 罗带双垂
'luo'hua'ru'qi 落花如绮
'luo'mao'feng'liu'qing'zuo'xi 落帽风流倾座席
'luo'mao'wan'feng'hui 落帽晚风回
'luo'ri'sai'yuan'lu 落日塞垣路
'luo'xu'you'si'shi'hou 落絮游丝时候
'luo'ye'man'chang'an 落叶满长安
'luo'yi'kong'lei'hen 罗衣空泪痕
'lv'chen'jin'suo 绿沉金锁
'lv'cheng'yin'qing'mei'ru'dou 绿成阴青梅如豆
'lv'suo'yi 绿簑衣
'lv'suo'yi'di'yi'shi'xiu 绿簑衣底一时休
'ma'hu'lai'wu'chai'chu'ci 马湖来舞钗初赐
'ma'ju'ta'sha'zhong'su'xing 马驹踏杀重苏醒
'ma'sa'jing'si'xu'zhi'zu 摩挲经笥须知足
'mai'bu'suan 卖卜算
'mai'feng'yu 霾风雨
'mai'ge'zhai'er'zhu'zhe'yi 买个宅儿住着伊
'man'ge'zou'xiang 蛮歌走饷
'man'mu'qing'shan 满目青山
'man'nian'fu'qing'long 慢捻复轻拢
'man'pan'kong'yi'qu'nian'shi 满盘空忆去年时
'man'qing'lu'jiu'zhi'mo'wei 满倾芦酒指摩围
'man'tian'xing'yue 满天星月
'man'ting'fang'bei'yuan'chun'feng 满庭芳北苑春风
'man'ting'fang'chu'wan'yun'huan 满庭芳初绾云鬟
'man'ting'fang'ming'yan'kong'qing 满庭芳明眼空青
'man'ting'fang'xiu'shui'nong'qing 满庭芳修水浓青
'man'ting'fang'xue'zhong'xian'cheng'you'ren 满庭芳雪中献呈友人
'man'ting'fang'yong'cha 满庭芳咏茶
'man'you'cai'qing'fu'yu'shui 谩有才情付与谁
'man'zhuo'bu'xu'ci 满酌不须辞
'mei'dai'lian'qiu'bo 眉黛敛秋波
'mei'hua'po'e'bian'chun'hui 梅花破萼便春回
'mei'po'zhi'chun'jin 梅破知春近
'mei'xian'yi'men'lu 没嫌伊门路
'mei'zi'bu'sui'ren 每自不随人
'men'sun'pang'guan 闷损旁观
'meng'dang'nian'shao 梦当年少
'meng'jing'can 梦惊残
'meng'lai'kong 梦来空
'meng'li'yun'gui'lu 梦里云归路
'meng'qu'yi'jun'bang 梦去倚君傍
'meng'wei'hu'die'qu'deng'lin 梦为胡蝶去登临
'meng'you'xun'ge'liang'wu'di 梦犹寻歌梁舞地
'meng'zhong'xiang'jian 梦中相见
'meng'zhong'xiang'jian'bu'duo'shi 梦中相见不多时
'mi'yue'zun'qian'nan'zhu'fu 密约尊前难嘱付
'mian'bi'jiu'nian'kan'er'zu 面壁九年看二祖
'miao'miao'jing'bo'wu'lu 渺渺鲸波无路
'miao'nan'guo 妙难过
'miao'xiang'chang'nen'xie'qian'shou 妙香长恁携纤手
'ming'gao'de'yi 名高得意
'ming'jiu'ru'yan'chun'xian'xia 鸣鸠乳燕春闲暇
'ming'ke'sui 鸣珂碎
'ming'li'wang'lai'ren'jin'lao 名利往来人尽老
'ming'mei 明媚
'ming'nian'xiao'mai'neng'qiu'shu 明年小麦能秋熟
'ming'ri'chong'lai 明日重来
'ming'ri'yu'zun'hai'gong'dao 明日馀尊还共倒
'ming'yan'kong'qing 明眼空青
'ming'yue'qing'feng'dou'zhan'que 明月清风都占却
'ming'yue'wu'duan 明月无端
'ming'yue'zhu'ren'gui 明月逐人归
'mo'dai'lin'shi 莫待临时
'mo'dai'wu'hua'kong'zhe'zhi 莫待无花空折枝
'mo'de'hun'chen 蓦地昏沉
'mo'jiang'she'yan'deng'qiu'hong 莫将社燕等秋鸿
'mo'kou'yi'rao'qin'zi'fu 蓦口一桡亲子父
'mo'mo'mo 莫莫莫
'mo'shan'xi'chou'hua'luan'rui 蓦山溪稠花乱蕊
'mo'shan'xi'shan'ming'shui'xiu 蓦山溪山明水秀
'mo'shan'xi'shan'wei'jiang'mu 蓦山溪山围江暮
'mo'shan'xi'yuan'yang'fei'cui 蓦山溪鸳鸯翡翠
'mo'shi'chun'guang'si'liao'li 莫是春光厮料理
'mo'shi'zhuan'ren'sha 莫是赚人唦
'mo'song'duan'chang'hong 莫送断肠红
'mo'wei'xiao'yin'zhen'man'jiang 摩围小隐枕蛮江
'mo'wei'ying'zai'qiu'jiang'shang 摩围影在秋江上
'mo'xiao'cha'hua'he'shi'lao 莫笑插花和事老
'mo'xiao'lao'weng'you'qi'an 莫笑老翁犹气岸
'mo'xiao'xi'ji'ge'wu'weng'zhong'tian 莫笑醯鸡歌舞甕中天
'mo'yan'sui'han'wu'qi'wei 莫厌岁寒无气味
'mo'zhao'li'zun 莫照离尊
'mu'nian'guang'jing 暮年光景
'mu'shao'yao 木芍药
'mu'yu'chao'yun'ji'xu'chou 暮雨朝云几许愁
'mu'yu'fei'wei 暮雨霏微
'mu'yu'meng'jie'qi 暮雨濛阶砌
'na'guan'shi'san 那管十三
'na'hui'de'ju'xian'yan'yu 那回得句闲言语
'nai'bin'peng'nan'bei 奈宾朋南北
'nai'xiang'ru'jin'chou'wu'ji 奈向如今愁无计
'nan'de'zun'qian'xiang'zhu 难得尊前相属
'nan'ju'guan 难拘管
'nan'kan'jiu'li'chai 难堪久离拆
'nan'wang'chu 难忘处
'nan'xi'di'zhu'ming'xian'zhong 南溪地逐名贤重
'nao'luan'de'dao'ren'yan'qi 恼乱得道人眼起
'nao'sha'ren'yuan'shan'wei'zhou 恼杀人远山微皱
'neng'an'wu'sha'qing'da'bai 能岸乌纱倾大白
'neng'ling'nong'qiao 能令侬巧
'neng'long'cui'yu 能笼翠羽
'ni'dai'bu'si'liang 拟待不思量
'ni'dan'na'xie'yi'chu'shui 你但那些一处睡
'ni'gong'ren'nv'bian'zhe'zi 你共人女边着子
'ni'guan'you'hai 你管又还
'ni'hai'tian'sha'ren'le 你还甜杀人了
'ni'qu'ji'wu'fang'wo'gong'shui 你去即无妨我共谁
'ni'shang'mo'wei 拟上摩围
'ni'you'wo 你有我
'nian'chun'bei 碾春焙
'nian'hua'lou'zhu'ge 念画楼朱阁
'nian'hua'te'di'zhong'nian'shao 拈花特地重年少
'nian'nian'jin'ju'zhu'yu 年年金菊茱萸
'nian'nian'niu'nv'hen'feng'bo 年年牛女恨风波
'nian'nu'jiao'duan'hong'ji'yu 念奴娇断虹霁雨
'nian'po'chun'feng 碾破春风
'nian'qing'luo'xi 碾轻罗细
'nian'shao'guai'meng'shi 年少乖盟誓
'nian'shao'sui'wo'zhui'liang 年少随我追凉
'nian'sheng'chu'duan'ye'jiang'lan 碾声初断夜将阑
'nian'zhong'xiang'jian 念中相见
'niao'ti'hua'wai'sheng 鸟啼花外声
'ning'ning'di 宁宁地
'ning'xiang'chuang'xia'yu'shui'kan 凝香窗下与谁看
'nong'li'qing'xian 浓丽清闲
'nong'yin'zhou'yu 浓阴骤雨
'nong'zhuang'reng'xue'shu 弄妆仍学书
'nong'zhuang'xia'zhe'xiu'lian'zhe 浓妆下着绣帘遮
'nu'er'you'you'xing'qi 奴儿又有行期
'nu'nu'shui 奴奴睡
'nu'nu'shui'ye'nu'nu'shui 奴奴睡也奴奴睡
'nuan'ru'fang'xin'xi'dian'tou 暖入芳心犀点透
'nv'er'pu'kou'yan'bo'qiu 女儿浦口眼波秋
'ou'dao'zhang'yuan'you'xi 偶到张园游戏
'ou'lu'wu'ren'chu 鸥鹭无人处
'ou'wu'mei'ge'jun'geng'zhuo 欧舞梅歌君更酌
'pan'le'you'she'le 拚了又舍了
'pan'shan'zao'xing 媻姗藻荇
'pao'ding'you'di'xia'dao'chi 庖丁有底下刀迟
'pao'hu'en'zhang'zha'ci 袍笏恩章乍赐
'peng'cha'liu'ke'zhu'diao'an 烹茶留客驻雕鞍
'peng'hu'shen'xian 蓬户身闲
'peng'ou'chun'sun'han 捧瓯春笋寒
'peng'shi'he'bi'yan 烹时鹤避烟
'peng'yun'tian'chi 鹏运天池
'pi'ru'jie'nue'you'xiu'shi 譬如痎疟有休时
'pian'lian'luo'xiu 偏怜络秀
'pian'pian'shu'qi'xian'lie 翩翩数骑闲猎
'piao'dao'mei'xin'zhu 飘到眉心住
'pin'ba'ling'hua'zhao 频把菱花照
'pin'gao'wen'wai'jiang 品高闻外江
'pin'jia'chun'dao'ye'sao'sao 贫家春到也骚骚
'pin'ling 品令
'pin'ling'cha'ci 品令茶词
'pin'qi'dong'ge 频启东阁
'pin'ti'gao 品题高
'ping'ji'yu 凭寄与
'ping'ping'niao'niao 俜俜袅袅
'ping'po'zhu'ma 平坡驻马
'ping'sha'xi'ma'yu'sheng'gan 平沙戏马雨声干
'ping'sheng'ben'ai'jiang'hu'zhu 平生本爱江湖住
'ping'sheng'ge'li'yuan'bei'shen 平生个里愿杯深
'ping'shui'shi 凭谁是
'ping'yu'tu 凭玉兔
'po'chu'wan'shi'wu'guo 破除万事无过
'po'meng'yi'sheng'wu'xia'xiao 破梦一声巫峡晓
'po'ren'chui'lei 迫人垂泪
'po'xiao'wu 破晓雾
'pu'sa'man'gui'qing 菩萨蛮闺情
'pu'tuo'yan'pan'xi'yang'chi 普陀岩畔夕阳迟
'pu'wei'song'qing'liang 蒲苇送轻凉
'qi'dao'qing'yun'qi'lu 齐到青云岐路
'qi'ge'yun'rao'shan 齐歌云绕扇
'qi'huang'zen'xiang 悽惶怎向
'qi'lai'wan'ji'you'zhong'shu 起来绾髻又重梳
'qi'nai'feng'liu'zhai'fu 其奈风流债负
'qi'nai'yuan'jia'wu'ding'ju 其奈冤家无定据
'qi'wei'wu'yi 岂谓无衣
'qi'wo'zhi'guan'qiong'hai'shang 弃我之官穷海上
'qia'de'chang'xie'xiang'tian'di 恰得尝些香甜底
'qia'jin'shi'san'yu 恰近十三馀
'qia'nen'si'dang'dui 恰恁厮当对
'qia'ru'deng'xia 恰如灯下
'qia'si'chu'tao'yuan 恰似出桃源
'qian'bu'zu 千不足
'qian'chi'chui'si'jun'kan'qu 千尺垂丝君看取
'qian'chi'ye'xu'chui 千尺也须垂
'qian'gu'shen'jiao'shi'bu'zhi 千古神交世不知
'qian'huan'suan'wei'yi 前欢算未已
'qian'jin'wei'shou 千金为寿
'qian'jin'xin'mai'di'qing'luo 千金新买帝青螺
'qian'li'guan'shan 千里关山
'qian'li'xin'chen'yin'yao 千里信沉音杳
'qian'li'you'hui'shou 千里犹回首
'qian'nian'jiang'wai 前年江外
