'ben'bing 本兵
'kan'xiang'yin'tai'si'wen'zi'suo 看详银台司文字所
'kan'xiang'zhong'shu'tiao'li'si 看详中书条例司
'kao'jiao'jing'chao'guan'yuan 考校京朝官院
'kao'ke'jing'chao'guan'yuan 考课京朝官院
'kao'ke'mu'zhi'zhou'xian'guan'yuan 考课幕职州县官院
'kao'ke'yuan 考课院
'kei'ze'guan 尅择官
'kong'mu'fang'jian'zheng'guan 孔目房检正官
'ku'jing 库经
'ku'wu'si 库务司
'lang'miao 廊庙
'li'bu'gao'yuan 吏部告院
'li'bu'ge'shi'si 吏部格式司
'li'bu'jia'ku 吏部甲库
'li'bu'liu'nei'quan 吏部流内铨
'li'bu'liu'nei'xuan 吏部流内选
'li'bu'nan'cao 吏部南曹
'li'bu'quan 吏部铨
'li'bu'san'quan 吏部三铨
'li'bu'san'si 吏部三司
'li'bu'shang'shu'quan 吏部尚书铨
'li'yi'yuan 礼仪院
'li'yuan 礼院
'li'yuan'sheng 礼院生
'liang'di 两地
'liang'si 两司
'ling'li 令吏
'ling'shu'mi'yuan 领枢密院
'ling'shu'mi'yuan'shi 领枢密院事
'ling'yuan 领院
'ling'yuan'shi 领院事
'liu'nei'quan 流内铨
'liu'wai'quan 流外铨
'men'guan 门官
'mi'di 密地
'mi'fu 密府
'mi'shi 密使
'mi'yuan 密院
'mi'yuan'fu'cheng'zhi 密院府承旨
'miao'tang 庙堂
'mo'kan'jing'chao'guan'yuan 磨勘京朝官院
'mo'kan'mu'zhi'zhou'xian'guan'yuan 磨勘幕职州县官院
'mo'kan'si 磨勘司
'mo'kan'yuan 磨勘院
'mu'zhi'zhou'xian'guan'kao'ke'yuan 幕职州县官考课院
'mu'zhi'zhou'xian'guan'yuan 幕职州县官院
'nan'cao 南曹
'nei'shu 内枢
'pan'bing'bu'guan'gao'yuan'shi 判兵部官告院事
'pan'cao 判曹
'pan'guan'gao'yuan 判官告院
'pan'li'bu'guan'gao'yuan'shi 判吏部官告院事
'pan'li'bu'liu'nei'quan'shi 判吏部流内铨事
'pan'li'bu'nan'cao'shi 判吏部南曹事
'pan'li'bu'quan 判吏部铨
'pan'li'yi'yuan 判礼仪院
'pan'li'yuan 判礼院
'pan'liu'nei'quan 判流内铨
'pan'nan'cao 判南曹
'pan'quan 判铨
'pan'shu'mi'yuan 判枢密院
'pan'shu'mi'yuan'shi 判枢密院事
'pan'si'feng'guan'gao'yuan'shi 判司封官告院事
'pan'si'xun'guan'gao'yuan'shi 判司勋官告院事
'pan'tai'chang'li'yuan 判太常礼院
'pan'yuan 判院
'pan'yuan'shi 判院事
'pi'bo'suo 皮剥所
'pian'bi 偏裨
'qi'ju'yuan 起居院
'qian'shu 签书
'qian'shu 签枢
'qian'shu 签署
'qian'shu'mi'yuan'shi 签枢密院事
'qian'shu'shu'mi 签书枢密
'qian'shu'shu'mi'yuan 签书枢密院
'qian'shu'shu'mi'yuan'shi 签书枢密院事
'qian'shu'shu'mi'yuan'shi 签署枢密院事
'qian'shu'yuan'shi 签署院事
'quan'cao'si'xuan 铨曹四选
'quan'ling'shu'mi'yuan 权领枢密院
'quan'ling'shu'mi'yuan'shi 权领枢密院事
'quan'shu'mi'yuan'dou'cheng'zhi 权枢密院都承旨
'quan'si 铨司
'quan'tong'fa'qian'shu'mi'yuan'shi 权同发遣枢密院事
'san'ban 三班
'san'ban'yuan 三班院
'san'xing'shu'mi'yuan'ji'shang'jiu'ku 三省枢密院激赏酒库
'san'xing'shu'mi'yuan'ji'shang'ku 三省枢密院激赏库
'san'xing'shu'mi'yuan'ji'shang'qian'ku 三省枢密院激赏钱库
'san'xing'shu'mi'yuan'jia'ge'ku 三省枢密院架阁库
'san'zi 三字
'shan'ding'guan 删定官
'shan'xiu'guan 删修官
'shang'shu'quan 尚书铨
'she'ren 舍人
'she'ren'yuan 舍人院
'shen'guan'dong'yuan 审官东院
'shen'guan'dong'yuan'zhu'bu 审官东院主簿
'shen'guan'xi'yuan 审官西院
'shen'guan'xi'yuan'zhu'bu 审官西院主簿
'shen'guan'yuan 审官院
'sheng'ma'yuan 省马院
'sheng'zheng'suo 圣政所
'shi'shou 食手
'shou'que'shu'ling'li 守阙书令吏
'shou'que'zhu'shi 守阙主事
'shu'chang 枢长
'shu'er 枢贰
'shu'fu 枢副
'shu'fu 枢府
'shu'fu 枢辅
'shu'guan 枢筦
'shu'ji'zhi'fu 枢机之府
'shu'jin 枢近
'shu'kun 枢阃
'shu'ling'li 书令吏
'shu'mi 枢密
'shu'mi'cheng'zhi 枢密承旨
'shu'mi'dou'cheng'zhi 枢密都承旨
'shu'mi'fu'dou'cheng'zhi 枢密副都承旨
'shu'mi'fu'shi 枢密副使
'shu'mi'shi 枢密使
'shu'mi'tai'wei 枢密太尉
'shu'mi'xing'fu 枢密行府
'shu'mi'yuan 枢密院
'shu'mi'yuan'bei'mian'fang 枢密院北面房
'shu'mi'yuan'bian'xiu 枢密院编修
'shu'mi'yuan'bian'xiu'shi'zheng'ji'fang 枢密院编修时政记房
'shu'mi'yuan'bian'xiu'si 枢密院编修司
'shu'mi'yuan'bing'fang 枢密院兵房
'shu'mi'yuan'bing'ji'fang 枢密院兵籍房
'shu'mi'yuan'cheng'zhi 枢密院承旨
'shu'mi'yuan'cheng'zhi'si 枢密院承旨司
'shu'mi'yuan'dong'chu 枢密院东厨
'shu'mi'yuan'dou'cheng'zhi 枢密院都承旨
'shu'mi'yuan'er'shi'wu'fang 枢密院二十五房
'shu'mi'yuan'fu'cheng'zhi 枢密院副承旨
'shu'mi'yuan'fu'dou'cheng'zhi 枢密院副都承旨
'shu'mi'yuan'gan'ban'guan 枢密院干办官
'shu'mi'yuan'gei'shi 枢密院给使
'shu'mi'yuan'guang'xi'fang 枢密院广西房
'shu'mi'yuan'he'xi'fang 枢密院河西房
'shu'mi'yuan'hu'fang 枢密院户房
'shu'mi'yuan'ji'su'fang 枢密院机速房
'shu'mi'yuan'ji'yi'guan 枢密院计议官
'shu'mi'yuan'jian'xiang 枢密院检详
'shu'mi'yuan'jian'xiang'suo 枢密院检详所
'shu'mi'yuan'jian'xiang'wen'zi 枢密院检详文字
'shu'mi'yuan'jian'xiang'zhu'fang'wen'zi 枢密院检详诸房文字
'shu'mi'yuan'jiang'shuai 枢密院将帅
'shu'mi'yuan'jiang'yi'si 枢密院讲仪司
'shu'mi'yuan'jiang'zuo 枢密院将佐
'shu'mi'yuan'jiao'yue'fang 枢密院教阅房
'shu'mi'yuan'kei'ze'guan 枢密院尅择官
'shu'mi'yuan'li'fang 枢密院吏房
'shu'mi'yuan'li'fang 枢密院礼房
'shu'mi'yuan'li'ren 枢密院吏人
'shu'mi'yuan'min'bing'fang 枢密院民兵房
'shu'mi'yuan'pi'bo'suo 枢密院皮剥所
'shu'mi'yuan'sheng'ma'yuan 枢密院省马院
'shu'mi'yuan'shi 枢密院事
'shu'mi'yuan'shi'chen 枢密院使臣
'shu'mi'yuan'shi'er'fang 枢密院十二房
'shu'mi'yuan'wu'fang 枢密院五房
'shu'mi'yuan'wu'fang'yuan 枢密院五房院
'shu'mi'yuan'xi'chu 枢密院西厨
'shu'mi'yuan'xiao'li'fang 枢密院小吏房
'shu'mi'yuan'xie'xuan'fang 枢密院写宣房
'shu'mi'yuan'xing'fang 枢密院刑房
'shu'mi'yuan'zai'jing'fang 枢密院在京房
'shu'mi'yuan'zhi'chai'fang 枢密院支差房
'shu'mi'yuan'zhi'ma'fang 枢密院支马房
'shu'mi'yuan'zhi'za'fang 枢密院知杂房
'shu'mi'yuan'zhi'zhi'bing'ma'si 枢密院制置兵马司
'shu'mi'yuan'zhu'fang'fu'cheng'zhi 枢密院诸房副承旨
'shu'mi'yuan'zhu'fang'fu'cheng'zhi 枢密院逐房副承旨
'shu'mi'yuan'zhun'bei'shi'huan 枢密院准备使唤
'shu'mi'zai'xiang 枢密宰相
'shu'sheng 枢省
'shu'shi 枢使
'shu'shu 枢属
'shu'ting 枢廷
'shu'xiang 枢相
'shu'xie'ren 书写人
'shu'yuan 枢掾
'shu'yuan 枢院
'shu'zhou 枢轴
'shu'zou 书奏
'si'feng'gao'yuan 司封告院
'si'xun'gao'yuan 司勋告院
'tai'chang'li'yuan 太常礼院
'tai'chang'li'yuan'bian'zuan'li'shu 太常礼院编纂礼书
'tai'fu 台府
'tang'hou'guan 堂后官
'tang'li 堂吏
'tang'yin 堂印
'ti'dian'tang'hou'guan'wu'fang'gong'shi 提点堂后官五房公事
'ti'dian'wu'fang'gong'shi 提点五房公事
'ti'dian'zhong'shu'zhi'chi'yuan'wu'fang'gong'shi 提点中书制敕院五房公事
'ti'ju'bian'xiu'sheng'zheng 提举编修圣政
'ti'ju'bing'bu'gao'yuan'shi 提举兵部告院事
'ti'ju'gou'dang'gong'shi'guan 提举勾当公事官
'ti'ju'guan 提举官
'ti'ju'guan'gao'yuan 提举官告院
'ti'ju'jing'shi'zhu'si'ku'wu 提举京师诸司库务
'ti'ju'ku'wu'guan 提举库务官
'ti'ju'li'bu'gao'yuan'shi 提举吏部告院事
'ti'ju'si 提举司
'ti'ju'si'feng'gao'yuan'shi 提举司封告院事
'ti'ju'si'gou'dang 提举司勾当
'ti'ju'si'gou'dang'gong'shi 提举司勾当公事
'ti'ju'si'xun'gao'yuan'shi 提举司勋告院事
'ti'ju'xiu'chi'ling 提举修敕令
'ti'ju'zai'jing'zhu'si'ku'wu 提举在京诸司库务
'ti'ju'zai'jing'zhu'si'ku'wu'si 提举在京诸司库务司
'ti'ju'zhu'si'guan 提举诸司官
'ti'ju'zhu'si'ku'wu 提举诸司库务
'ti'ling'hai'chuan 提领海船
'tiao'li'si 条例司
'tiao'li'si'xiang'jian'guan 条例司详检官
'tiao'li'si'xiang'jian'wen'zi 条例司详检文字
'tie'fang 贴房
'tong'dou'da'ti'ju'zai'jing'zhu'si'ku'wu 同都大提举在京诸司库务
'tong'kan'xiang'bian'xiu'zhong'shu'tiao'li 同看详编修中书条例
'tong'ling 统领
'tong'pan'tai'chang'li'yuan 同判太常礼院
'tong'pan'yuan 同判院
'tong'qian'shu 同签书
'tong'qian'shu 同签枢
'tong'qian'shu'shu'mi'yuan 同签书枢密院
'tong'qian'shu'shu'mi'yuan'shi 同签书枢密院事
'tong'qian'shu'shu'mi'yuan'shi 同签署枢密院事
'tong'qian'shu'yuan'shi 同签书院事
'tong'ti'ju'guan 同提举官
'tong'ti'ju'xiang'ding'yi'si'chi'ling 同提举详定一司敕令
'tong'xiang'ding'yi'si'chi'ling 同详定一司敕令
'tong'xiu'qi'ju'zhu 同修起居注
'tong'zhi 同知
'tong'zhi 统制
'tong'zhi'li'yi'yuan'shi 同知礼仪院事
'tong'zhi'san'xing'shu'mi'yuan 同知三省枢密院
'tong'zhi'shu 同知枢
'tong'zhi'shu'mi 同知枢密
'tong'zhi'shu'mi'yuan 同知枢密院
'tong'zhi'shu'mi'yuan'shi 同知枢密院事
'tong'zhi'tai'chang'li'yuan 同知太常礼院
'tong'zhi'yuan 同知院
'tong'zhi'yuan'shi 同知院事
'tong'zhi'zhi'san'si'tiao'li 同制置三司条例
'tong'zhi'zhi'san'si'tiao'li'si 同制置三司条例司
'wei'wo 帷幄
'wu'fang'ti'dian 五房提点
'wu'fang'xi'xue 五房习学
'wu'fang'xi'xue'jian'zheng'guan 五房习学检正官
'xi'fu 西府
'xi'ge 西阁
'xi'shen'yuan 西审院
'xi'shu 西枢
'xi'xue'gong'shi 习学公事
'xi'yuan 西院
'xi'yuan'zhu'bu 西院主簿
'xiang'ding'bian'chi'suo 详定编敕所
'xiang'ding'bian'chi'suo 详订编敕所
'xiang'ding'chi'ling'guan 详定敕令官
'xiang'ding'chi'ling'ju 详定敕令局
'xiang'ding'chong'xiu'chi'ling'suo 详订重修敕令所
'xiang'ding'guan 详定官
'xiang'ding'guan'zhi'suo 详定官制所
'xiang'ding'yi'si 详定一司
'xiang'ding'yi'si'chi'ling 详定一司敕令
'xiang'ding'yi'si'chi'ling'suo 详定一司敕令所
'xiang'ding'yi'si'chi'ling'suo'cheng'shou 详定一司敕令所承受
'xiang'ding'yi'si'chi'ling'suo'dou'da'ti'ju'zhu'si 详定一司敕令所都大提举诸司
'xiang'ding'yi'si'chi'ling'suo'dou'da'ti'ju'zhu'si'guan 详定一司敕令所都大提举诸司官
'xiang'ding'yi'si'chi'ling'suo'shan'ding'guan 详定一司敕令所删定官
'xiang'jian'guan 详检官
'xiao'shi 效士
'xie'xuan'ming 写宣命
'xing'fu 行府
'xing'zai'pi'bo'suo 行在皮剥所
'xiu'qi'ju'zhu 修起居注
'xiu'zhu 修注
'xuan'yuan 选院
'xuan'zhi'yuan 宣旨院
'yan'tang'wu'yuan 沿堂五院
'yan'tang'yuan 沿堂院
'ye'yuan 掖垣
'yi'fo'chu'shi 一佛出世
'yin'si 印司
'yin'si 银司
'yin'tai 银台
'yin'tai'si 银台司
'yin'tai'si'ling'li 银台司令吏
'yin'tai'si'shu'ling'li 银台司书令吏
'yin'tai'si'zhu'shi 银台司主事
'you'fu 右府
'you'fu 宥府
'you'mi 宥密
'you'shi 右史
'you'ting 宥廷
'yu'qian'gong'ma'zi'di'suo 御前弓马子弟所
'yuan'shu 元枢
'zai'fu 宰府
'zai'xiang'jian'shu'mi'shi 宰相兼枢密使
'zhang'gao 掌诰
'zhang'qi'ju'lang'shi 掌起居郎事
'zhang'qi'ju'she'ren'shi 掌起居舍人事
'zhang'shu'ming 掌书命
'zheng'ji'fang 政记房
'zheng'ji'fang 正记房
'zheng'jiang 正将
'zheng'shi'tang 政事堂
'zheng'tang 政堂
'zhi'chi'ku 制敕库
'zhi'chi'yuan 制敕院
'zhi'chi'yuan'bing'li'fang 制敕院兵礼房
'zhi'chi'yuan'gou'xiao'fang 制敕院勾销房
'zhi'chi'yuan'hu'fang 制敕院户房
'zhi'chi'yuan'kong'mu'fang 制敕院孔目房
'zhi'chi'yuan'li'fang 制敕院吏房
'zhi'chi'yuan'sheng'shi'fang 制敕院生事房
'zhi'chi'yuan'wu'fang 制敕院五房
'zhi'chi'yuan'wu'fang'tang'hou'guan 制敕院五房堂后官
'zhi'chi'yuan'xing'fang 制敕院刑房
'zhi'chi'yuan'yan'tang'wu'yuan 制敕院沿堂五院
'zhi'feng'bo'shi 知封驳事
'zhi'gao 制诰
'zhi'li'yi'yuan'shi 知礼仪院事
'zhi'li'yuan 知礼院
'zhi'li'yuan'guan 知礼院官
'zhi'mi'yuan 知密院
'zhi'qi'ju'lang'shi 知起居郎事
'zhi'qi'ju'she'ren'shi 知起居舍人事
'zhi'she'ren 直舍人
'zhi'she'ren'yuan 直舍人院
'zhi'shen'guan 知审官
'zhi'shen'guan'dong'yuan'shi 知审官东院事
'zhi'shen'guan'xi'yuan 知审官西院
'zhi'shen'guan'xi'yuan'shi 知审官西院事
'zhi'shen'guan'yuan'shi 知审官院事
'zhi'shu'mi'yuan 知枢密院
'zhi'shu'mi'yuan'shi 知枢密院事
'zhi'tai'chang'li'yuan 知太常礼院
'zhi'tong'jin'si'guan 知通进司官
'zhi'tong'jin'yin'tai'si'gong'shi 知通进银台司公事
'zhi'tong'jin'yin'tai'si'jian'men'xia'feng'bo'gong'shi 知通进银台司兼门下封驳公事
'zhi'xi'yuan 知西院
'zhi'yin'tai'tong'jin'feng'bo'si 知银台通进封驳司
'zhi'yuan 直院
'zhi'yuan 知院
'zhi'yuan'shi 知院事
'zhi'zhi'gao 知制诰
'zhi'zhi'san'si'tiao'li 制置三司条例
'zhi'zhi'san'si'tiao'li'si 制置三司条例司
'zhi'zhi'san'si'tiao'li'si'jian'xiang'wen'zi 制置三司条例司检详文字
'zhi'zhi'san'si'tiao'li'si'xiang'du'li'hai'guan 制置三司条例司相度利害官
'zhi'zhi'si 制置司
'zhi'zhi'tiao'li'si 制置条例司
'zhong'shu 中书
'zhong'shu 中枢
'zhong'shu'jian'zheng 中书检正
'zhong'shu'jian'zheng'gong'shi 中书检正公事
'zhong'shu'jian'zheng'guan 中书检正官
'zhong'shu'men'xia 中书门下
'zhong'shu'men'xia'shu'mi'yuan 中书门下枢密院
'zhong'shu'nei'xing 中书内省
'zhong'shu'tang 中书堂
'zhong'shu'tang'hou'guan 中书堂后官
'zhong'shu'wu'fang'ti'dian'gong'shi 中书五房提点公事
'zhong'shu'wu'fang'xi'xue'gong'shi 中书五房习学公事
'zhong'shu'wu'yuan 中书五院
'zhong'tang 中堂
'zhu'fang'fu'cheng'zhi 逐房副承旨
'zhu'fang'ti'dian 诸房提点
'zhu'guan'jia'ge'wen'zi 主管架阁文字
'zhu'guan'san'xing'jia'ge'wen'zi 主管三省架阁文字
'zhu'guan'san'xing'shu'mi'yuan'jia'ge'wen'zi 主管三省枢密院架阁文字
'zhu'shi 主事
'zhuan'feng'guan 专封官
'zhuan'zhi'guan 专知官
'zhun'bei'chai'shi 准备差事
'zhun'bei'jiang 准备将
'zhun'bei'jiang'ling 准备将领
'zhun'bei'shi'huan 准备使唤
'zhun'bei'ting'hou'shi'huan 准备听候使唤
'zi'shu 紫枢
'zi'yuan'huang'ge 紫垣黄阁
'zuo'shi 左史
