'a'bi 阿碧
'ma'xing'kong 马行空
'ma'yi'han'zi 麻衣汉子
'ma'you 马佑
'ma'yu 马钰
'ma'zhen 马真
'mai'jing 麦鲸
'mai'shao'bang'zhu 麦少帮主
'mao'shi'ba 茅十八
'mao'wen'zhu 毛文珠
'mei'chao'feng 梅超风
'mei'fang'gu 梅芳姑
'mei'jian 梅剑
'mei'jian'he 梅剑和
'mei'liang'ming 梅良鸣
'mei'nian'sheng 梅念笙
'mei'wen'xin 梅文馨
'meng'bo'fei 孟伯飞
'meng'ge 蒙哥
'meng'gu 梦姑
'meng'jian'xiong 孟健雄
'meng'shi'shu 孟师叔
'meng'zheng 孟铮
'meng'zheng'hong 孟正鸿
'meng'zhu 孟铸
'mi'heng'ye 米横野
'mi'si'han 米思翰
'mi'wei'yi 米为义
'miao'feng'shi 妙风使
'miao'ren'feng 苗人凤
'miao'ruo'lan 苗若兰
'mie'jue'shi'tai 灭绝师太
'min'rou 闵柔
'min'zi'hua 闵子华
'ming'yue 明月
'ming'zhu 明珠
'mo'da 莫大
'mo'he'ba'si 摩诃巴思
'mo'sheng'gu 莫声谷
'mu'dao'zhu 木岛主
'mu'gao'feng 木高峰
'mu'gui'fei 穆贵妃
'mu'hua'li 木华黎
'mu'jian'ping 沐剑屏
'mu'jian'sheng 沐剑声
'mu'nian'ci 穆念慈
'mu'ren'qing 穆人清
'mu'rong'bo 慕容博
'mu'rong'fu 慕容复
'mu'rong'jing'yue 慕容景岳
'mu'sang'dao'zhang 木桑道长
'mu'tian'yan 慕天颜
'mu'wan'qing 木婉清
'mu'wen'cha 木文察
'mu'zhuo'lun 木卓伦
'na'si'er'ding 纳斯尔丁
'nan'huai'ren 南怀仁
'nan'lan 南兰
'nan'ren'tong 南仁通
'nan'xi'ren 南希仁
'ni'bu'da 倪不大
'ni'bu'xiao 倪不小
'ni'hao 倪浩
'ni'mo'xing 尼摩星
'nie'yue 聂钺
'ning'qiang'dao 宁强盗
'ning'wan'wo 宁完我
'ning'zhong'ze 宁中则
'nong'fu 农夫
'nong'fu 农妇
'nu'er'hai 努儿海
'ou'yang'feng 欧阳峰
'ou'yang'gong'zheng 欧阳公政
'ou'yang'ke 欧阳克
'ou'yang'mu'zhi 欧阳牧之
'pan'tian'geng 潘天耕
'pan'xian'sheng 潘先生
'pan'xiu'da 潘秀达
'pang'fu'ren 胖妇人
'pang'gai 胖丐
'pang'shang'ren 胖商人
'pang'tou'tuo 胖头陀
'pang'zi 胖子
'peng'can'jiang 彭参将
'peng'lian'hu 彭连虎
'peng'san'chun 彭三春
'peng'ying'yu 彭莹玉
'peng'zhang'lao 彭长老
'pi'qing'yun 皮清云
'ping'a'si 平阿四
'ping'deng'bao'shu'wang 平等宝树王
'ping'fu'ren 平夫人
'ping'gong'tou 平工头
'ping'po'po 平婆婆
'ping'si 平四
'ping'wang'xian 平旺先
'ping'wei 平威
'ping'yi'zhi 平一指
'pu'zhe'he'shang 朴者和尚
'qi'bo'tao 齐伯涛
'qi'chang'fa 戚长发
'qi'fang 戚芳
'qi'liu'san 祁六三
'qi'luo'nuo'fu 齐洛诺夫
'qi'qing'biao 祁清彪
'qi'tang'zhu 齐堂主
'qi'tian'biao 祁天彪
'qi'xin'bao'shu'wang 齐心宝树王
'qi'yuan'kai 齐元凯
'qi'yun 齐云
'qi'zhi'cheng 祁志诚
'qi'zi'mian 齐自勉
'qian'er'bai 钱二败
'qian'lao'ben 钱老本
'qian'long'huang'di 乾隆皇帝
'qian'qing'jian 钱青健
'qian'tong'si 钱通四
'qian'zheng'lun 钱正伦
'qiao'feng 乔峰
'qiao'fu 乔福
'qiao'gui 俏鬼
'qiao'zhai'zhu 乔寨主
'qiao'zi 樵子
'qin'dong 秦栋
'qin'er 琴儿
'qin'hong'mian 秦红棉
'qin'juan 秦娟
'qin'lao'wu 秦老五
'qin'nai'zhi 秦耐之
'qin'wei'bang 秦伟帮
'qing'feng 清风
'qing'hua 晴画
'qing'ling'zi 青灵子
'qing'xu'dao'ren 清虚道人
'qiu'chu'ji 丘处机
'qiu'qian'chi 裘千尺
'qiu'qian'ren 裘千仞
'qiu'qian'zhang 裘千丈
'qiu'shan'feng 邱山风
'qu'fei'yan 曲非烟
'qu'san 曲三
'qu'sha'gu 曲傻姑
'qu'yang 曲洋
'quan'guan'qing 全冠清
'quan'jian'nan 泉建男
'quan'jin'fa 全金发
'quan'qiang'dao 全强盗
'ren'chu'zi 人厨子
'ren'fei'yan 任飞燕
'ren'tong'wu 任通武
'ren'wo'xing 任我行
'ren'ying'ying 任盈盈
'rong'cai 荣彩
'rong'zi'ju 容子矩
'rou'er 柔儿
'ruan'shi'zhong 阮士忠
'ruan'xing'zhu 阮星竹
'rui'chu 蕊初
'rui'da'lin 瑞大林
'rui'dong 瑞栋
'rui'fang 瑞芳
'rui'po'po 瑞婆婆
'ruo'ke'lin 若克琳
'sa'duo 萨多
'sai'zong'guan 赛总管
'sang'fei'hong 桑飞虹
'sang'jie 桑结
'sang'kun 桑昆
'sang'la'ba 桑拉巴
'sang'men'gui 丧门鬼
'sang'san'niang 桑三娘
'sang'si 桑斯
'sang'tu'gong 桑土公
'sha'guang'tian 沙广天
'sha'lao'da 沙老大
'sha'shen'gui 煞神鬼
'sha'tian'jiang 沙天江
'sha'tong'tian 沙通天
'shang'bao'zhen 商宝震
'shang'guan 上官
'shang'guan'hong 上官虹
'shang'guan'tie'sheng 上官铁生
'shang'guan'yi'shan 上官毅山
'shang'guan'yun 上官云
'shang'lao'tai 商老太
'shao'fu 少妇
'shao'he 邵鹤
'shao'lin'lao'seng 少林老僧
'shao'yan 邵燕
'she'diao'ying'xiong'zhuan 射雕英雄传
'she'pi'zhang 蛇皮张
'shen'cheng 沈城
'shen'de'qian 沈德潜
'shen'diao'xia'lv 神雕侠侣
'shen'qing'gang 沈青刚
'shen'ren'jun 申人俊
'shen'shan'shang'ren 神山上人
'shen'yin 神音
'shen'zhao'shang'ren 神照上人
'shen'zhi'fan 申志凡
'sheng'yin'shi'tai 圣因师太
'shi'bi'zi 狮鼻子
'shi'biao'tou 史镖头
'shi'bing'guang 史秉光
'shi'bing'wen 史秉文
'shi'bo'wei 史伯威
'shi'dai'zi 施戴子
'shi'deng'da 史登达
'shi'hong'shi 史红石
'shi'huo'long 史火龙
'shi'ji'qiang 史季强
'shi'jian 侍剑
'shi'jun 石骏
'shi'lang 施琅
'shi'li 室里
'shi'ling'wei 施令威
'shi'meng'long 史孟龙
'shi'po'tian 石破天
'shi'qing 石清
'shi'qing'lu 石清露
'shi'sao 石嫂
'shi'shu'gang 史叔刚
'shi'shuang'ying 石双英
'shi'song 史松
'shi'wan'chen 石万嗔
'shi'xiao'cui 史小翠
'shi'zhong'jun 史仲俊
'shi'zhong'meng 史仲猛
'shi'zhong'yu 石中玉
'shou'bei 守备
'shou'gai 瘦丐
'shou'nan'shan 寿南山
'shou'shang'ren 瘦商人
'shou'tou'tuo 瘦头陀
'shu'chi 术赤
'shu'hua'long 舒化龙
'shu'ji 书记
'shu'jian'en'chou'lu 书剑恩仇录
'shu'qi 舒奇
'shu'sheng 书生
'shu'tong 书僮
'shuang'er 双儿
'shui'dai 水岱
'shui'fu 水福
'shui'jian 水鉴
'shui'sheng 水笙
'shui'yun'dao'ren 水云道人
'shuo'bu'de 说不得
'si'kong'xuan 司空玄
'si'ma'da 司马大
'si'ma'lin 司马林
'si'tu'bo'lei 司徒伯雷
'si'tu'he 司徒鹤
'si'tu'heng 司徒横
'si'tu'lei 司徒雷
'si'tu'qian'zhong 司徒千钟
'song'de'fang 宋德方
'song'qing'shu 宋青书
'song'shan'peng 宋善朋
'song'tian'bao 宋天保
'song'wu 宋五
'song'xian'ce 宋献策
'song'yuan'qiao 宋远桥
'song'zhang'lao 宋长老
'su'fei'ya 苏菲亚
'su'gang 苏冈
'su'lu'ke 苏鲁克
'su'meng'qing 苏梦清
'su'pu 苏普
'su'quan 苏荃
'su'xi'zhi 苏习之
'su'xing'he 苏星河
'su'zhe 苏辙
'suan'ru'wen'ren 酸儒文人
'sun'bu'er 孙不二
'sun'da'shan 孙大善
'sun'fu'hu 孙伏虎
'sun'gang'feng 孙刚峰
'sun'jun 孙均
'sun'ke'tong 孙克通
'sun'lao'san 孙老三
'sun'po'po 孙婆婆
'sun'san'hui 孙三毁
'sun'si'ke 孙思克
'sun'wan'nian 孙万年
'sun'zhong'shou 孙仲寿
'sun'zhong'yin 孙仲尹
'suo'e'tu 索额图
'tai'huang'tai'hou 太皇太后
'tai'xu'zi 太虚子
'tan'chu'duan 谭处端
'tan'di'ren 谭迪人
'tan'gong 谭公
'tan'po 谭婆
'tan'qing 谭青
'tan'tian'cheng 覃天丞
'tan'wen'li 谭文理
'tang'guang'xiong 唐光雄
'tang'he 汤和
'tang'liu'ye 唐六爷
'tang'pei 汤沛
'tang'ruo'wang 汤若望
'tang'wen'liang 唐文亮
'tang'yang 唐洋
'tang'zu'de 汤祖德
'tao'bai'sui 陶百岁
'tao'gan'xian 桃干仙
'tao'gen'xian 桃根仙
'tao'hong 桃红
'tao'hong'ying 陶红英
'tao'hua'xian 桃花仙
'tao'jun 陶钧
'tao'shi'fu 陶师傅
'tao'shi'xian 桃实仙
'tao'ye'xian 桃叶仙
'tao'zhai'gui 讨债鬼
'tao'zhi'xian 桃枝仙
'tao'zi'an 陶子安
'teng'yi'lei 腾一雷
'tian'bo'guang 田伯光
'tian'gui'nong 田归农
'tian'hong'chan'shi 天虹禅师
'tian'jian'xiu 田见秀
'tian'jing 天镜
'tian'lang'zi 天狼子
'tian'long'ba'bu 天龙八部
'tian'men'dao'ren 天门道人
'tian'ming'fang'zhang 天鸣方丈
'tian'qing'wen 田青文
'tian'shan'tong'lao 天山童姥
'tian'song'dao'ren 天松道人
'tian'xu 天虚
'tian'yi'dao'ren 天乙道人
'tian'zhu'seng 天竺僧
'tian'zhu'seng'ren 天竺僧人
'tie'jiang 铁匠
'tie'mu'zhen 铁木真
'tong'bai'xiong 童百熊
'tong'da'hai 童大海
