'bai'lang'san'zhi'fang 摆浪散帙妨
'bai'li'du'cang'cang 百里独苍苍
'bai'li'feng'chen'hun 百里风尘昏
'bai'li'jian'ji'xue 百里见积雪
'bai'li'jian'qiu'hao 百里见秋毫
'bai'ling'wei'gan'san 百灵未敢散
'bai'lu'bai'lu'tuan'gan'zi 白露白露团甘子
'bai'lu'huang'liang'shu 白露黄粱熟
'bai'lu'qun'fei'da'ju'gan 白鹭群飞大剧干
'bai'lu'shui'neng'shu 白露谁能数
'bai'luo'ba'she'ju 摆落跋涉惧
'bai'luo'duo'cang'hui 摆落多藏秽
'bai'luo'xian'yi'jiu 摆落嫌疑久
'bai'lv'shi'an'wei 百虑视安危
'bai'ma'bai'ma'dong'bei'lai 白马白马东北来
'bai'ma'chu'jiang'cheng 白马出江城
'bai'ma'cu'wei'xue 白马蹴微雪
'bai'ma'jiang'han'shu'ying'xi 白马江寒树影稀
'bai'ma'jiang'jun'ruo'lei'dian 白马将军若雷电
'bai'ma'jiao'nie'huang'jin'le 白马嚼啮黄金勒
'bai'ma'jin'pan'tuo 白马金盘陀
'bai'ma'que'zou'shen'yan'ju 白马却走身岩居
'bai'ma'si'shan'gu 百马死山谷
'bai'ma'wei'tie'li 白马为铁骊
'bai'ma'xiu'heng'xing 白马休横行
'bai'mao'hai'ying'si'guan'ning 白帽还应似管宁
'bai'ming'yi'ting'shen 拜命已挺身
'bai'nian'bu'gan'liao 百年不敢料
'bai'nian'chui'si'zhong'xing'shi 百年垂死中兴时
'bai'nian'cong'wan'shi 百年从万事
'bai'nian'cu'li'fu'ru'can 百年粗粝腐儒餐
'bai'nian'di'pi'chai'men'jiong 百年地辟柴门迥
'bai'nian'duo'bing'du'deng'tai 百年多病独登台
'bai'nian'fu'ming'ding 百年赋命定
'bai'nian'ge'zi'ku 百年歌自苦
'bai'nian'hun'de'zui 百年浑得醉
'bai'nian'jian'cun'mo 百年见存殁
'bai'nian'jie'yi'ban 百年嗟已半
'bai'nian'neng'ji'he 百年能几何
'bai'nian'shi'shi'bu'sheng'bei 百年世事不胜悲
'bai'nian'shuang'bai'bin 百年双白鬓
'bai'nian'si'shu'zhong'qin'se 百年死树中琴瑟
'bai'nian'tong'qi'wu 百年同弃物
'bai'nian'wei'jian'huan'yu'bi 百年未见欢娱毕
'bai'niao'bu'gan'chen 百鸟不敢嗔
'bai'niao'ge'xiang'ming 百鸟各相命
'bai'niao'qu'bian'ming 白鸟去边明
