'jun'yi'bao'can'jun 俊逸鲍参军
'jun'yi'feng'tu'jiu 郡依封土旧
'jun'yi'fu'tu'jing 君已富土境
'jun'yi'ren'mo'zhi 君意人莫知
'jun'yi'shi'ying'ting 俊乂始盈庭
'jun'you'chang'cai'bu'pin'jian 君有长才不贫贱
'jun'zhi'de'qin'yin 峻址得嶔崟
'jun'zhi'tian'di'gan'ge'man 君知天地干戈满
'jun'zhong'chui'yu'sheng 军中吹玉笙
'jun'zhong'yi'ku'le 军中异苦乐
'jun'zhou'ti'bu'yi 军州体不一
'jun'zi'qiang'wei'yi 君子强逶迤
'jun'zi'shen'zhi'zu 君子慎止足
'jun'zi'yi'ru'he 君子意如何
'kai'bi'wan'guo'fu 慨彼万国夫
'kai'bian'yi'he'duo 开边一何多
'kai'bing'qing'yu'hu 开冰清玉壶
'kai'che'ri'li'pi 开坼日离披
'kai'fan'ba'yue'zhou 开帆八月舟
'kai'fan'jia'hong'tao 开帆驾洪涛
'kai'fu'dang'chao'jie 开府当朝杰
'kai'ge'xuan'fou'zang 凯歌悬否臧
'kai'hua'wu'shu'huang'jin'qian 开花无数黄金钱
'kai'huai'wei'ku'gao 开怀慰枯槁
'kai'huai'wu'kui'ci 开怀无愧辞
'kai'jian'feng'tao'yong 开缄风涛涌
'kai'jian'shu'zha'guang 开缄书札光
'kai'jin'qu'zhang'li 开襟驱瘴疠
'kai'jin'yang'nei'di 开襟仰内弟
'kai'jin'ye'tang'huo 开襟野堂豁
'kai'juan'de'jia'ju 开卷得佳句
'kai'kou'qu'jiang'xiang 开口取将相
'kai'kou'yong'feng'huang 开口咏凤凰
'kai'lin'chu'yuan'shan 开林出远山
'kai'men'ye'shu'zou 开门野鼠走
'kai'pi'duo'tian'xian 开辟多天险
'kai'pi'qian'kun'zheng 开辟乾坤正
'kai'qu'duan'zhu'gen 开渠断竹根
'kai'shi'hua'wei'xue 开视化为血
'kai'tong'jin'zhi'zun 开筒近至尊
'kai'xiang'du'hei'qiu 开箱睹黑裘
'kai'xin'he'gu'zhi'he'xu 开新合故置何许
'kai'xuan'na'wei'liang 开轩纳微凉
'kai'yan'de'lv'gong 开筵得屡供
'kai'yan'fu'gao'liu 开筵俯高柳
'kai'yan'jin'niao'chao 开筵近鸟巢
'kai'yan'qi'ting'zhao 开颜憩亭沼
'kai'yan'shang'ri'si'fang'cao 开筵上日思芳草
'kai'yan'xi'ming'xian 开颜喜名贤
'kai'yuan'jin'shou'zhang 开元锦兽张
'kai'yuan'yi'lai'shu'ba'fen 开元已来数八分
'kai'yuan'zhi'zhong'chang'yin'jian 开元之中常引见
'kai'zhou'ru'xia'zhi'liang'leng 开州入夏知凉冷
'kai'zun'du'zhuo'chi 开樽独酌迟
'kan'ci'rong'ma'luan 看此戎马乱
'kan'hua'ceng'ji'ke 看画曾饥渴
'kan'hua'sui'jie'xu 看花随节序
'kan'jian'yin'bei'chang 看剑引杯长
'kan'jun'bei'you'gu 槛峻背幽谷
'kan'jun'duo'dao'qi 看君多道气
'kan'jun'hua'wang'shi 看君话王室
'kan'jun'miao'wei'zheng 看君妙为政
'kan'jun'yi'zhu'wang'qiao'lv 看君宜著王乔履
'kan'jun'yong'gao'yi 看君用高义
'kan'jun'yong'you'yi 看君用幽意
'kan'ke'ci'xia'du 轗轲辞下杜
'kan'liu'wei'jie'che 堪留卫玠车
'kan'nong'yu'zhou'yi'bai'ri 看弄渔舟移白日
'kan'ou'zuo'bu'ci 看鸥坐不辞
'kan'qu'bei'lai'yu 看取北来鱼
'kan'shan'yang'bai'tou 看山仰白头
'kan'she'meng'hu'zhong'can'nian 看射猛虎终残年
'kan'shu'ai'yuan'jiao 槛束哀猿叫
'kan'song'lu'di'shen 看松露滴身
'kan'ti'jian'yao'nang 看题减药囊
'kan'wo'xing'rong'yi'ku'gao 看我形容已枯槁
'kan'yun'ku'jiu'yi 看云哭九疑
'kan'yun'mo'chang'wang 看云莫怅望
'kang'he'dui'tong'ru 糠籺对童孺
'kang'kai'si'zhen'zuo 慷慨嗣真作
'kang'kai'you'yu'bei 慷慨有馀悲
'kang'yang'cheng'qiu're 亢阳乘秋热
'ke'ai'shen'hong'ai'qian'hong 可爱深红爱浅红
'ke'bing'liu'yin'yao 客病留因药
'ke'bo'ji'zhui'dao 刻剥及锥刀
'ke'chou'lian'xi'shuai 客愁连蟋蟀
'ke'chou'na'ting'ci 客愁那听此
'ke'chou'quan'wei'jian 客愁全为减
'ke'chou'shu'wei'yi 客愁殊未已
'ke'cong'he'xiang'lai 客从何乡来
'ke'cong'ke'cong'nan'ming'lai 客从客从南溟来
'ke'dui'xue'shan'gu 客对雪山孤
'ke'fu'cheng'ru'ci 克复成如此
'ke'hen'lin'li'jian 可恨邻里间
'ke'hua'cheng'guo'zhuang 刻画城郭状
'ke'hua'jing'shui'chuan 刻画竟谁传
'ke'jia'he'miao'nian 克家何妙年
'ke'jian'tou'zui'bai 客间头最白
'ke'ju'an'ke'wang 客居安可忘
'ke'ju'ke'ju'suo'ju'tang 客居客居所居堂
'ke'ju'ke'nu'pu 客居课奴仆
'ke'ju'kui'qian'ci 客居愧迁次
'ke'ju'zan'feng'zhi 客居暂封殖
'ke'lai'xi'fen'dai 客来洗粉黛
'ke'lei'beng'lin'sou 客泪迸林薮
'ke'lei'duo'qing'jia 客泪堕清笳
'ke'li'rong'shu'fang 客礼容疏放
'ke'lian'bin'ke'jin'qing'gai 可怜宾客尽倾盖
'ke'lian'chu'chu'chao'jun'shi 可怜处处巢君室
'ke'lian'hou'zhu'hai'ci'miao 可怜后主还祠庙
'ke'lian'huai'bao'xiang'ren'jin 可怜怀抱向人尽
'ke'lian'jiu'ma'zheng'shen'jun 可怜九马争神骏
'ke'lian'ma'shang'lang 可怜马上郎
'ke'lian'wang'sun'qi'lu'yu 可怜王孙泣路隅
'ke'lian'wei'ren'hao'xin'shi 可怜为人好心事
'ke'lian'xian'bu'yi'zhi'man 可怜先不异枝蔓
'ke'lian'zhong'yu'xiao 可怜忠与孝
'ke'ming'tian'shan'shi 刻铭天山石
'ke'ni'wei'zhi'zui'yi'de 刻泥为之最易得
'ke'nian'ci'weng'huai'zhi'dao 可念此翁怀直道
'ke'nu'sha'qing'zhu 课奴杀青竹
'ke'pa'li'jin'wu 可怕李金吾
'ke'qing'tou'yi'xian 客情投异县
'ke'qu'yi'bu'xi 客去亦不息
'ke'ren'xing'shi'yu'da'xi 可忍醒时雨打稀
'ke'ri'jue'bi'chu 渴日绝壁出
'ke'ru'qing'tong'gen'ru'shi 柯如青铜根如石
'ke'san'ceng'cheng'mu 客散层城暮
'ke'san'niao'hai'lai 客散鸟还来
'ke'she'yu'lian'shan 客舍雨连山
'ke'shen'feng'gu'jiu 客身逢故旧
'ke'shi'li'zuo'san'xi'niu 刻石立作三犀牛
'ke'shi'ying'wu'ju 可使营吾居
'ke'tang'xu'jie'gai 客堂序节改
'ke'tang'yi'zuo'li'shao'cheng 客堂忆昨离少城
'ke'ting'an'ma'jue 客亭鞍马绝
'ke'ting'qiu'chuang'you'shu'se 客亭秋窗犹曙色
'ke'wang'bu'ke'pan 可望不可攀
'ke'wei'dan'ji'zhou 客位但箕帚
'ke'xi'chun'guang'bu'xiang'jian 可惜春光不相见
'ke'xi'hua'fei'you'di'ji 可惜花飞有底急
'ke'xi'huan'yu'di 可惜欢娱地
'ke'xi'ke'lou'sui'geng'jian 可惜刻漏随更箭
'ke'xian'gao'xuan'yi 渴贤高选宜
'ke'xing'kong'ban'shi 客星空伴使
'ke'xing'sui'wan'wan'xiang'cui 客行岁晚晚相催
'ke'ye'ke'shui'he'ceng'zhu 客夜客睡何曾著
'ke'yi'bao'huang'tian 可以报皇天
'ke'yi'chang'dong'bei 客意长东北
'ke'yi'dai'bu'mao 可以贷不毛
'ke'yi'fu'xin'shi 可以赋新诗
'ke'yi'shu'gao'shan 可以树高栅
'ke'yi'wu'li'tui 可以物理推
'ke'yi'yi'jing'qiu 客意已惊秋
'ke'yi'yi'mu'zhi 可以一木支
'ke'yin'han'quan'feng'di'chu 渴饮寒泉逢牴触
'ke'you'sui'yun'jiu 客游虽云久
'ke'yu'chun'feng'gui 可与春风归
'ke'yun'chong'jun'ru 客云充君褥
'ke'ze'gua'guan'zhi 客则挂冠至
'ke'zhao'zhuo'shui'yuan 可照浊水源
'ke'zhi'ba'qin'shu 客至罢琴书
'ke'zhi'cong'chen'bu'chu'ying 客至从嗔不出迎
'ke'zhi'ji'dou'zheng 客至鸡斗争
'ke'zhi'yu'ru'he 客至欲如何
'ke'zi'dou'shen'qiang 客子斗身强
'ke'zi'nian'gu'zhai 客子念故宅
'ke'zi'ru'men'yue'jiao'jiao 客子入门月皎皎
'ke'zi'zhong'ye'fa 客子中夜发
'ke'zui'hui'jin'wan 客醉挥金碗
'ken'bie'ding'liu'ren 肯别定留人
'ken'fang'huan'hua'lao'weng'wu 肯访浣花老翁无
'ken'jian'liu'kuang'ding 恳谏留匡鼎
'ken'lai'xun'yi'lao 肯来寻一老
'ken'lv'bai'deng'wei 肯虑白登围
'ken'shi'qi'lin'di'shang'xing 肯使骐驎地上行
'ken'xiao'jin'jia'shi'chun'nong 肯销金甲事春农
'ken'xin'wu'jian'li'yin'ming 肯信吾兼吏隐名
'ken'yu'lin'weng'xiang'dui'yin 肯与邻翁相对饮
'ken'zhong'kuan'chai'fei 肯重款柴扉
'ken'zuo'zhi'shu'you 肯作置书邮
'kong'an'guan'shuang'jian 空鞍贯双箭
'kong'bei'qing'ye'cu 空悲清夜徂
'kong'bi'xi'wei'men 恐避席为门
'kong'can'jiu'su'zhi 空残旧宿枝
'kong'can'yuan'lu'xing 空惭鸳鹭行
'kong'cheng'bai'ri'chang 空城白日长
'kong'cheng'cao'man'ba'xi'lv 空城草满巴西绿
'kong'chou'bi'jiu'nan 空愁避酒难
'kong'chu'tian'zhu'zhe 恐触天柱折
'kong'chuang'nan'an'tou 空床难暗投
'kong'ci'fu'ou'ran 恐此复偶然
'kong'cui'pu'ji'fu 空翠扑肌肤
'kong'cui'quan'ma'nian 空催犬马年
'kong'cui'wang'chi'xiao 孔翠望赤霄
'kong'cun'hu'bao'zheng 空村虎豹争
'kong'cun'wei'jian'niao 空村惟见鸟
'kong'dai'mang'you'you 控带莽悠悠
'kong'fan'xie'ma'an 空烦卸马鞍
'kong'fang'ke'yu'ju 空房客寓居
'kong'fei'ping'sheng'hun 恐非平生魂
'kong'gu'ming'zhu'en 恐辜明主恩
'kong'gu'zhi'si'ren 空谷滞斯人
'kong'guai'jun'fu'lian 恐乖均赋敛
'kong'huang'pao'xiong'pi 空荒咆熊罴
'kong'ju'cong'ci'shu 恐惧从此数
'kong'ju'lu'wei'gao 恐惧禄位高
'kong'ju'qi'juan'ren'ji'lv 恐惧弃捐忍羁旅
'kong'ju'xing'zhuang'shu 恐惧行装数
'kong'jue'zai'tian'bian 空觉在天边
'kong'jun'you'yi'shi 恐君有遗失
'kong'kan'guo'ke'lei 空看过客泪
'kong'li'chou'shu'zi 空里愁书字
'kong'liang'cu'hua'ji 空梁簇画戟
'kong'lin'mu'jing'xuan 空林暮景悬
'kong'ling'xia'shi'jun 空灵霞石峻
'kong'ling'ye'ying'meng'shi'bei 空令野营猛士悲
'kong'liu'yi'yuan'yin 空留一院阴
'kong'liu'yu'zhang'shu 空留玉帐术
'kong'men'wei'ying'qi 孔门未应弃
'kong'meng'bian'yu'ting 空蒙辨鱼艇
'kong'ming'duo'gu'shi 孔明多故事
'kong'ming'you'zhi'yin 孔明有知音
'kong'nang'cui'bai'ku'you'shi 空囊翠柏苦犹食
'kong'ni'cuan'jiao'long 恐泥窜蛟龙
'kong'ni'lao'cun'xin 恐泥劳寸心
'kong'nian'yu'gong'qin 空念禹功勤
'kong'qiang'bi'shui'chun 空墙碧水春
'kong'qiu'dao'zhi'ju'chen'ai 孔丘盗跖俱尘埃
'kong'qu'yin'yang'tai 空曲隐阳台
'kong'que'wei'zhi'niu'you'jiao 孔雀未知牛有角
'kong'que'xu'kai'shan'ying'hai 孔雀徐开扇影还
'kong'ran'xi'bie'li 空然惜别离
'kong'ru'hou'shi'nan'du'li 恐汝后时难独立
'kong'shan'cao'mu'chang 空山草木长
'kong'shan'du'ye'lv'hun'jing 空山独夜旅魂惊
'kong'shan'li'gui'shen 空山立鬼神
'kong'shan'lou'ge'mu'chun'guang 空山楼阁暮春光
'kong'shan'wu'yi'wei'you'du 空山无以慰幽独
'kong'shan'zhong'xiao'yin 空山中宵阴
'kong'shi'dong'ren'wang 恐失东人望
'kong'shi'han'dai'han'zhang'liang 恐是汉代韩张良
'kong'shi'han'jing'qi 恐湿汉旌旗
'kong'shi'huo'piao'yao 恐是霍嫖姚
'kong'shi'jia'qi'hou'ming'cui 恐失佳期后命催
'kong'shi'pan'an'xian 恐是潘安县
'kong'shi'xi'shi'qing'xiang'mu 恐是昔时卿相墓
'kong'tang'chi'mei'zou 空堂魑魅走
'kong'tian'xu'xun'bei 空忝许询辈
'kong'tong'di'wu'zhou 崆峒地无轴
'kong'tong'sha'qi'hei 崆峒杀气黑
'kong'tong'wu'yuan'yi'wu'shi 崆峒五原亦无事
'kong'tong'xi'ji'guo'kun'lun 崆峒西极过昆仑
'kong'tong'zu'kai'ge 崆峒足凯歌
'kong'wei'suo'shang'huai 空慰所尚怀
'kong'wen'er'miao'gui 空闻二妙归
'kong'wen'yan'que'xuan 空闻燕雀喧
'kong'wen'zi'zhi'ge 空闻紫芝歌
'kong'xi'mai'ni'zi 空惜埋泥滓
'kong'xia'ye'duo'wen 空峡夜多闻
'kong'yi'shi'zhe'chi 恐贻识者嗤
'kong'you'lu'men'qi 空有鹿门期
'kong'you'wu'mu'chu 恐有无母雏
'kong'yu'chuan'jin'liu 恐与川浸溜
'kong'yu'jian'fo'zun 空馀见佛尊
'kong'yu'jin'wan'chu 空馀金碗出
'kong'yu'lao'bin'ke 空馀老宾客
'kong'yu'mei'sou'zai 空馀枚叟在
'kong'yu'qi'ju'ying 空馀泣聚萤
'kong'yu'qi'liang'zuo'hou'chen 恐与齐梁作后尘
'kong'yu'sui'wei'zai 空馀繐帷在
'kong'zhan'wu'que'mao 空瞻乌鹊毛
'kong'zhi'dao'liang'nan 恐致稻粱难
'kong'zhi'mai'jiu'lu 空知卖酒垆
'kong'zhong'you'bai'hu 空中右白虎
'kong'zi'shi'shi'qin'bao'song 孔子释氏亲抱送
'kong'zui'shan'weng'jiu 空醉山翁酒
'kong'zuo'qiong'du'sou 恐作穷独叟
'kou'dao'fang'gui'shun 寇盗方归顺
'kou'dao'fu'ji'xu 寇盗复几许
'kou'dao'kuang'ge'wai 寇盗狂歌外
'kou'dao'shang'ping'ling 寇盗尚凭陵
'kou'gan'chui'xue'zhuan'po'cu 口干垂血转迫促
'kou'ji'huo'fan'jin 扣寂豁烦襟
'kou'ma'jiu'shang'chen 扣马久上陈
'kou'ru'ai'yu'jin'cheng'chuan 扣如哀玉锦城传
'kou'sui'yin'yong'xin'zhong'ai 口虽吟咏心中哀
'kou'zhi'mian'yao'sui'en'ze 口脂面药随恩泽
'ku'cha'juan'ba'shu 枯查卷拔树
'ku'ci'jiu'wei'bao 苦辞酒味薄
'ku'dao'ci'wu'guo 苦道此物聒
'ku'dao'lai'bu'yi 苦道来不易
'ku'diao'duan'chang'yin 苦调短长吟
'ku'fa'da'yao'zi 苦乏大药资
'ku'han'yu'qi'zhong 枯旱于其中
'ku'han'zeng'wo'qing'gao'qiu 苦寒赠我青羔裘
'ku'hen'er'duo'long 苦恨耳多聋
'ku'ji'shi'de'shi'yi'chong 苦饥始得食一虫
'ku'jian'chen'sha'huang 苦见尘沙黄
'ku'jian'dong'nei'bu'zu'chi 酷见冻馁不足耻
'ku'ju'ci'ru'zhen 苦苣刺如针
'ku'jun'yu'bai'tou 哭君余白头
'ku'miao'bei'feng'ji 哭庙悲风急
'ku'miao'hui'jin'zhong 哭庙灰烬中
'ku'mu'ban'long'lin 枯木半龙鳞
'ku'nan'pian'nan'ku'zheng'rong 枯楠楩楠枯峥嵘
'ku'sheng'zhi'shang'gan'yun'xiao 哭声直上干云霄
'ku'xian'guang'he'shang'gu'li 苦县光和尚骨立
'ku'xin'qi'mian'rong'lou'yi 苦心岂免容蝼蚁
'ku'ya'wan'zhang'nei 窟压万丈内
'ku'yan'shi'yu'xing 苦厌食鱼腥
'ku'yao'qiu'shi'wei 苦摇求食尾
'ku'you'bai'yun'chang 哭友白云长
'ku'yun'zhi'gan'jin 苦云直簳尽
'ku'zao'bai'fa'bu'xiang'fang 苦遭白发不相放
'ku'zhi'yin'ling'hu 苦陟阴岭沍
'ku'zhu'qing'ming'yi'zi'shou 苦竹青冥亦自守
'ku'zong'shu'men'duo'zong'lv 枯棕蜀门多棕榈
'kua'ma'chu'jiao'shi'ji'mu 跨马出郊时极目
'kuai'du'wei'peng'hao 块独委蓬蒿
'kuai'fei'jin'pan'bai'xue'gao 脍飞金盘白雪高
'kuai'jian'chang'ji'sen'xiang'xiang 快剑长戟森相向
'kuai'ma'jin'chan'pei 快马金缠辔
'kuai'yi'ba'jiu'nian 快意八九年
'kuai'yi'feng'yu'hui 快意风雨会
'kuai'yi'gui'mu'qian 快意贵目前
'kuan'kuan'hua'gui'qin 款款话归秦
'kuan'meng'xing'suo'jiang 宽猛性所将
'kuan'qu'dong'mi'xun 款曲动弥旬
'kuan'rong'cun'xing'zhuo 宽容存性拙
'kuan'xin'ying'shi'jiu 宽心应是酒
'kuang'chao'xiao'zhuan'bi'qin'xiang 况潮小篆逼秦相
'kuang'chuang'zhu'huo'lu 匡床竹火炉
'kuang'dang'zhong'dong'jiao 况当仲冬交
'kuang'dang'zhu'yan'he 况当朱炎赫
'kuang'de'zhong'qing'yan 况得终清宴
'kuang'feng'da'fang'dian 狂风大放颠
'kuang'feng'wan'duan'zui'chang'tiao 狂风挽断最长条
'kuang'fu'chuan'zong'jin 况复传宗近
'kuang'fu'fan'cu'juan 况复烦促倦
'kuang'fu'jing'zhou'shang'geng'xin 况复荆州赏更新
'kuang'fu'qin'bing'nai'ku'zhan 况复秦兵耐苦战
'kuang'ge'guo'yu'sheng 狂歌过于胜
'kuang'ge'tuo'sheng'chao 狂歌托圣朝
'kuang'heng'chang'yin'jing 匡衡常引经
'kuang'heng'kang'shu'gong'ming'bao 匡衡抗疏功名薄
'kuang'huai'ci'da'chen 况怀辞大臣
'kuang'huai'sao'fen'yi 旷怀扫氛翳
'kuang'ji'e'chong'ru 匡汲俄宠辱
'kuang'jian'shui'zei'fan 况兼水贼繁
'kuang'jin'she'xing'da'jiang'quan 况今摄行大将权
'kuang'jing'chang'bie'xin 况经长别心
'kuang'jue'han'xiang'she 旷绝含香舍
'kuang'jue'jing'mu'qu 旷绝经目趣
'kuang'jue'tong'ceng'yin 旷绝同层阴
'kuang'meng'pei'ze'chui 况蒙霈泽垂
'kuang'mian'jun'lv'xuan 况免军旅喧
'kuang'nai'chi'mu'jia'fan'cu 况乃迟暮加烦促
'kuang'nai'fen'dai'jia 况乃粉黛假
'kuang'nai'hu'wei'mie 况乃胡未灭
'kuang'nai'huai'jiu'qiu 况乃怀旧丘
'kuang'nai'huai'jiu'xiang 况乃怀旧乡
'kuang'nai'hui'feng'chui 况乃回风吹
'kuang'nai'jin'zhao'geng'fu'chu 况乃今朝更祓除
'kuang'nai'jiu'feng'chen 况乃久风尘
'kuang'nai'lu'hua'ning 况乃露华凝
'kuang'nai'qi'jing'shuang 况乃气精爽
'kuang'nai'qing'ye'qi 况乃清夜起
'kuang'nai'qiu'hou'zhuan'duo'ying 况乃秋后转多蝇
'kuang'nai'shan'gao'shui'you'bo 况乃山高水有波
'kuang'nai'shu'wan'lin'shi'zhuo 况乃疏顽临事拙
'kuang'nai'wang'shi'shun 况乃王师顺
'kuang'nai'wei'xiu'bing 况乃未休兵
'kuang'nai'zhu'ke'jian 况乃主客间
'kuang'nan'zhu'xi'he 况难驻羲和
'kuang'shan'du'shu'chu 匡山读书处
'kuang'shi'bie'yu'yu 况是鳖与鱼
'kuang'wang'wo'wa'dao 旷望渥洼道
'kuang'wang'yan'zhu'mu 旷望延驻目
'kuang'wen'chu'chu'yu'nan'nv 况闻处处鬻男女
'kuang'wen'nei'jin'pan 况闻内金盘
'kuang'wen'shan'shui'you 况闻山水幽
'kuang'wo'duo'hu'chen 况我堕胡尘
'kuang'wo'ji'yu'ren 况我饥愚人
'kuang'wo'piao'zhuan'wu'ding'suo 况我飘转无定所
'kuang'wo'yu'zi'fei'zhuang'nian 况我与子非壮年
'kuang'ye'hao'qin'shou 旷野号禽兽
'kuang'ye'huai'zhi'chi 旷野怀咫尺
'kuang'yi'bai'jie 狂遗白接
'kuang'yi'jiu'ru'mian 况挹酒如渑
'kuang'yin'ling'jie'qiu 况因令节求
'kuang'you'di'zi'chuan'fen'fang 况有弟子传芬芳
'kuang'yuan'yan'ming'sou 旷原延冥搜
'kuang'zai'di'yu'rong 况在狄与戎
'kuang'zi'ling'qian'zu 况资菱芡足
'kuang'zi'yi'gao'wei 况子已高位
'kuang'zou'zhong'xi'shi 狂走终奚适
'kuang'zu'cai'bai'pin 况足采白蘋
'kui'fei'ting'sheng'cai 愧匪挺生材
'kui'fu'gu'cheng'luo'ri'xie 夔府孤城落日斜
'kui'huang'yu'zi'chu 葵荒欲自锄
'kui'huo'qing'tai'yang 葵藿倾太阳
'kui'ke'ru'li'geng 愧客茹藜羹
'kui'le'dian'you'ji 夔乐典犹稽
'kui'long'lang'miao'zhen 夔龙廊庙珍
'kui'si'xiang'ru'wei'dai'fu 愧似相如为大夫
'kui'wu'bing'zhe'zun 魁梧秉哲尊
'kui'zhou'xian'guo'bai'lao'guan 夔州险过百牢关
'kui'zi'fei'chu'lai 愧子废锄来
'kun'ji'hao'wang'zhu 鹍鸡号枉渚
'kun'jing'pen'tiao'di 鲲鲸喷迢递
'kun'lun'kong'tong'dian 昆仑崆峒颠
'kun'lun'tian'guan'dong'ying'zhe 昆仑天关冻应折
'kun'lun'wan'guo'xi 昆仑万国西
'kun'lun'yu'quan'ru'ma'ti 昆仑虞泉入马蹄
'kun'lun'yue'ku'dong'zhan'yan 昆仑月窟东崭岩
'kun'ming'chi'shui'han'shi'gong 昆明池水汉时功
'kun'shan'sheng'feng'huang 昆山生凤凰
'kun'wu'yu'su'zi'wei'yi 昆吾御宿自逶迤
'kun'xue'wei'cong'zhong 困学违从众
'kun'yu'yu'you'shen 困鱼鱼有神
'kuo'hui'cang'hai'chao 阔会沧海潮
'la'jin'yi'han'chun 腊近已含春
'la'po'si'duan'qi 腊破思端绮
'la'ri'ba'jiang'qu 腊日巴江曲
'la'yue'geng'xu'zai 腊月更须栽
'lai'ba'ju'hua'zhi 来把菊花枝
'lai'chan'feng'biao'ji 来缠风飙急
'lai'chao'da'jiang'xi 来朝大将稀
'lai'er'gan'fu'ying 赖尔甘服膺
'lai'jing'zhan'fa'xin 来经战伐新
'lai'kan'dao'lu'tong 来看道路通
'lai'ru'lei'ting'shou'zhen'nu 来如雷霆收震怒
'lai'shi'bei'zao'chun 来时悲早春
'lai'shi'dao'lu'chang 来时道路长
'lai'shu'xi'zuo'xing 来书细作行
'lai'shu'yu'jue'miao 来书语绝妙
'lai'sui'hai'shu'man'yan'hua 来岁还舒满眼花
'lai'sui'ru'jin'gui'wei'gui 来岁如今归未归
'lai'tian'ci'zi'jin 来瑱赐自尽
'lai'wang'jie'mao'wu 来往皆茅屋
'lai'wang'ruo'beng'bo 来往若崩波
'lai'wang'yi'feng'liu 来往亦风流
'lai'wang'yi'wu'qi 来往亦无期
'lai'wei'fu'jia'shu 来为附家书
'lai'wen'er'dong'jia 来问尔东家
'lai'yin'xiao'you'pian 来因孝友偏
'lai'you'bei'zhong'wu 赖有杯中物
'lai'you'ci'di'bu'zhi'hai 来游此地不知还
'lai'you'su'si'ye 赖有苏司业
'lai'zan'yu'fu'bi 来簪御府笔
'lai'zhi'he'shu'shou 赖知禾黍收
'lai'zi'wo'wa'chi 来自渥洼池
'lan'bi'niao'cai'tong 岚壁鸟才通
'lan'chao'zhen'yu'shi'xiang'wei 懒朝真与世相违
'lan'chuan'ku'feng 缆船苦风
'lan'cui'bai'lu'xia 兰摧白露下
'lan'duo'wu'xin'zuo'jie'chao 懒惰无心作解嘲
'lan'feng'chang'yu'qiu'fen'fen 阑风长雨秋纷纷
'lan'gan'shang'chu'yuan 阑干上处远
'lan'huan'jie'pei'xiang'zhong'shi 揽环结佩相终始
'lan'hui'bian'pei'cheng'gao'yan 懒回鞭辔成高宴
'lan'ji'que'qu'qu 懒计却区区
'lan'man'dao'fang'zun 烂漫倒芳尊
'lan'man'ren'yuan'shi 烂熳任远适
'lan'man'tong'jing'shu 烂漫通经术
'lan'man'tou'shi'zhi 懒慢头时栉
'lan'man'wei'yun'yu 烂熳为云雨
'lan'man'wu'kan'bu'chu'cun 懒慢无堪不出村
'lan'pei'fu'san'tan 揽辔复三叹
'lan'qie'shang'ge'ting 滥窃商歌听
'lan'qin'di'liu'xi 缆侵堤柳系
'lan'shui'yuan'cong'qian'jian'luo 蓝水远从千涧落
'lan'tian'mo'zhi'liu 蓝田莫滞留
'lan'tian'qiu'he'man'han'teng 蓝田丘壑漫寒藤
'lan'wu'tan'shuai'xie 览物叹衰谢
'lan'wu'xiang'gu'guo 览物想故国
'lan'xin'si'jiang'shui 懒心似江水
'lan'xing'cong'lai'shui'zhu'ju 懒性从来水竹居
'lan'zui'shi'sheng'ya 烂醉是生涯
'lang'bei'feng'chen'li 狼狈风尘里
'lang'bei'jiang'han'xing 狼狈江汉行
'lang'bo'chuan'ying'che 浪簸船应坼
'lang'bo'shu'fang'zhen 郎伯殊方镇
'lang'chuan'wu'que'xi 浪传乌鹊喜
'lang'fan'jiang'hei'yu'fei'chu 浪翻江黑雨飞初
'lang'feng'ru'zhe'ji 阆风入辙迹
'lang'feng'xuan'pu'yu'peng'hu 阆风玄圃与蓬壶
'lang'guan'lie'su'ying 郎官列宿应
'lang'guan'wei'wei'rong 郎官未为冗
'lang'guan'xing'bei'yuan 郎官幸备员
'lang'ji'hua'mei'kuo 狼藉画眉阔
'lang'ji'tong'sheng'si 浪迹同生死
'lang'jian'cun'yu'zhi 朗鉴存愚直
'lang'jun'yu'shu'gao 郎君玉树高
'lang'miao'ou'ran'qu 廊庙偶然趋
'lang'tou'ru'ba'hu 狼头如跋胡
'lang'yin'liu'gong'pian 朗吟六公篇
'lang'yong'hua'zhao'su 朗咏划昭苏
'lang'you'jiao'xiao'shu 郎有焦校书
'lang'zhong'sheng'shi'ke'chang'duan 阆中胜事可肠断
'lang'zhou'cheng'bei'yu'tai'bi 阆州城北玉台碧
'lang'zhou'cheng'nan'tian'xia'xi 阆州城南天下稀
'lang'zhou'dong'lou'yan 阆州东楼筵
'lang'zu'fu'sha'mao 浪足浮纱帽
'lang'zuo'qin'tian'hai 浪作禽填海
'lao'ba'xiu'wu'lai 老罢休无赖
'lao'ba'zhi'ming'jing 老罢知明镜
'lao'bing'bu'shi'lu 老病不识路
'lao'bing'ji'ju'shu 老病忌拘束
'lao'bing'ke'shu'fang 老病客殊方
'lao'bing'lao'bing'wu'shan'li 老病老病巫山里
'lao'bing'nan'zheng'ri 老病南征日
'lao'bing'ren'fu'zai'bai'nan 老病人扶再拜难
'lao'bing'yi'cheng'weng 老病已成翁
'lao'bing'you'gu'zhou 老病有孤舟
'lao'chou'nan'jian'fu 老丑难翦拂
'lao'da'bei'shang'wei'fu'yi 老大悲伤未拂衣
'lao'da'yi'zhuan'zhuo 老大意转拙
'lao'fu'bei'mu'nian 老夫悲暮年
'lao'fu'bu'chu'chang'peng'hao 老夫不出长蓬蒿
'lao'fu'bu'zhi'qi'suo'wang 老夫不知其所往
