'a'wei 阿味
'gan'qi'tan 干漆炭
'gan'song 甘松
'gao'ben 藁本
'gao'li'hong'shen 高丽红参
'ge'gen 葛根
'ge'gen'fen 葛根粉
'ge'hua 葛花
'ge'jie 蛤蚧
'ge'jie'da 蛤蚧大
'ge'jie'xiao 蛤蚧小
'ge'ke 蛤壳
'gong'ding'xiang 公丁香
'gong'ju 貢菊
'gong'ju 贡菊
'gong'ju'hua 贡菊花
'gong'lao'ye 功劳叶
'gou'gu'ye 枸骨叶
'gou'qi'zi 枸杞子
'gou'shen 狗肾
'gou'teng 钩藤
'gu'jing'cao 谷精草
'gu'jing'zhu 谷精珠
'gu'sui'bu 骨碎补
'gu'sui'bu'tang 骨碎补烫
'gu'ya 谷芽
'gua'lou'pi 瓜蒌皮
'gua'lou'si 瓜蒌丝
'gua'lou'zi 瓜蒌子
'guan'gui 官桂
'guan'huang'bai 关黄柏
'guan'huang'bai'tan 关黄柏炭
'guan'zhong 贯众
'guang'jin'qian'cao 广金钱草
'guang'zhi'hong'shen 光枝红参
'gui'hua 桂花
'gui'hua'zuo'fei 桂花作废
'gui'jia 龟甲
'gui'jia'jiao 龟甲胶
'gui'jian'chou 鬼见愁
'gui'jian'yu 鬼箭羽
'gui'yuan'nuan'cha 桂圆暖茶
'gui'zhen'cao 鬼针草
'gui'zhi 桂枝
'ha'ma'cao 蛤蟆草
'ha'ma'you 蛤蟆油
'hai'feng'teng 海风藤
'hai'fu'shi 海浮石
'hai'gou 海狗
'hai'gou'shen 海狗肾
'hai'gou'shen'bian 海狗肾鞭
'hai'long 海龙
'hai'piao'xiao 海螵蛸
'hai'tong'pi 海桐皮
'hai'zao 海藻
'han'lian'cao 旱莲草
'han'shui'shi 寒水石
'hang'ju 杭菊
'hang'ju'hua 杭菊花
'he'geng 荷梗
'he'huan'hua 合欢花
'he'huan'pi 合欢皮
'he'shi 鹤虱
'he'tao 核桃
'he'ye 荷叶
'he'ye'tan 荷叶炭
'he'zi'rou 诃子肉
'hei'dou 黑豆
'hei'dou'pi 黑豆皮
'hei'hu'jiao 黑胡椒
'hei'ma'yi 黑蚂蚁
'hei'zhi 黑芝
'hei'zhi'ma 黑芝麻
'hong'dou'kou 红豆蔻
