'a'dou 阿斗
'sen'jiu'bao'xiang'tai'lang 森久保祥太郎
'shan'cheng'xue'yuan'gao'xiao 山城学院高校
'shang'tian'yang'si 上田阳司
'shao'lin'chang'hu'xin'yi'men'quan 少林长护心意门拳
'sheng'long 升龙
'sheng'tian'mu'ren'mei 生天目仁美
'shi'sun'rui'jun'rong 士孙瑞君荣
'shi'zhu'zhao'yan 石住昭彦
'shu'guo 蜀国
'shui'dao'da'zhou 水岛大宙
'shui'jing'xian'sheng 水镜先生
'shui'long'zhi'li 水龙之力
'si'ma'hui'de'cao 司马徽徳操
'si'ma'yi 司马懿
'si'ma'yi'zhong'da 司马懿仲达
'song'gang'you'gui 松冈由贵
'sun'ce'bo'fu 孙策伯符
'sun'jian'wen'tai 孙坚文台
'sun'liu'ba'gua'shui'long'quan 孙流八卦水龙拳
'sun'liu'tan'ma'chui'shi 孙流探马捶式
'sun'liu'tian'zhong'shuang'long'jiao 孙流天中双龙脚
'sun'quan'zhong'mou 孙权仲谋
'tai'shi'ci'zi'yi 太史慈子义
'teng'ben'long'xing 藤本隆行
'teng'cun'bu 藤村步
'tian'di'bai'lang'ji 天地白狼击
'tian'feng'yuan'hao 田丰元皓
'tian'tian'yi'nan 天田益男
'tian'tian'you'xi'zi 天田有希子
'tian'zhong'dun'zi 田中敦子
'tong'kou'zhi'tou 樋口智透
'wan'ren'di 万人敌
'wang'shuang'zi'quan 王双子全
'wang'yun 王允
'wang'yun'zi'shi 王允子师
'wei'guo 魏国
'wei'wu'xue'yuan 威武学园
'wei'yan'wen'chang 魏延文长
'wen'chou 文丑
'wu'guo 吴国
'wu'jun'gao'xiao 吴郡高校
'wu'rong 吴荣
'wu'tian'hua 武田华
'wu'tu'gu 兀突骨
'xi'duo'cun'ying'li 喜多村英梨
'xia'hou'dun'yuan'rang 夏侯惇元让
'xia'hou'en'zi'yun 夏侯恩子云
'xia'hou'yuan'miao'cai 夏侯渊妙才
'xiao'jiang 萧姜
'xiao'lin'you 小林优
'xiao'lin'you'mei'zi 小林由美子
'xiao'qiao 小乔
'xin'lu'shi 心露石
'xing'fu'si'xue'yuan 兴福寺学园
'xu'chang 许昌
'xu'chang'xue'yuan 许昌学院
'xu'chu'zhong'kang 许褚仲康
'xu'huang'gong'ming 徐晃公明
'xu'shu'yuan'zhi 徐庶元直
'xue'li 薛礼
'xun'you'gong'da 荀攸公达
'yan'liang 颜良
'yang'zhou'xue'yuan 扬州学院
'yi'qi'dang'qian 一骑当千
'yong'kai 雍闓
'you'mu'liang'xiang 柚木凉香
'you'zhou'gao'xiao 幽州高校
'you'zuo'hao'er 游佐浩二
'yu'ji 于吉
'yu'jin'wen'ze 于禁文则
'yu'zhou'xue'yuan 豫州学院
'yuan'rang 元让
'yuan'shao'ben'chu 袁绍本初
'yuan'shu 袁术
'yuan'shu'gong'lu 袁术公路
'yuan'teng'da'zhi 远藤大智
'yuan'teng'ling 远藤绫
'yuan'teng'zhen 远藤真
'yuan'yin 袁胤
'yue'xia'luo'sha'sha 月下络纱砂
'zhai'he'guan'yue 斋贺观月
'zhai'teng'qian'he 斋藤千和
'zhang'fei 张飞
'zhang'fei'yi'de 张飞益德
'zhang'he'jun'yi 张郃俊乂
'zhang'hong'zi'gang 张纮子纲
'zhang'liao'wen'yuan 张辽文远
'zhang'ying 张英
'zhang'zhao 张昭
'zhang'zhao'zi'bu 张昭子布
'zhao'jing 赵景
'zhao'lei 赵累
'zhao'yun'zi'long 赵云子龙
'zhen'tang'gui 真堂圭
'zhong'cun'hao'tai'lang 中村浩太郎
'zhou'cang 周仓
'zhou'yi 周异
'zhou'yu 周瑜
'zhou'yu'gong'jin 周瑜公瑾
'zhu'bao 朱褒
'zhu'ge'jin'zi'yu 诸葛瑾子瑜
'zhu'ge'liang'kong'ming 诸葛亮孔明
'zhu'hou 诸侯
'zhu'sha'ling 诛杀令
'zhu'sha'zhang 朱砂掌
'zuo'ci'yuan'fang 左慈元放
'zuo'teng'ci'lang 佐藤次郎
