'ai'he'wu'di 爱河无底
'bu'xu'jing'chen'fei'dao 不许京尘飞到
'bu'zuo'tian'xian'zuo'shui'xian 不作天仙作水仙
'cai'fan'chu'dai 彩旛初戴
'cai'jian'bian'lun'xin'su 才见便论心素
'cai'ling'chuan 采菱船
'cai'qian'xiao 才浅笑
'cai'sang'zi'bao'chai'lou'shang'zhuang'shu'wan 采桑子宝钗楼上妆梳晚
'cai'sang'zi'san'shan'shan'xia'xian'ju'shi 采桑子三山山下闲居士
'cai'xing'you'kun 才醒又困
'cai'yan'nan'xun'qian'meng 彩燕难寻前梦
'cai'yao'gui'lai 采药归来
'can'hong'zhuan'yan'wu'xun'chu 残红转眼无寻处
'can'meng'bu'kan'zhong'xu 残梦不堪重续
'can'nian'hai'wo'cong'lai'wo 残年还我从来我
'can'xia'an'jin 残霞暗锦
'cang'ya'liu'an 藏鸦柳暗
'ce'chuan'peng 侧船篷
'ce'mao'yan'zhi'po'xia'guo 侧帽燕脂坡下过
'ce'qi'chuan'peng'bian'zuo'fan 侧起船篷便作帆
'ceng'guo'le 曾过了
'ceng'san'tian'hua'rui'zhu'gong 曾散天花蕊珠宫
'ceng'shi'chao'yi'ran'yu'xiang 曾是朝衣染御香
'ceng'shi'qi'tun'can'lu 曾是气吞残虏
'ceng'shi'tian'jin'gong'fu'shi 曾是天津共赋诗
'cha'gan'fan'ruan 茶甘饭软
'cha'jiao'hong'chen'yi'shi'dian 插脚红尘已是颠
'chai'jing'tian'shui 柴荆添睡
'chai'liang'chai'feng 钗梁拆凤
'chai'men'jin'ri'wu'ren'dao 柴门尽日无人到
'chai'tou'feng'hong'su'shou 钗头凤红酥手
'chai'zhui'hua'wu'sheng 钗坠滑无声
'chan'di'ye'han 蟾滴夜寒
'chang'an'bai'mian'ji'gong'qing 长安拜免几公卿
'chang'ba'liu'nian'xu'zhan 常把流年虚占
'chang'duan'bao'zheng'ling'luo 肠断宝筝零落
'chang'duan'shi'qiao'yue'di 肠断市桥月笛
'chang'nian'hui'cao'zhang'yang'fu 常年悔草长杨赋
'chang'sheng'man'lao'xi'ri 长绳漫劳系日
'chang'ting'yan'cao 长亭烟草
'chang'xiang'si'mian'cang'ran 长相思面苍然
'chang'xiang'si'mu'shan'qing 长相思暮山青
'chang'xiang'si'qiao'ru'hong 长相思桥如虹
'chang'xiang'si'yun'qian'zhong 长相思云千重
'chao'luo'hao'ge'gui'qu 潮落浩歌归去
'chao'luo'zhou'heng'zui'bu'zhi 潮落舟横醉不知
'chao'ping'xi'lan 潮平系缆
'chao'sheng'li'zhao 潮生理棹
'chao'tian'wu'lu 朝天无路
'chao'yun'meng'duan'zhi'he'chu 朝云梦断知何处
'chao'zhong'cuo'dai'tan'de'cheng'zuo 朝中措代潭德称作
'chao'zhong'cuo'dong'dong'nuo'gu'jian'liu'nian 朝中措冬冬傩鼓饯流年
'chao'zhong'cuo'mei 朝中措梅
'chen'an'jiu'diao'qiu 尘暗旧貂裘
'chen'liu'lang'shuang'bin'wei'xing 趁刘郎双鬓未星
'chen'shi'hun'jia 趁时婚嫁
'chen'tu'wu'mang'jue 尘土污芒屩
'chen'yuan'lang'zou'tian'ya 尘缘浪走天涯
'cheng'men'jian'jin 城门渐近
'cheng'nan'zai'jiu'hang'ge'lu 城南载酒行歌路
'cheng'xu'zhi 成虚掷
'chi'bi'ci'zhao'han'wu'jiu'you'jin'shan 赤壁词招韩无咎游金山
'chi'lian'xun'tou'she'qi'xiang 螭奁熏透麝脐香
'chi'mu 迟暮
'chi'qi'yu'you'bing 驰骑谕幽并
'chong'xiao'lu 冲霄路
'chou'bin'dian'xin'shuang 愁鬓点新霜
'chou'chang'dong'jun'kan'hen'chu 惆怅东君堪恨处
'chou'chang'nian'hua'an'huan 惆怅年华暗换
'chou'chun'feng 酬春风
'chou'di'qu'tang'guan'shang'cao 愁抵瞿唐关上草
'chou'ru'chun'feng'shi'si'xian 愁入春风十四弦
'chou'si'jian'si'qian'xu 愁似茧丝千绪
'chou'wu'mei 愁无寐
'chu'chu'wen'yu'chang 处处闻渔唱
'chu'ci'gao'tang'guan 出次高唐馆
'chu'shan'qian'die 楚山千叠
'chu'shi'hua'qian'jin'lv'yi 初试花前金缕衣
'chu'tian'wei'lou'du'yi 楚天危楼独倚
'chu'xi'fang'weng'gui'zhao 初系放翁归棹
'chu'xiang'luan'hu 初翔鸾鹄
'chu'xin'mu 初心慕
'chuang'ming'ji'jing 窗明几净
'chui'di'yu'long'jin'chu 吹笛鱼龙尽出
'chui'hong'kan'yue 垂虹看月
'chui'jia'mu'gui'ye'zhang 吹笳暮归野帐
'chui'xiao'chi'guan 吹箫池馆
'chui'xiao'tong'guo'gou'ling 吹箫同过缑岭
'chui'yu'di 吹玉笛
'chun'cao'ji'hui'lv 春草几回绿
'chun'feng'gui'cong'zi'huang'you 春风归从紫皇游
'chun'feng'lou'shang'liu'yao'zhi 春风楼上柳腰肢
'chun'guang'hai'yu'mei'ren'tong 春光还与美人同
'chun'mian'jing'qi 春眠惊起
'chun'pan'chun'jiu'nian'nian'hao 春盘春酒年年好
'chun'ru'jiu 春如旧
'chun'se'dao'ren'jian 春色到人间
'chun'shan'chu'huan'qu'chen'luo 春衫初换麹尘罗
'chun'shen'ao'jin 春深鳌禁
'chun'si'chu'ke'peng 莼丝初可烹
'chun'wan'lian'jiang'feng'yu 春晚连江风雨
'chun'xiao 春晓
'chun'yi'yi'shen 春意已深
'chun'zheng'mei 春正媚
'ci'shen'qia'si'nong'chao'er 此身恰似弄潮儿
'ci'shen'ru'ji 此身如寄
'ci'sheng'shui'liao 此生谁料
'ci'shi'shei'yu'shuo'xin'chou 此时谁与说新愁
'ci'shi'you'lai'dou'zai'tian 此事由来都在天
'ci'xi'he'nian 此夕何年
'ci'xing'you'zai 此兴悠哉
'ci'yu'chen'qian'hu 赐玉尘千斛
'cong'cong'dun'fen'lian'li 匆匆顿分连理
'cong'huan'yuan'zhi'man'lang 从宦元知漫浪
'cong'jin'pan'le 从今判了
'cong'jin'qu 从今去
'cong'jin'xin'tai'ping 从今心太平
'cong'lai'bu'guan'shang'chun'lei 从来不惯伤春泪
'cong'ren'ji'bang 从人讥谤
'cu'xiu'hua'jian 蹙绣华鞯
'cui'cheng'qing'lei 催成清泪
'cui'die'gu 催叠鼓
'cui'luo'ban'chuan'yue 催落半川月
'cui'wu'fei'fei'lou'sheng'duan 翠雾霏霏漏声断
'cui'wu'hai'yong 催舞还慵
'cui'wu'man'shen'fei'rao 翠雾满身飞绕
'da'sheng'yue'dian'zhuan'lei'jing 大圣乐电转雷惊
'dai'chui'ba'huang'liang'xu'qian'shen 待炊罢黄粱徐欠伸
'dai'cong'jin'xu'yu 待从今须与
'dai'lv'he'zhe'an 待绿荷遮岸
'dai'yu'ding'ning 待与丁宁
'dan'ai'kong'meng 澹霭空濛
'dan'bi'wei'gan'ren'qu 丹碧未干人去
'dan'dan'gong'mei 淡淡宫梅
'dan'dan'shu'ling'xie'ri 澹澹数棂斜日
'dan'he'chao'shi'you'duo'song 但鹤巢时有堕松
'dan'huang'yang'liu 淡黄杨柳
'dan'huang'yang'liu'you'cui'chun 淡黄杨柳又催春
'dan'jiang'jiao'yan'qi 但江郊雁起
'dan'qing'kan 丹青看
'dan'shan'chuan'cheng'guo 但山川城郭
'dan'shuo'jing'du'jiu'hua 但说京都旧话
'dan'yue'ye'chang'ti'du'yu 但月夜常啼杜宇
'dang'nian'hao'qi 当年豪气
'dang'nian'wan'li'mi'feng'hou 当年万里觅封侯
'dang'nian'zhen'cao'cao 当年真草草
'dang'ri'he'ceng'qing'fu'chun 当日何曾轻负春
'dang'shi'ceng'xiao 当时曾效
'dang'shi'qi'liao'ru'jin 当时岂料如今
'dang'shi'wang'dao'wu'qing 当时枉道无情
'dao'gu'xian'feng 道骨仙风
'dao'ru'jin'zhen'ge'shi'xing 到如今真个是行
'dao'shi'wen'mu'zhong 到时闻暮钟
'de'jiu'you'neng'shuang'lian'hong 得酒犹能双脸红
'de'yao'jia'liang'hong 德耀嫁梁鸿
'deng'hun'ren'du'qin 灯昏人独寝
'deng'lan'chu'yi'jiang'qiu'se 登览处一江秋色
'deng'qian'di 灯前滴
'deng'qian'yue'xia'xi'you'chu 灯前月下嬉游处
'deng'yuan'shuang'zhong 灯院霜钟
'di'peng'san'shan 低篷三扇
'di'shi'pian'ran 底事翩然
'dian'bin'shuang'xin 点鬓霜新
'dian'jiang'chun'cai'yao'gui'lai 点绛唇采药归来
'dian'zhuan'lei'jing 电转雷惊
'diao'an'chi'she 雕鞍驰射
'diao'che'xing 钓车腥
'diao'lv'shi'xin'zhi 钓侣是新知
'diao'xing'wang'yi'hen'lei'hen'li 吊兴亡遗恨泪痕里
'diao'yi'tan'cheng'bi 钓一潭澄碧
'diao'ying'chan'jin 貂映蝉金
'die'da'shen'jian 跌打身坚
'die'e'qi'hua 叠萼奇花
'die'gu'yi'cui'ya 叠鼓已催衙
'die'lian'hua'li'xiao'yi'zuo 蝶恋花离小益作
'die'lian'hua'shui'yang'ping'gen'feng'juan'xu 蝶恋花水漾萍根风卷絮
'die'lian'hua'tong'ye'chen'piao'qiong'ye'yu 蝶恋花桐叶晨飘蛩夜语
'die'lian'hua'yu'miao'lan'ting'jin'gu'lu 蝶恋花禹庙兰亭今古路
'die'rao'feng'mang 蝶扰蜂忙
'ding'feng'bo'jin'xian'dao'shi'jian'mei'zeng'wang'bo'shou 定风波进贤道士见梅赠王伯寿
'dong'dong'nuo'gu'jian'liu'nian 冬冬傩鼓饯流年
'dong'feng'e 东风恶
'dong'feng'li 东风里
'dong'hai'yan'yang'gu 东海宴旸谷
'dong'lin'dou'cao'gui'lai'wan 东邻斗草归来晚
'dong'tian'han'lu'tao'kai'wei 洞天寒露桃开未
'dong'ting'chun'se'zhuang'sui'wen'zhang 洞庭春色壮岁文章
'dong'wang'shan'yin'he'chu'shi 东望山阴何处是
'dong'you'wo'zui'qi'jing'qu 东游我醉骑鲸去
'dou'si'xue'ren'wu'ding 都似学人无定
'dou'ye'huang'chun'feng'lou'shang'liu'yao'zhi 豆叶黄春风楼上柳腰肢
'dou'ye'huang'yi'chun'chang'shi'yu'he'feng 豆叶黄一春常是雨和风
'du'chang'he'xu'he 独唱何须和
'du'qing'yi 渡清伊
'du'qu'zuo'jiang'bian'yu'fu 独去作江边渔父
'du'xun'mao'dian'gu'xin'niang 独寻茅店沽新酿
'du'ye'han'qin'cui'bei 独夜寒侵翠被
'du'yi'bo'shan'feng'xiao 独倚博山峰小
'du'zhan'tuan'ke'rui'jin 独展团窠瑞锦
'duan'bin'wu'duo'lv 短鬓无多绿
'duan'mao'qing'shan 短帽轻衫
'duan'qiao'nan 断桥南
'duan'ren'chang 断人肠
'duan'ting'hu'zhong'xian'cai'chun 短艇湖中闲采莼
'dui'cui'feng'pi'yun 对翠凤披云
'dui'yi'cai'wen 对衣裁稳
'dun'jue'shuai'xie 顿觉衰谢
'duo'bian'xiao'xiang'nan'zhi'shuo 亸鞭笑向南枝说
'duo'jin'wei'ji 躲尽危机
'duo'qing'shui'si'nan'shan'yue 多情谁似南山月
'duo'shao'chan'juan 多少婵娟
'duo'xie'ban'shan'song'chui 多谢半山松吹
'duo'zeng'yuan'zhi'dang'po 堕甑元知当破
'er'sheng'gu'mi'chen'chui 二升菰米晨炊
'er'wei'long 耳未聋
'fan'hong'zhui'su 翻红坠素
'fan'wen'jian'nan'xiao'xi 烦问剑南消息
'fang'cao'lian'tian'mu 芳草连天暮
'fang'jian'ji'yu'he'chu 芳笺寄与何处
'fang'jiu'yin 访旧隐
'fang'qing'lv'xuan'ya 放轻绿萱芽
'fang'qing'zuo'meng'fu'ming 放轻昨梦浮名
'fang'zhi'dao 方知道
'fang'zun'pin'quan 芳樽频劝
'fei'hua'ru'chen'yan'zi 飞花如趁燕子
'fei'nie'qiao'ya'cang'bi 飞蹑峭崖苍壁
'fei'wei'wo'lao 非惟我老
'fen'fen'che'ma'man'ren'jian 纷纷车马满人间
'fen'fu'yu'hu'ling'yao 分付玉壶灵药
'fen'hen'you'zai'xiang'luo'pa 粉痕犹在香罗帕
'fen'mei'que'cong'cong 分袂却匆匆
'fen'po'mei'shao 粉破梅梢
'feng'chen'bu'hua'yi 风尘不化衣
'feng'chi'cai'cheng'xing'xue'se 凤尺裁成猩血色
'feng'ge'luan'tai'kan'chu'bai 凤阁鸾台看除拜
'feng'hou'xiang 封侯相
'feng'huang'cheng'que 凤凰城阙
'feng'huo'lian'kong'ming'mie 烽火连空明灭
'feng'huo'zhao'gao'tai 烽火照高台
'feng'jian'chun'li 凤笺春丽
'feng'juan'zheng'chen 风卷征尘
'feng'liu'zi'jia'ren'duo'ming'bo 风流子佳人多命薄
'feng'lou'chang'ji'dang'nian'yu 凤楼常记当年语
'feng'lu'jiu'xiao'han 风露九霄寒
'feng'luo'mu 风落木
'feng'ren'wen'dao'gui'he'chu 逢人问道归何处
'feng'ru'song'shi'nian'qiu'ma'jin'jiang'bin 风入松十年裘马锦江滨
'feng'wei'si'ping'xi 风味似平昔
'feng'yin'fei'hua'luo'diao'chuan 风引飞花落钓船
'feng'yu'chu'jing'she 风雨初经社
'feng'yu'qing'shi'chun'yi'kong 风雨晴时春已空
'feng'yu'wu'qing 风雨无情
'feng'yu'you'cui'liang 风雨又催凉
'fu'chun'xiang'mo'hua'chong'chong 富春巷陌花重重
'fu'jin'mo'huan'diao'chan 幅巾莫换貂蝉
'fu'yang'ren'jian'jin'gu 俯仰人间今古
'fu'zhang'dong'yun'shen'chu 扶杖冻云深处
'fu'zhuang'lue'zong'heng'wang'ba 负壮略纵横王霸
'gan'huang'en'chun'se'dao'ren'jian 感皇恩春色到人间
'gan'huang'en'xiao'ge'yi'qiu'kong 感皇恩小阁倚秋空
'gan'ji'you 感羁游
'gan'shi'tian'chou'chang 感事添惆怅
'gao'dong'kong'liu'ju 高栋空留句
'gao'huai'ye'chang'yin'chu'he 高槐叶长阴初合
'gao'nie'yi'tian'qing'bi 高蹑倚天青壁
'ge'bian'ling'long 格变玲珑
'ge'chong'chong'yan'shui 隔重重烟水
'ge'piao'miao 歌缥缈
'ge'pu'lian'jin'pai'fei'hua'ru'chen'yan'zi 隔浦莲近拍飞花如趁燕子
'ge'pu'lian'jin'pai'qi'jing'yun'lu'dao'jing 隔浦莲近拍骑鲸云路倒景
'ge'shi'fang'xuan'le 个时方旋了
'ge'zi'xiao'hun 各自消魂
'geng'cheng'xing'su'wan'liu'xi'mo 更乘兴素纨留戏墨
'geng'cheng'you'xing 更乘幽兴
'geng'he'ren'qi'fei'xiao'han 更何人齐飞霄汉
'geng'kan'qing'zhi 更堪轻掷
'geng'qiu'ping'di'shang'qing'tian 更求平地上青天
'geng'wu'yi'dian'chen'ai'dao 更无一点尘埃到
'geng'you'ren'pin 更有人贫
'geng'yu'shui'tong 更与谁同
'geng'zhe'feng'he'yu 更着风和雨
'gong'ming'bu'xin'you'tian 功名不信由天
'gong'ming'kan'jing 功名看镜
'gong'ming'meng'duan 功名梦断
'gong'ming'zhai 功名债
'gong'que'xiao'sen 宫阙萧森
'gou'lian'qian'zui'xian'mian 钩帘浅醉闲眠
'gu'cai'lu'yu'dou'qi'le 菰菜鲈鱼都弃了
'gu'feng'yue 孤风月
'gu'he'gui'fei 孤鹤归飞
'gu'hen'qing'xiang 孤恨清香
'gu'huai'shei'yu'qiang'qian 孤怀谁与强遣
'gu'jiao'lin'feng'bei'zhuang 鼓角临风悲壮
'gu'jiu'shi 沽酒市
'gu'jue'qu'tian'wu'chi 孤绝去天无尺
'gu'meng'fan'xiao'xiang 孤梦泛潇湘
'gu'mi'xin'chui'hua'shang'chi 菰米新炊滑上匙
'gu'ren'mo'ya'yin'shu'jue 故人莫讶音书绝
'gu'ren'xiao'zhu'ping'rong'zhang 故人小驻平戎帐
'gu'shan'you'zi'bu'kan'ting 故山犹自不堪听
'gu'yan'sheng'bing 孤砚生冰
'gua'chao'yi'dong'gui'qian'zao 挂朝衣东归欠早
'guan'fu'hui'tou'wei'jin 关辅回头煨烬
'guan'he'meng'duan'he'chu 关河梦断何处
'guan'mian'gu'yi'chang'an'zhen 惯眠古驿常安枕
'guan'xian'chang'zhou'mian 官闲常昼眠
'guan'xin'jin'ri 关心近日
'guan'yi'wai 官驿外
'guang'jing'ru'zuo 光景如昨
'gui'lai'you'xing'shen'qiang'jian 归来犹幸身强健
'gui'lu'yi'jiang'xi 归路已将夕
'gui'meng'ji'wu'qiang 归梦寄吴樯
'gui'qu 归去
'gui'qu'jiu'yuan'xing 归去旧鵷行
'gui'zhao'jie 归棹借
'guo'jin'yi'nian'chun'shi 过尽一年春事
'hai'cheng'xiao'yu'yi'hua 还乘小雨移花
'hai'jiao'tian'ya'xing'lue'jin 海角天涯行略尽
'hai'shan'he'zhu'en 还山荷主恩
'hai'tang'ru'jiu'shi 海棠如旧时
'hai'tang'ru'zui 海棠如醉
'han'gang'wei'jin 寒釭委烬
'han'gong'chun'lang'ji'ren'jian 汉宫春浪迹人间
'han'gong'chun'yu'jian'diao'gong 汉宫春羽箭雕弓
'han'jia'gong'dian'jie'hui'zhong 汉家宫殿劫灰中
'han'shang'qian 寒尚浅
'han'shi'luo'hua'tian 寒食落花天
'hao'feng'chui'san'fei'wei'yu 好风吹散霏微雨
'hao'hua'wei'zhu 好花为主
'hao'shi'jin'ci'yu'wen'juan'chen'yun 好事近次宇文卷臣韵
'hao'shi'jin'deng'mei'xian'shan'jue'ding'wang'hai 好事近登梅仙山绝顶望海
'hao'shi'jin'feng'lu'jiu'xiao'han 好事近风露九霄寒
'hao'shi'jin'hua'biao'you'qian'nian 好事近华表又千年
'hao'shi'jin'hui'xiu'bie'ren'jian 好事近挥袖别人间
'hao'shi'jin'hun'ji'ji'ren'jian 好事近混迹寄人间
'hao'shi'jin'ji'zhang'zhen'fu 好事近寄张真甫
'hao'shi'jin'mi'ge'you'yuan'ren 好事近觅个有缘人
'hao'shi'jin'pen'kou'fang'chuan'gui 好事近湓口放船归
'hao'shi'jin'ping'dan'chu'qin'guan 好事近平旦出秦关
'hao'shi'jin'qiu'xiao'shang'lian'feng 好事近秋晓上莲峰
'hao'shi'jin'sui'wan'xi'dong'gui 好事近岁晚喜东归
'hao'shi'jin'xiao'juan'dai'yu'cheng 好事近小倦带馀酲
'hao'shou'shi'xing'hai'gui'zi'ran 好收拾形骸归自然
'hao'yi'ge'wu'liao'di'wo 好一个无聊底我
'he'chu'guan'shen 何处关身
'he'chu'wang'yin'chen 何处望音尘
'he'chu'yan'shui 何处烟水
'he'fang'jian'zhi'ti'shi 何妨茧纸题诗
'he'fang'zai'ying'hua'hai'li 何妨在莺花海里
'he'fei'lai'qing'lan'nuan'cui 鹤飞来晴岚暖翠
'he'feng'yu'miao'ying'tian 和风禹庙莺天
'he'han'heng'xie'ye'lou'yong 河汉横斜夜漏永
'he'jian'hu'bian 贺监湖边
'he'kuang'jin'zhao'qiu'se'li 何况今朝秋色里
'he'men'shen'shi'xing 和闷甚时醒
'he'ren'jie 何人解
'he'ren'xin'shi 何人心事
'he'ri'chong'lai'ci 何日重来此
'he'ru'ban'wo 何如伴我
'he'san'ru'yan 合散如烟
'he'shi'you'zuo'nan'lai 何事又作南来
'he'xian'shi 何限事
'he'xu'geng 何须更
'he'xu'mu'zhang'wei'zhe 何须幕障帏遮
'hen'chai'yan'zheng'hong 恨钗燕筝鸿
'hen'jin'nian 恨今年
'hen'jun'xin 恨君心
'hen'nan'qiong 恨难穷
'hen'nan'wang 恨难忘
'hen'tian'jiao'lao'xiang 恨天教老向
'hen'yi'yi 恨依依
'hen'yue'chou'hua 恨月愁花
'hen'zun'qian'song'chun'ren'lao 恨樽前送春人老
'heng'dai'bei 横埭北
'hong'lv'cen'ci'chun'wan 红绿参差春晚
'hong'mian'pu'fen'yu'ji'liang 红绵扑粉玉肌凉
'hong'qu'fu'shui 红蕖浮水
'hong'ri'gong'zhuan'nuan 红日宫砖暖
'hong'su'shou 红酥手
'hu'dao'dang'nian'xing'chu 忽到当年行处
'hu'ji'heng'ge'pan'ma'chu 忽记横戈盘马处
'hu'shui'dao'kong'ru'jing 湖水倒空如镜
'hu'wei'mie 胡未灭
'hua'biao'you'qian'nian 华表又千年
'hua'bin'xing'xing 华鬓星星
'hua'chuan'ping'fang'liu 画船平放溜
'hua'de'e'mei'sheng'jiu'shi 画得蛾眉胜旧时
'hua'deng'zong'bo 华灯纵博
'hua'fu'jin'chuan 花覆金船
'hua'ge'yi'zhou 画阁移舟
'hua'jiao'huan'ren'gui 画角唤人归
'hua'liang'qi'yan 画梁栖燕
'hua'ling'yan 画凌烟
'hua'luo'yan'fei'ting'hu 花落燕飞庭户
'hua'luo'yue'ming'ting'yuan 花落月明庭院
'hua'mei'luan'jing'yun'shuang'e 画眉鸾镜晕双蛾
'hua'qi'fu'fang'run 花气浮芳润
'hua'qian'xu'pan'zui'fu'gui 花前须判醉扶归
'hua'shi'wan'ren'le'chu 花时万人乐处
'hua'tang'yin'zhu'xian'ming 画堂银烛嫌明
'hua'wai'yi'sheng'ying 花外一声莺
'hua'wai'zi'mei'xiang'hu 花外姊妹相呼
'hua'ya'qing'hong 花砑轻红
'hua'yan'wai'la'xiang'ren'san 画檐外蜡香人散
'hua'ying'luan 花影乱
'huan'gong'gu'di 环宫故邸
'huan'jia'geng'jue'qing'zhen 还家更觉清真
'huan'jin'jiu'ren 换尽旧人
'huan'jun'tong'shang'xiao'chuang'ming 唤君同赏小窗明
'huan'qing'bo 欢情薄
'huan'qing'chai'zhui'yong'zheng 鬟倾钗坠慵整
'huan'xi'sha'he'wu'jiu'yun 浣溪沙和无咎韵
'huan'xi'sha'lan'xiang'sha'tou'zui'yu'ping 浣溪沙懒向沙头醉玉瓶
'huan'xi'sha'nan'zheng'xi'shang 浣溪沙南郑席上
'huan'xun'long 换熏笼
'huang'ge'zi'shu 黄阁紫枢
'huang'mao'zhang 黄茅瘴
'huang'teng'jiu 黄縢酒
'huang'ting'du'ba'xin'ru'shui 黄庭读罢心如水
'hui'bu'gui'lai'zao 悔不归来早
'hui'dang'nian 悔当年
'hui'lang'lian'ying'zhou'cen'ci 回廊帘影昼参差
'hui'shi'qian'zhong'yi'fa'qing 回视千钟一发轻
'hui'shou'du'ling'he'chu 回首杜陵何处
'hui'shou'gong'ming'yi'meng'zhong 回首功名一梦中
'hui'shou'jiu'ceng'you'chu 回首旧曾游处
'hui'shou'qi'ran 回首凄然
'hui'shou'yuan'xing 回首鵷行
'hui'shou'zi'mo'qing'men 回首紫陌青门
'hui'xiu'bie'ren'jian 挥袖别人间
'hui'xiu'shang'xi'feng 挥袖上西峰
'hun'ji'ji'ren'jian 混迹寄人间
'ji'ba'li'zun 几把离尊
'ji'ceng'chuan'yu'guan'bian'xin 几曾传玉关边信
'ji'dian'ji'yi'hong 几点妓衣红
'ji'fan'qing'bie 几番轻别
'ji'huai'yi'gan 羁怀易感
'ji'jing'feng'ruan 霁景风软
'ji'lv'chuang'shui'qi 记绿窗睡起
'ji'mo'kai'wu'zhu 寂寞开无主
'ji'mo'yan'kong'zhai 寂寞掩空斋
'ji'nian'li'suo 几年离索
'ji'qu'man'jiang'shang 记取蛮江上
'ji'qu'ping'shan 几曲屏山
'ji'quan'wang'lai'lin'wai 鸡犬往来林外
'ji'ri'dong'gui 几日东归
'ji'sheng'yin'ping'yu'jing 几声银瓶玉井
'ji'xiang'si'jiang'tou'shu'yu'qing'yan 极相思江头疏雨轻烟
'ji'xu'you'qing 几许幽情
'ji'yan'wei'cheng'gui 羁雁未成归
'ji'yu'hong'qiao'qiao'xia'shui 寄语红桥桥下水
'jia'chu'piao'miao'zhe'wei'lou 佳处缥缈着危楼
'jia'rao'xiang'song 假饶相送
'jia'ren'duo'ming'bo 佳人多命薄
'jia'ren'tian'yuan 佳人天远
'jia'zai'diao'tai'xi'zhu 家在钓台西住
'jia'zai'wan'chong'yun'wai 家在万重云外
'jia'zhu'cang'yan'luo'zhao'jian 家住苍烟落照间
'jia'zhu'dong'wu'jin'di'xiang 家住东吴近帝乡
'jian'de'luan'shan'huan'chu 拣得乱山环处
'jian'diao'lv'bin 渐凋绿鬓
'jian'jin'zhi'qian'ye 见金芝千叶
'jian'lv'shen'meng 剪绿深盟
'jian'shi'chi'lai'si'shi'nian 见事迟来四十年
