'a'er'di 阿尔迪
'mei'guo'can'ji'ren'fa'an 美国残疾人法案
'mei'guo'di'zhi'kan'ce'ju 美国地质勘测局
'mei'guo'e'le'gang'jian'kang'yu'ke'xue'da'xue 美国俄勒冈健康与科学大学
'mei'guo'gong'gong'tu'shu'guan'za'zhi'zong'he 美国公共图书馆杂志综合
'mei'guo'guo'jia'ke'xue'yuan'yuan'kan 美国国家科学院院刊
'mei'guo'guo'jia'yan'jiu'wei'yuan'hui 美国国家研究委员会
'mei'guo'ha'fo'shi'mi'song'tian'ti'wu'li'zhong'xin 美国哈佛史密松天体物理中心
'mei'guo'ka'li'sheng'tai'xi'tong'yan'jiu'suo 美国卡里生态系统研究所
'mei'guo'ke'xue'cu'jin'hui 美国科学促进会
'mei'guo'kong'jun'ke'yan'bu 美国空军科研部
'mei'guo'shen'jing'xi'tong'ke'xue'xue'hui 美国神经系统科学学会
'mei'guo'wo'er'te'li'de'lu'jun'yan'jiu'suo 美国沃尔特里德陆军研究所
'mei'ru 镁乳
'mei'zhou'zhui'chong'bing 美洲锥虫病
'meng'te'li'er'yi'ding'shu 蒙特利尔议定书
'mo'ci'sheng'bing'qi 末次盛冰期
'mo'dong'zhang 默冬章
'mo'er'ding'lv 摩尔定律
'mo'ri'zhong 末日钟
'mu'qin 木琴
'na'mi'xi'jun 纳米细菌
'nao'dian'tu 脑电图
'nei'fei'tai 内啡肽
'nei'fen'mi 内分泌
'nian'jun 黏菌
'nian'mo'zu'zhi 粘膜组织
'nie'he'guan'jie'wen'luan'zheng 颞颌关节紊乱症
'ou'zhou'shen'chang'ji'xian'gan'she'ce'liang'wang'luo 欧洲甚长基线干涉测量网络
'pa'jin'sen'bing 帕金森病
'pan'wei'si'chong'bing 盘尾丝虫病
'pei'mei'bing 佩梅病
'pen'liu 喷流
'pian'pi'fen'zhi'long 偏僻分支龙
'piao'ling'neng'shen'jing 嘌呤能神经
'ping'liu'ceng 平流层
'ping'xing'yu'zhou 平行宇宙
'qi'hou'ling'min'du 气候灵敏度
'qi'hou'men 气候门
'qi'rong'jiao 气溶胶
'qian'de'la'wei'xing 钱德拉卫星
'qian'lie'xian'te'yi'kang'yuan 前列腺特异抗原
'qian'nao'dao 前脑岛
'qian'sheng'ming'hua'xue 前生命化学
'qiang'he'li 强核力
'qiang'ji'lin'hui'shi 羟基磷灰石
'qiang'se'an 羟色胺
'qing'xu'zhi'dong'ji'zhi 情绪制动机制
'qiu'nao'di'he 丘脑底核
'qu'jia'shen'shang'xian'su 去甲肾上腺素
'qu'ti'hua'zheng 躯体化症
'quan'mian'jin'zhi'he'shi'yan'tiao'yue 全面禁止核试验条约
'quan'xin'shi 全新世
're'bian'xing'jun 热变形菌
're'he'bao'zha 热核爆炸
're'ka'si'te 热喀斯特
're'ka'si'te'hu 热喀斯特湖
're'qiu'jun 热球菌
're'si'jun 热丝菌
're'wang'jun 热网菌
'ren'ma'zuo 人马座
'ren'ze'yuan'li 人择原理
'ri'ben'zhu'que'she'xian'tian'wen'wei'xing 日本朱雀射线天文卫星
'ri'nei'wa'ou'zhou'he'zi'yan'jiu'zhong'xin 日内瓦欧洲核子研究中心
'ruan'bing'du 朊病毒
'rui'dian'ka'luo'lin'si'ka'yan'jiu'suo 瑞典卡罗林斯卡研究所
'rui'shi'fei'ying'li'xing'ou'zhou'yi'miao'ji'hua 瑞士非营利性欧洲疫苗计划
'ruo'he'li 弱核力
'san'jiao'kong'long 三角恐龙
'san'jiao'long 三角龙
'san'lin'suan'xian'gan 三磷酸腺苷
'san'wei'jie'gou'zhao'ming'xian'wei'jing 三维结构照明显微镜
'sao'miao'sui'dao'xian'wei'jing 扫描隧道显微镜
'seng'mao'shui'mu 僧帽水母
'sha'luo'zhou'qi 沙罗周期
'sha'yan 沙眼
'shang'di'man 上地幔
'shang'ye'guan'cha 商业观察
'shao'tu'jiao'zhi'xi'bao 少突胶质细胞
'she'wen'yan 蛇纹岩
'she'wen'yan'hua 蛇纹岩化
'shen'chang'ji'xian'gan'she'ce'liang 甚长基线干涉测量
'shen'chang'ji'xian'she'dian'wang'yuan'jing'zhen 甚长基线射电望远镜阵
'shen'da'tian'xian'zhen 甚大天线阵
'shen'jing'chong'zu 神经重组
'shen'jing'chuan'di'su 神经传递素
'sheng'ming'te'zheng 生命特征
'sheng'wu'tu'jing 生物途径
'shi'dan'bai 视蛋白
'shi'jian'ke'ni'xing 时间可逆性
'shi'jian'shi'jie 事件视界
'shi'kong'xing'yun'dong'zhang'ai 失控性运动障碍
'shi'luo'cheng're'ye'chang 失落城热液场
'shi'mian 失眠
'shi'mo'xi 石墨烯
'shi'yan'jun 嗜盐菌
'shi'yun'dong 视运动
'shui'zao 水蚤
'shuo'wang'yue 朔望月
'si'li'lan'ka'guo'ji'shui'zi'yuan'guan'li'yan'jiu'suo 斯里兰卡国际水资源管理研究所
'sui'lin'zhi 髓磷脂
'sui'qiao 髓鞘
'tai'gu'zhou 太古宙
'tai'qiu'dan'bai 胎球蛋白
'tai'yuan'fu'bing'huang'tu 苔原富冰黄土
'tang'niao'bing 糖尿病
'te'bao'long 特暴龙
'teng'tong'kong'zhi'hui'lu 疼痛控制回路
'ti'zhi'ren'lei'xue 体质人类学
'ting'li'xian'quan 听力线圈
'wai'gu'ge 外骨骼
'wai'gua 外挂
'wang'huo 网活
'wei'bao'zi'chong 微孢子虫
'wei'jiao'miao 微角秒
'wei'ke'si'man'ma'ji'qi'hou'yi'an 韦克斯曼马基气候议案
'wu'li'ping'lun'juan 物理评论卷
'wu'li'ping'lun'tong'xun 物理评论通讯
'wu'xian'she'pin'shi'bie 无线射频识别
'wu'xian'shi'bie'he'chuan'gan'ping'tai 无线识别和传感平台
'xi'bao'yin'zi 细胞因子
'xi'ge'ma'fu'chao'zi 西格马负超子
'xi'tong'shu 系统树
'xia'qing'su 虾青素
'xia'qiu'nao 下丘脑
'xian'bing'du 腺病毒
'xian'jing'guan 弦景观
'xian'lun 弦论
'xian'mao'chong 纤毛虫
'xian'shi'jin'qian'jiao'yi 现实金钱交易
'xian'wei'dan'bai 纤维蛋白
'xian'wei'ji'tong 纤维肌痛
'xiang'pi'zhong 象皮肿
'xiao'jiao'zhi'xi'bao 小胶质细胞
'xin'dian'miao'ji'shu 心电描记术
'xin'lv'bian'yi 心率变异
'xin'xue'guan 心血管
'xing'xing'chi'lun 行星齿轮
'xue'jian'jin'gong'xing'zhan'lue'wu'qi'tiao'yue 削减进攻性战略武器条约
'xue'xi'chong 血吸虫
'xue'xi'chong'bing 血吸虫病
'ya'zui'shou 鸭嘴兽
'yan'chong 眼虫
'yan'nao'tou'duan'fu'nei'ce 延脑头端腹内侧
'yan'she 衍射
'yan'zheng'mian'yi'xi'bao 炎症免疫细胞
'yang'ke'tong 氧可酮
'yi'an'qin 乙胺嗪
'yi'dao'su 胰岛素
'yi'se'lie'wei'ci'man'ke'xue'yan'jiu'suo 以色列魏茨曼科学研究所
'yi'suan 乙酸
'yi'tong'xi'bao 抑痛细胞
'yi'xian'dan'jian 乙酰胆碱
'yi'yuan'ti 衣原体
'yi'zu'qi 忆阻器
'ying'ji'ji'su'pi'zhi'chun 应激激素皮质醇
'ying'pi'bing 硬皮病
'yong'dong'tu 永冻土
'you'dai'lei'dong'wu 有袋类动物
'yu'zhou'xue'chang'shu 宇宙学常数
'yuan'dai'xi'bao 原代细胞
'yuan'di'dian 远地点
'yuan'zi'ke'xue'jia'hui'kan 原子科学家会刊
'zai'sheng'zhi'dong'xi'tong 再生制动系统
'zai'zhi'dan'bai 载脂蛋白
'zhen'yan 针鼹
'zhi'wu'ren'zhuang'tai 植物人状态
'zhi'zi 质子
'zhong'nao 中脑
'zhong'sheng'dai 中生代
'zhong'wei'zi 中微子
'zhong'zi 重子
'zhong'zi 中子
'zhou'ji'dan'dao'dao'dan 洲际弹道导弹
'zhu'nang'chong'bing 猪囊虫病
'zhuang'ji'qiu'li 撞击球粒
'zi'ran'zi'yuan'bao'hu'wei'yuan'hui 自然资源保护委员会
'zui'nei'ce'wen'ding'yuan'gui'dao 最内侧稳定圆轨道
'zui'xiao'yi'shi'zhuang'tai 最小意识状态
