'ai'chen 艾辰
'ji'yuan 纪元
'jia'lai'xi 加莱西
'jian'cha'shi 监察使
'jian'huang'wang 剑煌王
'jian'shou'zhe 监守者
'jian'zhi'shi'jie 剑之世界
'jiang'mo 将莫
'jiang'nan'ji'di'shi 江南基地市
'jiang'nan'shi 江南市
'jiang'yu 疆域
'jie'shou 界兽
'jie'zhu'dian'feng 界主巅峰
'jie'zhu'ji 界主级
'jin'fu'zun'zhe 金斧尊者
'jin'hun 金魂
'jin'huo'kong 金火空
'jin'jian'zhan'xu'kong 金剑斩虚空
'jin'jiao'ju'shou 金角巨兽
'jin'kong 金空
'jin'mu'kong 金木空
'jin'se 金色
'jin'se'kuan'jian 金色宽剑
'jin'se'xiao'jian 金色小剑
'jin'shi 金时
'jin'shi'kong 金时空
'jin'shui'kong 金水空
'jin'zhi'ben'yuan'fa'ze 金之本源法则
'jin'zhi'fa'ze 金之法则
'jing'shen'nian'shi 精神念师
'jing'shen'yin'ji 精神印记
'jing'zu 晶族
'jiu'chong'hun'tian'yan 九重浑天衍
'jiu'chong'hun'yuan 九重浑源
'jiu'chong'lou 九重楼
'jiu'jian'zun'zhe 九剑尊者
'jiu'jie 九阶
'jiu'shi'xiong 九师兄
'jiu'xian'liu 九线流
'jiu'yu'hun'dun'bei 九宇混沌碑
'jiu'yu'tong'tian'qiao 九宇通天桥
'ju'fu 巨斧
'ju'fu'dou'wu'chang 巨斧斗武场
'ju'suo 居所
'jue'dui'kong'jian 绝对空间
'jue'kong'dun 绝空盾
'jue'yi 觉一
'kan'luo'si'de'yu'mao 坎络丝的羽毛
'ke'di 科谛
'ke'ji'wu'qi'lei 科技武器类
'ke'li'pu'jing 克里普晶
'kong'jian'ben'yuan'fa'ze 空间本源法则
'kong'jian'fa'ze 空间法则
'kong'jian'qie'ge 空间切割
'kong'jian'zun'zhe 空间尊者
'lan'si'luo 兰斯洛
'lei'dao 雷刀
'lei'shen 雷神
'lei'ting'dao 雷霆岛
'lei'ting'fa'ze 雷霆法则
'lian'luo 练落
'lie'yuan'shu 列元术
'lin'jia 鳞甲
'lin'jia'pian 鳞甲篇
'lin'jia'wen'lu 鳞甲纹路
'lin'luo 林洛
'lin'mo 临摹
'lin'pian 鳞片
'lin'pian'de'wen'li 鳞片的纹理
'lin'xi 林熙
'lin'zhan 林战
'ling'hun'jing'ti 灵魂晶体
'ling'hun'zhen'fu 灵魂振幅
'ling'jie 零阶
'liu'guang 流光
'liu'jie 六阶
'liu'wan'bei 六万倍
'liu'yin 流银
'long'xing'zhi'zhu 龙行之主
'long'yu'wang 珑玉王
'luo'cheng'zhu 罗城主
'luo'feng 罗峰
'luo'hong'guo 罗洪国
'luo'hua 罗华
'luo'ke'shen'shui 洛克神水
'man'ka'xing 蛮卡星
'man'luo 曼洛
'mang'niu 莽牛
'mi'fa 秘法
'mi'fa'lei 秘法类
'mi'wen 秘纹
'ming'yu 冥昱
'mo'luo'sa 摩罗撒
'mo'sha'zu 魔杀族
'mo'shi'mi'jing 末世秘境
'mo'yun'teng 摩云藤
'mu'ling'zhi'zhou 墓陵之舟
'mu'shi'kong 木时空
'mu'shui'kong 木水空
'mu'ya'jing 木伢晶
'mu'zhi'fa'ze 木之法则
'nian'li 念力
'nian'li'zhen'fu 念力振幅
'nian'shi 念师
'nie'pan 涅槃
'niu'tou'ren 牛头人
'peng'gong'zhi'zhu 彭工之主
'piao'xue 飘血
'pu'tong 普通
'pu'tong'bu'xiu 普通不朽
'qi'bian 七变
'qi'cai'yan'guo'shi 七彩眼果实
'qi'jie 七阶
'qi'xing'guang 七星光
'qian'huan'wang 千幻王
'qian'shui 千水
'qian'teng'shi'xing'cao 千藤食星草
'qian'wan'ji'yuan 千万纪元
'qian'wu'bi 乾巫币
'qian'wu'yu'zhou'guo 乾巫宇宙国
'qin'chuan'di'zi 亲传弟子
'qiu'long'cheng 虬龙城
'qiu'long'xing 虬龙星
'quan'ba 拳靶
'quan'li 拳力
'quan'li'ce'shi'ji 拳力测试机
'quan'shi 诠释
'ren'xing'zhi'zhu 魜星之主
'rong'he'fa'ze 融合法则
'rong'jun 戎钧
'san'jie 三阶
'san'qian'wei'du'kong'jian 三千维度空间
'san'qian'xing'kong 三千星空
'san'wan'bei 三万倍
'sha'lu 杀戮
'sha'wu 沙戊
'she'nv 蛇女
'shen'guo'tui'bian 神国蜕变
'shen'li'lu'xian 神力路线
'shen'ti'zhen'fu 身体振幅
'shen'wang 神王
'shen'yan'zu 神眼族
'sheng'di'yu'zhou 圣地宇宙
'sheng'ming'guo'shi 生命果实
'sheng'wang 圣王
'sheng'wu'lei 生物类
'sheng'wu'xin'pian 生物芯片
'shi'guo 食国
'shi'huo'zun'zhe 蚀火尊者
'shi'jian'ben'yuan'fa'ze 时间本源法则
'shi'jian'fa'ze 时间法则
'shi'jian'zun'zhe 时间尊者
'shi'jie'jie'zhi 世界戒指
'shi'kong 时空
'shi'kong'niu'zhuan 时空扭转
'shi'kong'sui'bi 时空随笔
'shi'lian'ta 试炼塔
'shi'teng'shi'xing'cao 十藤食星草
'shi'wan'bei 十万倍
'shi'wu'yu'yi 弑吴羽翼
'shi'xing'cao 食星草
'shi'xue'tan'ke 嗜血坦克
'shou'bing 兽兵
'shou'jiang 兽将
'shou'jiang'ji'bie 兽将级别
'shou'shen 兽神
'shou'shen'ben 兽神奔
'shou'shen'bian 兽神变
'shou'shen'bing 兽神兵
'shou'shen'diao'xiang 兽神雕像
'shou'shen'hou 兽神吼
'shou'shen'qi'sha 兽神七杀
'shou'shen'yi'jing 兽神意境
'shuang'mou 双眸
'shui'zhi'fa'ze 水之法则
'shun'yi 瞬移
'shuo'dao 说道
'si'jie 四阶
'su'du'ce'shi'yi 速度测试仪
'tai'chu'mi'jing 太初秘境
'ti'zhao 蹄爪
'tian'di'mi'jing 天地秘境
'tian'fu'mi'fa 天赋秘法
'tian'jian'shi 天剑式
'tian'shi'gong'zhu 天蚀宫主
'tian'xu'hun'dun'bei 天墟混沌碑
'tie'mao'ye'zhu 铁毛野猪
'tong'bing 通禀
'tong'tian'qiao 通天桥
'tong'tian'shan 通天山
'tu'ying 图影
'tu'zhi'fa'ze 土之法则
'tuo'shan'lu 驮山鹿
'wan'ling'zi'xue'zhi 万灵紫血汁
'wan'xian'liu 万线流
'wan'xin'kong'hun'mi'fa 万心控魂秘法
'wang'ji'guai'shou 王级怪兽
'wei'du'kong'jian 维度空间
'wei'e 巍峨
'wei'wen 魏文
'wei'zhou 微皱
'wu'bai'teng'shi'xing'cao 五百藤食星草
'wu'jie 五阶
'wu'ka 乌卡
'wu'ming'mi'dian 无名秘典
'wu'ni 雾妮
'wu'tong 邬通
'wu'tou 悟透
'wu'xian'shen'ti 无限神体
'wu'xing'wu'xiang 无形无相
'wu'yi 乌钇
'wu'zhe 武者
'xi'huang 犀皇
'xi'luo'duo 希罗多
'xi'yu'tu 细雨图
'xiang'dao 想道
'xiao'jian 小剑
'xiao'xing'yu'zhou 小型宇宙
'xing'chen'tu 星辰图
'xing'kong'ju'shou'lian'meng 星空巨兽联盟
'xing'xing'ji 行星级
'xu'jin'zhi'zhu 虚金之主
'xu'kong'zhen'shen 虚空真神
'xu'kong'zhi'ta 虚空之塔
'xu'ni'you'xi 虚拟游戏
'xu'ni'yu'zhou'gong'si 虚拟宇宙公司
'xu'ni'yu'zhou'wang'luo 虚拟宇宙网络
'xu'xin 徐欣
'xuan'miao 玄妙
'xue'luo'da'lu 血洛大陆
'xue'luo'jing 血洛晶
'xue'tu 学徒
'xue'ying 血影
'xue'ying'zhan'dao 血影战刀
'xun'cha'shi 巡察使
'yan'long'wang 炎龙王
'yan'shen 衍神
'yan'shen'bing 衍神兵
'yan'shen'qi'bian 衍神七变
'yan'shen'san'shi'liu'zhong 衍神三十六重
'yan'shen'zu 焱神族
'yan'zhu'wang 魇烛王
'yang'hui 杨辉
'yao'zu 妖族
'ye'feng 叶枫
'ye'rong 叶蓉
'yi'an'qu 宜安区
'yi'gun'hong'tian'di 一棍轰天地
'yi'ji 一击
'yi'jie 一阶
'yi'xian'liu 一线流
'yi'zu 异族
'yin'he'ling'zhu 银河领主
'yin'he'shi'zu 银河始祖
'yin'lan'di'guo 银兰帝国
'yin'yue'xiong'lang 银月凶狼
'ying'jin'dao 影金刀
'ying'mao 影猫
'ying'yang'cang 营养舱
'yong'heng'bu'mie 永恒不灭
'yong'heng'zhen'shen 永恒真神
'you'ying'dun 幽影盾
'you'ying'huan'shen 幽影幻身
'you'ying'mi'dian 幽影秘典
'you'ying'qi'jue'dao 幽影七绝刀
'yu'di'tu 雨滴图
'yu'xiang'shan 雨相山
'yu'yin 玉印
'yu'zhou'ba'zhu 宇宙霸主
'yu'zhou'di'yi'yin'hang 宇宙第一银行
'yu'zhou'guo 宇宙国
'yu'zhou'guo'zhu 宇宙国主
'yu'zhou'hai 宇宙海
'yu'zhou'ji 宇宙级
'yu'zhou'xing'he'yin'hang 宇宙星河银行
'yu'zhou'yong'bing'lian'meng 宇宙佣兵联盟
'yu'zhou'zhi'zhu 宇宙之主
'yu'zhu'dian'feng 域主巅峰
'yu'zhu'ji 域主级
'yu'zu 狱族
'yuan'neng 原能
'yuan'ren 猿人
'yuan'shi'mi'jing 原始秘境
'yuan'zu 原祖
'yun'mo'xing 陨墨星
'zhan'dao 战刀
'zhan'jiang 战将
'zhan'jiang'ji 战将级
'zhan'pao 战袍
'zhan'shen 战神
'zhan'shen'ji 战神级
'zhan'shi 战士
'zhan'shi'ji 战士级
'zhan'xue 战靴
'zhang'kong'zhe 掌控者
'zhen'fu 振幅
'zhen'qi'bao'wu'lei 珍奇宝物类
'zhen'shen 真神
'zhen'yan'wang 真衍王
'zhi'wu'sheng'ming 植物生命
'zhong'deng 中等
'zhong'li'shi 重力室
'zhou'mei 皱眉
'zhou'zheng'yong 周正永
'zhu'ge'tao 诸葛韬
'zhun'wu'zhe 准武者
'zi'cheng'shi'jie 自成世界
'zi'ge'zhan 资格战
'zi'guang'lu 紫光露
'zi'yue'sheng'di 紫月圣地
'zu'shen'jiao 祖神教
'zun'zhe 尊者
'zuo'shan'ke 坐山客
