'a'luo'han'dou 阿罗汉豆
'chao'ma'chi'xian 炒马齿苋
'chao'ma'lan'cao 炒马蓝草
'chao'mu'jin'hua 炒木锦花
'chao'sha'cha'niu'rou 炒沙茶牛肉
'chao'shi'chang'fen 潮式肠粉
'chao'xia'xie 炒虾蟹
'chao'xian'hua'gu 炒鲜花菇
'chao'xue'ya 炒血鸭
'chao'zhen'gan 炒珍肝
'chao'zhou'lu'shui'pin'pan 潮州卤水拼盘
'chao'zhou'niu'rou'wan 潮州牛肉丸
'chen'pi'tu'ding 陈皮兔丁
'cheng'gan'shao'rou 蛏干烧肉
'chi'jiao'shao'bai'shan 豉椒烧白鳝
'chi'tang'lian'hua 池塘莲花
'chong'cao'chai'ba'ya 虫草柴把鸭
'chuan'bei'liang'fen 川北凉粉
'chuan'bei'mi'fen 川北米粉
'chuan'chuan'xiang 串串香
'chuan'dian 船点
'chuan'guai'zi'rou 船拐子肉
'chuan'shi'fen'zheng'rou 川式粉蒸肉
'chuan'shi'xiang'chang 川式香肠
'chui'tai'ji'xia 炊太极虾
'chun'cai'tang'yu'pian 莼菜塘鱼片
'chun'cai'yin'yu'tang 莼菜银鱼汤
'cong'jiang'chao'xie 葱姜炒蟹
'cong'jiao'ji 葱椒鸡
'cong'shao'gu'yan 葱烧孤雁
'cong'shao'hai'shen 葱烧海参
'cong'shao'ti'jin 葱烧蹄筋
'cong'you'li'yu 葱油鲤鱼
'cu'jiao'yu 醋椒鱼
'cu'men'ji'san'jian 醋焖鸡三件
'cu'peng'dui'xia 醋烹对虾
'cui'huang'gua 脆黄瓜
'da'xian'deng'ying'niu'rou 达县灯影牛肉
'da'zhu'gan'si 大煮干丝
'dai'zi'shang'chao 带子上朝
'dan'dan'mian 担担面
'dan'hong'gao 蛋烘糕
'dan'shao'mai 蛋烧卖
'dan'shi'yi 蛋石衣
'dan'zao'xian'zhu'cheng 淡糟鲜竹蛏
'dan'zao'xiang'luo'pian 淡糟香螺片
'dang'gui'niu'nan 当归牛腩
'dang'gui'zhang'rou 当归獐肉
'de'zhou'pa'ji 德州扒鸡
'deng'ying'niu'rou 灯影牛肉
'di'ban'li'wei'ji 第板栗煨鸡
'di'guo'cao'ji 地锅草鸡
'di'wang'zhou 帝王粥
'ding'ding'tang 丁丁糖
'dong'an'ji 东安鸡
'dong'an'zi'ji 东安子鸡
'dong'fen'ban'ji'si 冻粉拌鸡丝
'dong'gua'bao 冬瓜煲
'dong'gua'si'ling 冬瓜四灵
'dong'gua'yi'mi'bao'ya 冬瓜薏米煲鸭
'dong'jiang'niang'dou'fu 东江酿豆付
'dong'jiang'yan'ju'ji 东江盐焗鸡
'dong'pi'long'zhu 东譬龙珠
'dong'po'hui'zeng'rou 东坡回赠肉
'dong'po'mo'yu 东坡墨鱼
'dong'po'rou 东坡肉
'dong'po'zhou'zi 东坡肘子
'dong'sun'chao'di 冬笋炒底
'dong'sun'la'rou 冬笋腊肉
'dong'ting'jin'gui 洞庭金龟
'dou'ban'xia 豆瓣虾
'dou'fu'hua 豆腐花
'dou'fu'xiang 豆腐箱
'dou'jia'chao'la'rou 豆荚炒腊肉
'dou'jiang'ji 豆酱鸡
'dou'jiao'ju'gao'xie 豆椒焗膏蟹
'dou'jiao'pai'gu 豆椒排骨
'dou'jiao'rou'si 豆椒肉丝
'dun'cai'he 炖菜核
'dun'he'chong 炖禾虫
'duo'jiao'zheng'hui'yu 剁椒蒸鮰鱼
'fa'si'niu'bai'ye 发丝牛百页
'fan'gua'tang 番瓜汤
'fan'gua'tang 番瓜饧
'fan'shu'zhou 番薯粥
'fang'la'yu 方腊鱼
'fei'chang'fen 肥肠粉
'fei'pian'guo'kui 肺片锅盔
'fen'zheng'niu'rou 粉蒸牛肉
'feng'dun'mu'dan 凤炖牡丹
'feng'hua'yu'tou 奉化芋头
'feng'luo'bo'ti'hua'tang 风萝卜蹄花汤
'feng'wei'xia 凤尾虾
'feng'wo'lian'zi 蜂窝莲子
'feng'xian'ping'guo 丰县苹果
'feng'yan'luo'pian 凤眼螺片
'fo'shou'pai'gu 佛手排骨
'fo'tiao'qiang 佛跳墙
'fu'chun'jiang'shi'yu 富春江鲥鱼
'fu'li'ji'shao'ji 符离集烧鸡
'fu'qi'fei'pian 夫妻肺片
'fu'rong'ji'pian 芙蓉鸡片
'fu'rong'li'yu 芙蓉鲤鱼
'fu'rong'san'xian'yu'wan 芙蓉三鲜鱼丸
'fu'rong'wu'yu'pian 芙蓉乌鱼片
'fu'rong'xia 芙蓉虾
'fu'rong'xia'ta 芙蓉虾塔
'fu'shun'dou'hua 富顺豆花
'fu'xi'ba'gua'yan 伏羲八卦宴
'fu'you'ji'pian 浮油鸡片
'fu'zhou'yu'wan 福州鱼丸
'gan'bian'niu'rou'si 干煸牛肉丝
'gan'bian'shan'pian 干煸鳝片
'gan'cai'men'rou 干菜焖肉
'gan'shan'niu'rou'si 干煽牛肉丝
'gan'shao'gui'yu 干烧桂鱼
'gan'shao'yan'li 干烧岩鲤
'gan'zha'qiu'yu 干炸鳅鱼
'gan'zha'xia'zao 干炸虾枣
'gan'zha'xiang'ling 干炸响铃
'gan'zheng'huo'yu 干蒸活鱼
'gao'huo'tui 皋火腿
'gao'liang'su 高梁粟
'gao'you'ma'ya 高邮麻鸭
'ge'li'huang'yu'geng 蛤蜊黄鱼羹
'gong'bao'ji'ding 宫保鸡丁
'gou'rou'bao 狗肉煲
'gou'zhao'dou 狗爪豆
'gu'lao'rou 咕咾肉
'gu'pei'guo'jia'shao'ji 古沛郭家烧鸡
'gu'pi'zhou 古邳粥
'gua'shuang'bai'guo 挂霜白果
'guai'wei'ji 怪味鸡
'guai'wei'ji'kuai 怪味鸡块
'guai'wei'tu'tou 怪味兔头
'guan'men'ba'xian 罐焖八仙
'guang'han'chan'si'tu 广汉缠丝兔
'guang'shi'shao'tian'ya 广式烧填鸭
'guang'zhou'wen'chang'ji 广州文昌鸡
'gui'da 龟打
'gui'hua'ti'jin 桂花蹄筋
'gui'hua'zha'gao 桂花楂糕
'gui'yang'tang 龟羊汤
'guo'ba'rou'pian 锅巴肉片
'guo'bian'hu 锅边糊
'guo'shao'man 锅烧鳗
'guo'shao'zhou'zi 锅烧肘子
'hai'shen'ba'zhou'zi 海参扒肘子
'hai'shen'pen'zheng 海参盆蒸
'hai'shen'zheng'pen 海参蒸盆
'hai'tang'dong'gu 海棠冬菇
'hai'xing'yu'sun 海星玉笋
'han'bao'zi 韩包子
'hang'zhou'wei'ji 杭州煨鸡
'hang'zhou'you'xiang'dou'fu'pi 杭州油乡豆腐皮
'hao'huang'feng'zhao 蚝皇凤爪
'hao'lao 蚝烙
'he'bao'dou'fu 荷包豆腐
'he'hua'tie'que 荷花铁雀
'he'hua'yu'du 荷花鱼肚
'he'jiang'kao'yu 合江烤鱼
'he'pu'huan'zhu 合浦还珠
'he'ye'fen'zheng'rou 荷叶粉蒸肉
'he'ye'rou 荷叶肉
'hong'dong'da'lu'jie 轰动大陆界
'hong'dun'yu'chi 红炖鱼翅
'hong'se'shao'niu'ti'jin 红色烧牛蹄筋
'hong'shao'guo'zi'li 红烧果子狸
'hong'shao'han'jun 红烧寒菌
'hong'shao'shan'pian 红烧鳝片
'hong'shao'yu'pi 红烧鱼皮
'hong'wei'ba'bao'ya 红煨八宝鸭
'hong'wei'niu'rou 红煨牛肉
'hong'wei'shui'yu'qun'bian 红煨水鱼裙边
'hong'wei'yang'ti'hua 红煨羊蹄花
'hong'wei'yu'chi 红煨鱼翅
'hong'xing'tu'ding 红星兔丁
'hong'zao'ji 红糟鸡
'hong'zao'yu'pai 红糟鱼排
'hu'die'hai'shen 蝴蝶海参
'hu'die'piao'hai 蝴蝶飘海
'hu'die'san'zi 蝴蝶馓子
'hu'guo'cai 护国菜
'hu'pao'su'huo'tui 虎跑素火煺
'hu'pi'mao'dou'fu 虎皮毛豆腐
'hua'gu'wu'huang'dan 花菇无黄蛋
'hua'ji'zhou 滑鸡粥
'hua'ru'wu'huang'dan 花茹无黄蛋
'huai'bao'li 怀抱鲤
'huai'yang'cai 淮扬菜
'huang'ba 黄粑
'huang'ba 黄耙
'huang'cong'ba'ti'jin 黄葱扒蹄筋
'huang'men'ji'kuai 黄焖鸡块
'huang'men'li'zi'ji 黄焖栗子鸡
'huang'men'ya'gan 黄焖鸭肝
'huang'men'zi'tong'e 黄焖子铜鹅
'huang'ni'wei'ji 黄泥煨鸡
'huang'pu'chao'dan 黄埔炒蛋
'huang'shan'dun'ge 黄山炖鸽
'huang'shan'xi 黄鳝席
'huang'yan'mi'ju 黄岩蜜桔
'huang'yu'dou'fu'geng 黄鱼豆腐羹
'hui'guo'rou 回锅肉
'hui'niu'nao'sui 烩牛脑髓
'hui'zhou'yuan'zi 徽州圆子
'huo'bao'huang'hou 火爆黄喉
'huo'bao'mao'du 火爆毛肚
'huo'bian'zi'niu'rou 火鞭子牛肉
'huo'tui'dun'jia'yu 火腿炖甲鱼
'huo'zhu'gan'si 火煮干丝
'ji'di'zhou'he'ting'zai'zhou 及第粥和艇仔粥
'ji'fei'ban'long'yan 纪妃伴龙颜
'ji'hui'she 鸡烩蛇
'ji'mi'ya'cai 鸡米芽菜
'ji'rong'jin'si'sun 鸡茸金丝笋
'ji'si'yan'wo 鸡丝燕窝
'ji'tang'cuan'hai'bang 鸡汤汆海蚌
'ji'tang'tun'hai'bang 鸡汤氽海蚌
'ji'tang'zhu'gan'si 鸡汤煮干丝
'ji'you'cai'xin 鸡油菜心
'ji'zhi'zhu'gan'si 鸡汁煮干丝
'ji'zhua'cao 鸡爪草
'jia'he'cui'pi'ji 嘉禾脆皮鸡
'jia'xiang'dou'fu 家乡豆腐
'jia'xiang'nan'rou 家乡南肉
'jia'xing'de'chao'xie'fen 嘉兴的炒蟹粉
'jian'hu'yu'wei 鉴湖鱼味
'jian'ou'feng'gan'de'ya'zi 建瓯风干的鸭子
'jian'shu'bing 煎薯饼
'jian'yang'yang'rou'tang 简阳羊肉汤
'jian'zao'man'yu 煎糟鳗鱼
'jiang'pai'gu 蒋排骨
'jiang'shi'lu'cai'yi'jue 姜氏卤菜一绝
'jiang'zhi'qing'kou 姜汁青口
'jiang'zhi'ya'zi 酱汁鸭子
'jiao'hua'ji 叫花鸡
'jiao'hua'tong'ji 叫化童鸡
'jiao'liu'li'ji 焦熘里脊
'jiao'sha'zhen'zhu'wan 窖沙珍珠丸
'jiao'yan'qing'xia 椒盐青虾
'jiao'zha'fei'chang 焦炸肥肠
'jiao'zhi'yu 浇汁鱼
'jin'chan'xi'zhu 金蟾戏珠
'jin'hua'huo'tui 金华火腿
'jin'ling'ban'ya 金陵板鸭
'jin'ling'cai 金陵菜
'jin'ling'wan'zi 金陵丸子
'jin'qian'yu 金钱鱼
'jin'si'dou'fu'gan 金丝豆腐干
'jin'xiang'bing 金香饼
'jin'yin'guo'li'zi 金银裹蛎子
'jin'yu'xi'lian 金鱼戏莲
'jing'jiang'de'rou'pu 靖江的肉脯
'jing'jiang'rou'pu 靖江肉脯
'jing'xiang'dou'fu 镜箱豆腐
'jing'xiang'dou'fu 镜镶豆腐
'jiu'niang'yuan'zi 酒酿圆子
'jiu'wei'ji 九味鸡
'jiu'zhuan'da'chang 九转大肠
'ju'hua'yu 菊花鱼
'ju'luo'yu'nao 桔络鱼脑
'juan'jian 卷煎
'kai'ping'chai'ba'gui'yu 开屏柴把桂鱼
'kai'shui'bai'cai 开水白菜
'kai'yang'chao'tai'cai 开阳炒苔菜
'kao'da'xia 烤大虾
'kao'fang 烤方
'kao'ru'zhu 烤乳猪
'kou'shui'ji 口水鸡
'ku'gua'niang'rou 苦瓜酿肉
'ku'zhai'tang 苦斋汤
'kui'hua'yu 葵花鱼
'la'rou'dun'shan'pian 腊肉炖鳝片
'la'tang 辣汤
'la'wei'he'zheng 腊味合蒸
'la'zi'fei'chang 辣子肥肠
'la'zi'ji 辣子鸡
'la'zi'tian'luo 辣子田螺
'lai'tang'yuan 赖汤圆
'lan'hu 烂糊
'lan'hua'chun'sun 兰花春笋
'lan'hua'pa'ji'rong'dou'fu 兰花扒鸡茸豆腐
'lang'zhong'zhang'fei'niu'rou 阆中张飞牛肉
'lao'fa'xia'ren 老法虾仁
'lao'jiang'ji'kuai 老姜鸡块
'lao'ma'chao'shou 老麻抄手
'lao'ma'ti'hua 老妈蹄花
'lao'mo 烙馍
'lao'pai'ya'zi 老牌鸭子
'lao'shao'yu 老烧鱼
'lao'zao'hong'shao'rou 醪糟红烧肉
'lao'zao'huo'guo 老灶火锅
'le'shan'tian'pi'ya 乐山甜皮鸭
'le'tian'ya'zi 乐天鸭子
'leng'chi'tu 冷吃兔
'leng'guo'chuan'chuan 冷锅串串
'leng'guo'yu 冷锅鱼
'li'gan 鲤干
'li'jia'wan'tui'qiu'yu 李家湾退鳅鱼
'li'zhi'rou 荔枝肉
'li'zhuang'bai'rou 李庄白肉
'li'zi'ji 栗子鸡
'liang'chi'gan'bei 两吃干贝
'liang'chi'li'yu 两吃鲤鱼
'liang'he'tao'pian 两河桃片
'liang'lai'feng'la'tang 两来风辣汤
'liang'wang'yu 梁王鱼
'liang'xi'cui'shan 梁溪脆鳝
'liao'pai'gu 廖排骨
'liu'gong'ya'yu 刘公雅鱼
'liu'huang'cai 熘黄菜
'liu'huang'qing'xie 溜黄青蟹
'liu'zi'ji 溜子鸡
'long'chao'shou 龙抄手
'long'feng'tang 龙风汤
'long'hu'dou 龙虎斗
'long'jing'xia'ren 龙井虾仁
'long'men'yu 龙门鱼
'long'nv'yi'hu'zhu 龙女一斛珠
'lu'guan'da'chang 卤灌大肠
'lu'ji 卤鸡
'lu'rou'guo'kui 卤肉锅盔
'lu'zhi'dou'fu'gan 卤汁豆腐干
'lun'dun'gao 伦敦糕
'ma'la'tu'tou 麻辣兔头
'ma'la'zi'ji 麻辣仔鸡
'ma'la'zi'ji 麻辣子鸡
'ma'po'dou'fu 麻婆豆腐
'ma'ren'xiang'su'ya 麻仁香酥鸭
'ma'yi'shang'shu 蚂蚁上树
'ma'yuan'tuan 麻圆团
'mai'sui'you'yu 麦穗鱿鱼
'mai'zi'tang 麦子饧
'man'ting'yan 幔亭宴
'mao'cai 冒菜
'mao'du'huo'guo 毛肚火锅
'mao'xue'wang 毛血旺
'mei'gui'gua'zi 玫瑰瓜子
'mi'san'dao 蜜三刀
'mi'zhi'huo'fang 蜜汁火方
'mi'zhi'shan'yao 蜜汁山药
'mian'yang'mi'fen 绵阳米粉
'mian'zhu'yang'rou'fen 绵竹羊肉粉
'min'sheng'guo 闽生果
'mo'yu'shao'ya 魔芋烧鸭
'mo'yu'xi'lie 魔芋系列
'mu'dan'jian'niang'she'pu 牡丹煎酿蛇脯
'mu'you'chuan'ya 母油船鸭
'mu'yu'chao'jiu'cai 目鱼炒韭菜
'mu'yu'da'kao 木鱼大烤
'nai'tang'ji'kuai 奶汤鸡块
'nai'tang'ji'pu 奶汤鸡脯
'nai'tang'sheng'ti'jin 奶汤生蹄筋
'nai'tang'shuang'wei 奶汤双味
'nai'tang'yin'fei 奶汤银肺
'nai'tang'yu'chi 奶汤鱼翅
'nai'tang'yuan'yu 奶汤元鱼
'nan'jian'wan'zi 南煎丸子
'nan'jing'hu'shu'ya 南京湖熟鸭
'nan'jing'xiang'du 南京香肚
'nan'tong'lang'shan'ji 南通狼山鸡
'nao'sui'juan 脑髓卷
'ni'xi'zhi'ma'gao 泥溪芝麻糕
'niang'he'bao'ji'yu 酿荷包鲫鱼
'niang'ku'gua 酿苦瓜
'niang'qing'jiao 酿青椒
'niang'yu'zi 酿芋子
'ning'bo'shao'e 宁波烧鹅
'ning'shi'shan'si 宁式鳝丝
'ning'xiang'kou'wei'she 宁乡口味蛇
'niu'fo'hong'zhou 牛佛烘肘
'niu'rou'dou'hua 牛肉豆花
'niu'rou'zheng'long 牛肉蒸笼
'niu'you'huo'guo 牛油火锅
'niu'zhong'san'jie 牛中三杰
'pai'nan 排南
'pao'cai'ban'tang'gui'yu 泡菜半汤桂鱼
'pao'jiao'feng'zhao 泡椒凤爪
'pao'jiao'mo'yu'zai 泡椒墨鱼仔
'pei'gong'gou'rou 沛公狗肉
'pei'xian'dong'tao 沛县冬桃
'pei'xian'gou'rou 沛县狗肉
'pei'xian'guang'dian'leng'mian 沛县广电冷面
'pen'bi'chun'ya 喷鼻椿芽
'pen'pen'ji 盆盆鸡
'pen'pen'xia 盆盆虾
'peng'cheng'yu'wan 彭城鱼丸
'peng'dui'xia'duan 烹对虾段
'peng'shan'tian'pi'ya 彭山甜皮鸭
'pi'jiu'ya 啤酒鸭
'pi'zhou'yin'xing 邳州银杏
'pin'shi'jin'he'cai 拼什锦合菜
'ping'pang'hua 乒乓粿
'pu'ning'dou'gan 普宁豆干
'pu'ning'dou'jiang'gu 普宁豆酱骨
'pu'tao'yu 葡萄鱼
'qi'lin'lu'yu 麒麟鲈鱼
'qi'lin'xiang'du 麒麟象肚
'qi'xing'yu'wan 七星鱼丸
'qian'ceng'bing 千层饼
'qiang'yao'hua 炝腰花
'qiao'jiao'niu'rou 跷脚牛肉
'qie'zhi'ji'rou 茄汁鸡肉
'qing'chao'xia'ren 清炒虾仁
'qing'cheng'shan'bai'guo'dun'ji 青城山白果炖鸡
'qing'cheng'shan'lao'la'rou 青城山老腊肉
'qing'dun'ji'fu 清炖鸡孚
'qing'dun'jia'ji'yu 清炖加吉鱼
'qing'dun'jia'yu 清炖甲鱼
'qing'dun'shi'zi'tou 清炖狮子头
'qing'dun'xie'fen'shi'zi'tou 清炖蟹粉狮子头
'qing'feng'song'shuang 清风送爽
'qing'jiao'ji 青椒鸡
'qing'luo'dun'ya 青螺炖鸭
'qing'tang'hua'ji'qiu 清汤滑鸡球
'qing'tang'huo'fang 清汤火方
'qing'tang'huo'fang'cao'ru 清汤火方草茹
'qing'tang'xie'wan 清汤蟹丸
'qing'tang'yu'du 清汤鱼肚
'qing'tang'yue'ji'wai 清汤越鸡外
'qing'tuan'zi 青团子
'qing'tun'li'zi 清氽蛎子
'qing'you'huo'guo 清油火锅
'qing'zheng'gui'yu 清蒸桂鱼
'qing'zheng'jia'ji'yu 清蒸加吉鱼
'qing'zheng'jia'li'yu 清蒸加力鱼
'qing'zheng'jiang'tuan 清蒸江团
'qing'zheng'shi'ji 清蒸石鸡
'qing'zheng'shi'yu 清蒸鲥鱼
'qing'zheng'ying'gui 清蒸鹰龟
'qiu'ye'jiao 秋叶饺
'qiu'yu'fu'dou'fu'tang 鳅鱼附豆腐汤
'qiu'yu'geng'zheng'dan 鳅鱼羹蒸蛋
'quan'jia'fu 全家福
'quan'shui'dou'hua 泉水豆花
'quan'shui'ji 泉水鸡
'quan'tou'su'tang 拳头粟饧
'quan'xie'xi 全蟹席
'quan'ya'xi 全鸭席
'quan'yu'xi 全鱼席
'que'chao'wu'cai'ji'si 雀巢五彩鸡丝
'qun'long'xi'zhu 群龙戏珠
're'zhou 热粥
'rong'tang'guang'du 茸汤广肚
'rou'mi'yu'chun 肉米鱼唇
'rou'niang'mian'jin 肉酿面筋
'rou'niang'sheng'fu 肉酿生麸
'rou'rong'dou'fu 肉茸豆腐
'rou'wan 肉丸
'ru'yi'hai'shen 如意海参
'ruan'liu'gui'yu 软熘桂鱼
'ruan'su'zhu'yao 软酥猪腰
'ruan'zha'li'ji 软炸里脊
'sai'xie'geng 赛蟹羹
'san'ceng'tao'ji 三层套鸡
'san'da'pao 三大炮
'san'gu'mao'cai 三顾冒菜
'san'mei'dou'fu 三美豆腐
'san'si'qiao'yu 三丝敲鱼
'san'si'yu'chi 三丝鱼翅
'san'tao'ya 三套鸭
'san'xia'dou'fu 三虾豆腐
'san'xian'hun'tun 三鲜馄饨
'san'xian'men'hai'shen 三鲜焖海参
'san'zi'dou'hua 馓子豆花
'sha'cha'ji'ding 沙茶鸡丁
'sha'di'ma'ti'bie 沙地马蹄鳖
'sha'guo'dun'gou'rou 砂锅炖狗肉
'sha'guo'zhou 砂锅粥
'sha'tang 啥汤
'shan'dong'hai'shen 山东海参
'shan'dong'zheng'wan 山东蒸丸
'shan'duan'fen'si 鳝段粉丝
'shan'hu'cai'juan 珊瑚菜卷
'shan'yu'huo'guo 鳝鱼火锅
'shan'yu'xi 鳝鱼席
'shang'xin'liang'fen 伤心凉粉
'shao'an'nan'zi 烧安南子
'shao'bai 烧白
'shao'e 烧鹅
'shao'gong'ji 烧公鸡
'shao'ji'gong 烧鸡公
'shao'su'hui 烧素烩
'shao'xia'qiu 绍虾球
'shao'xing'ma'ya 绍兴麻鸭
'shao'yan'e 烧雁鹅
'shao'yu'bai 烧鱼白
'shao'zhan'rou 烧占肉
'she'yan 蛇宴
'she'you'niu'rou 蛇油牛肉
'sheng'bao'shui'yu 生爆水鱼
'sheng'cai'long'xia 生菜龙虾
'shi'guo'ba'ni'qiu 石锅鲃泥鳅
'shi'jin'dong'gua'mao 什锦冬瓜帽
'shi'jin'wu'shi'can 什锦乌石参
'shi'jin'xi'gua'zhong 什锦西瓜盅
'shi'qu'bai'jun'dun'tu'ji 石渠白菌炖土鸡
'shi'zhua'ci 食抓糍
'shuan'jiu'pin 涮九品
'shuan'tu'rou 涮兔肉
'shuang'bao'chuan'fei 双爆串飞
'shuang'cui'guo'ba 双脆锅巴
'shuang'kou'niu'wan 爽口牛丸
'shuang'ma'luo'bu'bing 双麻箩卜饼
'shuang'pi'dao'yu 双皮刀鱼
'shuang'qian'dan'ru 双钱蛋茹
'shuang'wei'you'meng 双味蝤蠓
'shuang'wei'you'mou 双味蝤蛑
'shui'jing'yao'rou 水晶肴肉
'shui'jing'yao'ti 水晶肴蹄
'shui'zhu'niu'rou 水煮牛肉
'shui'zhu'rou'pian 水煮肉片
'shui'zhu'yu'deng 水煮鱼等
'shui'zhu'yu'wei 水煮鱼为
'si'sheng'pian'huo'guo 四生片火锅
'si'xi'jiao 四喜饺
'si'xi'wan'zi 四喜丸子
'song'rong'su'xue'yu'juan'zuo'su'yu'xiang'qie'zi 松茸素鳕鱼卷佐素鱼香茄子
'song'rong'ya'chi 松茸鸭翅
'song'sao'yu'geng 宋嫂鱼羹
'song'shu'gui'yu 松鼠桂鱼
'song'shu'gui'yu 松鼠鳜鱼
'song'shu'yu 松鼠鱼
'song'zi'rou 松子肉
'song'zi'tang 松子糖
'su'hai'dai 酥海带
'su'rou 酥肉
'su'shi'jiang'rou'he'jiang'ya 苏式酱肉和酱鸭
'su'xi'cai 苏锡菜
'su'zhou'tang'bao 苏州汤包
'suan'cai'yu 酸菜鱼
'suan'la'bi'tong'you'yu 酸辣笔筒鱿鱼
'suan'la'chong'cai 酸辣冲菜
'suan'la'dou'hua 酸辣豆花
'suan'la'fen 酸辣粉
'suan'la'gou'rou 酸辣狗肉
'suan'la'ya'xue 酸辣鸭雪
'suan'luo'bo'lao'ya'tang 酸萝卜老鸭汤
'suan'ni'bai'rou 蒜泥白肉
'suan'zi'bian'hua 蒜子鞭花
'suan'zi'yu'pi 蒜子鱼皮
'sui'ning'xiang'chang 睢宁香肠
'suo'bian'yu'huo'guo 梭边鱼火锅
'suo'yi'xia'qiu 蓑衣虾球
'tai'cai'tuo'huang'yu 苔菜拖黄鱼
'tai'cai'xiao'fang'kao 苔菜小方烤
'tai'gan 苔干
'tai'ji'yu'ni 太极芋泥
'tai'xu'wan'zi 太虚丸子
'tai'ye'ji 太爷鸡
'tan'dou'hua 谭豆花
'tang'cu'gui'yu 糖醋鳜鱼
'tang'cu'li'ji 糖醋里脊
'tang'cu'li'yu 糖醋鲤鱼
'tang'cu'pai'gu 糖醋排骨
'tang'cu'yuan'bai 糖醋沅白
'tang'pao'du 汤泡肚
'tao'yuan'tong'chui'ji'tui 桃源铜锤鸡腿
'tian'shao'bai 甜烧白
'tiao'shui'yu 跳水鱼
'tou'du'xu'yu 头肚须鱼
'tu'huo'guo 兔火锅
'tun'huang'guan'ji'sui 氽黄管脊髓
'wan'san'ti 万三蹄
'wan'zi'tang 丸子汤
'wang'you'cha'shao'dong'ting'gui'yu 网油叉烧洞庭桂鱼
'wen'fu'dou'tang'fan 温府豆汤饭
'wen'gong'cai 文公菜
'wen'si'dou'fu 文思豆腐
'wen'zheng'shan'sun 问政山笋
'wu'cai'chao'she'si 五彩炒蛇丝
'wu'cai'shan'si 五彩鳝丝
'wu'chao'shou 吴抄手
'wu'liu'ju 乌柳居
'wu'liu'ju 五柳居
'wu'wan'dai'biao 五碗代表
'wu'xi'rou'gu'tou 无锡肉骨头
'wu'xi'you'mian'jin 无锡油面筋
'wu'xiang'jiang'ji 五香酱鸡
'wu'xiang'jiang'rou 五香酱肉
'wu'xiang'jiao'rou 五香焦肉
'wu'xiang'lu'pai'gu 五香卤排骨
'wu'yuan'quan'ji 五元全鸡
'wu'zhi'cong'shao'li'yu 无汁葱烧鲤鱼
'xi'ba'dou'fu 西坝豆腐
'xi'chu'gong'cai 西楚贡菜
'xi'gua'ji 西瓜鸡
'xi'gua'tong'ji 西瓜童鸡
'xi'hu'chun'cai 西湖莼菜
'xi'hu'chun'cai'tang 西湖莼菜汤
'xi'hu'cu'yu 西湖醋鱼
'xi'hu'long'jing'cha 西湖龙井茶
'xia'yang'mu'xi'gao 峡阳木樨糕
'xia'you'ji 虾油鸡
'xia'zi'jiang'you 虾子酱油
'xia'zi'mian'jin 虾子面筋
'xian'cai'da'tang'huang'yu 咸菜大汤黄鱼
'xian'dan'zheng'rou'bing 咸蛋蒸肉饼
