'an'gang 暗杠
'pai'cheng 牌城
'pai'chi 牌池
'pai'pu 牌谱
'pai'shu 牌数
'pai'you 牌友
'pan'fen 盘分
'pei'pai 配牌
'peng'pai 碰牌
'peng'peng'he 碰碰和
'pi'hu 屁和
'pin'yin'jia'jia 拼音佳佳
'pin'yin'jia'jia'ci'ku 拼音佳佳词库
'ping'he 平和
'ping'hu 平和
'ping'ju 平局
'po'hui'ba'lian'zhuang 破回八连庄
'pu'pu'dao 铺铺倒
'qi'ben'chang 七本场
'qi'bing 七饼
'qi'dui 七对
'qi'dui'zi 七对子
'qi'fan 七番
'qi'hu 起和
'qi'hu'fen 起和分
'qi'pai 砌牌
'qi'qiao 七巧
'qi'suo 七索
'qi'tiao 七条
'qi'tong 七筒
'qi'wan 七万
'qi'xiao'dui 七小对
'qi'xing 七星
'qi'xing'bu'kao 七星不靠
'qi'xing'ju'hui 七星聚会
'qi'xing'ju'yi 七星聚义
'qi'xing'wu'kao 七星无靠
'qian'dan 嵌单
'qian'zhang 嵌张
'qian'zhang'ting 嵌张听
'qian'zhang'ting'pai 嵌张听牌
'qiang'an'gang 抢暗杠
'qiang'an'gang 枪暗杠
'qiang'gang 抢杠
'qiang'gang 枪杠
'qiang'gang'he 抢杠和
'qin'tiao 亲跳
'qing'bei'kou 清杯口
'qing'dong'men 青洞门
'qing'jia 亲家
'qing'lao 清老
'qing'lao'tou 清老头
'qing'long 清龙
'qing'long 青龙
'qing'san'jie 清三节
'qing'si'peng 清四碰
'qing'yao'jiu 清幺九
'qing'yi 清一
'qing'yi'se 清一色
'qing'yi'tiao'long 清一条龙
'quan'bu'kao 全不靠
'quan'da 全大
'quan'da'you'xu'shu'pai 全大由序数牌
'quan'dai 全带
'quan'dai'wu 全带五
'quan'dai'yao 全带幺
'quan'dai'yao'jiu 全带幺九
'quan'feng 圈风
'quan'feng'ke 圈风刻
'quan'qiu'ren 全求人
'quan'shi'yao 全是幺
'quan'shuang'ke 全双刻
'quan'shuang'you'xu'shu'pai 全双由序数牌
'quan'xiao 全小
'quan'xiao'you'xu'shu'pai 全小由序数牌
'quan'yao 全幺
'quan'yao'jiu 全幺九
'quan'zhong 全中
'quan'zhong'you'xu'shu'pai 全中由序数牌
'quan'zhuang 全庄
'quan'zhuang'zhan 全庄战
'quan'zi 全字
'que'long'men 雀龙门
'que'men 缺门
'que'sheng 雀圣
'que'shi 雀士
'que'tou 雀头
'que'tou'fu 雀头符
'que'yi'men 缺一门
'que'zhuang 雀庄
'que'zhuo 雀桌
'ran'shou 染手
'ren'hu 人和
'rong'hu 荣和
'san'an'ke 三暗刻
'san'bei'man 三倍满
'san'bei'man'guan 三倍满贯
'san'bei'yi'man 三倍役满
'san'ben'chang 三本场
'san'bing 三饼
'san'bu'gao 三步高
'san'fan 三番
'san'feng'ke 三风刻
'san'gang 三杠
'san'gang'zi 三杠子
'san'jia'he'liu'ju 三家和流局
'san'jia'hu 三家和
'san'jia'hu 三家胡
'san'jia'hu'liu'ju 三家胡流局
'san'lian'ke 三连刻
'san'lian'peng 三连碰
'san'ma 三麻
'san'mo'yi 三摸一
'san'que'yi 三缺一
'san'ren'ma 三人麻
'san'ren'ma'jiang 三人麻将
'san'se'jie'jie'gao 三色节节高
'san'se'lian'ke 三色连刻
'san'se'san'bu'gao 三色三步高
'san'se'san'jie'gao 三色三节高
'san'se'san'tong'shun 三色三同顺
'san'se'shuang'long'hui 三色双龙会
'san'se'tong'guan 三色通贯
'san'se'tong'ke 三色同刻
'san'se'tong'shun 三色同顺
'san'suo 三索
'san'tiao 三条
'san'tong 三筒
'san'tong'ke 三同刻
'san'wan 三万
'san'xia'ma'jiang 三峡麻将
'san'xiang'ting 三向听
'san'yuan'hui 三元会
'san'yuan'ji'di 三元及第
'san'yuan'pai 三元牌
'san'yuan'qi'dui 三元七对
'san'yuan'qi'dui'zi 三元七对子
'san'zhang 散张
'san'zi'mei 三姊妹
'shan'pai 山牌
'shang'hai'ma'jiang 上海麻将
'shang'jia 上家
'shang'pai 上牌
'shang'zhang 上张
'shao'ji 烧鸡
'shao'zhang 少张
'shao'zhu 烧猪
'she'pai 捨牌
'shen'pai 审牌
'shen'yang'ma'jiang 沈阳麻将
'sheng'pai 生牌
'shi'ba'luo'han 十八罗汉
'shi'duan 食断
'shi'er'fan 十二番
'shi'er'luo'tai 十二落抬
'shi'fan 十番
'shi'san'bu'da 十三不搭
'shi'san'bu'kao 十三不靠
'shi'san'bu'ta 十三不塔
'shi'san'fan 十三番
'shi'san'lan 十三烂
'shi'san'wu'kao 十三无靠
'shi'san'yao 十三幺
'shi'yi'fan 十一番
'shou'pai 手牌
'shu'pai 数牌
'shu'zi'da'fa 数字打法
'shu'zi'pai 数字牌
'shuang'an'gang 双暗杠
'shuang'an'ke 双暗刻
'shuang'bei 双北
'shuang'bei'feng 双北风
'shuang'bei'li'zhi 双倍立直
'shuang'dong 双东
'shuang'dong'feng 双东风
'shuang'jian'ke 双箭刻
'shuang'li'zhi 双立直
'shuang'liu 双六
'shuang'long'zheng'zhu 双龙争珠
'shuang'ming'gang 双明杠
'shuang'nan 双南
'shuang'nan'feng 双南风
'shuang'peng'ting 双碰听
'shuang'peng'ting'pai 双碰听牌
'shuang'tong'ke 双同刻
'shuang'xi 双西
'shuang'xi'feng 双西风
'shuang'yi'man 双役满
'shun'gang 顺杠
'shun'wei'dian 顺位点
'shun'zi 顺子
'si'an'ke 四暗刻
'si'bei'man 四倍满
'si'bei'man'guan 四倍满贯
'si'bei'yi'man 四倍役满
'si'ben'chang 四本场
'si'bing 四饼
'si'chuan'ma'jiang 四川麻将
'si'fan 四番
'si'fang'da'fa 四方大发
'si'fang'da'fa'cai 四方大发财
'si'feng'hui 四风会
'si'feng'lian'da 四风连打
'si'feng'pai'lian'da 四风牌连打
'si'gang 四杠
'si'gang'liu'ju 四杠流局
'si'gang'zi 四杠子
'si'gui'yi 四归一
'si'kai'gang 四开杠
'si'lian'ke 四连刻
'si'mian'zi'yi'que'tou 四面子一雀头
'si'ren'li'zhi 四人立直
'si'ren'ma'jiang 四人麻将
'si'shun'zi 四顺子
'si'suo 四索
'si'tiao 四条
'si'tong 四筒
'si'wan 四万
'si'xi'hu 四喜和
'si'xi'qi'dui 四喜七对
'si'xi'qi'dui'zi 四喜七对子
'si'xiang'ting 四向听
'si'zi'ke 四字刻
'suo'zi 索子
'suo'zi'pai 索子牌
'ta'jia 他家
'ta'zi 塔子
'tai'wan'ma'jiang 台湾麻将
'tai'yuan'ma'jiang 太原麻将
'te'kuai'che'piao 特快车票
'te'shu'yi 特殊役
'tian'feng 天凤
'tian'hu 天和
'tian'jin'ma'jiang 天津麻将
'tiao'man 跳满
'tiao'pai 跳牌
'tiao'pai'ke 跳牌刻
'ting'pai 听牌
'ting'pai'ji'li'zhi 听牌即立直
'tong'ke 同刻
'tong'san'ju 同三句
'tong'shun 同顺
'tong'si'ju 同四句
'tong'zi'pai 筒子牌
'tou'gang'he 头杠和
'tui'bu'dao 推不倒
'wan'guan 万贯
'wan'zi'pai 万子牌
'wang'pai 王牌
'wei'ting 未听
'wei'ting'pai 未听牌
'wei'xian'pai 危险牌
'wen'qian 文钱
'wen'zhou'ma'jiang 温州麻将
'wu'ben'chang 五本场
'wu'bing 五饼
'wu'bing'kai'hua 五饼开花
'wu'cai'shen 无财神
'wu'fan 五番
'wu'fan'hu 无番和
'wu'han'ma'jiang 武汉麻将
'wu'men'qi 五门齐
'wu'qian'dian'bang 五千点棒
'wu'san 五三
'wu'suo 五索
'wu'tiao 五条
'wu'tong 五筒
'wu'tong'kai'hua 五筒开花
'wu'wan 五万
'wu'xiang'ting 五向听
'wu'xin'tong'guan 五心通贯
'wu'zi 无字
'xi'er'ju 西二局
'xi'feng 西风
'xi'feng'quan 西风圈
'xi'jia 西家
'xi'pai 洗牌
'xi'ru 西入
'xi'san'ju 西三局
'xi'si'ju 西四局
'xi'xiang'feng 喜相逢
'xi'yi'ju 西一局
'xia'jia 下家
'xian'jia 闲家
'xian'wu 现物
'xiang'ting 向听
'xiang'xi'ma'jiang 湘西麻将
'xiang'yang'ma'jiang 襄阳麻将
'xiao'che'lun 小车轮
'xiao'he 小和
'xiao'ming'gang 小明杠
'xiao'san'yuan 小三元
'xiao'si'feng'hui 小四风会
'xiao'si'xi 小四喜
'xiao'si'xi'hu 小四喜和
'xiao'xiang'gong 小相公
'xiao'yu'wu 小于五
'xie'po 斜坡
'xing'bu'kao 星不靠
'xing'shi'ting'pai 形式听牌
'xing'ting 形听
'xu'shu'pai 序数牌
'xuan'shang'pai 悬赏牌
'yan'fan 燕返
'yan'jing 眼镜
'yao'ji 幺鸡
'yao'jiu'ke 幺九刻
'yao'jiu'pai 幺九牌
'ye'zi'ge'xi'qi'yuan'shuo 叶子格戏起源说
'yi'bai'dian'bang 一百点棒
'yi'ban'gao 一般高
'yi'bei'kou 一杯口
'yi'ben'chang 一本场
'yi'bing 一饼
'yi'bing'mo'yue 一饼摸月
'yi'chang'ma'jiang 宜昌麻将
'yi'dian'hong 一点红
'yi'dui 一对
'yi'fan 一番
'yi'man 役满
'yi'pai 役牌
'yi'pao'duo'xiang 一炮多响
'yi'pao'liang'xiang 一炮两响
'yi'pao'san'xiang 一炮三向
'yi'pao'san'xiang 一炮三响
'yi'pao'shuang'xiang 一炮双响
'yi'qi'tong'guan 一气通贯
'yi'qi'tong'guan'quan'dai'yao'jiu 一气通贯全带幺九
'yi'qian'dian'bang 一千点棒
'yi'quan 一圈
'yi'se'san'bu'gao 一色三步高
'yi'se'san'jie'gao 一色三节高
'yi'se'san'shun 一色三顺
'yi'se'san'tong'shun 一色三同顺
'yi'se'shuang'long'hui 一色双龙会
'yi'se'si'bu'gao 一色四步高
'yi'se'si'jie'gao 一色四节高
'yi'se'si'shun 一色四顺
'yi'se'si'tong'shun 一色四同顺
'yi'suo 一索
'yi'tiao 一条
'yi'tiao'long 一条龙
'yi'ting'yi'hu 一听一和
'yi'tong 一筒
'yi'tong'mo'yue 一筒摸月
'yi'wan 一万
'yi'wan'dian'bang 一万点棒
'yi'zhong 役种
'yun'nan'ma'jiang 云南麻将
'zha'hu 诈和
'zhen'ting 振听
'zheng'he'xia'xi'yang'qi'yuan'shuo 郑和下西洋起源说
'zhi'ji 直击
'zhi'qu'sheng'chen'gang 智取生辰纲
'zhong'fa'bai 中发白
'zhong'zhang'pai 中张牌
'zhua'pai 抓牌
'zhuang'feng'pai 庄风牌
'zhuang'jia 庄家
'zhuo'zi 桌子
'zi'feng 自风
'zi'feng'pai 自风牌
'zi'jia 子家
'zi'mo 自摸
'zi'mo'fu 自摸符
'zi'mo'hu 自摸和
'zi'mo'hu 自摸胡
'zi'mo'qing'yi'se 自摸清一色
'zi'pai 字牌
'zi'yi'se 字一色
'zu'he'long 组合龙
'zuo'xiang'gong 做相公
'zuo'zhuang 坐庄
