'a'shui'xiao'de 阿谁消得
'bian'shi'zun'qian'zui'dao'geng'pai'huai 便使樽前醉倒更徘徊
'bian'xiang'jiang'zuo'shou'bao'qin'shu 便相将左手抱琴书
'bian'xue'luan'huang 便学鸾凰
'bian'yu'cheng'feng 便欲乘风
'bian'yu'jun'chi'shang'mi'can'chun 便与君池上觅残春
'bian'zhu'chi'yi'qu'de'wu 便逐鸱夷去得无
'biao'de'yuan'lai'shi'sheng'zhi 表德元来是胜之
'biao'li'tong'che'cheng'feng'qi 表里通彻乘风起
'bie'chang'duo'shao'chou'men 别肠多少愁闷
'bie'cheng'yi'lai 别乘一来
'bie'fu'pao'chu'duan'ou'si 别妇抛雏断藕丝
'bie'he'lai'shi 别贺来时
'bie'hou'you'shui'lai 别后有谁来
'bie'jiu'pin'qing 别酒频倾
'bie'jiu'quan'jun'jun'yi'zui 别酒劝君君一醉
'bie'kai'xi'jing'zuo'qi'hua 别开蹊径作奇画
'bie'lai'san'du 别来三度
'bie'lai'xiang'yi 别来相忆
'bie'lai'yin'xin'nan'jiang 别来音信难将
'bie'li 别离
'bie'meng'yi'sui'liu'shui 别梦已随流水
'bie'shi'feng'liu'biao'ge 别是风流标格
'bie'shi'mei'zi'jie 别时梅子结
'bin'ru'shuang 鬓如霜
'bin'shu'chan 鬓梳蝉
'bin'wei'shuang 鬓微霜
'bin'yun'chui'luan 鬓云吹乱
'bin'zhu'tan'feng'shui'de'si 宾主谈锋谁得似
'bing'dian'dui'yun'ji 冰簟堆云髻
'bing'ji'yu'gu 冰肌玉骨
'bing'ji'zi'shi'sheng'lai'shou 冰肌自是生来瘦
'bing'jie'lei'zhu'yuan 冰结泪珠圆
'bing'li'shuang'fu'kun 并立双趺困
'bing'xu'yan'yan 病绪厌厌
'bing'xue'po'chun'yan 冰雪破春妍
'bing'xue'tou'xiang'ji 冰雪透香肌
'bing'zi'zi'you'xian'feng 冰姿自有仙风
'bo'hu'qin'yu 拨胡琴语
'bo'lang'zhui 博浪椎
'bo'nong'yao'xian 拨弄幺弦
'bo'shan'chun'yuan'xian'hua'luo 薄衫春院闲花落
'bo'sheng'pai'zhen'chang'huai'xiao 波声拍枕长淮晓
'bo'tong'zui'yan'liu 波同醉眼流
'bo'xing'zhi'tan'you'ye'qu 薄幸只贪游冶去
'bo'yi'shu'qi'shou'yang'shan 伯夷叔齐首阳山
'bo'yun'shu'yu'bu'cheng'ni 薄云疏雨不成泥
'bu'bi'ren'jian'lan'she 不比人间兰麝
'bu'ci'tiao'di'guo'guan'shan 不辞迢递过关山
'bu'cui'lu'qi'qu 步翠麓崎岖
'bu'da'zhi'gang 不大至刚
'bu'dao'ru'he'ji'shi 不道如何即是
'bu'dao'xie'gong'tai 不到谢公台
'bu'du'xiao'shu'sheng'zheng'di'shi 不独笑书生争底事
'bu'fang'dan'zhe'jiao'xiao 不妨单着鲛绡
'bu'gong'qi'pa'si'bai'nian 不贡奇葩四百年
'bu'guan'luo'yi'tui 不管罗衣褪
'bu'he'shi'yi'huo'gai'si 不合时宜活该死
'bu'hen'ci'hua'fei'jin 不恨此花飞尽
'bu'hui'que'sheng'lai'bao'xi 不会鹊声来报喜
'bu'ji'gui'shi'jie 不记归时节
'bu'ji'lai'shi'lu 不记来时路
'bu'jian'cai'sheng'hua'ban'xi'yao'qing 不见綵绳花板细腰轻
'bu'jian'er'jin'quan'jiu'ren 不见而今劝酒人
'bu'jian'ju'ren'zhi'jian'cheng 不见居人只见城
'bu'jian'lao'po'san'wu'shao'nian'shi 不见老婆三五少年时
'bu'jian'lian'mei'ren 不见敛眉人
'bu'jian'ying'ti'hua'luo'chu 不见莺啼花落处
'bu'jin'gong'chi'yi'jiu'zhi 不仅宫池依旧制
'bu'jue'qiu'qiang'ban 不觉秋强半
'bu'kan'jin'dai'chui'yao 不堪金带垂腰
'bu'ling'hui'chang'gong 布令挥长弓
'bu'lun'peng'yu'diao 不论鹏与雕
'bu'ming'jing 不明经
'bu'ren'jian'qi'chong'hu'fu 不忍见其充虎腹
'bu'ru'gui'qu 不如归去
'bu'ru'gui'qu'jiu'qing'shan 不如归去旧青山
'bu'ru'liu'qu 不如留取
'bu'shi'hua'hong'shi'yu'hong 不是花红是玉红
'bu'shi'shi'jun'neng'jiao'shi 不是使君能矫世
'bu'shi'yang'hua 不是杨花
'bu'si'bai'yun'xiang'wai'leng 不似白云乡外冷
'bu'si'liang 不思量
'bu'si'qiu'guang 不似秋光
'bu'si'tian'ya 不似天涯
'bu'suan'zi'huang'zhou'ding'hui'yuan'yu'ju'zuo 卜算子黄州定慧院寓居作
'bu'suan'zi'shu'ke'dao'jiang'nan 卜算子蜀客到江南
'bu'wei'li'xu'bian'ying'jia 不为吏胥便营贾
'bu'xi'yu'shan'pan'zui'dao 不惜玉山拚醉倒
'bu'xian'fu 不献赋
'bu'xian'zhu'xi'ge'chui'gu'yang'zhou 不羡竹西歌吹古扬州
'bu'xie'shou'lin'jian 步携手林间
'bu'xin'gui'lai'dan'zi'kan 不信归来但自看
'bu'xu'sheng'duan 步虚声断
'bu'xue'chi'niu'ai'nv 不学痴牛騃女
'bu'yao'huang'jin 不要黄金
'bu'yi 不已
'bu'yin'song'zi 不因送子
'bu'ying'dan'jia'wei'wu'yu 不应弹铗为无鱼
'bu'ying'hui'shou 不应回首
'bu'ying'tong'shu'ke 不应同蜀客
'bu'ying'you'hen 不应有恨
'bu'yong'bei'qiu 不用悲秋
'bu'yong'chan'tou'qian'chi'jin 不用缠头千尺锦
'bu'yong'lian'shuang'e 不用敛双蛾
'bu'yong'si'liang'jin'gu 不用思量今古
'bu'yong'su'li'shang 不用诉离觞
'bu'yong'xu'fei'qiong 不用许飞琼
'bu'yu'li'hua'tong'meng 不与梨花同梦
'bu'yu'shu'kong 不语书空
'bu'yu'yi'nan'liang 不语意难量
'bu'yuan'qiu'xin'qiao 不愿求新巧
'bu'zhi'lai'sui'yu'shui'kan 不知来岁与谁看
'bu'zhi'ming'ri'wei'shui'huang 不知明日为谁黄
'bu'zhi'tian'shang'gong'que 不知天上宫阙
'bu'zhi'zhong'gu'bao'tian'ming 不知钟鼓报天明
'bu'zhi'zhong'hui'shi'he'nian 不知重会是何年
'bu'zhuan'hui'lang 步转回廊
'bu'zi'jue'huang'huang'yu'he'zhi 不自觉皇皇欲何之
'cai'dao'long'shan'ma'zu'qing 才到龙山马足轻
'cai'ling'shi'cui 采菱拾翠
'cai'sang'zi'duo'qing'duo'gan'reng'duo'bing 采桑子多情多感仍多病
'cai'shu'you'zhui 才疏又缀
'cai'suo'shen'qing'chang'chen'yan 彩索身轻长趁燕
'cai'wen'zhuan'shi'bai'cao'gong 才闻专使拜曹公
'cai'xian'qing'chan'hong'yu'bi 彩线轻缠红玉臂
'can'dan'wu'ming'hui 惨淡无明辉
'can'feng'yu 骖风驭
'can'hong'wu'chu 残红无处
'can'kui'jin'nian'er'mai'feng 惭愧今年二麦丰
'can'kui'qing'song'shou'sui'han 惭愧青松守岁寒
'can'ling'ji'pian'bao'zai'huai 残翎几片抱在怀
'can'mu'yin 惨目吟
'can'yue'huang'jin'shu 残月黄金梳
'can'zhuang'fen 残妆粉
'can'zhuang'wan'zhao'xian 残妆晚照闲
'cang'wu'yan'shui'duan'gui'cheng 苍梧烟水断归程
'cang'yan'hua'fa 苍颜华发
'cao'gong'huang'zu'ju'piao'hu 曹公黄祖俱飘忽
'cao'liu'jin'dui'liang'su'zhang 曹刘今对两苏张
'cao'lu'yi'zhan'yi 草露已沾衣
'cao'mu'chong'yu'zuo'ban'lv 草木虫鱼作伴侣
'cao'se'yao'kan'jin'que'wu 草色遥看近却无
'cao'tang'yao'zhi'jiang'dong 草堂遥指江东
'cao'tou'qiu'lu'liu'zhu'hua 草头秋露流珠滑
'cao'xi'shan'zhong'can'zhao'li 草细山重残照里
'ce'zhang'kan'gu'yun'mu'hong'fei 策杖看孤云暮鸿飞
'ceng'bing'zhang'ju'ting 层冰涨橘汀
'ceng'dao'kun'lun 曾到昆仑
'ceng'dian'yu'luo'ri 层巅余落日
'ceng'jian'qing'luan 曾见青鸾
'ceng'lou'cui'bi 层楼翠壁
'ceng'shi'xi'hu'yu 曾湿西湖雨
'ceng'sui'zhi'nv'du'yin'suo 曾随织女度银梭
'ceng'xiang'du'bian'xue'ling'yu 曾向渡边学翎羽
'ceng'zui'li'ge'yan 曾醉离歌宴
'cha'you'xin 槎有信
'chan'chan 巉巉
'chan'gu'yu'yang'wo'wei'bian 掺鼓渔阳挝未遍
'chan'xin'yi'duan'ren'jian'ai 禅心已断人间爱
'chang'ai'yue'hua'qing 长爱月华清
'chang'an'yuan'si'tian 长安远似天
'chang'bian'shan'dong'yi'bai'zhou 唱遍山东一百州
'chang'chou'luo'wa'ling'bo'qu 长愁罗袜凌波去
'chang'di'chui'xin'shui 长笛吹新水
'chang'di'yi'sheng'he'chu 长笛一声何处
'chang'duan'chu 肠断处
'chang'duan'yun'jian'zi'yu'xiao 肠断云间紫玉箫
'chang'feng'wan'li 长风万里
'chang'geng'dui'yue'du'qi'liang 长庚对月独凄凉
'chang'gong'tian'nan'lao 长共天难老
'chang'hen'ci'shen'fei'wo'you 长恨此身非我有
'chang'hua'niang'jiu 菖花酿酒
'chang'ji'dang'chu 长记当初
'chang'ji'gao'ren'you'cheng'ju 常记高人右丞句
'chang'ji'ming'qin'zi'jian'tang 长记鸣琴子贱堂
'chang'ji'ping'shan'tang'shang 长记平山堂上
'chang'jin'lv'yi'sheng'yuan'qie 唱金缕一声怨切
'chang'lang'gu'si 长廊古寺
'chang'lin'gao'fu 长林高阜
'chang'lou'ban'ren'wu'mei 长漏伴人无寐
'chang'men'deng'qiao 长门灯悄
'chang'she'fan'hong 长舌翻红
'chang'si'ou'xiao'lang 长丝藕笑郎
'chang'wang'shui'chen'yan'niao 怅望水沉烟袅
'chang'wang'song'chun'bei 怅望送春杯
'chang'wo'xin'ci'lei'zhan'yi 唱我新词泪沾臆
'chang'xian'gui'fei'he 长羡归飞鹤
'chang'xian'ren'jian'zhuo'yu'lang 常羡人间琢玉郎
'chang'yi'bie'shi 长忆别时
'chang'yi'wu'shan'hao 长忆吴山好
'chang'zhu'zi'yuan'xin'qu 唱著子渊新曲
'chang'zuo'dong'nan'bie 常作东南别
'chao'lai'chu'ri'ban'xian'shan 朝来初日半衔山
'chao'lai'di'shi 朝来底事
'chao'lai'he'shi'lv'huan'qing 朝来何事绿鬟倾
'chao'lai'jiu'mo'dai'sui'che 朝来九陌带随车
'chao'lai'ting'xia 朝来庭下
'chao'lai'wen 潮来稳
'chen'man'mian 尘满面
'chen'pai'luan'fei'jing 趁拍鸾飞镜
'chen'ren'wen 瞋人问
'chen'she'wu'guang'qi'tian'jian 陈涉吴广起田间
'chen'shi'nan'feng'kai'kou'xiao 尘世难逢开口笑
'chen'shuang'geng'geng 晨霜耿耿
'chen'xin'xiao'jin'dao'xin'ping 尘心消尽道心平
'chen'yuan'xiang'wu 尘缘相误
'cheng'cha'gui'qu 乘槎归去
'cheng'de'pao'hui'hen'shi'qing 成得炮灰恨始轻
'cheng'du'bu'si 成都卜肆
'cheng'du'he'zai 成都何在
'cheng'luan'lai'qu 乘鸾来去
'cheng'qun'xiang'ju'chu 成群相聚处
'cheng'shang'ceng'lou'die'yan 城上层楼叠巘
'cheng'shang'gao'tai 城上高台
'cheng'shang'ting'tai'you'ke'zui 城上亭台游客醉
'cheng'shi'jun'zhi'ke 称使君知客
'cheng'tou'yue'luo'shang'ti'wu 城头月落尚啼乌
'cheng'xia'qing'huai'gu'bian 城下清淮古汴
'cheng'yu'jing'nv'he'ren'jian 城隅静女何人见
'chi'bei'geng'fu'quan'hua'zhi 持杯更复劝花枝
'chi'bei'yao'quan'tian'bian'yue 持杯遥劝天边月
'chi'bei'yue'xia'hua'qian'zui 持杯月下花前醉
'chi'cheng'ju'shi 赤城居士
'chi'chi'tan'er'zhong'bian'mang 蚩蚩叹尔众编氓
'chi'hua'ying'ri'hong 墀花映日红
'chi'jie'yun'zhong 持节云中
'chi'kai'hen'bu'gui 迟开恨不归
'chi'liu 迟留
'chi'ri'hen'yi'yi 迟日恨依依
'chi'xin'you'zi 痴心犹自
'chong'chong'jiang'wai'ping'hu 重重江外平湖
'chong'chong'qing'gai'xia 重重青盖下
'chong'chong'si'hua 重重似画
'chong'chong'yan'shu 重重烟树
'chong'lai 重来
'chong'wu'xiu'yan'sheng'zui'jin 重五休言升最紧
'chou'chang'gu'fan'lian'ye'fa 惆怅孤帆连夜发
'chou'dui'feng'guang 愁对风光
'chou'hua'jing'dui'xiu 愁花井对羞
'chou'mu'duan 愁目断
'chou'ru'cen'ci'yan 愁入参差雁
'chou'yun'zheng'man'man 愁云正漫漫
'chu'bi'mian'qiang'er'xing'zhi 初必勉强而行之
'chu'chai'chen'feng 初拆臣封
'chu'jian'yuan'deng'ming'mie 初见远灯明灭
'chu'jiang'dong 楚江东
'chu'kuang'ren 楚狂人
'chu'lai 初来
'chu'shan'xiu'zhu'ru'yun 楚山修竹如云
'chu'shi'ning'wang 除是宁王
'chu'shi'tou'chang 除是偷尝
'chu'yu'li'li'ju'ke'shu 貙貐历历具可数
'chu'yu'xie 初雨歇
'chu'zhu'qian'xue 除竺乾学
'chuan'gu'yi'pang'pang 船鼓已逄逄
'chuan'tou'zhuan 船头转
'chuan'wei'dong'xiang'xian 船尾冻相衔
'chuan'xin'qu 传心曲
'chuang'chuang 摐摐
'chuang'hu'shi'qing'hong 窗户湿青红
'chuang'wai'ji'sheng'chu'qi 窗外鸡声初起
'chui'bai'zhang'li'tai'zui'yan 垂白杖藜抬醉眼
'chui'hui 吹回
'chui'liu'xia 垂柳下
'chui'san'yi'chun'chou 吹散一春愁
'chui'sheng'bei'ling 吹笙北岭
'chui'sheng'zhi'he'zai'gou'shan 吹笙只合在缑山
'chui'tian'jian'he'xiao'yao'you 垂天健翮逍遥游
'chui'yang'luan'yan'hong'lou'ban 垂杨乱掩红楼半
'chui'yang'xi'ma'zi'qing'kuang 垂杨系马恣轻狂
'chui'zhan'mei'ying 吹绽梅英
'chun'cao'man'chi'tang 春草满池塘
'chun'chou 春愁
'chun'chou'ru'cui'e 春愁入翠蛾
'chun'fan'chun'sheng 春旛春胜
'chun'fu'ji'shi'cheng 春服几时成
'chun'guang'ting'xia 春光亭下
'chun'han 春寒
'chun'jiang'wu 春江午
'chun'lai'he'shi 春来何事
'chun'niu'chun'zhang 春牛春杖
'chun'qiu'zheng'fu'da'ke'wei 春秋正富大可为
'chun'rong'lian'shang'tao 春融脸上桃
'chun'ru'yao'zhi'jin'lv'xi 春入腰肢金缕细
'chun'se'san'fen 春色三分
'chun'se'shu'ming'nian 春色属明年
'chun'se'shu'wu'jing 春色属芜菁
'chun'shan'you'shi 春衫犹是
'chun'shen'jiang'shang'xue'feng'xing 春申江上血风腥
'chun'shi'lan'shan'fang'cao'xie 春事阑珊芳草歇
'chun'shui'liu'xian'shuang'ru'bo 春水流弦霜入拨
'chun'shui'xiang'ning'suo'qi'chi 春睡香凝索起迟
'chun'ting'yue'wu 春庭月午
'chun'wan'shui'hun'hun 春晚睡昏昏
'chun'wei'lao 春未老
'chun'xiang'nuan 春向暖
'chun'xin'kun 春心困
'chun'yi'lao 春已老
'chun'yu'an'yang'tai 春雨暗阳台
'chun'yu'xiao'can'dong 春雨消残冻
'chun'zhu'hua'zhi'bai'tai'sheng 春著花枝百态生
'chun'zong'zai 春纵在
'ci'bie'zhen'chi'mu 此别真迟暮
'ci'de'yi'shang'zong'shi'fei 赐得衣裳总是绯
'ci'hen'gu'ying'zhi 此恨固应知
'ci'hua'qing'jue'geng'xian'nong 此花清绝更纤秾
'ci'huai'nan'ji 此怀难寄
'ci'huan'nan'mi 此欢难觅
'ci'huan'neng'you'ji'ren'zhi 此欢能有几人知
'ci'hui'ying'nan'fu 此会应难复
'ci'hui'ying'xu'lan'zui 此会应须烂醉
'ci'jian'feng'shui'he'yi 此间风水何疑
'ci'jing'bai'nian'ji'bian 此景百年几变
'ci'lai'pin'de'quan'jia'ku 此来拼得全家哭
'ci'le'wu'sheng'wu'wei'zui'nan'ming 此乐无声无味最难名
'ci'li 此理
'ci'qing'wei'you'luo'hua'zhi 此情惟有落花知
'ci'qu'ao'xiang 此去翱翔
'ci'qu'huai'nan'di'yi'zhou 此去淮南第一州
'ci'ri'gui'mo'yue'sheng'tang 此日规模越盛唐
'ci'shen'ru'chuan'she 此身如传舍
'ci'sheng'ci'ye'bu'zhang'hao 此生此夜不长好
'ci'sheng'piao'dang'he'shi'xie 此生飘荡何时歇
'ci'sheng'tian'ming'geng'he'yi 此生天命更何疑
'ci'sheng'zhang'jie'xi 此生长接淅
'ci'shi'gu'nan'quan 此事古难全
'ci'shi'he'nan 此事何难
'ci'shi'kan 此时看
'ci'shi'li'yu'yang'mei'nu'mu'an'jian'zai'liang'shou 此时李禹扬眉怒目按剑在两手
'ci'shi'ru'he'zhe'de'nong 此事如何着得侬
'ci'shi'zeng'yue'ming 此时憎月明
'ci'tu'jiu'xi'shi'ba'jian 此图九溪十八涧
'ci'tu'you'bing'tuo'gui'mo 此图犹并脱规橅
'ci'xin'an'chu'shi'tu'qiu 此心安处是菟裘
'ci'xin'an'chu'shi'wu'xiang 此心安处是吾乡
'ci'yi'qing'ying'e 此意轻鹰鹗
'ci'yi'zai'ren'jian 此意在人间
'cong'ci'dan'chun'bing'hao'chi 从此丹唇并皓齿
'cong'ci'hu'xin'bei 从此虎心悲
'cong'ci'man'cheng'ge'chui 从此满城歌吹
'cong'ci'nan'xu 从此南徐
'cong'ci'qu 从此去
'cong'cong'gui'qu'shi 匆匆归去时
'cong'cong'pan'le 匆匆拚了
'cong'gong'yi'diao'xing'wang'chu 从公一吊兴亡处
'cong'jiao'jiao'lei'xi'hong'zhuang 从教娇泪洗红妆
'cong'jun'dou'zhan'qiu 从君都占秋
'cong'lai'shi'ni'lun 从来是拟伦
'cong'lai'zhi'wei'xi'shan'hao 从来只为溪山好
'cong'lai'zi'ji'wang'qing 从来自己忘情
'cong'shi'bin'jing'qiu 从事鬓惊秋
'cong'tou'shuo 从头说
'cong'zhong'chang'yun'lei 丛中长殒泪
'cong'zhong'yi'jie'xin'lian'zi 丛中已结新莲子
'cong'zhong'yue'qi'yong'qin'wei 丛中跃起拥禽尾
'cu'xi'yong'rong'pei'yu'xiao 促席雍容陪语笑
'cu'xue'pi'mao'he'zu'jin 粗学皮毛何足矜
'cui'dian'chun'yan 翠点春妍
'cui'e'xiu'dai'qie'ren'kan 翠蛾羞黛怯人看
'cui'fang'shen'jiong 翠房深迥
'cui'hua'ceng'dao'hai'xi'bian 翠华曾到海西边
'cui'hua'yi'qu'yan'fang'chuang 翠华一去掩方床
'cui'huan'liao'zhu'xiao'shi'chan 翠鬟聊著小诗缠
'cui'huan'xie'man'yun'chui'er 翠鬟斜幔云垂耳
'cui'niao'pian'pian 翠鸟翩翩
'cui'xiu'yi'feng'ying'liu'xu 翠袖倚风萦柳絮
'cui'xiu'zheng'fu'da'bai 翠袖争浮大白
'cui'zhan'hong'qing 翠飐红轻
'cun'cun 寸寸
'cun'cun'gan'chang'sui 寸寸肝肠碎
'cun'hen'shui'yun'duan 寸恨谁云短
'cun'nan'cun'bei'xiang'sao'che 村南村北响缫车
'cun'she'wai 村舍外
'cun'yin'xu'du 寸阴虚度
'cuo'de'jing'shen'di'di'jiao 撮得精神滴滴娇
'da'du'he'bian'bai'li'xu 大渡河边百里许
'da'du'he'zhong'qian'li'bo 大渡河中千里波
'da'hu'qiong'bing'du'wu'han'tian'zi 大呼穷兵黩武汉天子
'da'jiang'dong'qu 大江东去
'dai'chui'tian'fu'jiu 待垂天赋就
'dai'dao'jing'xun'mi 待到京寻觅
'dai'fu'hua'lang'rui'dou'jin 待浮花浪蕊都尽
'dai'ge'ning'li'cui'yan'zhong 待歌凝立翠筵中
'dai'huan'han'xiang 带换韩香
'dai'jiu'chong'shan'yu 带酒冲山雨
'dai'jun'chong'jian'xun'fang'ban 待君重见寻芳伴
'dai'xia'chuang'you'lan 待下床又懒
'dai'xian'kan'qiu'feng 待闲看秋风
'dai'xue'ren'lan'wei'pei 待学纫兰为佩
'dai'you'liang'tian'shi'ji'shi 待有良田是几时
'dai'yu'yi'yi'gen'huan'ye 待与伊移根换叶
'dai'yue'xi'xiang 待月西厢
'dai'zhe'lie'wen'er'qian'shen 怠者裂吻而欠伸
'dan'ba'qing'zun'duan'song'qiu 但把清尊断送秋
'dan'dan'shu'zhuang'xin'wan'ji 淡淡梳妆新绾髻
'dan'de'zhou'lang'yi'gu'sheng'zhu'zhen 但得周郎一顾胜珠珍
'dan'hong'tui'bai'yan'zhi'yuan 淡红褪白胭脂涴
'dan'juan'juan'yu'yu'qing'xian 淡娟娟玉宇清闲
'dan'jue'qiu'lai'gui'meng'hao 但觉秋来归梦好
'dan'kan'di'ang'yan'yu'li 但看低昂烟雨里
'dan'kong'jiang'yue'ming'qian'li 但空江月明千里
'dan'lan'qu 但揽取
'dan'ling'ren'bao'wo'chou'wu 但令人饱我愁无
'dan'mo'qian'xin'yan'que'lai'shi 但莫遣新燕却来时
'dan'piao'wei'zu'qing'huan'zu 箪瓢未足清欢足
'dan'po'bi'yun'tian 弹破碧云天
'dan'qing'ru'hua 丹青入画
'dan'qing'si'yue'lou'gan'fu 丹青四月镂肝腑
'dan'qu'zhi'xi'feng'ji'shi'lai 但屈指西风几时来
'dan'ren'sheng'yao'shi'qing'er 但人生要适情耳
'dan'ru'san'gu 紞如三鼓
'dan'sha'nong'dian'liu'zhi'chun 丹砂浓点柳枝唇
'dan'shen'lian'qing'pai 但深怜轻拍
'dan'si'chun'yu'ou 但丝莼玉藕
'dan'xi 但洗
'dan'xiao'chuang'rong'xi'bi'chai'fei 但小窗容膝闭柴扉
'dan'yan'long'yue'xiu'lian'yin 淡烟笼月绣帘阴
'dan'yan'shu'liu'mei'qing'tan 淡烟疏柳媚晴滩
'dan'yi'hui'zui 但一回醉
'dan'you'han'deng'gu'zhen 但有寒灯孤枕
'dan'you'jiu'huan'xin'yuan 但有旧欢新怨
'dan'you'lv'tai'fang'cao 但有绿苔芳草
