'fu'zhen'feng'xiao 扶枕风萧
'fu'zhi'er'neng'ji 父志儿能继
'gai'shi'gong'ming'wu'yi'wen 盖世功名武亦文
'gan'cao'huo'shao'qu'ye'han 干草火烧驱夜寒
'gan'cong'lie'huo'lian'zhen'jin 敢从烈火炼真金
'gan'dan'ren'qian'da'zhang'fu 肝胆人前大丈夫
'gan'jiao'ri'yue'huan'xin'tian 敢教日月换新天
'gan'po'chong'wei'hong'jun'dan 敢破重围红军胆
'gan'wen'tie'liu'he'chu'qu 敢问铁流何处去
'gan'xiao'wang'qin'shu'suo'zhong 敢效亡秦抒所衷
'gan'xin'shi'hu'lang 甘心事虎狼
'gan'xu'tao'mou'jing'guan'yue 敢诩韬谋惊管乐
'gao'bo'yu'zhong'shi 高波狱中诗
'gao'fei'fen'hong'hu 高飞奋鸿鹄
'gao'feng'zhu'yin'ding 高峰铸银鼎
'gao'ju'wan'min'shang 高踞万民上
'gao'song'ru'yun'duan 高耸入云端
'gao'wei'xian'sheng'ying'ming'mu 告慰先生应瞑目
'gao'yin'chi'pan'yi'duo'qiu 高吟池畔意多遒
'ge'ba'zhu'tian'xiao 歌罢祝天晓
'ge'lao'mei'yi'rong 阁老媚夷戎
'ge'ming'bu'zi'xi 革命不自惜
'ge'ming'he'xu'pa'duan'tou 革命何须怕断头
'ge'ming'hu'sheng'jing'si'lei 革命呼声惊似雷
'ge'ming'ju'lang'bi'tian'gao 革命巨浪比天高
'ge'ming'jun 革命军
'ge'ming'jun'min'gong'he'zuo 革命军民共合作
'ge'ming'liu'xue'bu'liu'lei 革命流血不流泪
'ge'ming'xin'jian 革命心坚
'ge'ren'zi'you'quan'xi'sheng 个人自由全牺牲
'ge'sheng'ji'qi'wan'qing'bo 歌声激起万顷波
'ge'yu'ting'ba'jiao 隔雨听芭蕉
'gong'chan'dang'ren'yi'zhi'jian 共产党人意志坚
'gong'deng'ling'kong'qu 公等凌空去
'gong'lu'lian'mai 公路连脉
'gong'nong'bao'dong'jin'zuo'zhu 工农暴动今作主
'gong'nong'bing'qi'wu'zhou'tong 工农并起五洲同
'gong'nong'qi'jie'fang 工农齐解放
'gong'tong'yu'wu'you'qiang'lin 共同御侮有强邻
'gu'da'cun'liu'yan'xue'xi'shu'huai 古大存留延学习书怀
'gu'gong'lu'dou'wei'gong'nong'jie'fang'duo 古公鲁都为工农解放多
'gu'guan'lao'sao 孤馆牢骚
'gu'jiao'sheng'zhong'ban'shi'jia 鼓角声中半是笳
'gu'pan'mo'fei'yang'shi'qun 顾盼莫非羊豕群
'gu'pi'dong'he'bei 鼓鼙动河北
'gu'ren'liu'wo'yin 故人留我饮
'gu'ren'sheng'si'ge'qian'qiu 故人生死各千秋
'gu'ren'yan'xing'e 古人言性恶
'gu'rou'li'zhi'yuan 骨肉离之远
'guan'he'yi'wang'shou 关河一望收
'guan'shan'peng'he'chang'gong'lue 关陕彭贺长攻略
'guan'shan'wan'li'wo'shi'hui 关山万里我始回
'guan'wai'ma'ti'jing'sai'ye 关外马蹄惊塞野
'guang'jing'chang'xin'sui'yi'shang 光景长新随意赏
'guang'mang'chui'wan'zhang 光芒垂万丈
