'ba'ge 八戈
'wu'shi'san'kan 五十三勘
'wu'shi'san'kan 五十三槛
'wu'shi'si'kan 五十四阚
'wu'shi'si'yan 五十四俨
'wu'shi'wu'fan 五十五范
'wu'shi'wu'yan 五十五艳
'wu'shi'yan 五十琰
'wu'shi'yi'tian 五十一忝
'wu'shi'yi'you 五十一幼
'wu'yao 五肴
'wu'zhi 五寘
'wu'zhi 五支
'wu'zhi 五旨
'wu'zhi 五质
'xia'ping'sheng 下平声
'xia'tong'yong 狎同用
'xia'tong'yong 鎋同用
'xian'kan'jian'xia 衔槛鑑狎
'xian'tong'yong 仙同用
'xian'tong'yong 狝同用
'xian'tong'yong 线同用
'xian'tong'yong 衔同用
'xian'xian'xian'qia 咸豏陷洽
'xian'xian'xian'xie 先铣霰屑
'xian'xian'xian'xue 先狝线薛
'xian'xian'xiao'xiao 先仙萧宵
'xiao'tong'yong 宵同用
'xiao'tong'yong 小同用
'xiao'tong'yong 笑同用
'xiao'xiao'xiao 宵小笑
'xiao'xiao'xiao 萧篠啸
'xin'yin'xin'qi 欣隐焮迄
'xin'yuan'hun'hen 欣元魂痕
'xue'tong'yong 薛同用
'yan'yan'yan'ye 严俨酽业
'yan'yan'yan'ye 盐琰艳葉
'yang'yang'yang'yao 阳养漾药
'yao'hao'ge'ge 肴豪歌戈
'yao'qiao'xiao 肴巧效
'yi'dong 一东
'yi'dong 一董
'yi'song 一送
'yi'wu 一屋
'yi'xian 一先
'ying'xiao'xia 影晓霞
'yong'tong'yong 用同用
'you'you'you 尤有宥
'you'you'you 幽黝幼
'yu'lai'ri 喻来日
'yu'yu'mo'qi 鱼虞模齐
'yu'yu'yu 虞麌遇
'yu'yu'yu 鱼语御
'yuan'ruan'yuan'yue 元阮愿月
'zhao'chuan'chuang'shen'chan 照穿床审禅
'zhen'zhen'zhen'zhi 真轸震质
'zhen'zhi 臻栉
'zhen'zhun'zhen'wen 真谆臻文
'zheng'jin'tong'yong 诤劲同用
'zheng'zheng'zheng'zhi 蒸拯证职
'zhi'che'cheng'niang 知彻澄娘
'zhi'zhi'tong'yong 旨止同用
'zhi'zhi'tong'yong 脂之同用
'zhi'zhi'tong'yong 至志同用
'zhi'zhi'zhi 之止志
'zhi'zhi'zhi 支纸寘
'zhi'zhi'zhi 脂旨至
'zhi'zhi'zhi'wei 支脂之微
'zhong'tong'yong 锺同用
'zhong'zhong'yong'zhu 锺肿用烛
'zhu'tong'yong 烛同用
'zhun'tong'yong 準同用
'zhun'zhen'tong'yong 谆臻同用
'zhun'zhun'zhun'shu 谆準稕术
