'an'cheng 暗撑
'ci'li'qi'zhong'ji 磁力起重机
'ci'shi'fa'dian'ji 磁石发电机
'ci'xing'yan'gan'qi 磁性烟感器
'ci'zhuan 瓷砖
'ci'zhuan'jiao 瓷砖胶
'cong'hua'quan 葱花券
'cu'sha 粗砂
'cu'zhi'luo'shuan 粗制螺栓
'cun'shui'wan 存水弯
'cuo'ceng 错层
'cuo'ceng'shi'che'ku 错层式车库
'cuo'lie'pai'guan 错列排管
'da'ban'jie'gou 大板结构
'da'ban'jie'gou'ti'xi 大板结构体系
'da'bi'li'xiang'tu 大比例详图
'da'bian'qi 大便器
'da'di 打底
'da'di'pan 大底盘
'da'dou 大斗
'da'e'fang 大额枋
'da'jia'zi 搭架子
'da'jian 搭建
'da'jie 搭接
'da'jie'chang'du 搭接长度
'da'ka 大卡
'da'li'shi 大理石
'da'li'shi'ban 大理石板
'da'li'shi'ban'tie'mian 大理石板贴面
'da'li'shi'pin'hua'gong'yi 大理石拼花工艺
'da'li'shi'pu'qie 大理石铺切
'da'liang 大梁
'da'mian 大面
'da'mu 大幕
'da'mu'zuo 大木作
'da'pian'la 大偏拉
'da'pian'xin 大偏心
'da'pian'xin'shou'ya 大偏心受压
'da'pian'ya 大偏压
'da'ping'qiao 大平锹
'da'tang 大堂
'da'tang'ba 大堂吧
'da'wu'ding 大屋顶
'da'yang 大样
'da'yang'tu 大样图
'da'zhen 大震
'da'zhen'bu'qu'fu 大震不屈服
'da'zhen'tan'xing 大震弹性
'dan'bu'liang 单步梁
'dan'cai'gong 单材拱
'dan'cao 单槽
'dan'ceng'chang'fang 单层厂房
'dan'feng'dao'kong'tiao'xi'tong 单风道空调系统
'dan'feng'dao'xi'tong 单风道系统
'dan'gong 单栱
'dan'gou'lan 单勾阑
'dan'guan're'shui'gong'nuan'xi'tong 单管热水供暖系统
'dan'guan'shang'xing'xia'gei'gong'nuan'xi'tong 单管上行下给供暖系统
'dan'guan'wei'sheng'guan'dao'xi'tong 单管卫生管道系统
'dan'guan'xi'tong 单管系统
'dan'ji'kai'guan 单极开关
'dan'kong'cha'zuo 单孔插座
'dan'li'gan 单立杆
'dan'mian'zou'lang'shi 单面走廊式
'dan'ren'chuang 单人床
'dan'shan'chuang 单扇窗
'dan'shan'men 单扇门
'dan'shan'tui'la'men 但扇推拉门
'dan'shen'su'she 单身宿舍
'dan'suo'mu'qiang 单索幕墙
'dan'tou'kai'guan 单投开关
'dan'wei'chang'du 单位长度
'dan'wei'mian'ji 单位面积
'dan'xian'fen'ge 弹线分格
'dan'xian'tu 单线图
'dan'xiang'ban 单向板
'dan'xiang'dian'dong'ji 单相电动机
'dan'xiang'dian'lu 单向电路
'dan'xiang'fa 单向阀
'dan'xiang'fu'he 单相负荷
'dan'xiang'xi'tong 单相系统
'dan'xing'dao 单行道
'dan'yi'cai'liao 单一材料
'dan'yuan'ban'fen'pei 单元板分配
'dan'yuan'ban'kuai 单元板块
'dan'yuan'shi'mu'qiang 单元式幕墙
'dan'zhuan'qiang 单砖墙
'dan'zhuang'cheng'zai'li'te'zheng'zhi 单桩承载力特征值
'dang'ban'shi'zhe'yang 档板式遮阳
'dang'ju 档距
'dang'qiang 挡墙
'dang'shu 挡数
'dang'shui'qiang 挡水墙
'dang'tu'qiang 挡土墙
'dao'cao'shi'gong 倒槽式拱
'dao'dian'cai'liao 导电材料
'dao'guan 导管
'dao'gui 导轨
'dao'he'zai 导荷载
'dao'liu'qiang 导流墙
'dao'lou'gai 倒楼盖
'dao'lou'gai'mo'xing 倒楼盖模型
'dao'qiang 导墙
'dao'wen'xi'shu 导温系数
'dao'xian 导线
'deng'cao 灯槽
'deng'dian'wei 等电位
'deng'dian'wei'lian'jie'an'zhuang 等电位联结安装
'deng'gao'xian 等高线
'deng'guang'du'qiao 灯光渡桥
'deng'guang'xi'tong 灯光系统
'deng'guang'xin'hao 灯光信号
'deng'guang'zhi'shi'qi 灯光指示器
'deng'hou'shi 等候室
'deng'jie'mian 等截面
'deng'ju'liang'du'xian'zhi'qu'xian 灯具亮度限制曲线
'deng'pan 灯盘
'deng'ta 灯塔
'deng'xiang'pian 灯箱片
'deng'xiao'xi'sheng'mian'ji 等效吸声面积
'deng'zhao 灯罩
'deng'zhao'du'qu'xian 等照度曲线
'deng'zhu 灯柱
'deng'zuo 灯座
'di'ban 底板
'di'biao'gao 底标高
'di'bu'jia'qiang 底部加强
'di'bu'jia'qiang'bu'wei 底部加强部位
'di'bu'jia'qiang'qu 底部加强区
'di'ceng 底层
'di'ceng'ping'mian 底层平面
'di'fu 地袱
'di'ji 地基
'di'ji'cheng'zai'li'te'zheng'zhi 地基承载力特征值
'di'ji'liang 地基梁
'di'ji'ying'li 地基应力
'di'jiao 地脚
'di'jiao'luo'shuan 底脚螺栓
'di'kan 地堪
'di'kuang 底框
'di'liang 地梁
'di'liang'ping'mian'bu'zhi'tu 地梁平面布置图
'di'liang'tu 地梁图
'di'long'qiang 地垄墙
'di'lun'wu'fang'bu 涤纶无纺布
'di'mao 地貌
'di'mian'an'guan'dao 地面暗管道
'di'mian'biao'gao 地面标高
'di'mian'bo'hua 地面波化
'di'mian'cha'zuo 地面插座
'di'mian'chu'xian'he 地面出线盒
'di'mian'cu'cao'du 地面粗糙度
'di'mian'di'zhuan'pu'qi 地面地砖铺砌
'di'mian'gong'cheng 地面工程
'di'mian'zhuan'yong'cha'zuo 地面专用插座
'di'pin 低频
'di'pin'bian'ya'qi 低频变压器
'di'pin'yang'sheng'qi 低频扬声器
'di'ping 地坪
'di'quan'liang 地圈梁
'di'shui 滴水
'di'shui'shou 滴水兽
'di'shui'wei 低水位
'di'shui'wei'bao'jing'qi 低水位报警器
'di'shui'wei'bao'xian'zhuang'zhi 低水位保险装置
'di'shui'xian 滴水线
'di'tan'huang 地弹簧
'di'tie'gui 地铁规
'di'xia'fang'kong'dong 地下防空洞
'di'xia'fu'she 地下辐射
'di'xia'gong'cheng 地下工程
'di'xia'gong'cheng'fang'shui'ji'shu'gui'fan 地下工程防水技术规范
'di'xia'guan'dao 地下管道
'di'xia'guan'dao'gong'cheng 地下管道工程
'di'xia'guan'wang 地下管网
'di'xia'shi 地下室
'di'xia'tong'dao 地下通道
'di'xia'tong'feng'dao 地下通风道
'di'xing'di'mao'xiu'zheng'xi'shu 地形地貌修正系数
'di'ya'bao'hu 低压保护
'di'ya'dian'lan 低压电缆
'di'ya'dian'qi'she'bei 低压电器设备
'di'ya'kai'guan 低压开关
'di'ya'kai'guan'gui 低压开关柜
'di'ya'na'deng 低压钠灯
'di'ya'pei'dian'pan 低压配电盘
'di'yi'quan 地役权
'di'zhen'zu'he 地震组合
'di'zhi'zi'liao 地质资料
'di'zhuan 地砖
'dian'ban 垫板
'dian'bao 电刨
'dian'bao'ju 电报局
'dian'biao 电表
'dian'ceng 垫层
'dian'chu'chen'qi 电除尘器
'dian'chui 电锤
'dian'ci'chang'kong'zhi'zi'dong'men 电磁场控制自动门
'dian'ci'ding'men'qi 电磁定门器
'dian'ci'tie 电磁铁
'dian'dong'beng 电动泵
'dian'dong'chuan'song'ji 电动传送机
'dian'dong'fa'dian'ji'zu 电动发电机组
'dian'dong'hu'lu 电动葫芦
'dian'dong'juan'yang'ji 电动卷扬机
'dian'dong'kai'men'qi 电动开门器
'dian'dong'lan'che 电动缆车
'dian'du 电镀
'dian'gan'qi 电感器
'dian'gong'yi'biao 电工仪表
'dian'guang'yuan 点光源
'dian'han'gong 电焊工
'dian'han'ji 电焊机
'dian'hu'han 电弧焊
'dian'hua'chu'xian'kou 电话出线口
'dian'hua'dian'lan 电话电缆
'dian'hua'fen'ji 电话分机
'dian'hua'fen'xian'he 电话分线盒
'dian'hua'zu'xian'xiang 电话组线箱
'dian'jian'dao 电剪刀
'dian'ju 电锯
'dian'lan 电缆
'dian'lan'diao'jia 电缆吊架
'dian'lan'fu'she 电缆敷设
'dian'lan'gou 电缆沟
'dian'lan'guan'dao 电缆管道
'dian'lan'jia 电缆架
'dian'lan'jing 电缆井
'dian'lan'pai'guan 电缆排管
'dian'lan'shu'jing 电缆竖井
'dian'lan'sui'dao 电缆隧道
'dian'lan'xiang 电缆箱
'dian'li'bian'ya'qi 电力变压器
'dian'li'dian'lan 电力电缆
'dian'li'fu'he 电力负荷
'dian'li'pei'dian'pan 电力配电盘
'dian'li'xi'tong 电力系统
'dian'ling 电铃
'dian'ling'an'niu 电铃按钮
'dian'ling'bian'ya'qi 电铃变压器
'dian'liu'ji 电流计
'dian'lu'tu 电路图
'dian'lu'zhuan'huan'kai'guan 电路转换开关
'dian'neng'biao 电能表
'dian'qi'an'zhuang 电气安装
'dian'qi'chu'chen'qi 电气除尘器
'dian'qi'chu'xian'kou 电气出线口
'dian'qi'gong'cheng 电气工程
'dian'qi'hua 电气化
'dian'qi'pei'guan 电气配关
'dian'qi'she'bei 电气设备
'dian'qi'she'ji 电气设计
'dian'qi'shi 电气师
'dian'qi'shu'jing 电气竖井
'dian'qi'tu'zhi 电气图纸
'dian'qi'xi'tong 电气系统
'dian'qi'zhao'ming 电气照明
'dian'qian'dian 垫铅垫
'dian're'feng'lu 电热风炉
'dian're'shui'qi 电热水器
'dian're'zhuang'zhi 电热装置
'dian'rong'qi 电容器
'dian'rong'si 电熔丝
'dian'sheng'xi'tong 电声系统
'dian'ti'an'quan'zhuang'zhi 电梯安全装置
'dian'ti'ji'fang 电梯机房
'dian'ti'jing 电梯井
'dian'ti'jing'keng 电梯井坑
'dian'ti'ping'tai 电梯平台
'dian'ti'ting 电梯厅
'dian'ti'zu 电梯组
'dian'xian'cao 电线槽
'dian'xian'chuan'guan 电线穿管
'dian'xian'guan 电线管
'dian'xing 典型
'dian'ya 电压
'dian'ya'biao 电压表
'dian'yuan'bian'ya'qi 电源变压器
'dian'yuan'cha'zuo 电源插座
'dian'yuan'dian 电源点
'dian'yuan'jie'di 电源接地
'dian'yuan'jin'xian'gui 电源进线柜
'dian'zai 点载
'dian'zhong 电钟
'dian'zhong'cha'zuo 电钟插座
'dian'zhong'xi'tong 电钟系统
'dian'zi'ji'suan'ji'fang 电子计算机房
'dian'zi'xi'sheng'qi 电子吸声器
'dian'zuan 电钻
'diao'che 吊车
'diao'che'liang 吊车梁
'diao'deng 吊灯
'diao'ding 吊顶
'diao'ding'mian'ban 吊顶面板
'diao'gan 吊杆
'diao'gou 吊钩
'diao'gou'liang 吊钩梁
'diao'gua 吊挂
'diao'gua'jian 吊挂件
'diao'guan'jia 吊管架
'diao'gui 吊轨
'diao'jia 吊架
'diao'jiao 掉角
'diao'jin 吊筋
'diao'mu 吊幕
'diao'shan 吊扇
'diao'suo 吊索
'diao'zhuang 吊装
'diao'zhuang'jia'ju 吊装夹具
'die'he'chi 叠合池
'die'he'shi 叠合式
'die'ji'zao'xing 叠级造型
'die'ji'zao'xing 跌级造型
'die'shi 叠石
'ding'ban 顶板
'ding'ceng 顶层
'ding'chuan 顶椽
'ding'deng 顶灯
'ding'shi'kai'guan 定时开关
'ding'shun'ge'pi'qi'shi 丁顺隔皮砌式
'ding'xiang'tian'xian 定向天线
'ding'xiang'zhao'ming 定向照明
'ding'xing'chan'pin 定型产品
'ding'xing'she'ji 定型设计
'ding'xing'tu 定型图
'ding'xing'xiang'tu 定型详图
'ding'zhi'lv'ban 鼎峙铝板
'ding'zi'jie 丁字街
'dong'bian 洞边
'dong'bian'jia'jin 洞边加筋
'dong'di 洞底
'dong'ding 洞顶
'dong'kou'chi'cun 洞口尺寸
'dong'li'mian 东立面
'dong'li'shi'cheng 动力时程
'dong'li'xi'shu 动力系数
'dong'li'xi'zhen'qi 动力吸振器
'dong'li'zuan 动力钻
'dong'shen 冻深
'dong'tai'man'you 动态漫游
'dong'tu 冻土
'dou'di 斗底
'dou'er 斗耳
'dou'gong 斗拱
'dou'kou 斗口
'dou'yao 斗腰
'du'ge 镀铬
'du'ge 镀镉
'du'ge'long'tou 镀铬龙头
'du'ji 独基
'du'jin 镀金
'du'ke'luo'mi 镀克罗米
'du'lv 镀铝
'du'mo 镀膜
'du'nie 镀镍
'du'qi'gui 毒气柜
'du'qi'jing'bao 毒气警报
'du'qian'tie'ban 镀铅铁板
'du'tong 镀铜
'du'xi 镀锡
'du'xi'xian 镀锡线
'du'xin'bian'gang 镀锌扁钢
'du'xin'gang 镀锌钢
'du'xin'gang'ban 镀锌钢板
'du'xin'gang'guan 镀锌钢管
'du'xin'gang'jin'wang 镀锌钢筋网
'du'xin'gang'si 镀锌钢丝
'du'xin'guan 镀锌管
'du'zhu 都柱
'duan'jie'ka 断接卡
'duan'kua 短跨
'duan'lie 断裂
'duan'lu 断路
'duan'lu 短路
'duan'lu'bao'hu 短路保护
'duan'lu'qi 断路器
'duan'mian 断面
'duan'mian'hao 断面号
'duan'mian'tu 断面图
'duan'qi'gang'du 短期刚度
'duan'zhi 短肢
'duan'zhi'jian'li'qiang 短肢剪力墙
'duan'zhi'qiang 短肢墙
'duan'zhi'zuo 端支座
'duan'zhu 短柱
'duan'zhu 端柱
'duan'zi 端子
'duan'zi'ban 端子板
'duan'zi'pai 端子排
'duan'zi'xiang 端子箱
'dui'chen'pei'guang'xing'deng'ju 对称配光型灯具
'dui'jie'han'feng 对接焊缝
'dui'jing 对景
'dui'liu 对流
'dui'liu'huan'lu 对流环路
'dui'zhong 对重
'dun'shi'da'bian'qi 蹲式大便器
'duo'ceng'jian'zhu 多层建筑
'duo'dian'di'zhen 多点地震
'duo'dian'duo'wei 多点多维
'duo'dun 柁墩
'duo'fu'shi'zuo'fa 剁斧石做法
'duo'kong'xi'sheng'cai'liao 多孔吸声材料
'duo'li'ke'zhu'shi 多立克柱式
'duo'qu'yu'xi'tong 多区域系统
'duo'ta 多塔
'duo'wei'di'zhen 多维地震
'e'dian'ban 额垫板
'e'ding'gong'lv 额定功率
'e'ding'rong'liang 额定容量
'e'fang 额枋
'e'jing'yi 鹅颈椅
'er'beng'fang 二泵房
'er'ceng 二层
'er'ceng'ping'mian 二层平面
'er'chen'chi 二沉池
'er'ci'hui'lu 二次回路
'er'ci'yuan'li'tu 二次原理图
'er'ji'fu'he 二级负荷
'er'ji'gang 二级钢
'er'jie'xiao'ying 二阶效应
'er'lei 二类
'er'lei'chang'di 二类场地
'er'lei'huan'jing 二类环境
'er'si'qiang 二四墙
'er'yang'hua'tan 二氧化碳
'er'yang'hua'tan'mie'huo'qi 二氧化碳灭火器
'fa'ban 筏板
'fa'ban'tu 筏板图
'fa'dian'ji 发电机
'fa'dian'ji'fang 发电机房
'fa'dian'ji'rong'liang 发电机容量
'fa'dian'ji'zu 发电机组
'fa'guang'ding'peng 发光顶棚
'fa'guang'kai'guan 发光开关
'fa'guang'xin'hao'xi'tong 发光信号系统
'fa'ji 筏基
'fa'lan'jie'tou 法兰接头
'fa'lan'lian'jie 法兰连接
'fa'lan'pan 法兰盘
'fa'men'an'zhuang 阀门安装
'fa'men'jing 阀门井
'fa'xiang'ru'she'xi'sheng'xi'shu 法向入射吸声系数
'fa'xing 筏形
'fan'bai 泛白
'fan'chong'xi 反冲洗
'fan'chuang 翻窗
'fan'dou'che 翻斗车
'fan'gong 帆拱
'fan'guang'deng 反光灯
'fan'guang'deng 泛光灯
'fan'guang'zhao'ming 泛光照明
'fan'huang'fa'hua 泛黄发花
'fan'li'chu 范立礎
'fan'liang 反梁
'fan'shui 泛水
'fan'shui'wan 反水弯
'fan'wan'dian 反弯点
'fang'an'she'ji 方案设计
'fang'an'tu 方案图
'fang'bao 防爆
'fang'bao'deng 防爆灯
'fang'bao'xi'tong 防爆系统
'fang'bao'zhuang'jia'men 防爆装甲门
'fang'chao'ceng 防潮层
'fang'chao'di'xia'shi 防潮地下室
'fang'chao'ji'chu 防潮基础
'fang'da'qi'xiang 放大器箱
'fang'da'tu 放大图
'fang'dao'jing'bao'xi'tong 防盗警报系统
'fang'dao'jing'ling 防盗警铃
'fang'dao'men 防盗门
'fang'dao'she'bei 防盗设备
'fang'dong'ji 防冻剂
'fang'fu 防腐
'fang'gao'dian'wei'yin'ru 防高电位引入
'fang'he'chen'di'xia'shi 防核尘地下室
'fang'hu'mi'bi'men 防护密闭门
'fang'hu'she'bei 防护设备
'fang'hu'shi'kai'guan 防护式开关
'fang'hu'shi'zhao'ming 防护式照明
'fang'hu'tao 防护套
'fang'hua'tiao 防滑条
'fang'hua'zhuan 防滑砖
