'an'quan'dai 安全带
'bo'luo'hun'ning'tu 剥落混凝土
'bo'shu'zhe'jian'xi'shu 波数折减系数
'bo'song'bi 泊松比
'bo'song'bi'ce'liang'yi 泊松比测量仪
'bo'song'bi'xiu'zheng 泊松比修正
'bo'wen'guan'han 波纹管涵
'bu'ding'jie'gou'chao'jing'ding'jie'gou 不定结构超静定结构
'bu'fu'shi'de 不腐蚀的
'bu'jun'yun'li'du'gu'liao 不均匀粒度骨料
'bu'ke'bi'mian 不可避免
'bu'ke'kao'du 不可靠度
'bu'nai'jiu'xing 不耐久性
'bu'yi'lai 不依赖
'bu'yi'lai'de 不依赖的
'bu'yi'lai'kong'qi'tui'jin'fei'da'qi'yi'cun'tui'jin 不依赖空气推进非大気依存推进
'cai'dan'shi'yong'cheng'xu 菜单实用程序
'cai'liao'li'xue 材料力学
'can'kao'dian 参考点
'can'kao'zhou 参考轴
'can'yu'ying'li 残余应力
'can'yu'ying'li'chang 残余应力场
'cang'ding'ban 舱顶板
'cao'gang 槽钢
'ce'fu'ban 侧腹板
'ce'li'fa 测力法
'ce'liang'xue 测量学
'cha'zhi 插值
'cha'zhi'biao 插值表
'cha'zhi'fa 插值法
'chan'zhen 颤振
'chang'wei'fen'fang'cheng 常微分方程
'chang'wei'fen'fang'cheng'ci'shu 常微分方程次数
'chang'wei'fen'fang'cheng'zu 常微分方程组
'chao'gao 超高
'chao'gao'de 超高的
'chao'gao'zhen 超高帧
'chao'jing'ding 超静定
'chao'jing'ding'chao'jing'ding'de 超静定超静定的
'chao'jing'ding'de 超静定的
'chao'jing'ding'jie'gou 超静定结构
'chao'kuai'ying'shui'ni 超快硬水泥
'chao'zhang'jing'kong'gao'du 超障净空高度
'che'dao 车道
'che'dao'kuan'du'che'dao'kuan'du 车道宽度车道宽度
'che'ding'ban 车顶板
'che'dui 车队
'che'jian'jing'ju 车间净距
'che'liang'he'zai 车辆荷载
'che'liang'he'zai'che'liang'zai'he'zheng'che 车辆荷载车辆载荷整车
'che'liu'liang 车流量
'chen'chuan'piao'fu'wu 沉船漂浮物
'chen'dian 沉淀
'chen'guan'guan'zhu'zhuang 沉管灌注桩
'chen'jiang 沉降
'chen'jiang'feng 沉降缝
'chen'jiang'hui 沉降灰
'chen'jing'ji'chu 沉井基础
'chen'jing'ji'chu'gong'shi'jing'tong'gong'fa 沉井基础工事井筒工法
'chen'xiang'ji'chu 沉箱基础
'cheng'bao'dian'ji'gong'cheng'ju 承保电机工程局
'cheng'bao'zhu'ta 城堡主塔
'cheng'fan'bi'li 成反比例
'cheng'shi'dao'lu'wang 城市道路网
'cheng'shi'dian'wang'wang'jia'jie'gou 城市电网网架结构
'cheng'shi'qiao'tai'qiang 撑式桥台墙
'cheng'tai 承台
'cheng'tai'jie'gou'cheng'tai'jie'gou 承台结构承台结构
'cheng'ya'ban 承压板
'cheng'ya'cheng'ya 承压承压
'cheng'ya'feng 承压缝
'cheng'zhong'gou'jian'zhi'cheng'gou'jian 承重构件支承构件
'cheng'zhong'zhi'cheng'gou'jian 承重支承构件
'chi'jiu'zhuang'kuang'chi'jiu'zhuang'kuang 持久状况持久状况
'chong'die 重叠
'chong'ji'li 冲击力
'chong'ji'ren'xing 冲击韧性
'chong'ji'ren'xing'zhi 冲击韧性值
'chong'jian 重建
'chong'xian'qi 重现期
'chu'bu'chi'cun 初步尺寸
'chu'bu'she'ji 初步设计
'chu'chan'zhen 初颤振
'chu'shi'qu'fu'mian 初始屈服面
'chu'shi'shui'hua're 初始水化热
'chu'shi'ying'li 初始应力
'chu'shi'ying'li'chang 初始应力场
'chu'shi'ying'li'gu'you'ying'li 初始应力固有应力
'chuan'bo'jie'gou'li'xue 船舶结构力学
'chuan'ti'zhong'xing'mian 船体中性面
'chuang'jian'san'jiao'xing'dan'yuan 创建三角形单元
'chui'ji'guan'ru'yi 锤击贯入仪
'chui'zhi 垂直
'chun'jian'qie'po'huai 纯剪切破坏
'ci'zui'you'hua 次最优化
'cu'bian'xing 簇变形
'cu'shui'hua'zuo'yong 促水化作用
'cui'xing 脆性
'cui'xing'cai'liao 脆性材料
'cui'xing'cai'liao'kang'la'qiang'du'ce'shi'yi 脆性材料抗拉强度测试仪
'cui'xing'po'huai 脆性破坏
'cui'xing'po'huai'cui'xing'duan'lie 脆性破坏脆性断裂
'cun'chu'shu'ju'ku 存储数据库
'da'di'ce'liang'xue 大地测量学
'da'di'ce'liang'xue'de 大地测量学的
'da'kua'du'da'kua'du 大跨度大跨度
'da'kua'du'di'yin 大跨度低音
'da'kua'du'wen'shi 大跨度温室
'da'li'shi 大理石
'da'li'shi'dian 大理石殿
'da'luan'shi 大卵石
'da'nao'du 大挠度
'da'xing'ni'shi'liu 大型泥石流
'dai'biao'zhi 代表值
'dai'yong'mao'shi'mao 代用锚石锚
'dan'dao'cha 单道岔
'dan'diao'de 单调的
'dan'dun'dan'dun 单墩单墩
'dan'dun'wei'shui'guan 单墩尾水管
'dan'dun'zhou'xing'wei'shui'guan 单墩肘形尾水管
'dan'pai'ban'zhuang'wei'yan 单排板桩围堰
'dan'yi'li'du'gu'liao 单一粒度骨料
'dan'yuan 单元
'dan'yuan'gang'du'ju'zhen 单元刚度矩阵
'dan'yuan'ge 单元格
'dan'yuan'ying'bian'ju'zhen 单元应变矩阵
'dang'tu'qiang 挡土墙
'dao'cha 道岔
'dao'cha'suo 道岔锁
'dao'hang 导航
'dao'lu'fen'ge'lan'dao'lu'fen'ge'lan 道路分隔栏道路分隔栏
'dao'lu'gong'cheng 道路工程
'dao'lu'gong'cheng'shan'deng'dao'lu'gong'cheng'shan'deng 道路工程闪灯道路工程闪灯
'dao'lu'gong'cheng'shi 道路工程师
'dao'lu'gong'cheng'xue 道路工程学
'dao'lu'ji'ceng 道路基层
'dao'lu'jiao'jie'chu'dao'lu'jiao'jie'chu 道路交界处道路交界处
'dao'lu'mian'ceng 道路面层
'dao'lu'qiao'dao'lu'qiao 道路桥道路桥
'dao'lu'rong'che'liang 道路容车量
'dao'lu'wang 道路网
'dao'lu'zhong'yang'fen'ge'lan 道路中央分隔栏
'deng'can'dan'yuan'deng'can'shu'dan'yuan'deng'can'yuan 等参单元等参数单元等参元
'deng'gao'xian 等高线
'deng'jie'mian'liang 等截面粱
'deng'xiao'fu'zai'deng'xiao'he'zai'deng'zhi'fu'zai 等效负载等效荷载等值负载
'deng'xiao'he'zai 等效荷载
'deng'xiao'he'zai'yuan'li 等效荷载原理
'deng'xiao'jie'dian'li 等效节点力
'deng'xiao'jun'bu'he'zai 等效均布荷载
'deng'xiao'ying'li'zong'he'ying'li 等效应力综合应力
'deng'ya'xian 等压线
'deng'ya'xian'de 等压线的
'deng'ya'xian'tu 等压线图
'di'ban 底板
'di'ceng 地层
'di'ci'shui'ping'fen'li 地磁水平分力
'di'di'xiang'jiao'di'qu 低地乡郊地区
'di'mo'ca'xi'shu 底摩擦系数
'di'shui'wei 低水位
'di'xing'tu 地形图
'di'yu 地域
'di'yu'juan 地域圏
'di'yu'lun 地域论
'di'zhen 地震
'di'zhen'huo'dong 地震活动
'di'zhen'huo'dong'tu 地震活动图
'di'zhen'huo'dong'xing 地震活动性
'di'zhen'xi'shu 地震系数
'di'zhen'xi'shu'fa 地震系数法
'di'zhen'yi 地震仪
'di'zhen'zuo'yong'biao'zhun'zhi 地震作用标准值
'di'zhi'xue 地质学
'di'zhi'xue'jia 地质学家
'di'zhuang'cheng'tai 低桩承台
'di'zhuang'cheng'tai'ji'chu 低桩承台基础
'di'zuo 底座
'di'zuo'heng'ge'ban 底座横隔板
'dian'ci'long'men'diao 电磁龙门吊
'dian'dong'li'zuo'yong 电动力作用
'dian'han'jie 点焊接
'dian'po'huai'qiang'du 电破坏强度
'dian'shua'wei'yi'jiao 电刷位移角
'dian'zu'wen'du'ji 电阻温度计
'diao'heng'jia 吊桁架
'diao'ji'qi'zhong'ta 吊机起重塔
'diao'ji'ta'zhong'zhu'zhu'ta 吊机塔中柱主塔
'diao'qiao 吊桥
'diao'zhuang 吊装
'ding'ban 顶板
'ding'feng 顶峰
'ding'liang'fen'xi 定量分析
'ding'tui'bo'yun'fa 顶推驳运法
'ding'tui'fa'ding'tui'fa 顶推法顶推法
'dong'gang'du'bi 动刚度比
'dong'jian'qie'mo'liang 动剪切模量
'dong'jian'qie'qiang'du 动剪切强度
'dong'li'xi'shu 动力系数
'dong'li'xue 动力学
'dong'li'zuo'yong'guang'dong'li'zuo'yong 动力作用光动力作用
'dong'rong'zhou'qi 冻融周期
'dong'tai'de 动态的
'dong'tai'ying'li'ying'bian'guan'xi 动态应力应变关系
'du'ta'xie'la'qiao'du'ta'xie'la'qiao 独塔斜拉桥独塔斜拉桥
'du'xin'gang'jiao'xian 镀锌钢绞线
'duan'bu'cheng'zai'de'gong'zi'gang'zhuang 端部承载的工字钢桩
'duan'jia'jin'lei 短加劲肋
'duan'lie 断裂
'duan'lie'li'xue 断裂力学
'duan'tou'pin'jie'ban 端头拼接板
'duan'zan'zhuang'kuang'duan'zan'zhuang'kuang 短暂状况短暂状况
'dui'chen'de 对称的
'dun'ding'long'gu'dun'ding'mu 墩顶龙骨墩顶木
'dun'gai'liang 墩盖梁
'dun'mao 墩帽
'dun'shen 墩身
'dun'tai'dun'tai 墩台墩台
'dun'tai'shi 墩台石
'duo'bian'tu'fei'chang'duo'yi'shu'she'ji'duo'bian'tu 多边图非常多艺术设计多边图
'duo'bian'xing 多边形
'duo'bian'xing'duo'jiao'xing'duo'mian'leng'ti 多边形多角形多面棱体
'duo'ceng 多层
'duo'ceng'de 多层的
'duo'ceng'shi 多层式
'duo'che'dao'dao'lu 多车道道路
'duo'kong'dao'lu'mian'ceng 多孔道路面层
'duo'kong'liang'duo'kong'xiang'xing'liang 多孔梁多孔箱形梁
'duo'kua'lian'xu'liang 多跨连续梁
'duo'yong'tu 多用途
'duo'yong'tu'chuan 多用途船
'duo'yong'tu'fang 多用途房
'duo'zhu'shi 多柱式
'duo'zhu'shi'jian'zhu 多柱式建筑
'duo'zhu'shi'ye'ya'ji 多柱式液压计
'er'ji'gong'lu 二级公路
'fa'shi'di'ji'fa'shi'di'ji 筏式地基筏式地基
'fa'xiang'ji'zhong'he'zai 法向集中荷载
'fan'bi'li 反比例
'fan'bi'li'liang 反比例量
'fan'dui'chen 反对称
'fan'dui'chen'hua 反对称化
'fan'dui'chen'tai 反对称态
'fan'gong'zhen'pin'lv 反共振频率
'fan'li'ying'xiang'xian 反力影响线
'fan'pu'she 反铺设
'fan'she'bo 反射波
'fan'she'bo'chang 反射波场
'fan'she'bo'zhi 反射波至
'fan'she'qi 反射器
'fan'wan'dian 反弯点
'fan'wei'ling'yu'qiu'qiu'ti 范围领域球球体
'fan'xin 翻新
'fan'you'xian'yuan'fen'xi 反有限元分析
'fang'she'xing 放射性
'fang'shui 防水
'fang'xiang'yu'xian 方向余弦
'fei'jun'bu'ying'li 非均布应力
'fei'ping'heng'tiao'jian 非平衡条件
'fei'xi'tong'wu'cha 非系统误差
'fei'xian'xing 非线性
'fei'xian'xing'sui'ji'zhen'dong 非线性随机振动
'fei'xian'xing'zhen'dong 非线性振动
'fei'xian'xing'zhen'dong'li'lun 非线性振动理论
'fen'bao'gong'cheng'he'yue'fen'bao'gong'cheng'he'yue 分包工程合约分包工程合约
'fen'ceng'dao'lu'jiao'jie'chu 分层道路交界处
'fen'duan'he'long 分段合拢
'fen'jie'ji'he'ju'zhen 分解几何矩阵
'fen'xi'jie'jie'xi'jie 分析解解析解
'fen'xiang'xi'shu'fen'xiang'xi'shu 分项系数分项系数
'feng'de'heng'xiang'yi'dong 风的横向移动
'feng'dong'shi'yan 风洞试验
'feng'dong'shi'yan'shi 风洞试验室
'feng'he'zai 风荷载
'feng'he'zai'biao'zhun'zhi 风荷载标准值
'feng'he'zai'ti'xing'xi'shu 风荷载体型系数
'feng'zu'li'xi'shu 风阻力系数
'fu'ban 腹板
'fu'he'ying'li 复合应力
'fu'he'ying'li'ru'bian 复合应力蠕变
'fu'he'ying'li'shi'yan 复合应力试验
'fu'qiao 浮桥
'fu'she'ju'zhen 辐射矩阵
'fu'she'mi'du'ju'zhen 辐射密度矩阵
'fu'shi'chen'jing'ji'chu 浮式沉井基础
'fu'shi'de 腐蚀的
'fu'shu'pin 附属品
'fu'shu'she'bei 附属设备
'fu'shu'she'bei'shi'chang 附属设备市场
'fu'wen'du'ti'du 负温度梯度
'fu'xie'shui'guan 辅泄水管
'fu'zhi'leng'ji 氟致冷剂
'fu'zhu'dao'lu'wang 辅助道路网
'fu'zhu'she'bei 辅助设备
'gai'liang 盖梁
'gai'lv'duan'lie'li'xue 概率断裂力学
'gai'lv'fen'bu 概率分布
'gan'xi 杆系
'gan'xi'can'shu 杆系参数
'gan'xi'jie'gou 杆系结构
'gang'cai 钢材
'gang'cai'qiang'du'biao'zhun'zhi 钢材强度标准值
'gang'du 刚度
'gang'du'bi 刚度比
'gang'du'bi'jin'du'bi 刚度比劲度比
'gang'du'ju'zhen 刚度矩阵
'gang'du'xi'shu 刚度系数
'gang'gou'gang'xing'gou'jia 刚构刚性构架
'gang'gou'qiao 刚构桥
'gang'guan 钢管
'gang'guan'hun'ning'tu'jie'gou 钢管混凝土结构
'gang'guan'kong'jian'gou'jia 钢管空间构架
'gang'heng'jia'qiao 钢桁架桥
'gang'jia 刚架
'gang'jia'liang 刚架梁
'gang'jiao'xian 钢绞线
'gang'jiao'xian'xin 钢绞线芯
'gang'jie'gou 钢结构
'gang'jie'gou'she'ji 钢结构设计
'gang'jie'gou'she'ji'gui'fan 钢结构设计规范
'gang'jin 钢筋
'gang'jin'ding'wei'wu'gang'jin'ding'wei'wu 钢筋定位物钢筋定位物
'gang'jin'hun'ning'tu'de'zhu'gang'jin 钢筋混凝土的主钢筋
'gang'jin'hun'ning'tu'feng'gai'gang'jin'hun'ning'tu'feng'gai 钢筋混凝土封盖钢筋混凝土封盖
'gang'jin'hun'ning'tu'jie'gou 钢筋混凝土结构
'gang'jin'jian'qie'ji 钢筋剪切机
'gang'jin'mao'ju 钢筋锚具
'gang'jin'qiang'du'biao'zhun'zhi 钢筋强度标准值
'gang'jin'tiao 钢筋条
'gang'qiang'du 刚强度
'gang'qiao 钢桥
'gang'qiao'suo 钢桥索
'gang'si'sheng 钢丝绳
'gang'wei'yan 钢围堰
'gang'xie'la'qiao 钢斜拉桥
'gang'xing'gou'jia 刚性构架
'gang'xing'jie'feng'gang'xing'jie'feng 刚性接缝刚性接缝
'gang'xing'xi'shu 刚性系数
'gang'xing'xi'shu'mo'shu 刚性系数模数
'gao'cheng 高程
'gao'cheng'dao'xian 高程导线
'gao'cheng'kong'zhi'dian 高程控制点
'gao'cheng'zhong'wu'cha 高程中误差
'gao'ci'ma'te'da'qiao 高茨玛特大桥
'gao'deng'gang'jin'hun'ning'tu'jie'gou 高等钢筋混凝土结构
'gao'deng'gong'cheng'li'xue 高等工程力学
'gao'deng'jie'gou'dong'li'xue 高等结构动力学
'gao'deng'tu'li'xue 高等土力学
'gao'deng'yan'shi'li'xue 高等岩石力学
'gao'di'xiang'jiao'di'qu 高地乡郊地区
'gao'dun 高墩
'gao'he'yi'xing 高和易性
'gao'ji'gong'lu 高级公路
'gao'ji'kuai'ying'shui'ni 高级快硬水泥
'gao'jia'qiao 高架桥
'gao'jia'qiao'gao'jia'qiao 高架桥高架桥
'gao'jia'qiao'mian 高架桥面
'gao'jia'qiao'qiao'dun'gao'jia'qiao'qiao'dun 高架桥桥墩高架桥桥墩
'gao'ke'kao'du 高可靠度
'gao'kua'bi'shi'kua'bi 高跨比矢跨比
'gao'shui'wei 高水位
'gao'zhuang'cheng'tai 高桩承台
'gao'zi'you'du 高自由度
'gao'zui'da'ying'li 高最大应力
'ge'ban'heng'ge'qiang 隔板横隔墙
'ge'li'fei'si'cui'xing'po'huai'zhun'ze 格里菲斯脆性破坏准则
'ge'xian'gang'du'ju'zhen 割线刚度矩阵
'geng'xin 更新
'gong'can'kao'dian 共参考点
'gong'chang'zong'ti'she'ji'tu 工厂总体设计图
'gong'cheng'ji'xie 工程机械
'gong'cheng'ji'xie'chang 工程机械厂
'gong'cheng'ji'xie'tu 工程机械图
'gong'cheng'jian'she 工程建设
'gong'cheng'jian'she'biao'zhun 工程建设标准
'gong'cheng'jian'zhu'gong'cheng'jian'zhu 工程建筑工程建筑
'gong'cheng'jian'zhu'wu 工程建筑物
'gong'cheng'ju'gong'cheng'ju 工程局工程局
'gong'cheng'li'xue 工程力学
'gong'cheng'li'xue'lei 工程力学类
'gong'ding 拱顶
'gong'ding'shi 拱顶石
'gong'duan'tuo'gong'dun'gong'jiao'qi'gong'dian 拱端托拱墩拱脚起拱点
'gong'fu 拱腹
'gong'fu'xian 拱腹线
'gong'gong'gong'cheng'ju 公共工程局
'gong'han 拱涵
'gong'jiao 拱脚
'gong'jiao'gong'jiao'jiao 拱铰拱脚铰
'gong'jiao'jiao 拱脚铰
'gong'lu'che'liang'he'zai'biao'zhun 公路车辆荷载标准
'gong'lu'deng'ji'gong'lu'deng'ji 公路等级公路等级
'gong'lu'qiao'han'gong'lu'shi'gong'shou'ce'qiao'han 公路桥涵公路施工手册桥涵
'gong'qiao 拱桥
'gong'shi 公式
'gong'shi'gong'de'gao'kua'bi 拱矢拱的高跨比
'gong'ya'li'ji 汞压力计
'gong'yu 公寓
'gong'zhen'pin'lv 共振频率
'gong'zhen'pin'lv'ji 共振频率计
'gong'zi'gang'zhuang'gong'zi'gang'zhuang 工字钢桩工字钢桩
'gong'zuo'ji'li 工作机理
'gong'zuo'niu'zhuan'jiao 工作扭转角
'gong'zuo'ping'mian 工作平面
'gu'ban'gu'dan'yuan 骨板骨单元
'gu'ce'liang'xue 骨测量学
'gu'ding 固定
'gu'ding'de 固定的
'gu'ding'jia 固定夹
'gu'ding'jian'zhi'liang 固定简支梁
'gu'he'cao 古河槽
'gu'jin 箍筋
'gu'jin'zhu 箍筋柱
'gu'liao 骨料
'gu'liao'fen'ji'gu'liao'ji'pei 骨料分级骨料级配
'gu'liao'ji'pei 骨料级配
'gu'liao'li'du'gu'liao'li'du 骨料粒度骨料粒度
'gu'shi'ying'li'tu 谷式应力图
'gu'shui'wen'xue 古水文学
'gu'ti'li'xue 固体力学
'gu'ti'li'xue'ji'chu 固体力学基础
'gu'zhan'dao 古栈道
'guan'dao 管道
'guan'fang'ren'ke'biao'zhun 官方认可标准
'guan'han 管涵
'guan'mo'ca'xi'shu 管摩擦系数
'guan'ru'yi 贯入仪
'guan'xing'ju 惯性矩
'guan'zhi'zuo 管支座
'guan'zhu'hun'ning'tu'ji'chu'guan'zhu'hun'ning'tu'ji'chu 灌注混凝土基础灌注混凝土基础
'guan'zhu'zhuang 灌注桩
'guan'zhuang'chen'xiang'ji'chu 管状沉箱基础
'guan'zi'tui'ding'fa 管子推顶法
'guang'can'kao'dian 光参考点
'guang'fan'she'qi 光反射器
'guang'qiang'du 光强度
'guang'yi'jie'dian'li 广义节点力
'gui'dao 轨道
'gui'dao'che 轨道车
'gui'fan 规范
'guo'lu'fu'shu'she'bei 锅炉附属设备
'guo'lu'gang'jie'gou'she'ji 锅炉钢结构设计
'guo'ying'bian'shi'xiao 过应变时效
'hai'xia 海峡
'hai'xia'chuan 海峡船
'hai'yang'jie'gou'dong'li'xue 海洋结构动力学
'han'dong 涵洞
'han'jie 焊接
'han'jie'gong 焊接工
'han'jie'ji'shu 焊接技术
'han'jie'ji'shu'zhan 焊接技术展
'han'jie'shou'suo'liang 焊接收缩量
'han'shui'liang 含水量
'hang'shi'hui'tian'tu 夯实回填土
'hang'xian'xu'bian 航线徐变
'he'an 河岸
'he'an'lin 河岸林
'he'an'qin'shi 河岸侵蚀
'he'an'qin'shi'di'an'chong'shua 河岸侵蚀堤岸冲刷
'he'an'qin'shi'he'an'qin'shi 河岸侵蚀河岸侵食
'he'an'quan 河岸权
'he'ban'liang 合板梁
'he'cao 河槽
'he'cao'xian 河槽线
'he'cheng'di'zhen'xi'shu 合成地震系数
'he'cheng'xiang'jiao'dian'quan 合成橡胶垫圈
'he'chuang 河床
'he'chuang'qiao'dun'he'dun 河床桥墩河墩
'he'dao 河道
'he'dao'dao'liu'qiang'he'dao'dao'liu'qiang 河道导流墙河道导流墙
'he'di'zhi'xue 核地质学
'he'dun 河墩
'he'jin'gang'jin'tiao 合金钢筋条
'he'jin'jie'gou'gang 合金结构钢
'he'li 合力
'he'long 合拢
'he'long'qi 合拢器
'he'tan 河滩
'he'tan'di 河滩地
'he'tan'qu 河滩区
'he'yi'xing 和易性
'he'yi'xing'hui'fu 和易性恢复
'he'zai 荷载
'he'zai'pu'qiao'liang'he'zai'pu 荷载谱桥梁荷载谱
'he'zai'qiang'du 荷载强度
'he'zai'she'ji'zhi 荷载设计值
'he'zai'xi'shu 荷载系数
'he'zai'xi'shu'fa 荷载系数法
'he'zai'zhi'cheng'jie'gou'he'zai'zhi'cheng'jie'gou 荷载支承结构荷载支承结构
'he'zhong'nao'du'qu'xian 荷重挠度曲线
'heng'ge'ban 横隔板
'heng'jia 桁架
'heng'jia'qiao 桁架桥
'heng'liang 横梁
'heng'po 横坡
'heng'xiang'jian'qie'mo'liang 横向剪切模量
'heng'xiang'li 横向力
'heng'xiang'shui'ping'fen'li 横向水平分力
'heng'xiang'xian'dong'kuai'heng'xiang'xian'dong'kuai 横向限动块横向限动块
'heng'xiang'yi'dong 横向移动
'heng'xiang'yi'dong'tan'zhen 横向移动探针
'heng'zai 恒载
'heng'zai'shi'yan 恒载试验
'hong'hong'guan'ju'da'de'hong'zhi'ling 宏宏观巨大的宏指令
'hong'ju 宏巨
'hong'shui'chong'xian'qi 洪水重现期
'hong'shui'liu'liang 洪水流量
'hong'shui'liu'liang'yu'bao 洪水流量预报
'hou'chu'li'qi'hou'chu'li'qi 后处理器后处理器
'hou'ji'qu'fu'mian 后继屈服面
'hou'zhi'chu'li'qi 后置处理器
'hu'po 护坡
'hu'po'gong'cheng'hu'po'gong'cheng 护坡工程护坡工程
'hu'po'gong'cheng'shan'fu'gong 护坡工程山腹工
'hu'zuo'yong'xiao'ying 互作用效应
'hua'dong'li 滑动力
'hua'dong'li'de'kang'li 滑动力的抗力
'hua'fen'wang'ge 划分网格
'hua'pao'dong'li'kong'zhi'zu'jian 滑跑动力控制组件
'hua'po'ni'shi'liu 滑坡泥石流
'hua'tu'chong'xin'hua'tu 画图重新画图
'hui'fu'shu'ju'ku 恢复数据库
'hui'tan 回弹
'hui'tan'xing 回弹性
'hui'tan'yi 回弹仪
'hui'tian'tu'hang'shi 回填土夯实
'hui'zhi'jian'li'he'wan'ju'tu'de'tu'jie'fa 绘制剪力和弯矩图的图解法
'hui'zhuan'ban'jing 回转半径
'hun'he'gu'liao'ji'pei 混合骨料级配
'hun'he'liao 混合料
'hun'ning'tu'ban 混凝土板
'hun'ning'tu'ban'zhuang 混凝土板桩
'hun'ning'tu'bo'luo 混凝土剥落
'hun'ning'tu'bo'luo'xiu'qi'gong'cheng 混凝土剥落修葺工程
'hun'ning'tu'chang'fang'hun'ning'tu'chang'fang 混凝土厂房混凝土厂房
'hun'ning'tu'hun'he'liao'li'xi 混凝土混合料离析
'hun'ning'tu'li'xi 混凝土离析
'huo'che'lun'du 火车轮渡
'huo'che'zhan 火车站
'huo'dong'bian'qiao 活动便桥
'huo'shan'hui 火山灰
'huo'shan'hui'shui'ni 火山灰水泥
'huo'zai'huo'zai 活载活载
'ji'ben'feng'su'ji'ben'feng'su 基本风速基本风速
'ji'ben'jian'she'xiang'mu'shi'gong'tu'she'ji 基本建设项目施工图设计
'ji'ben'zi'zhen'zhou'qi 基本自振周期
'ji'chu 基础
'ji'chu'de 基础的
'ji'chu'gong'cheng 基础工程
'ji'chu'gong'cheng'xue 基础工程学
'ji'chu'xia'bu'jie'gou 基础下部结构
'ji'chu'zi'zhen'pin'lv 基础自振频率
'ji'da'zhi'yuan'li'zui'da'zhi'yuan'li 极大值原理最大值原理
'ji'guan'xing'ju 极惯性矩
'ji'he'ju'zhen 几何矩阵
'ji'he'miao'shu'ju'zhen 几何描述矩阵
'ji'he'te'zheng 几何特征
'ji'liao 集料
'ji'shen'ying'li'tu 机身应力图
'ji'shu'biao'zhun 技术标准
'ji'shu'she'ji 技术设计
'ji'shu'she'ji'tu 技术设计图
'ji'shu'she'ji'yuan 技术设计员
'ji'suan'ji'fu'zhu'jiao'yu 计算机辅助教育
'ji'suan'ji'yuan'zhui'ti 计算机圆锥体
'ji'suan'kua'jing'ji'suan'kua'jing 计算跨径计算跨径
'ji'suan'tu'shi 计算图式
'ji'wu'jiao'gong'gang'gong 即无铰拱刚拱
'ji'wu'jiao'gong'gu'duan'gong 即无铰拱固端拱
'ji'xian'he'zai 极限荷载
'ji'xian'he'zai'she'ji 极限荷载设计
'ji'xian'kang'la'qiang'du 极限抗拉强度
'ji'xian'kang'la'qiang'du'ji'xian'la'li 极限抗拉强度极限拉力
'ji'xian'kang'la'ying'li 极限抗拉应力
'ji'xian'zhuang'tai 极限状态
'ji'xian'zhuang'tai'she'ji 极限状态设计
'ji'you'xian'yuan'fa 积有限元法
'ji'zhong'he'zai 集中荷载
