'ai'la 艾拉
'nan'dao'gu'zhi'shan'shuo'de'guang 难道固执闪烁的光
'nei'li 内力
'ni'da'ye 倪大爷
'ni'ma 尼玛
'ni'wo'dou'ru'shi 你我都如是
'ou'meng 欧盟
'ou'meng'hei'an'yi'hui 欧盟黑暗议会
'qi'du'yu 七度鱼
'qi'ji'lie'ren 七级猎人
'qian'nian'gu'shi 千年古尸
'qing'an 晴暗
'qing'long 青龙
'ren'xing'min'mie 人性泯灭
'san'ji'lie'ren 三级猎人
'sen'chuan'ling'feng 森川凌峰
'sha'shi 杀势
'shao'jiao'zhu 少教主
'shen'du'guo 身毒国
'shen'huang 神皇
'shen'zhi'ji'yin 神之基因
'sheng'ming'zhong'jiang'xiao'wang 生命终将消亡
'shi'chao'da'zhan 尸巢大战
'shi'er'shang'ren 十二上忍
'shi'jing'da'wei 石井大尉
'shi'jing'nai'nai'zi 石井奈奈子
'shi'wang 尸王
'shi'wang'zhen'ying 尸王阵营
'shi'xiong 尸兄
'shui'yin'ren 水银人
'si'da'shen'chong 四大神宠
'si'ling 司令
'si'ren'jiu'gai'you'si'ren'de'yang'zi 死人就该有死人的样子
'si'sheng 死绳
'su'po'mao 苏坡猫
'su'sha 夙沙
'sun'xiao'hou 孙小猴
'tan'li'shen 弹力神
'tian'gui 天鬼
'tu'lang 土狼
'tu'shu 屠叔
'tun'gui 豚鬼
'wang'bu'jun 王不君
'wang'lao'shi 王老师
'wei'xin 唯欣
'wei'yang 未羊
'wo'jiao'bai'xiao'fei 我叫白小飞
'wo'men'yong'yuan'kong'zhi'bu'liao'bei'shang 我们永远控制不了悲伤
'wu'bao 武宝
'wu'chou 武丑
'wu'ji'lie'ren 五级猎人
'wu'se'da'shi 无色大师
'wu'sheng 武生
'wu'shi'lie'ren 舞尸猎人
'wu'shi'lie'ren'xie'hui 舞尸猎人协会
'xi'xue'gui 吸血鬼
'xi'zhong'xi'yan 戏中戏言
'xiao'bai 小白
'xiao'hui 小惠
'xiao'jin'gang 小金刚
'xiao'lin 小林
'xiao'lu 小鹿
'xiao'meng 小萌
'xiao'mu 小木
'xiao'pang 小胖
'xiao'rou 小柔
'xiao'shi'tai 小师太
'xiao'tian'ju'yi'lang 小田菊一郎
'xiao'tong 小瞳
'xiao'tu'fu 小屠夫
'xiao'wan'zi 小丸子
'xiao'yan'zi 小言子
'xie'luo'han 邪罗汉
'xuan'wu 玄武
'xue'lian'jiao 血莲教
'xue'lian'jiao'sheng'nv 血莲教圣女
'xue'lian'jiao'you'hu'fa 血莲教右护法
'xue'shi 血侍
'xue'yi'hei'ren 血翼黑刃
'ya'mu 牙木
'yan'huang 炎黄
'yan'huang'bu 炎黄部
'yan'huang'gao'ceng 炎黄高层
'yan'huang'shi'er'sheng'xiao'ji'qi'ren 炎黄十二生肖机器人
'yan'huang'shou'hu'zhe 炎黄守护者
'yan'huang'te'neng'dui 炎黄特能队
'yan'wu'sheng 言无声
'yan'yan 炎燕
'yang'guang'xiao'xue 阳光小学
'yi'mei'dao'zhang 一眉道长
'yi'mo 易墨
'yi'neng'ren 异能人
'yi'neng'shi'wang 异能尸王
'yin'yang'shi 阴阳师
'you'ji 酉鸡
'yu'bo'shi 鱼博士
'yu'jia'wang 瑜伽王
'yu'shi'mian 雨湿面
'yu'xiao'jia 余晓佳
'yu'yu 愚鱼
'yu'yun'xue 雨云雪
'yun'zhong'shen'ying'que'bu'jian 云中身影却不见
'zang'qu 藏区
'zhang'da'hou'huan'wo'lai'bei'ni 长大后换我来背你
'zhang'xiao'tao 张小涛
'zhao'ri'tian 赵日天
'zhao'ri'tian'de'xue'shi 赵日天的血侍
'zhe'sheng 浙省
'zheng'qi'xie'zi 蒸汽蝎子
'zhong'nan'xian 终难现
'zhu'gang'lie 猪肛裂
'zhu'tan'zhu 竹坛主
'zhuo'mu'niao 啄木鸟
'zi'jin'da'qiao 紫金大桥
'zui'da'de'huang'yan'mo'guo'yu'wo'mei'shi 最大的谎言莫过于我没事
'zui'hou'zhi'sheng'xu'wei'de'huang 最后只剩虚伪的慌
'zuo'hu'fa 左护法
