'an'jian'de'yi'song 案件的移送
'shou'quan'zu'zhi'de'bei'gao'zi'ge 授权组织的被告资格
'shou'wei'tuo'zu'zhi'de'bei'gao'zi'ge 受委托组织的被告资格
'shu'zheng 书证
'shu'zheng'de'lei'xing 书证的类型
'shu'zheng'wu'zheng'shi'ting'zi'liao'de'zhi'zheng'gui'ze 书证物证视听资料的质证规则
'si'fa'jian'yi 司法建议
'si'fa'ren'zhi 司法认知
'su'ji'li 溯及力
'su'song'bao'quan 诉讼保全
'su'song'bu'ting'zhi'ju'ti'xing'zheng'xing'wei'de'zhi'xing 诉讼不停止具体行政行为的执行
'te'shu'di'yu'guan'xia 特殊地域管辖
'te'shu'qi'su'qi'xian 特殊起诉期限
'ti'gong'shu'zheng'de'yao'qiu 提供书证的要求
'ti'qi'kang'su'de'tiao'jian 提起抗诉的条件
'ti'qi'shen'pan'jian'du'cheng'xu'de'fang'shi 提起审判监督程序的方式
'ti'shen'zhi'ling'zai'shen'huo'fa'hui'chong'shen 提审指令再审或发回重审
'tong'deng'yuan'ze'he'dui'deng'yuan'ze 同等原则和对等原则
'wei'chi'pan'jue 维持判决
'wei'fa'yao'qiu'lv'xing'yi'wu 违法要求履行义务
'wei'fan'fa'ding'cheng'xu'de'shen'li'ji'chu'li 违反法定程序的审理及处理
'wei'jing'ting'shen'zhi'zheng'de'zheng'ju'de'fa'lv'xiao'li 未经庭审质证的证据的法律效力
'wei'tuo'dai'li'ren 委托代理人
'wei'tuo'de'jie'chu'huo'bian'geng 委托的解除或变更
'wei'tuo'zhi'xing 委托执行
'wo'guo'xing'zheng'su'song'shi'shi'shen'cha'de'te'zheng 我国行政诉讼事实审查的特征
'wu'zheng 物证
'xian'chang'bi'lu 现场笔录
'xian'qi'lv'xing'fa'ding'zhi'ze'pan'jue 限期履行法定职责判决
'xian'xing'ji'fu 先行给付
'xian'xing'zhi'xing 先行执行
'xiang'lin'quan'ren'de'yuan'gao'zi'ge 相邻权人的原告资格
'xiao'fei'zhe'de'yuan'gao'zi'ge 消费者的原告资格
'xing'shi'si'fa'xing'wei 刑事司法行为
'xing'zheng'an'jian'de'shi'shi 行政案件的事实
'xing'zheng'an'jian'de'zhi'xing 行政案件的执行
'xing'zheng'an'jian'zhi'xing'ji'gou 行政案件执行机构
'xing'zheng'bu'zuo'wei'de'ju'ti'an'jian 行政不作为的具体案件
'xing'zheng'bu'zuo'wei'xing'wei 行政不作为行为
'xing'zheng'chu'fa 行政处罚
'xing'zheng'chu'fa'de'guan'xia 行政处罚的管辖
'xing'zheng'chu'fa'de'li'fa'she'ding'quan 行政处罚的立法设定权
'xing'zheng'chu'fa'de'shi'shi'ji'guan 行政处罚的实施机关
'xing'zheng'chu'fa'de'shi'xiao 行政处罚的时效
'xing'zheng'chu'fa'de'ze'ren'nian'ling 行政处罚的责任年龄
'xing'zheng'chu'fa'de'zong'he'zhi'fa'ji'gou 行政处罚的综合执法机构
'xing'zheng'chu'fa'quan'de'wei'tuo'shou'quan 行政处罚权的委托授权
'xing'zheng'chu'fa'xian'shi'gong'zheng'ji'biao'xian'xing'shi 行政处罚显失公正及表现形式
'xing'zheng'chu'fa'yu'min'shi'ze'ren'de'qu'bie 行政处罚与民事责任的区别
'xing'zheng'chu'fa'yu'xing'shi'chu'fa'de'qu'bie 行政处罚与刑事处罚的区别
'xing'zheng'chu'fa'yu'xing'zheng'chu'fen'de'qu'bie 行政处罚与行政处分的区别
'xing'zheng'fa'gui 行政法规
'xing'zheng'fu'dai'min'shi'su'song 行政附带民事诉讼
'xing'zheng'fu'yi 行政复议
'xing'zheng'fu'yi'yu'xing'zheng'su'song'de'qu'bie 行政复议与行政诉讼的区别
'xing'zheng'gui'zhang 行政规章
'xing'zheng'he'tong'xing'wei'de'ke'su'xing 行政合同行为的可诉性
'xing'zheng'ji'fu'xing'wei 行政给付行为
'xing'zheng'ji'guan'shen'qing'zhi'xing'de'qi'xian 行政机关申请执行的期限
'xing'zheng'ju'liu 行政拘留
'xing'zheng'pan'jue'de'fa'lv'xiao'li 行政判决的法律效力
'xing'zheng'pan'jue'shu'de'nei'rong 行政判决书的内容
'xing'zheng'pei'chang 行政赔偿
'xing'zheng'pei'chang'de'fei'yong 行政赔偿的费用
'xing'zheng'pei'chang'de'qing'qiu'shi'xiao 行政赔偿的请求时效
'xing'zheng'pei'chang'de'ti'chu 行政赔偿的提出
'xing'zheng'pei'chang'qing'qiu'ren 行政赔偿请求人
'xing'zheng'pei'chang'shi'yong'tiao'jie 行政赔偿适用调解
'xing'zheng'pei'chang'yi'wu'ji'guan 行政赔偿义务机关
'xing'zheng'pei'chang'ze'ren'de'pai'chu 行政赔偿责任的排除
'xing'zheng'qiang'zhi'cuo'shi'de'biao'xian'xing'shi 行政强制措施的表现形式
'xing'zheng'qiang'zhi'cuo'shi'de'ding'yi'ji'shen'cha'fan'wei 行政强制措施的定义及审查范围
'xing'zheng'qiang'zhi'cuo'shi'de'zhu'ti 行政强制措施的主体
'xing'zheng'qiang'zhi'cuo'shi'yu'xing'zheng'cuo'shi 行政强制措施与行政措施
'xing'zheng'qiang'zhi'cuo'shi'yu'xing'zheng'jiu'zhu 行政强制措施与行政救助
'xing'zheng'qiang'zhi'cuo'shi'yu'xing'zheng'jue'ding 行政强制措施与行政决定
'xing'zheng'qiang'zhi'cuo'shi'yu'xing'zheng'ming'ling 行政强制措施与行政命令
'xing'zheng'qiang'zhi'cuo'shi'yu'xing'zheng'qiang'zhi'zhi'xing 行政强制措施与行政强制执行
'xing'zheng'qin'quan 行政侵权
'xing'zheng'que'ren'xing'wei'de'ke'su'xing 行政确认行为的可诉性
'xing'zheng'shen'pan'quan 行政审判权
'xing'zheng'shen'pan'quan'yu'xing'zheng'quan'de'guan'xi 行政审判权与行政权的关系
'xing'zheng'shen'pan'zu'zhi 行政审判组织
'xing'zheng'su'song 行政诉讼
'xing'zheng'su'song'cai'ding'de'shi'yong'fan'wei 行政诉讼裁定的适用范围
'xing'zheng'su'song'cai'ding'de'xiao'li 行政诉讼裁定的效力
'xing'zheng'su'song'can'jia'ren 行政诉讼参加人
'xing'zheng'su'song'dai'li'ren 行政诉讼代理人
'xing'zheng'su'song'de'cai'ding 行政诉讼的裁定
'xing'zheng'su'song'de'fei'yong 行政诉讼的费用
'xing'zheng'su'song'de'fou'ding'fan'wei 行政诉讼的否定范围
'xing'zheng'su'song'de'zheng'ju'gui'ze 行政诉讼的证据规则
'xing'zheng'su'song'di'san'ren 行政诉讼第三人
'xing'zheng'su'song'fa'yu'min'shi'su'song'fa'de'qu'bie 行政诉讼法与民事诉讼法的区别
'xing'zheng'su'song'fu'dai'min'shi'su'song'de'shen'li 行政诉讼附带民事诉讼的审理
'xing'zheng'su'song'gong'tong'su'song'ren 行政诉讼共同诉讼人
'xing'zheng'su'song'guan'xia 行政诉讼管辖
'xing'zheng'su'song'guan'xia'de'que'ding 行政诉讼管辖的确定
'xing'zheng'su'song'jue'ding'de'shi'yong'fan'wei 行政诉讼决定的适用范围
'xing'zheng'su'song'qiang'zhi'cuo'shi 行政诉讼强制措施
'xing'zheng'su'song'qiang'zhi'cuo'shi'de'du'te'zhi'chu 行政诉讼强制措施的独特之处
'xing'zheng'su'song'qiang'zhi'cuo'shi'de'shi'yong'qi'jian 行政诉讼强制措施的适用期间
'xing'zheng'su'song'qiang'zhi'cuo'shi'de'zhong'lei'ji'shi'yong 行政诉讼强制措施的种类及适用
'xing'zheng'su'song'shou'an'fan'wei 行政诉讼受案范围
'xing'zheng'su'song'yu'kong'gao'jian'ju'de'qu'bie 行政诉讼与控告检举的区别
'xing'zheng'su'song'zhi'xing'fa'sheng'de'tiao'jian 行政诉讼执行发生的条件
'xing'zheng'su'song'zhong'de'xian'yu'zhi'xing 行政诉讼中的先予执行
'xing'zheng'tiao'jie'xing'wei 行政调解行为
'xing'zheng'xu'ke'cheng'xu 行政许可程序
'xing'zheng'xu'ke'de'bian'geng 行政许可的变更
'xing'zheng'xu'ke'de'fei'yong 行政许可的费用
'xing'zheng'xu'ke'de'shen'qing 行政许可的申请
'xing'zheng'xu'ke'de'shou'li 行政许可的受理
'xing'zheng'xu'ke'de'yan'huan 行政许可的延缓
'xing'zheng'xu'ke'jue'ding 行政许可决定
'xing'zheng'xu'ke'xing'wei 行政许可行为
'xing'zheng'zheng'shou'xing'wei'de'ke'su'xing 行政征收行为的可诉性
'xing'zheng'zheng'yi 行政争议
'xing'zheng'zhi'dao'xing'wei 行政指导行为
'xing'zheng'zhong'cai'xing'wei 行政仲裁行为
'xing'zheng'zhong'ju'cai'jue 行政终局裁决
'yan'chang'shen'li'qi'xian 延长审理期限
'yan'qi'shen'li 延期审理
'yi'ban'di'yu'guan'xia 一般地域管辖
'yi'fa'she'ding'shi'shi'xing'zheng'xu'ke 依法设定实施行政许可
'yi'jiao'zhi'xing 移交执行
'yi'liao'shi'gu'zheng'yi'an'jian'de'ke'su'xing 医疗事故争议案件的可诉性
'yi'shi'bu'zai'fa'yuan'ze 一事不再罚原则
'yi'shi'bu'zai'li'yuan'ze 一事不再理原则
'yi'song'guan'xia 移送管辖
'yi'zhuan'guan'xia 移转管辖
'yi'zhuan'guan'xia'de'shi'yong 移转管辖的适用
'you'shu'liang'xian'zhi'de'xing'zheng'xu'ke'jue'ding 有数量限制的行政许可决定
'yuan'gao 原告
'yuan'gao'de'ju'zheng'ze'ren 原告的举证责任
'yuan'gao'de'su'song'quan'li 原告的诉讼权利
'yuan'gao'de'su'song'yi'wu 原告的诉讼义务
'yuan'gao'zi'ge 原告资格
'yuan'gao'zi'ge'de'zhuan'yi 原告资格的转移
'yue'quan'wu'xiao'yuan'ze 越权无效原则
'zai'shen'an'jian'de'cai'pan 再审案件的裁判
'zai'shen'an'jian'shi'yong'di'er'shen'cheng'xu'shen'li 再审案件适用第二审程序审理
'zai'shen'an'jian'shi'yong'di'yi'shen'cheng'xu'shen'li 再审案件适用第一审程序审理
'ze'ling'ting'chan'ting'ye 责令停产停业
'zheng'ju'bao'quan'de'cuo'shi 证据保全的措施
'zheng'ju'bao'quan'de'qi'dong'tiao'jian'he'cheng'xu 证据保全的启动条件和程序
'zheng'ju'diao'cha'de'shou'duan 证据调查的手段
'zheng'ju'guan'lian'xing'de'ren'ding 证据关联性的认定
'zheng'ju'he'fa'xing'de'ren'ding 证据合法性的认定
'zheng'ju'ke'guan'xing'de'ren'ding 证据客观性的认定
'zheng'ming'fang'ai'ji'qi'fa'lv'hou'guo 证明妨碍及其法律后果
'zheng'ming'neng'li'ren'zheng'gui'ze 证明能力认证规则
'zheng'ren'chu'ting'gui'ze 证人出庭规则
'zheng'ren'zheng'yan 证人证言
'zheng'ren'zi'ge 证人资格
'zheng'shou'biao'zhun 征收标准
'zhi'ding'dai'li'ren 指定代理人
'zhi'ding'guan'xia 指定管辖
'zhi'xing'can'jia'ren 执行参加人
'zhi'xing'cuo'wu'de'pei'chang 执行错误的赔偿
'zhi'xing'de'yuan'ze 执行的原则
'zhi'xing'gen'ju'xing'zheng'cai'ding'shu 执行根据行政裁定书
'zhi'xing'gen'ju'xing'zheng'chu'li'jue'ding'shu 执行根据行政处理决定书
'zhi'xing'gen'ju'xing'zheng'fu'yi'jue'ding'shu 执行根据行政复议决定书
'zhi'xing'gen'ju'xing'zheng'pan'jue'shu 执行根据行政判决书
'zhi'xing'gen'ju'xing'zheng'pei'chang'tiao'jie'shu 执行根据行政赔偿调解书
'zhi'xing'qian'de'zhun'bei 执行前的准备
'zhi'xing'shi'de'cai'chan'bao'quan 执行时的财产保全
'zhi'xing'zhong'jie 执行终结
'zhi'xing'zhong'zhi 执行中止
'zhi'zheng'de'dui'xiang 质证的对象
'zhi'zheng'de'fang'shi'he'nei'rong 质证的方式和内容
'zhi'zheng'de'zhu'ti 质证的主体
'zhi'zuo'he'shou'ji'shi'ting'zi'liao'de'gui'ze 制作和收集视听资料的规则
'zhong'ji'ren'min'fa'yuan'de'guan'xia 中级人民法院的管辖
'zhong'jie'su'song 终结诉讼
'zhong'ju'xing'zheng'xing'wei 终局行政行为
'zhong'zhi'su'song 中止诉讼
'zhu'guan'yu'guan'xia 主管与管辖
'zhu'guan'yu'zhu'shen 主管与主审
'zhui'chang 追偿
'zhun'yu'che'hui'shang'su'de'cai'ding'wei'zhong'shen'cai'ding 准予撤回上诉的裁定为终审裁定
'zi'ren 自认
'zi'ren'zheng'ju'de'zheng'ming'li 自认证据的证明力
'zi'you'xuan'ze'qi'su 自由选择起诉
'zui'gao'ren'min'fa'yuan'de'guan'xia 最高人民法院的管辖
'zuo'chu'xing'zheng'xu'ke'jue'ding'de'qi'xian 作出行政许可决定的期限
