'an'chan'zhi'du'long 安禅制毒龙
'cao'zhang'ping'hu'bai'lu'fei 草长平湖白鹭飞
'ceng'shi'luo'yang'hua'xia'ke 曾是洛阳花下客
'ceng'wei'da'liang'ke 曾为大梁客
'cha'ji'bian'li'jin'hu'chi 插棘编篱谨护持
'chan'fang'hua'mu'shen 禅房花木深
'chan'sheng'duan'xu'bei'can'yue 蝉声断续悲残月
'chang'ban'yun'qu'qian'li'ming 长伴云衢千里明
'chang'che'wu'geng'tian'wei'xiao 唱彻五更天未晓
'chang'ci'dai'yao'tian 长此戴尧天
'chang'di'yi'sheng'ren'yi'lou 长笛一声人倚楼
'chang'duan'chun'jiang'yu'jin'tou 肠断春江欲尽头
'chang'ge'huai'cai'wei 长歌怀采薇
'chang'he'mei'xiao'tian 长河没晓天
'chang'he'qian'men'wan'hu'kai 阊阖千门万户开
'chang'men'die'wu'duo 长门蝶舞多
'chang'xia'jiang'cun'feng'ri'qing 长夏江村风日清
'chang'xia'jiang'cun'shi'shi'you 长夏江村事事幽
'chang'yan'yuan'lu'ji 长筵鹓鹭集
'chang'yuan'feng'jin'xian 常愿奉金仙
'chao'ba'xiang'yan'xie'man'xiu 朝罢香烟携满袖
'chao'ba'xu'cai'wu'se'zhao 朝罢须裁五色诏
'chao'hui'ri'ri'dian'chun'yi 朝回日日典春衣
'chao'lai'ru'ting'shu 朝来入庭树
'chao'ping'liang'an'kuo 潮平两岸阔
'chao'yuan'ge'shang'xi'feng'ji 朝元阁上西风急
'chen'you'bu'wei'san'yuan'ye 宸游不为三元夜
'cheng'en'xian'yi'zui 承恩咸已醉
'cheng'lu'jin'jing'xiao'han'jian 承露金茎霄汉间
'cheng'qie'xiang'huang'xie'zheng'fei 橙切香黄蟹正肥
'cheng'que'fu'san'qin 城阙辅三秦
'cheng'shang'xian'shou'le'jun'tian 称觞献寿乐钧天
'cheng'shi'fang'zai'de 乘时方在德
'chi'cheng'bu'rang'yin'long'chuan 池成不让饮龙川
'chi'ri'shi'lin'qi 赤日石林气
'chi'ri'xing'tian'wu'bu'zhi 赤日行天午不知
'chi'shang'yu'jin'you'feng'mao 池上于今有凤毛
'chi'shi'chuan'xuan'zuo'ci'cha 敕使传宣坐赐茶
'chong'chong'die'die'shang'yao'tai 重重叠叠上瑶台
'chou'jian'he'qiao'jiu'man'qing 愁见河桥酒幔青
'chou'kan'wu'ling'yan 愁看五陵烟
'chou'wen'jian'ji'fu'wei'zhu 愁闻剑戟扶危主
'chu'chu'niao'xian'fei 处处鸟衔飞
'chu'chu'wen'ti'niao 处处闻啼鸟
'chu'men'ju'shi'kan'hua'ren 出门俱是看花人
'chu'ri'zhao'gao'lin 初日照高林
'chu'shan'bu'ke'ji 楚山不可极
'chu'su'rao'ci'ke 楚俗饶词客
'chu'wen'zheng'yan'yi'wu'chan 初闻征雁已无蝉
'chuan'hua'jia'die'shen'shen'jian 穿花蛱蝶深深见
'chuan'yu'feng'guang'gong'liu'zhuan 传语风光共流转
'chuang'han'xi'ling'qian'qiu'xue 窗含西岭千秋雪
'chuang'qian'ming'yue'guang 床前明月光
'chuang'tou'yi'hu'jiu 床头一壶酒
'chuang'zhong'xiao'wei'chuan 窗中小渭川
'chui'jia'liu'guan'dong'fei'hui 吹葭六管动飞灰
'chui'mian'bu'han'yang'liu'feng 吹面不寒杨柳风
'chui'xiang'yu'jie'fei 吹向玉阶飞
'chun'chao'dai'yu'wan'lai'ji 春潮带雨晚来急
'chun'chao'ye'ye'shen 春潮夜夜深
'chun'cheng'wu'chu'bu'fei'hua 春城无处不飞花
'chun'chou'an'an'du'cheng'mian 春愁黯黯独成眠
'chun'dao'ren'jian'cao'mu'zhi 春到人间草木知
'chun'feng'fu'kan'lu'hua'nong 春风拂槛露华浓
'chun'feng'qie'mo'ding 春风且莫定
'chun'feng'song'nuan'ru'tu'su 春风送暖入屠苏
'chun'feng'yi'bu'dao'tian'ya 春风疑不到天涯
'chun'liu'rao'shu'cheng 春流绕蜀城
'chun'mian'bu'jue'xiao 春眠不觉晓
'chun'ri'jia'qi'duo 春日佳气多
'chun'ru'yao'shan'bi'si'wei 春入遥山碧四围
'chun'se'man'yuan'guan'bu'zhu 春色满园关不住
'chun'se'nao'ren'mian'bu'de 春色恼人眠不得
'chun'xiao'yi'ke'zhi'qian'jin 春宵一刻值千金
'ci'di'bie'yan'dan 此地别燕丹
'ci'di'kong'yu'huang'he'lou 此地空余黄鹤楼
'ci'di'yi'wei'bie 此地一为别
'ci'hui'zai'he'nian 此会在何年
'ci'ri'zhong'liu'zi'zai'xing 此日中流自在行
'ci'sheng'ci'ye'bu'zhang'hao 此生此夜不长好
'ci'sheng'sui'wan'wu 此生随万物
'ci'weng'shu'bu'ran 此翁殊不然
'ci'xiu'wu'wen'tian'ruo'xian 刺绣五纹添弱线
'cong'cong'gui'dao'shen'xian'fu 匆匆归到神仙府
'cong'ju'liang'kai'ta'ri'lei 丛菊两开他日泪
'cong'lai'duo'gu'yi 从来多古意
'cui'nian'bu'ceng'guo 翠辇不曾过
'cui'ping'qian'ren'he 翠屏千仞合
'cui'yan'zhong'men'yan'zi'xian 翠掩重门燕子闲
'cun'xin'yan'bu'jin 寸心言不尽
'cun'zhuang'er'nv'ge'dang'jia 村庄儿女各当家
'da'dao'zhi'ru'fa 大道直如发
'da'dou'qiu'yan'shao 大都秋雁少
'da'jiang'nan'zheng'dan'qi'hao 大将南征胆气豪
'da'qi'huang'ying'er 打起黄莺儿
'dan'dan'zhu'yan'nong'zhu'yue 淡淡著烟浓著月
'dan'feng'jia'jie'yue'zhong'pei 但逢佳节约重陪
'dan'shi'zhu'ren'neng'zui'ke 但使主人能醉客
'dan'yue'shu'xing'rao'jian'zhang 淡月疏星绕建章
'dan'zhang'wu'ding'kai 丹嶂五丁开
'dan'zhuang'nong'mo'zong'xiang'yi 淡妆浓抹总相宜
'dao'jiang'wu'di'jin 到江吴地尽
'dao'lai'sheng'yin'xin 到来生隐心
'dao'ren'bu'shi'bei'qiu'ke 道人不是悲秋客
'dao'tong'tian'di'you'xing'wai 道通天地有形外
'de'shi'jie'chu'niao'que'xun 得食阶除鸟雀驯
'deng'lin'jin'ri'bian 登临近日边
'deng'ming'fang'zhang'shi 灯明方丈室
'deng'xian'shi'de'dong'feng'mian 等闲识得东风面
'di'nong'wan'feng'san'si'sheng 笛弄晚风三四声
'di'shi'lai'jing'meng'li'xian 底事来惊梦里闲
'di'tou'si'gu'xiang 低头思故乡
'dian'dao'cang'tai'luo'jiang'ying 颠倒苍苔落绛英
'dian'dian'yang'hua'ru'yan'chi 点点杨花入砚池
'dian'kuang'liu'xu'sui'feng'wu 颠狂柳絮随风舞
'dian'shan'jing'qi'ri'yue'gao 电闪旌旗日月高
'dian'shang'gun'yi'ming'ri'yue 殿上衮衣明日月
'dian'shui'qing'ting'kuan'kuan'fei 点水蜻蜓款款飞
'dian'xi'he'ye'die'qing'qian 点溪荷叶叠青钱
'die'yi'shai'fen'hua'zhi'wu 蝶衣晒粉花枝舞
'dong'bi'tu'shu'fu 东壁图书府
'dong'feng'chui'shui'lv'cen'ci 东风吹水绿参差
'dong'feng'niao'niao'fan'chong'guang 东风袅袅泛崇光
'dong'gao'bo'mu'wang 东皋薄暮望
'dong'jun'qu'ting'ri 东郡趋庭日
'dong'lai'zi'qi'man'han'guan 东来紫气满函关
'dong'lei'jing'sun'yu'chou'ya 冻雷惊笋欲抽芽
'dong'lu'yun'shan'he 东路云山合
'dong'yuan'zai'jiu'xi'yuan'zui 东园载酒西园醉
'dong'zhi'yang'sheng'chun'you'lai 冬至阳生春又来
'dou'ru'chang'yang'zuo'yu'sheng 都入长杨作雨声
'du'dui'dan'chi'ri'wei'xie 独对丹墀日未斜
'du'hua'feng'yu'bian'xiang'cui 妒花风雨便相催
'du'juan'zhi'shang'yue'san'geng 杜鹃枝上月三更
'du'lian'you'cao'jian'bian'sheng 独怜幽草涧边生
'du'shang'jiang'lou'si'qiao'ran 独上江楼思悄然
'du'you'feng'huang'chi'shang'ke 独有凤凰池上客
'du'you'huan'you'ren 独有宦游人
'du'zuo'huang'hun'shui'shi'ban 独坐黄昏谁是伴
'du'zuo'you'huang'li 独坐幽篁里
'duan'di'wu'qiang'xin'kou'chui 短笛无腔信口吹
'duan'ju'chi'sheng'ming 端居耻圣明
'duan'men'fang'xi'cui'hua'lin 端门方喜翠华临
'duan'qiao'chui'lu'di'wu'tong 断桥垂露滴梧桐
'duan'song'yu'rong'ren'shang'tian 断送玉容人上天
'duan'xu'sheng'sui'duan'xu'feng 断续声随断续风
'duo'bing'suo'xu'wei'yao'wu 多病所须惟药物
'duo'shao'gong'fu'zhi'de'cheng 多少工夫织得成
'duo'shao'lou'tai'yan'yu'zhong 多少楼台烟雨中
'e'hu'shan'xia'dao'liang'fei 鹅湖山下稻粱肥
'en'dao'zui'jiu'shen 恩叨醉酒深
'er'nv'gong'zhan'jin 儿女共沾巾
'er'shi'wu'xian'dan'ye'yue 二十五弦弹夜月
'er'yue'shan'cheng'wei'jian'hua 二月山城未见花
'fan'li'zhou'pian'xiao 范蠡舟偏小
'fan'zhao'ru'lv'xiang 返照入闾巷
'fang'cao'qi'qi'ying'wu'zhou 芳草萋萋鹦鹉洲
'fang'shao'chu'jian'ying'li'li 放梢初见影离离
'fang'shu'long'qin'zhan 芳树笼秦栈
'fang'yuan'lv'ye'zi'xing'shi 芳原绿野恣行时
'fang'zhang'hun'lian'shui 方丈浑连水
'fang'zhi'bu'ran'xin 方知不染心
'fei'ru'xun'chang'bai'xing'jia 飞入寻常百姓家
'fen'cao'xian'zi'wei 分曹限紫薇
'fen'die'ru'zhi'he'duan'hun 粉蝶如知合断魂
'fen'shou'tuo'xiang'zeng 分手脱相赠
'fen'shui'qiu'feng'lou'han'cai 汾水秋风陋汉才
'fen'ye'zhong'feng'bian 分野中峰变
'feng'chui'tuo'gu'shan'he'dong 风吹鼍鼓山河动
'feng'die'fen'fen'guo'qiang'qu 蜂蝶纷纷过墙去
'feng'guan'fa'zhao'yang 凤管发昭阳
'feng'guang'bie'wo'ku'yin'shen 风光别我苦吟身
'feng'guang'bu'yu'si'shi'tong 风光不与四时同
'feng'ji'da'chuan'tou 风急打船头
'feng'jing'yi'xi'si'qu'nian 风景依稀似去年
'feng'lian'xi'ji'dong 风连西极动
'feng'lin'ge'wei'xi 凤林戈未息
'feng'piao'wan'dian'zheng'chou'ren 风飘万点正愁人
'feng'ri'qing'he'ren'yi'hao 风日晴和人意好
'feng'yan'wang'wu'jin 风烟望五津
'feng'zheng'yi'fan'xuan 风正一帆悬
'fu'chen'qian'gu'shi 浮沉千古事
'fu'gui'bu'yin'pin'jian'le 富贵不淫贫贱乐
'fu'jiu'jin'men'qi'zai'xian 赋就金门期再献
'fu'jiu'yi'pian'huai'ma'rong 赋就一篇怀马融
'fu'rong'sheng'zai'qiu'jiang'shang 芙蓉生在秋江上
'fu'yin'bing'si'shou'peng'mao 夫因兵死守蓬茅
'fu'yun'lian'hai'dai 浮云连海岱
'fu'yun'you'zi'yi 浮云游子意
'gan'ge'wei'ding'yu'he'zhi 干戈未定欲何之
'gan'jiang'shuai'xiu'xi'can'nian 敢将衰朽惜残年
'gang'bei'tai'yang'shou'shi'qu 刚被太阳收拾去
'gao'ge'bi'zhu'tian 高阁逼诸天
'gao'lie'qian'feng'bao'ju'sen 高列千峰宝炬森
'gao'zhen'shi'tou'mian 高枕石头眠
'ge'an'yue'shan'duo 隔岸越山多
'ge'duan'hong'chen'san'shi'li 隔断红尘三十里
'ge'guan'lou'tai'sheng'xi'xi 歌管楼台声细细
'ge'jiang'you'chang'hou'ting'hua 隔江犹唱后庭花
'ge'shui'wen'qiao'fu 隔水问樵夫
'geng'dai'yin'he'che'di'qing 更待银河彻底清
'geng'dei'ji'hui'guo 更得几回过
'geng'shang'yi'ceng'lou 更上一层楼
'geng'wen'feng'ye'xia 更闻枫叶下
'geng'wu'liu'xu'yin'feng'qi 更无柳絮因风起
'geng'yi'tian'lu'jin 更疑天路近
'gong'dian'feng'wei'yan'que'gao 宫殿风微燕雀高
'gong'jun'jin'ye'bu'xu'shui 共君今夜不须睡
'gong'mu'en'bo'feng'chi'shang 共沐恩波凤池上
'gong'que'tong'qun'di 宫阙通群帝
'gong'zi'tiao'bing'shui 公子调冰水
'gu'an'qian'qi'chu 谷暗千旗出
'gu'dao'shao'ren'xing 古道少人行
'gu'ke'zui'xian'wen 孤客最先闻
'gu'lao'si'fei'jiang 故老思飞将
'gu'mu'cong'qing'ai 古木丛青蔼
'gu'mu'wu'ren'jing 古木无人径
'gu'mu'yin'zhong'xi'duan'peng 古木阴中系短篷
'gu'peng'wan'li'zheng 孤蓬万里征
'gu'ren'jing'luo'man 故人京洛满
'gu'shao'gao'zhu'zhao'hong'zhuang 故烧高烛照红妆
'gu'su'cheng'wai'han'shan'si 姑苏城外寒山寺
'gu'wu'hua'long'she 古屋画龙蛇
'gu'yuan'shu'dong'jing'nian'jue 故园书动经年绝
'gu'yun'du'qu'xian 孤云独去闲
'gu'zhang'qin'bei'zai 孤嶂秦碑在
'gu'zhou'yi'xi'gu'yuan'xin 孤舟一系故园心
'guan'kan'bin'ke'er'tong'xi 惯看宾客儿童喜
'guan'mu'ying'qi'zhuan 灌木萦旗转
'guan'sai'ji'tian'wei'niao'dao 关塞极天惟鸟道
'guan'yin'lao'bing'xiu 官因老病休
'gui'dao'yu'tang'qing'bu'mei 归到玉堂清不寐
'gui'ji'zhong'liu'wang 桂楫中流望
'gui'lai'bao'fan'huang'hun'hou 归来饱饭黄昏后
'gui'lu'dan'xiao'tiao 归路但萧条
'gui'lu'fan'xiao'sa 归路翻萧飒
'gui'si'yu'zhan'jin 归思欲沾巾
'gui'xian'wo'yu'pin'lai'ci 归闲我欲频来此
'gui'yan'luo'yang'bian 归雁洛阳边
'gui'yao'lin'ge'ming 归邀麟阁名
'hai'jin'bian'yin'jing 海尽边阴静
'hai'ming'xian'jian'ri 海明先见日
'hai'nei'cun'zhi'ji 海内存知己
'hai'ou'he'shi'geng'xiang'yi 海鸥何事更相疑
'hai'qi'qin'nan'bu 海气侵南部
'hai'ri'sheng'can'ye 海日生残夜
'hai'se'qing'kan'yu 海色晴看雨
'han'jia'gong'que'dong'gao'qiu 汉家宫阙动高秋
'han'jin'bu'zhi'nian 寒尽不知年
'han'qin'tang'ling'wu'mai'fan 汉寝唐陵无麦饭
'han'se'wu'ling'song 寒色五陵松
'han'shi'dong'feng'yu'liu'xie 寒食东风御柳斜
'han'ting'rong'qiao'huan 汉廷荣巧宦
'han'xu'hun'tai'qing 涵虚混太清
'han'ye'ke'lai'cha'dang'jiu 寒夜客来茶当酒
'han'yi'chu'chu'cui'dao'chi 寒衣处处催刀尺
'hao'jie'yin'wang'zao 浩劫因王造
'hao'jing'chun'jiu'zhan'zhou'yan 镐京春酒沾周宴
'hao'po'dang'kong'bao'jing'sheng 皓魄当空宝镜升
'hao'shou'wu'gu'zhang'jiang'bian 好收吾骨瘴江边
'he'chu'chu'chen'fen 何处出尘氛
'he'chu'de'qiu'shuang 何处得秋霜
'he'chu'qiu'feng'zhi 何处秋风至
'he'jin'yi'wu'qing'yu'gai 荷尽已无擎雨盖
'he'jing'na'liang'shi 荷净纳凉时
'he'nian'gu'hu'tou 何年顾虎头
'he'ren'zui'wang'huan 何人最往还
'he'ri'fu'tong'you 何日复同游
'he'ru'ci'di'chun 何如此地春
'he'shi'yi'zhu'tan 何时议筑坛
'he'yong'fu'ming'ban'ci'shen 何用浮名绊此身
'hong'jin'tao'chan'ri'yue'fu 红锦韬缠日月符
'hong'yan'bei'ming'hong'liao'feng 鸿雁悲鸣红蓼风
'hong'yi'luo'jin'zhu'lian'chou 红衣落尽渚莲愁
'hou'huo'yun'feng'jun 候火云峰峻
'hu'cong'liang'ke'fu 扈从良可赋
'hu'die'meng'zhong'jia'wan'li 蝴蝶梦中家万里
'hu'tong'yun'tie'jiu'han'yi 呼童熨贴旧寒衣
'hu'wai'yi'feng'xiu 户外一峰秀
'hu'wen'chun'jin'qiang'deng'shan 忽闻春尽强登山
'hu'wen'ge'gu'diao 忽闻歌古调
'hua'ban'run'zhan'hong'xing'yu 花板润沾红杏雨
'hua'bi'yu'hong'yan 画壁余鸿雁
'hua'fa'chun'cui'liang'bin'sheng 华发春催两鬓生
'hua'fei'mo'qian'sui'liu'shui 花飞莫遣随流水
'hua'jia'shuang'cai'cui'luo'pian 画架双裁翠络偏
'hua'kai'hong'shu'luan'ying'ti 花开红树乱莺啼
'hua'luo'zhi'duo'shao 花落知多少
'hua'mu'cheng'xi'shou'zi'zai 花木成蹊手自栽
'hua'yin'ye'yuan'mu 花隐掖垣暮
'hua'ying'jian'pei'xing'chu'luo 花迎剑佩星初落
'hua'you'qing'xiang'yue'you'yin 花有清香月有阴
'hua'zhi'chu'jian'zhang 花枝出建章
'huai'jun'shu'qiu'ye 怀君属秋夜
'huan'jia'wan'li'meng 还家万里梦
'huan'xun'fang'cao'de'gui'chi 缓寻芳草得归迟
'huang'cheng'lu'dian'yu 荒城鲁殿余
'huang'he'lou'zhong'chui'yu'di 黄鹤楼中吹玉笛
'huang'he'ru'hai'liu 黄河入海流
'huang'he'yi'qu'bu'fu'fan 黄鹤一去不复返
'huang'jia'gui'zhu'hao'shen'xian 皇家贵主好神仙
'huang'jin'jia'suo'lei'ting'yin 黄金甲锁雷霆印
'huang'mei'shi'jie'jia'jia'yu 黄梅时节家家雨
'huang'ting'chui'ju'you 荒庭垂橘柚
'hui'shou'qing'shan'ru'meng'pin 回首青山入梦频
'hui'shou'zi'zi'qu 挥手自兹去
'hui'tou'bu'si'zai'shan'shi 回头不似在山时
'hui'xiang'yao'tai'yue'xia'feng 会向瑶台月下逢
'huo'kong'shi'tong'xiang 或恐是同乡
'huo'yun'you'wei'lian'qi'feng 火云犹未敛奇峰
'ji'cheng'ying'shuo'dao'chang'shan 计程应说到常山
'ji'chu'yuan'lin'xiao'se'li 几处园林萧瑟里
'ji'du'hu'tong'sao'bu'kai 几度呼童扫不开
'ji'hui'qing'suo'dian'chao'ban 几回青琐点朝班
'ji'ji'chai'men'cun'luo'li 寂寂柴门村落里
'ji'ling'yin'duan'ren'qian'li 鹡鸰音断人千里
'ji'ming'zi'mo'shu'guang'han 鸡鸣紫陌曙光寒
'ji'ri'ji'liao'shang'jiu'hou 几日寂寥伤酒后
'ji'yu'kong'lin'yan'huo'chi 积雨空林烟火迟
'jia'chui'ye'bian'sheng 笳吹夜边声
'jia'jia'fu'de'zui'ren'gui 家家扶得醉人归
'jia'jie'qing'ming'tao'li'xiao 佳节清明桃李笑
'jia'ren'chun'xi'xiao'lou'qian 佳人春戏小楼前
'jia'ren'xue'ou'si 佳人雪藕丝
'jian'ge'heng'yun'jun 剑阁横云峻
'jian'jian'qing'feng'zhen'zhen'han 剪剪轻风阵阵寒
'jian'liu'nan'dou'jin 剑留南斗近
'jian'pei'sheng'sui'yu'chi'bu 剑佩声随玉墀步
'jian'shuo'can'cong'lu 见说蚕丛路
'jiang'bai'jiong'wen'feng 江白迥闻风
'jiang'cheng'ru'hua'li 江城如画里
'jiang'cheng'wu'yue'luo'mei'hua 江城五月落梅花
'jiang'chun'ru'jiu'nian 江春入旧年
'jiang'feng'yu'huo'dui'chou'mian 江枫渔火对愁眠
'jiang'han'shuo'chui'sheng 江寒朔吹生
'jiang'hu'lang'ji'yi'sha'ou 江湖浪迹一沙鸥
'jiang'hu'man'di'yi'yu'weng 江湖满地一渔翁
'jiang'jian'bo'lang'jian'tian'yong 江间波浪兼天涌
'jiang'ling'zuo'liu'ren 江岭作流人
'jiang'shang'xiao'tang'chao'fei'cui 江上小堂巢翡翠
'jiang'shen'zou'bai'sha 江深走白沙
'jiang'sheng'ye'ting'chao 江声夜听潮
'jiang'wei'tou'xian'xue'shao'nian 将谓偷闲学少年
'jiang'yi'jian'tian'xin 讲易见天心
'jiang'ze'ji'ren'bao'xiao'chou 绛帻鸡人报晓筹
'jiao'er'qie'fu'zhang'zhong'bei 教儿且覆掌中杯
'jiao'jiao'shi'zuo'nong'ji'sheng 交交时作弄机声
'jiao'tu'kong'cong'xian'wai'luo 狡兔空从弦外落
'jie'er'le'ming'cai 嗟尔勒铭才
'jie'qian'zhong'he'shen 阶前众壑深
'jie'tian'lian'ye'wu'qiong'bi 接天莲叶无穷碧
'jie'tuo'shi'wen'sheng'su'su 解箨时闻声簌簌
'jie'wen'cheng'en'zhe 借问承恩者
'jie'wen'jiu'jia'he'chu'you 借问酒家何处有
'jie'yu'yi'kong'lin 结宇依空林
'jin'cheng'chun'se'xiao'cang'cang 禁城春色晓苍苍
'jin'dian'dang'tou'zi'ge'zhong 金殿当头紫阁重
'jin'li'xian'sheng'wu'jiao'jin 锦里先生乌角巾
'jin'lu'xiang'jin'lou'sheng'can 金炉香尽漏声残
'jin'men'shen'suo'ji'wu'hua 禁门深锁寂无哗
'jin'que'xiao'zhong'kai'wan'hu 金阙晓钟开万户
'jin'ri'hua'kai'you'yi'nian 今日花开又一年
'jin'ri'shui'you'han 今日水犹寒
'jin'shang'yue'yang'lou 今上岳阳楼
'jin'shi'liu'lang'qu'hou'zai 尽是刘郎去后栽
'jin'tian'fang'su'sha 金天方肃杀
'jin'yan'bu'dao'yue'ren'guo 禁烟不到粤人国
'jin'zhao'ji'ge'lai 今朝几个来
'jin'zun'dui'qi'yan 金尊对绮筵
'jing'cong'sheng'yu'lai'ci'di 敬从乘舆来此地
'jing'qi'chao'shuo'qi 旌旗朝朔气
'jing'qi'ri'nuan'long'she'dong 旌旗日暖龙蛇动
'jiu'ban'liang'bin'ru'shuang'xue 久斑两鬓如霜雪
'jiu'chong'chun'se'zui'xian'tao 九重春色醉仙桃
'jiu'han'hua'ying'hong'guang'liu 酒涵花影红光溜
'jiu'jiu'qi'niao'guo 啾啾栖鸟过
'jiu'ling'yi'lao'han'xiu'si 九龄已老韩休死
'jiu'shi'qi'liang'bu'ke'ting 旧事凄凉不可听
'jiu'shi'wang'xie'tang'qian'yan 旧时王谢堂前燕
'jiu'tian'chang'he'kai'gong'dian 九天阊阖开宫殿
'jiu'zhai'xun'chang'xing'chu'you 酒债寻常行处有
'jiu'zhi'zhong'you'hao'hua'zhi 酒卮中有好花枝
'ju'can'you'you'ao'shuang'zhi 菊残犹有傲霜枝
'ju'tou'wang'ming'yue 举头望明月
'juan'man'wu'hu'qiu 卷幔五湖秋
'jue'sheng'yan'liu'man'huang'du 绝胜烟柳满皇都
'jun'hui'dong'luo'cheng 军麾动洛城
'jun'jia'he'chu'zhu 君家何处住
'jun'wang'xing'chu'jiang 君王行出将
