'bi'jiao'fa 比较法
'zi'bian'liang 自变量
'zi'liao'fen'xi'fa 资料分析法
'zi'liao'shou'ji'fa 资料收集法
'zi'you'du 自由度
'zong'guan'diao'cha 纵贯调查
'zong'he'zhi'biao 综合指标
'zu'ji'ping'fang'he 组际平方和
'zu'ju 组距
'zu'xia'xian 组下限
'zu'xian 组限
'zu'zhong'dian 组中点
'zui'da'ni'ran'gu'ji 最大拟然估计
'zui'jia'ni'he'xian 最佳拟合线
'zui'xiao'ping'fang'zhun'ze 最小平方准则
