'ba'diao 八貂
'ze'ren'nei'ge 责任内阁
'zheng'qing 正卿
'zheng'shi'sheng 政事省
'zheng'shi'tang 政事堂
'zhong'chao'guan 中朝官
'zhong'dai'fu 中大夫
'zhong'guo'guo'min'dang'zhong'yang'zheng'zhi'wei'yuan'hui 中国国民党中央政治委员会
'zhong'hua'min'guo'can'yi'yuan 中华民国参议院
'zhong'qing 冢卿
'zhong'shu'men'xia 中书门下
'zhong'shu'men'xia'hou'sheng 中书门下后省
'zhong'shu'men'xia'nei'xing 中书门下内省
'zhong'shu'men'xia'sheng 中书门下省
'zhong'shu'men'xia'wai'sheng 中书门下外省
'zhong'shu'sheng 中书省
'zhong'tai 中台
'zhong'zai 冢宰
'zhu'gong 诸公
'zi'wei'sheng 紫微省
'zi'zheng'yuan 资政院
'zong'tong 总统
'zong'tong'fu 总统府
'zou'shi'chu 奏事处
'zuo'cheng'xiang 左丞相
'zuo'qing'shi 左卿士
'zuo'shi 左师
'zuo'xiang 左相
'zuo'yin 左尹
