'bian'ji 编辑
'jiang'shi'gao'xiao 讲师高校
'jiang'shi'ji'xiao 讲师技校
'jiang'shi'zhong'zhuan 讲师中专
'jiao'shou 教授
'jiao'shou'gai'ge 教授改革
'jiao'shou'ji'gao'ji'gong'cheng'shi 教授级高级工程师
'jiao'shou'ji'gao'ji'jing'ji'shi 教授级高级经济师
'jiao'shou'ji'gao'ji'kuai'ji'shi 教授级高级会计师
'jiao'shou'ji'gao'ji'shen'ji'shi 教授级高级审计师
'jiao'shou'ji'gao'ji'tong'ji'shi 教授级高级统计师
'jiao'shou'ji'gao'ji'zheng'gong'shi 教授级高级政工师
'jiao'yuan'ji'xiao 教员技校
'jiao'yuan'zhong'zhuan 教员中专
'jing'ji'shi 经济师
'jing'ji'yuan 经济员
'jing'ji'zhuan'ye'ren'yuan 经济专业人员
'kuai'ji'shi 会计师
'kuai'ji'yuan 会计员
'kuai'ji'zhuan'ye'ren'yuan 会计专业人员
'lun'ji'zhang'da'guan'lun 轮机长大管轮
'lv'shi 律师
'lv'shi'zhu'li 律师助理
'mei'shu'yuan 美术员
'nong'ye'ji'shu'ren'yuan'nong'yi 农业技术人员农艺
'nong'ye'ji'shu'ren'yuan'shou'yi 农业技术人员兽医
'nong'ye'ji'shu'ren'yuan'xu'mu 农业技术人员畜牧
'nong'ye'ji'shu'tui'guang'yan'jiu'yuan'nong'yi 农业技术推广研究员农艺
'nong'ye'ji'shu'tui'guang'yan'jiu'yuan'shou'yi 农业技术推广研究员兽医
'nong'ye'ji'shu'tui'guang'yan'jiu'yuan'xu'mu 农业技术推广研究员畜牧
'nong'ye'ji'shu'yuan 农业技术员
'nong'yi'shi 农艺师
'qun'zhong'wen'hua'zhuan'ye'ren'yuan 群众文化专业人员
'san'fu 三副
'san'guan'lun 三管轮
'san'ji'bian'ju 三级编剧
'san'ji'bo'yin'yuan 三级播音员
'san'ji'dao'yan 三级导演
'san'ji'fei'xing'ji'xie'yuan 三级飞行机械员
'san'ji'fei'xing'tong'xin'yuan 三级飞行通信员
'san'ji'fei'xing'yuan 三级飞行员
'san'ji'gong'zheng'yuan 三级公证员
'san'ji'jiao'dui 三级校对
'san'ji'jiao'lian 三级教练
'san'ji'jiao'shi 三级教师
'san'ji'jiao'shi'xiao'xue 三级教师小学
'san'ji'jiao'shi'zhong'xue 三级教师中学
'san'ji'ling'hang'yuan 三级领航员
'san'ji'lv'shi 三级律师
'san'ji'mei'shu'shi 三级美术师
'san'ji'shi'xi'zhi'dao'jiao'shi 三级实习指导教师
'san'ji'wu'mei'she'ji'shi 三级舞美设计师
'san'ji'yan'yuan 三级演员
'san'ji'yan'zou'yuan 三级演奏员
'san'ji'zhi'hui 三级指挥
'san'ji'zuo'qu 三级作曲
'san'si'ji'yin'hang'yuan 三四级引航员
'shen'ji'shi 审计师
'shen'ji'yuan 审计员
'shen'ji'zhuan'ye'ren'yuan 审计专业人员
'shi'yan'ji'shu'ren'yuan 实验技术人员
'shi'yan'shi 实验师
'shi'yan'yuan 实验员
'shou'yi'ji'shu'yuan 兽医技术员
'shou'yi'shi 兽医师
'si'ji'bian'ju 四级编剧
'si'ji'dao'yan 四级导演
'si'ji'fei'xing'ji'xie'yuan 四级飞行机械员
'si'ji'fei'xing'tong'xin'yuan 四级飞行通信员
'si'ji'fei'xing'yuan 四级飞行员
'si'ji'gong'zheng'yuan 四级公证员
'si'ji'ling'hang'yuan 四级领航员
'si'ji'lv'shi 四级律师
'si'ji'yan'yuan 四级演员
'si'ji'yan'zou'yuan 四级演奏员
'si'ji'zhi'hui 四级指挥
'si'ji'zuo'qu 四级作曲
'si'xiang'zheng'zhi'gong'zuo'ren'yuan 思想政治工作人员
'te'gao'ji'jiao'shi'xiao'xue 特高级教师小学
'ti'yu'jiao'lian 体育教练
'tong'ji'shi 统计师
'tong'ji'yuan 统计员
'tong'ji'zhuan'ye'ren'yuan 统计专业人员
'tong'yong'bao'wu'yuan 通用报务员
'tong'yong'dian'ji'yuan'yi'deng'dian'ji'yuan 通用电机员一等电机员
'tu'shu'zi'liao'zhuan'ye'ren'yuan 图书资料专业人员
'wei'sheng'ji'shu'ren'yuan'hu'li 卫生技术人员护理
'wei'sheng'ji'shu'ren'yuan'ji'shi 卫生技术人员技师
'wei'sheng'ji'shu'ren'yuan'yao'ji 卫生技术人员药剂
'wei'sheng'ji'shu'ren'yuan'yi'shi 卫生技术人员医师
'wen'bo'zhuan'ye'ren'yuan 文博专业人员
'wu'mei'she'ji'yuan 舞美设计员
'wu'tai'ji'shi 舞台技师
'wu'tai'ji'shu'yuan 舞台技术员
'xian'yong'bao'wu'yuan 限用报务员
'xiao'xue'jiao'shi 小学教师
'xin'wen'zhuan'ye'ren'yuan'bian'ji 新闻专业人员编辑
'xin'wen'zhuan'ye'ren'yuan'ji'zhe 新闻专业人员记者
'xu'mu'ji'shu'yuan 畜牧技术员
'xu'mu'shi 畜牧师
'yan'jiu'guan'yuan'dang'an 研究馆员档案
'yan'jiu'guan'yuan'qun'zhong'wen'hua 研究馆员群众文化
'yan'jiu'guan'yuan'tu'shu 研究馆员图书
'yan'jiu'guan'yuan'wen'bo 研究馆员文博
'yan'jiu'shi'xi'yuan 研究实习员
'yan'jiu'yuan 研究员
'yao'shi 药士
'yao'shi 药师
'yi'er'ji'yin'hang'yuan 一二级引航员
'yi'ji'bian'ju 一级编剧
'yi'ji'bo'yin'yuan 一级播音员
'yi'ji'dao'yan 一级导演
'yi'ji'fei'xing'ji'xie'yuan 一级飞行机械员
'yi'ji'fei'xing'tong'xin'yuan 一级飞行通信员
'yi'ji'fei'xing'yuan 一级飞行员
'yi'ji'gong'zheng'yuan 一级公证员
'yi'ji'jiao'dui 一级校对
'yi'ji'jiao'lian 一级教练
'yi'ji'jiao'shi 一级教师
'yi'ji'jiao'shi'xiao'xue 一级教师小学
'yi'ji'jiao'shi'zhong'xue 一级教师中学
'yi'ji'ling'hang'yuan 一级领航员
'yi'ji'lv'shi 一级律师
'yi'ji'mei'shu'shi 一级美术师
'yi'ji'shi'xi'zhi'dao'jiao'shi 一级实习指导教师
'yi'ji'wu'mei'she'ji'shi 一级舞美设计师
'yi'ji'yan'yuan 一级演员
'yi'ji'yan'zou'yuan 一级演奏员
'yi'ji'zhi'hui 一级指挥
'yi'ji'zuo'qu 一级作曲
'yi'shen 译审
'yi'shi 医士
'yi'shi 医师
'yi'shu'ren'yuan'bian'ju 艺术人员编剧
'yi'shu'ren'yuan'dao'yan 艺术人员导演
'yi'shu'ren'yuan'mei'shu 艺术人员美术
'yi'shu'ren'yuan'wu'mei'she'ji 艺术人员舞美设计
'yi'shu'ren'yuan'wu'tai'ji'shu 艺术人员舞台技术
'yi'shu'ren'yuan'yan'yuan 艺术人员演员
'yi'shu'ren'yuan'yan'zou'yuan 艺术人员演奏员
'yi'shu'ren'yuan'zhi'hui 艺术人员指挥
'yi'shu'ren'yuan'zuo'qu 艺术人员作曲
'zheng'gao'ji'jiao'shi 正高级教师
'zheng'gong'shi 政工师
'zheng'gong'yuan 政工员
'zhong'deng'zhuan'ye'xue'xiao'jiao'shi 中等专业学校教师
'zhong'xiao'xue'jiao'shi 中小学教师
'zhong'xue'jiao'shi 中学教师
'zhu'guan'hu'shi 主管护师
'zhu'guan'ji'shi 主管技师
'zhu'guan'yao'shi 主管药师
'zhu'jian'fa'yi'shi 主检法医师
'zhu'jiao'gao'xiao 助教高校
'zhu'li'bian'ji 助理编辑
'zhu'li'fan'yi 助理翻译
'zhu'li'gong'cheng'shi 助理工程师
'zhu'li'gong'yi'mei'shu'shi 助理工艺美术师
'zhu'li'guan'yuan'dang'an 助理馆员档案
'zhu'li'guan'yuan'qun'zhong'wen'hua 助理馆员群众文化
'zhu'li'guan'yuan'tu'shu 助理馆员图书
'zhu'li'guan'yuan'wen'bo 助理馆员文博
'zhu'li'ji'shu'bian'ji 助理技术编辑
'zhu'li'ji'zhe 助理记者
'zhu'li'jiang'shi'ji'xiao 助理讲师技校
'zhu'li'jiang'shi'zhong'zhuan 助理讲师中专
'zhu'li'jiao'shou'gai'ge 助理教授改革
'zhu'li'jing'ji'shi 助理经济师
'zhu'li'kuai'ji'shi 助理会计师
'zhu'li'nong'yi'shi 助理农艺师
'zhu'li'shen'ji'shi 助理审计师
'zhu'li'shi'yan'shi 助理实验师
'zhu'li'shou'yi'shi 助理兽医师
'zhu'li'tong'ji'shi 助理统计师
'zhu'li'xu'mu'shi 助理畜牧师
'zhu'li'yan'jiu'yuan 助理研究员
'zhu'li'zheng'gong'shi 助理政工师
'zhu'ren'bian'ji 主任编辑
'zhu'ren'bo'yin'yuan 主任播音员
'zhu'ren'fa'yi'shi 主任法医师
'zhu'ren'hu'shi 主任护师
'zhu'ren'ji'shi 主任技师
'zhu'ren'ji'zhe 主任记者
'zhu'ren'wu'tai'ji'shi 主任舞台技师
'zhu'ren'yao'shi 主任药师
'zhu'ren'yi'shi 主任医师
'zhu'zhi'yi'shi 主治医师
