'a'yi 阿益
'chang'jiao'si 长脚丝
'chang'jiao'si'cheng'jia 长脚丝成架
'chang'jiao'tao 长脚套
'chang'sheng 长生
'chang'zhang 厂长
'chao'kuan 超宽
'che'jian 车件
'che'jian'tui'hui 车间退回
'che'jian'zhu'ren 车间主任
'chen'hui 陈慧
'cheng'chu 成出
'cheng'jia 成架
'cheng'pin 成品
'cheng'pin'cang'ku 成品仓库
'cheng'pin'zu 成品组
'cheng'ru 成入
'chu'ku 出库
'chu'ku'shu'liang 出库数量
'chuan'bao'jiao 串包脚
'chuan'bao'jiao'tou 串包脚头
'chuan'diao'pai 穿吊牌
'chuan'yu'si 穿鱼丝
'cong'jian 聪建
'cuo'zhong'liang 锉中梁
'da'bao 打包
'da'bian 打扁
'da'hu'du 打弧度
'da'jia 搭架
'da'jia'ban'kuang'liu'dian 搭架半框六点
'da'jia'ban'kuang'si'dian 搭架半框四点
'da'jia'quan'kuang'liu'dian 搭架全框六点
'da'jia'quan'kuang'si'dian 搭架全框四点
'da'jia'shou'mo'ban'kuang 搭架手模半框
'da'jia'shou'mo'quan'kuang 搭架手模全框
'da'kong 打孔
'da'rong'ke'ji 大融科技
'da'tuo'ye 打托叶
'da'wan 打弯
'da'xiang'zuan'kong 打镶钻孔
'dai'ding 待定
'dai'hua'wen 带花纹
'dai'yuan'dian'yu'si 带圆点鱼丝
'dai'zi 袋子
'dan'fen'hong 淡粉红
'dan'fen'hong'dian'yin'qi 淡粉红点银漆
'dan'lan'pian 淡蓝片
'dan'ya 单芽
'dan'ya 单牙
'dao'pao 倒抛
'deng'jiu 登臼
'di'ka 底卡
'di'xian 底线
'dian'ban'kuang'pu'tong'jiu'bei 点半框普通酒杯
'dian'dan'shuang'ya 点单双牙
'dian'ding'zi 点钉子
'dian'du 电镀
'dian'du'jia 电镀架
'dian'gao'pin'ji 点高频机
'dian'ge'wei'er'he'yi 点割尾二合一
'dian'han'zu 点焊组
'dian'heng'dan'pu'tong 点横旦普通
'dian'jiu 点臼
'dian'jiu'bei 点酒杯
'dian'jiu'qi'ta 点臼其它
'dian'kuan'jiao 点宽脚
'dian'kuan'jiao'er'he'yi 点宽脚二合一
'dian'lian'ti'jiu'bei 点连体酒杯
'dian'luo'si 点螺丝
'dian'mu'ju'jiu'bei 点模具酒杯
'dian'pai 点排
'dian'pai'dian'jiu'bei 点排点酒杯
'dian'pei'jian 点配件
'dian'pu'tong'er'he'yi 点普通二合一
'dian'quan'kuang'pu'tong'jiu'bei 点全框普通酒杯
'dian'shi'pian 点饰片
'dian'shi'xin'jiu 点实心臼
'dian'si'tong 点丝通
'dian'tong'pi'shuang'ya 点铜皮双牙
'dian'tui'ban 点推板
'dian'yin'qi 点银漆
'dian'zi'dan'tou 点子弹头
'diao'pai 吊牌
'diao'yu'si 钓鱼丝
'diao'yu'si'bao'jiao 钓鱼丝包脚
'ding'dan'hao'ma 订单号码
'ding'xing'jiao 定型脚
'ding'xing'pian 定型片
'ding'yi'zhong 定义中
'ding'zi 钉子
'dong'ming'hui 董明会
'du'qian'shui'yin 镀浅水银
'du'shui'yin 镀水银
'duan'jiao 短脚
'duan'jiao'jie'jiao 短脚接脚
'duan'jiao'si'cha'zhen 短脚丝插针
'duan'jiao'tao 短脚套
'er'cha 二茶
'er'cha'hei'hong 二茶黑红
'er'che'jian 二车间
'er'he'yi 二合一
'er'he'yi'qie'di'xian 二合一切底线
'er'hui 二灰
'er'hui'bing'lan 二灰冰蓝
'er'jia'yi 二夹一
'er'shou 二手
'fan'wang'ming 樊旺明
'fang'bei 方背
'fang'bei'dai'yuan'dian'yu'si 方背带圆点鱼丝
'fang'man'yin 方满银
'fang'pian 方片
'fang'si 方丝
'fang'yuan'bei 方元背
'fei'bian 飞边
'fei'pian 啡片
'fei'pian'ru'yang 啡片如样
'fei'pian'tong 啡片同
'fei'quan'kuang 非全框
'fei'quan'kuang'ding'xing'jiao 非全框定型脚
'fen'hong 粉红
'fen'hong'huang'jian'jin 粉红黄渐进
'fen'hong'pian 粉红片
'fen'hong'ru'yang 粉红如样
'fen'ru'yang 粉如样
'feng'jing 风镜
'feng'jing'da'jia 风镜搭架
'feng'jing'qie'bao'jiao'wei 风镜切包脚位
'feng'jing'qie'zhong'liang 风镜切中梁
'feng'kou 封口
'feng'kou'dai 封口袋
'feng'shou 丰收
'fu'xing 福兴
'fu'yun'tao 付运涛
'gai'pian'cheng'jia 盖片成架
'gao'pin'ji 高频机
'gao'pin'ji'bao'jiao'kai'jiu 高频机包脚开臼
'gao'pin'ji'dian'kuan'jiao'er'he'yi 高频机点宽脚二合一
'gao'pin'ji'dian'tong'pi'shuang'ya 高频机点铜皮双牙
'gao'pin'ji'tui'huo 高频机退火
'ge'pian 割片
'ge'pian'zu 割片组
'ge'pian'zu'zhang 割片组长
'ge'wei 割尾
'ge'wei'er'he'yi 割尾二合一
'gen'dan 跟单
'gong'chang'xing'hao 工厂型号
'gong'cheng'bu 工程部
'gong'cheng'bu'jing'li 工程部经理
'gong'jing'chang 龚京常
'gong'xiu 工休
'gong'xu 工序
'gong'xu'ming'cheng 工序名称
'gong'ying'shang 供应商
'gou'yu'si'pian 勾鱼丝片
'guan'feng 关锋
'gui'ge 规格
'guo'bang'ping 郭邦平
'guo'zhen 国真
'hai'jun'lan 海军蓝
'hai'jun'lan 海军兰
'hai'jun'lan'jian'jin'ru'tu 海军兰渐进如图
'hai'jun'lan'wu'se'yang 海军兰无色样
'han'fen'fang 韩芬芳
'han'jing'feng 韩靖奉
'hao'hui 号灰
'hao'jian'jin'hui 号渐进灰
'hao'lan'pian 号兰片
'hao'lan'pian'ru'yang 号兰片如样
'he'zhong'qin 何中琴
'hei'cha 黑茶
'hei'cha'ru'yang 黑茶如样
'hei'di'qi'yin 黑底漆银
'hei'hong 黑红
'hei'hui 黑灰
'hei'hui'ru'yang 黑灰如样
'hei'jiao 黑脚
'hei'jiao'tao 黑脚套
'hei'ruan'jiao'tao 黑软脚套
'heng'dan 横旦
'heng'dan'fei'bian 横旦飞边
'heng'dan'liang'mian 横旦两面
'heng'dan'wai'ke'luo'si 横旦外壳镙丝
'heng'de'li 亨得利
'heng'liang 横梁
'heng'liang'wai'ke 横梁外壳
'hong'cha'cha 红茶茶
'hong'cha'jian'jin 红茶渐进
'hong'du 红都
'hong'hong 宏鸿
'hong'jiao'jiao'tao 红胶脚套
'hong'jiao'tao 红脚套
'hong'pian'wu'se'yang 红片无色样
'hong'sheng 宏盛
'hou'guan'zu 后关组
'hou'zhi 后值
'hua'li 华丽
'hua'neng 华能
'hua'shen 华绅
'huang'bai'la 黄白蜡
'huang'chu 黄出
'huang'jin'yan 黄锦炎
'huang'juan 黄娟
'huang'liang'wai'ke 黄梁外壳
'huang'pian 黄片
'huang'pian'ru'yang 黄片如样
'huang'ru 黄入
'huang'shi'mei 黄仕美
'huang'shuang'kong'jiu 黄双孔臼
'huang'tong'kuang 黄铜框
'huang'xian'lan 黄先兰
'huang'zi'jun 黄子军
'hui'bing'lan 灰冰兰
'hui'cha'cha 灰茶茶
'hui'du'qian'shui'yin 灰镀浅水银
'hui'jian'jin'hong 灰渐进红
'hui'jiu'hong 灰酒红
'hui'ju 灰桔
'hui'lan 灰兰
'hui'lan'ru'yang 灰兰如样
'hui'lv 灰绿
'hui'lv'pian 灰绿片
'hui'lv'ru'yang 灰绿如样
'hui'pian 灰片
'hui'pian'bai'shui'yin 灰片白水银
'hui'pian'ru'yang 灰片如样
'hui'qian'hong 灰浅红
'hui'qian'huang 灰浅黄
'hui'qian'shui'yin 灰浅水银
'hui'ru'yang 灰如样
'hui'se 灰色
'hui'se'ru'yang 灰色如样
'hui'zai'de'ji'chu'shang'jia'shen 灰在的基础上加深
'hui'zi 灰紫
'hui'zong'cha'xun 汇总查询
'hun'he'kuang 混合框
'ji'jian 计件
'ji'shi 计时
'jia'quan'si'qiu 假圈丝球
'jia'shi'pian 驾驶片
'jia'shi'pian'ru'yang 驾驶片如样
'jia'zi 架子
'jian'cha 渐茶
'jian'cha'bo'shui'yin 渐茶薄水银
'jian'cha'qian'shui'yin 渐茶浅水银
'jian'cha'ru'yang 渐茶如样
'jian'fei 渐啡
'jian'fei'hong 渐啡红
'jian'fei'hong'ru'yang 渐啡红如样
'jian'fei'ru'yang 渐啡如样
'jian'fen'hong'wu'se'yang 渐粉红无色样
'jian'gan'lan'lv 渐橄榄绿
'jian'gan'lan'lv'ru'yang 渐橄榄绿如样
'jian'hei 渐黑
'jian'hei'qian'shui'yin 渐黑浅水银
'jian'hong 渐红
'jian'hong'ru'yang 渐红如样
'jian'hui 渐灰
'jian'hui'bo'shui'yin 渐灰薄水银
'jian'hui'cha 渐灰茶
'jian'hui'lan'pian'lan 渐灰兰偏兰
'jian'hui'lv 渐灰绿
'jian'hui'lv'qian'shui'yin 渐灰绿浅水银
'jian'hui'lv'ru'yang 渐灰绿如样
'jian'hui'qian'shui'yin 渐灰浅水银
'jian'hui'ru'qian'shui'yin 渐灰如浅水银
'jian'hui'ru'yang 渐灰如样
'jian'hui'zi 渐灰紫
'jian'hui'zi'ru'yang 渐灰紫如样
'jian'jia'shi'pian 渐驾驶片
'jian'jia'shi'pian'ru'yang 渐驾驶片如样
'jian'jin 渐进
'jian'jin'cha 渐进茶
'jian'jin'cha'du'zhong'shui'yin 渐进茶镀中水银
'jian'jin'cha'hui 渐进茶灰
'jian'jin'cha'qian'shui'yin 渐进茶浅水银
'jian'jin'cha'qian'shui'yin'ru'yang 渐进茶浅水银如样
'jian'jin'cha'ru'yang 渐进茶如样
'jian'jin'cha'tong 渐进茶同
'jian'jin'cha'wu'se'yang 渐进茶无色样
'jian'jin'fei 渐进啡
'jian'jin'fei'hong 渐进啡红
'jian'jin'fei'ru'yang 渐进啡如样
'jian'jin'fei'tong 渐进啡同
'jian'jin'fen 渐进粉
'jian'jin'fen'hong 渐进粉红
'jian'jin'fen'hong'ru'yang 渐进粉红如样
'jian'jin'fen'hong'wu'se'yang 渐进粉红无色样
'jian'jin'hei 渐进黑
'jian'jin'hei'hui 渐进黑灰
'jian'jin'hei'hui'qian'shui'yin 渐进黑灰浅水银
'jian'jin'hei'hui'ru'yang 渐进黑灰如样
'jian'jin'hei'qian'shui'yin 渐进黑浅水银
'jian'jin'hong 渐进红
'jian'jin'hong'ru'yang 渐进红如样
'jian'jin'hui 渐进灰
'jian'jin'hui'cha 渐进灰茶
'jian'jin'hui'cha'ru'yang 渐进灰茶如样
'jian'jin'hui'du'qian'shui'yin 渐进灰镀浅水银
'jian'jin'hui'du'zhong'shui'yin 渐进灰镀中水银
'jian'jin'hui'lv 渐进灰绿
'jian'jin'hui'lv'qian'shui'yin 渐进灰绿浅水银
'jian'jin'hui'qian'shui'yin 渐进灰浅水银
'jian'jin'hui'qian'shui'yin'ru'yang 渐进灰浅水银如样
'jian'jin'hui'ru'yang 渐进灰如样
'jian'jin'hui'tong 渐进灰同
'jian'jin'hui'wu'se'yang 渐进灰无色样
'jian'jin'hui'zi 渐进灰紫
'jian'jin'hui'zi'ru'yang 渐进灰紫如样
'jian'jin'jiu'hong 渐进酒红
'jian'jin'jiu'hong'ru'yang 渐进酒红如样
'jian'jin'lan 渐进蓝
'jian'jin'lan 渐进兰
'jian'jin'lan'hui 渐进兰灰
'jian'jin'lan'hui'ru'yang 渐进兰灰如样
'jian'jin'lan'ru'yang 渐进蓝如样
'jian'jin'lan'ru'yang 渐进兰如样
'jian'jin'lv 渐进绿
'jian'jin'lv'ru'yang 渐进绿如样
'jian'jin'mei'gui 渐进玫瑰
'jian'jin'mei'gui'hong 渐进玫瑰红
'jian'jin'qian'fen'hong 渐进浅粉红
'jian'jin'qian'hui 渐进浅灰
'jian'jin'qian'hui'ru'yang 渐进浅灰如样
'jian'jin'qian'jiu'hong 渐进浅酒红
'jian'jin'qian'jiu'hong'ru'yang 渐进浅酒红如样
'jian'jin'qian'lan'hui'lan 渐进浅兰灰兰
'jian'jin'qian'shui'yin 渐进浅水银
'jian'jin'shen'cha 渐进深茶
'jian'jin'shen'cha'ru'yang 渐进深茶如样
'jian'jin'shen'fei 渐进深啡
'jian'jin'shen'hui 渐进深灰
'jian'jin'shen'hui'ru'yang 渐进深灰如样
'jian'jin'shen'hui'wu'se'yang 渐进深灰无色样
'jian'jin'shen'hui'yuan'yang'ji'chu'shang'jia'shen 渐进深灰原样基础上加深
'jian'jin'shen'jiu'hong 渐进深酒红
'jian'jin'shen'jiu'hong'ru'yang 渐进深酒红如样
'jian'jin'shen'lv 渐进深绿
'jian'jin'shen'lv'ru'yang 渐进深绿如样
'jian'jin'shen'zong 渐进深棕
'jian'jin'shen'zong'ru'yang 渐进深棕如样
'jian'jin'shuang'cha 渐进双茶
'jian'jin'shuang'hui 渐进双灰
'jian'jin'shui'yin 渐进水银
'jian'jin'yan'cha 渐进烟茶
'jian'jin'yan'hui 渐进烟灰
'jian'jin'yan'hui'qian'shui'yin 渐进烟灰浅水银
'jian'jin'zao'hong 渐进枣红
'jian'jin'zao'hong'ru'yang 渐进枣红如样
'jian'jin'zi 渐进紫
'jian'jin'zi'hong 渐进紫红
'jian'jin'zi'hong'qian'shui'yin 渐进紫红浅水银
'jian'jin'zi'hui 渐进紫灰
'jian'jin'zi'hui'ru'yang 渐进紫灰如样
'jian'jin'zi'ru'yang 渐进紫如样
'jian'jin'zi'tong 渐进紫同
'jian'jin'zi'wu'se'yang 渐进紫无色样
'jian'jin'zong 渐进棕
'jian'jin'zong'ru'yang 渐进棕如样
'jian'jiu'hong 渐酒红
'jian'jiu'hong'qian'shui 渐酒红浅水
'jian'jiu'hong'ru'yang 渐酒红如样
'jian'jiu'hong'ru'yang'qian'shui 渐酒红如样浅水
'jian'jiu'hong'wu'se'yang 渐酒红无色样
'jian'lan 渐兰
'jian'lan'ru'yang 渐兰如样
'jian'lu 建禄
'jian'lv 渐绿
'jian'lv'ru'yang 渐绿如样
'jian'lv'wu'se'yang 渐绿无色样
'jian'mei'gui 渐玫瑰
'jian'mei'gui'ru'yang 渐玫瑰如样
'jian'qian'cha 渐浅茶
'jian'qian'cha'ru'yang 渐浅茶如样
'jian'qian'shui'yin 渐浅水银
'jian'shen'cha 渐深茶
'jian'shen'cha'ru'yang 渐深茶如样
'jian'shen'hui 渐深灰
'jian'shen'hui'ru'yang 渐深灰如样
'jian'shen'hui'wu'se'yang 渐深灰无色样
'jian'shen'zi 渐深紫
'jian'shen'zi'ru'yang 渐深紫如样
'jian'yan'hui'qian'shui'yin 渐烟灰浅水银
'jian'zi 渐紫
'jian'zi'hong'qian'shui'yin 渐紫红浅水银
'jian'zi'hui 渐紫灰
'jian'zi'jia'shen 渐紫加深
'jiang'liang'liang 姜亮亮
'jiao'dian 脚垫
'jiao'jiao'tao 胶脚套
'jiao'lian 铰链
'jiao'lian'luo'si 铰链镙丝
'jiao'si 脚丝
'jiao'si'da'wan 脚丝打弯
'jiao'si'hua'wen 脚丝花纹
'jiao'si'shi'pian 脚丝饰片
'jiao'si'te'da 脚丝特大
'jiao'tao 脚套
'jiao'tao'ban'cai 脚套板材
'jiao'tao'zhan'jiao 脚套粘胶
'jie'chu'shou'hui 借出收回
'jie'jiao 接脚
'jie'mo 借模
'jie'si 接丝
'jin'luo'si 紧螺丝
'jin'se 金色
'jin'shi'pian 近视片
'jin'shu'dian'pian 金属垫片
'jin'shu'luo'mao 金属镙帽
'jin'shu'pei'jian 金属配件
'jin'shu'shi'pian 金属饰片
'jing'jia 镜架
'jing'jiao 镜脚
'jing'kuang 镜框
'jing'li 经理
'jing'pian 镜片
'jing'pian'yan'shai 镜片颜色
'jing'pian'yin'zi 镜片印字
'jiu'bang 九邦
'jiu'bei 酒杯
'jiu'hong 酒红
'jiu'hong'dai'bai 酒红带白
'ju'jiao 橘脚
'jun'lv 军绿
'ka'bao'li'lai'pian 卡保丽莱片
'ka'cao 卡槽
'ka'pian 卡片
'ka'pian'tong'pi 卡片铜皮
'ka'pu'tong'yuan'pian'lao'hua 卡普通圆片老花
'ka'shang'xia'xian'feng'jing 卡上下线风镜
'kai'da 凯达
'kai'jiu 开臼
'kai'mo 开模
'kang'xiao'mei 康小梅
'kang'xing 康兴
'ke'hu'xing'hao 客户型号
'ke'zi 壳子
'kuan'jiao 宽脚
'kuang'si 框丝
'lan'lin'fang 兰林芳
'lan'mo 蓝膜
'lan'nei'he 蓝内盒
'lan'nei'he'mai'tou 蓝内盒唛头
'lan'yan'hui 兰焰辉
'lao'hua 老花
'lao'hua'pian 老花片
'le'sheng 乐升
'lei'she 镭射
'li'guang'jun 李光俊
'li'guo'hua 黎国华
'li'hua 丽华
'li'ming 李明
'li'neng 利能
'li'shi'gui 李石贵
'li'shi'ren 李诗仁
'li'yu 利宇
'lian'ti 联体
'lian'ti'jiao'si 联体脚丝
'lian'ti'jiao'si 连体脚丝
'lian'ti'jiu'bei 连体酒杯
'lian'ti'suo'shi 连体锁式
'liang'cha 亮茶
'liang'cha'hua 亮茶花
'liang'fen'hong 亮粉红
'liang'hei 亮黑
'liang'hei'bi'zhong 亮黑鼻中
'liang'hei'dian'yin'qi 亮黑点银漆
'liang'hei'jiao 亮黑胶
'liang'hei'jiao 亮黑脚
'liang'hei'jiao'jiao'tao 亮黑胶脚套
'liang'lan 亮蓝
'liang'mian 亮面
'liang'nie 亮镍
'liang'qiang 亮枪
'liang'qiang'hui 亮枪灰
'liang'tou'ming'shen'hui 亮透明深灰
'liang'xin 梁心
'liang'yin 亮银
'lin'qi'yun 林起云
'ling'jian'zu 零件组
'ling'jian'zu'zhang 零件组长
'liu'bing 刘兵
'liu'dian 六点
'liu'jiao'luo'mao 六角镙帽
'liu'yan 刘燕
'liu'yu'mei 刘玉梅
'long'lao'jiu 龙老九
'long'xiang'xia 龙湘霞
'lu'de'lin 陆德林
'lu'hai'yan 卢海燕
'lu'hui 鲁晖
'lu'shui'sheng 卢水生
'lu'tian 炉田
'luo'lai'long 罗来龙
'luo'mu 螺母
'luo'qiu'liang 罗求良
'luo'sheng'kun 罗圣坤
'luo'si 螺丝
'luo'si 锣丝
'luo'ting 罗婷
'luo'xian'e 罗贤娥
'luo'zhu 镙柱
'lv'fen'hong 绿粉红
'lv'hong 绿红
'lv'hong'ru'yang 绿红如样
'lv'huang 绿黄
'lv'huang'ru'yang 绿黄如样
'lv'jiao 铝脚
'lv'jiao'tao 绿脚套
'lv'pian 绿片
'lv'pian'ru'yang 绿片如样
'lv'ru'yang 绿如样
'ma'ji 马急
'mai'tou 唛头
'mao'ci 毛刺
'mei'cheng 美诚
'mei'gui'hong 玫瑰红
'mei'mao 眉毛
'mei'mao'da'wan 眉毛打弯
'mei'xin 美新
'men'wei 门卫
'meng'da 盟大
'meng'da'guang'xue 盟大光学
'meng'da'guang'xue'yan'jing 盟大光学眼镜
'meng'da'guang'xue'yan'jing'you'xian'gong'si 盟大光学眼镜有限公司
'mu'ju'bao'jiao 模具包脚
'mu'ju'jiu'bei 模具酒杯
'nei'ce'yao'pao 内侧要抛
'nei'he 内盒
'nei'hong 内红
'nei'ju 内桔
'nei'qian'lan 内浅蓝
'nei'tou'ming 内透明
'nie'bai 镍白
'pai'dian 排点
'pai'dian'jiu'bei 排点酒杯
'pang'zi 胖子
'pao'ban'jia 抛半架
'pao'ban'jia'heng'dan 抛半架横旦
'pao'ban'jia'kuang'si 抛半架框丝
'pao'ban'jia'si'mian 抛半架四面
'pao'chang'jiao'si'cheng'jia 抛长脚丝成架
'pao'cheng'jia 抛成架
'pao'cheng'jia'bai'la 抛成架白蜡
'pao'gai'pian'cheng'jia 抛盖片成架
'pao'guang 抛光
'pao'guang'mao 抛光毛
'pao'guang'zu 抛光组
'pao'guang'zu'zhang 抛光组长
'pao'heng'dan'liang'mian 抛横旦两面
'pao'huang'bai'la 抛黄白蜡
'pao'jiao'si'san'mian 抛脚丝三面
'pao'jing'pian 抛镜片
'pao'kuang'si 抛框丝
'pao'mao'ci 抛毛刺
'pao'pei'jian 抛配件
'pao'san'mian'jiao'si 抛三面脚丝
'pao'shi'pian 抛饰片
'pao'te'shu'jiao'si 抛特殊脚丝
'pao'tong'pi'mei'mao'nei'ce 抛铜皮眉毛内侧
'pao'tui'ban 抛推板
'pao'tui'du'jia 抛退镀架
'pao'wu'jiao'tao'tong'pi'jia 抛无脚套铜皮架
'pao'wu'kuang'bi'zhong 抛无框鼻中
'pao'xiu'li'jia 抛修理架
'pei'jian 配件
'pei'jian'ming'cheng 配件名称
'pen'qi 喷漆
'pi'jia 皮架
'pi'tao 皮套
'pin'guan'bu 品管部
'ping'guang 平光
'ping'guang'pian 平光片
'ping'tou 平头
'ping'tou'luo'si 平头镙丝
'pu'shui'yin 溥水银
'pu'tong'er'he'yi 普通二合一
'pu'tong'ji 普通机
'pu'tong'ji'dian'dan'shuang'ya 普通机点单双牙
'pu'tong'jiu'bei 普通酒杯
'pu'tong'she'xing'suo'shi 普通蛇型锁式
'pu'tong'yuan'pian'lao'hua 普通圆片老花
'qi'ceng 七层
'qi'dong 气动
'qi'dong'tong'pi'xi'tou 气动铜皮铣头
'qi'dong'wan'jiao 气动弯脚
'qi'yin 漆银
'qi'yin'hui 漆银灰
'qian'cha 浅茶
'qian'fen'hong 浅粉红
'qian'fen'hong'jiao'tao 浅粉红脚套
'qian'fen'hong'ru'yang 浅粉红如样
'qian'fen'hong'yin 浅粉红银
'qian'guan'zu 前关组
'qian'guan'zu'zhang 前关组长
'qian'hui 浅灰
'qian'hui'du'qian'shui'yin 浅灰镀浅水银
'qian'hui'lv 浅灰绿
'qian'hui'pian 浅灰片
'qian'hui'pian'ru'yang 浅灰片如样
'qian'jian'jin'fei 浅渐进啡
'qian'jian'jin'fei'ru'yang 浅渐进啡如样
'qian'lan 浅蓝
'qian'lan 浅兰
'qian'lan'hui 浅兰灰
'qian'lan'ru'yang 浅兰如样
'qian'ru'yang 浅如样
'qian'shui 浅水
'qian'shui'yin 浅水银
'qiang'hong 强宏
'qiang'hua'ping'guang'pian 强化平光片
'qiang'tong 枪铜
'qie'bao'jiao'wei 切包脚位
'qie'di'xian 切底线
'qie'er'he'yi'chao'kuan 切二合一超宽
'qie'er'he'yi'pu'tong 切二合一普通
'qie'zhong'liang 切中梁
'qing'jie'gong 清洁工
'qing'xi 清洗
'qiu'shi'hua 邱世华
'quan'cha 全茶
'quan'cha'ru'yang 全茶如样
'quan'hui 全灰
'quan'hui'ru'yang 全灰如样
'quan'kuang 全框
'quan'kuang'da'jia 全框搭架
'quan'kuang'ding'xing'jiao 全框定型脚
'quan'kuang'liu'dian 全框六点
'quan'kuang'mo 全框模
'quan'kuang'pu'tong'jiu'bei 全框普通酒杯
'quan'kuang'si'dian 全框四点
'quan'kuang'wan'jiao 全框弯脚
'quan'si 圈丝
'quan'si'jiu 圈丝臼
'que'ren'yang 确认样
'rao'bian'si 绕扁丝
'rao'chuan 绕串
'rao'chuan'bao'jiao'tou 绕串包脚头
'rao'diao'yu'si 绕钓鱼丝
'rao'quan'kuang 绕全框
'ru'ku 入库
'ru'ku'shu'liang 入库数量
'ru'que'ren'yang 如确认样
'ru'yang 如样
'ruan'jiao'tao 软脚套
'ruan'zhi 软质
'ruan'zhi'bu'feng'kou 软质不封口
'san'cha 三茶
'san'che'jian 三车间
'san'hui 三灰
'san'jiao'si 三角丝
'san'jiao'xing 三角形
'se'hao 色号
'sha'an'hong'hua'jiao 砂暗红花脚
'sha'an'hui 砂暗灰
'sha'an'hui'jiao 砂暗灰脚
'sha'cao 刹槽
'sha'cha 砂茶
'sha'cha'jiao'dian 砂茶脚垫
'sha'hei 沙黑
'sha'hei 砂黑
'sha'hei'hui 砂黑灰
'sha'hei'jiao 砂黑脚
'sha'hei'jiao'dian 砂黑脚垫
'sha'hui 砂灰
'sha'tou'ming'bai'jiao 砂透明白脚
'shang'cha'xia'cha 上茶下茶
'shang'cha'xia'huang 上茶下黄
'shang'cha'xia'huang'ru'yang 上茶下黄如样
