'ai'hu 艾虎
'mang'wen 蟒纹
'mao'die'fu'gui 耄耋富贵
'mao'die'yang'xi 猫蝶阳戏
'mei'hua'wen 梅花纹
'mu'dan'yin'feng 牡丹引凤
'pan'long 盘龙
'ping'an'ru'yi 平安如意
'ping'sheng'san'ji 平升三级
'pu'lao 蒲牢
'pu'shou 铺首
'qi'bao 七宝
'qi'lin'tu 麒麟图
'qi'lin'wen 麒麟纹
'qian'ta'po 乾闼婆
'qing'long 青龙
'qing'luan'xian'shou 青鸾献寿
'qing'yun'de'lu 青云得路
'qiu'long 虬龙
'qiu'niu 囚牛
'ren'dong'wen 忍冬纹
'ren'wu'niao'shou'chan'zhi'wen 人物鸟兽缠枝纹
'rong'hua'fu'gui 荣华富贵
'ru'yi'wen 如意纹
'san'che 三车
'san'duo 三多
'san'xing 三星
'san'yang'kai'tai 三阳开泰
'san'you'wen 三友纹
'san'zu'wu 三足乌
'she'wen 蛇纹
'she'yan'long'wen 射眼龙纹
'shi'di'wen 柿蒂纹
'shi'er'sheng'xiao'tu'an 十二生肖图案
'shi'er'shu'xiang 十二属相
'shi'shi'ru'yi 事事如意
'shi'wen 狮纹
'shi'zi'gun'xiu'qiu 狮子滚绣球
'shi'zi'xi'qiu 狮子戏球
'shou'xing 寿星
'shuang'fu 双福
'shuang'luan'xian'shou 双鸾衔绶
'si'ji'hua'kai 四季花开
'si'ji'ping'an 四季平安
'si'jun'zi 四君子
'si'shen'wen 四神纹
'si'xi'ren 四喜人
'song'ju'yan'nian 松菊延年
'song'shan'bai'shou 嵩山百寿
'suan'ni 狻猊
'sui'han'san'you 岁寒三友
'tai'ping'you'xiang 太平有象
'tai'shi'shao'shi 太师少师
'tao'hua'liu'shui 桃花流水
'tian'guan'ci'fu 天官赐福
'tian'le'shen 天乐神
'tian'lu 天鹿
'tong'xin'jie 同心结
'tong'zi'ai'lian 童子爱莲
'tuan'hua 团花
'tuan'long 团龙
'wan'shi'ru'yi 万事如意
'wan'shou'teng 万寿藤
'wan'wen 卐纹
'wan'xiang'geng'xin 万象更新
'wu'feng 五凤
'wu'fu'peng'shou 五福捧寿
'wu'gu'feng'deng 五谷丰登
'wu'guo 五果
'wu'ling 五灵
'wu'lun'tu 五伦图
'wu'tu'wen 乌兔纹
'wu'zi'duo'kui 五子夺魁
'xi'cong'tian'jiang 喜从天降
'xi'shang'mei'shao 喜上眉梢
'xi'zi 囍字
'xiang'yin'shen 香阴神
'xiang'yin'shen 香音神
'xie'zhi'wen 獬豸纹
'xin'shao'ru'yi 新韶如意
'xing'lin'shuang'yan 杏林双燕
'xing'long'wen 行龙纹
'xing'mang'wen 行蟒纹
'xuan'wu'wen 玄武纹
'ya'zi 睚眥
'yang'niao 阳鸟
'yang'wen 羊纹
'yi'duo'shi'yu 一多十余
'yi'nan'duo'zi 宜男多子
'yi'pin'dang'chao 一品当朝
'yi'tuan'he'qi 一团和气
'yin'tu 阴兔
'yin'yue'tian 音乐天
'ying'long 应龙
'ying'xiong'du'li 英雄独立
'yu'hua'long 鱼化龙
'yu'long'bian'hua 鱼龙变化
'yu'qiao'xi'le 渔樵喜乐
'yu'wen 鱼纹
'yu'yi'wen'yang 寓意纹样
'yuan'yang'wen 鸳鸯纹
'yuan'yang'xi'he 鸳鸯喜荷
'yuan'yang'xi'he 鸳鸯戏荷
'yun'chi 云螭
'yun'ming'jiu'gao 韵鸣九皋
'yun'qi'wen 云气纹
'yun'wen 云纹
'zhen'zhai'shen'hu 镇宅神虎
'zheng'mang'wen 正蟒纹
'zheng'mian'long 正面龙
'zhi'ri'gao'sheng 指日高升
'zhi'xian'zhu'shou 芝仙祝寿
'zhu'bao'ping'an 竹报平安
'zhu'niao 朱鸟
'zhu'que 朱雀
'zhu'yu'wen 茱萸纹
'zhu'zi'wen 竹子纹
'zhuang'yuan'ji'di 状元及第
'zuo'long 坐龙
