'a'er'ba'ni'ya'yu 阿尔巴尼亚语
'han'yu'yan'wen'xue 汉语言文学
'hang'hai'ji'shu 航海技术
'hang'kong'bing'chang'zhan'zhi'hui 航空兵场站指挥
'hang'kong'fan'qian'gong'cheng 航空反潜工程
'hang'kong'fei'xing'yu'zhi'hui 航空飞行与指挥
'hang'kong'hang'tian'lei 航空航天类
'hang'kong'hang'tian'zhi'hui'lei 航空航天指挥类
'hang'tian'yun'shu'yu'kong'zhi 航天运输与控制
'hang'yun'guan'li 航运管理
'hao'sa'yu 豪萨语
'he'dong'li'gong'cheng 核动力工程
'he'gong'cheng'yu'he'ji'shu 核工程与核技术
'he'ji'shu 核技术
'he'lan'yu 荷兰语
'he'sheng'hua'xiao'fang 核生化消防
'hu'li'xue 护理学
'hu'li'xue'lei 护理学类
'hu'li'xue'lei'zhong'wai'he'zuo'ban'xue 护理学类中外合作办学
'hua'gong'yu'zhi'yao 化工与制药
'hua'gong'yu'zhi'yao'lei 化工与制药类
'hua'xue 化学
'hua'xue'gong'cheng'yu'gong'ye'sheng'wu'gong'cheng 化学工程与工业生物工程
'hua'xue'gong'cheng'yu'gong'yi 化学工程与工艺
'hua'xue'ji'di'ban 化学基地班
'hua'xue'lei 化学类
'hua'xue'lei'zhong'wai'he'zuo'ban'xue 化学类中外合作办学
'hua'xue'sheng'wu'xue 化学生物学
'huan'jing'gong'cheng 环境工程
'huan'jing'jian'cha 环境监察
'huan'jing'jing'ji 环境经济
'huan'jing'ke'xue 环境科学
'huan'jing'ke'xue'lei 环境科学类
'huan'jing'ke'xue'lei'zhong'wai'he'zuo'ban'xue 环境科学类中外合作办学
'huan'jing'ke'xue'yu'gong'cheng 环境科学与工程
'huan'jing'sheng'tai'lei 环境生态类
'huan'jing'sheng'tai'lei'zhong'wai'he'zuo'ban'xue 环境生态类中外合作办学
'huan'jing'yu'an'quan'lei 环境与安全类
'huan'jing'yu'an'quan'lei'zhong'wai'he'zuo'ban'xue 环境与安全类中外合作办学
'huan'jing'zi'yuan'yu'fa'zhan'jing'ji'xue 环境资源与发展经济学
'hui'hua 绘画
'hui'zhan'jing'ji'yu'guan'li 会展经济与管理
'huo'li'zhi'hui'yu'kong'zhi'gong'cheng 火力指挥与控制工程
'huo'zai'kan'cha 火灾勘查
'ji'cheng'dian'lu'she'ji'yu'ji'cheng'xi'tong 集成电路设计与集成系统
'ji'chu'yao'xue'ji'di'ban 基础药学基地班
'ji'chu'yi'xue 基础医学
'ji'chu'yi'xue'ji'di'ban 基础医学基地班
'ji'chu'yi'xue'lei 基础医学类
'ji'dian'ji'shu'jiao'yu 机电技术教育
'ji'pai'shui'ke'xue'yu'gong'cheng 给排水科学与工程
'ji'suan'ji'ke'xue'yu'ji'shu 计算机科学与技术
'ji'suan'ji'ruan'jian 计算机软件
'ji'xie'dian'zi'gong'cheng 机械电子工程
'ji'xie'gong'cheng'ji'zi'dong'hua 机械工程及自动化
'ji'xie'lei 机械类
'ji'xie'lei'zhong'wai'he'zuo'ban'xue 机械类中外合作办学
'ji'xie'she'ji'zhi'zao'ji'qi'zi'dong'hua 机械设计制造及其自动化
'ji'xie'zhi'zao'gong'yi'jiao'yu 机械制造工艺教育
'ji'xie'zhuang'bei'lei 机械装备类
'jia'zheng'xue 家政学
'jian'chuan'dong'li'gong'cheng 舰船动力工程
'jian'chuan'yu'hai'yang'gong'cheng 舰船与海洋工程
'jian'pu'zhai'yu 柬埔寨语
'jian'yu'xue 监狱学
'jian'zhu'dian'qi'yu'zhi'neng'hua 建筑电气与智能化
'jian'zhu'gong'cheng'jiao'yu 建筑工程教育
'jian'zhu'huan'jing'yu'she'bei'gong'cheng 建筑环境与设备工程
'jian'zhu'she'shi'zhi'neng'ji'shu 建筑设施智能技术
'jian'zhu'xue 建筑学
'jiao'tong'gong'cheng 交通工程
'jiao'tong'guan'li'gong'cheng 交通管理工程
'jiao'tong'she'bei'xin'xi'gong'cheng 交通设备信息工程
'jiao'tong'yun'shu 交通运输
'jiao'tong'yun'shu'lei 交通运输类
'jiao'tong'yun'shu'lei'zhong'wai'he'zuo'ban'xue 交通运输类中外合作办学
'jiao'yu'ji'shu'xue 教育技术学
'jiao'yu'xue 教育学
'jiao'yu'xue'lei 教育学类
'jie'ke'yu 捷克语
'jie'ke'yu'si'luo'fa'ke'yu 捷克语斯洛伐克语
'jin'du'xue 禁毒学
'jin'rong'gong'cheng 金融工程
'jin'rong'xue 金融学
'jin'shu'cai'liao'gong'cheng 金属材料工程
'jing'guan'jian'zhu'she'ji 景观建筑设计
'jing'guan'xue 景观学
'jing'ji'fan'zui'zhen'cha 经济犯罪侦查
'jing'ji'guan'li'lei 经济管理类
'jing'ji'xue 经济学
'jing'ji'xue'ji'di'ban 经济学基地班
'jing'ji'xue'lei 经济学类
'jing'ji'xue'lei'zhong'wai'he'zuo'ban'xue 经济学类中外合作办学
'jing'quan'ji'shu 警犬技术
'jing'shen'yi'xue 精神医学
'jun'dui'cai'ban 军队采办
'jun'dui'cai'wu'guan'li 军队财务管理
'jun'dui'shen'ji 军队审计
'jun'shi'hai'yang'xue 军事海洋学
'jun'shi'jiao'tong'zhi'hui'yu'gong'cheng 军事交通指挥与工程
'jun'shi'li'shi 军事历史
'jun'shi'qi'xiang'xue 军事气象学
'jun'shi'qing'bao 军事情报
'jun'shi'wai'jiao 军事外交
'jun'shi'xin'li'xue 军事心理学
'jun'xu'qin'wu'zhi'hui 军需勤务指挥
'jun'yong'cai'liao'gong'cheng 军用材料工程
'jun'yong'guang'dian'gong'cheng 军用光电工程
'kan'cha'ji'shu'yu'gong'cheng 勘查技术与工程
'kang'fu'zhi'liao'xue 康复治疗学
'kao'gu'xue 考古学
'ke'ji'fang'wei 科技防卫
'ke'xue'jiao'yu 科学教育
'kong'jian'gong'cheng 空间工程
'kong'jian'ke'xue'yu'ji'shu 空间科学与技术
'kong'jian'xin'xi'yu'shu'zi'ji'shu 空间信息与数字技术
'kou'qiang'xiu'fu'gong'yi'xue 口腔修复工艺学
'kou'qiang'yi'xue 口腔医学
'kou'qiang'yi'xue'lei 口腔医学类
'kou'qiang'yi'xue'lei'zhong'wai'he'zuo'ban'xue 口腔医学类中外合作办学
'kuai'ji'xue 会计学
'kuang'wu'jia'gong'gong'cheng 矿物加工工程
'kuang'wu'zi'yuan'gong'cheng 矿物资源工程
'lao'dong'guan'xi 劳动关系
'lao'dong'yu'she'hui'bao'zhang 劳动与社会保障
'lao'wo'yu 老挝语
'lei'da'gong'cheng 雷达工程
'lei'dian'fang'hu'ke'xue'yu'ji'shu 雷电防护科学与技术
'li'ke'shi'yan'ban 理科试验班
'li'ke'shi'yan'ban'lei 理科试验班类
'li'lun'yu'ying'yong'li'xue 理论与应用力学
'li'shi'jian'zhu'bao'hu'gong'cheng 历史建筑保护工程
'li'shi'xue 历史学
'li'shi'xue'ji'di'ban 历史学基地班
'li'shi'xue'lei 历史学类
'li'xue'ji'di'ban 力学基地班
'li'xue'lei 力学类
'lian'suo'jing'ying'guan'li 连锁经营管理
'liang'shi'gong'cheng 粮食工程
'lin'chan'hua'gong 林产化工
'lin'chuang'yi'xue 临床医学
'lin'chuang'yi'xue'yu'yi'xue'ji'shu'lei 临床医学与医学技术类
'lin'xue 林学
'lu'yin'yi'shu 录音艺术
'lun'ji'gong'cheng 轮机工程
'lun'li'xue 伦理学
'luo'ji'xue 逻辑学
'luo'ma'ni'ya'yu 罗马尼亚语
'lv'you'guan'li 旅游管理
'lv'you'guan'li'yu'fu'wu'jiao'yu 旅游管理与服务教育
'ma'lai'yu 马来语
'ma'zui'xue 麻醉学
'mao'yi'jing'ji 贸易经济
'mei'ji'mei'ceng'qi'gong'cheng 煤及煤层气工程
'mei'shu'xue 美术学
'mei'ti'chuang'yi 媒体创意
'meng'gu'yu 蒙古语
'meng'jia'la'yu 孟加拉语
'meng'yao'xue 蒙药学
'meng'yi'xue 蒙医学
'mi'ma'zhuang'bei'gong'cheng 密码装备工程
'mian'dian'yu 缅甸语
'min'zu'chuan'tong'ti'yu 民族传统体育
'min'zu'xue 民族学
'mu'cai'ke'xue'yu'gong'cheng 木材科学与工程
'neng'yuan'dong'li'lei 能源动力类
'neng'yuan'dong'li'xi'tong'ji'zi'dong'hua 能源动力系统及自动化
'neng'yuan'gong'cheng'ji'zi'dong'hua 能源工程及自动化
'neng'yuan'yu'huan'jing'xi'tong'gong'cheng 能源与环境系统工程
'ni'bo'er'yu 尼伯尔语
'niang'jiu'gong'cheng 酿酒工程
'nong'chan'pin'zhi'liang'yu'an'quan 农产品质量与安全
'nong'cun'qu'yu'fa'zhan 农村区域发展
'nong'lin'jing'ji'guan'li 农林经济管理
'nong'xue 农学
'nong'ye'dian'qi'hua'yu'zi'dong'hua 农业电气化与自动化
'nong'ye'gong'cheng 农业工程
'nong'ye'gong'cheng'lei 农业工程类
'nong'ye'ji'xie'hua'ji'qi'zi'dong'hua 农业机械化及其自动化
'nong'ye'jian'zhu'huan'jing'yu'neng'yuan'gong'cheng 农业建筑环境与能源工程
'nong'ye'jing'ji'guan'li'lei 农业经济管理类
'nong'ye'jing'ji'guan'li'lei'zhong'wai'he'zuo'ban'xue 农业经济管理类中外合作办学
'nong'ye'shui'li'gong'cheng 农业水利工程
'nong'ye'zi'yuan'yu'huan'jing 农业资源与环境
'nong'yi'jiao'yu 农艺教育
'nv'xing'xue 女性学
'pao'bing'zhi'hui 炮兵指挥
'peng'ren'yu'ying'yang'jiao'yu 烹饪与营养教育
'pu'shi'tu'yu 普什图语
'pu'tao'ya'yu 葡萄牙语
'pu'tao'yu'pu'tao'jiu'gong'cheng 葡萄与葡萄酒工程
'qi'che'fu'wu'gong'cheng 汽车服务工程
'qi'che'wei'xiu'gong'cheng'jiao'yu 汽车维修工程教育
'qi'che'zhi'hui 汽车指挥
'qing'gong'fang'zhi'shi'pin'lei 轻工纺织食品类
'qing'gong'fang'zhi'shi'pin'lei'zhong'wai'he'zuo'ban'xue 轻工纺织食品类中外合作办学
'qing'gong'sheng'wu'ji'shu 轻工生物技术
'qing'hua'gong'cheng 轻化工程
're'neng'yu'dong'li'gong'cheng 热能与动力工程
'ren'lei'xue 人类学
'ren'li'zi'yuan'guan'li 人力资源管理
'ren'wen'jiao'yu 人文教育
'ren'wen'ke'xue'shi'yan'ban 人文科学试验班
'ri'yu 日语
'ruan'jian'gong'cheng 软件工程
'rui'dian'yu 瑞典语
'sai'er'wei'ya'ke'luo'di'ya'yu 塞尔维亚克罗地亚语
'sai'er'wei'ya'yu'ke'luo'di'ya'yu 塞尔维亚语克罗地亚语
'sen'lin'gong'cheng 森林工程
'sen'lin'zi'yuan'bao'hu'yu'you'qi 森林资源保护与游憩
'sen'lin'zi'yuan'lei 森林资源类
'sen'lin'zi'yuan'lei'zhong'wai'he'zuo'ban'xue 森林资源类中外合作办学
'seng'jia'luo'yu 僧加罗语
'shang'pin'xue 商品学
'shang'wu'ce'hua'guan'li 商务策划管理
'she'hui'gong'zuo 社会工作
'she'hui'ke'xue'shi'yan'ban 社会科学试验班
'she'hui'ti'yu 社会体育
'she'hui'xue 社会学
'she'hui'xue'lei 社会学类
'she'hui'xue'lei'zhong'wai'he'zuo'ban'xue 社会学类中外合作办学
'she'shi'nong'ye'ke'xue'yu'gong'cheng 设施农业科学与工程
'she'ying 摄影
'shen'ji'xue 审计学
'sheng'hua'fang'hu'gong'cheng 生化防护工程
'sheng'ming'ke'xue'yu'ji'shu'ji'di'ban 生命科学与技术基地班
'sheng'tai'xue 生态学
'sheng'wu'an'quan 生物安全
'sheng'wu'gong'cheng 生物工程
'sheng'wu'gong'cheng'lei 生物工程类
'sheng'wu'gong'cheng'lei'zhong'wai'he'zuo'ban'xue 生物工程类中外合作办学
'sheng'wu'gong'neng'cai'liao 生物功能材料
'sheng'wu'hua'xue'yu'fen'zi'sheng'wu'xue 生物化学与分子生物学
'sheng'wu'ji'shu 生物技术
'sheng'wu'ke'xue 生物科学
'sheng'wu'ke'xue'lei 生物科学类
'sheng'wu'ke'xue'lei'zhong'wai'he'zuo'ban'xue 生物科学类中外合作办学
'sheng'wu'ke'xue'yu'sheng'wu'ji'shu 生物科学与生物技术
'sheng'wu'xi'tong'gong'cheng 生物系统工程
'sheng'wu'xin'xi'ji'shu 生物信息技术
'sheng'wu'xin'xi'xue 生物信息学
'sheng'wu'xue'ji'di'ban 生物学基地班
'sheng'wu'yi'xue'gong'cheng 生物医学工程
'sheng'wu'zi'yuan'ke'xue 生物资源科学
'sheng'xue 声学
'shi'chang'ying'xiao 市场营销
'shi'chang'ying'xiao'jiao'yu 市场营销教育
'shi'jie'li'shi 世界历史
'shi'jie'yu 世界语
'shi'pin'gong'yi'jiao'yu 食品工艺教育
'shi'pin'ke'xue'yu'gong'cheng 食品科学与工程
'shi'pin'ying'yang'yu'jian'yan'jiao'yu 食品营养与检验教育
'shi'pin'zhi'liang'yu'an'quan 食品质量与安全
'shi'you'gong'cheng 石油工程
'shu'li'ji'chu'ke'xue 数理基础科学
'shu'xue'ji'di'ban 数学基地班
'shu'xue'lei 数学类
'shu'xue'lei'zhong'wai'he'zuo'ban'xue 数学类中外合作办学
'shu'xue'yu'ying'yong'shu'xue 数学与应用数学
'shu'zi'mei'ti'ji'shu 数字媒体技术
'shu'zi'mei'ti'yi'shu 数字媒体艺术
'shu'zi'yin'shua 数字印刷
'shui'chan'yang'zhi'jiao'yu 水产养殖教育
'shui'chan'yang'zhi'xue 水产养殖学
'shui'li'lei 水利类
'shui'li'shui'dian'gong'cheng 水利水电工程
'shui'tu'bao'chi'yu'huang'mo'hua'fang'zhi 水土保持与荒漠化防治
'shui'wen'yu'shui'zi'yuan'gong'cheng 水文与水资源工程
'shui'wu 税务
'shui'wu'gong'cheng 水务工程
'shui'zhi'ke'xue'yu'ji'shu 水质科学与技术
'shui'zi'yuan'yu'hai'yang'gong'cheng 水资源与海洋工程
'shui'zu'ke'xue'yu'ji'shu 水族科学与技术
'si'wa'xi'li'yu 斯瓦希里语
'si'xiang'zheng'zhi'jiao'yu 思想政治教育
'tai'mi'er'yu 泰米尔语
'tai'yu 泰语
'tan'ce'gong'cheng 探测工程
'tan'ce'zhi'dao'yu'kong'zhi'ji'shu 探测制导与控制技术
'te'shu'jiao'yu 特殊教育
'te'xu'jing'ying'guan'li 特许经营管理
'te'zhong'neng'yuan'gong'cheng'yu'yan'huo'ji'shu 特种能源工程与烟火技术
'ti'yu'chan'ye'guan'li 体育产业管理
'ti'yu'jiao'yu 体育教育
'ti'yu'jing'ji 体育经济
'ti'yu'xue'lei 体育学类
'ti'yu'zhuang'bei'gong'cheng 体育装备工程
'tian'wen'xue 天文学
'ting'li'xue 听力学
'tong'ji'xue 统计学
'tong'ji'xue'lei 统计学类
'tong'ji'xue'lei'zhong'wai'he'zuo'ban'xue 统计学类中外合作办学
'tong'xin'gong'cheng 通信工程
'tong'xin'zhi'hui 通信指挥
'tou'zi'xue 投资学
'tu'di'zi'yuan'guan'li 土地资源管理
'tu'er'qi'yu 土耳其语
'tu'jian'lei 土建类
'tu'jian'lei'zhong'wai'he'zuo'ban'xue 土建类中外合作办学
'tu'mu'gong'cheng 土木工程
'tu'mu'gong'cheng'ji'chang'gong'cheng 土木工程机场工程
'tu'shu'dang'an'xue'lei 图书档案学类
'tu'shu'guan'xue 图书馆学
'wai'guo'yu'yan'wen'xue'lei 外国语言文学类
'wai'guo'yu'yan'wen'xue'lei'zhong'wai'he'zuo'ban'xue 外国语言文学类中外合作办学
'wai'guo'yu'yan'wen'xue'wai'guo'jun'shi 外国语言文学外国军事
'wai'jiao'xue 外交学
'wang'luo'gong'cheng 网络工程
'wang'luo'jing'ji'xue 网络经济学
'wei'dian'zi'xue 微电子学
'wei'dian'zi'zhi'zao'gong'cheng 微电子制造工程
'wei'sheng'jian'yan 卫生检验
'wei'yi'xue 维医学
'wei'zhuang'gong'cheng 伪装工程
'wen'hua'chan'ye'guan'li 文化产业管理
'wen'ke'shi'yan'ban'lei 文科试验班类
'wen'mi'jiao'yu 文秘教育
'wen'wu'bao'hu'ji'shu 文物保护技术
'wu'dao'bian'dao 舞蹈编导
'wu'dao'xue 舞蹈学
'wu'er'du'yu 乌尔都语
'wu'ji'fei'jin'shu'cai'liao'gong'cheng 无机非金属材料工程
'wu'jing'zhi'hui 武警指挥
'wu'jing'zhi'hui'lei 武警指挥类
'wu'li'xue 物理学
'wu'li'xue'ji'di'ban 物理学基地班
'wu'li'xue'lei 物理学类
'wu'liu'gong'cheng 物流工程
'wu'liu'guan'li 物流管理
'wu'qi'lei 武器类
'wu'qi'xi'tong'yu'fa'she'gong'cheng 武器系统与发射工程
'wu'ren'ji'yun'yong'gong'cheng 无人机运用工程
'wu'ye'guan'li 物业管理
