'a'bo 阿波
'bu'po'zhi'guang 不破直光
'cang'tian'wu'lang'zuo 藏田五郎左
'ceng'gen'chang'shi 曾根昌世
'cha'cha 茶茶
'cha'wu'si'lang'ci'lang 茶屋四郎次郎
'cha'wu'you'si'lang 茶屋又四郎
'chai'tian'sheng'feng 柴田胜丰
'chai'tian'sheng'jia 柴田胜家
'chang'ban'chang'xian 长坂长闲
'chang'ban'sheng'fan 长坂胜繁
'chang'chuan'gang'zhi 长船纲直
'chang'chuan'zhen'qin 长船贞亲
'chang'gu'chuan'deng'bo 长谷川等伯
'chang'jing'dao'li 长井道利
'chang'lian'long 长连龙
'chang'lu 常陆
'chang'men 长门
'chang'shu'zheng'jia 长束正家
'chang'wei'jing'hu 长尾景虎
'chang'wei'qing'jing 长尾晴景
'chang'wei'wei'jing 长尾为景
'chang'wei'zheng'jing 长尾政景
'chang'xiang 长享
'chang'xiao'he'zhan 长筱合战
'chang'xu'lian 长续连
'chang'ye'ju'teng 长野具藤
'chang'ye'ye'sheng 长野业盛
'chang'ye'ye'zheng 长野业正
'chang'zong'wo'bu'guo'qin 长宗我部国亲
'chang'zong'wo'bu'qin'ji 长宗我部亲吉
'chang'zong'wo'bu'sheng'qin 长宗我部盛亲
'chang'zong'wo'bu'xin'qin 长宗我部信亲
'chang'zong'wo'bu'yuan'qin 长宗我部元亲
'chao'bi'nai'tai'chao 朝比奈泰朝
'chao'cang'jing'heng 朝仓景恒
'chao'cang'jing'jian 朝仓景健
'chao'cang'jing'jing 朝仓景镜
'chao'cang'jing'lian 朝仓景连
'chao'cang'xiao'jing 朝仓孝景
'chao'cang'yi'jing 朝仓义景
'chao'cang'zong'di 朝仓宗滴
'che'xuan 车悬
'cheng'fu'mao'an 成富茂安
'cheng'jing'zhen'fang 城井镇房
'cheng'song'xin'sheng 成松信胜
'cheng'tian'chang'tai 成田长泰
'cheng'tian'chang'zhong 成田长忠
'cheng'tian'shi'chang 成田氏长
'chi'chi'chang'ren 赤池长任
'chi'jing'zhi'zheng 赤井直正
'chi'lai'he 池赖和
'chi'song'yi'you 赤松义佑
'chi'song'zheng'xiu 赤松政秀
'chi'song'zheng'ze 赤松政则
'chi'tian'heng'xing 池田恒兴
'chi'tian'hui'zheng 池田辉政
'chi'tian'wu'zuo'wei'men 池田物左卫门
'chi'tian'yuan'zhu 池田元助
'chi'wei'qing'gang 赤尾清纲
'chi'xue'sheng'qing 赤穴盛清
'chu'jing'jiao'ye 初井教业
'chu'pu'sheng'qing 出浦盛清
'chu'yu 出羽
'chu'yun 出云
'chu'yun'a'guo 出云阿国
'chu'yun'de'a'guo 出云的阿国
'chu'yun'zhi'lu 出云之鹿
'chuan'shang'jiu'lang 川上久朗
'chuan'shang'zhong'jian 川上忠坚
'chuan'shang'zhong'zhi 川上忠智
'chuan'zhong'dao'he'zhan 川中岛合战
'chun'ri'ju 春日局
'chun'ri'shan 春日山
'cun'jing'chang'lai 村井长赖
'cun'jing'chang'ming 村井长明
'cun'jing'zhen'sheng 村井贞胜
'cun'shang'guo'qing 村上国清
'cun'shang'wu'ji 村上武吉
'cun'shang'yi'qing 村上义清
'cun'shang'yuan'ji 村上元吉
'da'ban 大阪
'da'ban'dong'zhi'zhen 大阪冬之阵
'da'ban'qi'xing'jiang 大阪七星将
'da'ban'xia'zhi'zhen 大阪夏之阵
'da'bao'si'yi'shi 大宝寺义氏
'da'cun'chun'zhong 大村纯忠
'da'dao'si'zheng'fan 大道寺政繁
'da'gu'ji'ji 大谷吉继
'da'guo'shi'lai 大国实赖
'da'he 大和
'da'jiu'bao'chang'an 大久保长安
'da'jiu'bao'zhong'jiao 大久保忠教
'da'jiu'bao'zhong'lin 大久保忠邻
'da'jiu'bao'zhong'shi 大久保忠世
'da'jiu'bao'zhong'yuan 大久保忠员
'da'jiu'bao'zhong'zuo 大久保忠佐
'da'nei'ding'gang 大内定纲
'da'nei'hui'hong 大内辉弘
'da'nei'long'hong 大内隆宏
'da'nei'yi'chang 大内义长
'da'nei'yi'long 大内义隆
'da'nei'yi'xing 大内义兴
'da'nei'zheng'hong 大内政弘
'da'qi'yi'long 大崎义隆
'da'qi'yi'zhi 大崎义直
'da'shi'zhi'jiu 大石智久
'da'xiong'chao'xiu 大熊朝秀
'da'xu'he'kang'gao 大须贺康高
'da'ye'zhi'chang 大野治长
'da'ye'zhi'fang 大野治房
'da'ye'zhi'yin 大野治胤
'da'yong 大永
'da'you'qin'sheng 大友亲盛
'da'you'qing'jia 大友亲家
'da'you'qing'ying 大友晴英
'da'you'yi'jian 大友义鑑
'da'you'yi'tong 大友义统
'da'you'yi'zhen 大友义镇
'da'you'zong'lin 大友宗麟
'da'yu 大隅
'da'yue'jing'xiu 大月景秀
'dan'bo 丹波
'dan'bo'gui 丹波鬼
'dan'hou 丹后
'dan'lu 淡路
'dan'ma 但马
'dan'yu'chang'xiu 丹羽长秀
'dan'yu'chang'zhong 丹羽长重
'dao'chuan'bing'wei'san'lang 道川兵卫三郎
'dao'fu'yi'meng 稻富一梦
'dao'ji 稻姬
'dao'jin'feng'jiu 岛津丰久
'dao'jin'gui'jiu 岛津贵久
'dao'jin'jia'jiu 岛津家久
'dao'jin'long'bo 岛津龙伯
'dao'jin'ri'xin'zhai 岛津日新斋
'dao'jin'shang'jiu 岛津尚久
'dao'jin'shi'jiu 岛津实久
'dao'jin'sui'jiu 岛津岁久
'dao'jin'yi'hong 岛津义弘
'dao'jin'yi'hu 岛津义虎
'dao'jin'yi'jiu 岛津义久
'dao'jin'zheng'jiu 岛津征久
'dao'jin'zhong'heng 岛津忠恒
'dao'jin'zhong'jiang 岛津忠将
'dao'jin'zhong'liang 岛津忠良
'dao'jing'zong'shi 岛井宗室
'dao'qing'xing 岛清兴
'dao'sheng'meng 岛胜猛
'dao'shou 刀狩
'dao'ye'yi'tie 稻叶一铁
'dao'ye'zhen'tong 稻叶贞通
'dao'ye'zheng'cheng 稻叶正成
'dao'zuo'jin 岛左近
'de'chuan'jia'guang 德川家光
'de'chuan'jia'kang 德川家康
'de'chuan'lai'fang 德川赖房
'de'chuan'lai'xuan 德川赖宣
'de'chuan'xin'kang 德川信康
'de'chuan'xiu'zhong 德川秀忠
'de'chuan'yi'zhi 德川义直
'de'ju'tong'zhi 得居通之
'de'yong'shou'chang 德永寿昌
'di'huang'ba'fan 地黄八幡
'dian'jun 淀君
'dian'wu'chang'an 淀屋长安
'diao'ye'fu 钓野伏
'dong'hai'dao 东海道
'dong'hai'dao'di'yi'gong'qu 东海道第一弓取
'dong'shan'dao 东山道
'dong'xiang'zhong'wei 东乡重位
'du'bian'kan'bing'wei 渡边勘兵卫
'du'bian'shou'gang 渡边守纲
'du'shi'cang 笃十藏
'du'yan'long'zheng'zong 独眼龙政宗
'dui'ma 对马
'dun'gang'man'mao 盾冈满茂
'duo'luo'wei'guang'jun 多罗尾光俊
'duo'tian'man'lai 多田满赖
'er'ben'song'yi'ji 二本松义继
'er'gong'jiu'chen 二宫就辰
'er'jie'beng'zhi'bian 二阶崩之变
'er'jie'tang'hui'xing 二阶堂辉行
'er'jie'tang'sheng'yi 二阶堂盛义
'er'jie'tang'zhao'xing 二阶堂照行
'er'qu'lun'zhi'zhu 二曲轮之助
'er'yu'jiu'ying 儿玉就英
'fan'chi'yuan'shi 繁尺元氏
'fan'fu'hu'chang 饭富虎昌
'fan'tian'jue'bing'wei 饭田觉兵卫
'fan'tian'zhi'zheng 饭田直政
'fan'wei'lian'long 饭尾连龙
'fang'chun'yuan 芳春院
'fang'he'gao'ding 芳贺高定
'fang'he'gao'ji 芳贺高继
'fei'hou 肥后
'fei'qian 肥前
'fei'qian'zhi'xiong 肥前之熊
'fei'tuo 飞驒
'fen'bu'guang'jia 分部光嘉
'feng'chen'guo'song 丰臣国松
'feng'chen'wan'zi 丰臣完子
'feng'chen'xiu'chang 丰臣秀长
'feng'chen'xiu'ci 丰臣秀次
'feng'chen'xiu'ji 丰臣秀吉
'feng'chen'xiu'lai 丰臣秀赖
'feng'chen'xiu'sheng 丰臣秀胜
'feng'chen'xiu'xin 丰臣秀信
'feng'hou 丰后
'feng'mo'xiao'tai'lang 风魔小太郎
'feng'qian 丰前
'feng'wu'lai'long 蜂屋赖隆
'feng'xu'he'jia'zheng 蜂须贺家政
'feng'xu'he'xiao'liu 蜂须贺小六
'feng'xu'he'zheng'sheng 蜂须贺正胜
'fu'bu'ban'zang 服部半藏
'fu'dao'zheng'ze 福岛正则
'fu'liu'qin'zheng 福留亲政
'fu'liu'yi'zhong 福留仪重
'fu'shan 富山
'fu'tian'jing'sheng 富田景胜
'fu'tian'jing'zheng 富田景政
'fu'tian'long'shi 富田隆实
'fu'tian'shi'yuan 富田势源
'fu'tian'zhong'zheng 富田重政
'fu'yong'shan'sui 富永山随
'fu'yuan'zhen'jun 福原贞俊
'fu'zhong'san'ren'zhong 府中三人众
'gan'fu'jian'hu 肝付兼护
'gan'fu'jian'liang 肝付兼亮
'gan'fu'jian'xu 肝付兼续
'gan'fu'liang'jian 肝付良兼
'gan'li'chang'zhong 甘利昌忠
'gan'li'hu'tai 甘利虎泰
'gan'zao'jing'chi 甘糟景持
'gan'zao'jing'ji 甘糟景继
'gang'ben'chan'zhe 冈本禅哲
'gang'ben'lai'shi 冈本赖氏
'gang'ben'sui'yuan'zhai 冈本随缘斋
'gang'bu'yuan'xin 冈部元信
'gang'bu'zhen'gang 冈部贞纲
'gang'bu'zheng'gang 冈部正纲
'gang'ji'zheng 冈吉正
'gang'li'sheng 冈利胜
'gang'qi 冈崎
'gang'tian'zhong'xiao 冈田重孝
'gao'ban'chang'xin 高坂昌信
'gao'ban'shen'nei 高坂甚内
'gao'dao'zheng'zhong 高岛政重
'gao'li'qing'chang 高力清长
'gao'li'zheng'lai 高梨政赖
'gao'mu'qing'chang 高木清长
'gao'qiao'jian'zhong 高桥鉴种
'gao'qiao'shao'yun 高桥绍运
'gao'shan'you'jin 高山右近
'gao'shan'you'zhao 高山友照
'gao'shan'zhong'you 高山重友
'gao'tai'yuan 高台院
'gao'tuan'you'wei'men 镐团右卫门
'gao'ye'shan 高野山
'gao'yuan'lai'ji 高远赖继
'gao'zhi'zheng 镐直政
'ge'shan'shi'yuan 葛山氏元
'ge'xi'qing'xin 葛西晴信
'gen'an'tu'jiao 根岸兔角
'gen'jin'shen'ba 根津甚八
'gen'lai'si 根来寺
'gen'li'yuan'zong 亘理元宗
'gong'ben'chuan'tai'fu 宫本传太夫
'gong'ben'wu'zang 宫本武藏
'gong'bu'ji'run 宫部继润
'gong'dan'zheng 攻弹正
'gou'kou'xiu'sheng 沟口秀胜
'gou'wei'zhuang'bing'wei 沟尾庄兵卫
'gu'he'gong'fang 古河公方
'gu'he'yu'suo 古河御所
'gu'tian'zhong'ran 古田重然
'gu'zhong'cheng 谷忠澄
'guan'dong'guan'ling 关东管领
'guan'kou'shi'guang 关口氏广
'guan'sheng'xin 关盛信
'guan'yi'zheng 关一政
'guan'yuan'he'zhan 关原合战
'gui'jing'zi'ju 龟井兹矩
'gui'mei'nong 鬼美浓
'gui'ting'gang'yuan 鬼庭纲元
'gui'ting'zuo'yue 鬼庭左月
'gui'xiao'dao'mi'tai'lang 鬼小岛弥太郎
'gui'xuan'fan 鬼玄蕃
'gui'yan'xiu'gang 鲑延秀纲
'gui'yuan'cheng 桂元澄
'gui'zhi'ban'cang 鬼之半藏
'gui'zuo'zuo 鬼作左
'guo'dao'sheng'mao 锅岛胜茂
'guo'dao'zhi'mao 锅岛直茂
'guo'si'yuan'xiang 国司元相
'guo'xin'ju'shi 果心居士
'guo'you'shan'bing'wei 国友善兵卫
'hai'bei'gang'qin 海北纲亲
'hai'dao'di'yi'gong 海道第一弓
'hai'ye'dong'gang 海野栋纲
'hai'ye'liu'lang 海野六郎
'hai'ye'xin'qin 海野信亲
'hao'ji 豪姬
'he'kao'xiu'long 河尻秀隆
'he'nei 河内
'he'quan 和泉
'he'tian'wei'zheng 和田惟政
'he'tian'zhang'qin 河田长亲
'he'tian'zhao'wei 和田昭为
'he'ye'tong'chun 河野通春
'he'ye'tong'xuan 河野通宣
'he'ye'tong'zhi 河野通直
'hei'tian'chang'zheng 黑田长政
'hei'tian'guan'bing'wei 黑田官兵卫
'hei'tian'ru'shui 黑田如水
'hei'tian'xiao'gao 黑田孝高
'hei'tian'zhi'long 黑田职隆
'heng'gu'zuo'jin 横谷左近
'heng'shan'xi'nei 横山喜内
'heng'tian'gao'song 横田高松
'hong'chi'xin'liu 鸿池新六
'hong'zhi 弘治
'hou'bai'yuan'tian'huang 后柏原天皇
'hou'hua'yuan'shang'huang 后花园上皇
'hou'nai'liang'tian'huang 后奈良天皇
'hou'shui'wei'tian'huang 后水尾天皇
'hou'teng'ji'ci 后藤基次
'hou'teng'xian'feng 后藤贤丰
'hou'teng'xin'kang 后藤信康
'hou'teng'you'bing'wei 后藤又兵卫
'hou'tu'yu'men'tian'huang 后土御门天皇
'hou'yang'cheng'tian'huang 后阳成天皇
'hu'chuan'da'an 户川达安
'hu'chuan'xiu'an 户川秀安
'hu'ci'chuan'zhi'zhan 户次川之战
'hu'ci'jian'lian 户次鑑连
'hu'shi'beng 户石崩
'hu'yi'ji 湖衣姬
'hu'ze'sheng'an 户沢盛安
'hua'fang'zheng'cheng 花房正成
'hua'fang'zheng'xing 花房正幸
'hua'fang'zhi'xiu 花房职秀
'hua'zhi'yu'suo 花之御所
'huang'mu'cun'zhong 荒木村重
'huang'mu'shi'gang 荒木氏纲
'hui'jin 会津
'hui'jin'zheng'fa 会津征伐
'ji'bu'sheng'zi 迹部胜资
'ji'chuan'guang'jia 吉川广家
'ji'chuan'jing'jia 吉川经家
'ji'chuan'yuan'chang 吉川元长
'ji'chuan'yuan'chun 吉川元春
'ji'gang'chang'zeng 吉冈长增
'ji'gang'chuan'qi'lang 吉冈传七郎
'ji'gang'qing'shi'lang 吉冈清十郎
'ji'gang'xian'fa 吉冈宪法
'ji'hong'jian'li 吉弘鉴理
'ji'hong'zhen'zhong 吉弘镇种
'ji'jian'zheng'lai 吉见正赖
'ji'jiang'jing'zi 吉江景资
'ji'jiang'zong'xin 吉江宗信
'ji'liang'qin'shi 吉良亲实
'ji'liang'qin'zhen 吉良亲贞
'ji'lu 姬路
'ji'nei 畿内
'ji'qiong'zhen'rui 季琼真蕊
'ji'tian'jun'shan 吉田郡山
'ji'tian'kang'jun 吉田康俊
'ji'tian'xiao'lai 吉田孝赖
'ji'tian'yin'xi 吉田印西
'ji'tian'zheng'zhong 吉田政重
'ji'tian'zhong'jun 吉田重俊
'ji'ye'yuan'chang 矶野员昌
'ji'yi 纪伊
'jia'fei 甲斐
'jia'fei'zhi'hu 甲斐之虎
'jia'fei'zong'yun 甲斐宗运
'jia'he 加贺
'jia'he 甲贺
'jia'he'zheng'fa 加贺征伐
'jia'teng'duan'cang 加藤段藏
'jia'teng'guang'tai 加藤光泰
'jia'teng'jia'ming 加藤嘉明
'jia'teng'qing'zheng 加藤清正
'jia'yang'jun'jian 甲阳军鉴
'jian'da'chang 菅达长
'jian'tian'yuan'qing 坚田元庆
'jian'yue'he'zhan 贱岳合战
'jian'yue'qi'ben'qiang 贱岳七本枪
'jian'zhao'ding'ying 菅沼定盈
'jiang'cun'qing'jia 江村亲家
'jiang'li'kou'xin'chang 江里口信常
'jiang'ma'hui'sheng 江马辉盛
'jiao'cang'le'yi 角仓了以
'jiao'cang'su'an 角仓素庵
'jiao'wei'shi'zong 角隈石宗
'jiao'wu'qi'lang'ci'lang 角屋七郎次郎
'jie'cheng'qing'chao 结城晴朝
'jie'cheng'xiu'kang 结城秀康
'jie'cheng'zheng'sheng 结城政胜
'jie'gang 堺港
'jin'chuan'shi'feng 今川氏丰
'jin'chuan'shi'hui 今川氏辉
'jin'chuan'shi'qin 今川氏亲
'jin'chuan'shi'zhen 今川氏真
'jin'chuan'yi'dong 津川义冬
'jin'chuan'yi'yuan 今川义元
'jin'chuan'yi'zhong 今川义忠
'jin'jiang 近江
'jin'jing'zong'jiu 今井宗久
'jin'jing'zong'xun 今井宗薰
'jin'qing'wei'xin 津轻为信
'jin'sen'chang'jin 金森长近
'jin'shang'sheng'bei 金上盛备
'jin'teng'yi'wu 近藤义武
'jin'tian'jian'wu 津田监物
'jin'tian'xin'cheng 津田信澄
'jin'tian'zong'ji 津田宗及
'jin'ye'qin'zhong 津野亲忠
'jin'ze 金泽
'jin'zi'yuan'chun 金子元春
'jin'zi'yuan'zhai 金子元宅
'jing'ji'gao'ci 京极高次
'jing'ji'gao'ji 京极高吉
'jing'ji'gao'zhi 京极高知
'jing'ji'long'zi 京极龙子
'jing'yi'zhi'zheng 井伊直政
'jiu'chu'jian'su 臼杵俭速
'jiu'gui'guang'long 九鬼广隆
'jiu'gui'jia'long 九鬼嘉隆
'jiu'gui'shou'long 九鬼守隆
'jiu'hu'zheng'shi 九户政实
'jiu'jing'jia'ci 酒井家次
'jiu'jing'zhong'ci 酒井忠次
'jiu'jing'zhong'sheng 酒井忠胜
'jiu'jing'zhong'shi 酒井忠世
'jiu'wu'qin'xin 久武亲信
'jiu'wu'qin'zhi 久武亲直
'jiu'zhou'dao 九州岛
'jiu'zhou'zheng'fa 九州征伐
'ju'ji 菊姬
'ju'ting'qing'ji 菊亭晴季
'jue'li'zhi'zheng 崛立直正
'jue'nei'shi'shan 崛内氏善
'jue'wei'zhong'shi 崛尾忠氏
'jue'zhi'zheng 崛直政
'jun'fu 骏府
'jun'he 骏河
'ke'er'cai'cang 可儿才藏
'kou'yu'tong'liang 口羽通良
'ku'wei'ji'qing 堀尾吉晴
'ku'xiu'zheng 堀秀政
'ku'xiu'zhi 堀秀治
'ku'yue'gong'fang 堀越公方
'lai'dao'tong'kang 来岛通康
'lai'dao'tong'zong 来岛通总
'lai'tian'sao'bu 濑田扫部
'li'hua'dao'xue 立花道雪
'li'hua'yin'qian'dai 立花誾千代
'li'hua'zhi'ci 立花直次
'li'hua'zong'mao 立花宗茂
'li'jian'yi'hong 里见义弘
'li'jian'yi'kang 里见义康
'li'jian'yi'lai 里见义赖
'li'jian'yi'yao 里见义尧
'li'lin'zheng'lai 栗林政赖
'li'qi'ji'guang 蛎崎季广
'li'qi'qing'guang 蛎崎庆广
'li'xiu'qi'zhe 利休七哲
'li'yuan'jiu'gang 立原久纲
'li'yuan'zheng'yao 笠原政尧
'lian'cang'gong'fang 镰仓公方
'lian'cang'yu'suo 镰仓御所
'lin'qi'shen'zhu 林崎甚助
'lin'tong'sheng 林通胜
'lin'xiu'zhen 林秀贞
'ling'mu'yuan'xin 铃木元信
'ling'mu'zhong'chao 铃木重朝
'ling'mu'zhong'xiu 铃木重秀
'ling'mu'zhong'yi 铃木重意
'ling'mu'zuo'dai'fu 铃木佐大夫
'liu'jiao'cheng'zhen 六角承祯
'liu'jiao'ding'lai 六角定赖
'liu'jiao'gao'lai 六角高赖
'liu'jiao'yi'xian 六角义贤
'liu'jiao'yi'zhi 六角义治
'liu'sheng'bing'ku'zhu 柳生兵库助
'liu'sheng'shi'bing'wei 柳生十兵卫
'liu'sheng'zong'ju 柳生宗矩
'liu'sheng'zong'yan 柳生宗严
'liu'shou'zheng'jing 留守政景
'liu'yuan'hu'bing'wei 柳原户兵卫
'long'ben'si'fei'you 泷本寺非有
'long'chuan'xiong'li 泷川雄利
'long'chuan'yi'yi 泷川一益
'long'chuan'yi'zhong 泷川益重
'long'shou'tian'an'jing 笼手田安经
'long'shou'tian'an'yi 笼手田安一
'long'zao'si'chang'xin 龙造寺长信
'long'zao'si'jia'jiu 龙造寺家就
'long'zao'si'long'xin 龙造寺隆信
'long'zao'si'xin'zhou 龙造寺信周
'long'zao'si'zheng'jia 龙造寺政家
'lu'ao 陆奥
'lu'ming'sheng'long 芦名盛隆
'lu'ming'sheng'shi 芦名盛氏
'lu'ming'sheng'xing 芦名盛兴
'lu'ming'sheng'zhong 芦名盛重
'lv'song'zhu'zuo'wei'men 吕宋助左卫门
'ma'chang'xin'fang 马场信房
'mao'li'hui'yuan 毛利辉元
'mao'li'long'yuan 毛利隆元
'mao'li'sheng'yong 毛利胜永
'mao'li'xin'zhu 毛利新助
'mao'li'xiu'guang 毛利秀广
'mao'li'yuan'jiu 毛利元就
'mao'li'zhong'neng 毛利重能
'mao'shou'sheng'zhao 毛受胜照
'mei'nong 美浓
'mei'yue'cheng'fang 梅岳承芳
'mei'zuo 美作
'mi'qin'zhong'chang 祢寝重长
'ming'gu'wu'shan'san'lang 名古屋山三郎
'ming'shi'quan'deng 明石全登
'ming'ying 明应
'ming'ying'zhi'bian 明应之变
'ming'zhi'guang'xiu 明智光秀
'ming'zhi'xiu'man 明智秀满
'ming'zhi'yu'zi 明智玉子
'mo'ji'sun'zuo'wei'men 末吉孙左卫门
'mo'sen'cheng'zhi'zhan 末森城之战
'mu'ceng'yi'chang 木曾义昌
'mu'ceng'yi'kang 木曾义康
'mu'cun'bing'bu 牧村兵部
'mu'cun'zhong'cheng 木村重成
'mu'jin'cheng 木津城
'mu'li'tai'bing'wei 母里太兵卫
'mu'li'you'xin 母里友信
'mu'qi'yuan'zhi'zhan 木崎原之战
'mu'xia'chang'zhi 木下昌直
'mu'xia'jia'ding 木下家定
'mu'xia'li'kuang 木下利匡
'mu'xia'li'zhi 木下利直
'mu'xia'teng'ji'lang 木下藤吉郎
'mu'zao'ju'zheng 木造具政
'na'gu'ye 那古野
'na'xu'zi'qing 那须资晴
'nai'mei'zong'sheng 乃美宗胜
'nai'zuo'ri'ben'zhu 奈佐日本助
'nan'bu'li'zhi 南部利直
'nan'bu'qing'zheng 南部晴政
'nan'bu'xin'zhi 南部信直
'nan'chang'an 楠长谙
'nan'hai'dao 南海道
'nei'guan'ling 内管领
'nei'teng'chang'feng 内藤昌丰
'nei'teng'ru'an 内藤如安
'nei'teng'zheng'cheng 内藤正成
'neng'deng 能登
'ni'zi'jing'jiu 尼子经久
'ni'zi'qing'jiu 尼子晴久
'ni'zi'sheng'jiu 尼子胜久
'ni'zi'yi'jiu 尼子义久
'nian'bei'zong'zhong 鲇贝宗重
'niao'ju'qiang'you'wei'men 鸟居强右卫门
'niao'ju'yuan'zhong 鸟居元忠
'niao'ju'zhong'ji 鸟居忠吉
'ning'ning 宁宁
'niu'wei'xing'qing 牛尾幸清
'nong'ji 浓姬
'pi'sha'men'tian 毘沙门天
'pian'cang'jing'gang 片仓景纲
'pian'tong'qie'yuan 片桐且元
'ping'gang'fang'shi 平冈房实
'ping'he'yuan'xiang 平贺元相
'ping'shi 平氏
'ping'shou'fa'xiu 平手汎秀
'ping'shou'jing'zhi 平手经治
'ping'shou'zheng'xiu 平手政秀
'ping'yan'qin'ji 平岩亲吉
'ping'ye'chang'tai 平野长泰
'po'zhu'chai'tian 破竹柴田
'pu'chi'jian'sheng 蒲池鉴盛
'pu'chi'zhen'lian 蒲池镇涟
'pu'shang'zong'jing 浦上宗景
'pu'sheng'ding'xiu 蒲生定秀
'pu'sheng'lai'xiang 蒲生赖乡
'pu'sheng'shi'xiang 蒲生氏乡
'pu'sheng'xian'xiu 蒲生贤秀
'pu'sheng'xiang'she 蒲生乡舍
'pu'sheng'xiu'xing 蒲生秀行
'qi'li'lai'zhou 七里赖周
'qi'tiao'jian'zhong 七条兼仲
'qi'wei 七尾
'qian'ban'jing'qin 千坂景亲
'qian'bo'ji'ji 前波吉继
'qian'he'sun'bing'wei 千贺孙兵卫
'qian'jing'chang'shi 浅井长时
'qian'jing'chang'zheng 浅井长政
'qian'jing'jing'lai 浅井井赖
'qian'jing'jiu'zheng 浅井久政
'qian'jing'liang'zheng 浅井亮政
'qian'li'sheng'lai 浅利胜赖
'qian'li'xiu 千利休
'qian'tian'an'sheng 前田安胜
'qian'tian'li'chang 前田利长
