'a'han'qi'shen 阿含七神
'han'po'zhu 寒魄珠
'han'xiao'shan 韩小山
'han'xiao'xiang 韩小湘
'han'xiu 韩修
'han'xu'xian'fu 涵虚仙府
'han'yue'jiao 韩月娇
'hao'xun 郝循
'he'ling'shi 何灵石
'he'nian'gu 何念姑
'he'sha'xian'chang 合沙仙长
'he'tong 何同
'he'yi 何意
'he'you 何佑
'hei'hui'shan 黑秽山
'hei'man'shan 黑蛮山
'hei'qing'yao'wang 黑青妖网
'hei'sang'men 黑丧门
'hei'sha'dao 黑砂岛
'hei'sha'jian 黑煞剑
'hei'sha'jiao 黑煞教
'hei'sha'shen'jian 黑煞神剑
'hei'shen'ci 黑神刺
'hei'shen'nv 黑神女
'hei'tou'ge'lao 黑头仡佬
'hei'tou'tuo 黑头陀
'hei'xin'yu'nv 黑心玉女
'hong'bing 洪丙
'hong'ju'shan 红橘山
'hong'ling'deng 红菱磴
'hong'shen'gu 红神谷
'hong'tao'luo'hun'sha 红桃落魂砂
'hong'xin'dong 红心洞
'hong'yuan'ji 洪原吉
'hong'yun 红云
'hong'yun'cheng 红云城
'hong'yun'cheng'zhu 红云城主
'hong'yun'chu 红云杵
'hong'yun'da'shi 红云大师
'hong'yun'san'hua'zhen 红云散花针
'hou'tu'shen'zhu 后土神珠
'hu'bai 胡柏
'hu'cai'chun 胡采春
'hu'gao 胡高
'hu'ji 胡济
'hu'jia'zhuo'tu 呼加卓图
'hu'jian 胡坚
'hu'man 胡蛮
'hu'ping 胡娉
'hu'san'e 胡三娥
'hu'yan'xian 呼延显
'hua'heng 华珩
'hua'qi 花奇
'hua'wu'xie 花无邪
'huan'chao'qun 桓超群
'huan'nv 桓女
'huan'shan'yan 环山堰
'huan'yong 桓雍
'huang'qian 黄潜
'huang'quan 黄权
'huang'que'feng 黄鹊峰
'huang'sha'lao'zu 黄沙老祖
'hui'guang'jian 慧光剑
'hun'yuan'du'wu 混元毒雾
'huo'lei'zhu 火雷珠
'huo'ling'dao 火灵刀
'huo'ling'zhen 火灵针
'huo'long'xu 火龙须
'huo'ren'yu 霍人玉
'huo'wu'gong 火蜈蚣
'huo'xing'zhe 火行者
'huo'yan'bi'yu 火眼碧狳
'huo'yan'xian'yuan 火眼仙猿
'huo'yun'suo 火云梭
'huo'zhu 火珠
'ji'cai'zhen 计采珍
'ji'cheng'pei 纪承沛
'ji'deng 纪登
'ji'fan'dou 基凡都
'ji'guang 纪光
'ji'hong 姬红
'ji'ming'jiao 鸡鸣角
'ji'shan 姬山
'ji'shu'jun 纪淑均
'ji'yi 纪异
'jia'ba 贾霸
'jia'si 贾四
'jian'ye'cun 建业村
'jiang'jin'yuan 江进元
'jiang'shen'miao 江神庙
'jiang'shu 姜庶
'jiang'xu 蒋栩
'jiang'yan 蒋炎
'jiang'zhen'si'bao 降真四宝
'jiao'cai'rong 焦彩蓉
'jiao'ye'jian 蕉叶剑
'jin'a'xiu 金阿秀
'jin'bai'lian 金百炼
'jin'bian'ya 金鞭崖
'jin'cheng'xiu 金成秀
'jin'fa'shen'nao 金发神猱
'jin'lin'jian 金鳞剑
'jin'ling'ling 金菱菱
'jin'niu'jian 金牛剑
'jin'ping 金萍
'jin'shi'shen'fo 金狮神佛
'jin'tuo'bao'zhuang 金陀宝幢
'jin'yin'dou 金银豆
'jin'yun'shan 缙云山
'jin'zhu 金蛛
'jin'zhu'wang 金蛛网
'jing'gong'wang 景公望
'jing'men'shan 荆门山
'jing'wen'tong 景文通
'jiu'feng'shan 九峰山
'jiu'gong'bi 九宫笔
'jiu'gong'da'huan'lian 九宫大环连
'jiu'lian'chi'shi'zhi'qi 九炼赤尸之气
'jiu'tian'yuan'mo'ling'yan 九天元魔灵焰
'jiu'yan'shen'mang 九眼神蟒
'jiu'yin'shen'suo 九音神锁
'ju'ying'jian 聚萤剑
'jue'chen'ya 绝尘崖
'jue'zhao 觉照
'jue'zhao'chan'shi 觉照禅师
'kang'kang 康康
'kuang'qian 匡乾
'lan'chi 蓝螭
'lan'da'shan 蓝大山
'lan'hua 兰花
'lan'ma'po 蓝马婆
'lan'san'xiong 蓝三熊
'lan'shi'lang 蓝石郎
'lan'xiang 兰香
'lao'shao'nian 老少年
'lao'ya'chong 老鸦冲
'lei'chun 雷春
'lei'xun 雷迅
'leng'cui'lin 冷翠林
'leng'lei 冷雷
'leng'qing'hong 冷青虹
'li'de'qing 李德卿
'li'fu'jiang 李甫疆
'li'gui 里圭
'li'heng 李衡
'li'qi 李弃
'li'xiong 李雄
'li'zhu'gong 离朱宫
'li'zhu'jian 离朱剑
'lian'deng 连登
'lian'lian 连连
'liang'shang'xin 梁尚新
'liang'yi'zhu 两仪珠
'lin'an 林安
'lin'bing 林炳
'lin'chun 林春
'lin'er'gou 林二狗
'lin'fei'hong 林飞虹
'lin'ning 林宁
'lin'su'e 林素娥
'ling'fei'si 灵飞寺
'ling'gu 灵姑
'ling'nu 灵奴
'ling'yin'huan 聆音环
'liu'hua 榴花
'liu'ling 刘灵
'liu'wu'dun'xing'qi 六戊遁形旗
'liu'yi 刘义
'liu'zei'shou'hun'wang 六贼收魂网
'long'he'wang 龙河旺
'long'ju'zi 龙驹子
'lou'cang'zhou 楼沧洲
'lu'han'zhang 陆翰章
'lu'hun'jie'dao 戮魂戒刀
'lu'jia 鹿加
'lu'qing'chen 鲁清尘
'lu'yu'qian 陆玉倩
'luo'hong'dao 落虹岛
'luo'ji 落漈
'luo'lao'wu 罗老五
'luo'lu 罗鹭
'luo'xian'po 罗仙婆
'luo'yin 罗银
'lv'er'ya 绿耳崖
'lv'jing 吕璟
'lv'jing'xia 吕璟下
'lv'lei 吕磊
'lv'ling'gu 吕灵姑
'lv'wei 吕伟
'ma'da'la 麻大拉
'ma'er'la 麻二拉
'ma'lao'seng 麻老僧
'ma'shi 蟆狮
'ma'shi'zhu 蟆狮珠
'ma'tou'gui'wang 麻头鬼王
'ma'yao'gou 麻幺狗
'ma'zhao 麻爪
'mao'ba 毛霸
'mao'neng 毛能
'mei'ao 梅坳
'mei'hua'xian'zi 梅花仙子
'mei'luo'zhai 没罗寨
'mei'ying 梅霙
'meng'ju'hua 孟菊花
'mi'hai 米海
'mi'hai'ke 米海客
'mi'he 米和
'mi'hun'hua'xue'dao 迷魂化血刀
'mi'yin'huan 密音环
'miao'nv 苗女
'miao'qiu 苗酋
'miao'xiang 妙香
'miao'xiang'dong 妙香洞
'miao'xiang'xian'zi 妙香仙子
'miao'xiang'yan 妙香岩
'miao'yin'si 妙音寺
'ming'yi'dong 明夷洞
'ming'yi'zi 明夷子
'mo'feng'ping 墨蜂坪
'mo'qiu'dao 磨球岛
'mu'jiao'ju'shi 木脚居士
'mu'jing 木精
'mu'lian'hua 木莲花
'na'jia 拿加
'nan'qi 南绮
'neng'ji 能济
'nie'cha'er 聂叉儿
'nie'liu'hua 聂榴花
'nie'yu'hua 聂玉花
'niu'man'zhai 牛蛮寨
'niu'mu'zhai 牛母寨
'niu'wu 牛武
'niu'xian 牛宪
'niu'zi 牛子
'nv'shen'wu 女神巫
'pan'fang 潘芳
'pan'long'ling 盘龙岭
'pan'long'zu 盘笼族
'pang'mo'jun 胖魔君
'pei'rong 裴融
'pen'yun'shou 喷云兽
'pi'pa'xie 琵琶蝎
'pu'zhao'xia 浦朝霞
'qi'bao'jin'lian 七宝金莲
'qi'bao'jin'lian'xue'li'shen'zuo 七宝金莲薛荔神座
'qi'hua 琪花
'qi'ling'xiu'shi 七灵修士
'qi'ning 戚宁
'qi'qin'huo'zhu 七禽火珠
'qi'qing'suo 七情索
'qi'sha'shen'deng 七煞神灯
'qi'sha'tou'tuo 七煞头陀
'qi'shou'zhen'ren 七首真人
'qi'xiu 七修
'qi'zhen'ren 七真人
'qian'ling'pai 乾灵牌
'qian'long'dong 潜龙洞
'qian'tian'gang'qi 乾天罡气
'qian'yang'ling'she 乾阳灵蛇
'qiao'yan'er 巧燕儿
'qie'tui'gu 且退谷
'qin'fu 秦福
'qin'li 秦黎
'qin'ling 秦岭
'qin'ren'mu 秦人穆
'qin'weng 秦翁
'qin'xiang'er 秦香儿
'qin'yan 琴言
'qin'yan 秦琰
'qin'zuo 秦左
'qing'bo'shang'ren 清波上人
'qing'cheng 青城
'qing'cheng'qi'chou 青城七丑
'qing'hong'dao 青虹岛
'qing'jiao'lian 青蛟链
'qing'lang'zhai 青狼寨
'qing'ling'nang 青灵囊
'qing'ling'xia 青羚峡
'qing'luan 青鸾
'qing'men'dao 青门岛
'qing'wu'jian 青吴剑
'qing'yu'lan 青鱼篮
'qiu'huai 邱槐
'qiu'ji'zhong 裘继忠
'qiu'jia 裘家
'qiu'jia'chang'ba 裘家厂坝
'qiu'ping 秋萍
'qiu'xin 裘信
'qiu'yang 邱扬
'qiu'yang 邱炀
'qiu'yin 裘隐
'qiu'you'ren 裘友仁
'qiu'yuan 裘元
'qiu'yue 秋月
'qiu'yun 秋云
'qiu'zhi'xian 裘芷仙
'qu'shang 瞿商
'qu'shi'si 瞿式耜
'qu'zhong 瞿忠
'ren'su'luo 任素萝
'ru'liang 茹良
'run'guo 闰果
'sai'bi'hu 赛壁虎
'san'cai'huan 三才环
'san'hua'zhen'ren 三化真人
'san'leng'cang'feng'nu 三棱藏风弩
'san'qing'guan 三清观
'san'yan'jin'dai'jiao 三眼锦带蛟
'san'yang'han'yin'cao 三阳含阴草
'san'yang'zhen'huo 三阳真火
'san'zhe'ya 三折崖
'sang'huan 桑桓
'sang'xian'lao 桑仙姥
'sha'long 沙龙
'shan'ren 山人
'shang'yuan'gong 上元宫
'shang'zhu 商祝
'shao'ling'xu 邵凌虚
'shao'yang'li'huo'shan 少阳离火扇
'shao'yang'shen'jun 少阳神君
'she'hong'bi 射虹壁
'she'wang'si 蛇王寺
'shen'biao 申标
'shen'chun 申纯
'shen'feng'shan 神峰山
'shen'gu'zhang 神姑掌
'shen'mu'ding 神木鼎
'shen'mu'suo 神木梭
'shen'mu'tong'zi 神目童子
'shen'mu'xin'fu 神木信符
'shen'qiao'wang 神峭网
'shen'wu'gou 申无垢
'shen'yin'dong 神音洞
'shen'yue'shan 神月山
'shen'zhong 神钟
'sheng'xiang'niang'zi 生香娘子
'shi'han'xu 史涵虚
'shi'ji'wu'xing'zhu 螫极五行珠
'shi'mian'tian'wang 狮面天王
'shi'wen 史文
'shi'xian'fu 石仙府
'shi'ye'xian 石野仙
'shi'yu 史渔
'shuang'bo'ling 双钵岭
'shuang'tou'bian'fu 双头蝙蝠
'shui'yue'zhen'ren 水月真人
'shui'yun'cun 水云村
'si'ming 司明
'si'ming'jian 司明剑
'si'qing'huang 司青璜
'song'xiang'wa 宋香娃
'su'yun 苏芸
'sui'ping 随平
'tai'yang'lu'hun'fei'cha 太阳戮魂飞叉
'tai'yang'zhen'huo'hu'lu 太阳真火葫芦
'tai'yi'xing'sha 太乙星砂
'tai'yin'lian'hun'yao'huo 太阴炼魂妖火
'tai'yin'shen'ge 太阴神戈
'tan'gan 谭干
'tan'xiao 谭萧
'tang'yin'da'xia 汤阴大侠
'tao'jun 陶钧
'teng'mang 滕莽
'ti'yun'lian 梯云链
'tian'can'tong'zi 天蚕童子
'tian'can'xian'niang 天蚕仙娘
'tian'can'zi 天残子
'tian'ling'dao 天灵刀
'tian'lu'shen'zhen 天戮神针
'tian'ping'shan 天平山
'tian'qin'he 天琴壑
'tian'que 天缺
'tian'que'da'shi 天缺大师
'tian'si'zhang 天丝幛
'tian'wu 天蜈
'tian'wu'hai 田无害
'tian'wu'zhu 天蜈珠
'tian'xin'shen'nu 天辛神弩
'tian'xuan'zi 天玄子
'tian'yi'zhen'ren 天医真人
'tie'fu'chen 铁拂尘
'tie'gan'xian'lian 铁干仙莲
'tie'gu'xian 铁鼓仙
'tie'hua'wu 铁花坞
'tie'jian'lao'zu 铁肩老祖
'tie'lian'hua 铁莲花
'tie'lin'xia 铁鳞峡
'tie'luo'zhai 铁锣寨
'tie'mian'zhen'ren 铁面真人
'tie'nao'ke 铁脑壳
'tie'ran'lao'ren 铁髯老人
'tie'yan'feng 铁砚峰
'tong'bai'shan 桐柏山
'tong'dao'ren 同道人
'tong'feng'ling 桐凤岭
'tong'gu'shan 铜鼓山
'tong'guan'sou 铜冠叟
'tong'jing'weng 铜井翁
'tong'shu'ping 桐树坪
'tu'bo'gang 屠伯刚
'tu'chou'seng 秃丑僧
'tu'lei 涂雷
'tu'lian'zhen 涂琏珍
'tu'nai'shan 图奈山
'wan'hua'shan 万花山
'wang'bai 王柏
'wang'da'mao 王大毛
'wang'he 王和
'wang'lao'yao 王老幺
'wang'lian 王莲
'wang'mao 王茂
'wang'qing 王清
'wang'shen 王申
'wang'shou'chang 王守常
'wang'si'da'niang 王四大娘
'wang'wu'xing 王五星
'wang'xian 王娴
'wang'yu'gen 王玉根
'wang'yuan 王渊
'wang'yuan'du 王元度
'wei'chou 苇丑
'wei'ji 魏稽
'wei'li'yun 韦梨云
'wei'qing'qing 韦青青
'wei'sheng'da'shi 未生大师
'wei'xu 卫诩
'wen'shen'zu 纹身族
'wen'shu'chi'ling 文殊敕令
'wu'ci'dao'zhang 无疵道长
'wu'dao 五岛
'wu'di'san'xing'dan 无敌三星弹
'wu'ding'shen'fu 五丁神斧
'wu'ding'shen'zhou 无定神洲
'wu'fang'shen'sou 五方神叟
'wu'feng'ya 舞凤崖
'wu'huo'shi'zhe 五火使者
'wu'ji'quan 无极圈
'wu'jia 乌加
'wu'jin'shan'wang 乌金鳝王
'wu'jiu 吴玖
'wu'lei'ding 五雷钉
'wu'lin'mang 无鳞蟒
'wu'qin 吴禽
'wu'se'du'yan 五色毒烟
'wu'se'shen'ni 五色神泥
'wu'xia 巫峡
'wu'ya'cao 乌鸦草
'wu'yan'wang 五阎王
'wu'yun'tao'hua'du'zhang 五云桃花毒瘴
'wu'yun'yin'huo 五云阴火
'wu'zhao'fei'li 五爪飞狸
'wu'zhi'shan 五指山
'xi'chang'ling 西肠岭
'xi'ji'jiao 西极教
'xi'ji'shan 西极山
'xi'jia'yan 夕佳岩
'xi'kun'lun'er'e 西昆仑二恶
'xi'tian'qi'sheng 西天七圣
'xi'xing'shen'qiu 吸星神球
'xi'yun'pa 席云帕
'xian'lao 仙姥
'xian'ren'zhua 仙人抓
'xian'tao'wu 仙桃坞
'xian'tao'zhang 仙桃嶂
'xian'tian'yi'mu'shen'lei 先天乙木神雷
'xiang'du 向笃
'xiang'jia'de 向家德
'xiang'mo'jie'chi 降魔戒尺
'xiang'nu 象奴
'xiang'san'mao 向三毛
'xiang'yao'mao 向幺毛
'xiao'cheng 萧诚
'xiao'huo'long 小火龙
'xiao'jin'tong 小金童
'xiao'xun 萧巡
'xiao'yong 萧泳
'xiao'yu 小玉
'xie'dao'ming 谢道明
'xin'deng'chan'shi 心灯禅师
'xu'hu 徐虎
'xu'jin 徐进
'xu'shu 徐殊
'xuan'bing'ao 玄冰凹
'xuan'gu 玄姑
'xuan'wu'zuan 玄乌钻
'xuan'yin'jiao 玄阴教
'xuan'yin'quan 玄阴圈
'xuan'yin'shen'yan 玄阴神焰
'xuan'yin'shui'lao 玄阴水姥
'xuan'yin'zhen'shui 玄阴真水
'xue'li'shen'zuo 薛荔神座
'xue'mei 雪魅
'xue'tao 雪桃
'xue'yan'ding 血焰钉
'xue'yan'shen'gang 血焰神罡
'yan'hao 颜浩
'yan'hu 颜虎
'yan'luo'she'bo'yu 阎罗奢钵盂
'yan'ming 鄢明
'yan'shi'zhen 颜师真
'yan'tian 颜觍
'yan'xin 阎新
'yan'yun'lian 烟云莲
'yang'man 杨满
'yang'ren'wei 杨人伟
'yang'tian'qi 杨天麒
'yang'tian'zhen 杨天真
'yang'wen'shan 杨文善
'yang'xu 杨诩
'yang'ying'xue 杨映雪
'yang'yong 杨永
'yao'ding 姚鼎
'yao'fa'tong 姚法通
'ye'ming'cao 夜明草
'ye'mo'huan 夜摩环
'ye'xiang 夜香
'yi'chen'chan'shi 一尘禅师
'yi'cong'shan 宜从善
'yi'mu'jian 乙木箭
'yi'mu'shen'suo 乙木神梭
'yin'chan'chu 银蟾蜍
'yin'chen'zhu 阴沉竹
'yin'dun'fu 尹遁夫
'yin'fa'sou 银发叟
'yin'fei'cao 银肺草
'yin'hu 殷瑚
'yin'jian'shan 银剪山
'yin'mai'jian 阴霾剪
'yin'wa 银娃
'yin'xian'zhuang 隐贤庄
'yin'yan 银燕
'yin'zhu 尹铸
'you'huang 尤璜
'you'ke'jia 尤克家
'you'lu 尤鹿
'you'wen'shu 尤文叔
'you'xiang'shen'mo 有相神魔
'yu'bo 玉钵
'yu'fan 余繁
'yu'hua 玉花
'yu'hua'zi'mei 玉花姊妹
'yu'jia'jie'mei 虞家姐妹
'yu'nan'qi 虞南绮
'yu'quan'dong 玉泉洞
'yu'shi'qi'shu 玉石奇书
'yu'shun'hua 虞舜华
'yu'wu 俞武
'yu'xia'fei'dao 玉匣飞刀
'yu'ya'chan 鱼牙铲
'yuan'chen'qi 元辰旗
'yuan'ling'gu 袁灵姑
'yuan'mu'shan 元墓山
'yue'po'han'jing 月魄寒精
'yue'ya'gou'lian'ren 月牙钩连刃
'yun'cui 云翠
'yun'long'shan 云龙山
'yun'meng'shan 云梦山
'yun'meng'ze 云梦泽
'zha'duan'gong 扎端公
'zhan'shu 展舒
'zhang'hong 张鸿
'zhang'qi'tai 张其泰
'zhang'shu'chang 樟树场
'zhang'yuan 张远
'zhao'san'guang 召三光
'zhao'xing 赵兴
'zhe'guang'tong'jing 折光铜镜
'zhe'sheng 浙生
'zhen'ji 甄济
'zhen'shi 甄氏
'zhen'shui'shen'zhong 镇水神钟
'zhen'xin'zhu 镇心柱
'zhen'zi'xiang 甄子祥
'zheng'cheng 郑诚
'zheng'ying 郑英
'zhi'gu 制蛊
'zhi'nan'zhen 指南针
'zhong'nan'san'sha 终南三煞
'zhong'tiao'shan 中条山
'zhong'wen 狆温
'zhou'dong 周侗
'zhou'qiong 周琼
'zhu'chen'jian 朱辰剪
'zhu'er 猪儿
'zhu'gong 祝功
'zhu'hen'niang 朱恨娘
'zhu'hong 朱洪
'zhu'hong'jian 朱虹剑
'zhu'jin 朱进
'zhu'lan 朱兰
'zhu'long'shan 竹龙山
'zhu'ping 朱苹
'zhu'que 朱缺
'zhu'shan'jiao 竹山教
'zhu'ting 朱霆
'zhu'xue'jian 铸雪剑
'zhu'zhu'dao 朱竹岛
'zhui'feng'wu'shao'she 追风乌梢蛇
'zhuo'yuan'feng 卓远峰
'zi'he'che 紫河车
'zi'mu'huan'yang'cao 子母还阳草
'zi'mu'yuan'yin'yao'nv'ling'qi 子母元阴妖女灵旗
'zong'duo'na 宗多拿
