'a'si'ma 阿斯玛
'mei'ta'er'li 梅塔尔李
'mo'fen'shen'zhi'shu 墨分身之术
'mo'jing'bing'jing 魔镜冰晶
'mo'yin'zhi'shu 墨隐之术
'mu'dao'long'yi 木岛隆一
'mu'ye 木叶
'mu'ye'cun 木叶村
'mu'ye'da'xuan'feng 木叶大旋风
'mu'ye'lie'feng 木叶烈风
'mu'ye'sheng'feng 木叶升风
'mu'ye'xin'san'ren 木叶新三忍
'nai'liang'lu'dai 奈良鹿戴
'nai'liang'lu'tai 奈良鹿台
'nai'liang'lu'wan 奈良鹿丸
'nai'liang'shou'ju 奈良手鞠
'nai'liang'yi'zu 奈良一族
'pao'mo'luan'bo 泡沫乱波
'pei'en 佩恩
'pu'lu'mei 朴璐美
'qi'lin 麒麟
'qi'mu'ka'ka'xi 旗木卡卡西
'qian'niao 千鸟
'qian'niao'liu 千鸟流
'qian'niao'qian'ben 千鸟千本
'qian'niao'ren 千鸟刃
'qian'ying'she'shou 潜影蛇手
'qiu'dao'die'die 秋道蝶蝶
'qiu'dao'ding'ci 秋道丁次
'qiu'dao'ka'lu'yi 秋道卡鲁伊
'qiu'dao'yi'zu 秋道一族
'que'nai'lei 雀乃泪
'ren'ju'dian 忍具店
'ren'shu 忍术
'ren'zhe 忍者
'ren'zhe'xue'xiao 忍者学校
'ri'ye'cong 日野聪
'san'ping'you'bu'zi 三瓶由布子
'san'se'yao'wan 三色药丸
'san'yue 三月
'se'you'zhi'shu 色诱之术
'sen'jiu'bao'xiang'tai'lang 森久保祥太郎
'sha'fu'jiu 砂缚柩
'sha'pu'song'zang 砂瀑送葬
'sha'shou'li'jian 砂手里剑
'shan'tian'nai'dou'mei 山田奈都美
'shan'zhong'jing'zhen 山中井阵
'shan'zhong'yi'zu 山中一族
'shan'zhong'zuo'jing 山中佐井
'shang'men 伤门
'shang'yu'xiao'yuan 伤愈消元
'she'fen'shen'zhi'shu 蛇分身之术
'she'xian'shu 蛇仙术
'shen'luo'tian'zheng 神罗天征
'shen'xin'zhuan'huan'kui'lei'zhou'yin'shu 身心转换傀儡咒印术
'sheng'men 生门
'shi'gu'mai 尸骨脉
'shi'gui'feng'jin 尸鬼封尽
'shi'quan'jian 十拳剑
'shou'bo'zhang 兽波掌
'shou'ju 手鞠
'shuang'mo'zhi'gong 双魔之攻
'shuang'she'xiang'sha 双蛇相杀
'shui'dun'shui'luan'bo 水遁水乱波
'shui'dun'tie'pao'yu 水遁铁炮玉
'shui'fen'shen'zhi'shu 水分身之术
'shui'lao'shu 水牢术
'shui'lao'zhi'shu 水牢之术
'shui'long'dan'shu 水龙弹术
'shui'long'dan'zhi'shu 水龙弹之术
'shui'shu'nai'nai 水树奈奈
'shui'ya'shu 水牙术
'shui'ying 水影
'shui'zhen'bi 水阵壁
'si'men 死门
'si'yue 巳月
'song'ben'sha'luo 松本沙罗
'tan'zhi'jie'jie 探知结界
'tian'zhao 天照
'tong'ling'lei'guang'jian'hua 通灵雷光剑化
'tong'ling'luo'sheng'men 通灵罗生门
'tong'ling'shu'yuan'mo 通灵术猿魔
'tong'ling'zhi'shu 通灵之术
'tou'dun'shu 透遁术
'tu'dun'huang'quan'zhao 土遁黄泉沼
'tu'lao'tang'wu 土牢堂无
'tu'liu'bi 土流壁
'tu'liu'da'he 土流大河
'tu'long'dan 土龙弹
'tu'mu'ren'zhe 土木忍者
'tu'ying 土影
'tu'zhong'ying'yu'zhi'shu 土中映鱼之术
'tuan'zang 团藏
'wa'bian'zhi'shu 蛙变之术
'wa'pian'shou'li'jian 瓦片手里剑
'wan'hua'tong 万花筒
'wan'hua'tong'xie'lun'yan 万花筒写轮眼
'wan'xiang'tian'yin 万象天引
'wang'yuan'jing'zhi'shu 望远镜之术
'wo'ai'luo 我爱罗
'wu'feng'jie'jie 五封结界
'wu'shi'jiao 五食鲛
'wu'xing'jie'yin 五行解印
'wu'ya'zhi'shu 乌鸦之术
'wu'yin'shu 雾隐术
'wu'yue 吴越
'xi'gu'liang 西谷亮
'xi'huan'chou'chu'zhi'shu 细患抽出之术
'xi'shu'feng'jin 吸术封尽
'xian'fa'lao'bu'ke'po 仙法牢不可破
'xian'fa'mao'zhen'qian'ben 仙法毛针千本
'xian'fa'wu'you'wei'men 仙法吴右卫门
'xian'ren'mo'shi 仙人模式
'xiang'zhuan'zhi'shu 象转之术
'xiao'song'you'jia 小松由佳
'xiao'tai'dao'you'jing 小太刀右京
'xiao'ye'xian'zhang 小野贤章
'xiao'zu'zhi 晓组织
'xie'lun'yan 写轮眼
'xin'luan'shen'zhi'shu 心乱身之术
'xin'mu'ye'qi'xiao'qiang 新木叶七小强
'xin'zhuan'shen'zhi'shu 心转身之术
'xiu'men 休门
'xu'zuo'neng'hu 须佐能乎
'xu'zuo'zhi'nan 须佐之男
'xuan'feng'quan 旋风拳
'xuan'wo'bo'ren 漩涡博人
'xuan'wo'chu'tian 漩涡雏田
'xuan'wo'ming'ren 漩涡鸣人
'xuan'wo'xiang'ri'kui 漩涡向日葵
'xue'ji'jie'xian 血继界限
'ya'fen'shen'zhi'shu 鸦分身之术
'yi'dou'ye'shan'kui 伊豆野山葵
'yi'liao'ren'shu 医疗忍术
'yi'liao'shu'zhang'xian'shu 医疗术掌仙术
'yi'lu'ka 伊鲁卡
'yi'mu'qian'yang 一木千洋
'yi'teng'jian'tai'lang 伊藤健太郎
'yin'yu'shang'mie 阴愈伤灭
'ying'fen'shen 影分身
'ying'fen'shen'shu 影分身术
'ying'feng 影缝
'ying'fu'jin'shu 影缚劲术
'ying'shou'li'jian'zhi'shu 影手里剑之术
'ying'shu 影术
'ying'wu'ye 影舞叶
'ying'zi'jiao'shou'shu 影子绞首术
'ying'zi'ju'ji'shu 影子聚集术
'ying'zi'mo'fang'shu 影子模仿术
'ying'zi'shu'fu'shu 影子束缚术
'ying'zi'tong'ling'shu 影子通灵术
'yong'heng'wan'hua'tong'xie'lun'yan 永恒万花筒写轮眼
'you'mu'liang'xiang 柚木凉香
'you'nv'yi'zu 油女一族
'you'nv'zhi'nai 油女志乃
'yu'hu'zi'zai 雨虎自在
'yu'shou'xi'hong'dou 御手洗红豆
'yu'yin'cun 雨隐村
'yu'yin'zhi'cun 雨隐之村
'yu'zhi'bo'ying 宇智波樱
'yu'zhi'bo'you 宇智波鼬
'yu'zhi'bo'zuo'liang'na 宇智波佐良娜
'yu'zhi'bo'zuo'zhu 宇智波佐助
'yuan'fei'hong 猿飞红
'yuan'fei'mu'ye'wan 猿飞木叶丸
'yuan'fei'ri'zhan 猿飞日斩
'yuan'fei'wei'lai 猿飞未来
'yuan'mo 猿魔
'yuan'teng'ling 远藤绫
'yue'du 月读
'zao'jian'sha'zhi 早见沙织
'zeng'chuan'yang'yi 增川洋一
'zeng'fu'tong'ling'zhi'shu 增幅通灵之术
'zhan'zhan'wu 斩斩舞
'zhen'di'zang 针地藏
'zhi'ke'feng'yin 指刻封印
'zhi'nai 志乃
'zhong'cun'qian'hui 中村千绘
'zhong'ren'kao'shi 中忍考试
'zhou'yin 咒印
'zhou'yin'shu 咒印术
'zhu'nei'shun'zi 竹内顺子
'zhui'ya'zhi'shu 追牙之术
'zi'sha'ren'shu 自杀忍术
'zi'sha'zhan'shou'zhi'shu 自杀斩首之术
'zui'dun 嘴遁
'zui'quan 醉拳
'zuo'jing 佐井
