'ai'ba'jiu 爱把酒
'bian'ge'ma'er'gui'qu'ye 鞭个马儿归去也
'bian'liu'chun'shen'le 便留春甚乐
'bian'qing'qin 便情亲
'bian'shi'ge'zhu'shi'guan'yin'pu'sa 便是个住世观音菩萨
'bian'shuo'gong'qing 便说公卿
'bian'tou'meng'jiang'gan'ge 边头猛将干戈
'bian'wu'chun'feng 便舞春风
'bian'xia'de 便下得
'bian'xiu'lun'ren'jian'xing'fu 便休论人间腥腐
'bian'xiu'xiu 便休休
'bian'xu'zhun'bei'luo'hua'chou 便须准备落花愁
'bian'yi'hua'yi'cao'bao'ping'an 便一花一草报平安
'bian'ying'ru'shan'gu 便影入山骨
'bian'yu'tang'jin'ma 便玉堂金马
'bian'ze'shu 便择术
'bian'zhi'xiang'huo'zhen'ci'feng 便支香火真祠俸
'bie'hou'xiang'si 别后相思
'bie'li'chu'chu'shi'bei'liang 别离触处是悲凉
'bie'ting'sheng'xiao'chui'xiao 别听笙箫吹晓
'bin'mu'zuo'chu'fu 宾幕佐储副
'bin'shui'wu'chuang'yun'hu 濒水雾窗云户
'bing'can'yu're 冰蚕语热
'bing'di'fang'lian 并蒂芳莲
'bing'fu'chuan'lei 兵符传垒
'bing'hu'liang'dian 冰壶凉簟
'bing'lai'zhi'jiu 病来止酒
'bing'nan'fu 病难扶
'bing'qie'bei'pan'gan'zhi'jiu 病怯杯盘甘止酒
'bing'qie'can'nian'pin'zi'bu 病怯残年频自卜
'bing'que'jiao'jiao 冰缺皎皎
'bing'rao'mei'hua'jiu'bu'kong 病绕梅花酒不空
'bing'xue'han'zhong'jian 冰雪寒中见
'bing'yu'yi'shi'qing'jie 冰玉一时清洁
'bing'zhong'liu'ke'yin 病中留客饮
'bing'zuo'gu 冰作骨
'bo'su'pan'shan 勃窣媻姗
'bo'xin'pei 拨新醅
'bo'yi'ji'cai'xi'shan'jue 伯夷饥采西山蕨
'bu'bi'xiao'xing'bing'zao'qi 不避晓行并早起
'bu'chen'lv'yi'lang 不趁绿衣郎
'bu'chen'pan'niang'kan'hen 步衬潘娘堪恨
'bu'cheng'ren'zong'yao'feng'hou 不成人总要封侯
'bu'ci'chang'xiang'shui'yun'lai 不辞长向水云来
'bu'dai'de'jiu'lan'ge'san 不待得酒阑歌散
'bu'dao'gong'ming'zui'er 不道功名蕞尔
'bu'dao'wu'jia'men'hu 不到吾家门户
'bu'de'wen'zhang'li 不得文章力
'bu'di'yin'ping'gui 不抵银缾贵
'bu'fang'gao'wo 不妨高卧
'bu'fang'heng'guan'xiao'lou'zhong 不妨横管小楼中
'bu'fang'jiu'shi'cong'tou'ji 不妨旧事从头记
'bu'fang'lao'gan'zi'fu'shu 不妨老干自扶疏
'bu'fang'liang'bin'ru'shuang 不妨两鬓如霜
'bu'fu'gu'ren'shu 不负古人书
'bu'fu'yuan'ming 不负渊明
'bu'guan'jiang'fei'yuan 不管江妃怨
'bu'guan'qing'shan'ai 不管青山碍
'bu'guan'zuo'xiao'feng'yu'heng 不管昨宵风雨横
'bu'hen'gu'ren'wu'bu'jian 不恨古人吾不见
'bu'jian'juan'lian'ren 不见卷帘人
'bu'jie'chun'gong'li 不借春工力
'bu'jie'feng'liu'jian'er'qiao 不解风流见二乔
'bu'jin'chang'jiang'gun'gun'liu 不尽长江滚滚流
'bu'kan'ti'jue 不堪鶗鴂
'bu'kan'yu'hen 不堪馀恨
'bu'ken'fen'liu'feng'yue 不肯分留风月
'bu'ken'guo'jiang'dong 不肯过江东
'bu'ken'ru'shi'lai 不肯入诗来
'bu'mian'xiang'fan'xi'que'er 不免相烦喜鹊儿
'bu'pa'yu'ren'you'ti 不怕与人尤殢
'bu'ran'huan'jin'jiu'bian'lai 不然唤近酒边来
'bu'ren'si'liang 不忍思量
'bu'ru'chi 不如痴
'bu'ru'gui 不如归
'bu'ru'gui'qu 不如归去
'bu'ru'liu'zhu'qing'chun 不如留住青春
'bu'ru'zui 不如醉
'bu'shi'bai'tou'shui'jue'lao 不是白头谁觉老
'bu'shi'chang'qing'zhong'man'shi 不是长卿终慢世
'bu'shi'jiang'shan'bie 不是江山别
'bu'shi'wang'jin'shan 不是望金山
'bu'shi'zhen'liu'shi 不是枕流时
'bu'si'zi'you'xing'ban'lu 不似子猷行半路
'bu'suan'zi'bai'jun'qie'deng'che 卜算子百郡怯登车
'bu'suan'zi'dao'zhi'tang'ming'qiu 卜算子盗跖倘名丘
'bu'suan'zi'qian'gu'li'jiang'jun 卜算子千古李将军
'bu'suan'zi'wan'li'nie'fu'yun 卜算子万里籋浮云
'bu'suan'zi'ye'yu'zui'gua'lu 卜算子夜雨醉瓜庐
'bu'suan'zi'yi'ge'qu'xue'xian 卜算子一个去学仙
'bu'suan'zi'yi'yi'wo'wei'niu 卜算子一以我为牛
'bu'suan'zi'yi'yin'dong'lian'xiao 卜算子一饮动连宵
'bu'suan'zi'zhu'yu'zuo'ni'sha 卜算子珠玉作泥沙
'bu'tian'you'xiao'nv'wa'mang 补天又笑女娲忙
'bu'tong'fu'shi'nan'ping 不同浮世难凭
'bu'tuo'da'shi'shen'tong'miao 补陀大士神通妙
'bu'xi'nan'chang'xian'ji 不系南昌仙籍
'bu'xu'he'lei'kan'jing'qi 不须和泪看旌旗
'bu'xu'lian'ri'zui 不须连日醉
'bu'xu'tun 不须吞
'bu'xu'yi'zhe 不须疑着
'bu'yi'ju'pan'zhe 不意俱攀折
'bu'yin'bian'kang'qiang 不饮便康强
'bu'yin'qi'se 不淫其色
'bu'yin'wu'ning'ke 不饮吾宁渴
'bu'ying'kan'ci 不应堪此
'bu'yu'you'shi'yu 不遇有时遇
'bu'zai'wei'feng'jue'bi 不在危峰绝壁
'bu'zhi'geng'you'huai'an'guo 不知更有槐安国
'bu'zhi'guo'le'zhong'qiu 不知过了中秋
'bu'zhi'jin'ye'ji'ren'chou 不知今夜几人愁
'bu'zhi'tian'di'kong'kuo 不知天地空阔
'bu'zhi'yun'zhe'wei'yu 不知云者为雨
'bu'zi'neng'wang'kan'xiao 不自能忘堪笑
'cai'bi'feng'liu'pian'jie'xie 彩笔风流偏解写
'cai'di'mei'hua'ban 才抵梅花半
'cai'sheng'dou'hua'deng 彩胜斗华灯
'cai'shi'wei'wen 裁诗未稳
'cai'shu'chi 才数尺
'cai'si'jian'shuo'shan'shuo'shui 才厮见说山说水
'cai'xiang'jian'bian'you'bie'li'shi 才相见便有别离时
'cai'xiao'you'fu'tou 才晓又扶头
'cai'zheng'zheng 才整整
'cai'zhi'jiu 才止酒
'cai'zuo'duan'ge'xing 裁作短歌行
'can'fei'yong'zhe 惭非勇者
'can'wu'ding 飡五鼎
'can'zhong'tian'mi'mi'shu'shu 灿中天密密疏疏
'cang'huang'zou'bao 仓皇走报
'cang'ran'ru'ji 苍髯如戟
'cao'cao'bei'pan'bu'yao'shou 草草杯盘不要收
'cao'liu 曹刘
'cao'liu'shen'xie 曹刘沈谢
'cao'mu'jin'fen'fang 草木尽芬芳
'cao'mu'yu'ren'ye'zuo'shu 草木于人也作疏
'cao'tang'feng'yue 草堂风月
'cao'tun'liu'jue 曹吞刘攫
'ce'ting'yan'sheng 侧听檐声
'cen'ci'si'du 参差似妒
'ceng'dao'pian'yi'qian'hua'mei 曾道偏宜浅画眉
'ceng'dao'wu'lu 曾到吾庐
'ceng'xiang'shu 曾相熟
'ceng'xiang'xue'zhong'wen 曾向雪中闻
'ceng'you'shi'wu 曾有诗无
'ceng'you'zhou'gong'fu'xi'lai 曾有周公祓禊来
'ceng'yu'dong'shan'yue 曾与东山约
'cha'yi'hao'li'miu'qian'li 差以毫厘缪千里
'chan'di'shi'kan'jie 刬地事堪嗟
'chan'die'zhang'juan'fei'quan 劖叠嶂卷飞泉
'chan'zao'ye 蝉噪也
'chang'an'que'zao 长安却早
'chang'bei'er'tong'qiao'huo'ku 长被儿童敲火苦
'chang'bian'bi'yan 长编笔砚
'chang'fu'gui 长富贵
'chang'fu'hou'ren'kan 长付后人看
'chang'gao'shan'liu'shui 怅高山流水
'chang'ge'zi'shen'zhuo 长歌自深酌
'chang'hen'fu'chang'hen 长恨复长恨
'chang'hong'shi'ren'dao'hou'lai 苌弘事人道后来
'chang'ji'bao'yu'han'qing 尝记宝籞寒轻
'chang'jian'you'ran'xiao'er 长见悠然笑耳
'chang'jiao'ren'kan'sha 长教人看杀
'chang'kong'pian'zhou'cheng'xing'lan 长恐扁舟乘兴懒
'chang'kong'shan'sui'wan 怅空山岁晚
'chang'kong'wan'li 长空万里
'chang'nian'dan'jiu'geng'yin'shi 长年耽酒更吟诗
'chang'nian'fu'gui'shu'duo'cai 长年富贵属多才
'chang'nian'gong'e'bin'yun'song 常年宫额鬓云松
'chang'pa'shuo 长怕说
'chang'ping'sheng'gan'dan 怅平生肝胆
'chang'ping'sheng'jiao'you'ling'luo 怅平生交游零落
'chang'pu'zi'zhan'qing'xi'lv 菖蒲自蘸清溪绿
'chang'ren'ji'nan 长忍饥难
'chang'ri'mu'yun'he 怅日暮云合
'chang'shi'hou'ren'qi'duan 长使后人凄断
'chang'shi'si 尝试思
'chang'shi'xiang'dui'liang'san'feng 常时相对两三峰
'chang'si'ci'bei'yan'se'hao 长似慈悲颜色好
'chang'song'shui'jian'cuo'e 长松谁剪嵯峨
'chang'tan'fu'chang'ge 长叹复长歌
'chang'tan'xi'ji'ling'yuan'shang'ji 长叹息脊令原上急
'chang'wei'xi'feng'zuo'zhu 长为西风作主
'chang'xi'shan'jiu'guan 怅溪山旧管
'chang'xiao'tui'zhi'shi 长笑退之诗
'chang'xiao'wo'niu'dai'wu'xing 长笑蜗牛戴屋行
'chang'xie'ge'wu 长携歌舞
'chang'ye'lao'xing'ge'bu'zhu 怅野老行歌不住
'chang'ye'sheng'ge'hai'qi'wen 长夜笙歌还起问
'chang'yi'shang'shan 长忆商山
'chang'yu'bian'hua'yun'yu 长鱼变化云雨
'chang'yu'shao'nian'qi 长与少年期
'chang'zhe'yu'xi'dang'ri'qu 唱着虞兮当日曲
'chao'lai'bai'niao'bei'ren'fei 朝来白鸟背人飞
'chao'lai'cui'pu'ren'yi 朝来翠扑人衣
'chao'lai'lu'jiu'na'kan'zhe 朝来漉酒那堪着
'chao'lai'shan'niao'ti 朝来山鸟啼
'chao'lai'shuang'qi 朝来爽气
'chao'lin'xia 巢林下
'chao'xun'mu'ran 朝熏暮染
'chao'yin'mu'zui 朝吟暮醉
'chao'you'tong'diao 巢由同调
'chao'zhong'cuo'nian'nian'jin'rui'yan'xi'feng 朝中措年年金蕊艳西风
'chao'zhong'cuo'nian'nian'tuan'shan'yuan'qiu'feng 朝中措年年团扇怨秋风
'che'qi'yong'rong 车骑雍容
'chen'ai'ye'zou'xian'yang'dao 尘埃也走咸阳道
'chen'lai'wen'ji 晨来问疾
'chen'man'lan'gan'shui'yi 尘满栏干谁倚
'chen'qu'xi'hu'chun'hui 趁取西湖春会
'chen'sa'yi'ju'ke'lu'chang 尘洒衣裾客路长
'chen'shi'huan 尘世换
'chen'tong'hua'yu 沉痛化余
'chen'tu'ren'yan'ning'ke'yong 尘土人言宁可用
'chen'yuan'ye'he 晨猿夜鹤
'cheng'du'li 称独立
'cheng'nan'dong'ye'ying'lian'ju 城南东野应联句
'cheng'tou'wu'xian'jin'gu 城头无限今古
'cheng'ya'huan'wo'zui'gui'xiu 城鸦唤我醉归休
'chi'bu'shang'kan'feng 尺布尚堪缝
'chi'ci'yu 持此语
'chi'di'ju'min'wu'yi'li 赤地居民无一粒
'chi'jiao'chang'xu 赤脚长须
'chi'jiao'ta'ceng'bing 赤脚踏层冰
'chi'jiao'wei'an'fang'hu'wen 赤脚未安芳斛稳
'chi'jin'xiu 摛锦绣
'chi'jue'si 痴绝似
'chi'shang'zhu'ren 池上主人
'chi'song'zi'nen'yi'sheng'xu 赤松子嫩已生须
'chi'tang'chun'cao'wei'xie 池塘春草未歇
'chi'ya'lao'zai'mo'qi'weng 齿牙牢在莫欺翁
'chi'yi'qi'hai 鸱夷乞骸
'chong'chong'xiang'fei'fu 重重香肺腑
'chong'lai'du'lao 重来杜老
'chong'lai'lou'shang 重来楼上
'chong'lai'song'zhu'yi'pai'huai 重来松竹意徘徊
'chong'ru'jing'yi 宠辱惊疑
'chong'yang'jia'jie 重阳佳节
'chou'chang'hua'yan'shuang'yan'wu 惆怅画檐双燕舞
'chou'chang'li'ma'xing'ren 惆怅立马行人
'chou'hai'sui'wo'shang'gao'lou 愁还随我上高楼
'chou'hong'can'lv'jin'xiao'kan 愁红惨绿今宵看
'chou'jue'bao'bei'kong 愁绝宝杯空
'chou'man'fang'xin 愁满芳心
'chou'nu'er'e'hu'shan'xia'chang'ting'lu 丑奴儿鹅湖山下长亭路
'chou'nu'er'jin'lai'chou'si'tian'lai'da 丑奴儿近来愁似天来大
'chou'nu'er'nian'nian'suo'jin'mei'hua'xiao 丑奴儿年年索尽梅花笑
'chou'xi'ci'shan'an'zai 畴昔此山安在
'chou'xi'meng'deng'tian 畴昔梦登天
'chu'chu'cong'lai'zi'bu'qi 出处从来自不齐
'chu'duan'e'e'tian'yi'zhu 触断峨峨天一柱
'chu'han'huang'jin'gong'qing'yin 楚汉黄金公卿印
'chu'kuang'zi 楚狂子
'chu'liang'gong'zhi'jie 楚两龚之洁
'chu'po'dang'lou'yun'mu'ping 触破当楼云母屏
'chu'que'song'jiang'wang'fei'shi 除却松江枉费诗
'chu'sai'chun'han'you'gan 出塞春寒有感
'chu'xie'cai'cheng'luan 楚些裁成乱
'chuan'dao'zhen'xiao'xi 传到真消息
'chuan'er'zhu 船儿住
'chuan'kun'zhou 穿坤轴
'chuan'wen'zhui'zhao 传闻追诏
'chuan'yu'qu'nong'wen'bian 传语渠侬稳便
'chuan'yu'yi'sheng'ge 串玉一声歌
'chui'bu'duan'xie'yang'yi'jiu 吹不断斜阳依旧
'chui'dao'lan'fang 吹到兰房
'chui'di'nan'lou 吹笛南楼
'chui'yang'ying'duan'an'xi'dong 垂杨影断岸西东
'chun'cao'meng 春草梦
'chun'dong'jiu'qi'feng 春动酒旗风
'chun'feng'bu'ran'bai'zi'xu 春风不染白髭须
'chun'feng'da'xiao'qiao 春风大小乔
'chun'feng'fei'jin'ji'gong'fu 春风费尽几工夫
'chun'feng'kan'shi'ji'qiang'qi 春风看试几枪旗
'chun'feng'lu 春风路
'chun'feng'shi'li'fang'deng'shi 春风十里放灯时
'chun'feng'shi'wan'jia 春风十万家
'chun'feng'zheng'zai'ci'hua'bian 春风正在此花边
'chun'feng'zi'man'yu'huai 春风自满余怀
'chun'geng'lu'kuai'qiu'feng'qi 莼羹鲈脍秋风起
'chun'gui'si'yu'liu'ren 春归似欲留人
'chun'han'you'zi'ru'ci 春寒犹自如此
'chun'ji'ji 春寂寂
'chun'jiang'xue'yi'zhi'mei'xiu 春江雪一枝梅秀
'chun'lai'wei'you'bu'yin'shi 春来未有不阴时
'chun'lao'zhan'zhan'du'fu 春醪湛湛独抚
'chun'ni'di'si'wu'ren'yi 春泥抵死污人衣
'chun'se'nan'liu 春色难留
'chun'shi'mei'xian'jue 春事梅先觉
'chun'shui'xing'yang'ma 春水行秧马
'chun'wei'lao'yi'jing'tai'xie 春未老已惊台榭
'chun'xiao'shui'zhong 春宵睡重
'chun'yi'cai'cong'mei'li'guo 春意才从梅里过
'chun'yi'man'xi'hu 春意满西湖
'chun'yi'qu'guang'jing'sang'ma 春已去光景桑麻
'chun'yu'man 春雨满
'chun'zai'cheng'nan'fang'cao'lu 春在城南芳草路
'chuo'qi'qi'yi 啜其泣矣
'ci'di'ju'ran'xing'sheng 此地居然形胜
'ci'di'pian'yi'zhe'lao'fu 此地偏宜着老夫
'ci'di'qian'cun'xing'yu'le 次第前村行雨了
'ci'di'qian'nian'ceng'wu'hua 此地千年曾物化
'ci'di'tu'qiu'ye 此地菟裘也
'ci'di'wei'kan'gong'zui'yan 次第未堪供醉眼
'ci'duan'ru'he'du'de 此段如何妒得
'ci'hui'bu'ru'gong'rong'zhe 此会不如公荣者
'ci'jun'shu 此君疏
'ci'meng'qian'shui'yuan 此梦倩谁圆
'ci'pian'liao'dang'bin'xi 此篇聊当宾戏
'ci'qing'dou'wei'ni 此情都为你
'ci'ri'lou'tai'ding'nai 此日楼台鼎鼐
'ci'ru'cang'bi 赐汝苍壁
'ci'shan'zheng'rao'dong'li 此山正绕东篱
'ci'shen'wang'shi'hun'rong'yi 此身忘世浑容易
'ci'shen'yi'jue'hun'wu'shi 此身已觉浑无事
'ci'sheng'yu'shi'bai'wu'you 此生于世百无忧
'ci'shi'cheng'che'chuan'shu'xue 此是乘车穿鼠穴
'ci'shi'fei'fen'shuo 此事费分说
'ci'shi'feng'wei 此时风味
'ci'shi'ren'xian 此时人羡
'ci'shi'zhen'shan'jing 此是瑱山境
'ci'tang'zhi'shui'ji'he'qi 此堂之水几何其
'ci'wai'gu'ren'shu 此外故人疏
'ci'xing'jin'xiu'yi 此兴今休矣
'ci'yi'xu'jiao'he'bei'zhi 此意须教鹤辈知
'ci'yi'you'shui'zhi 此意有谁知
'ci'yi'zheng'guan'qu 此意政关渠
'ci'yin'zhe 此隐者
'cong'ci'jiu'han'ming'yue'ye 从此酒酣明月夜
'cong'ci'lan'sheng'hui'chang 从此兰生蕙长
'cong'cong'you'huan 匆匆又换
'cong'jiao'ri'ri'pu'tao'zhang 从教日日蒲桃涨
'cong'jiao'zhen'jiu'qian 从教斟酒浅
'cong'jin'geng'shu'qian'zhong 从今更数千钟
'cong'jin'hua'ying'xia 从今花影下
'cong'jin'ri'ri 从今日日
'cong'jin'san'wan'liu'qian'chang 从今三万六千场
'cong'jin'xiu'si'qu'nian'shi 从今休似去年时
'cong'jin'yi'bu'yi'hui'tou 从今一步一回头
'cong'jin'zhi'shang 从今直上
'cong'jin'zi'niang'gong'geng'mi 从今自酿躬耕米
'cong'jun'yue 从军乐
'cong'lai'tian'di'yi'ti'mi 从来天地一稊米
'cong'lai'ya'xing 从来雅兴
'cong'ren'xian'zi'gong 从人贤子贡
'cong'ta'he'dao 从他喝道
'cong'tou'hui'hen'nan'zhui 从头悔恨难追
'cui'cheng'dui 翠成堆
'cui'gai'ya'qian'ji'bai'zhu 翠盖牙签几百株
'cui'lang'tun'ping'ye 翠浪吞平野
'cui'lian'yun 翠连云
'cui'ping'ping'yuan 翠屏平远
'cui'xiu'lan'gan'nuan 翠袖阑干暖
'cui'yue'shang 催月上
'cui'zao'qing'ping'li 翠藻青萍里
'cui'zhu'zai'cheng'lu 翠竹栽成路
'cui'zi'shan'shui'qi'xiu 萃兹山水奇秀
'cun'bu'ren'jian'bai'chi'lou 寸步人间百尺楼
'cuo'e'jian'ji 嵯峨剑戟
'da'dou'hua'shu'xi'hua'ren 大都花属惜花人
'da'dou'san'wan'liu'qian'chang 大都三万六千场
'da'dou'yi'dian'gong'huang 大都一点宫黄
'da'er'liu'jiang'hai 大而流江海
'da'fang'da'guan'zhi'jia'wei'mian 大方达观之家未免
'da'nan'xiao'nv 大男小女
'da'ru'dou 大如斗
'da'shuai'yi'chun'feng'yu'shi 大率一春风雨事
'da'ze'qing'yun 达则青云
'dai'de'ge'sheng'man'er'lai 带得歌声满耳来
'dai'dou'yu'lin'weng'xi'shuo 待都与邻翁细说
'dai'hang'guo'xi'qiao'ye'ban 待行过溪桥夜半
'dai'hu'qu 带湖去
'dai'huan'qing'chu'bai'fan'lai 待唤青刍白饭来
'dai'qi'ge'yuan'er'ming'yi'lao 待葺个园儿名佚老
'dai'qiong'lin'yan'ba'zui'gui'shi 待琼林宴罢醉归时
'dai'ran'xi'xia'kan 待燃犀下看
'dai'ru'he 待如何
'dai'shang'ceng'lou'wu'qi'li 待上层楼无气力
'dai'shi'fen'jia'chu 待十分佳处
'dai'shuo'yu'jia'ren 待说与佳人
'dai'shuo'yu'qiong'da 待说与穷达
'dai'sui'che 带随车
'dai'tian'nv'san'hua'shi'wen 待天女散花时问
'dai'xi'ba'jiang'shan'tu'hua 待细把江山图画
'dai'zhong'jiao'lian'she'ren'gu 待重教莲社人沽
'dan'chang'feng'hao'hao'song'zhong'qiu 但长风浩浩送中秋
'dan'chuo'qi'qi'yi 但啜其泣矣
'dan'er'zhuang'le 担儿装了
'dan'feng'zhao 丹凤诏
'dan'guo'yan'cai'kan'yi'xiao 但过眼才堪一笑
'dan'huang'gong'yang'xie'er'xiao 淡黄弓样鞋儿小
'dan'ji'de'ba'ling'he'ye 但记得灞陵呵夜
'dan'ji'huai'kong'zi'yi'qiu'qian 但羁怀空自倚秋千
'dan'jiao'he'bo'xiu'can'hai'ruo 但教河伯休惭海若
'dan'nian'lai'he'dai 但年来何待
'dan'qian'bei'kuai'yin 但千杯快饮
'dan'qing'tu'hua 丹青图画
'dan'qing'xi'yi'qu'er'yi 但清溪一曲而已
'dan'que'qiao'ping 丹鹊桥平
'dan'shang'xin'leng'luo'huang'hun 但伤心冷落黄昏
'dan'xi'shi'chong'yang 旦夕是重阳
'dan'xiao'zhi'wu'lu'he'xu 但笑指吾庐何许
'dan'yan'shuai'cao 淡烟衰草
'dan'ying'de'xue'wen'zhou'mian 但赢得靴纹绉面
