'an'hui'jian'cai 安徽建材
'shang'hai'shi'zheng'gong'cheng 上海市政工程
'she'ji'tong'xun 设计通讯
'she'ji'yu'ke'yan 设计与科研
'shen'yang'jian'zhu 沈阳建筑
'shen'yang'jian'zhu'gong'cheng'xue'yuan'xue'bao 沈阳建筑工程学院学报
'shi'dai'jian'zhu 时代建筑
'shi'gong'ji'shu 施工技术
'shi'gong'qi'ye'guan'li 施工企业管理
'shi'jie'di'zhen'gong'cheng 世界地震工程
'shi'jie'jian'zhu 世界建筑
'shi'jie'jian'zhu'dao'bao 世界建筑导报
'shi'nei'she'ji 室内设计
'shi'nei'she'ji'yu'zhuang'xiu 室内设计与装修
'shi'you'hua'gong'jian'zhu'she'ji 石油化工建筑设计
'shi'zheng'gong'cheng 市政工程
'shi'zheng'gong'cheng'guo'wai'dong'tai 市政工程国外动态
'shi'zheng'ji'shu 市政技术
'shi'zheng'jian'she'yu'guan'li 市政建设与管理
'shui'ni 水泥
'shui'ni'ji'shu 水泥技术
'shui'ni'shi'hui 水泥石灰
'si'chuan'jian'cai 四川建材
'si'chuan'jian'zhu 四川建筑
'si'chuan'jian'zhu'ke'xue'yan'jiu 四川建筑科学研究
'su'zhou'cheng'jian'huan'bao'xue'yuan'xue'bao 苏州城建环保学院学报
'tao'ci 陶瓷
'te'zhong'gong'cheng'she'ji'yu'yan'jiu 特种工程设计与研究
'te'zhong'jie'gou 特种结构
'tian'jin'cheng'shi'jian'she'xue'yuan'xue'bao 天津城市建设学院学报
'tian'jin'da'xue'xue'bao 天津大学学报
'tian'jin'jian'she'ke'ji 天津建设科技
'tian'jin'shi'zheng'gong'cheng 天津市政工程
'tie'dao'jian'zhu 铁道建筑
'tong'feng'chu'chen 通风除尘
'tong'ji'da'xue'xue'bao 同济大学学报
'tu'gong'ji'chu 土工基础
'tu'mu'gong'cheng'xue'bao 土木工程学报
'wu'han'cheng'shi'jian'zhu'xue'yuan'xue'bao 武汉城市建筑学院学报
'wu'han'shi'zheng 武汉市政
'xi'an'jian'da'ke'ji 西安建大科技
'xi'an'jian'zhu'ke'ji'da'xue'xue'bao 西安建筑科技大学学报
'xi'bei'jian'zhu'gong'cheng'xue'yuan'xue'bao 西北建筑工程学院学报
'xi'nan'ji'pai'shui 西南给排水
'xi'ning'cheng'jian 西宁城建
'xin'jian'zhu 新建筑
'xin'xing'jian'zhu'cai'liao 新型建筑材料
'yan'shi'li'xue 岩士力学
'yan'shi'li'xue'yu'gong'cheng'xue'bao 岩石力学与工程学报
'yan'tu'gong'cheng'xue'bao 岩土工程学报
'ying'yong'ji'chu'yu'gong'cheng'ke'xue'xue'bao 应用基础与工程科学学报
'yuan'lin 园林
'yun'nan'jian'cai 云南建材
'yun'nan'jian'gong 云南建工
'yun'nan'jian'zhu 云南建筑
'zhe'jiang'jian'zhu 浙江建筑
'zhong'guo'dian'ti 中国电梯
'zhong'guo'huan'jing'ke'xue 中国环境科学
'zhong'guo'ji'shui'pai'shui 中国给水排水
'zhong'guo'jian'cai 中国建材
'zhong'guo'jian'cai'ke'ji 中国建材科技
'zhong'guo'jian'cai'zhuang'bei 中国建材装备
'zhong'guo'jian'zhu'fang'shui'cai'liao 中国建筑防水材料
'zhong'guo'shi'zheng'gong'cheng 中国市政工程
'zhong'guo'tu'mu'shui'li'gong'cheng'xue'kan 中国土木水利工程学刊
'zhong'guo'yuan'lin 中国园林
'zhong'nan'ji'shui'pai'shui 中南给水排水
'zhong'nan'kan'cha 中南勘察
'zhong'zhou'jian'zhu 中州建筑
'zhu'lu'ji'xie'yu'shi'gong'ji'xie'hua 筑路机械与施工机械化
'zhu'zhai'jian'she 住宅建设
'zhu'zhai'ke'ji 住宅科技
'zhuan'wa 砖瓦
'zhuang'shi'zhuang'xiu'tian'di 装饰装修天地
