'a'shuang 阿双
'ma'shun'sha 马顺莎
'ma'xin'hao 马鑫浩
'ma'yan'bin 马彦斌
'ming'yu 明玉
'mo'xiao'man 莫小满
'na'er'bu 那尔布
'na'la'fu'ren 那拉夫人
'na'lan'chun'xue 纳兰淳雪
'ne'qin 讷亲
'nie'yuan 聂远
'pan'shi'qi 潘时七
'peng'jing'fen 彭京粉
'ping'jun'wang 平郡王
'pu'lv'nao 蒲绿闹
'qi'jia'qing'xi 齐佳庆锡
'qian'chen'jie 钱晨洁
'qin'lan 秦岚
'qing'gong'huang'gui'fei 庆恭皇贵妃
'qing'lian 青莲
'ren'qi 任淇
'ren'wan'jing 任婉婧
'rong'fei'gong'nv 容妃宫女
'ru'ping 茹萍
'rui'gui'ren 瑞贵人
'sa'man'tai'tai 萨满太太
'shao'nian'hong'li 少年弘历
'shao'nian'hong'shi 少年弘时
'shao'nian'hong'yan 少年弘曕
'shao'nian'hong'zhou 少年弘昼
'shao'nian'yong'qi 少年永琪
'shao'nv'xian'fei 少女娴妃
'she'shi'man 佘诗曼
'shen'bao'ping 沈保平
'shen'jun'wang 慎郡王
'shen'wei'qi 谌玮琪
'shen'xing'si'zhang'shi 慎刑司掌事
'shi'er'a'ge 十二阿哥
'shi'yu'fei 施予斐
'shi'yu'feng 石玉凤
'shu'jia'huang'gui'fei 淑嘉皇贵妃
'shun'pin 顺嫔
'si'a'ge 四阿哥
'si'wan'ge'ge 思婉格格
'song'chun'li 宋春丽
'su'mao 苏茂
'su'qing 苏青
'sun'ao 孙傲
'sun'di 孙迪
'sun'yi'chen 孙翊晨
'sun'yong 孙勇
'suo'chuo'luo'yu'li 索绰罗玉梨
'tai'hou 太后
'tan'xu 谭旭
'tan'zhuo 谭卓
'tang'jia'tong 唐嘉童
'tang'zi'xin 唐梓馨
'tong'nian'chang'shou 童年常寿
'tong'nian'fu'kang'an 童年福康安
'tong'nian'gao'heng 童年高恒
'tong'nian'gao'ning'xin 童年高宁馨
'tong'nian'shu'shen 童年淑慎
'tong'nian'wei'ying'ning 童年魏璎宁
'tong'nian'yong'qi 童年永琪
'tong'nian'yong'rong 童年永瑢
'tong'nian'yong'yan 童年永琰
'wan'er 婉儿
'wan'gui'ren 婉贵人
'wang'chen'yao 王辰耀
'wang'fei 王菲
'wang'guan'yi 王冠逸
'wang'he'run 王鹤润
'wang'hui'chun 王绘春
'wang'le'qian 王乐谦
'wang'lin 王霖
'wang'mao'lei 王茂蕾
'wang'tian'yi 王天一
'wang'xi 王曦
'wang'xin'hui 王欣慧
'wang'yi'kun 王羿鹍
'wang'yi'zhe 王一哲
'wang'you'li 王友力
'wang'yu'wei 王宇威
'wang'yuan'ke 王媛可
'wang'zhong 王忠
'wei'jia'yu 魏佳玉
'wei'jin'song 魏劲松
'wei'qing'tai 魏清泰
'wei'yan'kan 卫延侃
'wei'ying'luo 魏璎珞
'wei'ying'ning 魏璎宁
'wu'a'ge 五阿哥
'wu'jin'yan 吴谨言
'wu'li'hua 吴利华
'wu'shu'lai 吴书来
'wu'ya'qing'dai 乌雅青黛
'xi'er 喜儿
'xi'niang 喜娘
'xian'fei 娴妃
'xian'fei'gong'nv 娴妃宫女
'xian'fei'niang'niang 娴妃娘娘
'xiang'er 香儿
'xiang'wang 相忘
'xiao'jing'xian'huang'hou 孝敬宪皇后
'xiao'liu'zi 小六子
'xiao'lu'zi 小路子
'xiao'quan'zi 小全子
'xiao'sheng'xian'huang'hou 孝圣宪皇后
'xiao'tong'zi 小童子
'xiao'xian'chun'huang'hou 孝贤纯皇后
'xiao'yi'chun'huang'hou 孝仪纯皇后
'xiao'zhang'zi 小章子
'xiao'zhu'zi 小竹子
'xie'zi'mei 谢子溦
'xin'zhe'ku 辛者库
'xiu'nv'cai'fu 绣女彩福
'xu'bai'hui 徐百卉
'xu'ge'ge 徐格格
'xu'kai 许凯
'xu'xiao'nuo 许晓诺
'xu'yuan 徐源
'xue'luo'xia'de'sheng'yin 雪落下的声音
'yan'mo'mo 严嬷嬷
'yan'zi'hao 严梓豪
'yang'bin 杨斌
'yang'jing'ru 杨净如
'yang'xue 杨雪
'yao'wei'ping 姚未平
'ye'he 叶禾
'ye'tian'shi 叶天士
'yi'pin 怡嫔
'yi'yong 易勇
'yi'zhu 遗珠
'yin'xu 殷旭
'ying'gui'ren 颖贵人
'ying'luo 璎珞
'ying'luo'xiao'jie'jie 璎珞小姐姐
'yong'cheng 永珹
'yong'cheng'ru'mu 永珹乳母
'yong'cong'ru'mu 永琮乳母
'yong'jing'ru'mu 永璟乳母
'yong'qi 永璂
'yong'qi'ru'mu 永璂乳母
'yong'yan 永琰
'yong'zheng'huang'di 雍正皇帝
'yu'gui'ren 愉贵人
'yu'hu 玉壶
'yu'jie 玉洁
'yu'tai'fei 裕太妃
'yu'zhe 于哲
'yuan'chun'wang 袁春望
'yuan'hong 袁宏
'yun'tao 允祹
'yun'xi 允禧
'yun'xiang 云香
'zhang'bin 张彬
'zhang'guan'shi 张管事
'zhang'jia'ni 张嘉倪
'zhang'jia'ru'hong 章佳茹红
'zhang'jie 张婕
'zhang'mo'mo 张嬷嬷
'zhang'ri'hui 张日辉
'zhang'tian'yu 张天宇
'zhang'tian'yun 张天韵
'zhang'ting'ting 张渟渟
'zhang'yi'xi 张译兮
'zhang'yuan'pan 张院判
'zhao'guan'shi 赵管事
'zhao'hua'gong'zhu 昭华公主
'zhao'jun'chang 赵君昌
'zhao'meng'jie 赵梦洁
'zhao'qing 赵庆
'zhen'er 珍儿
'zhen'zhu 珍珠
'zheng'long 郑龙
'zheng'xiao'dong 郑晓东
'zheng'xiao'wan 郑晓婉
'zheng'yun'jie 郑云杰
'zhou'dan'ni 周丹妮
'zhou'jian'hua 周建华
'zhou'yi'sheng 周义晟
'zhuang'ze'xi 庄则熙
'zong'guan'tai'jian 总管太监
'zong'ling 宗令
