'an'fu 暗敷
'jian'she'dan'wei 建设单位
'jian'zhu 建筑
'jian'zhu'gai'kuang 建筑概况
'jian'zhu'wu'fang'lei 建筑物防雷
'jian'zhu'zhu'ti 建筑主体
'jie'di'ji 接地极
'jie'di'xi'tong 接地系统
'jie'gou 结构
'jie'gou'xing'shi 结构形式
'jie'shan'qi 接闪器
'jin'ji'bao'jing'an'niu 紧急报警按钮
'jin'shu'gou'jian 金属构件
'jin'shu'tong'feng'guan 金属通风管
'jin'shu'wu'jia 金属屋架
'jin'shu'wu'mian 金属屋面
'jin'xian 进线
'ju'lv'yi'xi'hu'tao'tong'xin'zu'ran 聚氯乙烯护套铜芯阻燃
'ju'lv'yi'xi'jue'yuan 聚氯乙烯绝缘
'kai'guan 开关
'ke'kao'han'jie 可靠焊接
'kong'dong 孔洞
'kong'tiao'cha'zuo 空调插座
'kuang'jia 框架
'lei'dian'bo'de'qin'ru 雷电波的侵入
'li'qing 沥青
'lian'jie'xian 连接线
'liang'lu 两路
'lin'yu 淋浴
'lou'dian'duan'lu'qi 漏电断路器
'luo'di'an'zhuang 落地安装
'mei'ceng 每层
'men'ci'bao'jing 门磁报警
'mian'ban 面板
'ming'zhuang 明装
'mo'duan'hu'tou 末端互投
'pei'dian'shi 配电室
'pei'dian'xi'tong 配电系统
'pei'xian'gui 配线柜
'ping'fang'mi 平方米
'ping'mian'tu 平面图
'pu'tong 普通
'qi'ju'shi'yan'wu'bao'jing 起居室烟雾报警
'qian'qiang 嵌墙
'quan'bu'fu'he 全部负荷
'ran'qi'biao 燃气表
'ran'qi'xie'lou'bao'jing 燃气泄漏报警
're'du'xin'bian'gang 热镀锌扁钢
're'du'xin'yuan'gang 热镀锌圆钢
're'shui'biao 热水表
'san'ji'fu'he 三级负荷
'san'lei 三类
'she'bei'an'zhuang 设备安装
'she'ji'fan'wei 设计范围
'she'ji'ren'wu'shu 设计任务书
'she'ji'yao'qiu 设计要求
'she'ji'yi'ju 设计依据
'she'you 设有
'shen'pi'yi'jian 审批意见
'shi'zheng 市政
'shu'gan'shi 树干式
'shu'yu 属于
'shuang'dian'yuan 双电源
'shui'xiang'jian 水箱间
'tao'guan 套管
'ti'gong 提供
'tu'xiang'qing'xi'du 图象清晰度
'wang'ge 网格
'wang'luo 网络
'wang'luo'bu'xian'xi'tong 网络布线系统
'wang'luo'she'bei 网络设备
'wang'xian 网线
'wei'sheng'jian 卫生间
'wei'yu 位于
'wu'ding 屋顶
'xi'tong'tu 系统图
'xian'jiao'hun'ning'tu'lou'ban 现浇混凝土楼板
'xian'xing'zhu'yao'biao'zhun 现行主要标准
'xiang'guan 相关
'xiang'guan'zhuan'ye 相关专业
'xiao'fang 消防
'xiao'fang'dian'ti 消防电梯
'xiao'qu'guan'li'zhong'xin 小区管理中心
'xuan'ze 选择
'yi'ji'fu'he 一级负荷
'yi'lei 一类
'yin'lai 引来
'yin'ru'duan 引入端
'yin'xia'xian 引下线
'yong'dian 用电
'yong'dian'zhi'biao 用电指标
'you'xian'dian'shi'xi'tong 有线电视系统
'yu'gang 浴缸
'yu'liu 预留
'zhao'ming'fu'he 照明负荷
'zhao'ming'gan'xian'xuan 照明干线选
'zhi'lu 支路
'zhu'guan'bu'men 主管部门
'zhu'hu'pei'xian'xiang 住户配线箱
'zhu'jin 主筋
'zhu'ming 注明
'zhu'zhai 住宅
'zhu'zhai'she'ji'gui'fan 住宅设计规范
'zhu'zhai'xiao'qu 住宅小区
'zhu'zhai'zhao'ming 住宅照明
'zong'deng'dian'wei'lian'jie 总等电位联结
'zong'jian'zhu'mian'ji 总建筑面积
