'ai'de'zhang'men'ren 爱的掌门人
'dou'yu 斗鱼
'dou'yu 鬥魚
'du'gu'shen'jian 独孤神剑
'du'wang'tian'zun 赌王天尊
'e'ling 恶灵
'e'mo'zai'shen'bian 恶魔在身边
'e'nv'a'chu 恶女阿楚
'e'zuo'ju'wen 恶作剧吻
'e'zuo'ju'zhi'wen 恶作剧之吻
'er'fen'zhi'yi'yuan'fen 二分之一缘分
'fa'ting'qiao'jia'ren 法庭俏佳人
'fa'wang'rou'qing 法网柔情
'fa'zheng'xian'feng 法证先锋
'fan'jian'xin'xian'ren 凡间新仙人
'fang'qian'wu'hou 房前屋后
'fang'yang'de'xing'xing 放羊的星星
'fei'chang'hei'bai'dao 非常黑白道
'fei'dao'you'jian'fei'dao 飞刀又见飞刀
'fei'hua'zhu'yue 飞花逐月
'fei'long'zai'tian 飞龙在天
'fei'yan'jing'long 飞燕惊龙
'fen'hong'nv'lang 粉红女郎
'feng'shen'bang 封神榜
'feng'yun'zhi'xiong'ba'tian'xia 风云之雄霸天下
'feng'zhong'zhan'shi 风中战士
'feng'zi'cheng'hun 奉子成婚
'fu'hao'hai'wan'zhi'zun'jia'yuan 富豪海湾至尊家缘
'fu'lu'shou'san'xing'bao'xi 福禄寿三星报喜
'ge'dou'tian'wang 格斗天王
'ge'li'cha'guan'you'zhi'gui 隔离差馆有只鬼
'gong'fu'zu'qiu 功夫足球
'gong'zhu'xiao'mei 公主小妹
'gou'yu'lang'de'shi'jian 狗与狼的时间
'gu'lian'hua 孤恋花
'gui'zhang'fu 鬼丈夫
'guo'guang'yi'xiao 国光异校
'guo'ji'xing'jing 国际刑警
'ha'la'jiao'fu 哈拉教父
'hai'ou'fei'chu'cai'yun'fei 海鸥飞处彩云飞
'hai'tun'ai'shang'mao 海豚愛上猫
'hai'tun'wan'lian'ren 海豚湾恋人
'hai'zi'you'ming'tian 孩子有明天
'hao'mei'li'zhen'suo 好美丽诊所
'hao'xiao'zi'zhi'san 好小子之三
'hao'xiao'zi'zhi'you'xia'er 好小子之游侠儿
'hei'bing 黑冰
'hei'dong 黑洞
'hei'tang'ma'qi'duo 黑糖玛奇朵
'hong'ying'su 红罂粟
'hong'zhi'zhu 红蜘蛛
'hu'po'qing'long 琥珀青龙
'hua'yang'shao'nian'shao'nv 花样少年少女
'huai'ai'qing 坏爱情
'huai'yu'gong'zhu 怀玉公主
'huan'hua'xi'jian'lu 浣花洗剑录
'huan'huan'ai 换换爱
'huan'jun'ming'zhu 还君明珠
'huan'le'man'wu 欢乐满屋
'huan'tian'xi'di'qi'xian'nv 欢天喜地七仙女
'huan'ying'shen'zhen 幻影神针
'huan'zhu'ge'ge 还珠格格
'huang'jia'tie'ma 皇家铁马
'huang'shou'pa 黄手帕
'hui'wang 灰网
'huo'dong'ge 霍东阁
'huo'tou'zhi'duo'xing 伙头智多星
'huo'xian'ren'wu 火线任务
'ji'dao'xue'yuan 极道学园
'ji'du'xi'yang'hong 几度夕阳红
'ji'su'chuan'shuo 急速传说
'ji'su'chuan'shuo 极速传说
'ji'xiang'ren'wu 吉祥任务
'jia'cai'wan'guan 家财万贯
'jia'cuo'ma 嫁错妈
'jia'mian'tian'shi 假面天使
'jia'you'bao'bei 家有宝贝
'jia'you'fei'fei 家有菲菲
'jia'you'jin'shun 加油金顺
'jia'you'jiu'feng 家有九凤
'jia'you'xian'qi'di'yi'bu 家有仙妻第一部
'jian'dao'shi'tou'bu 剪刀石头布
'jian'mo'du'gu'qiu'bai 剑魔独孤求败
'jian'shen 剑神
'jian'xiao'jiang'hu 剑啸江湖
'jiang'hu'qi'xia'zhuan'zhi'mu'lan'qiu'ju 江湖奇侠传之木兰秋菊
'jiang'shi'dao'zhang 僵尸道长
'jin'bu'jin 禁不禁
'jin'jian'diao'ling 金剑雕翎
'jin'pai'lv'shi 金牌律师
'jin'se'mo'tian'lun 金色摩天轮
'jin'she'jian 金蛇剑
'jing'hua'yan'yun 京华烟云
'jing'wu'men 精武门
'jing'yi'chuan'qi 惊异传奇
'jing'zhong'ren 镜中人
'jiu'long'chuan'shuo 九龙传说
'jue'dai'shuang'jiao 绝代双骄
'jue'dai'shuang'xiong 绝代双雄
'ka'fei'wang'zi 咖啡王子
'kan'le'you'kan 看了又看
'kang'xi'wang'chao 康熙王朝
'kuang'ai'long'juan'feng 狂爱龙卷风
'lan'se'feng'bao 蓝色风暴
'lang'du'hua 狼毒花
'lang'man'man'wu 浪漫满屋
'lao'you'gui'gui 老友鬼鬼
'lao'you'ji 老友记
'li'ke'qian'nian'chong 力克千年虫
'lian'ai'nv'wang 恋爱女王
'lian'hua'zheng'ba 莲花争霸
'liang'ge'men'pai'yi'ge'jia 两个门牌一个家
'liang'nv'lang 靓女郎
'liang'qi'shi'dai 两妻时代
'ling'yi'zhen'ji'dang'an 灵异侦缉档案
'liu'lang'ji 流浪记
'liu'xing'hua'yuan 流星花园
'long'feng'en'chou'lu 龙凤恩仇录
'long'feng'qi'yuan 龙凤奇缘
'lu'ding'ji 鹿鼎记
'luan'shi'bu'liao'qing 乱世不了情
'luo'shen 洛神
'lv'guang'sen'lin 绿光森林
'ma'la'yi'jia'qin 麻辣一家亲
'ma'que'ai'shang'feng'huang 麻雀爱上凤凰
'man'qing'shi'san'huang'chao'zhi'wei'cheng'zheng'ba 满清十三皇朝之危城争霸
'mei'fei'se'wu 眉飞色舞
'mei'hua'lao 梅花烙
'mei'hua'san'nong'zhi'shui'yun'jian 梅花三弄之水云间
'mei'li'chuan'shuo 美丽传说
'mei'li'jia'ting 美丽家庭
'mei'wei'guan'xi 美味关系
'mei'wei'qing'yuan 美味情缘
'mei'wei'tian'wang 美味天王
'meng'li'hua'kai 梦里花开
'meng'pin'tu 梦拼图
'meng'zai'shou'li 梦在手里
'mi'huan'te'jing 迷幻特警
'mi'jia'le'zhi'wu 米迦勒之舞
'mi'ke 米可
'mi'tao'nv'hai 蜜桃女孩
'mi'yun'er'shi'tian 迷云二十天
'ming'yun'kuai'che 命运快车
'mo'dai'huang'sun 末代皇孙
'mo'jian'sheng'si'qi 魔剑生死棋
'mo'nv'you'xi 魔女幼熙
'mo'shu'qi'yuan 魔术奇缘
'mu'gui'ying'da'po'tian'men'zhen 穆桂英大破天门阵
'mu'gui'ying'shi'er'gua'fu'zheng'xi 穆桂英十二寡妇征西
'nan'cai'nv'mao 男才女貌
'nan'ding'ge'er 男丁格尔
'nan'ren'wu'jin 男人勿近
'ni'nv 逆女
'nie'zi 孽子
'nu'er'ha'chi 努尔哈赤
'nv'ren'wu'yi'zuo 女人唔易做
'pi'li'bu'dai'xi 霹雳布袋戏
'pi'li'hong'chun 霹雳红唇
'pi'li'huang'chao 霹雳皇朝
'pi'li'huang'chao'zhi'long'cheng'sheng'ying 霹雳皇朝之龙城圣影
'pi'li'huang'chao'zhi'long'cheng'sheng'ying 霹靂皇朝之龍城聖影
'pi'li'huang'chao'zhi'zha'yan'shi 霹靂皇朝之铡龑史
'pi'li'huang'long'ji 霹雳皇龙纪
'pi'li'jie'zhi'mo'shi'lu 霹雳劫之末世录
'pi'li'jie'zhi'she'cheng'xue'yin 霹雳劫之阇城血印
'pi'li'jiu'huang'zuo 霹雳九皇座
'pi'li'kai'jiang'ji 霹雳开疆纪
'pi'li'mi'cheng 霹雳谜城
'pi'li'qi'xiang 霹雳奇象
'ping'zong'xia'ying 萍踪侠影
'po'jian'er'chu 破茧而出
'pu'shui'yuan'jia 扑水冤家
'qi'huan'ren'shi'jian 奇幻人世间
'qi'xia'wu'yi 七侠五义
'qian'nv'you'hun 倩女幽魂
'qian'qiu'jia'guo'meng 千秋家国梦
'qian'shou 牵手
'qiang'shen 枪神
'qiang'wei'zhi'lian 蔷薇之恋
'qin'qin'xiao'ba 亲亲小爸
'qin'shi'huang 秦始皇
'qin'shi'huang'yu'a'fang'nv 秦始皇与阿房女
'qing'chun'liu'ren'xing 青春六人行
'qing'ding'ai'qing'hai 情定爱情海
'qing'gong'qi'shu'lu 清宫气数录
'qing'lai'yun'zhuan 情来运转
'qing'mo'si'da'qi'an 清末四大奇案
'qing'ren 情人
'qing'ren'kan'zhao 情人看招
'qing'she'bai'she 青蛇白蛇
'qing'shen'shen'yu'meng'meng 情深深雨濛濛
'qing'si'wan'lv 情丝万缕
'qiu'hun'shi'wu'suo 求婚事务所
'ran'shao'tian'tang 燃烧天堂
'rang'ai'zi'you 让爱自邮
're'qing'zhong'xia 热情仲夏
'ren'wo'ao'you 任我遨游
'ren'zai'bian'yuan 人在边缘
'ren'zai'lv'tu 人在旅途
'ruan'ling'yu 阮玲玉
'sai'wai'qi'xia'chuan 塞外奇侠传
'san'you'er'fen'zhi'yi'nv'ren 三又二分之一女人
'sao'bing'zhe 扫冰者
'shang'ban'nv'lang 上班女郎
'shang'hai'zhi'lian 上海之恋
'shao'lin'yi'shi'hong'xi'guan 少林义士洪熙官
'shao'nian'ka'bu'qi'nuo 少年卡布奇诺
'shao'nian'liang'zhu 少年梁祝
'shao'nian'tian'zi 少年天子
'shao'nian'zhang'san'feng 少年张三丰
'shen'qing'mi'ma 深情密码
'sheng'leng'de'xing'guang 圣棱的星光
'shi'ba'jin'bu'jin 十八禁不禁
'shi'ba'sui'de'yue'ding 十八岁的约定
'shi'ba'sui'sui'de'yue'ding 十八岁岁的约定
'shi'lian'gao'gen'xie 失恋高跟鞋
'shi'san'tai'bao 十三太保
'shi'shen 食神
'shu'nv'ri'ji 淑女日记
'shuang'bi'chuan'shuo 双璧传说
'shuang'tian'zhi'zun 双天至尊
'shuang'xiang'pao 双响炮
'shui'hu'wu'jian'dao 水浒无间道
'shui'yue'chuan'qi 水月传奇
'shui'yue'dong'tian 水月洞天
'shui'yun'jian 水云间
'si'ji'da'lao 司机大佬
'si'shi'wu'du'tian'kong'xia 四十五度天空下
'si'wang'dao'ji'shi 死亡到计时
'sui'de'ma'ma 岁的妈妈
'sui'xin'suo'yu 随心所欲
'sun'zi'bing'fa'zhi'zhan'guo'chuan'qi 孙子兵法之战国传奇
'ta'cong'hai'shang'lai 她从海上来
'tai'yang'de'nv'er 太阳的女儿
'tang'tai'zong'li'shi'min 唐太宗李世民
'tang'xin'feng'bao 溏心风暴
'te'jing'chu'ji 特警出击
'tian'di'shen'jian 天地神剑
'tian'di'ying'hao 天地英豪
'tian'guo'de'jia'yi 天国的嫁衣
'tian'kong'zhi'cheng 天空之城
'tian'mi'jian'die 甜蜜间谍
'tian'ruo'you'qing 天若有情
'tian'shang'fan'jian 天上凡间
'tian'sheng'jue'pei'nao'fan'tian 天生绝配闹翻天
'tian'shi'qing'ren 天使情人
'tian'shi'wo'ai'ni 天使我爱你
'tian'shi'zhong'kui'zhi'qian'nv'qing'chou 天师钟馗之倩女情仇
'tian'tang'lai'de'hai'zi 天堂来的孩子
'tian'xia'di'yi'wei 天下第一味
'tian'xia'wu'shuang 天下无双
'tian'xie'xing'dong 天蝎行动
'tian'yu'mo'jie 天宇魔劫
'tian'yu'xiao'long'ji 天宇啸龙记
'tie'xue'nan'er 铁血男儿
'ting'yuan'shen'shen 庭院深深
'tong'shi'san'fen'qin 同事三分亲
'tou'tian'huan'ri 偷天换日
'tou'xin 偷心
'tu'si'nan'zhi'wen 吐司男之吻
'tuo'qiang'shi'jie 陀枪师姐
'wan'li'chang'qing 万里长情
'wang'zi'bian'qing'wa 王子变青蛙
'wei'na'si'zhi'lian 维纳斯之恋
'wei'xian'ren'wu 危险人物
'wo'ai'mei'gui'yuan 我爱玫瑰园
'wo'de'chong'wu'lao'gong 我的宠物老公
'wo'de'er'zi'shi'lao'da 我的儿子是老大
'wo'de'mi'mi'hua'yuan 我的秘密花园
'wo'de'ming'zi'jiao'jin'san'shun 我的名字叫金三顺
'wo'de'xiong'di'jie'mei 我的兄弟姐妹
'wo'de'ye'man'wang'fei 我的野蛮王妃
'wo'he'chun'tian'you'ge'yue'hui 我和春天有个约会
'wo'he'jiang'shi'you'ge'yue'hui 我和僵尸有个约会
'wo'lai'zi'chao'zhou 我来自潮州
'wo'men'jie'hun'ba 我们结婚吧
'wo'shi'nan'zi'han 我是男子汉
'wo'wai'mu'bu'shi'ren 我外母不是人
'wo'yao'bian'cheng'ying'shi'zi 我要变成硬柿子
'wo'zhi'zai'hu'ni 我只在乎你
'wu'chu'cai'hong 舞出彩虹
'wu'dang 武当
'wu'dong'qi'ji 舞动奇迹
'wu'lin'wai'zhuan 武林外传
'wu'lin'xing'yun'xing 武林幸运星
'wu'long'da'zhuang'shi 乌龙大状师
'wu'yan'de'ai 无炎的爱
'xi'men'wu'hen'zhi'wu'hen'lei 西门无恨之无恨泪
'xi'wang'zhi'wang 戏王之王
'xia'wa'de'you'huo 夏娃的诱惑
'xian'nv'zhai'ji'pei 鲜女宅急配
'xian'qi'liang'mu 闲妻靓母
'xiang'shuai'chuan'qi 香帅传奇
'xiang'yue'mo'jie 相约魔界
'xiao'hai'bu'ben 小孩不笨
'xiao'xia'long'xuan'feng 小侠龙旋风
'xiao'zhuang'mi'shi 孝庄秘史
'xin'bai'niang'zi'chuan'qi 新白娘子传奇
'xin'dong'lie'che 心动列车
'xin'gui'gong'zi 新贵公子
'xin'long'men'ke'zhan 新龙门客栈
'xin'niang'sui 新娘岁
'xin'shu'shan'jian'xia'zhuan 新蜀山剑侠传
'xin'wang'zhui'xiong 心网追凶
'xing'jing'er'ren'zu 刑警二人组
'xing'ping'guo'le'yuan 星苹果乐园
'xing'shan'shan 星闪闪
'xing'xing'zhi'wo'xin 星星知我心
'xing'yuan 星愿
'xue'ke 雪珂
'xue'shan'fei'hu 雪山飞狐
'xue'tian'shi 雪天使
'xue'xi'jin'dao 血玺金刀
'xun'qin'ji 寻秦记
'xun'yi'cao 薰衣草
'ya'qi 哑妻
'ya'zhou'ying'xiong 亚洲英雄
'yan'yu'jiang'nan 烟雨江南
'yan'yu'meng'meng 烟雨濛濛
'ye'man'qing'jia 野蛮亲家
'yi'dai'huang'hou'da'yu'er 一代皇后大玉儿
'yi'dai'nv'huang 一代女皇
'yi'jian'mei 一剪梅
'yi'lian'you'meng 一帘幽梦
'yi'men'ying'lie'mu'gui'ying 一门英烈穆桂英
'yi'qi'he'cai 一起喝采
'yi'shen 医神
'yi'wu'fan'gu 义无反顾
'yin'cha'yang'cuo 阴差阳错
'yin'hu 银狐
'ying'xiong 英雄
'ying'ye 樱野
'yong'bao'ming'tian 拥抱明天
'yong'heng'guo'du 永恒国度
'yong'le'da'di 永乐大帝
'yong'zhe'wu'ju 勇者无惧
'you'fu 有福
'you'jian'ju'hua'xiang 又见橘花香
'you'long'jing'feng 游龙惊凤
'yu'guan'yin 玉观音
'yu'luan'jue'qing'qi 欲乱绝情妻
'yu'wang'du'shi 欲望都市
'yu'yong'xian'ren 御用闲人
'yuan'gu'ru'qin 远古入侵
'yuan'lai'zi'you'ji 缘来自有机
'yuan'wei'de'xia'tian 原味的夏天
'yue'liang'de'mi'mi 月亮的秘密
'yue'yu 越狱
'zai'jian'a'lang 再见阿郎
'zai'jian'ying'huo'chong 再见萤火虫
'zhai'xing 摘星
'zhan'shen 战神
'zhen'guan'chang'ge 贞观长歌
'zhen'ming'tian'nv 真命天女
'zhen'ming'tian'zi 真命天子
'zhen'tan'wu'yu 侦探物语
'zheng'ba'chuan'qi 争霸传奇
'zhi'zun'bo'li'xie 至尊玻璃鞋
'zhi'zun'hong'yan 至尊红颜
'zhong'guo'shi'li'hun 中国式离婚
'zhong'hua'ying'xiong 中华英雄
'zhong'hua'ying'xiong'zhi'zhong'hua'ao'jue 中华英雄之中华傲决
'zhong'ji'yi'ban 终极一班
'zhong'ji'yi'jia 终极一家
'zhu'ge'liang 诸葛亮
'zhu'zuo'bian'zhu'you'bian 住左边住右边
'zhu'zuo'bian'zhu'you'bian'zhi'quan'min'pin'xing'fu 住左边住右边之全民拼幸福
'zhuan'jiao'yu'dao'ai 转角遇到爱
'zhuang'qiu'xiao'zi 撞球小子
'zhui'feng'shao'nian 追風少年
'zi'jin'zhi'dian 紫禁之巅
'zi'teng'lian 紫藤恋
'zong'heng'tian'xia 纵横天下
'zou'lu'xin'lang'ge 走路新郎哥
'zuan'shi'qing'yuan 钻石情缘
