'an'yong'chang 安泳畅
'zhang'tai'lei 张太雷
'zhang'tian'ai 张天爱
'zhang'xue'liang 张学良
'zhang'yi'xing 张艺兴
'zhang'you'hao 张宥浩
'zhang'zong'xun 张宗逊
'zhang'zuo'lin 张作霖
'zhao'fu'sheng 赵福生
'zhao'ning'yu 赵宁宇
'zhao'yan'song 赵岩松
'zheng'kai 郑恺
'zheng'yuan'chang 郑元畅
'zhong'fu 仲甫
'zhong'hong 仲弘
'zhong'xie 仲澥
'zhou'dong'yu 周冬雨
'zhou'en'lai 周恩来
'zhou'yi'qun 周逸群
'zhou'yi'wei 周一围
'zhu'dai'zhen 朱代珍
'zhu'de 朱德
'zhu'jian'de 朱建德
'zhu'ya'wen 朱亚文
'zi'ren 子任
