'ao'de'sai 奥德赛
'feng'kuang'lun'hua'zhen'xian 疯狂轮滑阵线
'gong'lu'su'hua'shi'jie'jin'biao'sai 公路速滑世界锦标赛
'gong'sha 弓刹
'gu'ding'jiao'huai 固定脚踝
'guo'ji'lun'hua'lian'he'hui 国际轮滑联合会
'guo'zhuang 过桩
'guo'zhuang'zhuan 过桩转
'han'bing'yun'dong 旱冰运动
'heng'xiang'yong'li 横向用力
'hou'gong'sha 后弓刹
'hu'zhu'huai'gu 护住踝骨
'hua'ba 画八
'hua'xing'fang'fa 滑行方法
'hua'xing'ji'chu 滑行基础
'hua'xing'ji'shu 滑行技术
'hua'yang'lun'hua 花样轮滑
'hua'yang'lun'hua'xie 花样轮滑鞋
'hui'fu 会服
'ji'rou'li'liang 肌肉力量
'ji'xian 极限
'ji'xian'lun'hua 极限轮滑
'jin'dao 劲道
'jing'sai'xiang'mu 竞赛项目
'jing'zheng'xing 竞争性
'ka'fei'hu 咖啡壶
'ka'fei'hu'tiao 咖啡壶跳
'lian'xi'fang'fa 练习方法
'liu'liu 溜溜
'lun'hua 轮滑
'lun'hua'ai'hao'zhe 轮滑爱好者
'lun'hua'bao 轮滑包
'lun'hua'chang 轮滑场
'lun'hua'qiu 轮滑球
'lun'hua'xie 轮滑鞋
'lun'hua'yun'dong 轮滑运动
'lun'hua'zhi'shi 轮滑知识
'lun'zi 轮子
'ma'li 玛丽
'ma'li'sha 玛丽刹
'ma'li'zhuan 玛丽转
'meng'te'le 蒙特勒
'mi'gao 米高
'mo'xi'ge 墨西哥
'mo'xi'ge'ren 墨西哥人
'nei'dan 内胆
'nei'gui'sha 内规刹
'nei'xie 内蟹
'ni'er'sen 尼尔森
'pan'teng 攀藤
'piao'yi 飘移
'piao'yi 漂移
'piao'yi'lei 飘移类
'piao'yi'lei 漂移类
'ping'di'hua'shi 平地花式
'ping'heng'neng'li 平衡能力
'ping'hua 平花
'qi'ta'lei 其他类
'qu'wei'xing 趣味性
'sha'che 刹车
'shang'xie 上鞋
'shang'zhuang 上桩
'shen'qu'dong'zuo 伸屈动作
'shua'jie 刷街
'shua'xing'hai 刷星海
'shuang'jiao'zhuan 双脚转
'shuang'lun'nei'xie 双轮内蟹
'shuang'lun'zhuang 双轮装
'shuang'pai 双排
'shuang'pai'lun 双排轮
'shuang'pai'lun'hua 双排轮滑
'shuang'pai'lun'hua'xie 双排轮滑鞋
'shuang'pai'lun'lun'hua'xie 双排轮轮滑鞋
'shuang'sha 双刹
'si'lun'liu'bing'yun'dong 四轮溜冰运动
'su'du'lun'hua 速度轮滑
'su'du'lun'hua'xie 速度轮滑鞋
'su'zhuang 速桩
'suo'luo'men 所罗门
'ti'yu'xiang'mu 体育项目
'ti'zhong 提踵
'tian'e 天鹅
'tian'e'xie 天鹅蟹
'tian'e'zhuan 天鹅转
'tian'guo 天国
'tiao'yue'lei 跳跃类
'wai'gui'sha 外规刹
'wo'er'te 沃尔特
'xiang'ce'deng 向侧蹬
'xiang'ce'yong'li 向侧用力
'xiao'huang'xiang 小黄箱
'xiao'tian'e 小天鹅
'xie'bang 鞋帮
'xie'yao 鞋腰
'xiu'xian 休闲
'xiu'xian'lun'hua 休闲轮滑
'xuan'er 旋二
'xuan'er'jia'qiang'ban 旋二加强版
'xuan'feng'er'hao 旋风二号
'xuan'feng'er'hao'jia'qiang'ban 旋风二号加强版
'xuan'ze'fang'fa 选择方法
'xuan'zhuan'lei 旋转类
'xue'xi'lun'hua 学习轮滑
'yi'da'li 意大利
'yi'da'li'ren 意大利人
'yi'dong'zhong'xin 移动重心
'yuan'gui'sha 圆规刹
'zai'hua'xing'zhong 在滑行中
'zai'yun'dong'zhong 在运动中
'zhang'wo'ping'heng 掌握平衡
'zheng'jian 正剪
'zheng'que'dun'zi 正确蹲姿
'zheng'she 正蛇
'zheng'yu 正鱼
'zhou'cheng 轴承
'zhu'tan 竹炭
'zhuang'dian 桩点
'zhuang'shang 桩上
