'a'wei 阿魏
'he'zi 诃子
'he'zi'rou 诃子肉
'hei'dou 黑豆
'hei'zhi'ma 黑芝麻
'hei'zhong'cao'zi 黑种草子
'hong'da'ji 红大戟
'hong'dou'kou 红豆蔻
'hong'fen 红粉
'hong'hua 红花
'hong'jing'tian 红景天
'hong'lian 洪连
'hong'qi 红芪
'hong'shen 红参
'hou'pu 厚朴
'hou'pu'hua 厚朴花
'hou'zao 猴枣
'hu'bei'bei'mu 湖北贝母
'hu'huang'lian 胡黄连
'hu'ji'sheng 槲寄生
'hu'jiao 胡椒
'hu'lu'ba 胡芦巴
'hu'po 琥珀
'hu'tao'ren 胡桃仁
'hu'zhang 虎杖
'hua'jiao 花椒
'hua'ju'hong 化橘红
'hua'rui'shi 花蕊石
'hua'shan'can 华山参
'hua'shi 滑石
'hua'shi'fen 滑石粉
'huai'hua 槐花
'huai'hua'tan 槐花炭
'huai'jiao 槐角
'huang'bai 黄柏
'huang'bai'tan 黄柏炭
'huang'hei'xiao'ban'mao 黄黑小斑蝥
'huang'jie'zi 黄芥子
'huang'jing 黄精
'huang'lian 黄连
'huang'lian'pian 黄连片
'huang'qi 黄芪
'huang'qin 黄芩
'huang'qin'pian 黄芩片
'huang'shan'yao 黄山药
'huang'shu'kui'hua 黄蜀葵花
'huang'teng 黄藤
'huo'ma'ren 火麻仁
'ji'gu'cao 鸡骨草
'ji'guan'hua 鸡冠花
'ji'guan'hua'tan 鸡冠花炭
'ji'li 蒺藜
'ji'nei'jin 鸡内金
'ji'xing'zi 急性子
'ji'xue'cao 积雪草
'ji'xue'teng 鸡血藤
'jiang'ban'xia 姜半夏
'jiang'can 僵蚕
'jiang'cao'guo'ren 姜草果仁
'jiang'hou'pu 姜厚朴
'jiang'huang 姜黄
'jiang'huang'lian 姜黄连
'jiang'xiang 降香
'jiang'zhu'ru 姜竹茹
'jiao'bing'lang 焦槟榔
'jiao'dao'ya 焦稻芽
'jiao'gu'ya 焦谷芽
'jiao'mai'ya 焦麦芽
'jiao'zhi'zi 焦栀子
'jie'geng 桔梗
'jie'zi 芥子
'jin'deng'long 锦灯笼
'jin'fei'cao 金沸草
'jin'gu'cao 筋骨草
'jin'guo'lan 金果榄
'jin'long'dan'cao 金龙胆草
'jin'meng'shi 金礞石
'jin'qian'bai'hua'she 金钱白花蛇
'jin'qian'cao 金钱草
'jin'qiao'mai 金荞麦
'jin'tie'suo 金铁锁
'jin'yin'hua 金银花
'jin'ying'zi 金樱子
'jin'ying'zi'rou 金樱子肉
'jing'da'ji 京大戟
'jing'jie 荆芥
'jing'jie'sui 荆芥穗
'jing'jie'sui'tan 荆芥穗炭
'jing'jie'tan 荆芥炭
'jing'shan'zha 净山楂
'jiu'bi'ying 救必应
'jiu'cai'zi 韭菜子
'jiu'cong'rong 酒苁蓉
'jiu'dang'gui 酒当归
'jiu'ge'jie 酒蛤蚧
'jiu'huang'jing 酒黄精
'jiu'huang'lian 酒黄连
'jiu'li'xiang 九里香
'jiu'qi'she 酒蕲蛇
'jiu'she'tui 酒蛇蜕
'jiu'wu'shao'she 酒乌梢蛇
'jiu'xi'xian'cao 酒豨莶草
'jiu'xiang'chong 九香虫
'jiu'xu'duan 酒续断
'jiu'zhi'feng'jiao 酒制蜂胶
'ju'he 橘核
'ju'hong 橘红
'ju'hua 菊花
'ju'ju 菊苣
'juan'bai 卷柏
'juan'bai'tan 卷柏炭
'jue'ming'zi 决明子
'ke'teng'zi 榼藤子
'ku'di'ding 苦地丁
'ku'lian'pi 苦楝皮
'ku'mu 苦木
'ku'shen 苦参
'ku'xing'ren 苦杏仁
'ku'xuan'shen 苦玄参
'kuan'dong'hua 款冬花
'kun'bu 昆布
'la'jiao 辣椒
'lai'fu'zi 莱菔子
'lan'bu'zheng 蓝布正
'lang'du 狼毒
'lao'guan'cao 老鹳草
'lei'wan 雷丸
'li'zhi'he 荔枝核
'lian'fang 莲房
'lian'fang'tan 莲房炭
'lian'qian'cao 连钱草
'lian'qiao 连翘
