'a'li'bu'ge 阿里不哥
'jie'min'di 节闵帝
'jin'ai'di 晋哀帝
'jin'ai'hou 晋哀侯
'jin'an'di 晋安帝
'jin'cheng'di 晋成帝
'jin'cheng'gong 晋成公
'jin'cheng'hou 晋成侯
'jin'chu'gong 晋出公
'jin'dao'gong 晋悼公
'jin'ding'gong 晋定公
'jin'e'hou 晋鄂侯
'jin'fei'di 晋废帝
'jin'gong'di 晋恭帝
'jin'hou 晋侯
'jin'huai'di 晋怀帝
'jin'huan'gong 晋桓公
'jin'hui'di 晋惠帝
'jin'hui'gong 晋惠公
'jin'jing'gong 晋静公
'jin'jing'gong 晋敬公
'jin'jing'gong 晋景公
'jin'jing'hou 晋靖侯
'jin'kang'di 晋康帝
'jin'li'gong 晋厉公
'jin'li'hou 晋厉侯
'jin'lie'gong 晋烈公
'jin'ling'gong 晋灵公
'jin'min'di 晋愍帝
'jin'min'gong 晋闵公
'jin'ming'di 晋明帝
'jin'mu'di 晋穆帝
'jin'mu'hou 晋穆侯
'jin'ping'gong 晋平公
'jin'qing'gong 晋顷公
'jin'shang'shu 晋殇叔
'jin'tang'shu 晋唐叔
'jin'wen'gong 晋文公
'jin'wen'hou 晋文侯
'jin'wu'di 晋武帝
'jin'wu'hou 晋武侯
'jin'xi'hou 晋僖侯
'jin'xian'gong 晋献公
'jin'xian'hou 晋献侯
'jin'xiang'gong 晋襄公
'jin'xiao'hou 晋孝侯
'jin'xiao'wu'di 晋孝武帝
'jin'xiao'zi 晋小子
'jin'you'gong 晋幽公
'jin'yuan'di 晋元帝
'jin'zhao'gong 晋昭公
'jin'zhao'hou 晋昭侯
'jing'dao'gong 敬悼公
'jing'de 景德
'jing'di 敬帝
'jing'fu 景福
'jing'kang 靖康
'jing'lie'gong 敬烈公
'jing'ming 景明
'jing'nan 荆南
'jing'ping 景平
'jing'tai 景泰
'jing'wang 景王
'jing'yan 景炎
'jing'yuan 景元
'jing'yun 景云
'jing'zong 景宗
'ju'qu'an'gu 沮渠安固
'ju'qu'meng'xun 沮渠蒙逊
'ju'qu'mu'jian 沮渠牧犍
'ju'qu'wu'hui 沮渠无讳
'ju'she 居摄
'kai'feng'gong 开封公
'kai'huang 开皇
'kai'ping 开平
'kai'xi 开熙
'kang'ding 康丁
'kang'wang 康王
'kang'xi 康熙
'kang'zong 康宗
'kong'jia 孔甲
'kuai'ji'wang 会稽王
'li'an'quan 李安全
'li'ang 李昂
'li'bing'chang 李秉常
'li'chen 李忱
'li'chun 李纯
'li'chun'you 李纯祐
'li'cong'hou 李从厚
'li'cong'ke 李从珂
'li'cui 李漼
'li'cun'xu 李存勖
'li'dan 李旦
'li'de'wang 李德旺
'li'hao 李暠
'li'heng 李亨
'li'heng 李恒
'li'jing 李璟
'li'ke'yong 李克用
'li'kuo 李适
'li'liang'zuo 李谅祚
'li'long'ji 李隆基
'li'qi 李期
'li'qian'shun 李乾顺
'li'ren'xiao 李仁孝
'li'sheng 李昇
'li'shi 李势
'li'shi'min 李世民
'li'shou 李寿
'li'si'yuan 李嗣源
'li'su 李肃
'li'te 李特
'li'wang 厉王
'li'xian 李显
'li'xian 李睍
'li'xin 李歆
'li'xiong 李雄
'li'xuan 李儇
'li'xun 李恂
'li'yan 李炎
'li'ye 李晔
'li'yu 李豫
'li'yu 李煜
'li'yuan 李渊
'li'yuan'hao 李元昊
'li'yuan'hong 黎元洪
'li'zhan 李湛
'li'zhi 李治
'li'zhong'mao 李重茂
'li'zhu 李拀
'li'zi'cheng 李自成
'li'zun'xu 李遵顼
'liang'gong 凉公
'liang'hui'wang 梁惠王
'liang'mo'di 梁末帝
'liang'wu'di 梁武帝
'lie'zong 烈宗
'lie'zu 烈祖
'lin'xin 廪辛
'ling'di 灵帝
'liu'ao 刘骜
'liu'bang 刘邦
'liu'bao 刘保
'liu'bei 刘备
'liu'bian 刘辨
'liu'bing 刘炳
'liu'can 刘粲
'liu'chang 刘鋹
'liu'che 刘彻
'liu'cheng'you 刘承祐
'liu'cong 刘聪
'liu'da 刘炟
'liu'fen 刘玢
'liu'fu'ling 刘弗陵
'liu'heng 刘恒
'liu'hong 刘宏
'liu'hu 刘祜
'liu'ji'yuan 刘继元
'liu'jun 刘钧
'liu'jun 刘骏
'liu'kan 刘衎
'liu'long 刘隆
'liu'min 刘旻
'liu'qi 刘启
'liu'qu 刘劬
'liu'shan 刘禅
'liu'sheng 刘晟
'liu'shi 刘奭
'liu'xie 刘协
'liu'xin 刘欣
'liu'xiu 刘秀
'liu'xuan 刘玄
'liu'xun 刘询
'liu'yan 刘岩
'liu'yao 刘曜
'liu'yi'fu 刘义符
'liu'yi'long 刘义隆
'liu'yin 刘隐
'liu'ying 刘婴
'liu'ying 刘盈
'liu'yu 刘裕
'liu'yu 刘彧
'liu'yu 刘昱
'liu'yuan 刘渊
'liu'zhao 刘肇
'liu'zhi 刘志
'liu'zhi'yuan 刘知远
'liu'zhuang 刘莊
'liu'zhun 刘準
'liu'zi'ye 刘子业
'liu'zuan 刘缵
'long'an 隆安
'long'chang 隆昌
'long'he 隆和
'long'ji 龙纪
'long'qi 龙启
'long'qing 隆庆
'long'sheng 龙昇
'long'wu 隆武
'long'xing 隆兴
'lu'ai'gong 鲁哀公
'lu'cheng'gong 鲁成公
'lu'dao'gong 鲁悼公
'lu'ding'gong 鲁定公
'lu'gong 鲁公
'lu'gong'gong 鲁共公
'lu'huan'gong 鲁桓公
'lu'hui'gong 鲁惠公
'lu'jing'gong 鲁景公
'lu'kang'gong 鲁康公
'lu'kao'gong 鲁考公
'lu'li'gong 鲁厉公
'lu'min'gong 鲁闵公
'lu'mu'gong 鲁穆公
'lu'ping'gong 鲁平公
'lu'qing'gong 鲁顷公
'lu'wei'gong 鲁魏公
'lu'wen'gong 鲁文公
'lu'wu'gong 鲁武公
'lu'xi'gong 鲁僖公
'lu'xian'gong 鲁献公
'lu'xiang'gong 鲁襄公
'lu'xiao'gong 鲁孝公
'lu'xuan'gong 鲁宣公
'lu'yang'gong 鲁炀公
'lu'yi'gong 鲁懿公
'lu'yin'gong 鲁隐公
'lu'you'gong 鲁幽公
'lu'yuan'gong 鲁元公
'lu'zhao'gong 鲁昭公
'lu'zhen'gong 鲁真公
'lu'zhuang'gong 鲁庄公
'lv'ao 吕骜
'lv'bu'chen 吕不辰
'lv'chi 吕赤
'lv'chu'jiu 吕杵臼
'lv'ci'mu 吕慈母
'lv'dai 吕贷
'lv'de 吕得
'lv'gou 吕购
'lv'guang 吕光
'lv'ji 吕及
'lv'ji 吕积
'lv'jing 吕静
'lv'long 吕隆
'lv'lu'fu 吕禄甫
'lv'pan 吕潘
'lv'qiu 吕球
'lv'shan 吕山
'lv'shang 吕尚
'lv'shang'ren 吕商人
'lv'shou 吕寿
'lv'tuo 吕脱
'lv'wang 吕王
'lv'wu'ji 吕无忌
'lv'wu'ye 吕无野
'lv'xiao'bai 吕小白
'lv'yan'ru'zi 吕晏孺子
'lv'yang'sheng 吕阳生
'lv'yuan 吕元
'lv'zhao 吕昭
'lv'zhi 吕雉
'lv'zhu'er 吕诸儿
'lv'zuan 吕纂
'ma'xi'fan 马希范
'ma'xi'sheng 马希声
'meng'chang 孟昶
'meng'ge 蒙哥
'meng'gu 蒙古
'meng'zhi'xiang 孟知祥
'min'di 闵帝
'min'ning 旻宁
'ming'chang 明昌
'ming'cheng'zu 明成祖
'ming'dai'zong 明代宗
'ming'de 明德
'ming'di 明帝
'ming'guang'zong 明光宗
'ming'hui'di 明惠帝
'ming'mu'zong 明穆宗
'ming'ren'zong 明仁宗
'ming'shen'zong 明神宗
'ming'sheng 明升
'ming'shi'zong 明世宗
'ming'si'zong 明思宗
'ming'tai'zu 明太祖
'ming'wang 明王
'ming'wu'zong 明武宗
'ming'xi'zong 明熹宗
'ming'xian'zong 明宪宗
'ming'xiao'zong 明孝宗
'ming'xuan'di 明宣帝
'ming'ying'zong 明英宗
'ming'yu'zhen 明玉珍
'ming'yuan'di 明元帝
'ming'zong 明宗
'mo'di 末帝
'mo'zhu 末主
'mu'lin'wang 穆林王
'mu'rong'chao 慕容超
'mu'rong'chong 慕容冲
'mu'rong'chui 慕容垂
'mu'rong'de 慕容德
'mu'rong'hong 慕容泓
'mu'rong'huang 慕容皝
'mu'rong'jun 慕容儁
'mu'rong'kai 慕容凯
'mu'rong'lin 慕容麟
'mu'rong'sheng 慕容盛
'mu'rong'shi 慕容实
'mu'rong'wei 慕容暐
'mu'rong'xi 慕容熙
'mu'rong'xiang 慕容详
'mu'rong'yao 慕容瑶
'mu'rong'yong 慕容永
'mu'rong'zhong 慕容忠
'mu'zong 穆宗
'nan'an'wang 南安王
'nan'chao 南朝
'nan'geng 南庚
'nan'han 南汉
'nan'liang 南凉
'nan'ming 南明
'nan'ping 南平
'nan'song 南宋
'nan'tang 南唐
'nan'yan 南燕
'ning'kang 宁康
'nu'er'ha'chi 努尔哈赤
'pan'geng 盘庚
'ping'kang'wang 平康王
'pu'tai 普泰
'pu'yi 溥仪
'qi'ai'gong 齐哀公
'qi'ai'gong 杞哀公
'qi'cheng'gong 齐成公
'qi'chu'gong 杞出公
'qi'dao'gong 齐悼公
'qi'dao'gong 杞悼公
'qi'de'gong 杞德公
'qi'ding'gong 齐丁公
'qi'fu'chi'pan 乞伏炽盘
'qi'fu'guo'ren 乞伏国仁
'qi'fu'mu'mo 乞伏暮末
'qi'fu'qian'gui 乞伏乾归
'qi'gong'gong 杞共公
'qi'gui'gong 齐癸公
'qi'hu'gong 齐胡公
'qi'huan'gong 齐桓公
'qi'huan'gong 杞桓公
'qi'hui'gong 齐惠公
'qi'jian'gong 齐简公
'qi'jian'gong 杞简公
'qi'jing'gong 齐景公
'qi'jing'gong 杞靖公
'qi'kang'gong 齐康公
'qi'li'gong 齐厉公
'qi'li'gong 齐厘公
'qi'ling'gong 齐灵公
'qi'min'gong 杞闵公
'qi'min'wang 齐闵王
'qi'mou'qu'gong 杞谋娶公
'qi'ping'gong 齐平公
'qi'ping'gong 杞平公
'qi'qing'gong 齐顷公
'qi'tai'gong 齐太公
'qi'ti'gong 杞题公
'qi'tian 齐田
'qi'wang 齐王
'qi'wei'wang 齐威王
'qi'wen'gong 齐文公
'qi'wen'gong 杞文公
'qi'wu'gong 齐武公
'qi'wu'gong 杞武公
'qi'xi'gong 杞僖公
'qi'xian'gong 齐献公
'qi'xiang'gong 齐襄公
'qi'xiang'wang 齐襄王
'qi'xiao'gong 齐孝公
'qi'xiao'gong 杞孝公
'qi'xuan'gong 齐宣公
'qi'xuan'wang 齐宣王
'qi'yan'ru'zi 齐晏孺子
'qi'yi'gong 齐乙公
'qi'yi'gong 齐懿公
'qi'yin'gong 杞隐公
'qi'zhao'gong 齐昭公
'qi'zhuang'gong 齐庄公
'qian'chu 钱俶
'qian'dao 乾道
'qian'de 乾德
'qian'ding 乾定
'qian'fu 乾符
'qian'hong'zong 钱弘倧
'qian'hong'zuo 钱弘佐
'qian'hua 乾化
'qian'long 乾隆
'qian'ming 乾明
'qian'tong 乾统
'qian'you 乾祐
'qian'zi'guan 钱子瓘
'qin'ai'gong 秦哀公
'qin'cheng'gong 秦成公
'qin'chu'gong 秦出公
'qin'chu'zi 秦出子
'qin'dao'gong 秦悼公
'qin'de'gong 秦德公
'qin'er'shi 秦二世
'qin'gong'gong 秦共公
'qin'huai'gong 秦怀公
'qin'huan'gong 秦桓公
'qin'hui'gong 秦惠公
'qin'hui'wen'wang 秦惠文王
'qin'jian'gong 秦简公
'qin'jing'gong 秦景公
'qin'kang'gong 秦康公
'qin'li'gong'gong 秦厉共公
'qin'ling'gong 秦灵公
'qin'mu'gong 秦穆公
'qin'ning'gong 秦宁公
'qin'shi'huang 秦始皇
'qin'wang 秦王
'qin'wen'gong 秦文公
'qin'wu'gong 秦武公
'qin'wu'wang 秦武王
'qin'xian'gong 秦宪公
'qin'xian'gong 秦献公
'qin'xiang'gong 秦襄公
'qin'xiao'gong 秦孝公
'qin'xiao'wen'wang 秦孝文王
'qin'xuan'gong 秦宣公
'qin'zao'gong 秦躁公
'qin'zhao'wang 秦昭王
'qin'zhong 秦仲
'qin'zhuang'gong 秦庄公
'qin'zhuang'xiang'wang 秦庄襄王
'qing'de'zong 清德宗
'qing'gao'zong 清高宗
'qing'long 青龙
'qing'mu'zong 清穆宗
'qing'ning 清宁
'qing'ren'zong 清仁宗
'qing'sheng'zu 清圣祖
'qing'shi'zong 清世宗
'qing'shi'zu 清世祖
'qing'tai 清泰
'qing'wen'zong 清文宗
'qing'xuan'zong 清宣宗
'qing'yuan 庆元
'ran'min 冉闵
'ren'zong 仁宗
'ru'zi 孺子
'rui'di 睿帝
'rui'zong 睿宗
'san'guo 三国
'shang'di 殇帝
'shang'yuan 上元
'shang'zhou'wang 商纣王
'shao'kang 少康
'shao'tai 绍泰
'shao'wu 绍武
'shao'xi 绍熙
'shao'xing 绍兴
'shao'zhu 少主
'shen'ce 神册
'shen'ding 神鼎
'shen'er 神尔
'shen'long 神龙
'shen'zong 神宗
'sheng'chang 盛昌
'sheng'ming 昇明
'sheng'tian 昇天
