'a'bing 阿炳
'ge'tian'shi'zhi'le 葛天氏之乐
'ge'wu'da'qu 歌舞大曲
'ge'wu'xi 歌舞戏
'ge'yan 葛炎
'geng'qi'chang 耿其昌
'gong'ban'tiao 工半调
'gong'che'pu 工尺谱
'gong'che'qi'tiao 工尺七调
'gong'che'shang 工尺上
'gong'diao'shi 宫调式
'gong'ming'xiang 共鸣箱
'gong'shang'jue'zhi'yu 宫商角徵羽
'gong'sun'da'niang 公孙大娘
'gong'sun'ni'zi 公孙尼子
'gong'ting'yan'le 宫廷燕乐
'gong'yi 龚一
'gong'yin 宫音
'gong'zheng'tiao 工正调
'gong'zhi'wei 巩志伟
'gong'zhu'bie 公主别
'gu'ban'jie'le'fa 鼓板节乐法
'gu'ben 顾犇
'gu'chui 鼓吹
'gu'chui'shu 鼓吹署
'gu'chui'yin'yue 鼓吹音乐
'gu'guan'ren 顾冠仁
'gu'jia'hui 顾嘉辉
'gu'jian'fen 谷建芬
'gu'mei'geng 顾梅羹
'gu'mei'jiu 沽美酒
'gu'qin'wen'zi'pu 古琴文字谱
'gu'su 姑苏
'gu'xi 姑洗
'gu'xi'jun 姑洗均
'gu'ya'xin'tan 古雅心谈
'gu'yi'nuo'xi 固义傩戏
'gu'yue'pian 古乐篇
'gu'zi'ci 鼓子词
'gu'zuo 鼓座
'guai'er 拐儿
'guan'da'yuan 贯大元
'guan'han'qing 关汉卿
'guan'kou'jiao'zheng 管口校正
'guan'nai'zhong 关乃忠
'guan'nai'zhong 关廼忠
'guan'ping'hu 管平湖
'guan'se'pu'xian'suo'pu 管色谱弦索谱
'guan'suo'xi 关索戏
'guan'zi'di'yuan'pian 管子地员篇
'guang'ling'san 广陵散
'gui'fang'le 闺房乐
'gui'fei'zui'jiu 贵妃醉酒
'gui'shi'min 桂世民
'gui'zhou'bang'zi 贵州梆子
'gui'zhou'dong'xi 贵州侗戏
'gui'zhou'hua'deng'ju 贵州花灯剧
'gun'xiu'qiu 滚绣球
'guo'lan'ying 郭兰英
'guo'mian 郭沔
'guo'nai'an 郭乃安
'guo'qu 过曲
'guo'ren'yuan 郭任远
'guo'wen'jing 郭文景
'guo'zhi'hong 郭志鸿
'guo'zu'rong 郭祖荣
'ha'ha'qiang 哈哈腔
'hai'cheng'la'ba'xi 海城喇叭戏
'hai'gang 海港
'hai'qing'ge 海青歌
'hai'qing'na'tian'e 海青拿天鹅
'hai'rui'ba'guan 海瑞罢官
'hai'rui'bei'xian 海瑞背纤
'hai'xing'nan'luo 海兴南锣
'hai'yan'qiang 海盐腔
'hai'yue'qing'hui 海月清辉
'han'bao'qiang 韩宝强
'han'diao'er'huang 汉调二黄
'han'diao'guang'guang 汉调桄桄
'han'fei 韩非
'han'jin'kou 汉津口
'han'ju 汉剧
'han'pi'pa 汉琵琶
'han'ting'yao 韩廷瑶
'han'wan'zhai 韩万斋
'han'xi'zai'ye'yan'tu 韩熙载夜宴图
'han'zhong'jie 韩中杰
'hang'ju 杭剧
'hang'zi'he 杭子和
'hao'lan'tian 郝兰田
'hao'wei'ya 郝维亚
'he'bei'bang'zi 河北梆子
'he'bei'luan'tan 河北乱弹
'he'bian'dui'kou'chang 河边对口唱
'he'chang'lin 何昌林
'he'cheng'tian 何承天
'he'chun 和春
'he'hou'ma'dian 贺后骂殿
'he'huai'zhi 贺怀智
'he'ju 和剧
'he'liu'tang 何柳堂
'he'lv'ting 贺绿汀
'he'man 何满
'he'nan'dao'qing 河南道情
'he'nan'qu'ju 河南曲剧
'he'nan'yue'tiao 河南越调
'he'nan'zhui'zi 河南坠子
'he'pei'ting 何佩亭
'he'ping 何平
'he'qu'er'ren'tai 河曲二人台
'he'sheng 和声
'he'xin'lang 贺新郎
'he'xun'tian 何训田
'he'yang'tiao'xi 合阳跳戏
'he'zhan'hao 何占豪
'heng'chui 横吹
'heng'chui'ba'wu 横吹巴乌
'heng'qi'tiao 横歧调
'heng'yang'hua'gu'xi 衡阳花鼓戏
'hong'deng'ji 红灯记
'hong'luan'xi 鸿鸾禧
'hong'men'si 红门寺
'hong'ni'guan 虹霓关
'hong'niang 红娘
'hong'se'niang'zi'jun 红色娘子军
'hong'sheng 红生
'hong'tong'dao'qing 洪洞道情
'hong'xiu'xie 红绣鞋
'hong'yang'dong 洪羊洞
'hou'de'jian 侯德健
'hou'she'chi'ya'chun 喉舌齿牙唇
'hu'bei'gao'qiang 湖北高腔
'hu'bei'yue'tiao 湖北越调
'hu'bi'lan 胡碧兰
'hu'deng'tiao 胡登跳
'hu'guan'yang'ge 壶关秧歌
'hu'hai'lin 胡海林
'hu'jia'shi'ba'pai 胡笳十八拍
'hu'ju 湖剧
'hu'lu'sheng 葫芦笙
'hu'nan'wen'yi'chu'ban'she 湖南文艺出版社
'hu'pi'pa 胡琵琶
'hu'qin'qiang 胡琴腔
'hu'tian'quan 胡天泉
'hu'wei'li 胡伟立
'hu'wen'te'qing 虎纹特磬
'hu'ying'tang 胡莹堂
'hu'zhi'hou 胡志厚
'hu'zhi'ping 胡志平
'hu'zi'sheng 胡子生
'hua'bang'zi 花梆子
'hua'bu 花部
'hua'dan 花旦
'hua'le'chu'ban'she 华乐出版社
'hua'mei'xu 画眉序
'hua'qiu'ping 华秋苹
'hua'rong'dao 华容道
'hua'xia'zheng'sheng 华夏正声
'hua'ya'zhi'zheng 花雅之争
'hua'yan'jun 华彦钧
'hua'yi'zhi'bian 华夷之辩
'hua'you'shan 滑油山
'hua'zi'shi'jin 花子拾金
'huai'an'ruan'yang'ge 怀安软秧歌
'huai'bang 怀梆
'huai'lai 怀来
'huan'hua'xi 浣花溪
'huan'le'de'ba'wu 欢乐的巴乌
'huan'qiang'jiu'zi 换腔就字
'huan'xi'sha 浣溪沙
'huan'zi'jiu'qiang 换字就腔
'huang'an'lun 黄安伦
'huang'fei'li 黄飞立
'huang'fu'tang 黄辅棠
'huang'gui'qiu 黄桂秋
'huang'he'da'he'chang 黄河大合唱
'huang'hu'wei 黄虎威
'huang'lian'ku'dan 黄连苦胆
'huang'mei'cai'cha'xi 黄梅采茶戏
'huang'men'gu'chui 黄门鼓吹
'huang'mi'fan 黄米饭
'huang'shui'yao 黄水谣
'huang'xiang'peng 黄翔鹏
'huang'xiao'tong 黄晓同
'huang'yao'liang 黄耀良
'huang'ying'er 黄莺儿
'huang'you'di 黄友棣
'huang'yuan'luo 黄源洛
'huang'zhan 黄霑
'huang'zhen'mao 黄桢茂
'huang'zhong 黄钟
'huang'zhong'jun 黄种均
'huang'zhong'wei'jiao 黄钟为角
'huang'zhong'wei'shang 黄钟为商
'huang'zi 黄自
'hui'dui 灰堆
'hui'han'he'liu 徽汉合流
'hui'qin'he'liu 徽秦合流
'hui'wei 徽位
'hun'pai'zi 混牌子
'huo'lang 货郎
'huo'lang'dan 货郎旦
'huo'qu'si'yin 活曲死音
'ji'an'cai'cha'xi 吉安采茶戏
'ji'gu'shuo'chang'yong 击鼓说唱俑
'ji'ji'feng 急急风
'ji'jiang 祭江
'ji'lian'kang 吉联抗
'ji'ming 寄明
'ji'nan'pi'ying'xi 冀南皮影戏
'ji'shan 寄扇
'ji'sheng'cao 寄生草
'ji'ta 祭塔
'jia'da'qun 贾达群
'jia'guo'ping 贾国平
'jia'jia'lou 贾家楼
'jia'zhong 夹钟
'jia'zhong'jun 夹钟均
'jia'zhu'an'yuan 家住安源
'jian'bang'xi 肩膀戏
'jian'gu 建鼓
'jian'jiu'ling 监酒令
'jian'wu 健舞
'jian'xian'tiao 间弦调
'jian'zi 减字
'jian'zi'pu 减字谱
'jiang'bai'shi 姜白石
'jiang'da'wei 蒋大为
'jiang'ding'xian 江定仙
'jiang'guo'ji 蒋国基
'jiang'jun'ling 将军令
'jiang'kang'sheng 姜抗生
'jiang'kui 姜夔
'jiang'miao'xiang 姜妙香
'jiang'ming'qi 蒋鸣歧
'jiang'pai 江派
'jiang'qiu'lian 姜秋莲
'jiang'wen'ye 江文也
'jiang'xiang'he 将相和
'jiang'yang 江阳
'jiao'di 角觝
'jiao'diao'shi 角调式
'jiao'fang 教坊
'jiao'fang'ji 教坊记
'jiao'hua 叫画
'jiao'lin'ting'yu 蕉林听雨
'jiao'tou 叫头
'jiao'xiao'fan 叫小番
'jiao'yin 角音
'jie'fu 劫夫
'jie'gu'lu 羯鼓录
'jie'jie'gao 节节高
'jie'shi'tiao'you'lan 碣石调幽兰
'jie'xue 借靴
'jie'zhao'yun 借赵云
'jin'bei'dao'qing 晋北道情
'jin'fu'zai 金复载
'jin'gan'lan 金橄榄
'jin'hua'kun'qiang'xi 金华昆腔戏
'jin'ju 晋剧
'jin'qian'hua 金钱花
'jin'shan'si 金山寺
'jin'shang'tian'hua 锦上添花
'jin'shao'mei 金少梅
'jin'shao'shan 金少山
'jin'shi'tu'ge'si'mu'pao'zhu 金石土革丝木匏竹
'jin'shui'qiao 金水桥
'jin'wei 金伟
'jin'wei 金蔚
'jin'wen'da 金文达
'jin'xiang 金湘
'jin'yan'ping 靳延平
'jin'yu'qin'she 今虞琴社
'jin'yu'zhui 金玉坠
'jin'zhong'ren 金仲仁
'jin'zi'guang 金紫光
'jing'chou 惊丑
'jing'de'zhen'cai'cha'xi 景德镇采茶戏
'jing'er'hu 京二胡
'jing'er'huang 京二簧
'jing'fang 京房
'jing'he'xi 荆河戏
'jing'hu 京胡
'jing'huang 京簧
'jing'jian'shu 景建树
'jing'ju 京剧
'jing'meng 惊梦
'jing'qiang 京腔
'jing'tian'chang 敬天常
'jing'xi 京戏
'jing'zhou'hua'gu'xi 荆州花鼓戏
'jiu'bu'ji 九部伎
'jiu'gen'xian 九根弦
'jiu'gong'da'cheng 九宫大成
'jiu'gong'da'cheng'nan'bei'ci'gong'pu 九宫大成南北词宫谱
'jiu'jiang'cai'cha'xi 九江采茶戏
'jiu'xiao'huan'pei 九霄环佩
'jiu'yin'jie 旧音阶
'jiu'zhuan'huo'lang'er 九转货郎儿
'ju'ding'guan'hua 举鼎观画
'jun'gong'diao 均宫调
'jun'min'tuan'jie'yi'jia'qin 军民团结一家亲
'kan'shen 砍身
'kang'guo'yue 康国乐
'kong'cheng'ji 空城计
'kong'hou 箜篌
'kong'ju 孔距
'kong'qing'shan 孔庆山
'kong'xiang'dong 孔祥东
'kou'chuan'xin'shou 口传心授
'ku'huang'tian 哭皇天
'ku'tou 哭头
'ku'xiang'si 苦相思
'kun'ming'qu'ju 昆明曲剧
'kun'qiang 昆腔
'kun'qu 昆曲
'kun'shan'qiang 昆山腔
'kun'yi'zhi'zheng 昆弋之争
'lai'wu'bang'zi 莱芜梆子
'lan'guan'xi 蓝关戏
'lan'ling'wang 兰陵王
'lang'lang 郎朗
'lao'dan 老旦
'lao'huang'qing'yi 老黄请医
'lao'sheng 老生
'lao'zhi'cheng 老志诚
'le'hui 乐汇
'le'ji 乐记
'le'qiang'luo'juan'xi 乐腔罗卷戏
'le'ren 乐人
'le'wei 乐纬
'le'xue'xin'shuo 乐学新说
'le'ye'tu'zheng 乐叶图征
'le'yi'wei'zheng 乐以为政
'le'yong 乐俑
'le'yu'zheng'tong 乐与政通
'le'zhi 乐制
'le'zhong 乐种
'le'zhuan 乐篆
'lei'hai'qing 雷海青
'lei'lei 雷蕾
'lei'yu'sheng 雷雨声
'lei'yuan'sheng 雷远生
'lei'zhen'bang 雷振邦
'leng'cen'song 冷岑松
'li'bao'chen 李抱忱
'li'bing'heng 李秉衡
'li'bing'shu 李炳淑
'li'chun'yi 李纯一
'li'de'lun 李德伦
'li'de'xi 李德熙
'li'feng'yun 李凤云
'li'fu'ren 李夫人
'li'guang 李光
'li'gui'nian 李龟年
'li'hai'tao 李海涛
'li'hai'ying 李海鹰
'li'hang'fu 李行夫
'li'hang'ying 李航鹰
'li'he'ceng 李和曾
'li'hong'chun 李洪春
'li'hong'tu 李宏图
'li'huan'zhi 李焕之
'li'hui'bin 厉慧斌
'li'hui'lan 厉慧兰
'li'hui'liang 厉慧良
'li'hui'min 厉慧敏
'li'hui'sen 厉慧森
'li'ji'da 李季达
'li'jia 李嘉
'li'jiang'gu'yue 丽江古乐
'li'jie 李杰
'li'jie'fu 李劫夫
'li'jin'sheng 李金声
'li'jing'ran 李井然
'li'ju'chuan 李巨川
'li'ke'ji 李可及
'li'kong'yuan 李孔元
'li'lan'qing 李岚清
'li'li'fu 李黎夫
'li'lin 李林
'li'ling 李凌
'li'mo 李謩
'li'mu'tao 黎慕陶
'li'ni 李尼
'li'peng'yun 李鹏云
'li'qi'yu'lv 历起于律
'li'qing'qing 李青青
'li'qun 李群
'li'rui'xiang 李瑞祥
'li'rui'xing 李瑞星
'li'ruo'bing 李若冰
'li'san'niang 李三娘
'li'shao'chun 李少春
'li'sheng'su 李胜素
'li'shi'ji 李世济
'li'shou'zhen 李守桢
'li'shu'tong 李叔同
'li'shu'ying 李姝颖
'li'shuang'jiang 李双江
'li'si'guang 李四光
'li'tiao 离调
'li'wan'chun 李万春
'li'wei 李伟
'li'wei'kang 李维康
'li'wei'ning 李惟宁
'li'wen'xue 李文学
'li'xi 李曦
'li'xi'ru 李翕如
'li'xiang'ting 李祥霆
'li'xiang'xi 李相熙
'li'xin 李昕
'li'xin'cao 李心草
'li'xing 梨形
'li'yan'fei 李艳妃
'li'yan'lin 李延林
'li'yan'nian 李延年
'li'yao'dong 李耀东
'li'yao'xian 李耀先
'li'ye'qi 李业齐
'li'ying'hai 黎英海
'li'ying'hang 李鹰航
'li'you'xin 李佑心
'li'yu'xian 李禹贤
'li'yuan 梨园
'li'yuan'xi 梨园戏
'li'yun'di 李云迪
'li'zheng 李正
'li'zhi'zhong 李执中
'li'zhong'han 李中汉
'li'zhong'he 李中和
'li'zhong'tang 李仲唐
'li'zi'li 李自立
'li'zuo'zhu 李作柱
'lian'bo 连波
'lian'hua'lao 莲花落
'lian'huan'nan'yin 连环南音
'lian'sheng'dian 连升店
'liang'han'guang 梁寒光
'liang'ke'xiang 梁克翔
'liang'lang'guan 两狼关
'liang'lei 梁雷
'liang'mao'chun 梁茂春
'liang'shan'tiao 梁山调
'liang'shou'qi 梁寿祺
'liang'xiang 亮相
'liang'xiao'luan 梁小鸾
'liang'xin 梁信
'liang'yun'jiang 梁云江
'liang'zhou 凉州
'liao'fu'shu 廖辅叔
'liao'nan'ying'tiao'xi 辽南影调戏
'liao'shang'guo 廖尚果
'liao'sheng'jing 廖胜京
'lin'da'ye 林大叶
'lin'er'yao 林尔耀
'lin'ju 临剧
'lin'le'pei 林乐培
'lin'lin 琳琳
'lin'lu 林路
'lin'sheng'xi 林声翕
'lin'tao 林涛
'lin'xi 林夕
'lin'xian'dao'qing'xi 临县道情戏
'lin'xun 林迅
'lin'yi 林一
'lin'you'ren 林友仁
'lin'zhang'xi'di 临漳西狄
'lin'zhong 林钟
'lin'zhong'jun 林钟均
'ling'ling'hua'gu'xi 零陵花鼓戏
