'a'wei 阿魏
'dang'shen 党参
'dang'yao 当药
'dao'dou 刀豆
'dao'kou'cao 倒扣草
'dao'ya 稻芽
'deng'tai'xi'xin 灯台细辛
'deng'tai'ye 灯台叶
'deng'xin'cao 灯心草
'di'bu'rong 地不容
'di'dan'cao 地胆草
'di'er'cao 地耳草
'di'feng'pi 地枫皮
'di'fu'zi 地肤子
'di'gu'pi 地骨皮
'di'huang 地黄
'di'jiao 地椒
'di'jin'cao 地锦草
'di'long 地龙
'di'yu 地榆
'dian'qie'cao 颠茄草
'ding'gong'teng 丁公藤
'ding'gui'cao 丁癸草
'ding'xiang 丁香
'diu'le'bang 丢了棒
'dong'chong'xia'cao 冬虫夏草
'dong'gua'pi 冬瓜皮
'dong'gua'zi 冬瓜子
'dong'kui'guo 冬葵果
'dong'ling'cao 冬凌草
'dou'kou 豆蔻
'du'heng 杜衡
'du'huo 独活
'du'juan'hua'ye 杜鹃花叶
'du'zhong 杜仲
'duan'xue'liu 断血流
'e'bu'shi'cao 鹅不食草
'e'jiao 阿胶
'e'zhu 莪术
'e'zhu'you 莪术油
'er'cha 儿茶
'fan'hong'hua 番红花
'fan'xie'ye 番泻叶
'fang'feng 防风
'fang'yi 防已
'fei'lian'cao 飞廉草
'fei'xing'cao 肺形草
'fei'yang'cao 飞杨草
'fei'zi 榧子
'fen'bi'xie 粉萆薢
'fen'tiao'er'cai 粉条儿菜
'feng'fang 蜂房
'feng'huang'yi 凤凰衣
'feng'la 蜂蜡
'feng'li'ke 风栗壳
'feng'mi 蜂蜜
'feng'wei'cao 凤尾草
'feng'xian'hua 凤仙花
'fo'jia'cao 佛甲草
'fo'shou 佛手
'fu'ling 茯苓
'fu'ling'pi 茯苓皮
'fu'long'gan 伏龙肝
'fu'pen'zi 复盆子
'fu'ping 浮萍
'fu'rong'ye 芙蓉叶
'fu'shen 茯神
'fu'shi 浮石
'fu'xiao'mai 浮小麦
'fu'zi 附子
'ga'nan'xiang 伽楠香
'gan'cao 甘草
'gan'jiang 干姜
'gan'qi 干漆
'gan'song 甘松
'gan'sui 甘遂
'gang'ban'gui 杠板归
'gang'mei 岗梅
'gang'song 岗松
'gao'ben 藁本
'gao'liang'jiang 高良姜
'ge'gen 葛根
'ge'hua 葛花
'ge'jie 蛤蚧
'ge'ke 蛤壳
'geng'tong'cao 梗通草
'gong'lao'mu 功劳木
'gou'bao 狗宝
'gou'gan'cao 狗肝草
'gou'ji 狗脊
'gou'qi'zi 枸杞子
'gou'teng 钩藤
'gu'jing'cao 谷精草
'gu'shan'long 古山龙
'gu'sui'bu 骨碎补
'gu'ya 谷芽
'gua'di 瓜蒂
'gua'lou 瓜蒌
'gua'lou'pi 瓜蒌皮
'gua'lou'zi 瓜蒌子
'gua'zi'jin 瓜子金
'guan'bai'fu 关白附
'guan'mu'tong 关木通
'guang'ci'gu 光慈姑
'guang'fang'yi 广防已
'guang'huo'xiang 广藿香
'guang'jin'qian'cao 广金钱草
'guang'zhi'gou 光枝勾
'gui'jia 龟甲
'gui'jia'jiao 龟甲胶
'gui'jian'yu 鬼箭羽
'gui'zhi 桂枝
'guo'gang'long 过岗龙
'hai'feng'teng 海风藤
'hai'fu'shi 海浮石
'hai'gou'shen 海狗肾
'hai'jin'sha 海金砂
'hai'long 海龙
'hai'ma 海马
'hai'piao'xiao 海螵蛸
'hai'tong'pi 海桐皮
'hai'zao 海藻
'han'cai 蔊菜
'han'shui'shi 寒水石
'han'tao'ye 汉桃叶
'he'cao'fen 鹤草酚
'he'cao'ya 鹤草芽
'he'huan'hua 合欢花
'he'huan'pi 合欢皮
'he'shi 鹤虱
'he'shou'wu 何首乌
'he'tao'ren 核桃仁
'he'ye 荷叶
'he'zi 诃子
'hei'feng'teng 黑风藤
'hei'lao'hu'gen 黑老虎根
'hei'zhi'ma 黑芝麻
'hong'da'ji 红大戟
'hong'dou'kou 红豆蔻
'hong'fen 红粉
'hong'gen'cao 红根草
'hong'guan'yao 红管药
'hong'hua 红花
'hong'mao'qi 红毛七
'hong'tou'cao 红头草
'hong'yao'zi 红药子
'hou'pu 厚朴
'hou'pu'hua 厚朴花
'hou'zao 猴枣
'hu'ci 虎刺
'hu'er'cao 虎耳草
'hu'gu 虎骨
'hu'huang'lian 胡黄连
'hu'ji'sheng 槲寄生
'hu'jiao 胡椒
'hu'lu'ba 葫芦巴
'hu'lu'cha 葫芦茶
'hu'po 琥珀
'hu'sui 胡荽
'hu'zhang 虎杖
'hu'zhang'cao 虎掌草
'hua'jiao 花椒
'hua'rui'shi 花蕊石
'hua'shan'can 华山参
'hua'shi 滑石
'huai'hua 槐花
'huai'jiao 槐角
'huan'you 獾油
'huang'bai 黄柏
'huang'gua 黄瓜
'huang'jing 黄精
'huang'lian 黄连
'huang'lian'su 黄连素
'huang'lu 黄栌
'huang'qi 黄芪
'huang'qin 黄芩
'huang'teng 黄藤
'huang'yao'zi 黄药子
'huang'yuan'hua 黄芫花
'huo'ma'ren 火麻仁
'huo'tan'mu 火炭母
'ji'gu'cao 鸡骨草
'ji'guan'hua 鸡冠花
'ji'li 蒺藜
'ji'mu'ye 檵木叶
'ji'nei'jin 鸡内金
'ji'shi'teng 鸡矢藤
'ji'xing'zi 急性子
'ji'xue'cao 积雪草
'ji'xue'teng 鸡血藤
'jiang'can 僵蚕
'jiang'hou'pu 姜厚朴
'jiang'huang 姜黄
'jiang'xiang 降香
'jiao'gu'lan 绞股蓝
'jie'geng 桔梗
'jin'deng'long 锦灯笼
'jin'fei'cao 金沸草
'jin'gu'cao 筋骨草
'jin'guo'lan 金果榄
'jin'jin'xiang 金锦香
'jin'jing'shi 金精石
'jin'lian'hua 金莲花
'jin'meng'shi 金礞石
'jin'qian'bai'hua'she 金钱白花蛇
'jin'qian'cao 金钱草
'jin'qiao'mai 金荞麦
'jin'tie'xiao 金铁销
'jin'ye'jin'lan 金叶金兰
'jin'yin'hua 金银花
'jin'ying'zi 金缨子
'jing'da'ji 京大戟
'jing'jie 荆芥
'jing'san'leng 荆三棱
'jing'tian'san'qi 景天三七
'jiu'bi'ying 救必应
'jiu'cai'zi 韭菜子
'jiu'jie'chang'pu 九节菖蒲
'jiu'li'xiang 九里香
'jiu'tou'shi'zi'cao 九头狮子草
'jiu'xiang'chong 九香虫
'ju'he 橘核
'ju'hong 橘红
'ju'hua 菊花
'ju'luo 橘络
'juan'bai 卷柏
'jue'chuang 爵床
'jue'ming'zi 决明子
'ku'di'ding 苦地丁
'ku'ding'cha 苦丁茶
'ku'dou'cao 苦豆草
'ku'lian'pi 苦楝皮
'ku'mu 苦木
'ku'shen 苦参
'ku'shi'lian 苦石莲
'ku'xing'ren 苦杏仁
'ku'zhu'ye 苦竹叶
'kuan'dong'hua 款冬花
'kun'bu 昆布
'lai'fu'zi 莱菔子
'lan'bu'zheng 蓝布正
'lan'hua'shen 蓝花参
'lang'ba'cao 狼把草
'lang'dang'zi 莨菪子
'lang'du 狼毒
'lao'guan'cao 老鹳草
'le'ge'wang 了哥王
'lei'gong'teng 雷公藤
'lei'wan 雷丸
'li'lu 藜芦
'li'mao'qiu 栗毛球
'li'zhi'he 荔枝核
'lian'fang 莲房
'lian'hua 莲花
'lian'qian'cao 连钱草
'lian'qiao 连翘
'lian'xu 莲须
'lian'zi 莲子
'lian'zi'xin 莲子心
'liang'mian'zhen 两面针
'liang'tou'jian 两头尖
'liao'da'qing'ye 蓼大青叶
'ling'xiao'hua 凌霄花
'ling'yang'jiao 羚羊角
'ling'zhi 灵芝
'liu'ji'nu 刘寄奴
'liu'yue'xue 六月雪
'long'chi 龙齿
'long'dan 龙胆
'long'gu 龙骨
'long'kui 龙葵
'long'li'ye 龙脷叶
'long'xian'xiang 龙涎香
'long'yan'rou 龙眼肉
'lou'lu 漏芦
'lu'gan'shi 炉甘石
'lu'gen 芦根
'lu'hui 芦荟
'lu'jian 卤碱
'lu'jiao 鹿角
'lu'jiao'shuang 鹿角霜
'lu'lu'tong 路路通
'lu'rong 鹿茸
'lu'rou 鹿肉
'lu'shen 鹿肾
'lu'tai 鹿胎
'lu'wei 鹿尾
'lu'xian'cao 鹿衔草
'lu'xue 鹿血
'luo'bu'ma'ye 罗布麻叶
'luo'han'guo 罗汉果
'luo'shi'teng 络石藤
'lv'dou 绿豆
'lv'shen 驴肾
'ma'bao 马宝
'ma'bian'cao 马鞭草
'ma'bing'lang 马槟榔
'ma'bo 马勃
'ma'chi'xian 马齿苋
'ma'dou'ling 马兜铃
'ma'huang 麻黄
'ma'huang'gen 麻黄根
'ma'lan'cao 马兰草
'ma'lan'tou 马兰头
'ma'qian'zi 马钱子
'ma'wei'huang'lian 马尾黄连
'ma'you 麻油
'mai'dong 麦冬
'mai'fan'shi 麦饭石
'mai'ya 麦芽
'man'jing'zi 蔓荆子
'mang'xiao 芒硝
'mao'dong'qing 毛冬青
'mao'mei 茅莓
'mao'yan'cao 猫眼草
'mao'zhao'cao 猫爪草
'mei'gui'hua 玫瑰花
'mei'hua 梅花
'mei'yao 没药
'meng'chong 虻虫
'mi'hou'tao 猕猴桃
'mi'meng'hua 密蒙花
'mi'tuo'seng 密陀僧
'mian'bi'xie 绵萆薢
'mian'hua'gen 棉花根
'mian'ma'guan'zhong 绵马贯众
'ming'dang'shen 明党参
'mo'han'lian 墨旱莲
'mo'li'hua 茉莉花
'mu'bie'zi 木鳖子
'mu'dan'pi 牡丹皮
'mu'ding'xiang 母丁香
'mu'gua 木瓜
'mu'hu'die 木蝴蝶
'mu'jin'hua 木槿花
'mu'jing'ye 牡荆叶
'mu'li 牡蛎
'mu'mian'hua 木棉花
'mu'tong 木通
'mu'xiang 木香
'mu'yao'zi 木腰子
'mu'zei 木贼
'nan'gua'zi 南瓜子
'nan'sha'shen 南沙参
'nan'she'teng'guo 南蛇藤果
'nao'sha 硇砂
'nao'yang'hua 闹羊花
'niu'bang'zi 牛蒡子
'niu'huang 牛黄
'niu'xi 牛膝
'niu'zhi 牛至
'nong'ji'li 农吉利
'nong'ji'li'zong'jian 农吉利总碱
'nong'sen 侬森
'nong'sen'ba'zhen'tang'gao 侬森八珍汤膏
'nong'sen'si'wu'tang'gao 侬森四物汤膏
'nong'sen'yi'mu'cao'gao 侬森益母草膏
'nuo'dao'gen 糯稻根
'nv'zhen'zi 女贞子
'ou'jie 藕节
'pang'da'hai 胖大海
'pei'lan 佩兰
'peng'qi'ju 蟛蜞菊
'peng'sha 硼砂
'pi'jiu'hua'jin'gao 啤酒花浸膏
'pi'pa'ye 枇杷叶
'pi'shuang 砒霜
'pu'fu'jin 葡伏堇
'pu'gong'ying 蒲公英
'pu'huang 蒲黄
'qi'cao 蛴螬
'qi'she 蕲蛇
'qi'ye'yi'zhi'hua 七叶一枝花
'qian'cao 茜草
'qian'dan 铅丹
'qian'hu 前胡
'qian'li'guang 千里光
'qian'li'hua 千里花
'qian'nian'jian 千年健
'qian'niu'zi 牵牛子
'qian'ri'hong 千日红
'qian'shi 芡实
'qiang'huo 羌活
'qiang'lang 蜣螂
'qin'jiao 秦艽
'qin'pi 秦皮
'qing'dai 青黛
'qing'fen 轻粉
'qing'feng'teng 青风藤
'qing'guo 青果
'qing'hao 青蒿
'qing'meng'shi 青礞石
'qing'pi 青皮
'qing'xiang'zi 青葙子
'qing'ye'dan 青叶胆
'qu'mai 瞿麦
'qu'mai'cai 苣荬菜
'quan'can 拳参
'quan'xie 全蝎
'ren'dong'teng 忍冬藤
'ren'shen 人参
'ren'shen'lu 人参芦
'rou'cong'rong 肉苁蓉
'rou'dou'kou 肉豆蔻
'rou'gui 肉桂
'ru'xiang 乳香
'rui'ren 蕤仁
'san'bai'cao 三白草
'san'cha'ku 三叉苦
'san'ke'zhen 三颗针
'san'leng 三棱
'san'qi 三七
'sang'bai'pi 桑白皮
'sang'ji'sheng 桑寄生
'sang'piao'xiao 桑螵蛸
'sang'shen 桑椹
'sang'ye 桑叶
'sang'zhi 桑枝
'sha'ji 沙棘
'sha'ren 砂仁
'sha'yuan'zi 沙苑子
'sha'zao 沙枣
'sha'zao'ye 沙枣叶
'shan'ci'gu 山慈姑
'shan'ci'gu 山慈菇
'shan'dou'gen 山豆根
'shan'nai 山柰
'shan'yao 山药
'shan'zha 山楂
'shan'zhi'ma 山芝麻
'shan'zhu'yu 山茱萸
'shang'dang'ren'shen 上灙人参
'shang'lu 商陆
'she'chuang'zi 蛇床子
'she'dan 蛇胆
'she'du 蛇毒
'she'gan 射干
'she'tui 蛇蜕
'she'xiang 麝香
'she'xiang'cao 麝香草
'shen'jin'cao 伸筋草
'shen'qu 神曲
'sheng'jiang 生姜
'sheng'ma 升麻
'shi'cao 蓍草
'shi'chang'pu 石菖蒲
'shi'da'gong'lao'ye 十大功劳叶
'shi'di 柿蒂
'shi'diao'lan 石吊兰
'shi'gao 石膏
'shi'hu 石斛
'shi'hui 石灰
'shi'jian'chuan 石见穿
'shi'jiao'cao 石椒草
'shi'jue'ming 石决明
'shi'jun'zi 使君子
'shi'liu'pi 石榴皮
'shi'nan'teng 石楠藤
'shi'nan'ye 石楠叶
'shi'wei 石苇
'shi'yan 石燕
'shi'yan 食盐
'shi'zuan'zi 石钻子
'shou'can 手参
'shou'wu'teng 首乌藤
'shu'di 熟地
'shu'liang 薯莨
'shu'qu'cao 鼠曲草
'shui'chang'pu 水菖蒲
'shui'hong'hua'zi 水红花子
'shui'jian 水煎
'shui'man'qing 水蔓青
'shui'niu'jiao 水牛角
'shui'niu'jiao'nong'suo'fen 水牛角浓缩粉
'shui'su 水苏
'shui'wu'gong 水蜈蚣
'shui'yang'mei 水杨梅
'shui'yin 水银
'shui'zhi 水蛭
'si'fang'teng 四方藤
'si'gua'luo 丝瓜络
'si'ji'qing 四季青
'si'wu'tang 四物汤
'si'ye'can 四叶参
'song'hua'fen 松花粉
'song'jie'you 松节油
'song'luo 松萝
'song'ta 松塔
'song'xiang 松香
'song'xiang'zhi 松香脂
'su'he'xiang 苏合香
'su'mu 苏木
'su'xin'hua 素馨花
'suan'zao'ren 酸枣仁
'suo'luo'zi 娑罗子
'suo'yang 锁阳
'tai'zi'shen 太子参
'tan'xiang 檀香
'tao'er'qi 桃儿七
'tao'jin'niang'gen 桃金娘根
'tao'ren 桃仁
'tian'di'ding 甜地丁
'tian'dong 天冬
'tian'gua'zi 甜瓜子
'tian'hua'fen 天花粉
'tian'kui'zi 天葵子
'tian'ma 天麻
'tian'ming'jing 天名精
'tian'nan'xing 天南星
'tian'xian'teng 天仙藤
'tian'zhu'huang 天竺黄
'tie'luo 铁落
'tie'xian'cai 铁苋菜
'ting'li'zi 葶苈子
'tong'cao 通草
'tou'gu'cao 透骨草
'tu'bei'mu 土贝母
'tu'bie'chong 土鳖虫
'tu'dai'huang 土大黄
'tu'dang'shen 土党参
'tu'fu'ling 土茯苓
'tu'jing'pi 土荆皮
'tu'si'zi 菟丝子
'wa'leng'zi 瓦楞子
'wa'song 瓦松
'wan'nian'qing 万年青
'wang'bu'liu'xing 王不留行
'wei'ling'cai 委陵菜
'wei'ling'xian 威灵仙
'wu'bei'zi 五倍子
'wu'gong 蜈蚣
'wu'gu'ji 乌骨鸡
'wu'jia'pi 五加皮
'wu'jiu 乌桕
'wu'jiu 乌韭
'wu'ling'zhi 五灵脂
'wu'mei 乌梅
'wu'shao'she 乌梢蛇
'wu'wei'zi 五味子
'wu'yao 乌药
'wu'yi 芜荑
'wu'zhi'mao'tao 五指毛桃
'wu'zhu'yu 吴茱萸
'xi'gua 西瓜
'xi'gua'pi 西瓜皮
'xi'gua'shuang 西瓜霜
'xi'he'liu 西河柳
'xi'jiao 犀角
'xi'shu 喜树
'xi'xian'cao 豨莶草
'xi'xin 细辛
'xi'yang'shen 西洋参
'xia'ku'cao 夏枯草
'xia'tian'wu 夏天无
'xian'he'cao 仙鹤草
'xian'mao 仙茅
'xian'tao'cao 仙桃草
'xian'zhu'feng 咸竹蜂
'xian'zhu'li 鲜竹沥
'xiang'fu 香附
'xiang'guo'zhi 香果脂
'xiang'jia'pi 香加皮
'xiang'pi 象皮
'xiang'ru 香薷
'xiang'tian'zhan 向天盏
'xiang'ya 象牙
'xiang'yuan 香橼
'xiao'fei'yang'cao 小飞扬草
'xiao'hong'shen 小红参
'xiao'hui'xiang 小茴香
'xiao'ji 小蓟
'xiao'tong'cao 小通草
'xiao'ye'ji'wei 小野鸡尾
'xie'bai 薤白
'xie'cao 缬草
'xie'ke 蟹壳
'xin'yi 辛夷
'xiong'dan 熊胆
'xiong'huang 雄黄
'xu'chang'qing 徐长卿
'xu'duan 续断
'xu'sui'zi 续随子
'xuan'cao'gen 萱草根
'xuan'fu'hua 旋复花
'xuan'ming'fen 玄明粉
'xuan'shen 玄参
'xue'dan 雪胆
'xue'jie 血竭
'xue'lian'hua 雪莲花
'xue'shang'yi'zhi'hao 雪上一枝蒿
'xue'yu'tan 血余炭
'xun'gu'feng 寻骨风
'ya'dan'zi 鸦胆子
'ya'pian 鸦片
'ya'zhi'cao 鸭跖草
'yan'bai'cai 岩白菜
'yan'bai'cai'su 岩白菜素
'yan'hu'suo 延胡索
'yang'di'huang'ye 洋地黄叶
'yang'er'ju 羊耳菊
'yang'gan 羊肝
'yang'jin'hua 洋金花
'yang'qi'shi 阳起石
'yang'rou 羊肉
'yang'shu'hua 杨树花
'ye'ju'hua 野菊花
'ye'ma'zhui 野马追
'ye'mu'gua 野木瓜
'yi'bei'mu 伊贝母
'yi'dian'hong 一点红
'yi'mu'cao 益母草
'yi'mu'cao'gao 益母草膏
'yi'tang 饴糖
'yi'ye'di 一叶荻
'yi'yi'ren 薏苡仁
'yi'zhi'huang'hua 一枝黄花
'yi'zhi'ren 益智仁
'yin'chai'hu 银柴胡
'yin'chen 茵陈
'yin'di'jue 阴地蕨
'yin'er 银耳
'yin'xing'cao 阴性草
'yin'xing'ye 银杏叶
'yin'yang'huo 淫羊藿
'ying'su'ke 罂粟壳
'you'gua'shi'hu 有瓜石斛
'you'song'jie 油松节
'yu'jin 郁金
'yu'li'ren 郁李仁
'yu'mi'xu 玉米须
'yu'xie 玉屑
'yu'xing'cao 鱼腥草
'yu'yu'liang 禹余粮
'yu'zhi'zi 预知子
'yu'zhu 玉竹
'yuan'bao'cao 元宝草
'yuan'hua 芫花
'yuan'zhi 远志
'yue'ji'hua 月季花
'yue'jian'cao 月见草
'yun'ling 云苓
'yun'mu'shi 云母石
'yun'shi'gen 云实根
'yun'xiang'cao 芸香草
'zao'jiao'ci 皂角刺
'zao'wan'fan'hou'wen'fu 早晚饭后温服
'ze'lan 泽兰
'ze'qi 泽漆
'ze'xie 泽泻
'zhang'nao 樟脑
'zhe'bei'mu 浙贝母
'zhe'shi 赭石
'zhen'zhu 珍珠
'zhen'zhu'mu 珍珠母
'zhi'ke 枳壳
'zhi'mu 知母
'zhi'shi 枳实
'zhi'zhu'feng 制竹蜂
'zhi'zhu'liao 支柱蓼
'zhi'zhu'xiang 蜘蛛香
'zhi'zi 栀子
'zhong'jie'feng 肿节风
'zhong'ru'shi 钟乳石
'zhu'jie'can 竹节参
'zhu'ling 猪苓
'zhu'ru 竹茹
'zhu'sha 朱砂
'zhu'sha'gen 朱砂根
'zhu'sha'lian 朱砂莲
'zhu'sha'qi 朱砂七
'zhu'ti'jia 猪蹄甲
'zhu'ya'zao 猪牙皂
'zhu'yang'yang 猪殃殃
'zhu'zi'can 珠子参
'zhu'zong'cao 猪鬃草
'zi'bei'chi 紫贝齿
'zi'cao 紫草
'zi'cao'rong 紫草茸
'zi'he'che 紫河车
'zi'hua'di'ding 紫花地丁
'zi'qi'guan'zhong 紫萁贯众
'zi'ran'tong 自然铜
'zi'shi'ying 紫石英
'zi'su 紫苏
'zi'su'geng 紫苏梗
'zi'su'zi 紫苏子
'zi'wan 紫菀
'zi'zhu 紫竹
'zong'lv 棕榈
'zu'si'ma 祖司麻
