'an'lun 氨纶
'kou'dai 口袋
'ku'chang 裤长
'ku'dang 裤裆
'ku'jiao'gao 裤脚高
'ku'jiao'kuan 裤脚宽
'ku'kou'gao 裤口高
'ku'kou'kuan 裤口宽
'kuan'ming 款名
'li'kai 离开
'ling'bu'wei'ming'cheng 领部位名称
'ling'gao 领高
'ling'kuan 领宽
'ling'ping'shou 领平收
'ling'shou'zhen 领收针
'ling'tao'shan 领套衫
'ling'zi 领子
'ling'zi'ding'yi'bu'wei'ming'cheng 领子定义部位名称
'luo'wen 罗纹
'ma'hai 马海
'ma'hai'mao 马海毛
'mao'gao 帽高
'mao'kou'gao 帽口高
'mao'kou'kuan 帽口宽
'mao'kuan 帽宽
'mao'mi 毛密
'men'jin 门襟
'men'jin'gao 门襟高
'men'jin'kuan 门襟宽
'men'jin'ping'shou 门襟平收
'men'jin'shen 门襟深
'men'jin'yu'zhen 门襟余针
'mian'ma 棉麻
'nian'xian 黏纤
'niu'sheng 纽绳
'ping'shou 平收
'ping'yao 平摇
'qian'dan'jian'kuan 前单肩宽
'qian'gua'jian'fang'zhen 前挂肩放针
'qian'gua'jian'shou'zhen 前挂肩收针
'qian'gua'jian'shou'zhen'gao 前挂肩收针高
'qian'hua'tao'shan 嵌花套衫
'qian'jian'ping'yao 前肩平摇
'qian'jian'shou'zhen 前肩收针
'qian'jian'yu'zhen 前肩余针
'qian'ling'kuan 前领宽
'qian'ling'ping'shou 前领平收
'qian'ling'ping'yao 前领平摇
'qian'ling'shen 前领深
'qian'ling'shou'zhen 前领收针
'qian'ma'an'kuan 前马鞍宽
'qian'pian 前片
'qian'pian'ding'yi'bu'wei'ming'cheng 前片定义部位名称
'qian'xiong'gao 前胸高
'qian'xiong'kuan 前胸宽
'qian'xiong'ping'yao 前胸平摇
'qian'xiu'shan'kuan 前袖山宽
'qian'yao'shang'ping'yao 前腰上平摇
'qian'zhong'yao'fang'zhen 前中腰放针
'qian'zhong'yao'ping'yao 前中腰平摇
'qian'zhong'yao'shou'zhen 前中腰收针
'qiang'li'mian 强力棉
'qing'lun 晴纶
'qiu'dong'xin'kuan 秋冬新款
'ren'zao'mao 人造毛
'ren'zao'mian 人造棉
'ren'zao'si 人造丝
'ri'qi 日期
'san'ping 三平
'shen'chang 身长
'shou'zhen 收针
'shuang'yu'lin 双鱼鳞
'si'guang'mian 丝光棉
'si'mian 丝棉
'si'ping 四平
'si'ping'dan'yu'lin 四平单鱼鳞
'si'ping'kong'zhuan 四平空转
'si'ping'shuang'yu'lin 四平双鱼鳞
'tao'kou 套口
'tao'kou'ping'yao 套口平摇
'tao'tong 套筒
'tao'tou'shan 套头衫
'tiao'kong 挑孔
'tong'xian 铜纤
'tu'mao 兔毛
'tun'kuan 臀宽
'tun'wei 臀围
'tuo'rong 驼绒
'wei'jin'chang 围巾长
'wei'jin'kuan 围巾宽
'xia'bai'gao 下摆高
'xia'bai'kuan 下摆宽
'xia'xiu'ping'yao 下袖平摇
'xiang'gen 像根
'xiang'jing 像精
'xiong'wei 胸围
'xiong'wei'jian'kuan 胸围肩宽
'xiu'an'shou'zhen 袖暗收针
'xiu'bu'wei'ming'cheng 袖部位名称
'xiu'chang 袖长
'xiu'fang'zhen 袖放针
'xiu'kou'gao 袖口高
'xiu'kou'kuan 袖口宽
'xiu'kou'ping'yao 袖口平摇
'xiu'kuan 袖宽
'xiu'luo'gao 袖罗高
'xiu'luo'kuan 袖罗宽
'xiu'pian 袖片
'xiu'ping'shou 袖平收
'xiu'ping'yao 袖平摇
'xiu'quan'chang 袖全长
'xiu'shan'gao 袖山高
'xiu'shan'kuan 袖山宽
'xiu'shou'zhen 袖收针
'xiu'zhong'gao 袖中高
'xiu'zhong'kuan 袖中宽
'ya'ma 亚麻
'yang'mao 羊毛
'yang'pin 样品
'yang'rong 羊绒
'yang'zai'mao 羊仔毛
'yao'fang'zhen 腰放针
'yao'kuan 腰宽
'yao'shang'ping'yao 腰上平摇
'yao'shou'zhen 腰收针
'yao'wei 腰围
'yao'xia'ping'yao 腰下平摇
'yi'pian 衣片
'yi'pian'ming'cheng 衣片名称
'yi'zhen 移针
'yin'si 银丝
'you'ping'shou 右平收
'yu'lin'kong'zhuan 鱼鳞空转
'yuan'liao 原料
'yuan'ling'tao'shan 圆领套衫
'yuan'ling'xiu'shen'tao'shan 圆领修身套衫
'yuan'tong 圆筒
'zhan'jiao 粘胶
'zhen'si 真丝
'zhen'xing 针型
'zhong'yao'fang'zhen 中腰放针
'zhong'yao'gao 中腰高
'zhong'yao'kuan 中腰宽
'zhong'yao'ping'yao 中腰平摇
'zhong'yao'shou'zhen 中腰收针
'zu'zhi 组织
'zuo'ping'shou 左平收
