'yue'ju'wan 越鞠丸
'zai'zao'san 再造散
'zeng'ye'cheng'qi'tang 增液承气汤
'zeng'ye'tang 增液汤
'zhen'gan'xi'feng'tang 镇肝熄风汤
'zhen'ren'yang'zang'tang 真人养脏汤
'zhen'wu'tang 真武汤
'zheng'qi'tian'xiang'san 正气天香散
'zhi'bai'di'huang'wan 知柏地黄丸
'zhi'bao'dan 至宝丹
'zhi'gan'cao'tang 炙甘草汤
'zhi'jing'san 止痉散
'zhi'shi'dao'zhi'wan 枳实导滞丸
'zhi'shi'xiao'pi'wan 枳实消痞丸
'zhi'shu'tang 枳术汤
'zhi'shu'wan 枳术丸
'zhi'sou'san 止嗽散
'zhi'zi'bai'pi'tang 栀子柏皮汤
'zhu'ling'tang 猪苓汤
'zhu'sha'an'shen'wan 朱砂安神丸
'zhu'ye'liu'bang'tang 竹叶柳蒡汤
'zhu'ye'shi'gao'tang 竹叶石膏汤
'zi'jin'ding 紫金锭
'zi'sheng'wan 资生丸
'zi'xue 紫血
'zuo'gui'wan 左归丸
'zuo'gui'yin 左归饮
'zuo'jin'wan 左金丸
