'an'da'tai 安达泰
'fei'jie'chu'shi 非接触式
'fei'ke'shi 非可视
'fen'pei'qi 分配器
'fen'ti'men'jin 分体门禁
'fu'shi 富士
'fu'shi'neng 富士能
'gan'hong'wai 感红外
'gan'ying'shi'jian 感应时间
'gao'biao'zhun 高标准
'gao'hua'zhi 高画质
'gao'qing'xi 高清晰
'gao'su 高速
'gao'su'dui'jiao 高速对焦
'gao'su'qiu 高速球
'gao'xian 高线
'gong'cheng'an'li 工程案例
'gong'hao 功耗
'gong'zuo'dian'ya 工作电压
'gong'zuo'shi'du 工作湿度
'gong'zuo'wen'du 工作温度
'gong'zuo'zhuang'tai 工作状态
'gu'zhang 故障
'guang'duan'ji 光端机
'guang'quan 光圈
'guang'quan'da'xiao 光圈大小
'guang'xi'ban'shi'chu 广西办事处
'guang'xue'bian'bei 光学变倍
'guang'xue'tou'jing 光学透镜
'guang'zhou'han'qi 广州瀚祺
'hai'kang'wei'shi 海康威视
'han'qi 瀚祺
'hao'en 豪恩
'hei'bai 黑白
'hei'bai'ke'shi 黑白可视
'hei'bai'she'xiang'ji 黑白摄像机
'heng'su'qiu 恒速球
'hong'wai'deng 红外灯
'hong'wai'dui'she 红外对射
'hong'wai'ju'li 红外距离
'hong'wai'tan'ce'qi 红外探测器
'hong'wai'xian 红外线
'hong'wai'zhao'she'ju'li 红外照射距离
'hou'bei'dian'chi 后备电池
'hui'yi 会议
'hui'yi'qian'dao'guan'li 会议签到管理
'hui'yi'qian'dao'guan'li'xi'tong 会议签到管理系统
'hui'yi'xi'tong 会议系统
'huo'ni'wei'er 霍尼韦尔
'ji'dian'qi 继电器
'ji'xin 机芯
'ji'yi 记忆
'jian'kong 监控
'jian'kong'xi'tong 监控系统
'jian'kong'zhong'xin 监控中心
'jian'shi'qi 监视器
'jiao'tiao'shi'jin'ji'an'niu 脚挑式紧急按钮
'jie'jing'ji 接警机
'jie'jing'zhong'xin 接警中心
'jie'jue'fang'an 解决方案
'jie'kou 接口
'jie'shun 捷顺
'jin'ji'an'niu 紧急按钮
'jing'gong 精工
'jing'tou 镜头
'jing'xiang 镜像
'jing'xiang'gong'neng 镜像功能
'jiu'dian'men'suo 酒店门锁
'ju'jiao 聚焦
'ju'jiao'mo'shi 聚焦模式
'ju'li 距离
'ju'zhen 矩阵
'ju'zhen'jie'gou 矩阵结构
'ka'pian'cun'chu'liang 卡片存储量
'kang'jing'dian'gan'rao 抗静电干扰
'kang'lei'dian'chong'ji 抗雷电冲击
'kao'qin'guan'li'xi'tong 考勤管理系统
'kao'qin'ji 考勤机
'ke'shi'dui'jiang 可视对讲
'ke'song 科松
'ke'tiao 可调
'ke'xuan 可选
'ke'xuan'ying'wen 可选英文
'kong'zhi 控制
'kong'zhi'fang'shi 控制方式
'kong'zhi'ji'zhi 控制机制
'kong'zhi'jian'pan 控制键盘
'kuai'men 快门
'kuai'qiu 快球
'kuan'dong'tai 宽动态
'lan'ya'du'ka'qi 蓝牙读卡器
'li'san'xun'geng'guan'li'xi'tong 离散巡更管理系统
'lian'dong 联动
'lin'shi'fang'ke'xi'tong 临时访客系统
'lv'guang'pian 滤光片
'ma'si'kang'dian'zi 马斯康电子
'mei'dian'bei'er 美电贝尔
'men'ci'tan'ce'qi 门磁探测器
'men'ji'li 门吉利
'men'jin'guan'li'xi'tong 门禁管理系统
'men'jin'kong'zhi'qi 门禁控制器
'men'kou'ji 门口机
'mi'ma'jian'pan 密码键盘
'mian'ban 面板
'mian'ban'she'zhi 面板设置
'mo'shi 模式
'neng'dao'zhi'neng 能道智能
'pang'lu'fang'qu 旁路防区
'pi'ke 披克
'pi'ke'dian'zi 披克电子
'piao'ju'da'yin'ji 票据打印机
'ping'an 平安
'ping'an'cheng'shi 平安城市
'ping'bi'fang'qu 屏蔽防区
'ping'mu 屏幕
'qian'ru'shi 嵌入式
'qiang'guang 强光
'qiang'guang'fan'zhuan 强光反转
'qiang'guang'yi'zhi 强光抑制
'qiang'ji 枪机
'qiang'xing'she'xiang'ji 枪型摄像机
'qu'gan'dao'zha 曲杆道闸
'quan'tian'hou 全天候
'quan'tian'hou'jian'kong 全天候监控
'quan'xian 权限
'quan'zhong'wen'cai'dan 全中文菜单
'ri'ye'zhuan'huan 日夜转换
'rui'du 锐度
'rui'du'ke'tiao 锐度可调
'san'gun'zha 三辊闸
'san'tai'he'yi 三台合一
'san'xing 三星
'san'xing'guang'dian'zi 三星光电子
'san'xing'tai'ke'guang'dian'zi 三星泰科光电子
'se'cai'huan'yuan 色彩还原
'se'wen 色温
'se'xu 色序
'shang'hai'di'qu'zui'ju'ying'xiang'li'men'jin'pin'pai 上海地区最具影响力门禁品牌
'shang'xia'wu'kuang'dian'cha'suo'zhi'jia 上下无框电插锁支架
'she'xiang'ji 摄像机
'shen'fen'ren'zheng'guan'li'xi'tong 身份认证管理系统
'shen'zhen'pi'ke 深圳披克
'shen'zhen'shi'pi'ke'dian'zi'you'xian'gong'si 深圳市披克电子有限公司
'sheng'guang'jing'hao 声光警号
'shi'de'an 视得安
'shi'nei'ji 室内机
'shi'pin 视频
'shi'pin'fu'wu'qi 视频服务器
'shi'shi'lu'xiang 适时录像
'shou'chi'ji 手持机
'shou'dong 手动
'shou'dong'kuai'men 手动快门
'shou'hou'fu'wu 售后服务
'shou'quan 授权
'shu'chu'jie'kou 输出接口
'shu'ju 数据
'shu'ru'jie'kou 输入接口
'shu'zi'chu'li'qi 数字处理器
'shu'zi'jiang'zao 数字降噪
'shu'zi'xin'hao'chu'li'qi 数字信号处理器
'shuang'guang'shu'zhou'jie 双光束周界
'shuang'jian'yi'dong'tan'ce'qi 双鉴移动探测器
'shuang'men'ci'li'suo 双门磁力锁
'shuang'men'hu'suo 双门互锁
'shuang'men'kong'zhi'qi 双门控制器
'shui'kong'ji 水控机
'si'guang'shu'zhou'jie 四光束周界
'si'men'kong'zhi'qi 四门控制器
'song'xia 松下
'tan'ce'fan'wei 探测范围
'teng'long 腾龙
'tian'di'wei'ye 天地伟业
'tian'jin'ya'an 天津亚安
'ting'che'chang'guan'li'xi'tong 停车场管理系统
'tong'dao'guan'li'xi'tong 通道管理系统
'tong'dao'kong'zhi'guan'li 通道控制管理
'tong'xin'xie'yi 通信协议
'tong'xun'jie'kou 通讯接口
'tou'wu'jing'tou 透雾镜头
'tu'shu'guan'li 图书管理
'tu'xiang 图像
'tu'ya'li 图雅丽
'tuo'ji'shu'ju'bao'cun 脱机数据保存
'wang'luo 网络
'wang'luo'kong'zhi'qi 网络控制器
'wang'luo'kuo'zhan'qi 网络扩展器
'wu'feng 无缝
'wu'feng'lian'jie 无缝链接
'wu'feng'pin'jie 无缝拼接
'wu'xian'bao'jing'zhu'ji 无线报警主机
'xi'ke'mu 西科姆
'xi'tong'ruan'jian 系统软件
'xia'wu'kuang'dian'cha'suo'zhi'jia 下无框电插锁支架
'xian'cai 线材
'xian'shi 显示
'xian'shi'qi 显示器
'xiao'fang'lian'dong 消防联动
'xiao'fei'guan'li'xi'tong 消费管理系统
'xiao'fei'ji 消费机
'xiao'qu'yi'ka'tong 小区一卡通
'xiao'yuan'yi'ka'tong 校园一卡通
'xie'lou'dian'lan 泄露电缆
'xie'yi 协议
'xun'geng'ji 巡更机
'ya'li'dian'bo 压力电波
'yan'gan'tan'ce'qi 烟感探测器
'ye'jing'pin'jie 液晶拼接
'yi'ka'tong 一卡通
'yi'ka'tong'xi'tong 一卡通系统
'yi'liao'guan'li 医疗管理
'yi'liao'guan'li'xi'tong 医疗管理系统
'yi'ti'hua 一体化
'yi'ti'hua'ji'xin 一体化机芯
'yi'ti'hua'men'jin 一体化门禁
'yi'ti'hua'she'xiang'ji 一体化摄像机
'yi'ti'ji 一体机
'yi'zha'kuai'su'tong'dao 翼闸快速通道
'ying'fei'tuo 英飞拓
'ying'pan'lu'xiang'ji 硬盘录像机
'ying'wen 英文
'ying'wen'cai'dan 英文菜单
'you'hua 优化
'you'xian'bao'jing'zhu'ji 有线报警主机
'yu'yin'ti'shi 语音提示
'yuan'ju'li'du'ka'qi 远距离读卡器
'yun'su'qiu 匀速球
'yun'tai 云台
'zai'xian'xun'geng'guan'li'xi'tong 在线巡更管理系统
'zao'yin 噪音
'zeng'yi 增益
'zeng'yi'ke'tiao 增益可调
'zha'lan'gan'dao'zha 栅栏杆道闸
'zhao'du 照度
'zhao'she 照射
'zhe'jiang'da'hua 浙江大华
'zhen'dong'tan'ce'qi 震动探测器
'zhen'lie 阵列
'zhi'gan'dao'zha 直杆道闸
'zhi'hui'zhong'xin 指挥中心
'zhi'neng'hua 智能化
'zhi'wen'du'qu'qi 指纹读取器
'zhong'guo'an'fang'jie'chu'min'zu'pin'pai 中国安防杰出民族品牌
'zhong'guo'an'fang'shi'da'pin'pai 中国安防十大品牌
'zhong'ji'di'zhao'du 终极低照度
'zhong'wen'cai'dan 中文菜单
'zhong'wen'xian'shi'ping 中文显示屏
'zhou'jie 周界
'zhu'ji 主机
'zhua'che'pai 抓车牌
'zhuan'huan'ka 转换卡
'zi'dong 自动
'zi'dong'bao'guang 自动曝光
'zi'dong'guang'quan'jing'tou 自动光圈镜头
'zi'dong'kuai'men 自动快门
'zi'dong'zeng'yi 自动增益
'zi'dong'zhuan'huan 自动转换
'zi'dong'zhui'zong 自动追踪
'zui'di'zhao'du 最低照度
