'bao'song'shen'ji 报送审计
'gong'cheng'xiang'mu'shi'qian'shen'ji 工程项目事前审计
'gong'shang'dai'kuan'shen'ji 工商贷款审计
'gong'shang'shui'shou'ru'shen'ji 工商税收入审计
'gong'ye'cai'liao'shen'ji 工业材料审计
'gong'ye'cai'wu'bao'biao'shen'ji 工业财务报表审计
'gong'ye'chan'cheng'pin'shen'ji 工业产成品审计
'gong'ye'chan'pin'cheng'ben'shen'ji 工业产品成本审计
'gong'ye'gu'ding'ji'jin'shen'ji 工业固定基金审计
'gong'ye'gu'ding'zi'chan'shen'ji 工业固定资产审计
'gong'ye'huo'bi'zi'jin'shen'ji 工业货币资金审计
'gong'ye'jie'suan'zi'jin'shen'ji 工业结算资金审计
'gong'ye'li'run'fen'pei'shen'ji 工业利润分配审计
'gong'ye'li'run'shen'ji 工业利润审计
'gong'ye'liu'dong'ji'jin'shen'ji 工业流动基金审计
'gong'ye'qi'ta'tou'ru'zi'jin'shen'ji 工业其他投入资金审计
'gong'ye'qi'ta'tou'zi'shen'ji 工业其他投资审计
'gong'ye'qi'ye'chan'pin'cheng'ben'shen'ji 工业企业产品成本审计
'gong'ye'qi'ye'cheng'ben'xiao'yi'shen'ji 工业企业成本效益审计
'gong'ye'qi'ye'gu'ding'zi'jin'shi'yong'xiao'yi'shen'ji 工业企业固定资金使用效益审计
'gong'ye'qi'ye'liu'dong'zi'jin'shi'yong'xiao'yi'shen'ji 工业企业流动资金使用效益审计
'gong'ye'qi'ye'shen'ji 工业企业审计
'gong'ye'qi'ye'sheng'chan'xiao'guo'shen'ji 工业企业生产效果审计
'gong'ye'qi'ye'xiao'shou'xiao'yi'shen'ji 工业企业销售效益审计
'gong'ye'qi'ye'zong'he'xiao'yi'shen'ji 工业企业综合效益审计
'gong'ye'shen'ji 工业审计
'gong'ye'sheng'chan'fei'yong'shen'ji 工业生产费用审计
'gong'ye'xiao'shou'shen'ji 工业销售审计
'gong'ye'yin'hang'jie'kuan'shen'ji 工业银行借款审计
'gong'ye'ying'fu'kuan'shen'ji 工业应付款审计
'gong'ye'zai'chan'pin'shen'ji 工业在产品审计
'gong'ye'zhuan'xiang'zi'chan'shen'ji 工业专项资产审计
'gong'ye'zhuan'yong'bo'kuan'shen'ji 工业专用拨款审计
'gong'ye'zhuan'yong'ji'jin'shen'ji 工业专用基金审计
'guan'cha'fa 观察法
'guan'li'shen'ji 管理审计
'guan'ting'shen'ji 官厅审计
'guo'ji'nei'bu'shen'ji'shi'xie'hui 国际内部审计师协会
'guo'ji'shen'ji 国际审计
'guo'ji'shen'ji'zhun'ze 国际审计准则
'guo'ji'zui'gao'shen'ji'ji'guan'zu'zhi 国际最高审计机关组织
'guo'jia'shen'ji 国家审计
'guo'jia'shen'ji'ji'guan 国家审计机关
'guo'jia'zhuan'ye'tou'zi'gong'si'shen'ji 国家专业投资公司审计
'guo'ku'shen'ji 国库审计
'han'zheng'fa 函证法
'hang'ye'shen'ji 行业审计
'he'dui'fa 核对法
'hong'guan'jing'ji'xiao'yi'shen'ji 宏观经济效益审计
'hou'xu'shen'ji 后续审计
'huo'bi'fa'xing'shen'ji 货币发行审计
'ji'ben'jian'she'cai'wu'jue'suan'shen'ji 基本建设财务决算审计
'ji'ben'jian'she'cai'wu'shen'ji 基本建设财务审计
'ji'ben'jian'she'dai'kuan'shen'ji 基本建设贷款审计
'ji'ben'jian'she'ji'hua'shen'ji 基本建设计划审计
'ji'ben'jian'she'jun'gong'jue'suan'shen'ji 基本建设竣工决算审计
'ji'ben'jian'she'shen'ji 基本建设审计
'ji'ben'jian'she'shen'ji'dui'xiang 基本建设审计对象
'ji'ben'jian'she'shen'ji'fan'wei 基本建设审计范围
'ji'ben'jian'she'shen'ji'jian'jie'mu'di 基本建设审计间接目的
'ji'ben'jian'she'shen'ji'mu'di 基本建设审计目的
'ji'ben'jian'she'shen'ji'te'dian 基本建设审计特点
'ji'ben'jian'she'shen'ji'xue 基本建设审计学
'ji'ben'jian'she'shen'ji'yi'ju 基本建设审计依据
'ji'ben'jian'she'shen'ji'zhi'jie'mu'di 基本建设审计直接目的
'ji'ben'jian'she'shou'ru'shen'ji 基本建设收入审计
'ji'ben'jian'she'yu'suan'shen'ji 基本建设预算审计
'ji'ben'jian'she'zhi'chu'shen'ji 基本建设支出审计
'ji'ben'jian'she'zi'jin'lai'yuan'shen'ji 基本建设资金来源审计
'ji'ben'zheng'ju 基本证据
'ji'chu'zheng'ju 基础证据
'ji'hua'ren'wu'shu'shen'ji 计划任务书审计
'ji'ji'han'fa 积极函法
'ji'jian'sheng'chan'neng'li'jian'cheng'lv'shen'ji 基建生产能力建成率审计
'ji'jian'tou'chan'lv'shen'ji 基建投产率审计
'ji'jian'xiang'mu'dan'wei'tou'zi'xin'zeng'sheng'chan'neng'li'shen'ji 基建项目单位投资新增生产能力审计
'ji'jian'xiang'mu'tou'zi'hui'shou'qi'shen'ji 基建项目投资回收期审计
'ji'shu'gai'zao'dai'kuan'shen'ji 技术改造贷款审计
'ji'xiao'shen'ji 绩效审计
'jian'ding'fa 鉴定法
'jian'du'pan'cun'fa 监督盘存法
'jian'jie'zheng'ju 间接证据
'jian'she'dan'wei'shen'ji 建设单位审计
'jian'she'xiang'mu'jiao'fu'shi'yong'lv'shen'ji 建设项目交付使用率审计
'jian'she'xiang'mu'ke'xing'xing'yan'jiu'shen'ji 建设项目可行性研究审计
'jian'she'xiang'mu'mian'ji'jun'gong'lv'shen'ji 建设项目面积竣工率审计
'jian'zhu'an'zhuang'gong'cheng'cheng'ben'shen'ji 建筑安装工程成本审计
'jian'zhu'cai'liao'ji'she'bei'gong'ying'shen'ji 建筑材料及设备供应审计
'jian'zhu'gong'cheng'zhao'biao'tou'biao'shen'ji 建筑工程招标投标审计
'jian'zhu'qi'ye'cai'wu'cheng'guo'shen'ji 建筑企业财务成果审计
'jian'zhu'qi'ye'cai'wu'jue'suan'shen'ji 建筑企业财务决算审计
'jian'zhu'qi'ye'shen'ji 建筑企业审计
'jiao'fu'shi'yong'cai'chan'shen'ji 交付使用财产审计
'jin'kou'mao'yi'shen'ji 进口贸易审计
'jin'kou'ye'wu'shen'ji 进口业务审计
'jin'rong'shen'ji 金融审计
'jin'yin'guan'li'shen'ji 金银管理审计
'jing'cha'fa 精查法
'jing'guo'ji'suan'ji'shen'ji 经过计算机审计
'jing'ji'gong'zheng 经济公证
'jing'ji'he'tong'shen'ji 经济合同审计
'jing'ji'jian'du 经济监督
'jing'ji'ping'jia 经济评价
'jing'ji'shen'ji 经济审计
'jing'ji'xiao'yi'shen'ji 经济效益审计
'jing'ying'shen'ji 经营审计
'jing'ying'ze'ren 经营责任
'jiu'di'shen'ji 就地审计
'ju'bu'shen'ji 局部审计
'kan'cha'she'ji'dan'wei'cai'wu'shen'ji 勘察设计单位财务审计
'kan'cha'she'ji'shen'ji 勘察设计审计
'kou'tou'zheng'ju 口头证据
'kuai'ji'gong'zuo'shen'ji 会计工作审计
'kuai'ji'xi'tong'zheng'ju 会计系统证据
'kuai'ji'ze'ren 会计责任
'kui'sun'shen'ji 亏损审计
'la'ding'mei'zhou'shen'ji'ke'xue'xie'hui 拉丁美洲审计科学协会
'li'yong'ji'suan'ji'shen'ji 利用计算机审计
'li'yong'wai'zi'shen'ji 利用外资审计
'lian'hang'wang'lai'shen'ji 联行往来审计
'lian'he'shen'ji 联合审计
'lin'mu'ji'jin'shen'ji 林木基金审计
'lin'mu'zi'chan'shen'ji 林木资产审计
'lin'shi'shen'ji 临时审计
'ling'shou'shang'pin'gou'jin'shen'ji 零售商品购进审计
'ling'shou'shang'pin'jie'cun'shen'ji 零售商品结存审计
'ling'shou'shang'pin'liu'zhuan'xiao'yi'shen'ji 零售商品流转效益审计
'ling'shou'shang'pin'xiao'shou'shen'ji 零售商品销售审计
'miao'pu'li'run'shen'ji 苗圃利润审计
'miao'pu'sheng'chan'cheng'ben'shen'ji 苗圃生产成本审计
'miao'pu'shi'ye'fei'bo'kuan'he'zhuan'xiang'bo'kuan'zhi'chu'shen'ji 苗圃事业费拨款和专项拨款支出审计
'miao'pu'shou'ru'shen'ji 苗圃收入审计
'min'jian'shen'ji 民间审计
'min'jian'shen'ji'zu'zhi 民间审计组织
'nei'bu'kong'zhi'zhi'du 内部控制制度
'nei'bu'kong'zhi'zhi'du'liu'cheng'tu 内部控制制度流程图
'nei'bu'kong'zhi'zhi'du'ping'jia 内部控制制度评价
'nei'bu'kong'zhi'zhi'du'wen'ti'diao'cha'biao 内部控制制度问题调查表
'nei'bu'kong'zhi'zhi'du'wen'zi'shuo'ming'shu 内部控制制度文字说明书
'nei'bu'kuai'ji'kong'zhi'zhi'du 内部会计控制制度
'nei'bu'qian'zhi'zhi'du 内部牵制制度
'nei'bu'shen'ji 内部审计
'nei'bu'shen'ji'cheng'xu 内部审计程序
'nei'bu'shen'ji'ji'gou 内部审计机构
'nei'bu'xing'zheng'guan'li'kong'zhi'zhi'du 内部行政管理控制制度
'nei'bu'zheng'ju 内部证据
'ni'cha'fa 逆查法
'nong'fu'chan'pin'shou'gou'shen'ji 农副产品收购审计
'nong'fu'chan'pin'shou'gou'xiao'yi'shen'ji 农副产品收购效益审计
'nong'ye'dai'kuan'shen'ji 农业贷款审计
'nong'ye'gu'ding'zi'chan'shen'ji 农业固定资产审计
'nong'ye'liu'dong'zi'chan'shen'ji 农业流动资产审计
'nong'ye'qi'ye'fei'yong'cheng'ben'shen'ji 农业企业费用成本审计
'nong'ye'qi'ye'shou'ru'li'run'ji'qi'fen'pei'shen'ji 农业企业收入利润及其分配审计
'nong'ye'shen'ji 农业审计
'nong'ye'zhuan'xiang'zi'jin'shen'ji 农业专项资金审计
'nong'ye'zi'jin'lai'yuan'shen'ji 农业资金来源审计
'ou'zhou'gong'tong'ti'shen'ji'fa'yuan 欧洲共同体审计法院
'pan'cun'fa 盘存法
'pan'duan'chou'yang'shen'ji 判断抽样审计
'pi'fa'shang'pin'gou'jin'shen'ji 批发商品购进审计
'pi'fa'shang'pin'jie'cun'shen'ji 批发商品结存审计
'pi'fa'shang'pin'liu'zhuan'xiao'yi'shen'ji 批发商品流转效益审计
'pi'fa'shang'pin'xiao'shou'shen'ji 批发商品销售审计
'ping'xing'mo'ni'fa 平行模拟法
'qi'ling'fen'xi'fa 期龄分析法
'qi'mo'shen'ji 期末审计
'qi'ye'cai'wu'shen'ji 企业财务审计
'qi'zhong'shen'ji 期中审计
'qiang'zhi'shen'ji 强制审计
'qing'kuang'zheng'ju 情况证据
'qu'shi'fen'xi'fa 趋势分析法
'quan'bu'shen'ji 全部审计
'rao'guo'ji'suan'ji'shen'ji 绕过计算机审计
'ren'yi'chou'yang 任意抽样
'shang'ji'zhi'du 上计制度
'shang'pin'liu'tong'fei'shen'ji 商品流通费审计
'shang'pin'liu'tong'fei'xiao'yi'shen'ji 商品流通费效益审计
'shang'ye'jie'suan'zi'jin'shen'ji 商业结算资金审计
'shang'ye'li'run'shen'ji 商业利润审计
'shang'ye'shen'ji 商业审计
'shang'ye'yin'hang'jie'kuan'shen'ji 商业银行借款审计
'she'hui'shen'ji 社会审计
'she'hui'shen'ji'zu'zhi 社会审计组织
'she'hui'ze'ren'shen'ji 社会责任审计
'she'wai'ye'wu'shen'ji 涉外业务审计
'shen'ji 审计
'shen'ji'an'li 审计案例
'shen'ji'bao'gao 审计报告
'shen'ji'biao'zhun 审计标准
'shen'ji'cheng'xu 审计程序
'shen'ji'dang'an 审计档案
'shen'ji'diao'cha 审计调查
'shen'ji'du'li'xing 审计独立性
'shen'ji'dui'xiang 审计对象
'shen'ji'fen'xi'fa 审计分析法
'shen'ji'feng'xian 审计风险
'shen'ji'gong'zuo'di'gao 审计工作底稿
'shen'ji'gong'zuo'fang'an 审计工作方案
'shen'ji'gong'zuo'mo'shi 审计工作模式
'shen'ji'gong'zuo'ti'xi 审计工作体系
'shen'ji'guan'li 审计管理
'shen'ji'gui'fan 审计规范
'shen'ji'gui'ji 审计轨迹
'shen'ji'ji'lu 审计记录
'shen'ji'ji'lv 审计纪律
'shen'ji'jian'du 审计监督
'shen'ji'jie'lun 审计结论
'shen'ji'jue'ding 审计决定
'shen'ji'mu'biao 审计目标
'shen'ji'quan'wei'xing 审计权威性
'shen'ji'ren'yuan 审计人员
'shen'ji'ruan'jian'bao 审计软件包
'shen'ji'si 审计司
'shen'ji'xian'suo 审计线索
'shen'ji'xiao'yi 审计效益
'shen'ji'xin'xi'xi'tong 审计信息系统
'shen'ji'xue 审计学
'shen'ji'xue'ti'xi 审计学体系
'shen'ji'yi'jian 审计意见
'shen'ji'yi'ju 审计依据
'shen'ji'yuan 审计院
'shen'ji'yuan'ze 审计原则
'shen'ji'zheng'ju 审计证据
'shen'ji'zheng'ju'zheng'ming'li 审计证据证明力
'shen'ji'zhi'liang 审计质量
'shen'ji'zhi'neng 审计职能
'shen'ji'zhi'quan 审计职权
'shen'ji'zhi'ye'tuan'ti 审计职业团体
'shen'ji'zhun'ze 审计准则
'shen'ji'zu'zhi 审计组织
'shen'ji'zu'zhi'ti'xi 审计组织体系
'shen'yue'fa 审阅法
'sheng'tai'huan'jing'jing'ji'xiao'yi'shen'ji 生态环境经济效益审计
'shi'gong'sheng'chan'shen'ji 施工生产审计
'shi'hou'shen'ji 事后审计
'shi'jie'yin'hang'dai'kuan'lai'yuan'he'shi'yong'qing'kuang'shen'ji 世界银行贷款来源和使用情况审计
'shi'jie'yin'hang'dai'kuan'xiang'mu'cai'wu'bao'biao'shen'ji 世界银行贷款项目财务报表审计
'shi'jie'yin'hang'dai'kuan'xiang'mu'ke'xing'xing'shen'ji 世界银行贷款项目可行性审计
'shi'qian'shen'ji 事前审计
'shi'wu'zheng'ju 实物证据
'shi'ye'xing'zheng'cai'wu'shen'ji 事业行政财务审计
'shi'ye'xing'zheng'dan'wei'cai'wu'shou'ru'shen'ji 事业行政单位财务收入审计
'shi'ye'xing'zheng'dan'wei'cai'wu'zhi'chu'shen'ji 事业行政单位财务支出审计
'shi'ye'xing'zheng'dan'wei'ding'qi'bao'song'shen'ji 事业行政单位定期报送审计
'shi'ye'xing'zheng'dan'wei'jing'fei'zi'jin'jie'yu'shen'ji 事业行政单位经费资金结余审计
'shi'ye'xing'zheng'dan'wei'shen'ji 事业行政单位审计
'shi'ye'xing'zheng'dan'wei'yu'suan'bo'kuan'shen'ji 事业行政单位预算拨款审计
'shi'ye'xing'zheng'dan'wei'yu'suan'wai'zi'jin'shen'ji 事业行政单位预算外资金审计
'shi'ye'xing'zheng'dan'wei'zi'jin'shi'yong'xiao'yi'shen'ji 事业行政单位资金使用效益审计
'shi'zhong'shen'ji 事中审计
'shou'tuo'ze'ren 受托责任
'shu'ju'ce'shi'fa 数据测试法
'shu'mian'zheng'ju 书面证据
'shu'xing'chou'yang 属性抽样
'shuang'zeng'shuang'jie'shen'ji 双增双节审计
'shui'li'bu'men'fei'yong'cheng'ben'shen'ji 水利部门费用成本审计
'shui'li'bu'men'gu'ding'zi'chan'shen'ji 水利部门固定资产审计
'shui'li'bu'men'liu'dong'zi'chan'shen'ji 水利部门流动资产审计
'shui'li'bu'men'shou'ru'he'ying'kui'shen'ji 水利部门收入和盈亏审计
'shui'li'bu'men'zhuan'xiang'zi'jin'shen'ji 水利部门专项资金审计
'shui'wu'shen'ji 税务审计
'shun'cha'fa 顺查法
'si'hui 司会
'song'da'shen'ji 送达审计
'song'qing'shen'ji 送请审计
'sui'yi'shen'ji 随意审计
'suo'de'shui'shou'ru'shen'ji 所得税收入审计
'te'shu'shen'ji'yuan'ze 特殊审计原则
'ti'zhi'shen'ji 体制审计
'tiao'jie'fa 调节法
'tiao'zhang'fa 调帐法
'tiao'zheng'fa 调整法
'tong'ji'chou'yang'shen'ji 统计抽样审计
'tong'zhi'shen'ji 通知审计
'tou'zi'xiao'yi'shen'ji 投资效益审计
'tu'ji'shen'ji 突击审计
'tui'li'fa 推理法
'wai'bu'shen'ji 外部审计
'wai'bu'zheng'ju 外部证据
'wai'hui'dai'kuan'shen'ji 外汇贷款审计
'wai'hui'e'du'shen'ji 外汇额度审计
'wai'hui'shou'zhi'shen'ji 外汇收支审计
'wai'mao'qi'ye'jing'ji'xiao'yi'shen'ji 外贸企业经济效益审计
'wai'mao'qi'ye'shen'ji 外贸企业审计
'wei'guan'jing'ji'xiao'yi'shen'ji 微观经济效益审计
'wei'tuo'shen'ji 委托审计
'wu'xing'gu'ding'zi'chan'shen'ji 无形固定资产审计
'wu'zi'shen'ji 物资审计
'xian'dai'shen'ji 现代审计
'xian'jin'guan'li'shen'ji 现金管理审计
'xiang'cha'fa 详查法
'xiang'xi'shen'ji'fa 详细审计法
'xiao'guo'shen'ji 效果审计
'xiao'ji'han'fa 消极函法
'xiao'lv'shen'ji 效率审计
'xun'hui'shen'ji 巡回审计
'ye'ji'shen'ji 业绩审计
'ye'wu'shen'ji'yuan'ze 业务审计原则
'ye'wu'xing'nei'bu'kong'zhi'zhi'du 业务性内部控制制度
'yi'ban'kong'zhi 一般控制
'yi'ban'shen'ji'yuan'ze 一般审计原则
'yi'huo'mao'yi'jin'chu'kou'shen'ji 易货贸易进出口审计
'yin'hang'cai'wu'zhi'biao'shen'ji 银行财务指标审计
'yin'hang'guan'li'fei'yong'shen'ji 银行管理费用审计
'yin'hang'jie'suan'shen'ji 银行结算审计
'yin'hang'li'xi'shou'zhi'shen'ji 银行利息收支审计
'yin'hang'shen'ji 银行审计
'yin'hang'xin'dai'ji'hua'shen'ji 银行信贷计划审计
'yin'hang'ying'ye'he'fei'ying'ye'shou'zhi'shen'ji 银行营业和非营业收支审计
'ying'yong'kong'zhi 应用控制
'you'xing'gu'ding'zi'chan'shen'ji 有形固定资产审计
'yu'gao'shen'ji 预告审计
'yu'shi'da'fu 御史大夫
'zai'fu 宰夫
'zai'jian'gong'cheng'shen'ji 在建工程审计
'zeng'zhi'shui'shou'ru'shen'ji 增值税收入审计
'zhang'bu'shen'ji 帐簿审计
'zhang'hu'fen'xi'fa 帐户分析法
'zhang'ling'fen'xi'fa 帐龄分析法
'zhang'xiang'ji'chu'shen'ji 帐项基础审计
'zhen'que'xing'ce'shi 真确性测试
'zheng'cha'fa 正查法
'zheng'fu'shen'ji 政府审计
'zheng'shi'shi'yan 证实试验
'zheng'ti'ce'shi'she'shi'fa 整体测试设施法
'zhi'du'ji'chu'shen'ji 制度基础审计
'zhi'du'shen'ji 制度审计
'zhi'jie'pan'cun'fa 直接盘存法
'zhi'jie'zheng'ju 直接证据
'zhong'dian'chou'yang 重点抽样
'zhong'guo'nei'bu'shen'ji'xue'hui 中国内部审计学会
'zhong'guo'shen'ji'xue'hui 中国审计学会
'zhong'wai'he'ying'qi'ye'cai'wu'bao'biao'shen'ji 中外合营企业财务报表审计
'zhong'wai'he'ying'qi'ye'ke'xing'xing'shen'ji 中外合营企业可行性审计
'zhong'wai'he'ying'qi'ye'na'shui'shen'ji 中外合营企业纳税审计
'zhong'wai'he'ying'qi'ye'wai'hui'shen'ji 中外合营企业外汇审计
'zhong'wai'he'zi'he'zuo'jing'ying'he'tong'shen'ji 中外合资合作经营合同审计
'zhong'wai'he'zi'jing'ying'qi'ye'tou'ru'zi'ben'yan'zheng 中外合资经营企业投入资本验证
'zhuan'cheng'shen'ji 专程审计
'zhuan'xiang'gong'cheng'yu'suan'shen'ji 专项工程预算审计
'zhuan'xiang'shen'ji 专项审计
'zhuan'yong'bo'kuan'shen'ji 专用拨款审计
'zhuan'yong'ji'jin'shen'ji 专用基金审计
'zhuan'yong'jie'kuan'shen'ji 专用借款审计
'zi'chan'fu'zhai'biao'shen'ji 资产负债表审计
'zi'chou'ji'ben'jian'she'tou'zi'shen'ji 自筹基本建设投资审计
'zi'fa'xing'shen'ji 自发性审计
'zong'he'shen'ji 综合审计
'zong'ti'zheng'ju 总体证据
'zui'gao'shen'ji'ji'guan'a'la'bo'zu'zhi 最高审计机关阿拉伯组织
'zui'gao'shen'ji'ji'guan'fei'zhou'zu'zhi 最高审计机关非洲组织
'zui'gao'shen'ji'ji'guan'guo'ji'zu'zhi 最高审计机关国际组织
'zui'gao'shen'ji'ji'guan'nan'tai'ping'yang'xie'hui 最高审计机关南太平洋协会
'zui'gao'shen'ji'ji'guan'ya'zhou'zu'zhi 最高审计机关亚洲组织
'zun'xun'xing'ce'shi 遵循性测试
