'a'si'te'la'han'chuang'guo'tong'bao 阿斯特拉罕窻国通宝
'da'yi'tong'bao 大义通宝
'da'yuan'guo'bao 大元国宝
'da'yuan'tong'bao 大元通宝
'da'zhong'tong'bao 大中通宝
'da'zhou'tong'bao 大周通宝
'dang'jin 当釿
'dang'liang 当两
'dao'bi 刀币
'dao'guang'tong'bao 道光通宝
'de'yi'yuan'bao 得壹元宝
'di'bu'ba'bai 第布八百
'di'er'ci'bi'zhi'gai'ge 第二次币制改革
'di'san'ci'bi'zhi'gai'ge 第三次币制改革
'di'si'ci'bi'zhi'gai'ge 第四次币制改革
'di'yi'ci'bi'zhi'gai'ge 第一次币制改革
'ding'ping'yi'bai 定平一百
'dong'han 东汉
'dong'han'wu'zhu 东汉五铢
'dong'wu'zheng'quan 东吴政权
'dong'zhou 东周
'dong'zhuo'wu'wen'qian 董卓无文钱
'dong'zhuo'wu'zhu 董卓五铢
'duan'ping'tong'bao 端平通宝
'duan'ping'yuan'bao 端平元宝
'duan'ping'zhong'bao 端平重宝
'e'yan'qian 鹅眼钱
'fang'kong'yuan'qian 方孔圆钱
'fang'zu'bu 方足布
'fei'jin'shu'bei 非金属贝
'fei'long'jin'bao 飞龙进宝
'feng'huo 丰货
'feng'ping 封坪
'fu'chang'tong'bao 阜昌通宝
'fu'chang'yuan'bao 阜昌元宝
'fu'chang'zhong'bao 阜昌重宝
'fu'jian'tong'bao 福建通宝
'fu'sheng'bao'qian 福圣宝钱
'gan'dan 甘丹
'gan'dan'dao 甘丹刀
'gao'chang'ji'li 高昌吉利
'geng'shi'wu'zhu 更始五铢
'gong'shao'ban'jin 共少半釿
'gong'shi'nv'qian 公式女钱
'gong'tun'chi'jin 共屯赤金
'gu'bei 骨贝
'guang'ding'yuan'bao 光定元宝
'guang'tian'yuan'bao 光天元宝
'guang'xu'tong'bao 光绪通宝
'guang'xu'zhong'bao 光绪重宝
'guang'zheng'tong'bao 广政通宝
'guo'bao'zhen'kui'wu'qian 国宝珍匮五千
'guo'bao'zhen'kui'zhi'wan 国宝珍匮直万
'hai'bei 海贝
'han'xing 汉兴
'han'yuan'tong'bao 汉元通宝
'he'tian'ma'qian 和田马钱
'he'xing'qian 贺行钱
'hong'guang'tong'bao 弘光通宝
'hong'hua'tong'bao 洪化通宝
'hong'wu'tong'bao 洪武通宝
'hong'xi'tong'bao 洪熙通宝
'hong'zhi'tong'bao 弘治通宝
'huan'jin 圜金
'huan'qian 圜钱
'huan'qian 环钱
'huang'jian'yuan'bao 皇建元宝
'huang'jin'huo'bi 黄金货币
'huang'qing'tong'bao 皇庆通宝
'huang'qing'yuan'bao 皇庆元宝
'huang'song'tong'bao 皇宋通宝
'huang'song'yuan'bao 皇宋元宝
'huang'tong'tong'bao 皇统通宝
'huang'tong'yuan'bao 皇统元宝
'huang'you'yuan'bao 皇祐元宝
'hui'chang'kai'yuan 会昌开元
'hui'tong'tong'bao 会同通宝
'huo'bu 货布
'huo'guan'tong'bao 火官通宝
'huo'quan 货泉
'ji'mo'fa'hua 即墨法化
'ji'mu'qian 鸡目钱
'ji'yin 济阴
'jia'ding'tong'bao 嘉定通宝
'jia'ding'yuan'bao 嘉定元宝
'jia'jing'tong'bao 嘉靖通宝
'jia'qian 荚钱
'jia'qing'tong'bao 嘉庆通宝
'jia'tai'tong'bao 嘉泰通宝
'jia'tai'yuan'bao 嘉泰元宝
'jia'xi'tong'bao 嘉熙通宝
'jia'xi'zhong'bao 嘉熙重宝
'jia'you'tong'bao 嘉祐通宝
'jia'you'yuan'bao 嘉祐元宝
'jia'you'zhong'bao 嘉祐重宝
'jian'dang 尖裆
'jian'fu'yuan'bao 建福元宝
'jian'guo'tong'bao 建国通宝
'jian'shou'dao 尖首刀
'jian'wu'wu'zhu 建武五铢
'jian'yan'tong'bao 建炎通宝
'jian'yan'yuan'bao 建炎元宝
'jian'yan'zhong'bao 建炎重宝
'jian'zhong'tong'bao 建中通宝
'jian'zu'bu 尖足布
'jie'mo'da'dao 节墨大刀
'jie'mo'zhi'da'dao 节墨之大刀
'jie'mo'zhi'fa'hua 节墨之法化
'jie'shou'dao 截首刀
'jin'bei 金贝
'jin'shu'bei'bi 金属贝币
'jing'de'yuan'bao 景德元宝
'jing'ding'yuan'bao 景定元宝
'jing'fu'tong'bao 景福通宝
'jing'he 景和
'jing'kang'tong'bao 靖康通宝
'jing'kang'yuan'bao 靖康元宝
'jing'you'yuan'bao 景祐元宝
'ju'bang'fa'hua 莒邦法化
'ju'da'dao 莒大刀
'jun'guo'wu'zhu 郡国五铢
'kai'guo'tong'bao 开国通宝
'kai'huang'wu'zhu 开皇五铢
'kai'ping'tong'bao 开平通宝
'kai'ping'yuan'bao 开平元宝
'kai'qing'tong'bao 开庆通宝
'kai'xi'tong'bao 开禧通宝
'kai'xi'yuan'bao 开禧元宝
'kai'yuan'tong'bao 开元通宝
'kang'ding'yuan'bao 康定元宝
'kang'guo'tong'bao 康国通宝
'kang'xi'tong'bao 康熙通宝
'kong'shou'bu 空首布
'lei'fang'zu'bu 类方足步
'lei'yuan'zu'bu 类圆足布
'li'shi 离石
'li'shi'yuan'zu'bu 离石圆足布
'li'yong'tong'bao 利用通宝
'lian'bu 连布
'liang'chong'jin'wu'dang'lv'bu 梁充釿五当寽布
'liang'wu'zhu 梁五铢
'liang'zai 两甾
'liang'zao'xin'quan 凉造新泉
'liang'zhu 两铢
'liang'zhu'wu'zhu 两柱五铢
'liao'shang'ba'pin 辽上八品
'liao'xia'ba'pin 辽下八品
'lin'an'fu'qian'pai 临安府钱牌
'lin'an'qian'pai 临安钱牌
'lin'dao 蔺刀
'lin'zi'yuan'zu'bu 蔺字圆足布
'ling'gong'bai'lu'qian 令公百炉钱
'liu'jin 鎏金
'liu'quan 六泉
'long'feng'tong'bao 龙凤通宝
'long'qing'tong'bao 隆庆通宝
'long'wu'tong'bao 隆武通宝
'long'xing'tong'bao 隆兴通宝
'long'xing'yuan'bao 隆兴元宝
'long'xing'zhong'bao 隆兴重宝
'lu'dao 卤刀
'min'guo'tong'bao 民国通宝
'ming'dao 明刀
'ming'dao'yuan'bao 明道元宝
'ming'di'wu'zhu 明帝五铢
'ming'hua 明化
'ming'si 明四
'ming'yue 明月
'mu'han'mo'de'a'er'si'lan'han'qian 穆罕默德阿尔斯兰汗钱
'mu'qing'tong'bao 穆清铜宝
'nan'qian 男钱
'nv'qian 女钱
'pei'qian 旆钱
'ping'dang 平裆
'ping'jian'kong'shou'bu 平肩空首布
'ping'jing'sheng'bao 平靖胜宝
'ping'jing'tong'bao 平靖通宝
'ping'shou'dao 平首刀
'ping'shou'shi'shou'bu 平首实首布
'qi'da'dao 齐大刀
'qi'dao 齐刀
'qi'dao'wu'bai 契刀五百
'qi'fa'hua 齐法化
'qi'fan'bang'chang'da'dao 齐返邦长大刀
'qi'hua'gong'jin 齐化共金
'qi'huan'ban'jin 桼圜半釿
'qi'ming'dao 齐明刀
'qi'xiang'tong'bao 祺祥通宝
'qi'xiang'zhong'bao 祺祥重宝
'qi'yuan'yi'jin 桼垣一釿
'qi'zhi'da'dao 齐之大刀
'qi'zhi'fa'hua 齐之法化
'qian'dao'tong'bao 乾道通宝
'qian'dao'yuan'bao 乾道元宝
'qian'dao'zhong'bao 乾道重宝
'qian'de'yuan'bao 乾德元宝
'qian'feng'quan'bao 乾封泉宝
'qian'heng'tong'bao 乾亨通宝
'qian'heng'zhong'bao 乾亨重宝
'qian'long'tong'bao 乾隆通宝
'qian'tong'yuan'bao 乾统元宝
'qian'you'bao'qian 乾祐宝钱
'qian'you'yuan'bao 乾祐元宝
'qian'yuan'zhong'bao 乾元重宝
'qiao'liang'bu 桥梁布
'qiao'zu'bu 桥足布
'qin'ban'liang 秦半两
'qin'cha'han'guo'huo'bi 钦察汗国货币
'qing'bi 磬币
'qing'li'zhong'bao 庆历重宝
'qing'ning'tong'bao 清宁通宝
'qing'tai'yuan'bao 清泰元宝
'qing'yuan'tong'bao 庆元通宝
'qing'yuan'yuan'bao 庆元元宝
'qiu'ci'wu'zhu 龟兹五铢
'rui'jiao'bu 锐角布
'sa'ma'er'han'cheng'xiao'xing'yin'bi 撒马尔罕城小型银币
'san'kong'bu 三孔布
'san'zhu 三铢
'shang'bi 上币
'shang'lin'san'guan 上林三官
'shao'ding'tong'bao 绍定通宝
'shao'ding'yuan'bao 绍定元宝
'shao'sheng'tong'bao 绍圣通宝
'shao'sheng'yuan'bao 绍圣元宝
'shao'sheng'zhong'bao 绍圣重宝
'shao'xi'tong'bao 绍熙通宝
'shao'xi'yuan'bao 绍熙元宝
'shao'xing'tong'bao 绍兴通宝
'shao'xing'yuan'bao 绍兴元宝
'shen'ce'tong'bao 神册通宝
'shen'lang'wu'zhu 沈郎五铢
'sheng'song'tong'bao 圣宋通宝
'sheng'song'yuan'bao 圣宋元宝
'sheng'song'zhong'bao 圣宋重宝
'shi'bei 石贝
'shi'bu 十布
'shi'guo'nan'tang 十国南唐
'shi'ping'bai'qian 世平百钱
'shou'chang'yuan'bao 寿昌元宝
'shu'bu 殊布
'shu'bu'jin'si 殊布釿四
'shu'wu'zhu 蜀五铢
'shui'guan'tong'bao 水官通宝
'shun'tian'yuan'bao 顺天元宝
'shun'zhi'tong'bao 顺治通宝
'si'bi 四比
'si'bu'dang'jin 四布当釿
'si'chu'wu'zhu 四出五铢
'si'fu 四扶
'si'miao'gong'yang'qian'bi 寺庙供养钱币
'si'wen 四文
'si'zhu 四铢
'si'zhu'ban'liang 四铢半两
'si'zhu'wu'zhu 四柱五铢
'song'jian'kong'shou'bu 耸肩空首布
'song'yuan'tong'bao 宋元通宝
'su'lai'man'ka'tao'hua'shi'ke'han'qian 苏莱曼卡桃花石可汗钱
'su'te'kai'yuan 粟特开元
'tai'chang'tong'bao 泰昌通宝
'tai'ding'tong'bao 太定通宝
'tai'ding'tong'bao 泰定通宝
'tai'guan'tong'bao 太官通宝
'tai'he'tong'bao 泰和通宝
'tai'he'wu'zhu 太和五铢
'tai'he'zhong'bao 泰和重宝
'tai'huo'liu'zhu 太货六铢
'tai'ping'bai'qian 太平百钱
'tai'ping'sheng'bao'bei'tian'guo 太平圣宝背天国
'tai'ping'tong'bao 太平通宝
'tai'ping'tong'bao'bei'sheng'bao 太平通宝背圣宝
'tai'qing'feng'le 太清丰乐
'tai'xia'zhen'xing 太夏真兴
'tang'guo'tong'bao 唐国通宝
'tao'bei 陶贝
'tian'ce'fu'bao 天策府宝
'tian'cheng'yuan'bao 天成元宝
'tian'cong'tong'bao 天聪通宝
'tian'de'tong'bao 天德通宝
'tian'de'yuan'bao 天德元宝
'tian'de'zhong'bao 天德重宝
'tian'ding'tong'bao 天定通宝
'tian'fu'yuan'bao 天福元宝
'tian'fu'yuan'bao 天辅元宝
'tian'guo'bei'sheng'bao 天国背圣宝
'tian'guo'bei'tong'bao 天国背通宝
'tian'guo'sheng'bao'bei'tai'ping 天国圣宝背太平
'tian'guo'tai'ping'bei'sheng'bao 天国太平背圣宝
'tian'han'yuan'bao 天汉元宝
'tian'jia'wu'zhu 天嘉五铢
'tian'jian'wu'zhu 天监五铢
'tian'juan'tong'bao 天眷通宝
'tian'juan'yuan'bao 天眷元宝
'tian'juan'zhong'bao 天眷重宝
'tian'li'yuan'bao 天历元宝
'tian'lu'tong'bao 天禄通宝
'tian'ming'tong'bao 天命通宝
'tian'qi'tong'bao 天启通宝
'tian'qing'bao'qian 天庆宝钱
'tian'qing'yuan'bao 天庆元宝
'tian'sheng'yuan'bao 天圣元宝
'tian'sheng'yuan'bao 天盛元宝
'tian'tong'yuan'bao 天统元宝
'tian'wei'yuan'bao 天威元宝
'tian'xi'tong'bao 天禧通宝
'tian'xian'tong'bao 天显通宝
'tian'xing'bao'hui 天兴宝会
'tian'you'tong'bao 天佑通宝
'tian'you'yuan'bao 天佑元宝
'tian'zan'tong'bao 天赞通宝
'tong'bao'wen'qian 铜宝文钱
'tong'bei 铜贝
'tong'he'yuan'bao 统和元宝
'tong'xing'quan'huo 通行泉货
'tong'zheng'yuan'bao 通正元宝
'tong'zhi'tong'bao 同治通宝
'tong'zhi'zhong'bao 同治重宝
'tu'qi'shi'qian 突骑施钱
'wan'li'tong'bao 万历通宝
'wan'li'yin'qian 万历银钱
'wan'shou'wu'jiang'da'ya'gong'qian 万寿无疆大雅宫钱
'wang'hua'dao 王化刀
'wang'mang'bi'zhi'gai'ge 王莽币制改革
'wang'mang'she'zheng 王莽摄政
'wei'jin 卫釿
'wen'xin 文信
'wen'xin'qian'bao 文信千宝
'wu'di'ban'liang'qian 武帝半两钱
'wu'fen'qian 五分钱
'wu'jin 五金
'wu'xing'da'bu 五行大布
'wu'yang'san'kong'bu 武阳三孔布
'wu'zhu 五朱
'wu'zhu 五铢
'wu'zhu'bai'qian 五铢白钱
'xi'ning'tong'bao 熙宁通宝
'xi'ning'yuan'bao 熙宁元宝
'xi'ning'zhong'bao 熙宁重宝
'xi'qian 细钱
'xi'wang'shang'gong 西王赏功
'xi'zhou 西周
'xia'bi 下币
'xian'chun'yuan'bao 咸淳元宝
'xian'feng'tong'bao 咸丰通宝
'xian'feng'yuan'bao 咸丰元宝
'xian'feng'zhong'bao 咸丰重宝
'xian'kang'yuan'bao 咸康元宝
'xian'ping'yuan'bao 咸平元宝
'xian'qing'tong'bao 咸清通宝
'xian'tong'xuan'bao 咸通玄宝
'xian'yong'tong'bao 咸雍通宝
'xian'zong'meng'ge'a'la'bo'wen'yin'bi 宪宗蒙哥阿拉伯文银币
'xiang'fu'tong'bao 祥符通宝
'xiang'fu'yuan'bao 祥符元宝
'xiang'yin'er 襄阴二
'xiao'bu'yi'bai 小布一百
'xiao'jian'si'zhu 孝建四铢
'xiao'quan'zhi'yi 小泉直一
'xiao'wu'zhu'qian 小五铢钱
'xie'jian'kong'shou'bu 斜肩空首布
'xing'chao'tong'bao 兴朝通宝
'xu'bu'si'bai 序布四百
'xu'zhu 续铢
'xuan'cheng'wu'zhu 悬秤五铢
'xuan'de'tong'bao 宣德通宝
'xuan'di'wu'zhu 宣帝五铢
'xuan'he'tong'bao 宣和通宝
'xuan'he'yuan'bao 宣和元宝
'xuan'tong'tong'bao 宣统通宝
'yan'guo'fang'zu'bu 燕国方足布
'yan'hua 匽化
'yan'ming'dao 燕明刀
'yan'qing'yuan'bao 延庆元宝
'yan'si 匽四
'yan'yang'xin'dao 言阳新刀
'yan'you'tong'bao 延祐通宝
'yan'you'yuan'bao 延祐元宝
'yao'bu'er'bai 幺布二百
'yao'quan'yi'shi 幺泉一十
'yi'bi'qian 蚁鼻钱
'yi'dao'ping'wu'qian 一刀平五千
'yi'fan'ji'chang 伊藩吉昌
'yi'hua 一化
'yi'ji'jin'qian 义记金钱
'yi'li'han'guo'huo'bi 伊利汗国货币
'yi'zhu'zhong'yi'liang'shi'er 一铢重一两十二
'yi'zhu'zhong'yi'liang'shi'si 一铢重一两十四
'yin'bei 银贝
'ying'gan'tong'bao 应感通宝
'ying'li'tong'bao 应历通宝
'ying'yuan 郢爰
'ying'yun'yuan'bao 应运元宝
'yong'an'wu'bai 永安五百
'yong'an'wu'zhu 永安五铢
'yong'an'yi'bai 永安一百
'yong'an'yi'shi 永安一十
'yong'chang'tong'bao 永昌通宝
'yong'guang 永光
'yong'le'tong'bao 永乐通宝
'yong'li'tong'bao 永历通宝
'yong'long'tong'bao 永隆通宝
'yong'ping'wu'zhu 永平五铢
'yong'ping'yuan'bao 永平元宝
'yong'tong'quan'huo 永通泉货
'yong'tong'wan'guo 永通万国
'yong'zheng'tong'bao 雍正通宝
'you'bu'san'bai 幼布三百
'you'quan'er'shi 幼泉二十
'yu'bei 玉贝
'yu'bi 鱼币
'yu'jin'huan'qian 虞釿圜钱
'yu'min'tong'bao 裕民通宝
'yuan'de'tong'bao 元德通宝
'yuan'de'zhong'bao 元德重宝
'yuan'feng'tong'bao 元丰通宝
'yuan'feng'zhong'bao 元丰重宝
'yuan'fu'tong'bao 元符通宝
'yuan'fu'zhong'bao 元符重宝
'yuan'shi'kong'shou'bu 原始空首布
'yuan'shou'dao 圆首刀
'yuan'tong'yuan'bao 元统元宝
'yuan'you'tong'bao 元祐通宝
'yuan'zhen'tong'bao 元贞通宝
'yuan'zhen'yuan'bao 元贞元宝
'yuan'zu'bu 圆足布
'zhang'wu'zhi'bai 章武直百
'zhao'di'wu'zhu 昭帝五铢
'zhao'wu'tong'bao 昭武通宝
'zhao'xuan'wu'zhu 昭宣五铢
'zhen'guan'bao'qian 贞观宝钱
'zhen'shou'dao 针首刀
'zhen'you'tong'bao 贞祐通宝
'zhen'you'yuan'bao 贞祐元宝
'zheng'he'tong'bao 政和通宝
'zheng'he'zhong'bao 政和重宝
'zheng'long'yuan'bao 正隆元宝
'zheng'yong'qian 正用钱
'zhi'bai 直百
'zhi'bai'qian 直百钱
'zhi'bai'wu'zhu 直百五铢
'zhi'da'tong'bao 至大通宝
'zhi'da'yuan'bao 至大元宝
'zhi'dao 直刀
'zhi'dao'yuan'bao 至道元宝
'zhi'he'tong'bao 至和通宝
'zhi'he'yuan'bao 至和元宝
'zhi'he'yuan'bao 致和元宝
'zhi'he'zhong'bao 至和重宝
'zhi'ning'yuan'bao 至宁元宝
'zhi'ping'tong'bao 治平通宝
'zhi'ping'yuan'bao 治平元宝
'zhi'qian 稚钱
'zhi'shou'dao 直首刀
'zhi'shun'tong'bao 至顺通宝
'zhi'shun'yuan'bao 至顺元宝
'zhi'yang'wu'zhu 置样五铢
'zhi'yi 直一
'zhi'yuan'tong'bao 至元通宝
'zhi'zheng'tong'bao 至正通宝
'zhi'zheng'zhi'bao 至正之宝
'zhi'zhi'tong'bao 至治通宝
'zhi'zhi'yuan'bao 至治元宝
'zhi'zhi'yuan'nian 至治元年
'zhong'bu'liu'bai 中布六百
'zhong'guan'wu'zhu 锺官五铢
'zhong'he'tong'bao 重和通宝
'zhong'quan'san'shi 中泉三十
'zhong'tong'yuan'bao 中统元宝
'zhong'xi'tong'bao 重熙通宝
'zhong'yuan'fang'zu'bu 中原方足布
'zhou'yuan'tong'bao 周元通宝
'zhu'guo'yuan'bao 助国元宝
'zhu'xing 铸行
'zhu'zhong'yi'liang 珠重一两
'zhuang'bu'qi'bai 壮布七百
'zhuang'guo'yuan'bao 壮国元宝
'zhuang'quan'si'shi 壮泉四十
