'a'bi 阿碧
'gu'ping'dui'yue 孤萍对月
'gu'ren'da 贾人达
'gu'ruo'ban 古若般
'gu'se'shi 鼓瑟式
'gu'su'mu'rong 姑苏慕容
'gu'xing'zhi'ying 孤形只影
'gu'yan'wu 顾炎武
'guan'an'ji 关安基
'guan'chong'jian 关冲剑
'guan'ming'mei 关明梅
'guang'xi'li'shan'dong'li'lao'han 广西黎山洞黎老汉
'gui'er'niang 归二娘
'gui'fei'hui'mou 贵妃回眸
'gui'fei'zui'jiu 贵妃醉酒
'gui'xin'shu 归辛树
'gui'zhong 归钟
'guo'fu 郭芙
'guo'jing 郭靖
'guo'po'lu 郭破虏
'guo'san'quan 过三拳
'guo'xiang 郭襄
'guo'xiao'tian 郭啸天
'guo'yan'yun'yan 过眼云烟
'guo'yan'zhi 过彦之
'guo'yu'tang 郭玉堂
'ha'chi'da'shi 哈赤大师
'ha'da'ba 哈大霸
'ha'he'tai 哈合台
'ha'ma'gong 蛤蟆功
'ha'zong'guan 哈总管
'hai'da'fu 海大富
'hai'lan'bi 海兰弼
'hai'shi'shen'lou 海市蜃楼
'han'bao'ju 韩宝驹
'han'bing'mian'zhang 寒冰绵掌
'han'bing'shen'zhang 寒冰神掌
'han'chun'lin 韩春霖
'han'lao'gai 韩老丐
'han'lin'er 韩林儿
'han'mei'jian'zhen 寒梅剑阵
'han'qian'ye 韩千叶
'han'tie'mo 罕贴摩
'han'wen'chong 韩文冲
'han'wu'gou 韩无垢
'han'xiao'ying 韩小莹
'han'yu'bing'chan'gao 寒玉冰蟾膏
'han'zi 汉子
'hao'da'tong 郝大通
'hao'mi 郝密
'hao'tai'jian 郝太监
'he'bei'cang'zhou'zheng'jia 河北沧州郑家
'he'bi'weng 鹤笔翁
'he'da'tong 赫大通
'he'er'da 和尔大
'he'fei'jiu'tian 鹤飞九天
'he'hong'yao 何红药
'he'lao'san 贺老三
'he'li'bu 和里布
'he'lian'tie'shu 赫连铁树
'he'san'qi 何三七
'he'she'ba'da 鹤蛇八打
'he'shen 和珅
'he'shuo'li'wei 河朔立威
'he'si'hao 何思豪
'he'tai'chong 何太冲
'he'ti'shou 何惕守
'he'tie'shou 何铁手
'he'wang'hai 何望海
'he'xiang'zi'gai 鹤翔紫盖
'he'zu'dao 何足道
'hei'an'you'huo 黑暗诱惑
'hei'bai'zi 黑白子
'hei'feng'shuang'sha 黑风双煞
'hei'sha'zhang 黑砂掌
'hei'xiong 黑熊
'hei'yu'duan'xu'gao 黑玉断续膏
'heng'bai'guan'yin 横拜观音
'heng'he'ru'hai 恒河入海
'heng'jiang'fei'du 横江飞渡
'heng'shan'jian'fa 恒山剑法
'heng'shan'jian'zhen 恒山剑阵
'heng'shan'pai 恒山派
'heng'shan'pai 衡山派
'heng'shan'wu'shen'jian 衡山五神剑
'heng'yun'duan'feng 横云断峰
'heng'yun'min'tian 恒云悯天
'hong'an'tong 洪安通
'hong'chao 洪朝
'hong'fei'ming'ming 鸿飞冥冥
'hong'fu'ye'ben 红拂夜奔
'hong'jian'yu'lu 鸿渐于陆
'hong'ling'bo 洪凌波
'hong'mo'shi'xue'jian 虹魔嗜血剑
'hong'niang'zi 红娘子
'hong'qi'gong 洪七公
'hong'ren'xiong 洪人雄
'hong'sheng'hai 洪胜海
'hong'xian'dao'he 红线盗盒
'hong'ya'pai'jian 洪崖拍肩
'hong'yu'ji'gu 红玉击鼓
'hong'yun'tuo'yue 烘云托月
'hou'fei'wen 侯飞文
'hou'ren'ying 侯人英
'hou'shan'san'jue'zhao 後山三绝招
'hou'tong'hai 侯通海
'hu'ba'yin 呼巴音
'hu'bei'ruan'jia 湖北阮家
'hu'bi'lie 忽必烈
'hu'da'ge 胡大哥
'hu'de'di 胡德第
'hu'dou'hu 忽都虎
'hu'fei 胡斐
'hu'fu'ren 胡夫人
'hu'gui'nan 胡桂南
'hu'jia'dao'fa 胡家刀法
'hu'jin'hu'gu'gao 虎筋虎骨膏
'hu'lao'san 胡老三
'hu'lao'ye 胡老爷
'hu'lun'da'hu 忽伦大虎
'hu'lun'er'hu 忽伦二虎
'hu'lun'san'hu 忽伦三虎
'hu'lun'si'hu 忽伦四虎
'hu'ma'yue'ling 胡马越岭
'hu'qing'niu 胡青牛
'hu'qing'yang 胡青羊
'hu'yan'shi'ba'bian 呼延十八鞭
'hu'yan'wan'shan 呼延万善
'hu'yi'dao 胡一刀
'hu'yi'zhi 胡逸之
'hu'yin'ke 呼音克
'hu'zhao'jue'hu'shou 虎爪绝户手
'hu'zhao'shou 虎爪手
'hua'ban'du'xie'jie'yao 花斑毒蝎解药
'hua'bo'si'ji 华伯斯基
'hua'gong'da'fa 化功大法
'hua'gu'mian'zhang 化骨绵掌
'hua'hai'piao'xiang 花海飘香
'hua'he'gen 华赫艮
'hua'jian'ying 花剑影
'hua'kai'jian'fo 花开见佛
'hua'qian'yue'xia 花前月下
'hua'quan'men 华拳门
'hua'rong'yun'bin 花容云鬓
'hua'shan'jian'fa 华山剑法
'hua'shan'pai 华山派
'hua'shi'dan 化石丹
'hua'shi'fen 化尸粉
'hua'tie'gan 花铁干
'hua'wan'zi 花万紫
'hua'xue'fu'gu'fen 化血腐骨粉
'hua'yun 花云
'hua'zheng 华筝
'huai'su'zi'xu'tie 怀素自叙帖
'huan'jian'shi 幻剑式
'huan'yin'zhi 幻阴指
'huang'bo'liu 黄伯流
'huang'er'mao'zi 黄二毛子
'huang'fu 黄甫
'huang'fu'ge 皇甫阁
'huang'guo'bai 黄国柏
'huang'jin'kui 黄金魁
'huang'mei'he'shang 黄眉和尚
'huang'mian'dao'ren 黄面道人
'huang'quan'ni'liu 黄泉逆流
'huang'rong 黄蓉
'huang'sha'wan'li'bian'fa 黄沙万里鞭法
'huang'shang 黄裳
'huang'tai'hou 皇太后
'huang'tai'ji 皇太极
'huang'xi'jie 黄希节
'huang'xu'ren 黄须人
'huang'yang'zhen'shou 皇扬震首
'huang'yao'shi 黄药师
'huang'zhen 黄真
'huang'zhong'gong 黄钟公
'huang'zhong'gong 黄锺公
'huang'zong'xi 黄宗羲
'hui'cong'chan'shi 晦聪禅师
'hui'da'ruan'bian'shi'san'shi 回打软鞭十三式
'hui'fang 慧方
'hui'feng'fu'liu'dao 回风拂柳刀
'hui'feng'fu'liu'quan 回风拂柳拳
'hui'feng'luo'yan'jian 回风落雁剑
'hui'feng'luo'yan'jian'fa 回风落雁剑法
'hui'feng'zhang 回风掌
'hui'guan 慧观
'hui'jing 慧净
'hui'tou'shi'an 回头是岸
'hui'xing'fei'duo 彗星飞堕
'hui'yan'san'jue 回雁三决
'hui'yang'wu'long'gao 回阳五龙膏
'hui'yue'shi 辉月使
'hui'zhen 慧真
'hun'dun'yi'po 混沌一破
'hun'tian'gong 混天功
'hun'yuan'gong 混元功
'hun'yuan'jian 混元剑
'hun'yuan'qi 混元气
'hun'yuan'zhang 混元掌
'huo'a'yi 霍阿伊
'huo'du 霍都
'huo'qing'tong 霍青桐
'huo'yan'dao 火焰刀
'huo'yuan'long 霍元龙
'ji'biao'tou 季镖头
'ji'mie'zhao 寂灭爪
'ji'qing'xuan 姬清玄
'ji'ren'tong 吉人通
'ji'wu'shi 计无施
'ji'xiao'feng 姬晓峰
'ji'xiao'fu 纪晓芙
'ji'yu'da'ping 急雨打萍
'ji'zhang'lao 季长老
'ji'zi'jue 挤字诀
'jia'bu 贾布
'jia'chuan'jian'fa 家传剑法
'jia'dong'fang'bu'bai 假东方不败
'jia'lao'liu 贾老六
'jia'lao'zhe 贾老者
'jia'sha'fu'mo'gong 袈裟伏魔功
'jian'bu'zi'ru 剪补自如
'jian'chu 建除
'jian'guan'jia 简管家
'jian'jie 简捷
'jian'long'zai'tian 见龙在田
'jian'luo'shuang'yan 剑落双雁
'jian'ning'gong'zhu 建宁公主
'jian'ren'shen'shou 见人伸手
'jian'zhang'lao 简长老
'jiang'bai'sheng 江百胜
'jiang'nan'shi'jia 江南史家
'jiang'shang'nong'di 江上弄笛
'jiang'shi'quan 僵尸拳
'jiang'shi'quan 蒋士铨
'jiang'shi'shu 姜师叔
'jiang'si'gen 蒋四根
'jiang'tao 蒋涛
'jiang'tian'shou 蒋天寿
'jiang'tiao'hou 蒋调侯
'jiang'tie'shan 姜铁山
'jiang'wen 姜文
'jiang'xiao'tie 姜小铁
'jiao'fu 脚夫
'jiao'gong'li 焦公礼
'jiao'mu'he'shang 焦木和尚
'jiao'shi 教士
'jiao'shu'xian'sheng 教书先生
'jiao'wan'er 焦宛儿
'jiao'wen'qi 焦文期
'jiao'zhang 教长
'jie'feng 解风
'jie'jian'shi 截剑式
'jie'shou'jiu'shi 截手九式
'jie'shu 杰书
'jie'wen'bao 解文豹
'jie'xue'mi'jue 解穴秘诀
'jin'bi'sheng'hua 锦笔生花
'jin'bu'ban'lan'chui 进步搬拦锤
'jin'ding'fo'guang 金顶佛光
'jin'ding'mian'zhang 金顶绵掌
'jin'gang'ban're'zhang 金刚般若掌
'jin'gang'chan'shi'zi'hou 金刚禅狮子吼
'jin'gang'che'wei 金刚掣尾
'jin'gang'fu'hu 金刚伏虎
'jin'gang'fu'hu'dao'fa 金刚伏虎刀法
'jin'gang'hu'ti'shen'gong 金刚护体神功
'jin'gang'men 金刚门
'jin'gang'zhi 金刚指
'jin'hua'po'po 金花婆婆
'jin'long'bian'fa 金龙鞭法
'jin'lun'du'jie 金轮度劫
'jin'lun'fa'wang 金轮法王
'jin'luo'na'wang'gun 紧罗那王棍
'jin'she'chan'si'shi 金蛇缠丝式
'jin'she'jian'fa 金蛇剑法
'jin'she'lang'jun 金蛇郎君
'jin'she'pan'shen'shi 金蛇盘身式
'jin'she'qin'he'quan 金蛇擒鹤拳
'jin'she'sheng'tian'shi 金蛇升天式
'jin'she'tu'xin'shi 金蛇吐信式
'jin'she'you'shen'shi 金蛇游身式
'jin'she'you'shen'zhang 金蛇游身掌
'jin'she'zhui 金蛇锥
'jin'sheng'yu'zhen 金声玉振
'jin'wu'dao'fa 金乌刀法
'jin'wu'pai 金乌派
'jin'yan'gong 金雁功
