'a'ge'ni 阿格尼
'nian'liu'xuan'zhuan'feng'bao 念流旋转风暴
'pang'xie'guai 螃蟹怪
'pen'qi'shi'nan'zi'han 喷气式男子汉
'pu'tong'quan 普通拳
'qi'xi'mei 奇袭梅
'qi'yu 埼玉
'qing'wa'nan 青蛙男
'qiu'wu'tai'dao 丘舞太刀
'qu'dong'qi'shi 驱动骑士
'ren'niao'cao 人鸟草
'ren'zhen'ou'da 认真殴打
'ren'zhen'pao'tai 认真抛台
'ren'zhen'tou'chui 认真头槌
'ren'zhen'xian'zhuo 认真掀桌
'ren'zhen'zhe'fan'tiao 认真折返跳
'sai'er'ke'si 塞尔克斯
'san'ri'yue'cu'mei'mao 三日月粗眉毛
'sang'fu'diao'dai 丧服吊带
'sha'lu'luan'zhen 杀戮乱阵
'shan'dian'mai'ke'si 闪电麦克斯
'shan'guang'de'fo'lai'shi 闪光的佛莱士
'shan'guang'quan 闪光拳
'shan'yuan 山猿
'shao'hui'pao 烧毁炮
'shen'hai'wang 深海王
'shi'qi'wan'nian'chan'cheng'chong 十七万年蝉成虫
'shi'qi'wan'nian'chan'you'chong 十七万年蝉幼虫
'shi'zi'jian 十字键
'shou'wang 兽王
'shuai'ge'jia'mian'tian'xin'jia'mian 帅哥假面甜心假面
'shuang'shou'lian'xu'pu'tong'quan 双手连续普通拳
'shun'sha'wan 瞬杀丸
'si'nai'ke 斯奈克
'si'ying'zang'zhi'shan'san'zhan 四影葬之闪散斩
'si'zhi'jia'te'lin 死之加特林
'suo'lian 锁镰
'tan'huang'hu'zi 弹簧胡子
'tang'lang'nan 螳螂男
'tian'kong'wang 天空王
'tian'kong'zu 天空族
'tong'di 童帝
'tu'long 土龙
'tu'tou'pi'feng'xia 秃头披风侠
'wo'xiang'hui'jia'xing'ren 我想回家星人
'wu'gong'xue'di 蜈蚣学弟
'wu'gong'xue'zhang 蜈蚣学长
'wu'gong'zhang'lao 蜈蚣长老
'wu'ma'hong 乌马洪
'wu'shi'zuan'tou 武士钻头
'wu'xian'hai'dai 无限海带
'wu'zheng'qi'shi 无证骑士
'xi'qi 西奇
'xiang'ri'kui'guai'ren 向日葵怪人
'xiao'xue'ren 小雪人
'xiao'zhu'yin'hang 小猪银行
'xing'gan'qiu'fan 性感囚犯
'yi'ji'nan 一击男
'yi'miao'ren 疫苗人
'yi'neng'yan'jiu'hui 异能研究会
'yi'quan'chao'ren 一拳超人
'yin'se'liao'ya 银色獠牙
'yin'su'suo'ni'ke 音速索尼克
'ying'xiong'xie'hui 英雄协会
'yuan'zi'wu'shi 原子武士
'yuan'zi'zhan 原子斩
'zai'hai'ji'bie'gui 灾害级别鬼
'zai'hai'ji'bie'hu 灾害级别虎
'zai'hai'ji'bie'lang 灾害级别狼
'zai'hai'ji'bie'long 灾害级别龙
'zai'hai'ji'bie'shen 灾害级别神
'zhan'che'pao'zhi'quan 战车炮直拳
'zhan'li'de'long'juan 战栗的龙卷
'zhan'li'de'long'juan'feng 战栗的龙卷风
'zhe'xue'quan'shu 哲学全书
'zheng'yi'qin'bao 正义擒抱
'zheng'yi'zhuang'ji 正义撞击
'zhong'tan'ke'dang'dou'bu 重坦克裆兜布
'zhu'shen 猪神
'zhu'sun 竹笋
