'ai'dui'le 哀对乐
'che'lun'zhong'jiu'luo'yang'mai 车轮终就洛阳埋
'chen'chen'chun'ye 沉沉春夜
'chen'hou'zhu 陈后主
'chen'lv'ying'xin 尘虑萦心
'chen'sheng'bian'jiang'jiu'zheng'pao 尘生边将旧征袍
'cheng'cheng'bi'shui 澄澄碧水
'cheng'dui'shi 城对市
'cheng'lin'dui'bai'lu 赪鳞对白鹭
'cheng'ming'ru'bai'yu'pan 澄明如白玉盘
'cheng'wu'bi'zhu'mao 成屋必诛茅
'cheng'wu'ma 乘五马
'chi'an'dui'zhu'ya 赤岸对朱崖
'chi'bao'dui'xuan'yuan 赤豹对玄猿
'chi'bi'dui'qing'tian 赤壁对青田
'chi'chi'wan'zhao 迟迟晚照
'chi'dui'qian 侈对悭
'chi'guan'mo'kui'tian 持管莫窥天
'chi'hao'dui'chun'hong 齿皓对唇红
'chi'yi'qi 驰驿骑
'chi'zhong'zhuo'zu'shui 池中濯足水
'chong'guo'gong'ming'dang'hua'ge 充国功名当画阁
'chou'zhong'dui'meng'li 愁中对梦里
'chu'cao'qi'fa'ze'bao'mao 楚曹齐伐责包茅
'chu'chu'zhou'zhong'zheng'xi'zong 处处舟中争系粽
'chu'dian'dui'shang'jiao 楚甸对商郊
'chu'guan'lao'zi 出关老子
'chu'guo'dai'fu'chen'gu'shui 楚国大夫沉汩水
'chu'kuang'ge 楚狂歌
'chu'mo'yu'bo'ou'dui'dui 出没浴波鸥对对
'chu'qi'wei'zhong'hou'yuan'kui 出妻为种后园葵
'chu'ren'shui'shi'qu'yuan'xing 楚人谁识屈原醒
'chu'shi'zhen'wei'feng'feng'shi 出使振威冯奉世
'chuan'dui'jing 传对经
'chuan'xin'zi'qing'qian'li'yan 传信子卿千里雁
'chuang'qian'ying'bing'yu 窗前莺并语
'chuang'xia'du'shu'deng 窗下读书灯
'chuang'xia'jia'ren 窗下佳人
'chuang'xia'shu'sheng'shi'feng'yong 窗下书生时讽咏
'chui'yu'di 吹玉笛
'chun'can'dui'xia'lao 春残对夏老
'chun'chao'hua'fa 春朝花发
'chun'chao'pin'fan'lv'yang'jiao 春朝频泛绿杨骄
'chun'dui'chi 唇对齿
'chun'dui'xia 春对夏
'chun'fen'dui'xia'zhi 春分对夏至
'chun'feng'lian'mu 春风帘幕
'chun'feng'liang'an'wu'ling'tao 春风两岸武陵桃
'chun'feng'niao'niao 春风袅袅
'chun'ji'lao 春既老
'chun'nuan'xing'kai'hua 春暖杏开花
'chun'pan'shui'chi'bing 春泮水池冰
'chun'ri'yuan'zhong'ying'qia'qia 春日园中莺恰恰
'chun'ri'zheng'yi'chao'kan'die 春日正宜朝看蝶
'chun'shi'gong'nong'fu'zhi'can 春时供农妇之蚕
'chun'shui'cai'shen 春水才深
'chun'tang'jing'yu'fang 春棠经雨放
'chun'xuan'tao'li'ben'wu'yan 春喧桃李本无言
'chun'xuan'zi'ri'qi 春暄资日气
'chun'yin'fang'gui 春饮方归
'chun'yuan'hua'liu'di 春园花柳地
'chuo'lu'tong'qi'wan'zhi'cha 啜卢同七碗之茶
'ci'ren'dui'fu'ke 词人对赋客
'cui'yan'dui'cang'ya 翠巘对苍崖
'cui'zhu'dui'huang'hua 翠竹对黄花
'cun'yin'chi'bi 寸阴尺璧
'cuo'e'shi'er'wei'feng 嵯峨十二危峰
'dai'kui'qin 戴逵琴
'dan'dang'yue'yi 担当月一
'dan'dui'nong 淡对浓
'dan'er'ru'shui 淡而如水
'dan'guan'dui'jie'shou 弹冠对结绶
'dan'li'chuan'lai'zi'hai'nan 丹荔传来自海南
'dang'dang'dui'wei'wei 荡荡对巍巍
'dang'lu'gu'jiu'tan'wen'jun 当垆沽酒叹文君
'dao'bi'yang'xiao'he 刀笔仰萧何
'dao'pang'xi'jian'zi'ying'jiang 道旁系剑子婴降
'dao'yuan'dui'chan'an 道院对禅庵
'de'bei'dui'en'zhao 德被对恩罩
'de'dui'en 德对恩
'de'you'lin 德有邻
'deng'dui'cha 等对差
'di'bei'dui'tian'nan 地北对天南
'di'dui'tian 地对天
'di'jiong'dui'tian'gao 地迥对天高
'di'jiu'dui'tian'chang 地久对天长
'di'lu'zhou 荻芦洲
'di'wei'qi 地围棋
'di'xiong'rang'guo'you'yi'qi 弟兄让国有夷齐
'di'yun'he'xie 笛韵和谐
'dian'dui'lou 殿对楼
'dian'yuan'yin'jian 颠猿饮涧
'diao'dui'geng 钓对耕
'diao'ke'dui'geng'fu 钓客对耕夫
'ding'gu'meng'song 丁固梦松
'dong'dui'chao 董对晁
'dong'jiang'shang'zhi'pi'pa 动江上之琵琶
'dong'que'dui'hun'ya 冻雀对昏鸦
'dong'tang'jiao'lv'ying'yao'yao 东堂蕉绿影摇摇
'dong'you'shi 动有时
'du'bu'shi'tong'deng 独步时同登
'du'cheng'tou'zhi'bi'li 度城头之筚篥
'du'he'dui'shuang'xian 独鹤对双鹇
'du'juan'dui'kong'que 杜鹃对孔雀
'du'ling'bu'zuo'hai'tang'shi 杜陵不作海堂诗
'du'shu'gan'ci'gu 读书甘刺股
'du'wo'dui'tong'hang 独卧对同行
'du'zhi'shi'shu 笃志诗书
'duan'dui'chang 短对长
'duan'he'dui'hua'ju 短褐对华裾
'duan'ji'zhi'you'le'yang'qi 断机只有乐羊妻
'duo'dui'shao 多对少
'duo'liu'dui'chui'yang 亸柳对垂杨
'duo'shuo'zhi'san'tang'jing'de 夺槊至三唐敬德
'e'guan'dui'bo'dai 峨冠对博带
'e'xia'xian'yi'wan'xin'yue 额下现一弯新月
'er'dui'nv 儿对女
'er'ting'dui'yao'wen 迩听对遥闻
'er'wei'san 二为三
'fan'dui'jian 繁对简
'fan'gong'ji'mo'yi'yun'yan 梵宫寂寞倚云岩
'fan'ji'chong'zhi'mi'zao 翻几重之密藻
'fan'xian'cha 泛仙槎
'fan'zeng'dui'yan'piao 范甑对颜瓢
'fang'chi'yu'xi'ji'he'feng 芳池鱼戏芰荷风
'fang'he'dui'guan'e 放鹤对观鹅
'fang'you'dui'xun'seng 访友对寻僧
'fang'zhi'tian'di'tai'jiao 方知天地泰交
'fei'zi'qi 妃子骑
'fen'jin'qi'bao'shu 分金齐鲍叔
'fen'shi'dui'tong'niu 豮豕对童牛
'fen'shui'ding 汾水鼎
'feng'bi'dui'tan'huan 奉壁对探镮
'feng'bi'lin'xiang'ru 奉璧蔺相如
'feng'cuo'xi'liu'ya'fu'ying 风搓细柳亚夫营
'feng'dui'jian 丰对俭
'feng'dui'ya 风对雅
'feng'dui'yu 逢对遇
'feng'fei'fang'hui'hui 凤飞方翙翙
'feng'fu'hu 冯妇虎
'feng'ji'han'ting'wu 风急撼庭梧
'feng'liu'wu'xian'yao 风柳舞纤腰
'feng'luan'fu'di'xiu 峰峦夫地秀
'feng'luan'rao'she 峰峦绕舍
'feng'nian'xian'zhao 丰年先兆
'feng'qing'dui'yue'lang 风清对月朗
'feng'rao'duo 风绕铎
'feng'rao'wu 风绕屋
'feng'sheng'dui'yue'se 风声对月色
'feng'xi'xi 风淅淅
'feng'xi'xi 风飁飁
'feng'xi'xun'zhong'qin'chang 凤兮洵众禽长
'feng'yao'dui'die'chi 蜂腰对蝶翅
'feng'yue'ku 风月窟
'feng'zhu'dui'luan'qi 凤翥对鸾栖
'fo'shi'seng 佛时僧
'fo'tang'dui'xian'dong 佛堂对仙洞
'fu'dong'qin'xian 抚动琴弦
'fu'dui'pan 附对攀
'fu'dui'pin 富对贫
'fu'dui'shi 赋对诗
'fu'dui'zai 福对灾
'fu'fen'dui'shi'zhu 傅粉对施朱
'fu'fu'zao'mei'si'yi'shi 馥馥早梅思驿使
'fu'mei'dui'cheng'fei 服美对乘肥
'fu'ren'xuan 夫人轩
'fu'shu'lv'zhu'zheng'ying'chuang 扶疏绿竹正盈窗
'fu'yang'qun'li 抚养群黎
'fu'zi'yi'er'mei'de 赋缁衣而美德
'gai'dui'zhuang 盖对撞
'gan'lan'dui'pu'tao 橄榄对葡萄
'gao'dui'xia 高对下
'gao'lou'dui'sui'ge 高楼对邃阁
'gao'yi'ruo'tian 高矣若天
'gao'zhang'cui'wo 高张翠幄
'ge'bei'bi 歌北鄙
'ge'bei'jin'yi'shang'chan 歌贝锦以伤谗
'ge'bei'tang'zheng'yin'chou'xiang 葛被汤征因仇饷
'ge'dui'ge 歌对歌
'ge'dui'jia 戈对甲
'ge'jin'dui'li'zhang 葛巾对藜杖
'ge'jiu'qu 歌旧曲
'ge'lian'dui'jie'kou 歌廉对借寇
'gong'bei'zhong'xing'chang'can'can 拱北众星常灿灿
'gong'dui'man 恭对慢
'gong'fu'xuan'ni'xiu'jia'gai 共服宣尼休假盖
'gong'hua'dui'yu'liu 宫花对御柳
'gong'ren'bao'ji 宫人宝髻
'gong'zhong'gao'cha'jiu'guang'deng 宫中高插九光灯
'gong'zi'zhui'huan 公子追欢
'gu'di'chui'duo'liu 古堤垂亸柳
'gu'dui'jin 古对今
'gu'dui'qi 鼓对旗
'gu'guo'dui'ta'bang 故国对他邦
'gu'qin'dui'she'se 鼓琴对舍瑟
'gu'shui'dui'shan'tao 谷水对山涛
'gu'xian'chang'du'hou 古贤尝笃厚
'gu'zhen'dui'zhong'zhuang 鼓振对钟撞
'gu'zhou'dui'duan'zhao 孤舟对短棹
'gua'bai'chi'zhi'chui'teng 挂百尺之垂藤
'gua'dui'guo 瓜对果
'gua'yu'zeng 挂鱼罾
'guan'dui'dai 冠对带
'guan'he'di'ge'yu'xiao'xiao 关河地隔雨潇潇
'guan'qi'bu'jue'lan'qiao'ke 观棋不觉烂樵柯
'guan'shan'dui'wan'shui 观山对玩水
'guan'shuang'diao 贯双雕
'guan'wei'bian 观韦编
'gui'dui'ju 规对矩
'gui'ling'dui'mei'xi 桂岭对梅溪
'gui'shu'wu'xi'zhi'dai 贵束乌犀之带
'gui'ye'wei 龟曳尾
'gun'yi'wei're'yu'lu'xiang 衮衣微惹御炉香
'guo'shi'tun'bian'xing'zhi'tan 国士吞变形之炭
'hai'chan'lun'man 海蟾轮满
'hai'dui'he 海对河
'hai'men'fan'xi'lang 海门翻夕浪
'hai'tang'chun'shui'zao 海棠春睡早
'hai'tang'zhi'shang'zi'gui'ti 海棠枝上子规啼
'hai'zhou'ren'zhi'shui'su 骇舟人之水宿
'han'bing'san'chi'hou 寒冰三尺厚
'han'dai'gong'zhong'sheng'xiu'zuo 汉代宫中生秀柞
'han'dui'huai 汉对淮
'han'dui'shu 寒对暑
'han'dui'yin'ling'xue 寒堆阴岭雪
'han'huang'zhi'jiu'wei'yang'gong 汉皇置酒未央宫
'han'ji'xie'zhuang'yi'shang'xue 寒集谢庄衣上雪
'han'lu'dui'su'yan 韩卢对苏雁
'han'lu'dui'tang'ni 汉露对汤霓
'han'she'dui'zhou'bang 汉社对周邦
'han'sheng'chang'qie'jia'gong'xiang 韩生尝窃贾公香
'han'shi'fang'chen'hua'lan'man 寒食芳辰花烂熳
'han'shi'ji'neng'fen'si'xing 汉室既能分四姓
'han'tian'yuan'zhang'jiu 寒天鸳帐酒
'han'wu'gui 韩五鬼
'han'xin'wu'neng'zeng'si'hai 韩信武能增四海
'han'zhan'dui'nuan'xi 寒毡对暖席
'han'zhi'tai'ping'san'chi'jian 汉致太平三尺剑
'han'zhong'zong 汉中宗
'han'zhu'ying'huang'huang 寒烛影煌煌
'hao'jian'dui'bi'di 毫尖对笔底
'hao'jin'wang'ji 豪矜王济
'hao'jing'you'qi 好景有期
'hao'ke'xun'chun 豪客寻春
'hao'ma'jun'wang'ceng'shi'gu 好马君王曾市骨
'hao'mei'xi'sou'shai'yu'suo 皓眉溪叟晒渔蓑
'hao'ran'lv 浩然驴
'hao'you'dui'jia'bin 好友对嘉宾
'hao'yue'zhao'lou'tai 皓月照楼台
'hao'yue'zhao'shu'chuang 皓月照书窗
'he'chang'dui'fu'duan 鹤长对凫短
'he'cheng'xuan 鹤乘轩
'he'chu'chun'chao'feng'jing'hao 何处春朝风景好
'he'dui'hai 河对海
'he'he'li'tian'qiu'ri 赫赫丽天秋日
'he'lang'bi'shang'ji'qing'ying 何郎鼻上集青蝇
'he'pan'cong'yu'xi 荷盘从雨洗
'he'pu'you'zhu'huan 合浦有珠还
'he'shu'ling 鹤梳翎
'he'shui'yi'yuan'xing'mi'mi 河水一源形弥弥
'he'tuo'nan 何妥难
'hei'zhi'dui'dan'wan 黑志对弹丸
'heng'dui'shu 横对竖
'heng'feng'qiu'zao 衡峰秋早
'heng'shuo'fu'shi'chuan'meng'de 横槊赋诗传孟德
'heng'zui'yan 横醉眼
'hong'dui'zi 红对紫
'hong'hong'chu'di'chun'lei 轰轰出地春雷
'hong'jie'gu'yi'xi'cui 轰羯鼓以奚催
'hong'luo'zhang 红罗帐
'hou'dui'xian 后对先
'hou'jia'dui'xian'geng 后甲对先庚
'hu'bao'dui'xiong'pi 虎豹对熊罴
'hu'dui'chuang 户对窗
'hu'jie'dui'long'qi 虎节对龙旗
'hu'ju'dui'long'pan 虎踞对龙蟠
'hu'pao'xiao 虎咆哮
'hu'shi'yi'dan'dan 虎视已眈眈
'hu'si'dui'yuan'nao 虎兕对猿猱
'hu'wei'bu'jia 狐威不假
'hu'xiao'dui'long'yin 虎啸对龙吟
'hu'xue'dui'long'yuan 虎穴对龙渊
'hu'ye'zhen'bai'shou'zun 虎也真百兽尊
'hu'zhao'dui'long'lin 虎爪对龙麟
'hu'zhong'ri'yue 壶中日月
'hua'bei'lei 花蓓蕾
'hua'can'wu'xi'die 花残无戏蝶
'hua'cang'gu'jiu'shi 花藏沽酒市
'hua'jian'dui'cao'zi 花笺对草字
'hua'jian'shuang'fen'die 花间双粉蝶
'hua'jing'qi'xiang'chen 花径起香尘
'hua'kai'hong'jin'xiu 花开红锦绣
'hua'kai'tang'yuan 花开唐苑
'hua'ping'wu'bi'zuo'fei'ying 画屏误笔作飞蝇
'hua'pu'chun'can'wu'ke'dao 花圃春残无客到
'hua'pu'yue'nong'nong 花圃月浓浓
'hua'se'jian'dan'qing 画色间丹青
'hua'tang'shi'jin'zhang 画堂施锦帐
'hua'you'yan 花有艳
'hua'yue'dui'xiang'jiang 华岳对湘江
'hua'zhuo'shuo 花灼烁
'huai'ren'cheng'zu'zu 怀仁称足足
'huan'fu'qin'xian 缓抚琴弦
'huan'qing'dui'lv'kuang 宦情对旅况
'huan'rao'si'qing'luo'dai 环绕似青罗带
'huang'er'jie'chuan'shu 黄耳解传书
'huang'fa'cun'tong'tui'mu'li 黄发村童推牧笠
'huang'mao'dui'bai'di 黄茅对白荻
'huang'niao'yu'jiao'you 黄鸟语交友
'huang'niu'xia 黄牛峡
'hui'ge'neng'tui'ri 挥戈能退日
'hui'wen'jin'zi'dou'tao'shu 回文锦字窦滔书
'huo'dui'hui 火对灰
'ji'bei'dui'liao'dong 冀北对辽东
'ji'dian'lu'si 几点鹭鸶
'ji'dian'xiao'tian'xing 几点晓天星
'ji'dui'xu 疾对徐
'ji'dui'xuan 寂对喧
'ji'feng'zhou'hou 既逢周后
'ji'ji'qiu'chao 寂寂秋朝
'ji'lu'dui'gao'chai 季路对高柴
'ji'mei'shui'xin'yi'zhi'duo 寄梅谁信一枝多
'ji'ming'ren'yi'chu'han'guan 鸡鸣人已出函关
'ji'qiu'dui'zhang'lv 箕裘对杖履
'ji'shi'qing 击石磬
'ji'si'yang'liu'can'yan 几丝杨柳残烟
'ji'xiong'yi'hua 吉凶异画
'ji'xue'yong'yuan'men 积雪拥袁门
'ji'ye'shuang'fei 几夜霜飞
'ji'zhen'qiu'feng'neng'ying'hou 几阵秋风能应候
'jia'dui'guo 家对国
'jia'dui'zhen 假对真
'jia'dun'you'ren 嘉遁幽人
'jia'he'you'xia'han 嘉禾忧夏旱
'jia'jia'tai'shang'jing'chuan'zhen 家家台上竞穿针
'jia'ren'juan'xiu 佳人倦绣
'jia'ren'yan'mao'hai'tang'jiao 佳人颜貌海棠娇
'jia'ru'ding 郏鄏鼎
'jia'ru'dui'han'dan 郏鄏对邯郸
'jia'yi'fu'cheng'shang'fu'niao 贾谊赋成伤鵩鸟
'jian'chong'mo 剑重磨
'jian'dui'dao 剑对刀
'jian'dui'tian 减对添
'jian'dui'wen 见对闻
'jian'dui'xi 涧对溪
'jian'ge'meng'yang'ming 剑阁孟阳铭
'jian'ku'dui'yan'gan 谏苦对言甘
'jian'niu'dui'pin'ma 犍牛对牝马
'jian'shi'qin 剑时琴
'jian'shui'dui'chi'bing 涧水对池冰
'jian'yi'ming 煎异茗
'jiang'dui'sheng 降对升
'jiang'dui'yu 将对欲
'jiang'feng'dui'hai'wu 江风对海雾
'jiang'han'jie'tian'liu 江汉接天流
'jiang'jun'e 将军鹅
'jiang'jun'yuan'hui 将军元晖
'jiang'lou'hong'chang 江楼宏敞
'jiang'pu'ren'gui'fan 江浦认归帆
'jiang'shui'liu'chang 江水流长
'jiang'tou'ri'chu 江头日出
'jiang'xiao'tang'di'dian 绛霄唐帝殿
'jiao'dui'tou 角对头
'jiao'tu'dui'yao'hu 狡兔对妖狐
'jie'cao'dui'xian'huan 结草对衔环
'jie'fa'wei'wen'tao'kan'mu 截发惟闻陶侃母
'jie'ni'shuang'zi'yan 街泥双紫燕
'jie'wang'shi'dao'sha'long'pang 桀王失道杀龙逄
'jin'cheng'san'yue'liu 金城三月柳
'jin'dui'yu 金对玉
'jin'fei'cui 金翡翠
'jin'gu'dui'zheng'pi 禁鼓对征鼙
'jin'gu'wu'ren'neng'shou'he 今古无人能手荷
'jin'ji'yun 晋机云
'jin'ke'za 金匼匝
'jin'long'dui'cai'feng 金龙对彩凤
'jin'ma'shan 金马山
'jin'se'dui'yao'qin 锦瑟对瑶琴
'jin'shi'te'qi 晋士特奇
'jin'shi'zhi'zhi'shan'jian'zui 晋士只知山简醉
'jin'song'dui'sui'tang 晋宋对隋唐
'jin'xiu'dui'qiong'yao 锦绣对琼瑶
'jin'xiu'dui'zhu'ji 锦绣对珠玑
'jing'dui'pei 旌对旆
'jing'ju'dui'chi'he 径菊对池荷
'jing'kan'diao'e'heng'qiu 惊看雕鹗横秋
'jing'lian'dui'yi'si 镜奁对衣笥
'jiu'bu'zi 鸠哺子
'jiu'hui'chang 九回肠
'jiu'jiao'you'tuo'guan'ren'can 旧交犹脱馆人骖
'jiu'jing'dui'san'shi 九经对三史
'jiu'lan'dui'ge'ba 酒阑对歌罢
'jiu'liang'hong'shen'zhou'pu'ye 酒量洪深周仆射
'jiu'niu'mao 九牛毛
'jiu'qian'dui'shi'zhai 酒钱对诗债
'jiu'shi'wu'qing'lian 酒市舞青帘
'jiu'ting'dui'yu'zhou 酒艇对渔舟
'jiu'xia'dui'san'dong 九夏对三冬
'jiu'xiao'chou 酒消愁
'jiu'xiao'peng 九霄鹏
'jiu'ze'dui'san'jiang 九泽对三江
'ju'fu'dui'lan'fen 菊馥对兰芬
'ju'hai'dui'chang'jiang 巨海对长江
'ju'hu'chuang'er'ke'wan 据胡床而可玩
'ju'jing'dui'tai'jie 菊径对苔阶
'ju'jue'zuo'zhong'feng'yu'zhi 遽觉座中风雨至
'ju'kan'huai 橘堪怀
'ju'li'yue'chi 巨鲤跃池
'ju'mang'dui'chang'jiao 巨蟒对长蛟
'ju'wu'lu 居无庐
'juan'zhu'lian 卷珠帘
'jun'ge'dui'gao'tai 峻阁对高台
'jun'shi'ju'guan 俊士居官
'kai'dao'jing'hai'gua 开道竟还瓜
'kai'dui'luo 开对落
'kan'wei'wu'zong'zhi'gui 堪为五总之龟
'ke'bi'yi'ban'zhi'bao 可比一斑之豹
'ke'cheng'jin'luo'ma 客乘金络马
'ke'dui'kan 可对堪
'ke'ju'jiang'you 客居江右
'ke'lu'dui'yu'ji 客路对渔矶
'ke'mi'ji'huang'feng 课密几黄蜂
'ke'shi'yu'ren'jie'wang 可使渔人结网
'ke'ye'hu'ran'sheng'fu'shang 柯叶忽然生腹上
'ke'zhen'ju'jiu 客斟菊酒
'ke'zhi'qing'zhe'sheng'yu'lan 可知青者胜于蓝
'kong'bei'hai 孔北海
'kong'zhang'yi'lin 恐彰已吝
'kong'zi'zuo'chun'qiu 孔子作春秋
'kou'dui'xin 口对心
'ku'dui'xian 苦对咸
'kuan'dui'meng 宽对猛
'kuang'jia'die 狂蛱蝶
'kuang'ye'dui'ping'yuan 旷野对平原
'kun'shan'wei'yu'ji 昆山惟玉集
'la'li'ya 剌吏鸭
'lai'dui'wang 来对往
'lai'hong'dui'qu'yan 来鸿对去燕
'lan'fu'qi'xian'lv'qi 懒抚七弦绿绮
'lan'zhe'yao 懒折腰
'lang'dui'bo 浪对波
'lang'yuan'dui'peng'lai 阆苑对蓬莱
'lao'dui'zhuang 老对庄
'lao'lai'xin'ai'zhe'yi'ban 老莱新爱着衣斑
'le'yin'zhe'zhi'shan'ju 乐隐者之山居
'le'zou'ba'yin'xie 乐奏八音谐
'lei'guo'yan'zhi'xiang'ai 类过雁之相挨
'lei'huan'jian 雷焕剑
'lei'sheng'dui'dian'ying 雷声对电影
'lei'tong'shi'qing'shan 泪痛湿青衫
'li'bai'dui'yang'zhu 李白对杨朱
'li'bai'neng'shi'shi'bing'bi 李白能诗时秉笔
'li'bie'zun'bei 礼别尊卑
'li'chu'dui'lei'si 犁锄对耒耜
'li'dui'kan 离对坎
'li'dui'tao 李对桃
'li'duo'jun'zi'lv'qian'qian 礼多君子屡谦谦
'li'guang'han'jiang'jun 李广汉将军
'li'he'dui'ti'yuan 唳鹤对啼猿
'li'hun'bu'jue'an'ran'xiao 离魂不觉黯然消
'li'kou'fu'jia'bang 利口覆家邦
'li'ku'dui'gua'tian 李苦对瓜甜
'li'qu'ting'yang'guan 离曲听阳关
'li'san'ren 李三人
'li'ying'men 李膺门
'li'yong'dui'tu'ge 里咏对途歌
'li'you'gong'dan'zuo 礼由公旦作
'li'zhang'sou 藜杖叟
'lian'heng'shu'miao 练横树杪
'lian'wai'yan'shuang'fei 帘外燕双飞
'liang'an'xiao'yan'yang'liu'lv 两岸晓烟杨柳绿
'liang'bin'feng'shuang 两鬓风霜
'liang'chui'yi'qin'chui'bei'leng 凉吹已侵垂被冷
'liang'di'jiang'jing'tong'tai'si 梁帝讲经同泰寺
'liang'dui'san 两对三
'liang'fu'yong 梁父咏
'liang'yao'die'ming 两曜迭明
'liang'yao'dui'san'tai 两曜对三台
'lin'dui'feng 麟对凤
'lin'dui'jiao 吝对骄
'lin'mao'niao'pin'qi 林茂鸟频栖
'lin'sou'dui'que'chao 麟薮对鹊巢
'lin'xia'feng'sheng 林下风生
'ling'bei'dui'jiang'dong 岭北对江东
'liu'an'dui'tao'yuan 柳岸对桃源
'liu'chao'dui'san'guo 六朝对三国
'liu'dui'yan 柳对颜
'liu'jun'gong 六钧弓
'liu'ling'ai'jiu'mei'bo'zao 刘伶爱酒每馎糟
'liu'nei'ji'huang'ying 柳内几黄莺
'liu'qi'dui'song'shan 柳杞对松杉
'liu'tang'feng'dan'dan 柳塘风淡淡
'liu'tang'sheng'xi'lang 柳塘生细浪
'liu'xian'ren'feng'cha 柳线任风槎
'liu'xiang'ge 刘向阁
'liu'xiao'dui'kui'qing 柳枭对葵倾
'liu'yao'chun'bai'zhou 柳摇春白昼
'liu'yi'yi 柳依依
'liu'ying'dui'hua'xiang 柳影对花香
'long'chi'dui'feng'zhao 龙池对凤沼
'long'ma'cheng'he 龙马呈河
'long'sheng'jiao 龙生矫
'long'xian'san'zhu'bo'shan'lu 龙涎三炷博山垆
'long'ye'fei 龙也吠
'long'zhou'dui'feng'nian 龙舟对凤辇
