'a'er'fa 阿尔法
'dan'de'lai 丹德莱
'dao'cao'ren 稻草人
'de'er 德尔
'de'huang 德皇
'de'huang'mei'gai'zao 德皇没改造
'de'huang'mei'xin'yi 德皇没新衣
'de'huang'yi'mi'yi 德皇一米一
'de'la'gong'nuo'fu 德拉贡诺夫
'de'li'er 德利尔
'de'li'sha 德丽莎
'de'lin'jia 德林加
'de'lin'jie 德林杰
'di'guo'de'dong'shi'zhang 帝国的董事长
'di'guo'de'huang'nv 帝国的皇女
'dian'chi 电池
'dian'fan'bao 电饭煲
'dian'zi'yue'gong 电子越共
'du'fa'shi 独法师
'duan'hou'die 断后爹
'dun'jia'yao'jing 盾甲妖精
'duo'luo'xi 多萝西
'er'ci'yuan'shou'you'jie'huang'pu'jun'xiao 二次元手游界黄埔军校
'er'ci'yuan'shou'you'jie'zhen'yao'ta 二次元手游界镇妖塔
'fa'guan 法官
'fa'guo'fan'qie 法国番茄
'fa'ma'si 法玛斯
'fang'hu'men 防护门
'fang'wei'zhe 防卫者
'fang'yu'yao'jing 防御妖精
'fei'de'luo'fu 菲德洛夫
'fei'er 菲尔
'fen'hong'miao'miao'quan 粉红喵喵拳
'feng'bao 风暴
'feng'ge 枫哥
'feng'niao 蜂鸟
'fu'wang 斧王
'gan'rao'zhe 干扰者
'gang'ban 钢板
'gao'biao'shi'xing 高标十型
'gao'da'mi'ma 高达密码
'ge'li'fen 格里芬
'ge'li'fen'gao'da 格里芬高达
'ge'li'fen'mu'xing'pao 格里芬木星炮
'ge'lin'na 格琳娜
'ge'luo'ke 格洛克
'ge'na'ku 格纳库
'gong'shi'yao'jing 工事妖精
'gou'zi 狗子
'gou'zi'ge 钩子哥
'gui'du'zhi 龟度制
'gui'yi'kuang'chao 诡疫狂潮
'gui'zi'shou 刽子手
'guo'guo'sha 锅锅沙
'hai'li'ai'ta 海莉艾塔
'hai'tan'yao'jing 海滩妖精
'hai'xing'xi'tong 海星系统
'han'yang'zao'ba'ba'shi 汉阳造八八式
'hao'er 浩二
'he'li'an 赫丽安
'hei'mei 黑妹
'hen'jian'dan'ba 很简单吧
'hong'lei 红雷
'hou'qin 后勤
'hu'die'shi'jian 蝴蝶事件
'hu'du'zhi 狐度制
'hu'dun'yao'jing 护盾妖精
'hua'huo'yao'jing 花火妖精
'hua'yuan'bai'he'ling 花园百合铃
'huai'nv'ren 坏女人
'huang'jin'yao'jing 黄金妖精
'hui'xiong 灰熊
'huo'jian'yao'jing 火箭妖精
'ji'er'si'ting'lei 吉尔斯汀雷
'ji'liang'guan 计量官
'ji'qiang'san'huan'shen 机枪三幻神
'jia'xin'jiang 夹心酱
'jian'zao'gong'shi 建造公式
'jian'zhong'die'ying 茧中蝶影
'jian'zhu'shi 建筑师
'jie'fang'zhe 解放者
'jie'ke'shi'qing'ji'qiang 捷克式轻机枪
'jie'li'ke 杰里科
'jing'feng'dian 静风点
'jing'xiang'lun 镜像论
'jing'yan'shu 经验书
'jing'zheng'zhe 竞争者
'jiu'bao'xing'dong'lian'dong 酒保行动联动
'jiu'mei 九妹
'jiu'qi'shi 九七式
'jiu'qi'shi'xian 九七式霰
'jiu'wu'shi 九五式
'jiu'yi'shi'bi'shou'qiang 九一式匕首枪
'jiu'zhu'zhan 救助站
'ju'ji'yao'jing 狙击妖精
'ka'er'ka'nuo 卡尔卡诺
'ka'fei'ting 咖啡厅
'ka'jie 卡姐
'ka'la'shi'ni'ke'fu'zi'dong'bu'qiang 卡拉什尼科夫自动步枪
'ka'mei 卡妹
'ka'te 卡特
'kai'zi'ge 凯子哥
'ke'er'te'zuo'lun 柯尔特左轮
'ke'li'er 克莉尔
'ke'lin'na 氪琳娜
'ke'lu'ge 克鲁格
'ke'luo'yi 柯洛伊
'kong'jiang'yao'jing 空降妖精
'kong'xi'yao'jing 空袭妖精
'ku'la'ye'si 库拉耶丝
'kuai'zi'gou 筷子狗
'lai'ke 莱柯
'lai'na 莱娜
'lan'jian'jian 蓝尖尖
'lao'wang'mo'mo'gou 老王摸摸狗
'lao'yin'xi'tong 烙印系统
'lei'dian'ya'yi 雷电芽衣
'li'bei'luo'le 利贝罗勒
'li'chang'san'jie 立场三杰
'li'dun'yao'jing 立盾妖精
'li'en'fei'er'de 李恩菲尔德
'li'kan'jin'lie'qu 里坎禁猎区
'li'ke 莉可
'li'ma 李妈
'lian'ji'yao'jing 连击妖精
'lian'jin'shu'shi 炼金术士
'lie'bao 猎豹
'lie'bian'lian'jie 裂变链接
'lie'che'pao 列车炮
'lie'lang'ren 捩浪人
'lie'shou 猎手
'lie'tu'xing'dong 猎兔行动
'ling'san'shi 零三式
'ling'wu'shi 零五式
'liu'er'shi 六二式
'liu'jiang'jun'bu'qiang 刘将军步枪
'liu'san'shi 六三式
'liu'shi'bu'qiang 刘氏步枪
'liu'si'shi 六四式
'liu'si'shi'zi 六四式自
'liu'yi'si 刘易斯
'lu'sa 卢萨
'luo'ke'sa'te'zhu'yi'he'zhong'guo'lian'meng 罗克萨特主义合众国联盟
'lv'mao 绿毛
'lv'wu'di 绿无敌
'ma'gai'er 马盖尔
'ma'he'lian 玛赫莲
'ma'ka'luo'fu 马卡洛夫
'mang'she 蟒蛇
'mei'du'sha 美杜莎
'mei'jun'lao'gan'ma 美军老干妈
'mei'you'gun'ba 没有滚吧
'meng'de'la'gong 蒙德拉贡
'meng'jian'ju 梦间剧
'meng'xiang'jia 梦想家
'mi'huan 蜜獾
'mi'ni'mi 米尼米
'mi'nuo'si 米诺斯
'mian'bao'fang'xing'dong 面包房行动
'ming'yun'de'yue'zhang 命运的乐章
'mo'fang'xing'dong 魔方行动
'mo'nv'yao'jing 魔女妖精
'mo'qiu'luo'si 墨丘萝丝
'mo'xiao'jie'yu'men 墨小姐与门
'mo'xin'na'gan 莫辛纳甘
'mu'rong'guang 沐荣光
'na'gan'nai'nai 纳甘奶奶
'na'gan'zuo'lun 纳甘左轮
'na'xi'si 娜希斯
'nan'ji'lian'bang 南极联邦
'nan'ji'zhan'zheng 南极战争
'nei'ge'fu 内格夫
'ni'mo'jin 尼莫金
'nian'shou'yao'jing 年兽妖精
'nie'tuo 涅托
'nie'tuo'qian'xian 涅托前线
'niu'tou'wang 牛头王
'nuo'ai'er 诺爱尔
'nv'pu'chang 女仆长
'pa'la'di'si 帕拉蒂斯
'pa'si'ka 帕斯卡
'pao'ji'yao'jing 炮击妖精
'pei'ke'la 佩可拉
'pen'huo 喷火
'pian'zhen'guang 偏振光
'po'huai'zhe 破坏者
'pu'tong'jian'zao 普通建造
'qi'dai'ni'ti'dui'kui'mie'de'yang'zi 期待你梯队溃灭的样子
'qi'jiu'shi 七九式
'qi'miao'shan'yao'bing 奇妙山药饼
'qi'na'xie'yi 齐纳协议
'qi'ya'na 琪亚娜
'qian'jin'ying'di 前进营地
'qiang'wu'di 强无敌
'qiao'ke'li 巧克力
'qing'jie'gong 清洁工
'qing'shen'shen'yu'meng'meng 情深深羽蒙蒙
'quan'jing'feng'suo'lian'dong 全境封锁联动
're'yun'dong 热运动
'ren'song'shu 认怂书
'ren'xing'kuo'bian 人形扩编
'ren'xing'zhi'ge 人形之歌
'rong'yao'ri 荣耀日
'rui'nuo 芮诺
'ruo'bao'ruan 弱保软
'sai'bo'peng'ke'jiu'bao'xing'dong 赛博朋克酒保行动
'sai'yi'zhao'wu 塞伊朝雾
'san'bing'du 伞病毒
'se'lang'zhi'yan 色狼之眼
'sha'ba 傻八
'sha'diao'wang'you 沙雕网友
'sha'mo'zhi'ying 沙漠之鹰
'sha'wei'qi'jiu'jiu'xing 沙维奇九九型
'sha'wu'yao'jing 沙舞妖精
'shan'dian'jie 闪电姐
'shan'yao'guo'guo 山药锅锅
'shang'jian'han'zeng 熵减焓增
'shao'nv'qian'xian 少女前线
'shao'qian'bu'qiang'ji'liang'dan'wei 少前步枪计量单位
'shao'qian'wan'jia'dou'shi'dian'zi'yue'gong 少前玩家都是电子越共
'shao'qian'xiao'hua 少前笑话
'shao'qian'yao'wan 少前药丸
'shao'sha 绍沙
'shen'ceng'ying'she 深层映射
'shen'qiang'shao'nv'lian'dong 神枪少女联动
'sheng'gan 圣肝
'sheng'jian 圣建
'shi'dai'la'xing'jing 史黛拉星井
'shi'wen'zheng 失温症
'shi'yue'bu'shi'hun 誓约不是婚
'shou'gui'xing'dong 收归行动
'shuang'lian'luan'shu 双联乱数
'shuang'sheng'yao'jing 双生妖精
'shui'shu 睡鼠
'shui'wang'ba 水王八
'shui'wu'gui 水乌龟
'shui'wu'gui'qing'ji'qiang 水乌龟轻机枪
'shui'wu'gui'zhi'qiang 水乌龟之枪
'si'deng 司登
'si'jie'qi'jin 斯捷奇金
'si'shi 四式
'si'te'lin 斯特林
'sou'jiu'yao'jing 搜救妖精
'su'she 宿舍
'suo'mi 索米
'suo'yu'jie'dian 梭鱼节点
'ta'bu'ke 塔布克
'ta'suo'dian 塌缩点
'ta'wo'er 塔沃尔
'tan'ta'ye 坍塌液
'tang'ge 汤哥
'tang'mu'sen 汤姆森
'tang'mu'xun 汤姆逊
'tang'pu'sen 汤普森
'tian'you'wu'huang 天佑吾皇
'tie'xue'bu'huo 铁血捕获
'tie'xue'gong'zao 铁血工造
'tong'yong'zhuang'bei 通用装备
'tu'dong 兔洞
'tu'dong 秃洞
'tui'huang 腿皇
'tui'tu'ji 推土机
'tuo'ka'lie'fu 托卡列夫
'tuo'shi 拖尸
'wa'er'ha'la 瓦尔哈拉
'wa'jiang 哇酱
'wang'yin'shao'nv 网瘾少女
'wei'bo'li 韦伯利
'wei'er'de 维尔德
'wei'ke'tuo 维克托
'wei'le'ge'li'fen 为了格里芬
'wei'nie'long 维涅龙
'wei'xing'wu'zi 微型乌兹
'wo'zhi'sheng'liang'ge'dan'xia 我只剩两个弹匣
'wo'zi'sha'suan'le 我自杀算了
'wu'jiu'shi 五九式
'wu'jiu'xia'shan 五九下山
'wu'liang'ta'ji'zi 无量塔姬子
'wu'liu'shi'ban 五六式半
'wu'liu'yi'shi 五六一式
'wu'ni'xiao'dui 忤逆小队
'xi'er 希儿
'xi'er 希尔
'xi'meng'nuo'fu 西蒙诺夫
'xi'pu'ka 希普卡
'xi'xue'gui 吸血鬼
'xi'yi 希依
'xian'jing'yao'jing 陷阱妖精
'xian'wei'she 衔尾蛇
'xiao'gong'zhu 小公主
'xiao'hu'li 小狐狸
'xiao'neng 效能
'xiao'neng'hei'dong 效能黑洞
'xiao'shi'zi 小狮子
'xiao'xie'shen'qian'xian 小邪神前线
'xiao'xiong 小熊
'xie'er'jiu'ke'fu 谢尔久科夫
'xie'shen'jiang 邪神酱
'xie'shi'chong'feng'qiang 蝎式冲锋枪
'xie'shu 写书
'xie'yi'tong'gui 协议同归
'xin'xing 新星
'xin'zhi'sheng'ji 心智升级
'xin'zhi'yun'tu 心智云图
'xing'cai'zhe 行裁者
'xing'ji'zhi'tou'zi 星级掷骰子
'xiong'kou'cang'zhe'xiao'guai'shou 胸口藏着小怪兽
'xuan'xue'yao'jing 玄学妖精
'xue'lang'zhi'yan 雪狼之眼
'xue'ye'sha'li'yi'xiang'qu 雪夜杀礼异想曲
'ya'suo'bao 压缩包
'yao'bao 药宝
'yao'jing'xiao'wu 妖精小屋
'yao'liu'ge 幺六哥
'yao'zi'qian'xian 窑子前线
'ye'ge'er 叶戈尔
'ye'hua'bing'du 叶化病毒
'ye'men'fen'mian 爷们分娩
'ye'mou'fa'meng 叶某发蒙
'ye'niu'chong'feng'qiang 野牛冲锋枪
'ye'zhan 夜战
'ye'zhan'zhuang'bei 夜战装备
'yi'bi'zhi'yao 一币之遥
'yi'gou'ti 异构体
'yi'ji'wu'qi 遗迹武器
'yi'lai'sha 伊莱莎
'yi'wan'shang'liang'qian 一晚上两千
'yin'fu 音符
'ying'hua 樱花
'ying'sa'si 英萨斯
'ying'yuan'yao'jing 应援妖精
'yong'shi'yao'jing 勇士妖精
'you'xu'wen'liu 有序紊流
'yu'zhong 羽中
'yu'zhong'de'fa'la'li 羽中的法拉利
'yuan'xing'yao'jing 原型妖精
'yun'mu'fei'ma 云母飞马
'yun'mu'xiang'sheng'zu 云母相声组
'yun'mu'zu 云母组
'yun'tu'ji'hua 云图计划
'ze'lin'si'ji 泽林斯基
'zeng'yuan'yao'jing 增援妖精
'zhan'shu'ren'xing 战术人形
'zhan'shu'yao'jing 战术妖精
'zhao'ming'yao'jing 照明妖精
'zhao'xiang'guan'mi'ti 照相馆谜题
'zhen'cha'xi'gua 侦查西瓜
'zhen'cha'zhe 侦查者
'zheng'gui'jun 正规军
'zheng'wei 政委
'zhi'hui'guan 指挥官
'zhi'hui'guan'you'wo'yi'ge'jiu'gou'le 指挥官有我一个就够了
'zhi'hui'yao'jing 指挥妖精
'zhong'xing'jian'zao 重型建造
'zhou'zhang 州长
'zhuan'shu'zhuang'bei 专属装备
'zi'cai'tou 紫菜头
'zi'liao'shi 资料室
'zi'lv'ren'xing 自律人形
'zi'shan'shu 紫杉树
