'a'hai'fa 阿海珐
'fen'xiang 分相
'fen'zha 分闸
'fen'zhi 分支
'fen'zhi'ce 分支侧
'fen'zhi'xi'shu 分支系数
'fu'dian 负电
'fu'gui 复归
'fu'he'dian'liu 负荷电流
'fu'he'dian'ya 复合电压
'fu'he'dian'ya'bi'suo 复合电压闭锁
'fu'he'zu'kang 负荷阻抗
'fu'shi'bi'lv 复式比率
'fu'ya 复压
'fu'ya'bi'suo 复压闭锁
'fu'ya'guo'liu 复压过流
'fu'zhu'bao'hu 辅助保护
'fu'zhu'bao'hu'ping 辅助保护屏
'fu'zhu'jie'dian 辅助接点
'fu'zhu'ping 辅助屏
'gai'ding'zhi 改定值
'gao'ding'zhi 高定值
'gao'hou'bei 高后备
'gao'ji'gong 高级工
'gao'ji'ji'shi 高级技师
'gao'pin'bao'hu 高频保护
'gao'ya'ce 高压侧
'ge'li'kai'guan 隔离开关
'gong'yong'ce'kong'ping 公用测控屏
'gong'zuo'ban 工作班
'gong'zuo'fu 工作服
'gong'zuo'fu'ze'ren 工作负责人
'gong'zuo'piao 工作票
'gong'zuo'piao'qian'fa'ren 工作票签发人
'gong'zuo'xu'ke'ren 工作许可人
'gou'gai'ban 沟盖板
'gou'san'tiao 勾三跳
'gou'tong'san'tiao 勾通三跳
'gou'xian 勾线
'gu'zhang'can'ya 故障残压
'gu'zhang'ce'ju 故障测距
'gu'zhang'dian 故障点
'gu'zhang'lu'bo'qi 故障录波器
'guang'dian'jie'kou 光电接口
'guang'gong'lv'ji 光功率计
'guang'xian'zong'cha 光纤纵差
'guang'zi 光字
'guang'zi'pai 光字牌
'guo'bu'chang 过补偿
'guo'dian 国电
'guo'dian'nan'rui 国电南瑞
'guo'dian'ya 过电压
'guo'du'dian'zu 过渡电阻
'guo'fu'he 过负荷
'guo'fu'he'lian'qie 过负荷联切
'guo'jia'dian'wang 国家电网
'guo'liu 过流
'hao'guan 号管
'hao'tou 号头
'he'bing'dan'yuan 合并单元
'he'dui'ding'zhi 核对定值
'he'dui'ding'zhi'dan 核对定值单
'he'wei 合位
'he'xiang 核相
'he'zha'hou'jia'su 合闸后加速
'he'zha'xian'quan 合闸线圈
'heng'cha 横差
'hong'qi'zhan 红旗站
'hong'qi'zhan'da'biao 红旗站达标
'hong'tao'tou 红套头
'hou'jia'su 后加速
'hu'gan'qi 互感器
'hu'tou 互投
'hua'bei'dian'wang 华北电网
'hua'bei'dian'wang'you'xian'gong'si 华北电网有限公司
'hua'bei'fen'bu 华北分部
'hua'kuai 滑块
'huan'wang 环网
'hui'lu 回路
'hui'lu'wan'shan 回路完善
'ji'bao 继保
'ji'bei 冀北
'ji'bei'dian'li'gong'si 冀北电力公司
'ji'chu'dian'liu 汲出电流
'ji'dian'bao'hu 继电保护
'ji'er'huo'fu 基尔霍夫
'ji'kong'zhan 集控站
'ji'neng'jian'ding 技能鉴定
'ji'shi 技师
'jia'gou 架构
'jia'qiang'jian'hu 加强监护
'jia're'dian'yuan 加热电源
'jian'ji'xing 减极性
'jian'kong 监控
'jian'kong'gai'zao 监控改造
'jian'kong'gai'zao'pei'he 监控改造配合
'jian'kong'ji 监控机
'jian'tong'qi 检同期
'jian'xi 间隙
'jian'xiu'tong'dao 检修通道
'jian'xiu'ya'ban 检修压板
'jian'zai 减载
'jiao'jie 角接
'jiao'liu'cha'jian 交流插件
'jiao'xing 角形
'jiao'yan'bao'gao 校验报告
'jie'di 接地
'jie'di'bian 接地变
'jie'di'dao 接地刀
'jie'di'dian 接地点
'jie'di'ju'li 接地距离
'jie'di'tong'pai 接地铜排
'jie'di'wang 接地网
'jie'lie 解列
'jin'hou'bei 近后备
'jin'shu'xing'duan'lu 金属性短路
'jin'xian 进线
'jin'xian'hu'tou 进线互投
'jin'zhi'he'zha 禁止合闸
'jiu'di 就地
'jiu'di'pan'bie 就地判别
'jiu'di'wei'zhi 就地位置
'ju'dong 拒动
'ju'li 距离
'ju'li'bao'hu 距离保护
'jue'yuan 绝缘
'jue'yuan'jiao'dai 绝缘胶带
'jue'yuan'xie 绝缘鞋
'kai'bi'zhan 开闭站
'kai'chu 开出
'kai'guan 开关
'kai'guan'gui 开关柜
'kai'guan'ji'gou 开关机构
'kai'guan'shi 开关室
'kai'kou'san'jiao 开口三角
'kai'ru 开入
'ke'yi'tou'ru'yun'xing 可以投入运行
'kong'kai 空开
'kong'zhi'dian'yuan 控制电源
'kong'zhi'hui'lu 控制回路
'kong'zhi'zi 控制字
'kui'chu 馈出
'kui'xian 馈线
'la'lu 拉路
'li'ci 励磁
'li'ci'yong'liu 励磁涌流
'lian'pian 连片
'lian'wang'xi'tong 联网系统
'lin'shi'dan 临时单
'ling'cha 零差
'ling'min'du 灵敏度
'ling'min'jiao 灵敏角
'ling'xu 零序
'liu'jiao'tu 六角图
'liu'tai 六态
'lu'bo 录波
'lu'bo'qi 录波器
'lun'ting 轮停
'lun'tui 轮退
'lv'guo'qi 滤过器
'mo'duan 末端
'mo'duan'zhan 末端站
'mo'ni'liang 模拟量
'mu'cha 母差
'mu'cha'bao'hu'ping 母差保护屏
'mu'cha'jie'ru 母差接入
'mu'cha'jie'ru'chuan'dong 母差接入传动
'mu'xian 母线
'mu'xian'bao'hu 母线保护
'nan'rui 南瑞
'nan'zi 南自
'nei'chi'tao'guan 内齿套管
'nian'xiao 年校
'pan'shang 盘上
'pan'xia 盘下
'pei'xian 配线
'pian'kou 偏口
'ping'bi'xin 屏蔽芯
'ping'heng'xi'shu 平衡系数
'ping'wei'tu 屏位图
'pu'kao 普考
'qi'dong 启动
'qi'dong 起动
'qi'dong'qian'zhun'bei 启动前准备
'qi'dong'zhi 启动值
'qi'shi'ling 起失灵
'qi'tai 七态
'qi'ti'jue'yuan'kai'guan'she'bei 气体绝缘开关设备
'qian'bu'chang 欠补偿
'qian'fa'ren 签发人
'qian'gong'dian'liu 潜供电流
'qian'jia'su 前加速
'qian'piao 签票
'qian'xing'biao 钳形表
'qian'xing'dian'liu'biao 钳形电流表
'qie'chu'gu'zhang 切除故障
'qing'wa'si 轻瓦斯
'qu'nei 区内
'qu'wai 区外
'qu'you'li 去游离
'quan'zhan'ting'dian 全站停电
'rong'duan'qi 熔断器
'ruan'tong'xian 软铜线
'ruan'ya'ban 软压板
'ruo'kui 弱馈
'san'chong 三重
'san'ji'wu'da 三集五大
'san'tai 三态
'san'tiao 三跳
'san'wu 三误
'san'xiang 三相
'san'xiang'bu'yi'zhi 三相不一致
'she'bei'qu 设备区
'she'zhi'zhe'lan 设置遮栏
'shen'nan'rui 深南瑞
'shen'rui 深瑞
'shi'bu 失步
'shi'bu'jie'lie 失步解列
'shi'duan 始端
'shi'gu'bao'gao 事故报告
'shi'gu'fen'xi 事故分析
'shi'gu'tong'bao 事故通报
'shi'gu'yin'xiang 事故音响
'shi'gu'zong 事故总
'shi'jian'ji'dian'qi 时间继电器
'shi'ling 失灵
'shi'ling'bao'hu 失灵保护
'shi'ling'qi'dong 失灵启动
'shi'yan'bao'gao 实验报告
'shi'yan'bao'gao 试验报告
'shi'yan'xian 试验线
'shi'yan'yi 试验仪
'shou'ba 手把
'shou'he'hou'jia'su 手合后加速
'shuang'chong'hua 双重化
'shuang'chong'ming'cheng 双重名称
'shuang'hui 双回
'shuang'hui'xian 双回线
'si'tai 四态
'su'dong 速动
'su'duan 速断
'tan'huang'chu'neng 弹簧储能
'tan'huang'wei'chu'neng 弹簧未储能
'tao'tou 套头
'te'xun 特巡
'tian'piao 填票
'tiao'he'zha 跳合闸
'tiao'kao 调考
'tiao'shi'bao'gao 调试报告
'tiao'shi'yan'shou 调试验收
'tiao'wei 跳位
'tiao'ya'qing'wa'si 调压轻瓦斯
'tiao'ya'wa'si 调压瓦斯
'tiao'ya'zhong'wa'si 调压重瓦斯
'tiao'yue 跳跃
'tiao'zha 跳闸
'tiao'zha'chu'kou 跳闸出口
'tiao'zha'xian'quan 跳闸线圈
'tiao'zheng'xi'shu 调整系数
'tong'pai 铜排
'tong'qi 同期
'tou'tui 投退
'tou'yun 投运
'tu'bian'liang 突变量
'wa'si'fang'yu 瓦斯防雨
'wa'si'fang'yu'yi'zuo 瓦斯防雨已做
'wa'si'fang'yu'zhao 瓦斯防雨罩
'wa'si'ji'dian'qi 瓦斯继电器
'wan'quan'bu'chang 完全补偿
'wei'chu'neng 未储能
'wei'ji'bao'hu 微机保护
'wei'ji'hua 微机化
'wei'ji'mu'xian'bao'hu 微机母线保护
'wei'lan 围栏
'wei'xian'dian 危险点
'wei'xian'dian'fen'xi'yu'kong'zhi'dan 危险点分析与控制单
'wei'zhi'xing 未执行
'wen'du'bian'song'qi 温度变送器
'wu'dong 误动
'wu'fang 五防
'wu'fang'bi'suo 五防闭锁
'wu'han'zhong'yuan 武汉中元
'wu'jie'xian 误接线
'wu'peng 误碰
'wu'piao'gong'zuo 无票工作
'wu'tai 五态
'wu'zheng'ding 误整定
'xi'guan'xing'wei'zhang 习惯性违章
'xi'tong'zhen'dang 系统振荡
'xian'bi'zi 线鼻子
'xian'lu 线路
'xian'lu'bao'hu'ping 线路保护屏
'xian'quan 线圈
'xian'sun 线损
'xian'sun'jiang 线损奖
'xiang'ji'su'dong 相继速动
'xiang'ji'tiao'zha 相继跳闸
'xiang'jian 相间
'xiang'jiao 相角
'xiang'liang 向量
'xiang'liang 相量
'xiang'liang'jian'cha 相量检查
'xiao'chai 小差
'xiao'jie'di 小接地
'xiao'jie'di'dian'liu'xi'tong 小接地电流系统
'xiao'miao 小庙
'xiao'miao'xiang 小庙箱
'xiao'mu'xian 小母线
'xiao'shi 小室
'xiao'xie 消谐
'xin'xi'zi'zhan 信息子站
'xing'bo'ce'ju 行波测距
'xing'jie 星接
'xing'xing 星形
'xiu'shi 修试
'xiu'shi'suo 修试所
'xu'ji 许继
'xuan'ze'xing 选择性
'ya'ban 压板
'ya'li'shi'fang 压力释放
'ya'li'tu'bian 压力突变
'yao'biao 摇表
'yi'ci'xi'tong'tu 一次系统图
'yi'quan 一圈
'yi'tai 一态
'yi'zhi'xing 已执行
'ying'feng'du'xia 迎峰度夏
'ying'ya'ban 硬压板
'you'wen'gao 油温高
'you'zhen 油枕
'yuan'chuan 远传
'yuan'fang 远方
'yuan'hou'bei 远后备
'yuan'li'tu 原理图
'yun'wei 运维
'yun'xing'she'bei 运行设备
'za'jian 匝间
'zai'ci'gong'zuo 在此工作
'zhan'yong'bian 站用变
'zhang'jia'kou'gong'dian'gong'si 张家口供电公司
'zhao'ou'biao 兆欧表
'zhe'lan 遮栏
'zhen'dang'bi'suo 振荡闭锁
'zheng'chang'tai 正常态
'zheng'chou 正抽
'zheng'dian 正电
'zheng'ding 整定
'zheng'ding'fang'an 整定方案
'zheng'ding'ji'suan 整定计算
'zheng'ding'zhi 整定值
'zheng'dong'lv 正动率
'zheng'ji'xing 正极性
'zheng'qi 正起
'zhi'ban'ren'yuan 值班人员
'zhi'ban'yuan 值班员
'zhi'dao'shu 指导书
'zhi'dong'dian'liu 制动电流
'zhi'neng'zhong'duan 智能终端
'zhi'zhang 值长
'zhi'zu 直阻
'zhong'hou'bei 中后备
'zhong'ji'gong 中级工
'zhong'wa'si 重瓦斯
'zhong'xing'dian 中性点
'zhong'ya'ce 中压侧
'zhong'yuan 中元
'zhu'zeng 助增
'zhu'zeng'dian'liu 助增电流
'zhu'zeng'xi'shu 助增系数
'zhuan'ye'pu'kao 专业普考
'zhuang'zhi'gao'jing 装置告警
'zi'tou 自投
'zi'zhan 子站
'zong'cha 纵差
'zong'cha'bao'hu 纵差保护
'zong'he'ce'kong 综合测控
'zong'he'zi'dong'hua 综合自动化
'zong'kong'zhuang'zhi 总控装置
'zong'lian 纵联
'zong'lian'cha'dong 纵联差动
'zong'lian'dian'liu'cha'dong 纵联电流差动
'zong'lian'dian'liu'cha'dong'bao'hu 纵联电流差动保护
'zong'lian'fang'xiang 纵联方向
'zong'lian'ju'li 纵联距离
'zong'zhan 总站
'zong'zi 综自
'zou'cuo'jian'ge 走错间隔
'zu'kang 阻抗
'zu'kang'jiao 阻抗角
'zuo'xiang'liang 做向量
'zuo'xiang'liang 做相量
'zuo'ye'zhi'dao'shu 作业指导书
